"vulnerable_population","section","long_title","short_title","group","group1","subgroup","age_group","value"
"Age Group","B. VHA Outpatient Utilization","B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13","Age Group by Primary Care Visits","Encounters","Primary Care Visits","12+ encounters","X18.44","5442.0"
"Age Group","B. VHA Outpatient Utilization","B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13","Age Group by Mental Health/Substance Use Disorder Visits","Encounters","Mental Health/Substance use Disorder Visits","0 encounters","X18.44","513954.0"
"Age Group","B. VHA Outpatient Utilization","B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13","Age Group by Mental Health/Substance Use Disorder Visits","Encounters","Mental Health/Substance use Disorder Visits","1 encounter","X18.44","96318.0"
"Age Group","B. VHA Outpatient Utilization","B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13","Age Group by Mental Health/Substance Use Disorder Visits","Encounters","Mental Health/Substance use Disorder Visits","2 encounters","X18.44","55267.0"
"Age Group","B. VHA Outpatient Utilization","B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13","Age Group by Mental Health/Substance Use Disorder Visits","Encounters","Mental Health/Substance use Disorder Visits","3-5 encounters","X18.44","95488.0"
"Age Group","B. VHA Outpatient Utilization","B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13","Age Group by Mental Health/Substance Use Disorder Visits","Encounters","Mental Health/Substance use Disorder Visits","6-11 encounters","X18.44","68607.0"
"Age Group","B. VHA Outpatient Utilization","B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13","Age Group by Mental Health/Substance Use Disorder Visits","Encounters","Mental Health/Substance use Disorder Visits","12+ encounters","X18.44","68660.0"
"Age Group","B. VHA Outpatient Utilization","B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13","Age Group by Emergency Department Visits","Encounters","Emergency Department Visits","0 encounters","X18.44","693636.0"
"Age Group","B. VHA Outpatient Utilization","B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13","Age Group by Emergency Department Visits","Encounters","Emergency Department Visits","1 encounter","X18.44","122329.0"
"Age Group","B. VHA Outpatient Utilization","B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13","Age Group by Emergency Department Visits","Encounters","Emergency Department Visits","2 encounters","X18.44","43963.0"
"Age Group","B. VHA Outpatient Utilization","B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13","Age Group by Emergency Department Visits","Encounters","Emergency Department Visits","3-5 encounters","X18.44","31424.0"
"Age Group","B. VHA Outpatient Utilization","B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13","Age Group by Emergency Department Visits","Encounters","Emergency Department Visits","6-11 encounters","X18.44","6053.0"
"Age Group","B. VHA Outpatient Utilization","B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13","Age Group by Emergency Department Visits","Encounters","Emergency Department Visits","12+ encounters","X18.44","889.0"
"Age Group","B. VHA Outpatient Utilization","B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13","Age Group by Telephone Visits","Encounters","Telephone Visits","0 encounters","X18.44","403298.0"
"Age Group","B. VHA Outpatient Utilization","B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13","Age Group by Telephone Visits","Encounters","Telephone Visits","1 encounter","X18.44","185353.0"
"Age Group","B. VHA Outpatient Utilization","B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13","Age Group by Telephone Visits","Encounters","Telephone Visits","2 encounters","X18.44","99624.0"
"Age Group","B. VHA Outpatient Utilization","B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13","Age Group by Telephone Visits","Encounters","Telephone Visits","3-5 encounters","X18.44","124671.0"
"Age Group","B. VHA Outpatient Utilization","B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13","Age Group by Telephone Visits","Encounters","Telephone Visits","6-11 encounters","X18.44","60533.0"
"Age Group","B. VHA Outpatient Utilization","B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13","Age Group by Telephone Visits","Encounters","Telephone Visits","12+ encounters","X18.44","24815.0"
"Age Group","B. VHA Outpatient Utilization","B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13","Age Group by Fee Outpatient Services","Encounters","Fee Outpatient Services","0 encounters","X18.44","747805.0"
"Age Group","B. VHA Outpatient Utilization","B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13","Age Group by Fee Outpatient Services","Encounters","Fee Outpatient Services","1 encounter","X18.44","28953.0"
"Age Group","B. VHA Outpatient Utilization","B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13","Age Group by Fee Outpatient Services","Encounters","Fee Outpatient Services","2 encounters","X18.44","23269.0"
"Age Group","B. VHA Outpatient Utilization","B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13","Age Group by Fee Outpatient Services","Encounters","Fee Outpatient Services","3-5 encounters","X18.44","29998.0"
"Age Group","B. VHA Outpatient Utilization","B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13","Age Group by Fee Outpatient Services","Encounters","Fee Outpatient Services","6-11 encounters","X18.44","24135.0"
"Age Group","B. VHA Outpatient Utilization","B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13","Age Group by Fee Outpatient Services","Encounters","Fee Outpatient Services","12+ encounters","X18.44","44134.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"INFECTIOUS DISEASE","X18.44","172738.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"ENDOCRINE/METABOLIC/NUTRITIONAL","X18.44","294842.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"CARDIOVASCULAR","X18.44","188232.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"RESPIRATORY","X18.44","193980.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"GASTROINTESTINAL","X18.44","204418.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"URINARY","X18.44","56821.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"REPRODUCTIVE HEALTH","X18.44","127063.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"BREAST","X18.44","10199.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"CANCER","X18.44","9183.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"HEMATOLOGIC/IMMUNOLOGIC","X18.44","33091.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"MUSCULOSKELETAL","X18.44","472046.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"NEUROLOGIC","X18.44","201000.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"MENTAL HEALTH/SUD","X18.44","427749.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"SENSE ORGAN","X18.44","187158.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"DENTAL","X18.44","73094.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"DERMATOLOGIC","X18.44","139554.0"
"Age Group","C. Diagnoses","C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13","Age Group by Domains","Domains",,"OTHER","X18.44","432744.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","INFECTIOUS DISEASE","HIV/AIDS","X18.44","4292.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","INFECTIOUS DISEASE","Tuberculosis","X18.44","989.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","INFECTIOUS DISEASE","Mycoses","X18.44","26773.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","INFECTIOUS DISEASE","Infections - Other","X18.44","28005.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Diabetes Mellitus","X18.44","37131.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Lipid Disorders","X18.44","156446.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Overweight/Obesity","X18.44","129618.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Thyroid Disorders","X18.44","26276.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Osteoporosis","X18.44","813.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Vitamin D Deficiency","X18.44","29752.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Endocrine, Metabolic and Nutritional Disorders - Other","X18.44","50681.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","ENDOCRINE/METABOLIC/NUTRITIONAL","Fluid and Electrolyte Disorders","X18.44","12395.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Hypertension","X18.44","126184.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Chest Pain/Angina","X18.44","28763.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Acute MI","X18.44","649.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Coronary Artery Disease","X18.44","5546.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Heart Failure","X18.44","4110.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Valvular Disease","X18.44","4207.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Atrial Fibrillation/Flutter","X18.44","2133.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Arrhythmia/Conduction Disorder - Other","X18.44","19099.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Cardiac Conditions - Other","X18.44","4907.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Cerebrovascular Accident/TIA","X18.44","2421.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Cerebrovascular Disease - Other","X18.44","2000.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Pecondition Aortic Aneurysm","X18.44","302.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Pulmonary Embolism or Deep Vein Thrombosis","X18.44","4250.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Vascular Disease - Other","X18.44","7975.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","CARDIOVASCULAR","Circulatory System Conditions - Other","X18.44","23303.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Chronic Obstructive Pulmonary Disease","X18.44","5364.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Asthma","X18.44","36130.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Sarcoidosis","X18.44","1500.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Pneumonia","X18.44","3789.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Respiratory System Infections - Other","X18.44","75617.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Allergic and other chronic sinusitis/rhinitis","X18.44","80325.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Dyspnea, cough and other respiratory symptoms","X18.44","37634.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","RESPIRATORY","Respiratory Conditions - Other","X18.44","20795.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Esophageal disorders","X18.44","97525.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Nausea and vomiting","X18.44","13453.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Gastroduodenal ulcer","X18.44","2727.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Gastric/Duodenal Disorders - Other","X18.44","13706.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Gastrointestinal hemorrhage","X18.44","13202.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Polyp, colorectal","X18.44","5368.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Diverticulosis and diverticulitis","X18.44","3532.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Inflammatory Bowel Disease","X18.44","5338.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Diarrhea/constipation and functional bowel disorders","X18.44","38360.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Hernia","X18.44","13236.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Hemorrhoids","X18.44","14687.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Hepatitis C","X18.44","3924.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Liver disease - Other","X18.44","29760.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Biliary tract disease","X18.44","3914.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Pancreatic disorders","X18.44","2372.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","GASTROINTESTINAL","Gastrointestinal System Disorders - Other","X18.44","33924.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Renal failure or Nephropathy","X18.44","7971.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Calculus of urinary tract","X18.44","11558.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Hematuria","X18.44","7127.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Kidney/Ureter Diseases - Other","X18.44","3286.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Urinary Tract Infection (cystitis/ urethritis/ pyelonephritis)","X18.44","15346.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Urinary Incontinence","X18.44","7419.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Urinary Symptoms - Other","X18.44","9442.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","URINARY","Urinary Conditions - Other","X18.44","8125.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","REPRODUCTIVE HEALTH","Male genital disorders","X18.44","16929.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","REPRODUCTIVE HEALTH","STIs","X18.44","17364.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","REPRODUCTIVE HEALTH","Vaginitis/ cervicitis/ and other pelvic inflammatory conditions","X18.44","11670.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","REPRODUCTIVE HEALTH","Cervical Dysplasia/ASCUS","X18.44","5900.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","REPRODUCTIVE HEALTH","Endometriosis","X18.44","2734.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","REPRODUCTIVE HEALTH","Menstrual disorders","X18.44","17591.0"
"Age Group","C. Diagnoses","C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13","Age Group by Conditions","Conditions","REPRODUCTIVE HEALTH","Fibroids","X18.44","3562.0"
