"date","gender","race_ethnicity","veterans"
"2026-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1299355"
"2026-09-30T00:00:00.000","Male","All Veterans","15156304"
"2026-09-30T00:00:00.000","Male","White, alone","12044809"
"2026-09-30T00:00:00.000","Male","Black or African American, alone","1867199"
"2026-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","120343"
"2026-09-30T00:00:00.000","Male","Asian, alone","278038"
"2026-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34129"
"2026-09-30T00:00:00.000","Male","Some other race, alone","289487"
"2026-09-30T00:00:00.000","Male","Two or more races","522298"
"2026-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1349042"
"2026-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","11205214"
"2027-09-30T00:00:00.000","Female","All Veterans","2123813"
"2027-09-30T00:00:00.000","Female","White, alone","1439427"
"2027-09-30T00:00:00.000","Female","Black or African American, alone","438940"
"2027-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21420"
"2027-09-30T00:00:00.000","Female","Asian, alone","57009"
"2027-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","9569"
"2027-09-30T00:00:00.000","Female","Some other race, alone","49996"
"2027-09-30T00:00:00.000","Female","Two or more races","107452"
"2027-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","230871"
"2027-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1301771"
"2027-09-30T00:00:00.000","Male","All Veterans","14827254"
"2027-09-30T00:00:00.000","Male","White, alone","11738250"
"2027-09-30T00:00:00.000","Male","Black or African American, alone","1846054"
"2027-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","118835"
"2027-09-30T00:00:00.000","Male","Asian, alone","275977"
"2027-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34110"
"2027-09-30T00:00:00.000","Male","Some other race, alone","289428"
"2027-09-30T00:00:00.000","Male","Two or more races","524599"
"2027-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1351785"
"2027-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","10897176"
"2028-09-30T00:00:00.000","Female","All Veterans","2135886"
"2028-09-30T00:00:00.000","Female","White, alone","1444066"
"2028-09-30T00:00:00.000","Female","Black or African American, alone","442734"
"2028-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21542"
"2028-09-30T00:00:00.000","Female","Asian, alone","58059"
"2028-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","9697"
"2028-09-30T00:00:00.000","Female","Some other race, alone","50616"
"2028-09-30T00:00:00.000","Female","Two or more races","109174"
"2028-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","234958"
"2028-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1303960"
"2028-09-30T00:00:00.000","Male","All Veterans","14505114"
"2028-09-30T00:00:00.000","Male","White, alone","11439020"
"2028-09-30T00:00:00.000","Male","Black or African American, alone","1824314"
"2028-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","117364"
"2028-09-30T00:00:00.000","Male","Asian, alone","273910"
"2028-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34104"
"2028-09-30T00:00:00.000","Male","Some other race, alone","289259"
"2028-09-30T00:00:00.000","Male","Two or more races","527144"
"2028-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1354949"
"2028-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","10595926"
"2029-09-30T00:00:00.000","Female","All Veterans","2147296"
"2029-09-30T00:00:00.000","Female","White, alone","1448479"
"2029-09-30T00:00:00.000","Female","Black or African American, alone","446212"
"2029-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21669"
"2029-09-30T00:00:00.000","Female","Asian, alone","59114"
"2029-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","9814"
"2029-09-30T00:00:00.000","Female","Some other race, alone","51175"
"2029-09-30T00:00:00.000","Female","Two or more races","110835"
"2029-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","238934"
"2029-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1306008"
"2029-09-30T00:00:00.000","Male","All Veterans","14190687"
"2029-09-30T00:00:00.000","Male","White, alone","11147649"
"2029-09-30T00:00:00.000","Male","Black or African American, alone","1802103"
"2029-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","115945"
"2029-09-30T00:00:00.000","Male","Asian, alone","271838"
"2029-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34114"
"2029-09-30T00:00:00.000","Male","Some other race, alone","289010"
"2029-09-30T00:00:00.000","Male","Two or more races","530027"
"2029-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1358665"
"2029-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","10301909"
"2030-09-30T00:00:00.000","Female","All Veterans","2157911"
"2030-09-30T00:00:00.000","Female","White, alone","1452600"
"2030-09-30T00:00:00.000","Female","Black or African American, alone","449326"
"2030-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21801"
"2030-09-30T00:00:00.000","Female","Asian, alone","60164"
"2030-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","9919"
"2030-09-30T00:00:00.000","Female","Some other race, alone","51675"
"2030-09-30T00:00:00.000","Female","Two or more races","112425"
"2030-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","242785"
"2030-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1307862"
"2030-09-30T00:00:00.000","Male","All Veterans","13883589"
"2030-09-30T00:00:00.000","Male","White, alone","10863857"
"2030-09-30T00:00:00.000","Male","Black or African American, alone","1779384"
"2030-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","114582"
"2030-09-30T00:00:00.000","Male","Asian, alone","269727"
"2030-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34139"
"2030-09-30T00:00:00.000","Male","Some other race, alone","288666"
"2030-09-30T00:00:00.000","Male","Two or more races","533234"
"2030-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1362810"
"2030-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","10014925"
"2031-09-30T00:00:00.000","Female","All Veterans","2167687"
"2031-09-30T00:00:00.000","Female","White, alone","1456407"
"2031-09-30T00:00:00.000","Female","Black or African American, alone","452056"
"2031-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21939"
"2031-09-30T00:00:00.000","Female","Asian, alone","61210"
"2031-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10015"
"2031-09-30T00:00:00.000","Female","Some other race, alone","52118"
"2031-09-30T00:00:00.000","Female","Two or more races","113942"
"2031-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","246519"
"2031-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1309496"
"2031-09-30T00:00:00.000","Male","All Veterans","13583335"
"2031-09-30T00:00:00.000","Male","White, alone","10587248"
"2031-09-30T00:00:00.000","Male","Black or African American, alone","1756116"
"2031-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","113271"
"2031-09-30T00:00:00.000","Male","Asian, alone","267543"
"2031-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34178"
"2031-09-30T00:00:00.000","Male","Some other race, alone","288220"
"2031-09-30T00:00:00.000","Male","Two or more races","536758"
"2031-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1367321"
"2031-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","9734616"
"2032-09-30T00:00:00.000","Female","All Veterans","2176732"
"2032-09-30T00:00:00.000","Female","White, alone","1459968"
"2032-09-30T00:00:00.000","Female","Black or African American, alone","454420"
"2032-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","22086"
"2032-09-30T00:00:00.000","Female","Asian, alone","62253"
"2032-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10102"
"2032-09-30T00:00:00.000","Female","Some other race, alone","52514"
"2032-09-30T00:00:00.000","Female","Two or more races","115388"
"2032-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","250162"
"2032-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1310966"
"2032-09-30T00:00:00.000","Male","All Veterans","13290843"
"2032-09-30T00:00:00.000","Male","White, alone","10318503"
"2032-09-30T00:00:00.000","Male","Black or African American, alone","1732425"
"2032-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","112023"
"2032-09-30T00:00:00.000","Male","Asian, alone","265298"
"2032-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34234"
"2032-09-30T00:00:00.000","Male","Some other race, alone","287709"
"2032-09-30T00:00:00.000","Male","Two or more races","540649"
"2032-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1372303"
"2032-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","9461613"
"2033-09-30T00:00:00.000","Female","All Veterans","2185130"
"2033-09-30T00:00:00.000","Female","White, alone","1463336"
"2033-09-30T00:00:00.000","Female","Black or African American, alone","456429"
"2033-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","22241"
"2033-09-30T00:00:00.000","Female","Asian, alone","63300"
"2033-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10184"
"2033-09-30T00:00:00.000","Female","Some other race, alone","52871"
"2033-09-30T00:00:00.000","Female","Two or more races","116769"
"2033-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","253732"
"2033-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1312314"
"2033-09-30T00:00:00.000","Male","All Veterans","13006901"
"2033-09-30T00:00:00.000","Male","White, alone","10058187"
"2033-09-30T00:00:00.000","Male","Black or African American, alone","1708442"
"2033-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","110845"
"2033-09-30T00:00:00.000","Male","Asian, alone","263000"
"2033-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34311"
"2033-09-30T00:00:00.000","Male","Some other race, alone","287160"
"2033-09-30T00:00:00.000","Male","Two or more races","544957"
"2033-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1377846"
"2033-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","9196442"
"2034-09-30T00:00:00.000","Female","All Veterans","2192585"
"2034-09-30T00:00:00.000","Female","White, alone","1466322"
"2034-09-30T00:00:00.000","Female","Black or African American, alone","458019"
"2034-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","22401"
"2034-09-30T00:00:00.000","Female","Asian, alone","64337"
"2034-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10257"
"2034-09-30T00:00:00.000","Female","Some other race, alone","53185"
"2034-09-30T00:00:00.000","Female","Two or more races","118064"
"2034-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","257184"
"2034-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1313374"
"2034-09-30T00:00:00.000","Male","All Veterans","12730298"
"2034-09-30T00:00:00.000","Male","White, alone","9805394"
"2034-09-30T00:00:00.000","Male","Black or African American, alone","1684040"
"2034-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","109726"
"2034-09-30T00:00:00.000","Male","Asian, alone","260616"
"2034-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34401"
"2034-09-30T00:00:00.000","Male","Some other race, alone","286524"
"2034-09-30T00:00:00.000","Male","Two or more races","549597"
"2034-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1383693"
"2034-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","8938376"
"2035-09-30T00:00:00.000","Female","All Veterans","2199191"
"2035-09-30T00:00:00.000","Female","White, alone","1468974"
"2035-09-30T00:00:00.000","Female","Black or African American, alone","459212"
"2035-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","22566"
"2035-09-30T00:00:00.000","Female","Asian, alone","65368"
"2035-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10325"
"2035-09-30T00:00:00.000","Female","Some other race, alone","53462"
"2035-09-30T00:00:00.000","Female","Two or more races","119284"
"2035-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","260545"
"2035-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1314174"
"2035-09-30T00:00:00.000","Male","All Veterans","12462204"
"2035-09-30T00:00:00.000","Male","White, alone","9561033"
"2035-09-30T00:00:00.000","Male","Black or African American, alone","1659359"
"2035-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","108672"
"2035-09-30T00:00:00.000","Male","Asian, alone","258183"
"2035-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34507"
"2035-09-30T00:00:00.000","Male","Some other race, alone","285837"
"2035-09-30T00:00:00.000","Male","Two or more races","554613"
"2035-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1389945"
"2035-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","8688282"
"2036-09-30T00:00:00.000","Female","All Veterans","2205065"
"2036-09-30T00:00:00.000","Female","White, alone","1471358"
"2036-09-30T00:00:00.000","Female","Black or African American, alone","460032"
"2036-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","22737"
"2036-09-30T00:00:00.000","Female","Asian, alone","66401"
"2036-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10388"
"2036-09-30T00:00:00.000","Female","Some other race, alone","53707"
"2036-09-30T00:00:00.000","Female","Two or more races","120442"
"2036-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","263843"
"2036-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1314756"
"2036-09-30T00:00:00.000","Male","All Veterans","12204023"
"2036-09-30T00:00:00.000","Male","White, alone","9326188"
"2036-09-30T00:00:00.000","Male","Black or African American, alone","1634563"
"2036-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","107696"
"2036-09-30T00:00:00.000","Male","Asian, alone","255738"
"2036-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34630"
"2036-09-30T00:00:00.000","Male","Some other race, alone","285137"
"2036-09-30T00:00:00.000","Male","Two or more races","560070"
"2036-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1396732"
"2036-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","8447177"
"2037-09-30T00:00:00.000","Female","All Veterans","2210043"
"2037-09-30T00:00:00.000","Female","White, alone","1473359"
"2037-09-30T00:00:00.000","Female","Black or African American, alone","460448"
"2037-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","22909"
"2037-09-30T00:00:00.000","Female","Asian, alone","67435"
"2037-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10448"
"2037-09-30T00:00:00.000","Female","Some other race, alone","53917"
"2037-09-30T00:00:00.000","Female","Two or more races","121528"
"2037-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","267060"
"2037-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1315014"
"2037-09-30T00:00:00.000","Male","All Veterans","11955411"
"2037-09-30T00:00:00.000","Male","White, alone","9100678"
"2037-09-30T00:00:00.000","Male","Black or African American, alone","1609593"
"2037-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","106792"
"2037-09-30T00:00:00.000","Male","Asian, alone","253267"
"2037-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34769"
"2037-09-30T00:00:00.000","Male","Some other race, alone","284401"
"2037-09-30T00:00:00.000","Male","Two or more races","565911"
"2037-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1403902"
"2037-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","8214982"
"2038-09-30T00:00:00.000","Female","All Veterans","2213946"
"2038-09-30T00:00:00.000","Female","White, alone","1474854"
"2038-09-30T00:00:00.000","Female","Black or African American, alone","460433"
"2038-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","23078"
"2038-09-30T00:00:00.000","Female","Asian, alone","68462"
"2038-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10505"
"2038-09-30T00:00:00.000","Female","Some other race, alone","54088"
"2038-09-30T00:00:00.000","Female","Two or more races","122526"
"2038-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","270169"
"2038-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1314836"
"2038-09-30T00:00:00.000","Male","All Veterans","11716086"
"2038-09-30T00:00:00.000","Male","White, alone","8884388"
"2038-09-30T00:00:00.000","Male","Black or African American, alone","1584412"
"2038-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","105953"
"2038-09-30T00:00:00.000","Male","Asian, alone","250760"
"2038-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34921"
"2038-09-30T00:00:00.000","Male","Some other race, alone","283602"
"2038-09-30T00:00:00.000","Male","Two or more races","572049"
"2038-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1411287"
"2038-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","7991697"
"2039-09-30T00:00:00.000","Female","All Veterans","2216837"
"2039-09-30T00:00:00.000","Female","White, alone","1475873"
"2039-09-30T00:00:00.000","Female","Black or African American, alone","460012"
"2039-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","23244"
"2039-09-30T00:00:00.000","Female","Asian, alone","69487"
"2039-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10558"
"2039-09-30T00:00:00.000","Female","Some other race, alone","54223"
"2039-09-30T00:00:00.000","Female","Two or more races","123441"
"2039-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","273180"
"2039-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1314239"
"2039-09-30T00:00:00.000","Male","All Veterans","11486982"
"2039-09-30T00:00:00.000","Male","White, alone","8678071"
"2039-09-30T00:00:00.000","Male","Black or African American, alone","1559147"
"2039-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","105185"
"2039-09-30T00:00:00.000","Male","Asian, alone","248247"
"2039-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","35090"
"2039-09-30T00:00:00.000","Male","Some other race, alone","282756"
"2039-09-30T00:00:00.000","Male","Two or more races","578487"
"2039-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1418940"
"2039-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","7778045"
"2040-09-30T00:00:00.000","Female","All Veterans","2218576"
"2040-09-30T00:00:00.000","Female","White, alone","1476324"
"2040-09-30T00:00:00.000","Female","Black or African American, alone","459159"
"2040-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","23405"
"2040-09-30T00:00:00.000","Female","Asian, alone","70505"
"2040-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","10606"
"2040-09-30T00:00:00.000","Female","Some other race, alone","54313"
