Name,Address,Website,Email,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Linden Woods Community Centre,414 Lindenwood Dr W,http://www.gcwcc.mb.ca/LindenWoodsCommunityCentre.htm,,190,"(49.83608905342676, -97.1979262868936)",5,71,
Lord Roberts Community Centre,725 Kylemore Ave,http://www.gcwcc.mb.ca/LordRobertsCommunityCentre.htm,lordroberts725@shaw.ca,159,"(49.86006501357262, -97.14396096499839)",6,99,
Luxton Community Centre,210 St Cross St,http://www.gcwcc.mb.ca/LuxtonCommunityCentre.htm,luxtoncc@mts.net,85,"(49.924998270955605, -97.11862160751153)",4,116,
Maples Community Centre,434 Adsum Dr,http://www.gcwcc.mb.ca/MaplesCommunityCentre.htm,maplescc@mts.net,33,"(49.953569987080556, -97.17496204566221)",2,136,
Maples Community Centre - Elwick site,44 Maberley Rd,,,44,"(49.94561330010992, -97.16609089187686)",2,136,
Maples Community Centre - James Nisbett site,70 Doubleday Dr,,,45,"(49.952314012871255, -97.16589896179259)",2,136,
Melrose Park Community Centre,480 Kimberly Ave,http://www.gcwcc.mb.ca/MelroseParkCommunityCentre.htm,,37,"(49.92329901457373, -97.0921919698942)",1,112,
Morse Place Community Centre,700 Munroe Ave,http://www.gcwcc.mb.ca/MorsePlaceCommunityCentre.htm,,95,"(49.9121923728633, -97.0845757949717)",1,89,
Norberry-Glenlee Community Centre - Glenlee site,176 Worthington Ave,http://www.gcwcc.mb.ca/Norberry-GlenleeCC-GlenleeSite.htm,,143,"(49.84172204664292, -97.09764443591045)",11,114,
Norberry-Glenlee Community Centre - Norberry site,26 Molgat Ave,http://www.gcwcc.mb.ca/Norberry-GlenleeCommunityCentre.htm,ngcc@shaw.ca,18,"(49.84373603727605, -97.11495398746457)",11,21,
Norquay Community Centre,65 Granville St,http://www.gcwcc.mb.ca/NorquayCommunityCentre.htm,nccentre@mts.net,70,"(49.910058881465055, -97.12737668375793)",4,85,
North Kildonan Community Centre,1144 Kingsford Pl,http://www.gcwcc.mb.ca/NorthKildonanCommunityCentre.htm,nkcc@shaw.ca,99,"(49.93374899106969, -97.07348698854308)",10,12,
Northwood Community Centre,1415 Burrows Ave,http://www.northwoodcc.ca/,northwoodcc@mts.net,34,"(49.93063697847711, -97.17922396602425)",12,193,
Northwood Community Centre - Frank Whyte Site,1245 Fife St,http://www.gcwcc.mb.ca/NorthwoodCC-FrankWhyteSite.htm,,87,"(49.938803426105295, -97.16704275199365)",12,122,
Norwood Community Centre,87 Walmer St,http://www.gcwcc.mb.ca/NorwoodCommunityCentre.htm,,139,"(49.8794353537537, -97.12905850154834)",8,179,
Notre Dame Recreation Association,271 De La Cathedrale Ave,http://www.gcwcc.mb.ca/NotreDameCommunityCentre.htm,admin@ndrc.ca,36,"(49.89068109309798, -97.11656438682236)",8,178,
Oxford Heights Community Centre,359 Dowling Ave E,http://www.gcwcc.mb.ca/OxfordHeightsCommunityCentre.htm,OxfordHeights@shaw.ca,112,"(49.90673099041191, -96.99239999946505)",9,134,
Park City West Community Centre,115 Sanford Fleming Rd,http://www.gcwcc.mb.ca/ParkCityWestCommunityCentre.htm,,114,"(49.90691701236707, -97.01906305169072)",9,187,
Ralph Brown Community Centre,460 Andrews St,http://www.gcwcc.mb.ca/RalphBrownCommunityCentre.htm,,46,"(49.92665301194889, -97.1388060463014)",4,121,
Red River Community Centre,293 Murray Ave,http://www.gcwcc.mb.ca/RedRiverCommunityCentre.htm,,64,"(49.955729224367985, -97.1010371138449)",2,5,
Richmond Kings Community Centre,666 Silverstone Ave,http://www.gcwcc.mb.ca/RichmondKingsCommunityCentre.htm,rkcc@mts.net,30,"(49.79930876858261, -97.13673709959048)",7,201,
Richmond Kings Community Centre - Ryerson Recreation Site,577 Dalhousie Dr,,,156,"(49.784484084769744, -97.14676970467082)",7,201,
River Osborne Community Centre,101 Pembina Hwy,http://www.gcwcc.mb.ca/RiverOsborneCommunityCentre.htm,rocc@mts.net,40,"(49.874738999442904, -97.1434619954407)",6,156,
Riverview Community Centre,90 Ashland Ave,http://www.gcwcc.mb.ca/RiverviewCommunityCentre.htm,gm@riverviewcc.ca,182,"(49.86470197881734, -97.11886897493167)",6,169,
Robert A. Steen Memorial Community Centre,980 Palmerston Ave,http://www.gcwcc.mb.ca/RobertA.SteenCommunityCentre.htm,sbmanager_rasteen@mts.net,28,"(49.8770344673054, -97.1731859624174)",3,14,
Roblin Park Community Centre,640 Pepperloaf Cres,http://www.gcwcc.mb.ca/RoblinParkCommunityCentre.htm,rpccweb@roblinpark.mb.ca,32,"(49.85353424394073, -97.28930471378138)",15,195,
Sinclair Park Community Centre,490 Sinclair St,http://www.gcwcc.mb.ca/SinclairParkCommunityCentre.htm,spcc@mts.net,84,"(49.93018963297035, -97.15099047838999)",12,158,
Sinclair Park Community Centre - Robertson Site,665 Radford St,,,82,"(49.93469744636509, -97.15996449297054)",12,158,
Sir John Franklin Community Centre,1 Sir John Franklin Rd,http://www.gcwcc.mb.ca/SirJohnFranklinCommunityCentre.htm,c4sportservices@yahoo.ca,186,"(49.86474454235308, -97.19642887494899)",5,202,
Southdale Community Centre,254 Lakewood Blvd,http://www.gcwcc.mb.ca/SouthdaleCommunityCentre.htm,generalmanagersra@shawcable.com,128,"(49.84611069752889, -97.07808384306922)",8,61,
South Transcona Community Centre,124 Borden Ave,http://www.gcwcc.mb.ca/SouthTransconaCommunityCentre.htm,,115,"(49.88427505095871, -97.00122655335034)",9,79,
St. Norbert Community Centre,3450 Pembina Hwy,http://www.gcwcc.mb.ca/St.NorbertCommunityCentre.htm,facility.mgr@shawcable.com,155,"(49.768369913649465, -97.15448791479368)",7,80,
Sturgeon Heights Community Centre - Rita Site,210 Rita St,http://www.gcwcc.mb.ca/SturgeonCreekCommunityCentre.htm,Sturgeon_creek@hotmail.com,54,"(49.87607903909241, -97.2582760249009)",13,35,
Tuxedo Community Centre,368 Southport Blvd,http://www.gcwcc.mb.ca/TuxedoCommunityCentre.htm,info@tuxedocc.ca,149,"(49.86494798467806, -97.21620406507425)",15,34,
Tyndall Park Community Centre,2255 King Edward St,http://www.gcwcc.mb.ca/TyndallParkCommunityCentre.htm,tyndallparkcc@shaw.ca,91,"(49.93801800734525, -97.20499701076554)",12,127,
Tyndall Park Community Centre - Garden Grove Site,2370 Burrows Ave,,,89,"(49.940284129810514, -97.21660421787315)",12,127,
Valley Gardens Community Centre,218 Antrim Rd,http://www.gcwcc.mb.ca/ValleyGardensCommunityCentre.htm,vgcc@shaw.ca,98,"(49.91999656662131, -97.07069587264228)",1,13,
Valour Community Centre - Clifton site,1315 Strathcona St,http://www.gcwcc.mb.ca/ValourCC-CliftonSite.htm,carrieg@mts.net,52,"(49.901511000840486, -97.19031797565843)",3,70,
Valour Community Centre - Isaac Brock site,715 Telfer St N,http://www.gcwcc.mb.ca/ValourCommunityCentre.htm,carrieg@mts.net,53,"(49.887739553930544, -97.18682216321731)",3,51,
Valour Community Centre - Orioles Site,444 Burnell St,http://www.gcwcc.mb.ca/ValourCC-OriolesSite.htm,carrieg@mts.net,1,"(49.89057741203853, -97.17086591507581)",3,168,
Varsity View Community Centre,315 Laxdal Rd,http://www.gcwcc.mb.ca/VarsityViewCommunityCentre.htm,vvcc@mts.net,145,"(49.863936440345185, -97.25920443607107)",15,217,
Varsity View Community Centre - Sportsplex,4230 Ridgewood Ave,,,184,"(49.84356378640724, -97.2710431185333)",15,77,
Vince Leah Community Centre,1295 Salter St,http://www.gcwcc.mb.ca/VinceLeahCommunityCentre.htm,,66,"(49.950756818570476, -97.11602184234458)",4,1,
Waverley Heights Community Centre,1885 Chancellor Dr,http://www.gcwcc.mb.ca/WaverleyHeightsCommunityCentre.htm,info@waverleyheights.mb.ca,158,"(49.80967997895802, -97.16138003942079)",7,164,
Westdale Community Centre,550 Dale Blvd,http://www.gcwcc.mb.ca/WestdaleCommunityCentre.htm,westdale@mts.net,148,"(49.861267520724276, -97.31578242370472)",15,223,
Westdale Community Centre - Pembina Trail Site,6363 Rannock Ave,,,147,"(49.850733027123425, -97.31058805124943)",15,221,
West Kildonan Community Centre,346 Perth Ave,http://www.gcwcc.mb.ca/WestKildonanCommunityCentre.htm,wkmcc@mts.net,65,"(49.93709208786395, -97.12673929105176)",4,102,
Weston Community Centre,1625 Logan Ave,http://www.gcwcc.mb.ca/WestonCommunityCentre.htm,westonsite@mts.net,14,"(49.92103804617631, -97.19266498465784)",13,28,
Westridge Community Centre,3 Marshall Cres,http://www.gcwcc.mb.ca/WestridgeCommunityCentre.htm,President@wr-cc.ca,179,"(49.83749800451583, -97.15663901197976)",5,26,
Westridge Community Centre - Whyte Ridge Site,170 Fleetwood Rd,http://www.gcwcc.mb.ca/WhyteridgeCC.htm,communications@whyteridge.ca,187,"(49.81216303966723, -97.21559394408013)",15,75,
Wildwood Community Centre,271 North Dr,http://www.gcwcc.mb.ca/WildwoodCommunityCentre.htm,info@wildwoodcc.ca,160,"(49.849282844175065, -97.12803764981962)",6,170,
Winakwa Community Centre,980 Winakwa Rd,http://www.gcwcc.mb.ca/WinakwaCommunityCentre.htm,info@winakwacc.ca,134,"(49.86357984655032, -97.07469357317122)",8,157,
Windsor Community Centre,99 Springside Dr,http://www.gcwcc.mb.ca/WindsorCommunityCentre.htm,wcclub1@mts.net,188,"(49.85382404532618, -97.11825100603403)",11,125,
Woodhaven Community Centre,200 Glendale Blvd,http://www.gcwcc.mb.ca/WoodhavenCommunityCentre.htm,,25,"(49.8739243292808, -97.27124230278643)",13,220,
