"state","year","table","measure","characteristic_label","format","value"
"District of Columbia","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.540069598"
"Florida","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","124"
"Florida","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","124"
"Florida","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","3.020611533"
"Georgia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","113"
"Georgia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Georgia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","113"
"Georgia","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","4.512469591"
"Hawaii","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","4"
"Hawaii","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Hawaii","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","4"
"Hawaii","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.286864651"
"Idaho","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","5"
"Idaho","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","1"
"Idaho","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","6"
"Idaho","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.38620312"
"Illinois","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","77"
"Illinois","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Illinois","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","77"
"Illinois","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.602518088"
"Indiana","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","34"
"Indiana","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","34"
"Indiana","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.152639896"
"Iowa","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","12"
"Iowa","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Iowa","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","12"
"Iowa","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.646551298"
"Kansas","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","8"
"Kansas","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Kansas","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","8"
"Kansas","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.111795174"
"Kentucky","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","16"
"Kentucky","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Kentucky","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","16"
"Kentucky","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.581548079"
"Louisiana","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","38"
"Louisiana","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","1"
"Louisiana","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","39"
"Louisiana","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","3.498344565"
"Maryland","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","17"
"Maryland","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","11"
"Maryland","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","28"
"Maryland","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.076803147"
"Michigan","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","55"
"Michigan","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","28"
"Michigan","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","83"
"Michigan","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","3.760243265"
"Minnesota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","17"
"Minnesota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Minnesota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","17"
"Minnesota","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.323588607"
"Mississippi","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","35"
"Mississippi","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Mississippi","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","35"
"Mississippi","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","4.815312142"
"Missouri","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","29"
"Missouri","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","6"
"Missouri","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","35"
"Missouri","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.515314673"
"Montana","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","2"
"Montana","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","2"
"Montana","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","0.883314195"
"Nebraska","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","3"
"Nebraska","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Nebraska","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","3"
"Nebraska","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","0.637840527"
"Nevada","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","12"
"Nevada","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","1"
"Nevada","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","13"
"Nevada","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.942722561"
"New Hampshire","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","0"
"New Hampshire","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","4"
"New Hampshire","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","4"
"New Hampshire","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.515162994"
"New Jersey","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","23"
"New Jersey","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"New Jersey","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","23"
"New Jersey","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.150678325"
"New Mexico","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","13"
"New Mexico","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","1"
"New Mexico","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","14"
"New Mexico","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.817422943"
"New York","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","96"
"New York","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","12"
"New York","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","108"
"New York","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.564822931"
"North Dakota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","3"
"North Dakota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"North Dakota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","3"
"North Dakota","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.724871497"
"Ohio","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","67"
"Ohio","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","7"
"Ohio","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","74"
"Ohio","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.815318529"
"Oklahoma","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","31"
"Oklahoma","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Oklahoma","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","31"
"Oklahoma","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","3.224729305"
"Oregon","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","27"
"Oregon","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","27"
"Oregon","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","3.129143217"
"Pennsylvania","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","34"
"Pennsylvania","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Pennsylvania","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","34"
"Pennsylvania","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.26381179"
"Puerto Rico","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","4"
"Puerto Rico","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","3"
"Puerto Rico","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","7"
"Puerto Rico","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","0.949292845"
"Rhode Island","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","0"
"Rhode Island","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","0"
"Rhode Island","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","0"
"South Carolina","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","23"
"South Carolina","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"South Carolina","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","23"
"South Carolina","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.107022063"
"South Dakota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","11"
"South Dakota","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","11"
"South Dakota","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","5.205277205"
"Tennessee","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","31"
"Tennessee","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","1"
"Tennessee","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","32"
"Tennessee","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.136736442"
"Texas","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","162"
"Texas","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Texas","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","162"
"Texas","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.246327566"
"Utah","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","6"
"Utah","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Utah","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","6"
"Utah","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","0.657537129"
"Vermont","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","3"
"Vermont","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Vermont","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","3"
"Vermont","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.501605197"
"Virginia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","54"
"Virginia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Virginia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","54"
"Virginia","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.887049019"
"Washington","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","27"
"Washington","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","27"
"Washington","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.67510215"
"West Virginia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","9"
"West Virginia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"West Virginia","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","9"
"West Virginia","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.370941738"
"Wisconsin","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","17"
"Wisconsin","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","17"
"Wisconsin","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.313120546"
"Wyoming","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","2"
"Wyoming","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","0"
"Wyoming","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","2"
"Wyoming","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","1.439936643"
"National","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Child File","Number","1327"
"National","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Reported in the Agency File","Number","258"
"National","2015","Child Fatalities by Submission Type","Child fatalities by submission type","Total","Number","1585"
"National","2015","Child Fatalities by Submission Type","Child fatalities, rate per 100,000 children","Total","Rate","2.249871527"
"Alabama","2011","Child Fatalities, Trend","Child fatalities","Total","Number","11"
"Alabama","2012","Child Fatalities, Trend","Child fatalities","Total","Number","21"
"Alabama","2013","Child Fatalities, Trend","Child fatalities","Total","Number","32"
"Alabama","2014","Child Fatalities, Trend","Child fatalities","Total","Number","17"
"Alabama","2015","Child Fatalities, Trend","Child fatalities","Total","Number","13"
"Alaska","2011","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"Alaska","2012","Child Fatalities, Trend","Child fatalities","Total","Number","4"
"Alaska","2013","Child Fatalities, Trend","Child fatalities","Total","Number","1"
"Alaska","2014","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"Alaska","2015","Child Fatalities, Trend","Child fatalities","Total","Number","5"
"Arizona","2011","Child Fatalities, Trend","Child fatalities","Total","Number","34"
"Arizona","2012","Child Fatalities, Trend","Child fatalities","Total","Number","30"
"Arizona","2013","Child Fatalities, Trend","Child fatalities","Total","Number","54"
"Arizona","2014","Child Fatalities, Trend","Child fatalities","Total","Number","43"
"Arizona","2015","Child Fatalities, Trend","Child fatalities","Total","Number","51"
"Arkansas","2011","Child Fatalities, Trend","Child fatalities","Total","Number","12"
"Arkansas","2012","Child Fatalities, Trend","Child fatalities","Total","Number","33"
"Arkansas","2013","Child Fatalities, Trend","Child fatalities","Total","Number","29"
"Arkansas","2014","Child Fatalities, Trend","Child fatalities","Total","Number","21"
"Arkansas","2015","Child Fatalities, Trend","Child fatalities","Total","Number","40"
"California","2011","Child Fatalities, Trend","Child fatalities","Total","Number","123"
"California","2012","Child Fatalities, Trend","Child fatalities","Total","Number","130"
"California","2013","Child Fatalities, Trend","Child fatalities","Total","Number","139"
"California","2014","Child Fatalities, Trend","Child fatalities","Total","Number","134"
"California","2015","Child Fatalities, Trend","Child fatalities","Total","Number","122"
"Colorado","2011","Child Fatalities, Trend","Child fatalities","Total","Number","32"
"Colorado","2012","Child Fatalities, Trend","Child fatalities","Total","Number","39"
"Colorado","2013","Child Fatalities, Trend","Child fatalities","Total","Number","21"
"Colorado","2014","Child Fatalities, Trend","Child fatalities","Total","Number","20"
"Colorado","2015","Child Fatalities, Trend","Child fatalities","Total","Number","19"
"Connecticut","2011","Child Fatalities, Trend","Child fatalities","Total","Number","8"
"Connecticut","2012","Child Fatalities, Trend","Child fatalities","Total","Number","6"
"Connecticut","2013","Child Fatalities, Trend","Child fatalities","Total","Number","5"
"Connecticut","2014","Child Fatalities, Trend","Child fatalities","Total","Number","13"
"Connecticut","2015","Child Fatalities, Trend","Child fatalities","Total","Number","11"
"Delaware","2011","Child Fatalities, Trend","Child fatalities","Total","Number","1"
"Delaware","2012","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"Delaware","2013","Child Fatalities, Trend","Child fatalities","Total","Number","6"
"Delaware","2014","Child Fatalities, Trend","Child fatalities","Total","Number","5"
"Delaware","2015","Child Fatalities, Trend","Child fatalities","Total","Number","1"
"District of Columbia","2011","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"District of Columbia","2012","Child Fatalities, Trend","Child fatalities","Total","Number","2"
"District of Columbia","2013","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"District of Columbia","2014","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"District of Columbia","2015","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"Florida","2011","Child Fatalities, Trend","Child fatalities","Total","Number","133"
"Florida","2012","Child Fatalities, Trend","Child fatalities","Total","Number","179"
"Florida","2013","Child Fatalities, Trend","Child fatalities","Total","Number","121"
"Florida","2014","Child Fatalities, Trend","Child fatalities","Total","Number","138"
"Florida","2015","Child Fatalities, Trend","Child fatalities","Total","Number","124"
"Georgia","2011","Child Fatalities, Trend","Child fatalities","Total","Number","65"
"Georgia","2012","Child Fatalities, Trend","Child fatalities","Total","Number","71"
"Georgia","2013","Child Fatalities, Trend","Child fatalities","Total","Number","90"
"Georgia","2014","Child Fatalities, Trend","Child fatalities","Total","Number","102"
"Georgia","2015","Child Fatalities, Trend","Child fatalities","Total","Number","113"
"Hawaii","2011","Child Fatalities, Trend","Child fatalities","Total","Number","2"
"Hawaii","2012","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"Hawaii","2013","Child Fatalities, Trend","Child fatalities","Total","Number","5"
"Hawaii","2014","Child Fatalities, Trend","Child fatalities","Total","Number","2"
"Hawaii","2015","Child Fatalities, Trend","Child fatalities","Total","Number","4"
"Idaho","2011","Child Fatalities, Trend","Child fatalities","Total","Number","3"
"Idaho","2012","Child Fatalities, Trend","Child fatalities","Total","Number","6"
"Idaho","2013","Child Fatalities, Trend","Child fatalities","Total","Number","5"
"Idaho","2014","Child Fatalities, Trend","Child fatalities","Total","Number","4"
"Idaho","2015","Child Fatalities, Trend","Child fatalities","Total","Number","6"
"Illinois","2011","Child Fatalities, Trend","Child fatalities","Total","Number","82"
"Illinois","2012","Child Fatalities, Trend","Child fatalities","Total","Number","105"
"Illinois","2013","Child Fatalities, Trend","Child fatalities","Total","Number","93"
"Illinois","2014","Child Fatalities, Trend","Child fatalities","Total","Number","100"
"Illinois","2015","Child Fatalities, Trend","Child fatalities","Total","Number","77"
"Indiana","2011","Child Fatalities, Trend","Child fatalities","Total","Number","34"
"Indiana","2012","Child Fatalities, Trend","Child fatalities","Total","Number","23"
"Indiana","2013","Child Fatalities, Trend","Child fatalities","Total","Number","28"
"Indiana","2014","Child Fatalities, Trend","Child fatalities","Total","Number","49"
"Indiana","2015","Child Fatalities, Trend","Child fatalities","Total","Number","34"
"Iowa","2011","Child Fatalities, Trend","Child fatalities","Total","Number","10"
"Iowa","2012","Child Fatalities, Trend","Child fatalities","Total","Number","7"
"Iowa","2013","Child Fatalities, Trend","Child fatalities","Total","Number","5"
"Iowa","2014","Child Fatalities, Trend","Child fatalities","Total","Number","8"
"Iowa","2015","Child Fatalities, Trend","Child fatalities","Total","Number","12"
"Kansas","2011","Child Fatalities, Trend","Child fatalities","Total","Number","10"
"Kansas","2012","Child Fatalities, Trend","Child fatalities","Total","Number","8"
"Kansas","2013","Child Fatalities, Trend","Child fatalities","Total","Number","7"
"Kansas","2014","Child Fatalities, Trend","Child fatalities","Total","Number","13"
"Kansas","2015","Child Fatalities, Trend","Child fatalities","Total","Number","8"
"Kentucky","2011","Child Fatalities, Trend","Child fatalities","Total","Number","32"
"Kentucky","2012","Child Fatalities, Trend","Child fatalities","Total","Number","26"
"Kentucky","2013","Child Fatalities, Trend","Child fatalities","Total","Number","23"
"Kentucky","2014","Child Fatalities, Trend","Child fatalities","Total","Number","15"
"Kentucky","2015","Child Fatalities, Trend","Child fatalities","Total","Number","16"
"Louisiana","2011","Child Fatalities, Trend","Child fatalities","Total","Number","45"
"Louisiana","2012","Child Fatalities, Trend","Child fatalities","Total","Number","42"
"Louisiana","2013","Child Fatalities, Trend","Child fatalities","Total","Number","43"
"Louisiana","2014","Child Fatalities, Trend","Child fatalities","Total","Number","31"
"Louisiana","2015","Child Fatalities, Trend","Child fatalities","Total","Number","39"
"Maine","2011","Child Fatalities, Trend","Child fatalities","Total","Number","1"
"Maryland","2011","Child Fatalities, Trend","Child fatalities","Total","Number","10"
"Maryland","2012","Child Fatalities, Trend","Child fatalities","Total","Number","26"
"Maryland","2013","Child Fatalities, Trend","Child fatalities","Total","Number","27"
"Maryland","2014","Child Fatalities, Trend","Child fatalities","Total","Number","24"
"Maryland","2015","Child Fatalities, Trend","Child fatalities","Total","Number","28"
"Massachusetts","2011","Child Fatalities, Trend","Child fatalities","Total","Number","23"
"Massachusetts","2012","Child Fatalities, Trend","Child fatalities","Total","Number","20"
"Massachusetts","2013","Child Fatalities, Trend","Child fatalities","Total","Number","30"
"Massachusetts","2014","Child Fatalities, Trend","Child fatalities","Total","Number","26"
"Michigan","2011","Child Fatalities, Trend","Child fatalities","Total","Number","74"
"Michigan","2012","Child Fatalities, Trend","Child fatalities","Total","Number","63"
"Michigan","2013","Child Fatalities, Trend","Child fatalities","Total","Number","59"
"Michigan","2014","Child Fatalities, Trend","Child fatalities","Total","Number","76"
"Michigan","2015","Child Fatalities, Trend","Child fatalities","Total","Number","83"
"Minnesota","2011","Child Fatalities, Trend","Child fatalities","Total","Number","15"
"Minnesota","2012","Child Fatalities, Trend","Child fatalities","Total","Number","10"
"Minnesota","2013","Child Fatalities, Trend","Child fatalities","Total","Number","18"
"Minnesota","2014","Child Fatalities, Trend","Child fatalities","Total","Number","15"
"Minnesota","2015","Child Fatalities, Trend","Child fatalities","Total","Number","17"
"Mississippi","2011","Child Fatalities, Trend","Child fatalities","Total","Number","13"
"Mississippi","2012","Child Fatalities, Trend","Child fatalities","Total","Number","7"
"Mississippi","2013","Child Fatalities, Trend","Child fatalities","Total","Number","12"
"Mississippi","2014","Child Fatalities, Trend","Child fatalities","Total","Number","22"
"Mississippi","2015","Child Fatalities, Trend","Child fatalities","Total","Number","35"
"Missouri","2011","Child Fatalities, Trend","Child fatalities","Total","Number","36"
"Missouri","2012","Child Fatalities, Trend","Child fatalities","Total","Number","20"
"Missouri","2013","Child Fatalities, Trend","Child fatalities","Total","Number","39"
"Missouri","2014","Child Fatalities, Trend","Child fatalities","Total","Number","36"
"Missouri","2015","Child Fatalities, Trend","Child fatalities","Total","Number","35"
"Montana","2011","Child Fatalities, Trend","Child fatalities","Total","Number","0"
"Montana","2012","Child Fatalities, Trend","Child fatalities","Total","Number","2"
