"location_code","prek_type","borough","district","name","phone","day_length","area_name","seats","spcoordx","spcoordy","email","website","meals","sems_code","location"
"XAGX","NYCEEC","Bronx","8","LSSMNY: Early Life Children's Center 6","(718) 943-0580","Full Day","Westchester - Unionport","53","1024951","241571","vmoreira@lssny.org","http://lssny.org","7","08XAGX","2125 Watson Avenue
Bronx, NY 10472
(40.829487792000066, -73.85279411699997)"
"XAWP","NYCEEC","Bronx","11","St. Lucy Early Childhood Academy","(718) 882-2203","Full Day","Bronxdale","72","1022416","253151","minneci@stlucys.org","http://stlucys.org","5","11XAWP","2401 Bronxwood Avenue
Bronx, NY 10469
(40.86133089100008, -73.86173206599995)"
"X109","DOE","Bronx","9","P.S. 109 Sedgwick","(718) 583-8878","Full Day","University Heights - Morris Heights","54","1006730","249524","jclaudi@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X109","2","09X109","1771 POPHAM AVENUE
Bronx, NY 10453
(40.85154477000003, -73.91837738899994)"
"Z029","DOE","Bronx","7","Pre-K Center at 535 Union Avenue","(212) 637-8036","Full Day","Mott Haven - Port Morris","180","1010311","235124","BSaffer3@schools.nyc.gov",,"5","07Z029","535 Union Avenue
Bronx, NY 10455
(40.81215044400005, -73.90554984099998)"
"XAFL","NYCEEC","Bronx","11","Garvey School, The","(781) 320-3902","Full Day","Co-op City","38","1030446","259204","thegarveyschool@gmail.com","http://garveyschool.org","3","11XAFL","950 Baychester Avenue
Bronx, NY 10475
(40.87890314600003, -73.83259512499995)"
"X089","DOE","Bronx","11","P.S. 089 Bronx","(718) 653-0835","Full Day","Bronxdale","72","1023177","253641","rmartin72@schools.nyc.gov","http://schools.nyc.gov/schoolportals/11/X089","2","11X089","980 MACE AVENUE
Bronx, NY 10469
(40.863039780000065, -73.85939474099996)"
"X369","DOE","Bronx","7","Young Leaders Elementary School","(718) 292-7391","Full Day","Mott Haven - Port Morris","28","1006464","234126","aponte13@schools.nyc.gov","http://schools.nyc.gov/schoolportals/07/X369","3","07X369","468 EAST 140 STREET
Bronx, NY 10454
(40.80935397200005, -73.91955156399996)"
"XABL","NYCEEC","Bronx","8","Holy Family School","(718) 863-7280","Full Day","Westchester - Unionport","72","1025519","241386","b203@adnyedcuation.org","http://hfsflushing.org","3","08XABL","2169 Blackrock Ave
Bronx, NY 10472
(40.82896811300003, -73.85105417099999)"
"XABN","NYCEEC","Bronx","10","Holy Spirit School","(718) 731-8439","Half Day","University Heights - Morris Heights","54","1008654","250405","mfelix@cmcs.org","http://cmcs.org","3","10XABN","1960 University Avenue
Bronx, NY 10453
(40.85414399700005, -73.91195159699998)"
"XAPB","NYCEEC","Bronx","10","Riverdale Presbyterian Church and Nursery School","(718) 548-8260","Half Day","North Riverdale - Fieldston - Riverdale","40","1009462","265716","bmerceinrpcns@gmail.com","http://rpcns.com","8","10XAPB","4765 Henry Hudson Parkway West
Bronx, NY 10471
(40.89595245000004, -73.90834114299997)"
"XALV","NYCEEC","Bronx","10","Kingsbridge Heights Community Center","(718) 690-9466","Full Day","Spuyten Duyvil - Kingsbridge","134","1009731","260248","ydisla@khcc-nyc.org","http://khcc-nyc.org","3","10XALV","295 West 231st Street
Bronx, NY 10463
(40.88069634800007, -73.90811631899999)"
"XANN","NYCEEC","Bronx","8","Gwendolyn Bland DC","(718) 991-1050","Full Day","Morrisania - Melrose","39","1010834","239321","KNorfleet@sebnc.org","http://sebnc.org","3","08XANN","749 East 163rd Street
Bronx, NY 10456
(40.82295156500004, -73.90397740099996)"
"XAOT","NYCEEC","Bronx","10","Kingsbridge Heights Community Center","(718) 884-0700","Full Day","Van Cortlandt Village","41","1011744","259002","ydisla@khcc-nyc.org","http://khcc.org","3","10XAOT","3101 Kingsbridge Terrace
Bronx, NY 10463
(40.87742502000003, -73.90049743199995)"
"X359","DOE","Bronx","7","Concourse Village Elementary School","(718) 402-7503","Full Day","East Concourse - Concourse Village","24","1005524","239082","asorden@schools.nyc.gov","http://schools.nyc.gov/schoolportals/07/X359","2","07X359","750 CONCOURSE VILLAGE WEST
Bronx, NY 10451
(40.82313411000007, -73.92331145899993)"
"X065","DOE","Bronx","7","P.S. 065 Mother Hale Academy","(718) 292-4628","Full Day","Mott Haven - Port Morris","36","1008419","233518","jgonzalez@schools.nyc.gov","http://schools.nyc.gov/schoolportals/07/X065","2","07X065","677 EAST 141 STREET
Bronx, NY 10454
(40.80742620400008, -73.91289944099998)"
"XACX","NYCEEC","Bronx","9","St. Angela Merici School","(718) 293-3365","Full Day","East Concourse - Concourse Village","36","1006885","240691","b221@adnyeducation.org",,"5","09XACX","266 East 163rd Street
Bronx, NY 10451
(40.82728810700007, -73.91772824999998)"
"XAJB","NYCEEC","Bronx","10","Concourse House, HDFC","(917) 801-2515","Full Day","Fordham South","65","1013411","251627","wgelabert@concoursehouse.org","http://concoursehouse.org","3","10XAJB","2348 Webster Ave
Bronx, NY 10458
(40.85746784000003, -73.89477152299997)"
"XAON","NYCEEC","Bronx","10","Brenda's Playschool","(718) 796-5048","Full Day","Van Cortlandt Village","12","1013286","261771","Brendacaceres@aol.com",,"5","10XAON","3930 Bailey Avenue
Bronx, NY 10463
(40.885176803000036, -73.89617005799994)"
"XAPU","NYCEEC","Bronx","11","North Bronx NCNW CDC","(718) 231-7100","Full Day","Williamsbridge - Olinville","81","1023021","263428","Rdavis82@gmail.com",,"3","11XAPU","4035 White Plains Road
Bronx, NY 10466
(40.889566613000056, -73.85962023399998)"
"XAMA","NYCEEC","Bronx","11","Brightside Academy - White Plains #2","(718) 653-4043","Full Day","Williamsbridge - Olinville","46","1022761","262392","lmcgee@brightsideacademy.com","http://brightsideacademy.com","5","11XAMA","3942 White Plains Road
Bronx, NY 10466
(40.886841092000054, -73.86088443099999)"
"XAYC","NYCEEC","Bronx","11","All Seasons A&C Day Care, LLC","(718) 231-7200","Full Day","Williamsbridge - Olinville","17","1021081","257366","asdc@optonline.net","http://allseasonsdaycarebronx.com","5","11XAYC","700 Rosewood Street
Bronx, NY 10467
(40.873183347000065, -73.86697868799996)"
"X005","DOE","Bronx","7","PS 5 Port Morris","(718) 292-2683","Full Day","Melrose South - Mott Haven North","36","1009538","235709","mpadill@schools.nyc.gov","http://schools.nyc.gov/schoolportals/07/X005","2","07X005","564 JACKSON AVENUE
Bronx, NY 10455
(40.813711925000064, -73.90885796599997)"
"X463","DOE","Bronx","12","Urban Scholars Community School","(718) 842-8133","Full Day","Morrisania - Melrose","28","1011856","241080","djones51@schools.nyc.gov","http://schools.nyc.gov/schoolportals/12/X463","2","12X463","1180 TINTON AVENUE
Bronx, NY 10456
(40.828793733000055, -73.90053872699997)"
"X100","DOE","Bronx","8","P.S. 100 Isaac Clason","(718) 842-1461","Full Day","Soundview-Castle Hl-Clason Pt-Hardng Pk","36","1022227","238734","caltman3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/08/X100","2","08X100","800 TAYLOR AVENUE
Bronx, NY 10473
(40.821473371000025, -73.86297149399996)"
"XAPP","NYCEEC","Bronx","11","Bronx House 1","(718) 792-1800","Full Day","Pelham Parkway","90","1022819","251399","serene@bronxhouse.org","http://bronxhouse.org","8","11XAPP","990 Pelham Parkway South
Bronx, NY 10461
(40.856783043000064, -73.86068955199994)"
"XAVJ","NYCEEC","Bronx","12","Little Scholars Early Development Center","(718) 887-2928","Full Day","Crotona Park East","29","1013728","242459","jcorniel29@gmail.com","http://littlescholarsedc.com","3","12XAVJ","850 Jennings Street
Bronx, NY 10459
(40.832263639000075, -73.89342818299997)"
"XAKR","NYCEEC","Bronx","8","Prospect Early Childhood Center","(718) 617-6100","Full Day","Longwood","11","1012083","236777","lcano@hfhnyc.org","http://hfhnyc.org","2","08XAKR","730 Kelly Street
Bronx, NY 10455
(40.816435813000055, -73.89977330299996)"
"XADH","NYCEEC","Bronx","10","Saint Brendan School","(718) 653-2292","Full Day","Norwood","36","1018077","258240","stbrendanschoolbronx@gmail.com","http://stbrendanschoolbronx.org","4","10XADH","268 East 207th Street
Bronx, NY 10467
(40.875557066000056, -73.87747573099995)"
"XAEP","NYCEEC","Bronx","12","St. Thomas Aquinas School","(718) 893-7600","Full Day","East Tremont","90","1016092","245540","b263@adnyeducation.org",,"5","12XAEP","1909 Daly Avenue
Bronx, NY 10460
(40.840925198000036, -73.88446807499997)"
"XAPW","NYCEEC","Bronx","11","United Educare Preschool","(718) 882-4706","Full Day","Williamsbridge - Olinville","54","1024391","261850","ueccc@aol.com",,"3","11XAPW","3950 Bronxwood Avenue
Bronx, NY 10466
(40.88537461200008, -73.85501110699994)"
"X396","DOE","Bronx","10","P.S. 396","(718) 294-0862","Full Day","University Heights - Morris Heights","28","1008316","250639","ntine@schools.nyc.gov","http://schools.nyc.gov/schoolportals/10/X396","3","10X396","1930 ANDREWS AVENUE
Bronx, NY 10453
(40.85401987200004, -73.91373599699995)"
"XAPK","NYCEEC","Bronx","10","Salvation Army Tremont","(212) 337-7254","Full Day","Claremont - Bathgate","40","1013186","249763","Scott.See@use.salvationarmy.org","http://salvationarmy.org","3","10XAPK","2121 Washington Avenue
Bronx, NY 10457
(40.852006835000054, -73.89529948799998)"
"XAVS","NYCEEC","Bronx","10","Bedrock Preschool","(718) 884-0020","Full Day","Spuyten Duyvil - Kingsbridge","60","1008588","261603","Mego@BedRockPreschool.com","http://BedRockPreschool.com","3","10XAVS","3220 Arlington Avenue
Bronx, NY 10463
(40.88473970500007, -73.91223687899998)"
"X567","DOE","Bronx","11","Linden Tree Elementary School","(718) 239-7401","Full Day","Parkchester","18","1024930","244813","ldebonis@schools.nyc.gov","http://LindentreePTA.weebly.com","2","11X567","1560 PURDY STREET
Bronx, NY 10462
(40.83799501000004, -73.85351358699995)"
"X392","DOE","Bronx","8","Bronx Delta School","(718) 935-3621","Full Day","Schuylerville - Throgs Nk - Edgewater Pk","36","1034611","240528","info@bronxdelta.com","http://bronxdelta.com","2","08X392","650 HOLLYWOOD AVENUE
Bronx, NY 10465
(40.82648148800007, -73.81835586999995)"
"XAJG","NYCEEC","Bronx","12","Brightside Academy - Southern","(718) 842-2252","Full Day","Hunts Point","38","1014083","240232","adavis@brightsideacademy.com","http://brightsideacademy.com","5","12XAJG","1093 Southern Boulevard
Bronx, NY 10459
(40.82582123100008, -73.89195671899995)"
"Z038","DOE","Bronx","11","Pre-K Center at 1684 White Plains Road","(212) 637-8036","Full Day","Van Nest-Morris Park-Westchester Square","36","1021544","246676","BSaffer3@schools.nyc.gov",,"5","11Z038","1684 White Plains Road
Bronx, NY 10462
(40.84298557400007, -73.86526438399994)"
"XALR","NYCEEC","Bronx","8","Five Star DCC","(718) 292-4774","Full Day","Morrisania - Melrose","41","1009508","239708","Kamey@sebnc.org","http://sebnc.org","3","08XALR","3261 Third Avenue
Bronx, NY 10456
(40.824492650000025, -73.90856225199997)"
"X236","DOE","Bronx","9","P.S. 236 Langston Hughes","(718) 299-6128","Full Day","Mount Hope","28","1009214","248586","bellis@schools.nyc.gov","http://schools.nyc.gov/schoolportals/09/X236","3","09X236","1871 WALTON AVENUE
Bronx, NY 10453
(40.848936251000055, -73.90953299299997)"
