OID_,SchoolName,District,DBN,Accessibil,Accessib_1,Website,BoroughNum,BoroughNam,PhoneNumbe,Capacity,Grades,Campus,Neighborho,Website2,ESL,Concentrat,Num_of_SAT_Test_Takers,SAT_Critical_Reading_Avg__Score,SAT_Math_Avg__Score,SAT_Writing_Avg__Score,TOTAL_SCORE,Location 1,Bronx Congressional Districts,Bronx School Districts 2010-11,2010 Bronx Census Tracts,Zip Codes
,Antonia Pantoja Preparatory Academy: A College Board School,8,08X376, , ,http://schools.nyc.gov/SchoolPortals/08/X376/default.htm,2,Bronx,718-824-3152,443,"06,07,08,09,10,11,12,SE",Adlai E. Stevenson Educational Campus,Soundview-Castle Hl-Clason Pt-Hardng Pk,http://schools.nyc.gov/schoolportals/08/X376,1,Humanities & Interdisciplinary,,,,,,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,Jonathan Levin High School for Media and Communications,9,09X414,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X414/default.htm,2,Bronx,718-992-3709,351,"09,10,11,12,SE",William Howard Taft Educational Campus,East Concourse - Concourse Village, ,0, ,35,379,364,379,1157,"240 EAST 172 STREET Bronx, NY 10457
(40.840401, -73.9108306899996)",16,4,188,10935
,Alfred E. Smith Career and Technical Education High School,7,07X600,P,Partially Accessible,http://schools.nyc.gov/SchoolPortals/07/X600/default.htm,2,Bronx,718-993-5000,439,"09,10,11,12,SE", ,Melrose South - Mott Haven North, ,1,Engineering,76,394,400,364,1234,"333 EAST 151 STREET Bronx, NY 10451
(40.818216, -73.9197282209996)",16,1,12,10929
,Bronx Regional High School,12,12X480,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/12/X480/default.htm,2,Bronx,718-991-2020,202,"10,11,12", ,Longwood, ,0, ,16,398,385,398,1197,"1010 REV. J. A. POLITE AVENUE Bronx, NY 10459
(40.825171, -73.8939498889996)",16,3,116,10937
,Gateway School for Environmental Research and Technology,8,08X295,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X295/default.htm,2,Bronx,718-824-9327,257,"09,10,11,12,SE",Adlai E. Stevenson Educational Campus,Soundview-Castle Hl-Clason Pt-Hardng Pk, ,0, ,41,416,390,394,1241,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,DreamYard Preparatory School,9,09X329,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X329/default.htm,2,Bronx,718-410-4242,304,"09,10,11,12,SE",William Howard Taft Educational Campus,East Concourse - Concourse Village,http://www.dyprep.org,1,Performing Arts,51,382,365,391,1189,"240 EAST 172 STREET Bronx, NY 10457
(40.840401, -73.9108306899996)",16,4,188,10935
,Pablo Neruda Academy for Architecture and World Studies,8,08X305,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X305/default.htm,2,Bronx,718-824-1682,279,"09,10,11,12,SE",Adlai E. Stevenson Educational Campus,Soundview-Castle Hl-Clason Pt-Hardng Pk,http://www.pablonerudaacademy.org,1,Architecture,67,337,361,340,1105,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,Harry S Truman High School,11,11X455,P,Partially Accessible,http://schools.nyc.gov/SchoolPortals/11/X455/default.htm,2,Bronx,718-904-5400,1694,"09,10,11,12,SE",Harry S Truman Educational Campus,Co-Op City,http://www.bxtrumanhighschool.com,1,Communications|Computer Science & Technology|Culinary Arts|Engineering|JROTC|Law & Government|Zoned,189,386,397,368,1340,"750 BAYCHESTER AVENUE Bronx, NY 10475
(40.874131, -73.8338409429996)",7,6,375,12344
,Riverdale / Kingsbridge Academy (Middle School / High School 141),10,10X141,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X141/default.htm,2,Bronx,718-796-8516,1325,"06,07,08,09,10,11,12,SE", ,North Riverdale - Fieldston - Riverdale,http://www.rka141.org,1,Humanities & Interdisciplinary,113,438,455,440,1446,"660 WEST 237 STREET Bronx, NY 10463
(40.8884, -73.9140904969996)",17,2,118,11272
,Marble Hill High School for International Studies,10,10X477,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/10/X477/default.htm,2,Bronx,718-561-0973,440,"09,10,11,12,SE",John F. Kennedy Educational Campus,Spuyten Duyvil - Kingsbridge,http://www.Marblehillschool.org,1,Humanities & Interdisciplinary,99,414,435,414,1362,"99 TERRACE VIEW AVENUE Bronx, NY 10463
(40.877049, -73.9123364429996)",,7,,11272
,Bronx Guild,8,08X452,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X452/default.htm,2,Bronx,718-597-1587,298,"09,10,11,12,SE",Adlai E. Stevenson Educational Campus,Soundview-Castle Hl-Clason Pt-Hardng Pk,http://www.bronxguild.org,1,Humanities & Interdisciplinary,39,369,371,365,1144,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,Pan American International High School at Monroe,12,12X388, , ,http://schools.nyc.gov/SchoolPortals/12/X388/default.htm,2,Bronx,718-991-7238,382,"09,10,11,12",James Monroe Educational Campus,West Farms - Bronx River, ,1,Humanities & Interdisciplinary,30,321,351,298,1000,"1300 BOYNTON AVENUE Bronx, NY 10472
(40.831366, -73.8788232769996)",16,3,128,11610
,Bronx High School for Writing and Communication Arts,11,11X253,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/11/X253/default.htm,2,Bronx,718-944-5660,389,"09,10,11,12,SE",Evander Childs Educational Campus,Williamsbridge - Olinville, ,1,Communications,46,400,357,390,1193,"800 EAST GUN HILL ROAD Bronx, NY 10467
(40.875781, -73.8613804909996)",17,6,347,11605
,West Bronx Academy for the Future,10,10X243,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X243/default.htm,2,Bronx,718-563-7139,585,"06,07,08,09,10,11,12,SE",Theodore Roosevelt Educational Campus,Belmont,http://www.westbronxacademy.org,1,Humanities & Interdisciplinary,26,382,406,370,1184,"500 EAST FORDHAM ROAD Bronx, NY 10458
(40.860012, -73.8882296039996)",16,2,58,10936
,Bronx Academy of Health Careers,11,11X290,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/11/X290/default.htm,2,Bronx,718-696-3340,441,"09,10,11,12,SE",Evander Childs Educational Campus,Williamsbridge - Olinville, ,1,Health Professions,69,387,365,383,1204,"800 EAST GUN HILL ROAD Bronx, NY 10467
(40.875781, -73.8613804909996)",17,6,347,11605
,Crotona Academy High School,7,07X321,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/07/X321/default.htm,2,Bronx,718-402-8378,99,"10,11,12", ,Melrose South - Mott Haven North, ,0, ,9,379,364,382,1134,"639 ST. ANNS AVENUE Bronx, NY 10455
(40.816851, -73.9116004139996)",16,1,15,10933
,DeWitt Clinton High School,10,10X440,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X440/default.htm,2,Bronx,718-543-1000,3175,"09,10,11,12,SE", ,Van Cortlandt Village,http://www.dwclintonhs.org,1,Business|Health Professions|Science & Math,443,419,426,410,1698,"100 WEST MOSHOLU PARKWAY SOUTH Bronx, NY 10468
(40.868033, -73.8797274699996)",16,2,123,10936
,Mott Haven Village Preparatory High School,7,07X473,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/07/X473/default.htm,2,Bronx,718-402-0571,344,"09,10,11,12,SE",South Bronx Educational Campus,Melrose South - Mott Haven North, ,1,Humanities & Interdisciplinary,63,351,375,371,1160,"701 ST. ANNS AVENUE Bronx, NY 10455
(40.818161, -73.9110611459996)",16,1,13,10933
,"The Marie Curie School for Medicine, Nursing, and Health Professions",10,10X237,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/10/X237/default.htm,2,Bronx,718-432-6491,543,"09,10,11,12,SE", ,Van Cortlandt Village, ,1,Health Professions,79,382,393,382,1236,"120 WEST 231 STREET Bronx, NY 10463
(40.876001, -73.9012206549996)",17,2,104,11272
,Bronx Lab School,11,11X265,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/11/X265/default.htm,2,Bronx,718-696-3700,459,"09,10,11,12,SE",Evander Childs Educational Campus,Williamsbridge - Olinville,http://www.bronxlabschool.org,1,Humanities & Interdisciplinary,81,377,391,367,1216,"800 EAST GUN HILL ROAD Bronx, NY 10467
(40.875781, -73.8613804909996)",17,6,347,11605
,Performance Conservatory High School,12,12X262,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/12/X262/default.htm,2,Bronx,718-991-0860,77,"09,10,11,12,SE", ,Crotona Park East, ,0, ,30,361,353,360,1104,"1619 BOSTON ROAD Bronx, NY 10460
(40.83594, -73.8904568409996)",16,3,132,11269
,BRONX BRIDGES HIGH SCHOOL,8,08X432, , ,http://schools.nyc.gov/SchoolPortals/08/X432/default.htm,2,Bronx,718-829-2984,240,"09,10,11,12,SE",Adlai E. Stevenson Educational Campus,Soundview-Castle Hl-Clason Pt-Hardng Pk,http://www.bronxbridges.org,1,Humanities & Interdisciplinary,,,,,,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,"Urban Assembly School for Applied Math and Science, The",9,09X241,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X241/default.htm,2,Bronx,718-466-7800,598,"06,07,08,09,10,11,12,SE", ,Claremont - Bathgate,http://www.urbanassemblymath.org,1,Science & Math,80,411,464,415,1370,"1595 BATHGATE AVENUE Bronx, NY 10457
(40.839311, -73.9012805729996)",16,4,211,10935
,Belmont Preparatory High School,10,10X434,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X434/default.htm,2,Bronx,718-733-4559,386,"09,10,11,12,SE",Theodore Roosevelt Educational Campus,Belmont,http://www.belmontprep.org,1,Humanities & Interdisciplinary,51,404,418,400,1273,"500 EAST FORDHAM ROAD Bronx, NY 10458
(40.860012, -73.8882296039996)",16,2,58,10936
,School for Community Research and Learning,8,08X540,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X540/default.htm,2,Bronx,718-892-2054,73,"10,11,12,SE",Adlai E. Stevenson Educational Campus,Soundview-Castle Hl-Clason Pt-Hardng Pk, ,0, ,16,366,400,368,1150,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,Bronx High School for the Visual Arts,11,11X418,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X418/default.htm,2,Bronx,718-319-5160,482,"09,10,11,12,SE", ,Pelham Parkway,http://www.bhsva.net,1,Visual Art & Design,48,419,433,416,1316,"2040 ANTIN PL Bronx, NY 10462
(40.850514, -73.8660879399996)",7,6,371,11271
,International School for Liberal Arts,10,10X342,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X342/default.htm,2,Bronx,718-329-8570,470,"0K,06,07,08,09,10,11,12,SE",Walton Educational Campus,Van Cortlandt Village, ,1,Humanities & Interdisciplinary,49,300,333,301,983,"2780 RESERVOIR AVENUE Bronx, NY 10468
(40.870377, -73.8981629519996)",17,2,86,11606
,Pelham Preparatory Academy,11,11X542,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X542/default.htm,2,Bronx,718-944-3601,496,"09,10,11,12,SE",Christopher Columbus Educational Campus,Bronxdale,http://www.pelhamprepacademy.org,1,Humanities & Interdisciplinary,76,431,438,419,1364,"925 ASTOR AVENUE Bronx, NY 10469
(40.859671, -73.8607409739996)",7,6,307,11607
,Foreign Language Academy of Global Studies,7,07X520,1,1st Floor Only Accessible,http://schools.nyc.gov/SchoolPortals/07/X520/default.htm,2,Bronx,718-585-4024,230,"09,10,11,12,SE", ,Mott Haven - Port Morris, ,1,Humanities & Interdisciplinary|Visual Art & Design,64,399,396,391,1250,"470 JACKSON AVENUE Bronx, NY 10455
(40.81115, -73.9098201379996)",16,1,5,10933
,"Bronx School for Law, Government and Justice",9,09X505,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X505/default.htm,2,Bronx,718-410-3430,744,"06,07,08,09,10,11,12,SE", ,East Concourse - Concourse Village,http://www.bronxlgj.org/,1,Law & Government,80,404,418,402,1304,"244 EAST 163 STREET Bronx, NY 10451
(40.827591, -73.9186759769996)",16,4,181,10929
,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,12,12X479, , ,http://schools.nyc.gov/SchoolPortals/12/X479/default.htm,2,Bronx,718-542-4011,289,"09,10,11,12,SE", ,Longwood,http://www.bccprep.com,1,Humanities & Interdisciplinary,,,,,,"800 HOME STREET Bronx, NY 10456
(40.82779, -73.9003806399996)",16,3,122,10934
,John F. Kennedy High School,10,10X475,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/10/X475/default.htm,2,Bronx,718-817-7400,330,"09,10,11,12,SE",John F. Kennedy Educational Campus,Spuyten Duyvil - Kingsbridge, ,0, ,109,351,362,339,1161,"99 TERRACE VIEW AVENUE Bronx, NY 10463
(40.877049, -73.9123364429996)",,7,,11272
,Global Enterprise High School,11,11X541,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X541/default.htm,2,Bronx,718-944-3548,111,"09,10,11,12,SE",Christopher Columbus Educational Campus,Bronxdale, ,0, ,57,372,382,375,1186,"925 ASTOR AVENUE Bronx, NY 10469
(40.859671, -73.8607409739996)",7,6,307,11607
,The Urban Assembly Bronx Academy of Letters,7,07X551,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/07/X551/default.htm,2,Bronx,718-401-4891,499,"06,07,08,09,10,11,12,SE", ,Mott Haven - Port Morris,http://www.uabronxletters.org,1,Humanities & Interdisciplinary,51,413,381,407,1252,"339 MORRIS AVENUE Bronx, NY 10451
(40.813341, -73.9255211379996)",16,1,25,10929
,Bronx Center for Science and Mathematics,9,09X260,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/09/X260/default.htm,2,Bronx,718-992-7089,439,"09,10,11,12,SE", ,Claremont - Bathgate,http://www.bcsmschool.com,1,Science & Math,81,459,480,457,1477,"1363 FULTON AVENUE Bronx, NY 10456
(40.833721, -73.9024201809996)",16,4,170,10934
,Bronx High School for Law and Community Service,10,10X439,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X439/default.htm,2,Bronx,718-733-5274,379,"09,10,11,12,SE",Theodore Roosevelt Educational Campus,Belmont, ,1,Law & Government,65,366,364,352,1147,"500 EAST FORDHAM ROAD Bronx, NY 10458
(40.860012, -73.8882296039996)",16,2,58,10936
,Peace and Diversity Academy,12,12X278,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/12/X278/default.htm,2,Bronx,718-991-1855,196,"09,10,11,12,SE", ,Longwood,http://www.peaceanddiversityacademy.org,1,Humanities & Interdisciplinary,34,390,401,364,1189,"1180 REV. J.A. POLITE AVE. Bronx, NY 10459
(40.825171, -73.8939498889996)",16,3,116,10937
,International Community High School,7,07X334, , ,http://schools.nyc.gov/SchoolPortals/07/X334/default.htm,2,Bronx,718-665-4128,427,"09,10,11,12", ,Mott Haven - Port Morris,http://www.ichs.weebly.com,1,Humanities & Interdisciplinary,34,310,324,311,979,"345 BROOK AVENUE Bronx, NY 10454
(40.810036, -73.9178124819996)",16,1,7,10932
,Bronx Arena High School,8,08X537, , ,http://schools.nyc.gov/SchoolPortals/08/X537/default.htm,2,Bronx,718-860-5056,189,"09,10,11,12", ,Soundview-Castle Hl-Clason Pt-Hardng Pk, ,0, ,,,,,,"1440 STORY AVENUE Bronx, NY 10473
(40.82117, -73.8811363459996)",16,5,225,11611
,Jane Addams High School for Academic Careers,8,08X650,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X650/default.htm,2,Bronx,718-292-4513,436,"09,10,11,12,SE", ,Morrisania - Melrose, ,0, ,78,377,359,376,1190,"900 TINTON AVENUE Bronx, NY 10456
(40.821901, -73.9034710619996)",16,5,242,10934
,Bronx Early College Academy for Teaching & Learning,9,09X324, , ,http://schools.nyc.gov/SchoolPortals/09/X324/default.htm,2,Bronx,718-681-8287,529,"06,07,08,09,10,11,12,SE", ,East Concourse - Concourse Village,http://www.bronxearlycollegeacademy.com,1,Humanities & Interdisciplinary,,,,,,"250 EAST 164 STREET Bronx, NY 10456
(40.828695, -73.9177113339996)",16,4,181,10934
,Providing Urban Learners Success In Education High School,10,10X319,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/10/X319/default.htm,2,Bronx,718-294-0230,160,"09,10,11,12,SE", ,East Tremont, ,0, ,,,,,,"560 EAST 179 STREET Bronx, NY 10457
(40.84859, -73.8936109819996)",16,2,55,10935
,Bronx Studio School for Writers and Artists,8,08X269,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/08/X269/default.htm,2,Bronx,718-893-5158,537,"06,07,08,09,10,11,12,SE", ,Hunts Point, ,1,Humanities & Interdisciplinary,,,,,,"928 SIMPSON STREET Bronx, NY 10459
(40.820623, -73.8930735189996)",16,5,237,10937
,Millennium Art Academy,8,08X312,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X312/default.htm,2,Bronx,718-824-0978,473,"09,10,11,12,SE",Adlai E. Stevenson Educational Campus,Soundview-Castle Hl-Clason Pt-Hardng Pk,http://www.maanyc.org,1,Visual Art & Design,67,387,402,375,1231,"1980 LAFAYETTE AVENUE Bronx, NY 10473
(40.822303, -73.8559613889996)",7,5,224,11611
,Morris Academy for Collaborative Studies,9,09X297,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X297/default.htm,2,Bronx,718-542-3700,418,"09,10,11,12,SE",Morris Educational Campus,Morrisania - Melrose,http://morrisacademyhs.com,1,Humanities & Interdisciplinary,38,386,386,376,1186,"1110 BOSTON ROAD Bronx, NY 10456
(40.827602, -73.9044752569996)",16,4,165,10934
,Theatre Arts Production Company School,10,10X225,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X225/default.htm,2,Bronx,718-584-0832,568,"06,07,08,09,10,11,12,SE", ,Mount Hope,http://www.tapconyc.org,1,Performing Arts,59,405,391,394,1249,"2225 WEBSTER AVENUE Bronx, NY 10457
(40.854646, -73.8966455529996)",16,2,113,10935
,Herbert H. Lehman High School.,8,08X405,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/08/X405/default.htm,2,Bronx,718-904-4200,2563,"09,10,11,12,SE", ,Schuylerville - Throgs Nk - Edgewater Pk,http://www.LehmanHS.com,1,Computer Science & Technology|Engineering|Zoned,415,412,436,393,1656,"3000 EAST TREMONT AVENUE Bronx, NY 10461
(40.84054, -73.8381101479996)",7,5,285,11270
,Fordham High School for the Arts,10,10X437,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X437/default.htm,2,Bronx,718-733-4656,367,"09,10,11,12,SE",Theodore Roosevelt Educational Campus,Belmont, ,1,Performing Arts,48,355,350,372,1125,"500 EAST FORDHAM ROAD Bronx, NY 10458
(40.860012, -73.8882296039996)",16,2,58,10936
,Urban Assembly School for Careers in Sports,7,07X548,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/07/X548/default.htm,2,Bronx,718-292-7110,509,"09,10,11,12,SE", ,East Concourse - Concourse Village,http://www.urbanassemblyschool.net,1,Business,44,387,411,383,1225,"730 CONCOURSE VILLAGE WEST Bronx, NY 10451
(40.822776, -73.9235227929996)",16,1,10,10929
,Frederick Douglass Academy III Secondary School,9,09X517,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/09/X517/default.htm,2,Bronx,718-538-9726,438,"08,09,10,11,12,SE", ,Claremont - Bathgate, ,1,Humanities & Interdisciplinary,50,368,384,369,1171,"3630 THIRD AVENUE Bronx, NY 10456
(40.833623, -73.9043945709996)",16,4,168,10934
,School for Excellence,9,09X404,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/09/X404/default.htm,2,Bronx,718-860-1385,377,"09,10,11,12,SE",Morris Educational Campus,Morrisania - Melrose, ,1,Humanities & Interdisciplinary,32,363,360,351,1106,"1110 BOSTON ROAD Bronx, NY 10456
(40.827602, -73.9044752569996)",16,4,165,10934
,Academy for Scholarship and Entrepreneurship: A College Board School,11,11X270, , ,http://schools.nyc.gov/SchoolPortals/11/X270/default.htm,2,Bronx,718-696-3840,504,"07,08,09,10,11,12,SE", ,Williamsbridge - Olinville,http://asescholars.org,1,Business,56,386,394,361,1197,"921 EAST 228TH STREET Bronx, NY 10466
(40.887919, -73.8528716129996)",17,6,328,11275
,Wings Academy,12,12X684,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/12/X684/default.htm,2,Bronx,718-597-1751,502,"09,10,11,12,SE", ,East Tremont,http://schools.nyc.gov/OurSchools/Region2/X684,1,Humanities & Interdisciplinary|Performing Arts,66,378,374,362,1180,"1122 EAST 180 STREET Bronx, NY 10460
(40.841805, -73.8754177129996)",16,3,150,
,Grace Dodge Career and Technical Education High School,10,10X660,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/10/X660/default.htm,2,Bronx,718-584-2700,631,"09,10,11,12,SE", ,Belmont, ,0, ,73,362,382,356,1173,"2474 CROTONA AVENUE Bronx, NY 10458
(40.855922, -73.8825789799996)",16,2,120,10936
,Bronx High School of Science,10,10X445,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/10/X445/default.htm,2,Bronx,718-817-7700,3047,"09,10,11,12", ,Van Cortlandt Village,http://www.bxscience.edu,1,Science & Math,731,632,688,649,2700,"75 WEST 205 STREET Bronx, NY 10468
(40.87706, -73.8897805079996)",17,2,86,11606
,University Heights Secondary School,7,07X495,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/07/X495/default.htm,2,Bronx,718-292-0578,463,"09,10,11,12,SE",South Bronx Educational Campus,Melrose South - Mott Haven North,http://www.UniversityHeightsHighSchool.org,1,Humanities & Interdisciplinary|Science & Math,79,403,394,404,1280,"701 ST. ANNS AVENUE Bronx, NY 10455
(40.818161, -73.9110611459996)",16,1,13,10933
,Eximius College Preparatory Academy: A College Board School,9,09X250,N,Not Accessible,http://schools.nyc.gov/SchoolPortals/09/X250/default.htm,2,Bronx,718-992-7154,375,"09,10,11,12,SE", ,Claremont - Bathgate,http://schools.nyc.gov/SchoolPortals/09/X250/default.htm,1,Humanities & Interdisciplinary,50,393,394,382,1219,"1363 FULTON AVENUE Bronx, NY 10456
(40.833721, -73.9024201809996)",16,4,170,10934
,High School for Contemporary Arts,11,11X544,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/11/X544/default.htm,2,Bronx,718-944-5610,486,"09,10,11,12,SE",Evander Childs Educational Campus,Williamsbridge - Olinville, ,1,Visual Art & Design,55,383,378,365,1181,"800 EAST GUN HILL ROAD Bronx, NY 10467
(40.875781, -73.8613804909996)",17,6,347,11605
,Bronx Latin,12,12X267,F,Functionally Accessible,http://schools.nyc.gov/SchoolPortals/12/X267/default.htm,2,Bronx,718-991-6349,440,"06,07,08,09,10,11,12,SE", ,Longwood,http://BronxLatin.com,1,Humanities & Interdisciplinary,36,408,432,411,1287,"800 HOME STREET Bronx, NY 10456
(40.82779, -73.9003806399996)",16,3,122,10934
