"date_closed","case_number","business","credential_number","town","decision_link"
"2022-03-29","2021-439",,"LIW.0000682","NORTH HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4301990&GUID=41D0E828-4B08-492B-A964-FF296AD3D110)"
"2021-12-27","2020-82","PRESTIGE BAR LOUNGE","LCA.0008188","WATERBURY","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4005915&GUID=FFA20AAB-D247-43B0-96C4-2FFE777C64EB)"
"2019-02-05","2018-157","MIKES PACKAGE STORE","LIP.0012614","MILFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2877306&GUID=196400AE-3393-4F60-A7A3-62AD8436387F)"
"2019-01-17","2018-512","DILWORTH CORNELL QUEY POST 102","LIC.0001807","MANCHESTER","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2856231&GUID=BCA5108F-40CA-41E1-B350-62E9CB1E1EA8)"
"2018-12-31","2018-221","BOAT HOUSE (THE)","LIR.0018067","MYSTIC","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2808935&GUID=7BDD9EA9-BA9E-4FAD-9701-AF039A6E9CA9)"
"2018-12-28","2018-233","FIST MARKET","LGB.0015022","BRIDGEPORT","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2819686&GUID=E5A4E427-7A4B-42B4-BA6A-E2DDF380D56E)"
"2018-12-11","2018-143","451 RESTAURANT LOUNGE","LIR.0018737","HARTFORD","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2816014&GUID=673E0282-CE24-47C7-AA89-29C29F7FAFF1)"
"2018-12-03","2018-239","LOS MOLCAJETES","LIR.0017767","NORWALK","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2805373&GUID=62E2925F-F9C3-4E54-A97C-CCAB65904B59)"
"2018-10-15","2018-271","EL TENAMPA","LCA.0007856","NORWALK","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2668785&GUID=23564E33-E0A2-4C35-B332-AC1BA241F568)"
"2018-10-15","2017-1147","ELM CITY LIQUORS","LIP.0014714","NEW HAVEN","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2699846&GUID=B16305E6-7223-45DB-86F5-B6C1856D59A0)"
"2018-09-07","2018-430","STRAWBERRY PARK MARKET","LGB.0015307","PRESTON","Decision (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=2714322&GUID=933AF93A-72EF-4E56-B714-8373A0C7F76B)"
