"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Public Works","1 - Create a Quality Workforce in a Positive, Supportive Organization","Develop department career ladders and career paths","2020-09-30T12:00:00.000","County Administration","In Progress","2020-02-10T12:00:00.000","30","​Urban Forestry/Landscape Services and Stormwater drafted. UFLS - presented to staff 1/29. Storm - present to staff 2/11. Other divisions working on similar model. ​Decision Package for PW Academy in development.","Dean, Paul",,,,"​Develop a career lader and career path program for Public Works employees.","County Administrator, Human Resources","411","This is a discretionary project.","411_Public Works_2/22/2020 8:00 AM","2019-06-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Strategic Plan Development","2019-12-27T12:00:00.000","Department","In Progress","2020-01-22T12:00:00.000",,"The Draft ""final"" document was provided to PCU leadership.  Currently is the draft is being reviewed and updated with latest figures and pictures. The document should be ready for Department Director review by end of February, 2020.","Gonzalez, Georges",,,,"This project is to develop a strategic plan for all of Utilities Department.",,"396","This is an administrative directive.","396_Utilities_1/22/2020 1:42 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Develop and implement formal written policies and procedures for facilities' maintenance documentation. (IG Report)","2020-09-30T12:00:00.000","Department","In Progress","2020-02-20T12:00:00.000",,"​","Soltau, Steve",,,,"​One Department-wide policy to be developed for installation date, canceled work orders, approvals and quality assurance. Procedures are not completed but are under way. Expand list of sub-items to be captured, ie, sub locates, billing, install dates, condition assessment, etc.​​",,"454","This is as a result of an IG audit.","454_Utilities_2/3/2020 10:20 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Upgrade of Payment Center","2020-12-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"No further update until the second floor remodeling is completed.","Jackson, Isaiah",,,,"This project will enhance the customer area and provide customers a clean space for them to view and pay their bill once we enhance our system and provide electronic billing to the customer.",,"394","This is a discretionary project.","394_Utilities_12/24/2019 12:14 PM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","BCC: Emergency Purchase Corey Causeway Improvement Project","2019-12-10T12:00:00.000","Department","Canceled","2019-12-24T12:00:00.000",,"November 5, 2019 The first of 2 temporay construction easement is moving forward with a cash offer. Real estate has contacted the second owner but they have not been responsive. The  easements are located on the north side of the bridge and critical to HDD construction operation. Once these easements are obtained then the a pre-construction meeting will be scheduled, so the contractor can get strated.","Simpson, Dennis M",,,,"​*WHERE ELSE IS THIS BEING TRACKED?* IF ALREADY TRACKED IN CIP SYSTEM THEN DOES NOT NEED TO BE DUPLICATED HERE.********Duplicate tracked in CIP*********",,"409","This is a discretionary project.","409_Utilities_1/22/2020 11:06 AM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","JPA with City of Largo for Engineering Design Services for WM replacement - Rosery Rd","2019-11-20T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"November 5, 2019 The water main relocations were designed. The project is presently under construction.","Simpson, Dennis M",,,,"​​*WHERE ELSE IS THIS BEING TRACKED?* IF ALREADY TRACKED IN CIP SYSTEM THEN DOES NOT NEED TO BE DUPLICATED HERE",,"410",,"410_Utilities_1/21/2020 10:09 AM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","Non-competitive purchase with Ajax Paving Industries of Florida, LLC for Underground Utilities Relocation Project on Gulf Blvd.","2020-03-01T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"9/30/2019; FDOT had a Cost Saving Initiatives (CSI) review meeting on September 24, 2019. The initial refund is projected to be over $3.9 M and after this meeting, there could be an additional refund above the initial estimated amount as the contractor, FDOT and the County look to minimize the impact to Pinellas County's existing water, sewer and reclaimed water lines.​","Simpson, Dennis M",,,,"​​*WHERE ELSE IS THIS BEING TRACKED?* IF ALREADY TRACKED IN CIP SYSTEM THEN DOES NOT NEED TO BE DUPLICATED HERE",,"411","This is a discretionary project.","411_Utilities_1/21/2020 10:09 AM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","Complete the WE Dunn Master Plan","2020-02-28T12:00:00.000","BCC","In Progress","2020-01-24T12:00:00.000","85","Draft master plan issued for staff comments to be incorporated into final draft and consultant to prepare master plan presentation with recommendations. All comments submitted to consultant.  Consultant will finalize the Master plan and submit to the county.","Glaser, Daniel",,,,"This master plan will address short and long term capital improvement needs for the WE Dunn Water Reclamation Facility. These projects will address aged infrastructure, and modifications needed due to changes in regulatory requirements. The WEDWRF Master Plan will provide the COUNTY with an organized and prioritized plan for implementing recommended improvements to address optimization goals and rehabilitation and replacement (R&R) needs over a 20-year planning horizon (through year 2040). Key aspects of the WEDWRF master planning effort include future population/flow increases, future regulatory requirements,previous and ongoing studies, safety, vulnerability, reliability /resiliency and sustainability, assessment of existing wastewater treatment infrastructure, alternatives, and short and long-term improvements.","Utilities","405","This is as a result of an IG audit.","405_Utilities_1/24/2020 8:12 AM","2019-01-01T12:00:00.000"
"Utilities","4 - Foster Continual Economic Growth and Vitality","Complete the SCB Master Plan","2020-07-30T12:00:00.000","BCC","In Progress","2020-01-24T12:00:00.000","55","Project on schedule.  County providing existing data to consultant.","Glaser, Daniel","Kelsey, Joel",,"Glaser, Daniel","The SCB AWRF Master Plan will provide the COUNTY with a dynamic, goal oriented master plan, that leverages the information from the previous and ongoing evaluations and defines a prioritized plan for improvements over a 20-year planning horizon (through year 2040) to meet the County's goals for SCBAWRF. Key aspects of the SCBAWRF master planning effort include short and long term goals, future population/flow increases, future regulatory requirements, previous and ongoing studies, safety, security, resiliency and sustainability efforts, and assessment of the existing infrastructure.See Scope of Services for complete scope.","Utilities","406","This is as a result of an IG audit.","406_Utilities_1/24/2020 8:19 AM","2019-01-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Hire contract operators for Dunn WRF","2020-09-30T12:00:00.000","Department","In Progress","2020-02-20T12:00:00.000",,"Low bid accepted January 31, 2020. Next step; meet with contractor. Manager firming up schedules now.","Soltau, Steve","Kapfenstein, Stephanie L",,,"This is the result of an unapproved FY20 DecisionPackage for additional operator staff at the Dunn WRF. The decision package was declined however cashwas put into Contract Services to pay for contracted licensedwastewater plant operators to assist with reclaimed water operations.",,"455","This is as a result of an IG audit.","455_Utilities_2/3/2020 10:24 PM",
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Analyze Doing Things App Issue Resolution Processes",,"County Administration","Not Started",,,,"Walker, Tiana",,,"Walker, Tiana",,,"19",,"19_Office of Management and Budget_3/19/2020 9:45 PM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Maximize Use of County Properties for Economic Development",,"BCC","In Progress","2020-02-25T12:00:00.000","40","Will be assisted by S.B. Friedman consulting for contract extension. This will be an ongoing program after 04/01/2021.","Meidel, Mike",,,"Margiotta, Cindy","With limited available land suitable for office or industrial development countywide and a shortage of affordable housing at all income levels, the County is seeking to maximize its surplus of county owned properties. This initiative will evaluate opportunities to redevelop County-owned properties to aid in economic development for the area and support affordable housing and job creation purposes.",,"397",,"397_Economic Development_2/26/2020 8:40 AM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Asset Onboarding, Decommissioning, Map Changes","2020-02-28T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"12/05/2019 Map change workflow has been developed. Map change process will be added after initial Cityworks go live. Training to use Cityworks​​ for map changes will be 4-8weeks after go live.","Munoz, Misael","Bollenbacher, Alan",,,"​This is the process to keep our GIS records up to date. It is very important to  help locate and operate our ​​​buried assets. Map corrections and new installs are being developed.",,"408","This is as a result of an IG audit.","408_Utilities_2/4/2020 1:47 PM","2019-09-01T12:00:00.000"
"Utilities","1 - Create a Quality Workforce in a Positive, Supportive Organization","Remodeling of Staff areas","2021-06-30T12:00:00.000","Department","In Progress","2020-01-22T12:00:00.000",,"Derek from the REM team emailed an update.  The county REM team is still waiting for th efinal cost to the project.  Once received, they will provide the cost to PCU.  No time was given when the cost will be provided to PCU.","Gonzalez, Georges",,,,"This project is to remodel and enhance the work area for the staff.  This project will provide staff a safe and productive workplace.  It will add several office space and meeting space.",,"393","This is a discretionary project.","393_Utilities_1/28/2020 1:46 PM",
"Public Works","5 - Deliver First Class Services to the Public and Our Customers","Address issues related to maintenance of alleyways.","2022-12-01T12:00:00.000","BCC","In Progress","2020-02-06T12:00:00.000","5","Team kickoff meeting held. Developed a survey to identify key issues and task force representatives. Survey will be issued this month. Additionally, discovered that Planning is also working on similar issues primarily driven through the Lealman Alleyways project. Public Works and Planning will be discussing objectives week of 2/10 in order to determine gaps and eliminate duplication of efforts.","Goebel-Canning, Susan",,,,"Develop and implement a defined project management program.",,"406","This is an administrative directive.","406_Public Works_2/6/2020 4:26 PM","2019-02-01T12:00:00.000"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Establish Grants CoE Performance Measures","2019-07-31T12:00:00.000","Department","In Progress",,,,"Collins, Fredricka",,,"Ettel, Veronica E",,,"23",,"23_Office of Management and Budget_2/19/2020 5:06 PM",
"Utilities","3 - Practice Superior Environmental Stewardship","Update the Sewer Use Ordinance","2020-09-30T12:00:00.000","BCC","In Progress","2020-01-22T12:00:00.000","75","SUO revisions - The revisions have been completed and sent to the County Attorney for comment.","Wotowiec, Matt S",,,,"This project includes updating the Sewer Use ordinance to address the Grease Management Ordinance and the Industrial Pre-treatment program. These revisions will address billing, grease trap sizing and will better define roles and responsibilities. These revisions will provide a more consistent framework.",,"420","This is a discretionary project to improve processes.","420_Utilities_1/22/2020 11:22 AM","2020-02-01T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Integrate Communications Data Analysis into Decision Making","2021-03-31T12:00:00.000","County Administration","Not Started","2021-08-31T12:00:00.000","0",,"Connor, David",,,,"​​",,"411","This is a discretionary project.","411_Marketing and Communications_9/29/2021 9:25 PM","2021-10-01T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Develop New County Website","2021-06-30T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","15",,"Derr, Brian",,,"Derr, Brian","The new County website initiative is a conversion of thousands of pages of content into a content management system. It will1.Create a mobile-friendly site.2.Create consistent user experience across the site.3.Enable website visitors to find the information they need without having to understand the County's structure.4.Provide access to information that resides on other county websites such as the Property Appraiser, Clerk, and Sheriff's sites through a multisite search.5.Distribute content creation while centralizing content review and site structure decisions.6.Make the site 100% complaint with the Americans with Disabilities Act (ADA).7.Update the design to make it better reflect Pinellas County as a progressive, forward-thinking local government.",,"395",,"395_Marketing and Communications_1/15/2020 1:12 PM",
"Contractor Licensing","2 - Ensure Public Health, Safety, and Welfare","Communications and Community Outreach","2020-09-30T12:00:00.000","County Administration","In Progress","2020-03-31T12:00:00.000","10","03/31/2020 MK The goal has been redefined. The strategy and objectives for achieving the goal have been mapped.12/9/2019 MK The Department's goal is to improve its public image with the contractor community, local municipality building departments and the public. The message for each is different, but similar. A communications strategy is being mapped. The Department has its own Constant Contact account and is building an outreach strategy to reach these stakeholders in person, via email, via the web and via the media. ​","Lancaster, Gay","Krickovic, Michelle","Lancaster, Gay","Krickovic, Michelle","The Department's goal is to improvecommunications with its customers contractors (licensed and unlicensed),citizens and County and municipal building departments toimprove service levels, compliance and protect the public.  The strategy identifies multiple keymessages, media, and distribution channels to achieve objectives.​​​","Marketing and Communications","120","This is a discretionary project.","120_Contractor Licensing_4/1/2020 10:03 AM","2019-10-01T12:00:00.000"
"Convention and Visitors Bureau","5 - Deliver First Class Services to the Public and Our Customers","Establish the Business Intelligence Tool as the premiere source of data and KPIs with quarterly industry webinars and monthly staff updates.","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"394",,"394_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Parks and Conservation Resources","3 - Practice Superior Environmental Stewardship","Create  Integrated Vegetation Management Program","2020-07-16T12:00:00.000","BCC","In Progress","2020-04-10T12:00:00.000","75","Placed on hold due to COVID pandemic.","Cozzie, Paul A",,,,"Create Integrated Vegetation Management Program and Guidelines for chemical applications and other management alternatives on County properties","Parks and Conservation Resources, Public Works","393","This is an administrative directive.","393_Parks and Conservation Resources_4/10/2020 4:30 PM","2018-12-01T12:00:00.000"
