"artwork","last_name","first_name","location","medium","project_status","description","page_link","latitude","longitude","mapped_location"
"4743 REASONs","Lamont","Bryant","Historic Metro Courthouse","mixed media on hardboard","Complete","4,743 people were lynched in the United States between 1882-1968 according to a historical survey of lynching produced by Tuskegee Institute. The artist challenges us to confront this difficult history and consider if “that was the past, or are we on repeat, repackaging to appear to be something else.”","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/3a098e98-fb51-47f2-b26a-dc7135cd6b44/24/%3Fi%3D24%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Shadows full of light","Vissepo","Yanira","Southeast Branch Library","Woodblock print; Tosai's Paste Pigment on Japanese paper","Complete","Shadows full of light was created by Yanira Vissepo using Mokuhanga, the Japanese word for wood block print. It is the traditional water based printing technique, originating in China and perfected in Japan. A print is created through design, carving blocks for each color, then printing each color successively until the print edition is completed.","https://www.metroartsnashville.com/lending-library-southeast?pgid=kruztakc-a061e64f-7abe-4ede-ba6b-a81bef07b047","36.05282","-86.65547","POINT (-86.65547 36.05282)"
"Willow Eucalyptus in Pink","Leonard","Emily","Historic Metro Courthouse","oil on paper","Complete","After the artist’s twenty-year practice as a landscape painter evolved into a focus on florals, this work developed through her intuitive process of layering transparent glazes, gestural lines, and emotive brushwork. Each layer plays a role in the artist’s refined ritual of slowly breaking down the literal representation of her subject.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/934584e2-3953-4bd9-acf8-9a84c382ef30/36/%3Fi%3D36%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Aileron","Dillon","Michael","McCabe Park Community Center","structural steel, alloy, bronze","Complete","Installed spring of 2012 in McCabe Park, Aileron is located west of the entrance at the intersection of 46th Avenue North and Murphy Road. The location, a former airfield, inspired the design of Aileron. Representing the biplane of the early 20thcentury, this 18' tall, 25' wide sculpture captures upward movement in the supporting structure as well the actual movement of the wing in a 360-degreehorizontal wind activated motion. Aileron was fabricated using traditional blacksmith techniques and tools that were used in the manufacturing of railroad equipment, another historic reference to Sylvan Park.","https://www.metroartsnashville.com/fullscreen-page/comp-jkx0tpry/42b855ce-6cf9-11e9-a9ff-063f49e9a7e4/0/%3Fi%3D0%26p%3Djmz0l%26s%3Dstyle-ju8mdzea%26rl%3D1","36.140969","-86.842667","POINT (-86.842667 36.140969)"
"Deconstruction","Moore","Alison","Madison Branch Library","Paper and pen on paper","Complete","“The goal of [Deconstruction] was the process itself,” Alison Moore explains. “While this piece was not a fully automatic drawing, the process was similar. There was no planning or intention with this piece. In this work, the subconscious is the guide.” Deconstruction was drawn freehand with different types of black pens with the addition of paper cement to create the collage elements.","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-1b0d7983-ef36-4b66-86bb-d0d96d75d878","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"Intersection Rails","Hendrick","Robert","North Branch Library","recycled steel rails","Complete","Intersection Rails is located at the North Branch Library, one of two remaining Carnegie Libraries in Nashville. The library is named after Andrew Carnegie, the successful industrialist who was responsible for the great expansion of the American steel industry. Robert Hendrick’s work was fabricated using reclaimed steel railroad tracks that were a product of Carnegie’s foundries About Robert Hendrick Robert Hendrick is an artisan craftsman who specializes in using reclaimed railroad steel and wood to design and create architectural elements. With a BA in Industrial Design from Auburn University and a MFA in Industrial Design from The Ohio State University, Hendrick has found great success as an entrepreneur. One of his latest successes is Rail Yard Studios, where he leads a team of founders, designers and craftsmen in creating custom furniture in Nashville, TN.","https://www.metroartsnashville.com/fullscreen-page/comp-k16k9cie/fad7e2f9-e395-11e9-b02a-12879e2400f0/12/%3Fi%3D12%26p%3Dhsahw%26s%3Dstyle-k16k9cil%26rl%3D1","36.1741038","-86.795878","POINT (-86.795878 36.1741038)"
"Tower","Kesling","John Paul","Madison Branch Library","Acrylic on watercolor paper","Complete","John Paul Kesling’s work has been described as dreamlike, intuitively composed and pieced together like broken memories. Of Tower he says, “I felt connected to my family and friends back home through seeing the radio towers and this painting is a tribute to family and familiar things that comfort us when we need them… What is important to me in my work isn't a complex or intellectual concept. Through intuition and humor, nostalgia and conversation, I seek honesty through imagery.”","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-f11c01cd-50d8-4903-8b84-1c029f40ce89","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"Dancing up against the Forbidden Fabric","Barwari","Nuveen","Southeast Branch Library","Oil paint, oil sticks, acrylic paint, and deconstructed Kurdish dress on wooden panel","Complete","This found black and white image of Kurdish women dancing in traditional clothes provided inspiration to Nuveen Barwari. Dance, music, and literature are all very important bearers of Kurdish culture that carry heavy weight, like a rug. Kurdistan is a mountainous region occupied by Iraq, Iran, Turkey and Syria. This occupation has led to years of oppression and genocide. When forces seek to suppress Kurdish dress, dance, music, and identity, Kurdish dancing emerges as a form of resistance.","https://www.metroartsnashville.com/lending-library-southeast?pgid=kruztakc-f64f8685-b088-42f5-8543-2b5bb13645cb","36.05282","-86.65547","POINT (-86.65547 36.05282)"
"Tanya","Taylor","Pam Marlene","Southeast Branch Library","Raffia, roving, dowel","Complete","“In a tapestry,” explains Pam Marlene Taylor, “there is the horizontal fiber called the weft and the vertical fiber called the warp. The warp is normally an unseen portion of the tapestry as it is hidden by the weft once complete. In this series, the warp has been intentionally brought out to be highlighted as the strong backbone of the tapestry, traditionally unseen, yet holding everything together. As a metaphor for the unseen and unappreciated work of women, Women as Warp utilizes braided raffia to showcase the unacknowledged strength of the warp.”","https://www.metroartsnashville.com/lending-library-southeast?pgid=kruztakc-9243700d-7859-42bc-b8b1-d1f7cbac4e2a","36.05282","-86.65547","POINT (-86.65547 36.05282)"
"From the Four Corners","Vexler","Paul","Southeast Davidson Library and Regional Community Center","wood, laminate","Complete","Installed July of 2014, From the Four Corners is located in the lobby of the Southeast Library and Community Center at the Commons at the Crossings campus. The large sculpture was hand crafted by artist Paul Vexler in his home studio in Snohomish, WA. The design for the public artwork was heavily influenced by the communities surrounding the library and community center. Vexler describes From the Four Corners as, “a sculptural metaphor celebrating a rich diverse community.” Suspended from the ceiling in the central lobby area, four different wood species and brightly colored plastic laminate are shaped into curling, spiraling strips and intertwined into a loose knot in the center of the sculpture. Each of the four wood pieces stretches from the center knot into to a different corner of the lobby space.","https://www.metroartsnashville.com/fullscreen-page/comp-jkx0tpry/42bdb7b0-6cf9-11e9-a9ff-063f49e9a7e4/8/%3Fi%3D8%26p%3Djmz0l%26s%3Dstyle-ju8mdzea%26rl%3D1","36.052048","-86.655822","POINT (-86.655822 36.052048)"
"Connection","Nolan","Joe","Historic Metro Courthouse","chromogenic print","Complete","Part of the Pikes Project series, these works tell a story about time and place in some of Nashville’s most diverse and dynamic communities. They reveal the often overlooked beauty along Nashville’s historic roadways and illustrate how art can inform and reflect the intense transformation taking place in Nashville today.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/2169f70f-3676-4f22-b601-64c765f0bf89/3/%3Fi%3D3%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Evening (Shadow)","Hays","Jodi","Historic Metro Courthouse","oil, ink, spray paint on canvas over panel","Complete","A referential abstraction, this work generates conversations about issues that most urban neighborhoods (and their artist residents) in confront: landscape, politics, and gun violence--the artist’s own security camera captured a shooting. This work is part of the series Keeper and is discussed in WPLN’s Neighbors podcast episode, “Matt Got Shot.”","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/3e503689-4ffd-42ab-b2f9-584e5be02434/30/%3Fi%3D30%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Continuum","McGee","Carrie","Goodlettsville Public Library","structural steel, acrylic panel","Complete","The piece is above the information desk at the library and illuminates the rich history of Goodlettsville. The tiles represent pages and the information and history that can be found within the library. The artist created a companion book to more fully explain the piece and the history behind each tile.","https://www.metroartsnashville.com/fullscreen-page/comp-jkx0tpry/3e319979-613b-443b-b136-9299146f51f3/4/%3Fi%3D4%26p%3Djmz0l%26s%3Dstyle-ju8mdzea%26rl%3D1","36.314567","-86.710658","POINT (-86.710658 36.314567)"
"Banjo","Howse","Ric","Richard H. Fulton Complex","powder coated steel","Complete",,"https://www.metroartsnashville.com/fullscreen-page/comp-k16k9cie/fad6cb07-e395-11e9-b02a-12879e2400f0/2/%3Fi%3D2%26p%3Dhsahw%26s%3Dstyle-k16k9cil%26rl%3D1","36.153346","-86.768642","POINT (-86.768642 36.153346)"
"Lift-Off","Ross","Elizabeth","Southeast Branch Library","Acrylic and paper on canvas board","Complete","“Lift-Off depicts a butterfly—a delicate yet visually strong symbol of transformation and resilience—arising from the chaos of the canvas’s abstract universe,” says Elizabeth P. Ross. “With a sense of adventure, Lift-Off explores peoples’ relationships to each other and to nature; the shifting truth of memories and dreams; and the interconnectedness of all things. It also celebrates human beings’ capacity to start anew and keep going under even the most difficult circumstances.”","https://www.metroartsnashville.com/lending-library-southeast?pgid=kruztakc-c3380273-80a6-4c8a-a936-fc4357a19668","36.05282","-86.65547","POINT (-86.65547 36.05282)"
"Capital","Tidwell","Luke","Nashville Farmers' Market","stainless steel","Complete",,"https://www.metroartsnashville.com/fullscreen-page/comp-k16k9cie/fad721ab-e395-11e9-b02a-12879e2400f0/5/%3Fi%3D5%26p%3Dhsahw%26s%3Dstyle-k16k9cil%26rl%3D1","36.170499","-86.788966","POINT (-86.788966 36.170499)"
"Great Beginnings","Precious","Beverly Stucker","Bellevue Branch Library","stainless steel, dichroic glass","Complete","Installed in December 2014, Great Beginnings is located at the Bellevue Branch Library. The large steel and glass sculpture provides an iconic backdrop to the many activities that will take place in the library’s outdoor gathering space. Artist Beverly Stucker Precious was inspired by the idea of a “learning tree” and the title of the sculpture refers to bands of type interwoven through the branches and leaves. The text contains fragments of opening sentences from literature suggested by the community. The artwork’s dichroic glass is a reflective surface that changes color with the angle of the light and the perspective of the viewer.","https://www.metroartsnashville.com/fullscreen-page/comp-jkx0tpry/42be161f-6cf9-11e9-a9ff-063f49e9a7e4/11/%3Fi%3D11%26p%3Djmz0l%26s%3Dstyle-ju8mdzea%26rl%3D1","36.073381","-86.935262","POINT (-86.935262 36.073381)"
"Soundboard Sliders","McDaniel","Duncan","12 South","powder coated steel, powder coated carbon steel pipe","Complete","Soundboard Sliders represents Nashville’s unique identity as a music production hub. Artist Statement: As an avid cycler and visual artist, naturally I was excited about this project from the beginning. Mixing sculpture with a functional object such as a bike rack is a great way to promote cycling and public art, both of which are good for our city. Although we have far to go, over the past six years I have witnessed this city expand its biking culture exponentially through bike lanes, greenways, bike sharing, and artistic bicycle racks. I am proud to be a part of this growing movement and hopefully these racks will encourage more cycling while at the same time bolster an appreciation for public art. Duncan McDaniel lives and works in Nashville. In addition to working as a professional visual artist, he works as an art handler for various institutions including the Frist Center for the Visual Arts, Cheekwood Museum of Art and the Tennessee State Museum.","https://www.metroartsnashville.com/fullscreen-page/comp-k16k9cie/fad8b005-e395-11e9-b02a-12879e2400f0/19/%3Fi%3D19%26p%3Dhsahw%26s%3Dstyle-k16k9cil%26rl%3D1","36.126699","-86.78912","POINT (-86.78912 36.126699)"
"Clarity","Mkar","Michael","Southeast Branch Library","Black ink and colored pencil on paper","Complete","In describing his mixed-media work Clarity, Michael Mkar explains “Clarity is the basis to understanding the essence of things and getting to know them well… There is a hidden treasure in the many colors of the arts found in Tennessee, and their diversity and different levels represent the clarity of the human essence. This is characterized by the rebirth and the stimulation of human potential. And provocation of the potential energies to bring out creativity. It is Clarity.”","https://www.metroartsnashville.com/lending-library-southeast?pgid=kruztakc-1f81b2df-70f3-4b7f-ab92-ffd6db859605","36.05282","-86.65547","POINT (-86.65547 36.05282)"
"J. Frankie Pierce","Matthews","Rob","Historic Metro Courthouse","spray paint and wood dye on wood","Complete","These contemporary woodcuts honor Nashvillians who were influential in the city’s struggle to secure civil rights for all. Businessman and politician James C. Napier (1845-1940) helped organize the 1905 Negro streetcar strike and the black Union Transportation Company’s streetcar line and served on the Nashville City Council from 1878-1886. J. Frankie Pierce ( -1954) founded the Tennessee Vocational School for Colored Girls. She led women’s clubs on a march to city hall to protest segregation in public facilities. Politician and judge Robert E. Lillard (1907-1991) organized the 15th Ward Colored Voters and Civic Club. He served on the Metro Council for 20 years and was appointed judge of the First Circuit Court. Curlie E. McGruder (1927-1993) was a tireless activist bringing attention to hunger, housing, and access to quality health care. She was an NAACP Nashville chapter president and an organizer of the Freedom Marches.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/2710cc89-fc51-4329-a23f-f90b29004310/12/%3Fi%3D12%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"Pedal Petroleum","Buffett","William","Donelson Train Station","powder coated steel, powder coated carbon steel pipe","Complete","Pedal Petroleum is a play on pedal powered “free gas.” Using actual gas pumps and bright colors, this rack is a fun addition to commuters’ daily treks. Artist Statement “The design for my bicycle rack Pedal Petroleum aims at light-hearted humor, using bright happy colors. The implied message, that riding a bicycle displaces a certain amount of costly and noxious gasoline, is meant to be immediately grasped. There is also some irony in the fact that the defunct gas pump is now the means of securing and protecting its rival: free transportation.” Artist Biography A graduate of the Art Center College of Design in California, William Buffett has sold his work all over the world. He is known for his coastal townscapes featuring palm trees and glimpses of the ocean. As a native Californian, he represents these landscapes in a delicate and sensual way with subtle colors and intuitive compositions. A world traveler, he has toured Europe, Mexico and the Far East, studying the great art collections. He enjoys success as a portrait painter, designer and printer of limited edition serigraphs, and a widely distributed poster artist, in addition to exhibiting and selling his original paintings. Today his work is in the collections of universities, corporations and private individuals in America, Europe, Australia and Japan, as well as many islands in the Caribbean and Pacific.","https://www.metroartsnashville.com/fullscreen-page/comp-k16k9cie/fad87282-e395-11e9-b02a-12879e2400f0/17/%3Fi%3D17%26p%3Dhsahw%26s%3Dstyle-k16k9cil%26rl%3D1","36.167182","-86.665812","POINT (-86.665812 36.167182)"
"Divine Channel","Krebs","Katherine","Metro Office Building","mixed media on panel","Complete","This body of work focuses on transitions in the artist’s personal life, society, humanity, religion and the connection between them. The artist explores our connection to each other, God, the divine feminine, the heavens, and history.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/9c86585e-adf6-4261-801c-6a38b48969b6/5/%3Fi%3D5%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.153121","-86.768797","POINT (-86.768797 36.153121)"
"Ocean Breeze","Tomson","Eileen","Southeast Branch Library","Acrylic and pastel on canvas","Complete","Ocean Breeze is a painting reflecting Eileen Tomson’s love of water and the ocean. She acknowledges, “The ocean has such a calming effect on me, the waves slowing coming in and out, the different hues when the sun is rising and setting, casting its colorful strokes of color.” The artist’s combination of acrylic paint and pastels on canvas recreate the feeling of this natural setting.","https://www.metroartsnashville.com/lending-library-southeast?pgid=kruztakc-bb71d72f-34b0-45f8-8672-e35c798c15e3","36.05282","-86.65547","POINT (-86.65547 36.05282)"
"Timing and Lighting","Murphy","Marilyn","Metro Office Building","graphite on paper","Complete","This artist’s works comment upon the act of seeing, the creative process, or some aspect of human relationships. Strong lighting and shadows in these works create a sense of mystery while the identities of the men and women are obscured in order to direct the focus of the viewer toward their activity.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/ac9730a6-5ece-49b2-8958-59fd9c85d02b/4/%3Fi%3D4%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.153121","-86.768797","POINT (-86.768797 36.153121)"
"Fearless","Faith","Marla","Madison Branch Library","Acrylic, watercolor, gold ink, colored pencil, and paper on mulberry paper","Complete","Fearless is a mixed media collage of birds, leaves and flowers, and spring colors. Marla Faith explains, “Fearless was made early on in the pandemic, while isolating, creating art daily as a meditative way to cope, and to uplift myself and others... The center mandala has an umbilical-like cord that flows off the frame, connected to an unseen power source, radiating positive energy and trust in nature. The small figure (from a Paul Klee painting) is inside of a house, alone with her pet, but the sun is inside the room too. The sun is within us all and we are fearless.”","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-59714e0f-e5e8-454b-bb94-edf3d6e99fd5","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"Reshaping the Shadows: Unseen Omens II","Sanford","Elizabeth","Metro Office Building","mixed media","Complete","These works are visual fairy tale inspired by neighborhood walks and hikes in Warner Parks. They are reminders of the importance of green spaces for community recreation and as habitats for native plants and animals.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/4a7b7d85-dbdf-46ef-81c4-e02908b84fa0/0/%3Fi%3D0%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.153121","-86.768797","POINT (-86.768797 36.153121)"
"Windows over Quedlinburg","Lasansky","Amadeo","Madison Branch Library","Archival pigment print on cotton rag paper","Complete","Amadeo Lasansky has traveled to over 35 countries and documented what he saw and experienced. The result is a body of work that spans the world and yet brings the world into focus. Windows over Quedlinburg was photographed in Germany in Quedlinburg's medieval plaza.","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-989ff831-a144-45ee-8f6d-dddf74451f0a","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"LGBT Liberation","Piñeros","David S.","Metro Office Building","archival photo print","Complete","These works document ordinary people and their social interactions in juxtaposition with some of the intimate social issues of Nashville; as a city immersed in the “Bible Belt,” and overwhelmed by its record growth.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/53b1a403-95a2-460a-930d-4801dbe3d878/12/%3Fi%3D12%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.153121","-86.768797","POINT (-86.768797 36.153121)"
"Ocean's Bones","Vincent","Patrick","Madison Branch Library","Stone lithograph; ink on paper","Complete","Ocean’s Bones was created using stone lithography, a traditional printmaking technique. Patrick Vincent explains that, “This print was completed at the Black Church Print Studio in Dublin, Ireland as part of a residency. It is a response to climate change focusing on macro and microorganisms, existent and extinct.”","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-4feca38d-1789-4d1a-8a3d-5454d14858ba","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"Helga","Mathewson","Micah","Madison Branch Library","Acrylic, oil, and vinyl decal on canvas","Complete","Helga was first started as a figure study for a larger painting. Micah Mathewson could not bear to paint over its central protagonist, so it moved around Nashville with the artist from studio to studio for the next 5 years. Every year he might paint something on to it or take things away in order for it to have a space in his practice at the time.","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-a271e247-0573-4ac3-8e71-9e78a9c81fd6","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"Seasons from a Bird's Eye View","Easter and Goostree","Paige and Dan","Goodlettsville Public Library","river rock, ceramic tile,  glass tile, gem stone","Complete","Installed summer of 2011, Seasons from a Bird's Eye View is located throughout the Goodlettsville Library gardens. Local artists Paige Easter and Dan Goostree (1956-2013) designed the series of mosaic structures to create an enclosed garden space behind the library. Seasons from a Bird's Eye View depicts the subjects of history, edible gardens and color gardens throughout the mosaics.","https://www.metroartsnashville.com/fullscreen-page/comp-jkx0tpry/42bf3950-6cf9-11e9-a9ff-063f49e9a7e4/20/%3Fi%3D20%26p%3Djmz0l%26s%3Dstyle-ju8mdzea%26rl%3D1","36.313942","-86.710572","POINT (-86.710572 36.313942)"
"Paradise at Home: across the street from The Pallet Factory","Fahnestock","Rachel McLean","Madison Branch Library","Archival pigment print","Complete","“I have been working with exploration and the concept of paradise and the pandemic summer of 2020 kept me at home,” says McLean Fahnestock. “This work [Paradise at Home: across the street from The Pallet Factory] is part of a series I made that summer that places images of landscapes we think of as paradise, somewhere to escape to, around my neighborhood in Old Hickory. I chose locations where industry and homes rub up against each other and hung the tapestries on the fences to create new, if temporary, views.”","https://www.metroartsnashville.com/lending-library-madison?pgid=kruzsvif-80c4ddb1-5737-46a7-973f-1179be669a37","36.25756","-86.71545","POINT (-86.71545 36.25756)"
"Winding River","Lightell","Megan","Historic Metro Courthouse","oil on canvas","Complete","Inspired by a view from one of Metro Parks’ greenways, the artist captures the value of preserving open spaces as places for quiet reflection and connecting with others in a rapidly changing Nashville.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/c327e7ec-a012-4987-8fc9-f83159cf6e87/21/%3Fi%3D21%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"A Place to Gather Crowd","Lane","Hannah","Historic Metro Courthouse","mixed media on wood panel","Complete","Inspired by the artist’s cherished large family and their 30+ years of annual reunions, this work is part of her “Crowd Series.” Using papers with repeating patterns, as well as pastel with repeating marks and symbols, the artist imbues each “Crowd” with a different spirit or unifying theme.","https://www.metroartsnashville.com/fullscreen-page/comp-jv6uwm9t/e763cc0a-f52c-4a9f-9a88-5a0406443ab9/23/%3Fi%3D23%26p%3Ddqpfk%26s%3Dstyle-jv6uwma1%26rl%3D1","36.166747","-86.778286","POINT (-86.778286 36.166747)"
"On Air","Griffith","Samantha","Morgan Park","powder coated carbon steel pipe","Complete","This rack is an abstracted radio tower inspired by the history of live radio shows and music in Nashville. This artwork stands approximately 12 feet high with its circles of radio waves and lightning bolts crowning the top of the tower. Samantha Griffith Samantha's background in metals begins with a Master of Arts from Morehead State University and stints in places such as Bootknife Forge in Kentucky and Advance Casting in New Mexico. She is currently using five years of product design experience to render concept sketches, propose public works, and to work with clients interested in custom commissions. Jen Pellerin “What interests me is the permanence of sculpture, the visual and physical touchability of the work and the physical involvement from design through fabrication."" Jen's material focus is primarily steel while incorporating copper, fibers, cement, stone and wood to flesh out the work.","https://www.metroartsnashville.com/fullscreen-page/comp-k16k9cie/fad85601-e395-11e9-b02a-12879e2400f0/16/%3Fi%3D16%26p%3Dhsahw%26s%3Dstyle-k16k9cil%26rl%3D1","36.180458","-86.790428","POINT (-86.790428 36.180458)"
