Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
*BILL,CAT,DOMESTIC MH,BLACK,Neutered,SMALL,03/02/2013,K13-007204,LOBBY,A301082,12/31/2013,01/09/2014,9,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
DEXTER,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,04/23/2009,K13-007209,CH,A234415,12/31/2013,02/18/2014,49,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,*WINDSOR,OUT OF COUNTY,94591,"94591(38.107585, -122.209634)",1
KATY,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,01/07/2008,K13-007210,WESTFARM,A301087,12/31/2013,02/10/2014,41,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95436,"95436(38.491884, -122.90672)",1
CHOPPY,CAT,DOMESTIC SH,BUFF,Neutered,SMALL,01/03/2011,K14-007238,CA02,A301166,01/03/2014,01/14/2014,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*ROHNERT PARK,COUNTY,95462,"95462(38.468829, -123.018829)",1
EDDIE,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,01/08/2011,K14-007242,SMM,A301169,01/03/2014,01/10/2014,7,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,COUNTY,95436,"95436(38.491884, -122.90672)",1
BETSEY,CAT,DOMESTIC LH,BRN TABBY/WHITE,Spayed,SMALL,05/10/2002,K14-007240,WESTFARM,A277146,01/03/2014,01/24/2014,21,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404,"95404(38.458384, -122.675588)",1
TOBY,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,01/07/2004,K14-007248,CS04,A301176,01/03/2014,03/14/2014,70,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,*WINDSOR,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
SONNET,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,01/03/2012,K14-007241,RECEIVING,A301168,01/03/2014,01/03/2014,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,*HEALDSBURG,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
POOGIE,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,01/03/2011,K14-007239,CA02,A301167,01/03/2014,01/15/2014,12,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*ROHNERT PARK,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
WILLIE,CAT,DOMESTIC LH,BLACK,Neutered,SMALL,01/04/2004,K14-007255,CS04,A301197,01/04/2014,01/25/2014,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
*JEAN-CLAUDE,CAT,DOMESTIC MH,ORG TABBY,Neutered,SMALL,01/14/2009,K14-007278,WESTFARM,A301263,01/07/2014,01/30/2014,23,STRAY,COMM CAT,ADOPTION,WESTFARM,HEALTHY,HEALTHY,*HEALDSBURG,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*JEWEL,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,08/08/2013,K14-007284,LOBBY,A301282,01/07/2014,02/05/2014,29,TRANSFER,VET_HOSP,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
,CAT,DOMESTIC SH,BLACK/BLACK,Unknown,KITTN,11/08/2013,K14-007295,COOLER,A301326,01/08/2014,01/09/2014,1,STRAY,FIELD,DISPOSAL,FRA,UNKNOWN,DEAD,COUNTY,,,,1
CISCO,CAT,HIMALAYAN,SEAL PT,Neutered,SMALL,01/09/2009,K14-007310,SMM,A301378,01/09/2014,01/10/2014,1,OWNER SURRENDER,OVER THE COUNTER,DIED,IN KENNEL,TREATABLE/MANAGEABLE,DEAD,SANTA ROSA,,,,1
,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,,K14-007325,CS05,A301430,01/10/2014,01/14/2014,4,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*LOUIE,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,01/21/2009,K14-007331,CS04,A301456,01/11/2014,05/21/2014,130,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,OUT OF COUNTY,95482,"95482(39.150868, -123.215335)",1
MARME,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,01/16/2009,K14-007360,49ERPET,A301591,01/15/2014,01/24/2014,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
,CAT,DOMESTIC SH,WHITE,Male,LARGE,01/15/2012,K14-007365,RECEIVING,A301599,01/15/2014,01/15/2014,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
MOONY,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,07/16/2013,K14-007359,LOBBY,A301590,01/15/2014,01/25/2014,10,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
*SCOTTIE,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,09/23/2013,K14-007375,LOBBY,A301644,01/16/2014,01/25/2014,9,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,LARGE,01/17/2013,K14-007378,CS06,A301665,01/16/2014,01/21/2014,5,TRANSFER,VET_HOSP,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,BLACK/WHITE,Female,SMALL,01/17/2004,K14-007385,SMM,A301734,01/17/2014,01/27/2014,10,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
,CAT,DOMESTIC SH,BRN TABBY,Unknown,SMALL,,K14-007388,CS06,A301755,01/17/2014,01/21/2014,4,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
GRACIELA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,01/17/2011,K14-007389,WESTFARM,A301756,01/17/2014,02/07/2014,21,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
,CAT,DOMESTIC SH,WHITE/BRN TABBY,Unknown,SMALL,,K14-007426,RECEIVING,A301895,01/21/2014,01/21/2014,0,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,SMALL,01/21/1999,K14-007406,SMM,A301852,01/21/2014,01/27/2014,6,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
,CAT,DOMESTIC LH,BLACK,Unknown,SMALL,,K14-007418,CS06,A301878,01/21/2014,01/21/2014,0,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
JOEY,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,08/21/2013,K14-007408,LOBBY,A301854,01/21/2014,01/29/2014,8,TRANSFER,VET_HOSP,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
,CAT,DOMESTIC SH,GRAY,Unknown,SMALL,,K14-007416,CS06,A301877,01/21/2014,01/21/2014,0,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*HERMIONE,CAT,DOMESTIC SH,BLUE CREAM,Spayed,SMALL,10/06/2013,K14-007474,CA02,A302011,01/25/2014,02/20/2014,26,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95421,"95421(38.610732, -123.200051)",1
,CAT,DOMESTIC SH,BLUE CREAM,Female,SMALL,,K14-007473,CS06,A302010,01/25/2014,01/28/2014,3,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,BLUE CREAM,Female,SMALL,,K14-007475,CS06,A302012,01/25/2014,01/28/2014,3,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC LH,BLACK/WHITE,Unknown,SMALL,05/25/2013,K14-007470,RECEIVING,A302006,01/25/2014,01/25/2014,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
DAISY,CAT,DOMESTIC LH,CALICO/WHITE,Spayed,SMALL,01/25/2002,K14-007472,CS04,A302009,01/25/2014,02/18/2014,24,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94903,"94903(38.015961, -122.546013)",1
,CAT,DOMESTIC MH,ORG TABBY/WHITE,Unknown,SMALL,,K14-007490,RECEIVING,A302088,01/28/2014,01/28/2014,0,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
CLEO,CAT,ABYSSINIAN,RUDDY,Spayed,SMALL,01/28/2010,K14-007488,CA03,A302079,01/28/2014,01/29/2014,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,COUNTY,COUNTY,95462,"95462(38.468829, -123.018829)",1
,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,01/31/1997,K14-007522,SMM,A302173,01/30/2014,02/11/2014,12,TRANSFER,VET_HOSP,EUTHANIZE,ILL SEVERE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,,,,1
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K14-007520,CS05,A302174,01/30/2014,02/04/2014,5,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
BOO BOO,CAT,DOMESTIC LH,BLACK/WHITE,Spayed,SMALL,01/31/2010,K14-007532,CS04,A302192,01/31/2014,04/24/2014,83,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,*SEBASTOPOL,95472,"95472(38.394388, -122.850998)",1
CURLY,CAT,DOMESTIC SH,BLUE CREAM,Spayed,SMALL,01/31/2009,K14-007531,CS04,A302190,01/31/2014,05/21/2014,110,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1
,CAT,DOMESTIC LH,ORG TABBY,Unknown,SMALL,,K14-007525,CS05,A302183,01/31/2014,02/04/2014,4,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,WHITE,Neutered,SMALL,,K14-007536,TX,A302202,01/31/2014,02/04/2014,4,STRAY,FIELD,DIED,IN SURGERY,TREATABLE/MANAGEABLE,DEAD,COUNTY,,,,1
,CAT,DOMESTIC LH,BRN TABBY,Unknown,SMALL,,K14-007524,CS05,A302182,01/31/2014,02/04/2014,4,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,*WINDSOR,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
MITZI,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,08/13/2013,K14-007587,CS04,A300534,02/01/2014,02/04/2014,3,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,*WINDSOR,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
,CAT,DOMESTIC SH,WHITE/BLACK,Unknown,SMALL,05/01/2013,K14-007583,CS05,A302273,02/01/2014,02/04/2014,3,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
SPYDER,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,02/04/2009,K14-007597,CI01,A302327,02/03/2014,02/04/2014,1,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,*WINDSOR,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
*LILAC,CAT,HIMALAYAN,LILAC PT,Spayed,SMALL,01/07/2008,K14-007600,CS04,A300921,02/04/2014,02/04/2014,0,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,OUT OF COUNTY,*WINDSOR,95492,"95492(38.541541, -122.809202)",1
FIGGY,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,02/04/1999,K14-007602,CI02,A302337,02/04/2014,02/13/2014,9,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1
LILLIAN,CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,02/04/2006,K14-007608,CS04,A302343,02/04/2014,02/11/2014,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,09/05/2013,K14-007618,CS05,A302349,02/04/2014,02/11/2014,7,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,02/19/1997,K14-007624,SMM,A302386,02/05/2014,02/21/2014,16,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
,CAT,DOMESTIC SH,CREAM,Female,SMALL,02/05/1999,K14-007620,RECEIVING,A302372,02/05/2014,02/05/2014,0,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,09/06/2013,K14-007642,CS05,A302444,02/06/2014,02/11/2014,5,STRAY,COMM CAT,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,BRN TABBY,Female,SMALL,,K14-007639,TX,A302418,02/06/2014,02/07/2014,1,STRAY,COMM CAT,DIED,IN KENNEL,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
RUFUS,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,02/08/2010,K14-007664,CS04,A302495,02/08/2014,02/11/2014,3,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
GLITTER,CAT,DOMESTIC LH,CALICO,Spayed,SMALL,02/08/2010,K14-007665,CS04,A302496,02/08/2014,02/11/2014,3,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
*BERT,CAT,DOMESTIC LH,BLACK,Neutered,SMALL,02/11/2013,K14-007682,CS04,A302600,02/11/2014,03/07/2014,24,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
,CAT,DOMESTIC MH,WHITE/CALICO,Unknown,SMALL,,K14-007679,COOLER,A302589,02/11/2014,02/11/2014,0,STRAY,FIELD,DIED,EN ROUTE,UNTREATABLE,DEAD,*HEALDSBURG,,,,1
DASH,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,,K14-007685,CS05,A302613,02/11/2014,02/13/2014,2,TRANSFER,VET_HOSP,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
,CAT,DOMESTIC SH,TORTIE,Female,SMALL,02/13/1999,K14-007693,RECEIVING,A302640,02/13/2014,02/13/2014,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,*HEALDSBURG,,,,1
*FINLEY,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,02/19/2013,K14-007700,CS04,A302656,02/13/2014,04/02/2014,48,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
,CAT,DOMESTIC SH,TORTIE,Female,SMALL,02/14/1997,K14-007707,SMM,A302676,02/13/2014,02/20/2014,7,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
*SUGAR,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,SMALL,02/14/2013,K14-007701,CS04,A302657,02/13/2014,02/22/2014,9,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
*MURPHY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,02/19/2013,K14-007699,CS04,A302655,02/13/2014,02/22/2014,9,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541541, -122.809202)",1
CLARISA,CAT,DOMESTIC LH,GRAY/WHITE,Spayed,SMALL,,K14-007716,SMM,A302690,02/14/2014,02/25/2014,11,QUARANTINE,FLD_STRAY,RETURN TO OWNER,RETURN TO OWNER,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,*HEALDSBURG,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
MORRIS,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,02/14/2008,K14-007722,SMM,A302699,02/14/2014,02/27/2014,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,AD NWSPAPR,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
PUNKIN,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,02/14/2006,K14-007724,SMM,A302702,02/14/2014,02/25/2014,11,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,FORGOTTEN,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*JOEY,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,08/18/2013,K14-007719,RECEIVING,A302695,02/14/2014,05/01/2014,76,STRAY,FIELD,ADOPTION,REFERRAL,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,*WINDSOR,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC LH,BROWN/GRAY,Female,SMALL,02/14/1999,K14-007710,TX,A302680,02/14/2014,02/14/2014,0,TRANSFER,VET_HOSP,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
,CAT,DOMESTIC MH,WHITE/GRAY,Unknown,SMALL,,K14-007739,EUTH,A302832,02/16/2014,02/16/2014,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
