"agency_name","address","city","state","zip_code","phone_number","fax","region_covered","assisted_living_program_1","assisted_living_program_2","assisted_living_program_2e","assisted_living_program_3","vision_rehab","orientation_mobility","social_casework_level_1","social_casework_level_2","pre_vocationa_young_adults","diagnostic_vocational_evaluation","academic_instruction","vocational_skills","work_readiness","work_experience","comprehensive_service_contract","job_placement_service_dve_contract","georeference"
"Living Independently is for Everyone at RCIL, Inc.","131 Genesee Street","Utica","NY","13503","315-797-4642",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-75.229238 43.102416)"
"Living Resources Corporation","300 WASHINGTON AVE EXT","Albany","NY","12203","518-218-0000 ext. 5309",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-73.865263 42.708618)"
"Mental Health Association of Rochester","320 North Goodman Street","Rochester","NY","14607","585-325-3145 ext. 112",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-77.584798 43.159775)"
"My Blind Spot","90 Broad St.","New York","NY","10004","212-363-0330",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-74.011593 40.703744)"
"North Country Association for the Visually Impaired","22 US Oval, Suite B-15","Plattsburgh","NY","12903","518-562-2330","518-562-2331","4","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","Y","Y","Y","POINT (-73.446889 44.684674)"
"Northeastern Association of the Blind at Albany","301 Washington Avenue","Albany","NY","12206","518-463-1211","518-436-4194","4","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","POINT (-73.767409 42.658752)"
"NYSARC, Inc. Chautauqua County Chapter","880 East Second Street","Jamestown","NY","14701","716-847-8400","716-852-6100","1","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-79.225269 42.104919)"
"Quality Connection Employment Services","920 Co-op City Blvd.","Bronx","NY","10475","914-562-4400",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-73.830419 40.878401)"
"Regional Center for Independent Living","497 State Street","Rochester","NY","14608-1642","585-442-6470","585-271-8558","1,2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-77.622117 43.16365)"
"Robert Statham d/b/a Pathlight Career Counseling","94 Falleson Road","Rochester","NY","14612","585-621-6826",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-77.622707 43.222533)"
"Rockland Independent Living Center d/b/a Bridges","873 Route 45,   Suite 108","New City","NY","10956","845-624-1366 ext. 130",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-74.03375 41.15003)"
"Teresa Page, Voc-Ed Services (VES)","6188 Old Beattie Road","Lockport","NY","14094","716-266-5621",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-78.680127 43.11808)"
"The Resource Center","880 EAST SECOND ST","Jamestown","NY","14701","716-661-1412",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-79.225269 42.104919)"
"The Star Group","PO Box 708","Whitney Point","NY","13862","607-765-7827","607-849-4925","3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y",
"The Summit Center","150 Stahl","Getzville","NY","14068","716-629-3424",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-78.768207 43.010199)"
"Thomas Reap PhD","913 Old Liverpool Road, Suite J","Liverpool","NY","13688-5751","315-457-0030","1-800-513-9316","3","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-76.197949 43.098396)"
"Tri-Lakes Center for Independent Living, Inc.","43 BROADWAY STE 1","Saranac Lake","NY","12983","518-891-5295",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-74.132199 44.328228)"
"VIA Visually Impaired Advancement (Elizabeth Pierce)","1170 Main Street","Buffalo","NY","14209","716-882-1025","716-882-5577","1","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","POINT (-78.867876 42.905512)"
"Visions/Services for the Blind & Visually Impaired","500 Greenwich Street,   3rd Floor","New York","NY","10013-1354","212-625-1616","212-219-4078","6,7,8","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","POINT (-74.009154 40.725605)"
"Western New York Center for the Visually Impaired","3070 Transit Road","West Seneca","NY","14224","716-668-1166","716-668-1466","1","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","Y","N","POINT (-78.696916 42.851043)"
"WNY Independent Living, Inc.","3108 MAIN STREET","Buffalo","NY","14214","716-836-0822",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y","POINT (-78.827953 42.949351)"
"Yazira Herzog","48 Shrubbery Lane","Rochester","NY","14624","585-354-6316","n/a","1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","POINT (-77.757756 43.102975)"
"Young Adult Institute Rockland","220 East 42nd Steet, 11th Floor","New York","NY","10017","212-273-6488",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","Y",
