"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"Cayuga Counseling Services Inc.","17 E. Genesee Street","Auburn","NY","13021","(315) 253-9795","CAYUGA","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA06","94670.00",,"POINT (-76.562344 42.933141)"
"Brighter Tomorrows, Inc.","P. O. Box 706","Shirley","NY","11967","(631) 395-1800","SUFFOLK","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV07","323250.00","http://www.brightertomorrowsli.org",
"Urban Justice Center","40 Rector Street, 10th Floor","New York","NY","10012","(646) 602-5601","NEW YORK CITY","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C028227","94027.00","http://www.urbanjustice.org","POINT (-74.014801 40.708382)"
"Planned Parenthood of Greater NY","26 Bleecker Street","New York","NY","10012","(212) 274-7358",,"Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA33","821700.00","https://www.plannedparenthood.org/planned-parenthood-greater-new-york","POINT (-73.993558 40.725585)"
"Opportunities for Otsego, Inc.","3 West Broadway","Oneonta","NY","13820","(607) 432-4855","OTSEGO","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028804","59000.00","http://www.ofoinc.org","POINT (-75.071301 42.448111)"
"New York Society For The Prevention of Cruelty To Children","161 William Street 9th Fl","New York","NY","10038","(212) 233-5500","NEW YORK","Child Abuse Prevention","Public Private Partnership","Expansion of a Therapeutic Supervised Visitation program that will serve children and families in the five boroughs of New York City. services to families from all boroughs of New York City that are involved with the New York City Family Court, Supreme Criminal Court in the Integrated Domestic Violence (IDV) Part, and/or the New York City Administration for Children’s Services (ACS) foster care system due to high-risk or abusive behaviors.","03/1/19-11/30/20","C028459","295973.00","http://nyspcc.org/","POINT (-74.005921 40.710071)"
"The Salvation Army- Empire State Division","677 S. Salina Street","Syracuse","NY","13202","(315) 479-3651","Onondaga","Prevention","Community Based Child Prevention Program-Federally Funded","The Salvation Army Syracuse Area Services DV program will focus on serving low-income DV and sexual assault victims with a focus on communities of color, immigrant and LGBTQ communities, and those experiencing homlessness in Onondaga County and Syracuse. The program will provide expanded supervised visitation and expanded counseling services to the existing DV program. The program will provide clinically based, trauma-informed services including skill building with the Community Resiliency Model (CRM) and PCIT.","8/1/21-7/31/24","C029051","107865.00","https://syracuseny.salvationarmy.org/SyracuseNY/Children-Families","POINT (-76.150679 43.040632)"
"Gustavus Adolphus Children and Family Services, Inc.","515 West 5th Street","Jamestown","NY","14701","(716) 708-6161","CATTARAUGUS, CHAUTAUQUA, ERIE, NIAGARA, WYOMING","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","3/31/17-3/30/22","C027992","300000.00","http://crisisservices.org/rape-domestic-violence/","POINT (-79.248172 42.097059)"
"Westchester Jewish Community Services, Inc.","845 North Broadway","White Plains","NY","10603","(914) 761-0600","WESTCHESTER","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","ParentChild+ and Family Child Care Programs: In home parenting program for families with children ages 2-3. Home visits focus on daily literacy, parenting and school wellness. FCC programs provide the same curriculum to the children in their care and engage parents to provide parent-child activities in the home.","8/1/19-7/31/24","C028532","190440.00","http://www.wjcs.com","POINT (-73.766036 41.06119)"
"Fearless! Hudson Valley Inc. (formerly known as Orange County Safe Homes Project, Inc.)","P. O. Box 649","Newburgh","NY","12551","(888) 503-4673","ORANGE, SULLIVAN","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028760","62000.00","http://www.safehomesorangecounty.org",
"Albany County Children's Center","260 South Pearl Street","Albany","NY","12202","(518) 447-2525","ALBANY","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/22- 9/30/25","C029319","144685.00","http://albanycounty.com/Government/Departments/DepartmentforChildrenYouthandFamilies/ChildrensServices.aspx","POINT (-73.756442 42.642439)"
"Broome County Health Department","225 Front Street","Binghamton","NY","13905","(607) 778-3909","BROOME","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three month of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","7/1/2020-6/30/25","C028900","855622.00","https://www.healthyfamiliesnewyork.org/","POINT (-75.915585 42.105277)"
"Abbott House","1 Civic Center Plaza, Suite 101","Poughkeepsie","NY","12601","(914) 740-6225","DUTCHESS, SULLIVAN, ULSTER, WESTCHESTER","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","12/1/16-3/30/23","C027916","300000.00","https://www.abbotthouse.net/","POINT (-73.928793 41.704326)"
"Barrier Free Living Inc.","270 East Second Street","New York","NY","10009","(212) 677-6668","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV05","91588.00","http://www.bflnyc.org","POINT (-73.980498 40.720785)"
"Urban Resource Institute","75 Broad Street, Suite 505","Brooklyn","NY","11201","(718) 260-2932","NEW YORK CITY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028815","57000.00","http://urinyc.org","POINT (-74.014257 40.674402)"
"Oswego County Opportunities, Inc.","239 Oneida Street","Fulton","NY","13069","(315) 598-6988","OSWEGO","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029205","55121.00","http://www.oco.org","POINT (-76.415094 43.325299)"
"Safe Horizon, Inc.","2 Lafayette Street, 3rd Floor","New York","NY","10007","(800) 621-4673","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV64","129300.00","http://www.safehorizon.org","POINT (-74.003491 40.713931)"
"Clinton County (District Attorney) (expansion)","130 Arizona Avenue","Plattsburgh","NY","12901","(518) 565-4485","CLINTON, FRANKLIN, ESSEX, and ST REGIS","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028071","100000.00",,"POINT (-73.459691 44.660762)"
"Wyckoff Heights Medical Center","374 Stockholm Street","Brooklyn","NY","11237","(929) 432-3486","NEW YORK CITY","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA48","61168.00",,"POINT (-73.917626 40.70472)"
"Family Service League of Suffolk County, Inc.","1444 Fifth Avenue","Bay Shore","NY","11706","(631) 647-3100","SUFFOLK","Healthy Families New York Home Visiting","SRO","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","9/1/21-8/31/22","C028015","659217.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.263907 40.745562)"
"Catholic Charities of Chemung/Schuyler","105 Ninth Street","Watkins Glen","NY","14891","(800) 942-6906","SCHUYLER","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029199","16178.00","http://www.cs-cc.org","POINT (-76.871133 42.377392)"
"Family Help Center","60 Dingens Street","Buffalo","NY","14206","716-822-0919","ERIE","Child Abuse Prevention/Parenting Education","Community Based Child Prevention Program-Federally Funded","Program will implement the evidence-based Community Parent and Child Bonding program. This is an expansion of the HAPI program.Targets at-risk families and children in the homeless shelter system. The program is implemented in the community at partner social service settings. Models used are Parents Interacting with Infants (PIWI) and Positive Solutions for Familes (PSF) to teach parenting skills and strategies.","8/1/19-7/31/24","C028521","130735.00","https://familyhelpcenter.net/","POINT (-78.812969 42.877871)"
"Jewish Board of Family and Children's Services, Inc.","120 West 57th Street","New York","NY","10019","(212) 632-4623","KINGS","Kinship","State Aid to Localities and Temporary Assistance For Needy Families","Programs which support relative caregivers and children by providing services directly or through referral including financial, legal, medical, mental health, housing, parent education, support groups, respite activities, youth development and educational advocacy.","9/1/15-8/31/20","C027682","177352.00","http://www.jbfcs.org","POINT (-73.978289 40.764786)"
"Mental Health Assoc. in Fulton and Montgomery Counties, Inc.","307-309 Meadow Street","Johnstown","NY","12095","(518) 736-2443","FULTON, MONTGOMERY, HAMILTON","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/19-1/31/20","C028144","121777.00","http://www.mentalhealthassociation.org/","POINT (-74.377811 43.00205)"
"Cayuga Counseling Services, Inc.","17 East Genesee Street","Auburn","NY","13021","(315) 253-9795","CAYUGA","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/22-01/31/27","C029315","155312.00","http://www.cacofcayugacounty.org","POINT (-76.562344 42.933141)"
"START Children's Center, Inc.","127 Bloominggrove Drive","Troy","NY","12180","(518) 271-6001","RENSSELAER","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028059","216408.00","http://wwwstartchildrenscenter.com","POINT (-73.68127 42.686475)"
"Catholic Charities of Montgomery County","1 Kimball Street","Amsterdam","NY","12010","(800) 721-2173","MONTGOMERY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028784","59000.00","http://www.catholiccharitiesfmc.org","POINT (-74.192726 42.940475)"
"Grace Smith House, Inc.","P. O. Box 5205","Poughkeepsie","NY","12602","(845) 471-3033","DUTCHESS","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029165","30290.00","http://www.gracesmithhouse.org",
"Public Health Solutions","203 Irving Avenue","Brooklyn","NY","11237","(718) 416-1442","KINGS","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027562","731849.00","http://www.healthsolutions.org","POINT (-73.918426 40.701308)"
"Sheltering Arms Children and Family Services","89-74 62 Street, 4th Floor","Jamaica","NY","11432","(718) 526-2400","QUEENS","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027581","535108.00","http://www.safespacenyc.org/safespace/section",
"Catholic Charities Diocese of Rochester","94 Exchange Street","Geneva","NY","14456","(315) 789-2235","ONTARIO, SENECA, YATES, WAYNE ORLEANS, CHENANGO","Permanency Resource Centers","State Aid","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","3/31/17-3/30/23","C027999","289924.00","https://www.catholiccharitiesfl.org/","POINT (-76.979046 42.873507)"
"Warren Washington CARE Center","PO BOX 659 24 Dix Avenue","Glens Falls","NY","12801","(518) 792-2731","WARREN, WASHINGTON","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028061","170025.00","http://www.wwcarecenter.org",
"Rising Ground, Inc.","1680 Seward Avenue","Bronx","NY","10473","(718) 991-1500","Bronx","Prevention","Community Based Child Prevention Program-Federally Funded","Services focus on parenting education utilizing the Parenting Journey curriculum, workshops, peer support, family recreation activities, structured playgroups, facilitating access to medical and mental health services, building opportunities for community involvement and parent leadership, and linkage to community supports. The FRC is co-located with the Seabury Day Care center, Early Head Start, and the Parent-Child Plus home visiting program administrative offices.","8/1/19-7/31/24","C028536","150000.00","https://www.risingground.org/program/soundview-family-resource-center/","POINT (-73.868935 40.818382)"
"House of Faith Ministry, Inc. (dba Hudson Valley House of Hope)","PO Box 411","Fishkill","NY","12524","(845) 756-1136","DUTCHESS","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029167","4673.00","http://hudsonvalleyhouseofhope.org",
"EAC, Inc.","80 Wheeler Road","Central Islip","NY","11722","(631) 439-0480","SUFFOLK","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/17-1/31/22","C027950","185764.00","https://eac-network.org/","POINT (-73.207705 40.797239)"
"Morris Heights Health Center, Inc.","2306 Walton Avenue","Bronx","NY","10468","(718) 483-1255","BRONX","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three month of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","7/1/21-6/30/22","C028898","687428.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.902614 40.858664)"
"Cortland County","60 Central Avenue","Cortland","NY","13045","(607) 753-5087","CORTLAND","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/18-1/31/23","C028141","161299.00","http://www.cortland-co.org","POINT (-76.176732 42.600242)"
"Putnum County Department of Social Services","121 Main Street","Brewster","NY","10509","(845) 808-1400","PUTNAM","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028056","169012.00",,"POINT (-73.613509 41.395545)"
"Putnam/Northern Westchester Women's Resource Center, Inc.","935 South Lake Blvd., Suite 2","Mahopac","NY","10541","(845) 628-9284","PUTNAM","Sexual Assault","FVPSA  ARP SA","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA35","523350.00",,"POINT (-73.735708 41.372242)"
"Warren Washington CARE Center","PO BOX 659 24 Dix Avenue","Glens Falls","NY","12801","(518) 792-2731","WARREN, WASHINGTON","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028061","170025.00","http://www.wwcarecenter.org",
"YWCA of Schenectady","44 Washington Avenue","Schenectady","NY","12305","(518) 374-3386","SCHENECTADY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028839","77000.00","http://www.ywca-northeasternny.org","POINT (-73.949168 42.816584)"
"Bronx-Lebanon Hospital Center","1650 Selwyn Avenue, Suite 5H","Bronx","NY","10457","(718) 960-1461","BRONX","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","10/1/21-9/30/22","C028299","217985.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.910406 40.84347)"
"Cayuga/Seneca Community Action Agency, Inc.","88 York Street","Auburn","NY","13021","(800) 253-3358","CAYUGA","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028778","59000.00","http://www.cscaa.com","POINT (-76.575984 42.949485)"
