"lender_name","principal_office_address","city","state","zip","principal_office_phone_number","lenders_website_address","institution_type","company","regulatory_authority","minority_owned","woman_owned","sonyma_region_1_contact","sonyma_region_2_contact","sonyma_region_3_contact","sonyma_region_4_contact","sonyma_region_5_contact","sonyma_region_6_contact","sonyma_region_7_contact","sonyma_region_8_contact","sonyma_region_9_contact","sonyma_region_10_contact"
"Elmira Savings Bank","333 East Water Street,                        PO Box 524","Elmira","NY","14901","(607) 737-8815","http://www.elmirasavingsbank.com","Thrift",,"New York State Department of Financial Services","FALSE","FALSE",,"(607) 737-8815","(607) 737-8815","(607) 737-8815",,,,,,
"Emigrant Mortgage Company","7 Westchester Plaza","Elmsford","NY","10523","(914) 785-1100","http://www.emigrantmortgage.com","Mortgage Banker","Subsidiary","New York State Department of Financial Services","FALSE","FALSE",,,,,"(914) 785-1100",,,"(914) 785-1100","(914) 785-1100","(914) 785-1100"
"Mortgage Master, Inc. dba LoanDepot.com, LLC","26642  Towne Centre Drive","Foothill Ranch","CA","92610","(888) 337-6888","http://www.loanDepot.com","Mortgage Banker","Independent","CFPB","TRUE","FALSE","(914) 586-1101","(914) 586-1101","(914) 586-1101","(914) 586-1101","(914) 586-1101","(914) 586-1101","(914) 586-1101","(914) 586-1101","(516) 493-9593","(914) 586-1101"
"RBS Citizens, N.A. dba CCO Mortgage","10561 Telegraph Road","Glen Allen","VA","23059","(804) 627-4942","http://www.citizensbank.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE","(716) 630-2100","(585) 423-7200","(585) 423-7200","(585) 423-7200","(845) 564-0308","(518) 432-2282","(585) 423-7200","(845) 564-0308","(585) 423-7200",
"Glens Falls National Bank & Trust Company","250 Glen Street","Glens Falls","NY","12801","(518) 793-4121","http://www.gfnational.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE",,,,,,"(518) 793-4121","(518) 793-4121",,,
"Island Federal Credit Union","120 Motor Parkway","Hauppauge","NY","11788-5160","(631) 851-1100","http://www.islandfcu.org","Credit Union",,"National Credit Union Association","FALSE","FALSE",,,,,,,,,"(631) 851-1100",
"Caliber Home Loans, Inc. ","3701 Regent Blvd. Ste 200","Irving","TX","75063","(214) 687-3345","http://www.caliberhomeloans.com","New York State Licensed Mortgage Banker","Independent","New York State Department of Financial Services, CFPB","FALSE","FALSE",,,,,,,,,,
"HomeBridge Financial Services, Inc.","194 Wood Avenue South, 9th Fl","Iselin","NJ","8830","(866) 933-6342","http://www.homebridgeinc.com","Mortgage Banker",,"New York State Department of Financial Services","FALSE","FALSE",,,,,,,,"(845) 202-5645",,
"Alternatives Federal Credit Union","125 N. Fulton Street","Ithaca","NY","14850","(607) 273-4611","http://www.alternatives.org","Credit Union",,"National Credit Union Association","FALSE","FALSE",,"(877) 273-2328","(877) 273-2328","(877) 273-2328",,,,,,
"CFCU Community Credit Union","1030 Craft Rd.","Ithaca","NY ","14850","(607) 257-8500","http://www.mycfcu.com","Credit Union",,"National Credit Union Association","FALSE","FALSE",,"(607) 257-8500","(607) 257-8500","(607) 257-8500",,,,,,
"Tompkins Trust Company","110 N. Tioga Street, PO Box 460","Ithaca","NY","14850","(607) 273-3210","http://www.tompkinstrust.com","Commercial Bank",,"New York State Department of Financial Services, FDIC","FALSE","FALSE",,"(607) 273-3210","(315) 255-9078","(607) 273-3210",,,,,,
"Mid-Hudson Valley Federal Credit Union","1099 Morton Blvd, PO Box 1429","Kingston","NY","12401","(845) 336-4444","http://www.mhvfcu.com","Credit Union"," ","National Credit Union Association","FALSE","FALSE",,,,,"(800) 451-8373","(800) 451-8373",,"(845) 336-4444","(845) 336-4444",
"Ulster Savings Bank","180 Schwenk Drive, PO Box 3337","Kingston","NY","12401","(866) 440-0391","http://www.ulstersavings.com","Mutual Savings Bank",,"New York State Department of Financial Services","FALSE","FALSE",,,,,"(845) 338-6322","(845) 338-6322",,"(914) 686-0220","(631) 369-2333","(631) 369-2333"
"Wall Street Mortgage Bankers, Ltd dba Power Express","1111 Marcus Avenue, Suite LL08","Lake Success","NY","11042","(516) 355-4500","http://www.powerexpressmortgage.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","FALSE",,,,,,,,"(718) 904-0004","(516) 355-4500","(516) 355-4500"
"Sunmark Federal Credit Union","1187 Troy Schenectady Road","Latham","NY","12110","(518) 382-2597","http://www.sunmarkfcu.org","Credit Union",,"National Credit Union Association","FALSE","FALSE",,,,,,"(518) 382-2597",,,,
"United Nations Federal Credit Union","24-01 44th Road","Long Island City","NY","11101","(347) 686-6000","http://www.unfcu.org","Credit Union",,"National Credit Union Association","FALSE","FALSE",,,,,"(800) 891-2471","(800) 891-2471",,"(800) 891-2471","(800) 891-2471","(800) 891-2471"
"Freedom Mortgage Corporation dba CHL Mortgage ","175 Pinelawn Road, Suite 400","Melville","NY","11747","(631) 549-8188 ext. 4127","http://www.continentalhomeloans.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","FALSE","(800) 540-8838","(800) 540-8838","(800) 540-8838","(800) 540-8838","(800) 540-8838","(800) 540-8838","(800) 540-8838","(800) 540-8838","(800) 540-8838","(800) 540-8838"
"BankUnited, N.A.","14817 Oak Lane ","Miami Lakes","FL","33016","(305) 698-4119","http://www.bankunited.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE",,,,,,,,,,
"Astoria Bank ","211 Station Road","Mineola","NY","11501-0510","(516) 535-8467","http://www.astoriabank.com","Thrift",,"Office of the Comptroller of the Currency","FALSE","FALSE ",,,,,,,,"(800) 537-4888","(800) 537-4888","(800) 537-4888"
"Provident Bank","400 Rella Boulevard","Montebello","NY","10901","(845) 369-8040","http://www.providentbanking.com","Thrift",,"Office of Thrift Supervision","FALSE","FALSE",,,,,,,,"(845) 369-8040",,
"Weichert Financial Services","225 Littleton Road","Morris Plains","NJ","07950-0510","(973) 605-1515","http://www.weichertfinancial.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","FALSE",,,,,"(845) 896-7042","(845) 336-2633",,"(914) 681-0045","(973) 898-8793","(973) 898-8793"
"Embrace Home Loans, Inc. ","25 Enterprise Center","Newport","RI","20842","(800) 333-3004","http://www.embracehomeloans.com","New York State Licensed Mortgage Banker","Independent","CFPB","FALSE","FALSE",,,,,,,,,,
"Abacus Federal Savings Bank","6-8 Bowery","New York","NY","10013","(212) 285-4770","http://www.abacusbank.com","Thrift",,"Office of the Comptroller of the Currency","TRUE","FALSE",,,,,,,,,,"(212) 285-4770"
"Apple Bank for Savings","122 East 42nd Street","New York","NY","10168","(212) 224-6400","http://www.applebank.com","Savings Bank","Independent","New York State Department of Financial Services","FALSE","FALSE",,,,,"(800) 333-2775",,,"(800) 333-2775","(800) 333-2775","(800) 333-2775"
"Citibank, N.A.","399 Park Avenue","New York","NY","10043","(800) 667-8424","http://www.citi.com","Commercial Bank"," ","Office of the Comptroller of the Currency",,,,,,,"(718) 248-2402",,,"646-261-5654","(631) 495-1282","(718) 336-4332"
"The Berkshire Bank","4 East 39th Street","New York","NY","10016","212-802-1000","http://www.berkbank.com","Commercial Bank",,"New York State Department of Financial Services","FALSE","FALSE",,,,,,,,,,
"Amalganated Bank","275 Seventh Avenue","New York ","NY ","10001","(212) 255- 6200","http://www.amalgamatedbank.com","Commercial Bank",,"New York State Department of Financial Services, FDIC","FALSE","FALSE",,,,,,,,,,
"NBT Bank, N.A.","52 South Broad Street","Norwich","NY","13815","(607) 337- 6391","http://www.NBTbank.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE",,,"(607) 337-6167","(607) 337-6167",,"(607) 337-6167","(607) 337-6167",,,
"CitiMortgage, Inc. ","1000 Technology Drive ","O'Fallon","MO","63368","(800) 667-8424","http://www.citi.com","Mortgage Banker","Subsidiary","Office of the Comptroller of the Currency","FALSE","TRUE",,,,,,,,,,
"Community Bank, N.A.","201 North Union Street","Olean","NY","14760","(716) 372-0110","http://www.communitybankna.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE",,,,"(607) 733-5533",,,"(607) 272-3595",,,
"Oneida Savings Bank","182 Main Street, PO Box 240","Oneida","NY","13421","(315) 363-2000","http://www.oneidabank.com","New York State Chartered Savings Bank",,"FDIC","FALSE","FALSE",,,"(800) 211-0564",,,,"(800) 211-0564",,,
"MCS Mortgage Bankers, Inc.","20 Oak Street","Patchogue","NY","11772","(631) 475-9800","http://www.mcsmortgagebankers.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","TRUE",,,,,,,,,"(631) 475-9800","(631) 475-9800"
"Capital One Bank, N. A.","7933 Preston Road, Building 3","Plano","TX","75024","(225) 291-1632","http://www.capitalone.com","Commercial Bank","Independent","Office of the Comptroller of the Currency","FALSE","FALSE",,,,,,,,"(914) 682-2023",,
"Hudson Valley Federal Credit Union","137 Boardman Road, PO Box 1071","Poughkeepsie","NY","12603","(845) 463-3011","http://www.hvfcu.org","Credit Union",,"National Credit Union Association","FALSE","FALSE",,,,,"(800) 468-3011",,"(800) 468-3011","(800) 468-3011",,
"Rhinebeck Savings Bank","2 Jefferson Plaza, PO Box 1191","Poughkeepsie","NY","12601","(845) 454-8555","http://www.rhinebeckbank.com","State Chartered Savings Bank",,"New York State Department of Financial Services","FALSE","FALSE",,,,,"(800) 772-8760",,,"(800) 772-8760",,
"Santander Bank, NA","601 Penn Street","Reading","PA","19601","(610) 378-6732","http://www.santanderbank.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE",,,,,,,,"(732) 321-2347","(631) 531-0772","(631) 531-0772"
"Ridgewood Savings Bank","71-02 Forest Avenue","Ridgewood","NY","11385","(718) 240-4800","http://www.ridgewoodbank.com","Mutual Savings Bank",,"New York State Department of Financial Services","FALSE","FALSE",,,,,,,,"(866) 772-4111","(866) 772-4111","(866) 772-4111"
"Suffolk County National Bank","4 West Second Street, PO Box 9001","Riverhead","NY","11901","(631) 208-2244","http://www.SCNB.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE",,,,,,,,,"(631) 208-2244",
"Family First of NY Federal Credit Union","2520 Browncroft Blvd.","Rochester","NY","14625","(585) 586-8225","http://www.familyfirstny.com","Credit Union",,"National Credit Union Association","FALSE","FALSE",,"(585) 586-8225",,,,,,,,
"Nothnagle Home Securities Corp.","217 West Main Street, Suite 200","Rochester","NY","14614","(585) 461-4110","http://www.snapmortgage.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","FALSE",,"(585) 461-4110",,,,,,,,
"AmeriCU Credit Union","1916 Black River Blvd.","Rome","NY","13440","(800) 388-3000","http://www.americu.org","Credit Union",,"National Credit Union Association","FALSE","FALSE",,,"(315) 356-3406",,,,"(315) 356-3406",,,
"Hartford Funding, LTD","2040 Ocean Avenue","Ronkonkoma","NY","11779","(631) 588-9300","http://www.hartfordfunding.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","FALSE",,,"(518) 372-3163",,,"(518) 372-3163","(518) 372-3163",,"(631) 588-9300","(631) 588-9300"
"Wells Fargo Bank, N. A.","1003 East Brier Drive (X0501-02G)","San Bernardino","CA","92408","(909) 658-0746","http://www.wellsfargo.com","Mortgage Banker"," ","Office of the Comptroller of the Currency","FALSE","FALSE","(716) 204-1500","(800) 288-2610","(607) 756-6700","(800) 288-2610","(845) 440-2300","(518) 793-7291",,"(845) 639-2720","(516) 535-1600","(718) 310-4321"
"Sawyer Savings Bank","87 Market Street","Saugerties","NY","12477","(888) 772-1871","http://www.sawyersavings.com","Mutual Savings Bank",,"New York State Department of Financial Services, FDIC","FALSE","FALSE",,,,,"(800) 486-9266",,,,,
"Reliant Community Federal Credit Union","10 Benton Place, PO Box 40","Sodus","NY","14551","(800) 724-9282","http://www.reliantcu.com","Credit Union",,"National Credit Union Association","FALSE","FALSE",,"(800) 724-9282","(800) 724-9282","(800) 724-9282",,,,,,
"Pioneer Savings Bank","21 Second Street","Troy","NY","12180","(518) 687-5000","http://www.pioneerbanking.com","Mutual Savings Bank",,"FDIC","FALSE","FALSE",,,,,"(518) 274-4800","(518) 274-4800","(518) 274-4800",,,
"Hometown Bank of the Hudson Valley","12 Main Street","Walden","NY","12586","(845) 778-2171","http://www.hometownbankhv.com","Thrift"," ","Office of the Comptroller of the Currency","FALSE","FALSE",,,,,"(800) 249-3832",,,"(800) 249-3832",,
"Five Star Bank","220 Liberty Street","Warsaw","NY","14569","(585) 627-1473","http://www.five-starbank.com","Commercial Bank",,"New York State Department of Financial Services","FALSE","FALSE","(866) 661-7946","(866) 661-7946","(866) 661-7946","(866) 661-7946",,"(866) 661-7946",,,,
"Valley National Bank","1455 Valley Road","Wayne","NJ","7470","973-305-8800","http://www.valleynationalbank.com","Commercial Bank",,"Office of the Comptroller of the Currency","FALSE","FALSE","(973) 305-3253","(973) 305-3253","(973) 305-3253",,,,,,,
"Continental Mortgage Bankers, Inc. dba Financial Equities","1025 Old Country Road","Westbury","NY","11590","(516) 876-8500","http://www.financialequities.com","Mortgage Banker","Independent","Office of Thrift Supervision","TRUE","TRUE",,,,,,,,,"(800) 924-6336","(800) 924-6336"
"Mid-Island Mortgage Corp.","900 Merchants Concourse","Westbury","NY","11590","(516) 683-0800","http://www.mortgagecorp.com","Mortgage Banker","Independent","New York State Department of Financial Services","FALSE","FALSE",,,,,"(516) 683-0800",,,"(516) 683-0800","(516) 683-0800","(516) 683-0800"
"Nassau Educators Federal Credit Union","1000 Corporate Drive","Westbury","NY","11590","(516) 561-0030","http://www.mynefcu.org","Credit Union",,"National Credit Union Association","FALSE","FALSE","(516) 714-2955","(516) 714-2955","(516) 714-2955","(516) 714-2955","(516) 714-2955","(516) 714-2955","(516) 714-2955","(516) 714-2955","(516) 714-2955","(516) 714-2955"
"Evolve Bank & Trust","301 Shoppingway Blvd","West Memphis","AR","72301","(901) 624-5500",,"Commercial Bank","Subsidiary","Federal Reserve, State of Arkansas","FALSE","FALSE",,,,,,,,,"(631) 675-2472","(646) 459-0624"
