"public_authority_type","public_authority_name","address_line_1","address_line_2","city","state","zip","website"
"LDC","Long Beach Local Development Corporation","1 West Chester Street",,"LONG BEACH","NY","11561","http://www.longbeachny.gov"
"LDC","Nassau County Local Economic Assistance Corporation","1 West Street","4th Floor","MINEOLA","NY","11501","https://nassauleac.com"
"IDA","Nassau County Industrial Development Agency","1 West Street","4th Floor","MINEOLA","NY","11501","http://www.nassauida.org"
"Local","Albany Municipal Water Finance Authority","10 N. Enterprise Ln",,"ALBANY","NY","12204","http://www.albanyny.gov/Government/CityOfficials/BoardsAndCommissions/AlbanyMunicipalWaterFinanceAuthority.aspx"
"Local","Albany Water Board","10 North Enterprise Drive",,"ALBANY","NY","12204","http://www.albanyny.gov/Government/CityOfficials/BoardsAndCommissions/AlbanyWaterBoard.aspx"
"LDC","Governors Island Corporation","10 South Street","Slip 7","NEW YORK","NY","10004","http://govisland.com"
"Local","Onondaga County Resource Recovery Agency","100 Elwood Davis Rd.",,"N SYRACUSE","NY","13212-4312",
"LDC","The Town of Huntington Economic Development Corporation","100 Main Street","Room 309","HUNTINGTON","NY","11743","http://huntingtonny.gov/action_orgs_detail.cfm?boardID=29"
"LDC","Town of Huntington Local Development Corporation","100 Main Street","Suite 200","HUNTINGTON","NY","11743","http://www.huntingtonny.gov"
"Local","Huntington Community Development Agency","100 Main Street","Suite 309","HUNTINGTON","NY","11743","http://huntingtonny.gov"
"LDC","Sullivan County Land Bank Corporation","100 North Street",,"MONTICELLO","NY","12701","http://www.sullivancountylandbank.org"
"LDC","Sullivan Tobacco Asset Securitization Corporation","100 North Street",,"MONTICELLO","NY","12701",
"LDC","Emerald Corporate Center Economic Development Corporation","100 North Street",,"MONTICELLO","NY","12701",
"LDC","The Recreation and Economic Development Corporation of Suffolk County","100 Veterans Highway","P.O. Box 6100","HAUPPAUGE","NY","11788",
"LDC","Suffolk Tobacco Asset Securitization Corporation","100 Veterans Memorial Highway",,"HAUPPAUGE","NY","11788",
"LDC","Suffolk County Economic Development Corporation","100 Veterans Memorial Hwy","H. Lee Dennison Building; 11th Floor","HAUPPAUGE","NY","11788-0099","http://www.suffolkcountyny.gov/scedc"
"IDA","Suffolk County Industrial Development Agency","100 Veterans Memorial Hwy","H. Lee Dennison Building; 3rd Floor","HAUPPAUGE","NY","11788-0099","http://www.suffolkida.org"
"LDC","Olean Local Development Corporation","101 East State Street",,"OLEAN","NY","14760","http://www.cityofolean.org"
"Local","Olean Urban Renewal Agency","101 East State Street",,"OLEAN","NY","14760",
"LDC","Tioga Tobacco Asset Securitization Corporation","103 Southside Drive Ste. 6",,"OWEGO","NY","13827-4317",
"Local","Buffalo Sewer Authority","1038 City Hall","65 Niagara Square","BUFFALO","NY","14202-3378","https://buffalosewer.org/"
"LDC","Schuyler County Human Services Development Corporation","105 Ninth Street","Unit 37","WATKINS GLEN","NY","14891","http://www.schuylercounty.us/Index.aspx?NID=425"
"Local","Albany Port District Commission","106 Smith Blvd.","Port of Albany","ALBANY","NY","12202","http://www.portofalbany.us"
"Local","Ithaca Urban Renewal Agency","108 East Green Street","City Hall, 3rd Floor","ITHACA","NY","14850","http://www.cityofithaca.org/290/Ithaca-Urban-Renewal-Agency"
"LDC","Herkimer Tobacco Asset Securitization Corporation","109 Mary Street","Suite 1310","HERKIMER","NY","13350","http://herkimer.yourtasc.com"
"Local","Freeport Community Development Agency","11 Richmond Street",,"FREEPORT","NY","11520","https://www.freeportny.gov/20/Community-Development-Agency"
"LDC","Town of Montgomery Capital Resource Corporation","110 Bracken Road",,"MONTGOMERY","NY","12549",
"IDA","Town of Montgomery Industrial Development Agency","110 Bracken Road",,"MONTGOMERY","NY","12549",
"LDC","Fulton County Economic Development Corporation","110 Decker Drive","Suite 110","JOHNSTOWN","NY","12095","http://www.sites4u.org/"
"LDC","Crossroads Incubator Corporation","110 Decker Drive","Suite 110","JOHNSTOWN","NY","12095",
"State","New York Local Government Assistance Corporation","110 State Street",,"ALBANY","NY","12236","https://www.osc.state.ny.us/debt/lgac"
"State","Capital District Transportation Authority","110 Watervilet Avenue",,"ALBANY","NY","12206","http://www.cdta.org"
"Local","New York City Housing Development Corporation","110 William Street",,"NEW YORK","NY","10038","http://www.nychdc.com"
"LDC","Dobbs Ferry Local Development Corporation","112 Main Street",,"DOBBS FERRY","NY","10522-1610","http://www.dobbsferry.com"
"LDC","Advance Albany County Alliance Local Development Corporation","112 State Street",,"ALBANY","NY","12207","https://www.advancealbanycountyalliance.com/"
"LDC","Albany County Capital Resource Corporation","112 State Street","Room 740","ALBANY","NY","12207",
"LDC","Canandaigua Local Development Corporation, Inc","113 Soth Main Street",,"CANANDAIGUA","NY","14424","http://www.canandaiguameansbusiness.com"
"Local","Town of Erwin Urban Renewal Agency","117 West Water Street",,"PAINTED POST","NY","14870","http://www.erwinny.org"
"IDA","Town of Erwin Industrial Development Agency","117 West Water Street",,"PAINTED POST","NY","14870","http://www.erwinny.org"
"LDC","Lloyd Community Development Corporation","12 Church St",,"HIGHLAND","NY","12528",
"LDC","Public Realm Improvement Fund Governing Group Inc","120 Broadway","31st Floor","NEW YORK","NY","10271","https://www1.nyc.gov/site/planning/zoning/districts-tools/public-realm-improvement-fund.page"
"LDC","Queens Economic Development Corporation","120-55 Queens Blvd. Suite 309",,"KEW GARDENS","NY","11424","http://www.queensny.org"
"Local","Monroe County Airport Authority","1200 Brooks Avenue",,"ROCHESTER","NY","14624",
"LDC","Orleans County Local Development Corporation","121 North Main Street",,"ALBION","NY","14411","http://orleansny.com/Home/COIDA/OCLDCAuthorityPage/tabid/275/Default.aspx"
"LDC","Orleans Land Restoration Corporation","121 North Main Street",,"ALBION","NY","14411","http://orleansny.com/Home/COIDA/tabid/251/Default.aspx"
"IDA","Orleans County Industrial Development Agency","121 North Main Street",,"ALBION","NY","14411","http://www.orleansdevelopment,org"
"State","Power Authority of the State of New York","123 Main Street","17th Floor","WHITE PLAINS","NY","10601","http://www.nypa.gov"
"Local","Orange County Water Authority","124 Main Street",,"GOSHEN","NY","10924","http://waterauthority.orangecountygov.com"
"LDC","Tompkins Tobacco Asset Securitization Corporation","125 East Court Street",,"ITHACA","NY","14850","http://tompkins.yourtasc.com/"
"Local","City of Fulton Community Development Agency","125 West Broadway",,"FULTON","NY","13069","http://www.fultoncda.com"
"State","Nassau County Interim Finance Authority","1305 Franklin Avenue","Suite 302","GARDEN CITY","NY","11530","http://www.nifa.state.ny.gov"
"LDC","New York City Energy Efficiency Corporation","1359 Broadway","19th Floor","NEW YORK","NY","10018","http://www.nyceec.com"
"LDC","Clinton County Capital Resource Corporation","137 Margaret Street, Suite 209",,"PLATTSBURGH","NY","12901","http://www.clintoncountyida.com/Clinton-IDA/cc_capital-resource-corp.html"
"IDA","Clinton County Industrial Development Agency","137 Margaret Street, Suite 209",,"PLATTSBURGH","NY","12901","http://www.clintoncountyida.com/Clinton-IDA/clinton.html"
"LDC","Clinton Grant Facilitation Corporation","137 Margaret Street, Suite 209",,"PLATTSBURGH","NY","12901","http://www.clintoncountyida.com/information-page/"
"State","Rochester-Genesee Regional Transportation Authority","1372 East Main Street",,"ROCHESTER","NY","14609","http://www.rgrta.com"
"Local","Village of Patchogue Community Development Agency","14 Baker Street","PO Box 719","PATCHOGUE","NY","11772","http://www.patchoguevillage.org/commdev.htm"
"IDA","Port Jervis Industrial Development Agency","14-20 Hammond St.","P O Box 1002","PORT JERVIS","NY","12771",
"LDC","Prattsville Local Development Corporation","14517 Main Street","PO Box 418","PRATTSVILLE","NY","12468",
"LDC","Westchester Tobacco Asset Securitization Corporation","148 Martine Avenue","Room 720","WHITE PLAINS","NY","10601","http://www.westchestertasc.com"
"LDC","Westchester County Local Development Corporation","148 Martine Avenue","9th Floor","WHITE PLAINS","NY","10601",
"IDA","Westchester County Industrial Development Agency","148 Martine Avenue","Room 903","WHITE PLAINS","NY","10601",
"LDC","Columbia Tobacco Asset Securitization Corporation","15 North 6th Street",,"HUDSON","NY","12534","https://sites.google.com/a/columbiacountyny.com/columbia-county-ctasc/"
"LDC","Development Chenango Corporation","15 South Broad Street",,"NORWICH","NY","13815","http://www.commercechenango.com"
"IDA","Chenango Industrial Development Agency","15 South Broad Street",,"NORWICH","NY","13815","http://www.commercechenango.com"
"LDC","Sherburne Area Local Development Corporation","15 West State Street","P.O. Box 704","SHERBURNE","NY","13460",
"LDC","Town of Plattsburgh Local Development Corporation","151 Banker Road",,"PLATTSBURGH","NY","12901","http://www.townofplattsburgh.com"
"Local","Water Authority of Western Nassau County","1580 Union Turnpike",,"NEW HYDE PARK","NY","11040-1762",
"IDA","Middletown Industrial Development Agency","16 James St",,"MIDDLETOWN","NY","10940",
"Local","Middletown Community Development Agency","16 James Street",,"MIDDLETOWN","NY","10940","http://www.middletown-ny.com/government/middletown-community-development-agency.html"
"LDC","Wayne County Regional Land Bank Corporation","16 William Street",,"LYONS","NY","14489","http://waynecountylandbankny.com"
"LDC","Cayuga Tobacco Asset Securitization Corporation","160 Genesee Street., 6th Floor",,"AUBURN","NY","13021","http://cayuga.yourtasc.com"
"Local","New York City Health and Hospitals Corporation","160 Water Street",,"NEW YORK","NY","10013","http://www.nyc.gov/html/hhc/html/home/home.shtml"
"IDA","Rensselaer County Industrial Development Agency","1600 7th Avenue",,"TROY","NY","12180",
"Local","Oneida-Herkimer Solid Waste Management Authority","1600 Genesee Street",,"UTICA","NY","13502","http://www.ohswa.org"
"LDC","Rensselaer County Capital Resource Corporation","1600 Seventh Avenue",,"TROY","NY","12180","http://www.discoverrensselaer.com/rccrc/"
"Local","Rensselaer County Water and Sewer Authority","1600 Seventh Avenue",,"TROY","NY","12180","http://www.discoverrensselaer.com/rcwsa-2/"
"LDC","Kingston City Land Bank, Inc.","17 Hoffman Street",,"KINGSTON","NY","12401","http://www.kingstoncitylandbank.org"
"Local","Rockland County Solid Waste Management Authority","172 Main Street",,"NANUET","NY","10954","http://www.rocklandgreen.com"
"LDC","Niagara Tobacco Asset Securitization Corporation","175 Hawley Street",,"LOCKPORT","NY","14094","http://www.niagaracounty.com/ntasc.asp"
"State","Niagara Frontier Transportation Authority","181 Ellicot Street",,"BUFFALO","NY","14203","http://www.nfta.com"
"LDC","Otsego County Capital Resource Corporation","189 Main St","Suite 500","ONEONTA","NY","13820","http://www.otsegocounty.com"
"IDA","Otsego County Industrial Development Agency","189 Main St","suite 500","ONEONTA","NY","13820","http://www.otsegonow.com"
"LDC","Oneonta Rail Yards Local Development Corporation","189 Main Street",,"ONEONTA","NY","13820","https://otsegonow.com"
"LDC","St. Lawrence County Industrial Development Agency Civic Development Corporation","19 Commerce Lane","Suite 1","CANTON","NY","13617","http://www.slcida.com/about-the-slc-ida-cdc.html"
"LDC","St. Lawrence County Industrial Development Agency Local Development Corporation","19 Commerce Lane","Suite 1","CANTON","NY","13617","http://www.slcida.com/ida-local-development-corp.html"
"IDA","St. Lawrence County Industrial Development Agency","19 Commerce Lane","Suite 1","CANTON","NY","13617","http://www.slcida.com"
"LDC","St. Lawrence County Property Development Corporation","19 Commerce Lane, Ste 1",,"CANTON","NY","13617","http://www.slcida.com/property-development-corp.html"
"LDC","Owasco Lake Watershed Management Council, Inc","197 Franklin St",,"AUBURN","NY","13021","https://www.olwmc.org/"
"Local","Livingston County Water and Sewer Authority","1997 D'Angelo Drive","PO Box 396","LAKEVILLE","NY","14480","http://wwww.co.livingston.state.us/lcwsa.htm"
"LDC","Nassau County Tobacco Settlement Corporation","1West Street",,"MINEOLA","NY","11501","http://www.nassaucountyny.gov/agencies/Treasurer/tobacco.html"
"State","Metropolitan Transportation Authority","2 Broadway",,"NEW YORK","NY","10004","http://www.mta.info"
"IDA","North Greenbush Industrial Development Agency","2 Douglas Street",,"WYNANTSKILL","NY","12198","http://townofng.com"
"LDC","East of Hudson Watershed Corporation","2 Route 164",,"PATTERSON","NY","12563","http://www.EOHWC.org"
"LDC","City of Watervliet Local Development Corporation","2-15th Street",,"WATERVLIET","NY","12189-2846","http://www.watervlietldc.com"
"IDA","Green Island Industrial Development Agency","20 Clinton Street",,"GREEN ISLAND","NY","12183","http://www.villageofgreenisland.com"
"LDC","Seneca Falls Development Corporation","20 East Bayard Street",,"SENECA FALLS","NY","13148","http://senecafallsdevcorp.org/"
"LDC","Ontario County Economic Development Corporation","20 Ontario St Suite 106B",,"CANANDAIGUA","NY","14424","http://www.co.ontario.ny.us"
"LDC","Ontario County Local Development Corporation","20 Ontario Street","Suite 106B","CANANDAIGUA","NY","14424","http://ontariocountydev.org"
"IDA","Ontario County Industrial Development Agency","20 Ontario Street","Suite 106B","CANANDAIGUA","NY","14424","http://www.co.ontario.ny.us"
"Local","Wilton Water and Sewer Authority","20 Traver Road",,"GANSEVOORT","NY","12831","http://water.townofwilton.com"
"LDC","Troy Community Land Bank Corporation","200 Broadway","Suite 701","TROY","NY","12180-0826","http://www.troycommunitylandbank.org"
"State","Central New York Regional Transportation Authority","200 Cortland Avenue","P.O. Box 820","SYRACUSE","NY","13205-0820","http://www.centro.org"
"LDC","Tompkins County Area Development","200 East Buffalo Street","Suite 102A","ITHACA","NY","14850","http://www.tcad.org/"
"LDC","Jamestown Local Development Corporation","200 East Third Street","Municipal Building 3rd Floor","JAMESTOWN","NY","14701",
"LDC","Chautauqua County Capital Resource Corporation","200 Harrison St",,"JAMESTOWN","NY","14701","http://www.ccida.com"
"Local","Albany Community Development Agency","200 Henry Johnson Boulevard","Second Floor","ALBANY","NY","12210-1522","http://www.albanyny.org/Government/Departments/DevelopmentandPlanning/ACDA.aspx"
"IDA","Riverhead Industrial Development Agency","200 Howell Avenue",,"RIVERHEAD","NY","11901","http://www.riverheadida.org"
"LDC","Riverhead IDA Economic Job Development Corporation","200 Howell Avenue",,"RIVERHEAD","NY","11901",
"State","Battery Park City Authority","200 Liberty Street","24th Floor","NEW YORK","NY","10281-1097","http://www.bpca.ny.gov"
"Local","Village of Spring Valley Urban Renewal Agency","200 North Main Street",,"SPRING VALLEY","NY","10977",
"Local","Onondaga County Water Authority","200 Northern Concourse",,"SYRACUSE","NY","13212","http://www.ocwa.org"
"State","New York State Thruway Authority","200 Southern Boulevard","P.O. Box 189","ALBANY","NY","12201-0189","http://www.thruway.ny.gov"
"Local","Syracuse Parking Authority","201 E. Washington St - 7th floor",,"SYRACUSE","NY","13202-1473","http://syracuse.ny.us/Parking_Authority.aspx"
"LDC","Syracuse Economic Development Corporation","201 East Washington St","6th Floor","SYRACUSE","NY","13202","http://www.syracuse.ny.us/SEDCO_Home.aspx"
"IDA","Syracuse Industrial Development Agency","201 East Washington Street","7th Floor","SYRACUSE","NY","13202","http://www.syracuse.ny.us/Syracuse_Industrial_Development_Agency.aspx"
"Local","Syracuse Urban Renewal Agency","201 East Washington Street","Room 600","SYRACUSE","NY","13202","http://www.syrgov.net/SURA.aspx"
"IDA","Chautauqua Industrial Development Agency","201 West 3rd Street","Suite 115","JAMESTOWN","NY","14701","http://www.ccida.com"
"IDA","Lancaster Industrial Development Agency","21 Central Avenue",,"LANCASTER","NY","14086","http://www.lancasternyida.com/"
"Local","Eastern Rensselaer County Solid Waste Management Authority","21 Church Street",,"MELROSE","NY","12121",
"IDA","Albany County Industrial Development Agency","21 Everett Road Extension",,"ALBANY","NY","12205","http://www.albanycounty.com/ida/"
"LDC","City of Albany Capital Resource Corporation","21 Lodge Street",,"ALBANY","NY","12207","http://www.albanyida.com"
"IDA","Albany City Industrial Development Agency","21 Lodge Street",,"ALBANY","NY","12207","http://www.albanyida.com"
"LDC","Capitalize Albany Corporation","21 Lodge Stret",,"ALBANY","NY","12207","http://www.capitalizealbany.com"
"LDC","Tusten Local Development Corporation","210 Bridge St.",,"NARROWSBURG","NY","12764",
"Local","Central New York Regional Market Authority","2100 Park Street",,"SYRACUSE","NY","13208","http://www.cnyrma@cnyrma.com"
"Local","Village of Elmira Heights Urban Renewal Agency","215 Elmwood Avenue",,"ELMIRA HEIGHTS","NY","14903","http://www.elmiraheightsura.com"
"LDC","Dutchess Tobacco Asset Securitization Corporation","22 Market Street",,"POUGHKEEPSIE","NY","12601","http://www.co.dutchess.ny.us/CountyGov/Departments/DTASC/DTindex.htm"
"State","Nassau Health Care Corporation","2201 Hempstead Turnpike",,"EAST MEADOW","NY","11554","http://www.nuhealth.net"
"IDA","Port Chester Industrial Development Agency","222 GRACE CHURCH STREET",,"PORT CHESTER","NY","10573",
"LDC","Village of Chittenango Local Development Corporation","222 Genesee Street",,"CHITTENANGO","NY","13037",
"LDC","Port Chester Local Development Corporation","222 Grace Church Street",,"PORT CHESTER","NY","10573",
"LDC","Salamanca Area Development Corporation","225 Wildwood Avenue","Suite 14","SALAMANCA","NY","14779","http://www.salmun.com/html/sadc.html"
"IDA","Salamanca Industrial Development Agency","225 Wildwood Avenue",,"SALAMANCA","NY","14779",
"LDC","Local Development Corporation of Laurelton, Rosedale, and Springfield Gardens","232-18 Merrick Boulevard",,"LAURELTON","NY","11413","http://www.ldclrs.org"
"LDC","Greater Syracuse Soundstage Development Corporation","24 Aspen Park Blvd.",,"EAST SYRACUSE","NY","13057-6075","http://www.syrsoundstage.com"
"IDA","Auburn Industrial Development Agency","24 South Street",,"AUBURN","NY","13021","http://www.auburnida.org"
"Local","Albany Parking Authority","25 Orange Street",,"ALBANY","NY","12207","http://www.ParkAlbany.com"
"LDC","The Mayor's Fund to Advance New York City","253 Broadway, 6th Floor",,"NEW YORK","NY","10007","http://www1.nyc.gov/fund"
"Local","New York City Municipal Water Finance Authority","255 Greenwich Street","6th Floor","NEW YORK","NY","10007","http://www.ci.nyc.ny.us/html/nyw/"
"Local","New York City Transitional Finance Authority","255 Greenwich Street","6th Floor","NEW YORK","NY","10007","http://www.ci.nyc.ny.us/html/tfa/"
"LDC","TSASC, Inc.","255 Greenwich Street",,"NEW YORK","NY","10007",
"Local","Saratoga County Water Authority","260 Butler Road",,"GANSEVOORT","NY","12831","http://www.saratogacountywaterauthority.com"
"State","New York State Olympic Regional Development Authority","2634 Main Street",,"LAKE PLACID","NY","12946","http://www.orda.org"
"IDA","Town of Malone Industrial Development Agency","27 Airport Road",,"MALONE","NY","12953","http://www.malonetown.com"
"LDC","Hoosick Local Development Corporation","273 breese hollow road",,"HOOSICK FALLS","NY","12090","http://hoosickldc.org"
"LDC","Sleepy Hollow Local Development Corporation","28 BEEKMAN AVENUE",,"SLEEPY HOLLOW","NY","10591","http://www.sleepyhollowny.gov/sleepy-hollow-local-development-corporation"
"LDC","Saratoga Economic Development Corporation","28 Clinton Street",,"SARATOGA SPRINGS","NY","12866","http://www.saratogaedc.com"
"LDC","Saratoga County Prosperity Partnership, Inc","28 Clinton Street","Second Floor","SARATOGA SPRINGS","NY","12866","http://www.saratogapartnership.org"
"LDC","Wheatfield Local Development Corporation","2800 Church Road",,"NORTH TONAWANDA","NY","14120","http://www.wheatfieldbusiness.com/ldc_about.html"
"LDC","Energy Improvement Corporation","2875 Route 35",,"KATONAH","NY","10536","https://www.eicpace.org/"
"LDC","Mamakating Local Development Corporation","2948 Route 209","PO BOX 761","WURTSBORO","NY","12790","http://www.visitmamakating.org"
"State","Erie County Fiscal Stability Authority","295 Main Street","Room 946","BUFFALO","NY","14203","http://www.ecfsa.state.ny.us"
"Local","Erie County Water Authority","295 Main Street","Suite 350","BUFFALO","NY","14203","http://www.ecwa.org"
"LDC","Steuben County Land Bank Corporation","3 E. Pulteney Square #303",,"BATH","NY","14810-1579",
"LDC","Chautauqua Tobacco Asset Securitization Corporation","3 N. Erie St",,"MAYVILLE","NY","14757","http://ny-chautauquacounty.civicplus.com/504/CTASC"
"LDC","Roberts Road Development Corporation","3 N. Erie St",,"MAYVILLE","NY","14757","http://www.co.chautauqua.ny.us/departments/finance/RRDC/Pages/default.aspx"
"LDC","Dutchess County Local Development Corporation","3 Neptune Road",,"POUGHKEEPSIE","NY","12601-5545","http://www.thinkdutchess.com"
"IDA","Dutchess County Industrial Development Agency","3 Neptune Road",,"POUGHKEEPSIE","NY","12601-5545",
"LDC","Rochester Land Bank Corporation","30 Church St. - Room 125B",,"ROCHESTER","NY","14614","http://www.cityofrochester.gov/landbank/"
"Local","New York City Educational Construction Fund","30-30 Thomson Avenue","Room 6-027","LONG ISLAND CITY","NY","11101","http://schools.nyc.gov/community/facilities/ecf/default.htm"
"LDC","Cattaraugus County Land Bank Corporation","303 Court Street",,"LITTLE VALLEY","NY","14755","http://www.CattLandBank.org"
"LDC","Cattaraugus County Economic Sustainability and Growth Corporation","303 Court Street",,"LITTLE VALLEY","NY","14755","http://www.ccesgc.org"
"Local","New York City School Construction Authority","3030 Thomson Ave",,"LONG ISLAND CITY","NY","11101","http://www.nycsca.org"
"Local","Village of Fairport Urban Renewal Agency","31 South Main Street",,"FAIRPORT","NY","14450","http://www.fairportoced.org"
"LDC","Fairport Local Development Corporation","31 South Main Street",,"FAIRPORT","NY","14450","http://www.fairportoced.org"
"IDA","Fairport Industrial Development Agency","31 South Main Street",,"FAIRPORT","NY","14450","http://www.fairportoced.org"
"LDC","Local Development Corporation of the Town of Union","3111 East Main Street",,"ENDWELL","NY","13760","http://www.townofunion.com/depts_services_economic_dev.php"
"Local","Elmira Urban Renewal Agency","317 East Church Street","City Hall, 3rd Floor","ELMIRA","NY","14901","http://www.cityofelmira.net/community-development/urban-renewal-agency"
"LDC","Madison County Capital Resource Corporation","3215 Seneca Tpk",,"CANASTOTA","NY","13032","http://www.madisoncountyida.com"
"LDC","Madison Grant Facilitation Corporation","3215 Seneca Tpk",,"CANASTOTA","NY","13032","http://www.madisoncountyida.com"
"IDA","Madison County Industrial Development Agency","3215 Seneca Turnpike",,"CANASTOTA","NY","13032","http://www.madisoncountyida.com"
"LDC","Ogdensburg Growth Fund Development Corp.","330 Ford Street","Room 11","OGDENSBURG","NY","13669","http://ogdensburg.org/index.aspx?nid=92"
"State","Utility Debt Securitization Authority (UDSA)","333 Earle Ovington Blvd",,"UNIONDALE","NY","11553","http://www.lipower.org/UDSA/"
"State","Long Island Power Authority","333 Earle Ovington Boulevard","Suite 403","UNIONDALE","NY","11553","http://www.lipower.org"
"LDC","Economic Development Corporation - Warren County","333 Glen St., Suite 101",,"GLENS FALLS","NY","12801","http://www.edcwc.org/"
"Local","Greater Rochester Sports Authority","333 N. Plymouth Avenue",,"ROCHESTER","NY","14608","http://mcnypa.com/authority"
"Local","Trust for Cultural Resources of the County of Onondaga","333 West Washington Street, Suite 130",,"SYRACUSE","NY","13202","http://www.syracusecentral.com"
"IDA","Onondaga County Industrial Development Agency","333 West Washington Street, Suite 130",,"SYRACUSE","NY","13202","http://www.syracusecentral.com"
"LDC","Onondaga Civic Development Corporation","333 West Washington Street, Suite 130","108 Vanida Drive","SYRACUSE","NY","13202-1342","http://www.syracusecentral.com"
"LDC","Brooklyn Bridge Park Corporation","334 Furman Street",,"BROOKLYN","NY","11201-6443","http://www.brooklynbridgeparknyc.org"
"Local","Wayne County Water and Sewer Authority","3377 Daansen Road",,"WALWORTH","NY","14568","http://www.wcwsa.org"
"LDC","Chadwick Bay Regional Development Corporation","338 Main Street","Suite 210","DUNKIRK","NY","14048","http://www.chadwickbayrdc.com"
"LDC","Fulton County Center for Regional Growth, Inc.","34 West Fulton Street",,"GLOVERSVILLE","NY","12078","http://www.fccrg.org"
"LDC","Dunkirk Local Development Corporation","342 Central Avenue",,"DUNKIRK","NY","14048","http://www.dunkirktoday.com/city-offices/economic-development"
"IDA","Dunkirk Industrial Development Agency","342 Central Avenue",,"DUNKIRK","NY","14048","http://www.cityofdunkirk,com"
"LDC","Town of Colonie Local Development Corporation","347 Old Niskayuna Road",,"LATHAM","NY","12110","http://www.colonieldc.org"
"IDA","Colonie Industrial Development Agency","347 Old Niskayuna Road",,"LATHAM","NY","12110",
"LDC","Schoharie County Capital Resource Corporation","349 Mineral Springs Road",,"COBLESKILL","NY","12043",
"IDA","Schoharie County Industrial Development Agency","349 Mineral Springs Road",,"COBLESKILL","NY","12043-9702","http://www.schohariecountyida.com"
