"project_number","contract_number","title","status","procurement_type","award_type","contract_award_date","contract_end_date","contract_amount","expended_amount_ytd","expended_amount_ltd","remaining_balance","number_of_bids","mwbe","mwbe_proposals","vendor_name","address_line_1","address_line_2","city","state","zip_code","country","georeference"
"221008","T006101","DESIGN: Hinkle Library - Exterior Repair","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2017-07-25T00:00:00.000","2023-10-10T00:00:00.000","411000.00","0.00","559367.33","-148367.33","0","N","0","Bell & Spina Architects-Planners, P.C.","Suite 201, The Bindery","215 Wyoming Street","Syracuse","NY","13204","USA",
"08X7B5","T005395","CONSTR: Job Order Contracting Program - Albany","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2008-04-15T00:00:00.000","2014-09-30T00:00:00.000","276737.00","193878.00","276737.00","0.00","0","Y","0","Cutting Edge Group, LLC","14 Walkup Cutoff Road","P.O. Box 733","Lake George","NY","12845","USA","POINT (-73.648077 43.386894)"
"13X7A2","T005402","CONSTR: Job Order Contracting Program - New York City","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2008-06-02T00:00:00.000","2014-01-21T00:00:00.000","100293.00","0.00","100293.00","0.00","0","N","0","JEMCO Electrical Contractors, Inc.","271 42nd Street",,"Brooklyn","NY","11433","USA","POINT (-74.010479 40.652508)"
"231025","T006353","DESIGN: Update Facilities Master Plan","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2018-08-08T00:00:00.000","2025-06-02T00:00:00.000","142014.00","0.00","133899.24","8114.76","0","Y","0","Chiang O'Brien Architects","Crescent Building","217 North Aurora Street","Ithaca","NY","14850","USA",
"05X325","T005808","CONSTR: Williams Center Rehabilitation","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2011-02-18T00:00:00.000","2013-08-07T00:00:00.000","10843259.00","4241326.00","10843259.00","0.00","8","N","0","Manning Squires Hennig Co. Inc","8426 Seven Springs Road","PO Box 685","Batavia","NY","14020","USA","POINT (-78.133391 43.006019)"
"21X151","T005555","CONSTR: Replace Roof  Riesenberg Hall","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2009-07-23T00:00:00.000","2011-08-01T00:00:00.000","828970.00","0.00","828970.00","0.00","21","N","1","USA General Contractor Corp.","980 Dehart Place",,"Elizabeth","NJ","7207","USA","POINT (-74.222387 40.658707)"
"02X361","T005698","CONSTR: Rochester Educational Opportunity Center","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2010-06-18T00:00:00.000","2012-11-15T00:00:00.000","14702007.00","2193320.00","14702007.00","0.00","15","N","2","Christa Construction, LLC","119 Victor Heights Pkwy",,"Victor","NY","14564","USA","POINT (-77.444637 42.996293)"
"29X333","T005391","CONSTR: Repair/Replace Roofs Campus Center Southand Performing Arts Center","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2008-04-10T00:00:00.000","2010-04-30T00:00:00.000","354091.00","0.00","354091.00","0.00","16","N","0","Marfi Contracting Corp.","826 72nd St",,"Brooklyn","NY","11228","USA","POINT (-74.015946 40.62825)"
"14XA91","T005725","DESIGN: Construction Manager for School of Public Health","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2010-10-22T00:00:00.000","2021-05-30T00:00:00.000","7398718.00","141584.67","6769796.72","628921.28","20","N","1","Gilbane Building Company","88 Pine Street, 27th Flr",,"New York","NY","10005","USA","POINT (-74.00637 40.705427)"
"14X7A3","T005402","CONSTR: Job Order Contracting Program - New York City","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2008-06-02T00:00:00.000","2014-01-21T00:00:00.000","42873.00","0.00","42873.00","0.00","0","N","0","JEMCO Electrical Contractors, Inc.","271 42nd Street",,"Brooklyn","NY","11433","USA","POINT (-74.010479 40.652508)"
"09X381","T005895","CONSTR: Replace Steam Condensate Lines Phase 2","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2011-12-08T00:00:00.000","2014-08-16T00:00:00.000","1431417.00","633146.00","1431417.00","0.00","2","N","0","All State Construction, Inc.","449 Cooke Street","P. O. Box 805","Farmington","CT","6032","USA","POINT (-72.844383 41.693111)"
"01XA95","T006494","CONSTR: Former Albany HS Phase III - Exterior Renovations","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2019-04-03T00:00:00.000","2021-09-16T00:00:00.000","2533818.00","0.00","2533818.00","0.00","3","N","0","The VMJR Companies, LLC","73 Mohican Street","P. O. Box 518","Glens Falls","NY","12801","USA","POINT (-73.647478 43.304633)"
"36X098","D005312","CONSTR: Emergency Power For Computer Room, Federal Building","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2007-09-19T00:00:00.000","2010-06-30T00:00:00.000","808930.00","0.00","808930.00","0.00","7","N","3","Arcon Construction & Management Services, Inc.","8 Railroad Avenue",,"Albany","NY","12205","USA","POINT (-73.807586 42.690555)"
"36X124","T006011","CONSTR: General Infrastructure/Space rehab Plaza","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2013-02-01T00:00:00.000","2014-11-15T00:00:00.000","1165795.00","0.00","1165795.00","0.00","9","Y","3","Duncan & Cahill, Inc.","11 Oakwood Avenue",,"Troy","NY","12181","USA","POINT (-73.678987 42.741041)"
"22X817","T005853","DESIGN: Program Study - Pioneer Center","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2013-11-12T00:00:00.000","2015-12-14T00:00:00.000","40379.80","0.00","40379.80","0.00","0","N","0","Stieglitz Snyder Architecture","425 Franklin Street",,"Buffalo","NY","14202","USA","POINT (-78.873029 42.897113)"
"32X446","T005940","CONSTR: HSC Deck Rehab","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2012-03-15T00:00:00.000","2018-03-31T00:00:00.000","15917851.00","1467902.00","15917851.00","0.00","14","N","0","ZHN Contracting Corp.","30 Meadow Street",,"Brooklyn","NY","11206","USA","POINT (-73.935996 40.710793)"
"261032","T006365","DESIGN: Steam Distribution Systems Conditions Assessment","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2018-09-05T00:00:00.000","2021-07-12T00:00:00.000","290054.76","0.00","290054.76","0.00","0","N","0","Lizardos Engineering Associates P.C.","200 Old Country Road","Suite 670","Mineola","NY","11501","USA","POINT (-73.638751 40.739038)"
"35X102","D005382","CONSTR: Replace Roof -  Harder Hall, Bldg. No. 8","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2008-03-12T00:00:00.000","2009-12-14T00:00:00.000","754617.00","0.00","754617.00","0.00","1","N","0","Universal Builders General Contractors, Inc.","5 East Main Street",,"Canisteo","NY","14823","USA","POINT (-77.603543 42.269501)"
"28X422","T005439","DESIGN: Hayes Hall Building Wide Restoration","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2009-01-30T00:00:00.000","2017-03-15T00:00:00.000","3539007.79","406241.90","3539007.79","0.00","16","N","1","Bergmann Associates, Inc.","28 East Main Street","200 First Federal Plaza","Rochester","NY","14614","USA","POINT (-77.611177 43.156034)"
"31X226","T005798","CONSTR: Replace Campus Center Envelope- Bldgs 51 & 56","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2011-02-24T00:00:00.000","2016-12-31T00:00:00.000","18607958.00","2960241.00","18607958.00","0.00","18","N","0","J. Kokolakis Contracting, Inc","Suite A","1500 Ocean Avenue","Bohemia","NY","11716","USA",
"801801","T006355","DESIGN: Architectural Services - Ismael Leyva Architects - Master Term Agreement","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2017-06-30T00:00:00.000","2025-01-13T00:00:00.000","5000000.00","0.00","0.00","5000000.00","86","Y","19","Ismael Leyva Architects, P.C.","13th Floor","48 West 37th Street","New York","NY","10018","USA",
"07XA12","D005410","CONSTR: Site Utility Upgrades - Elect Var Bldgs Distribution Sysem, Ph II","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2008-06-27T00:00:00.000","2010-08-01T00:00:00.000","2373136.00","0.00","2373136.00","0.00","4","N","0","Nelcorp Electrical Contracting Corporation","35 North Kelly Avenue",,"Endwell","NY","13760","USA","POINT (-76.025266 42.109078)"
"251001","T006263","CONSTR: Replace Fire Alarms - Various Buildings","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2016-06-22T00:00:00.000","2018-01-20T00:00:00.000","223826.00","0.00","223826.00","0.00","6","N","0","Total Facility Solutions Inc.","20 Teck Trail, Suite 202",,"Malta","NY","12020","USA","POINT (-73.764155 42.964939)"
"141037","T006439","DESIGN: Renovate Cafeteria Servery and Dining Area","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2021-08-24T00:00:00.000","2027-05-04T00:00:00.000","53486.00","0.00","9882.00","43604.00","27","N","9","Guth DeConzo Consulting Engineers, P.C.","520 Eighth Avenue","Suite 2201","New York","NY","10018","USA","POINT (-73.992333 40.753761)"
"05X267","T006179","CONSTR: Renovate Surge For Exercise Science","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2015-08-21T00:00:00.000","2017-02-13T00:00:00.000","741232.00","0.00","741232.00","0.00","4","N","0","Perry Construction Group","1440 West 21st Street",,"Erie","PA","16502","USA","POINT (-80.10791 42.104428)"
"27X230","T005879","CONSTR: Student Activity Center Renovation (STUAC), Ph II","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2011-10-28T00:00:00.000","2014-05-22T00:00:00.000","9857671.00","7016530.00","9857671.00","0.00","11","N","0","Bette & Cring, LLC","18438 U.S. Route 11",,"Watertown","NY","13601","USA","POINT (-75.934329 43.933537)"
"15X412","T005161","CONSTR: University Hospital Vertical Expansion Core/Shell","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2006-06-21T00:00:00.000","2011-10-31T00:00:00.000","40919879.00","0.00","40919879.00","0.00","2","N","0","LeChase Construction Services, LLC","205 Indigo Creek Drive",,"Rochester","NY","14626","USA","POINT (-77.692163 43.184897)"
"111030","T006358","DESIGN: Repair Masonry Memorial Hall","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2019-01-25T00:00:00.000","2026-02-01T00:00:00.000","107708.16","0.00","107708.16","0.00","0","N","0","Lacey Thaler Reilly Wilson Arch &Preservation","4th Floor","79 North Pearl Street","Albany","NY","12208","USA",
"11X335","T006056","CONSTR: Site Infrastructure","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2014-02-11T00:00:00.000","2016-11-03T00:00:00.000","3737489.00","0.00","3737489.00","0.00","6","N","0","Luck Bros., Inc.","73 Trade Road",,"Plattsburgh","NY","12901","USA","POINT (-73.464684 44.717698)"
"051022","D006559","CONSTR: Replace Roofs Dods & McEwen Halls","Active","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2020-04-22T00:00:00.000","2023-07-18T00:00:00.000","2930435.00","0.00","2814460.00","115975.00","1","N","0","A. W. Farrell & Son, Inc.","3761 East Lake Road",,"Dunkirk","NY","14048","USA",
"08X7B3","T005395","CONSTR: Job Order Contracting Program - Albany","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2008-04-15T00:00:00.000","2014-09-30T00:00:00.000","194417.00","184696.00","194417.00","0.00","0","Y","0","Cutting Edge Group, LLC","14 Walkup Cutoff Road","P.O. Box 733","Lake George","NY","12845","USA","POINT (-73.648077 43.386894)"
"13XA79","T005023","CONSTR: Rehab Heavy Engineering Phase 2","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2005-06-21T00:00:00.000","2012-09-30T00:00:00.000","2510732.00","0.00","2510732.00","0.00","3","N","0","L. D. Wenger Construction Co, Inc.","770 Railroad Avenue",,"West Babylon","NY","11704","USA","POINT (-73.352081 40.692842)"
"03X387","T005709","DESIGN: Commissioning Agent, Renovate Science 15 Phase II","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2010-09-23T00:00:00.000","2022-12-15T00:00:00.000","419610.58","8252.03","419610.58","0.00","13","N","0","Horizon Engineering Associates, LLP","358 West Jefferson Street","Suite 300","Syracuse","NY","13204","USA","POINT (-76.158219 43.047105)"
"30X492","T005230","DESIGN: Rehabilitate Elevators - Various Buildings","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2007-02-23T00:00:00.000","2012-11-11T00:00:00.000","492357.59","5598.77","492357.59","0.00","5","N","0","Bergmann Associates, Inc.","28 East Main Street","200 First Federal Plaza","Rochester","NY","14614","USA","POINT (-77.611177 43.156034)"
"11X304","T005428","DESIGN: Fine Arts Ventilation Upgrades","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2009-01-27T00:00:00.000","2014-01-13T00:00:00.000","489194.13","9488.62","489194.13","0.00","11","N","2","Lewis Engineering, P.C.","Suite 201","94 New Karner Road","Albany","NY","12203","USA",
"29X397","T005787","CONSTR: University Police Department-Relocation","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2011-02-07T00:00:00.000","2013-07-02T00:00:00.000","3425705.00","407395.00","3425705.00","0.00","17","N","0","A.P. Construction","707 Summers Street",,"Stamford","CT","6901","USA","POINT (-73.540143 41.058086)"
"20X152","T005962","CONSTR: Exterior Rehab - Illick Hall","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2012-05-22T00:00:00.000","2014-11-30T00:00:00.000","8987069.00","1644886.00","8987069.00","0.00","3","N","0","Murnane Building Contractors, Inc.","6728 Myers Road",,"East Syracuse","NY","13057","USA","POINT (-76.056335 43.093042)"
"07XA47","T005632","CONSTR: JOCs - Syracuse Region","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2009-12-18T00:00:00.000","2015-12-09T00:00:00.000","930916.00","207162.00","930916.00","0.00","0","N","0","Sorensen Gross Construction Services","3407 torrey Road",,"Flint","MI","48507","USA","POINT (-83.732564 42.976697)"
"29X405","T005364","DESIGN: Rehabilitate Elevators - PH IIB","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2009-03-09T00:00:00.000","2014-07-16T00:00:00.000","81515.97","0.00","81515.97","0.00","0","N","0","Syska Hennessy Group, Inc","14th Floor","1515 Broadway","New York","NY","10038","USA",
"13XD75","T005927","CONSTR: HTHW - Phase II","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2012-02-24T00:00:00.000","2014-12-31T00:00:00.000","6099584.00","4091864.00","6099584.00","0.00","10","N","0","Ultimate Power, Inc.","45 Nancy Street",,"West Babylon","NY","11704","USA","POINT (-73.374959 40.737065)"
"12X316","T004929","DESIGN: Replace U/G Fuel Oil Tanks Heating Plant","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2008-01-02T00:00:00.000","2011-01-31T00:00:00.000","93000.00","0.00","80493.89","12506.11","0","N","0","CHA Consulting, Inc","3 Winners Circle","P.O. Box 5269","Albany","NY","12205","USA","POINT (-73.797983 42.719854)"
"31X215","T005173","DESIGN: New Academic Building","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2006-09-28T00:00:00.000","2018-03-31T00:00:00.000","4658345.52","424784.17","4658345.52","0.00","5","N","0","Kliment Halsband Architects, LLP","20th Floor","322 Eighth Avenue","New York","NY","10001","USA",
"07X486","D005219","CONSTR: Demolish 55 Washington Stree, City Of Binghamton (AVRE)","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2006-12-15T00:00:00.000","2009-06-30T00:00:00.000","385782.00","0.00","385782.00","0.00","9","N","0","Danair, Inc.","70 Snyder Drive",,"Leighton","PA","18235","USA","POINT (-75.640301 40.843571)"
"03X368","T005624","DESIGN: Commissioning - Rehab Rockwell Hall 2nd Floor","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2010-07-27T00:00:00.000","2018-10-31T00:00:00.000","77588.46","21124.58","77588.46","0.00","0","N","0","Bergmann Associates, Inc.","28 East Main Street","200 First Federal Plaza","Rochester","NY","14614","USA","POINT (-77.611177 43.156034)"
"12X265","T004926","DESIGN: Exterior Masonry Repairs - Campus Wide","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2006-01-20T00:00:00.000","2011-03-31T00:00:00.000","118513.00","0.00","118513.00","0.00","0","Y","0","Joy McCoola & Zilch Architects & Planners, PC","190 Glen Street","P.O. Box 725","Glens Falls","NY","12801","USA","POINT (-73.64477 43.309981)"
"011005","T006097","DESIGN: Renovate Sub-Basement lecture Ctr South","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2014-07-22T00:00:00.000","2023-05-21T00:00:00.000","374768.00","0.00","411745.43","-36977.43","0","N","0","Hyman Hayes Assoc., LLC","6 Wembley Court",,"Albany","NY","12205","USA","POINT (-73.844679 42.740546)"
"14X836","T006017","DESIGN: Fire Safety Equivalency Survey UHB","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2013-07-26T00:00:00.000","2014-07-26T00:00:00.000","107706.00","0.00","107706.00","0.00","0","N","0","Rolf Jensen & Associates, Professional Engrs., P.C.","Suite 1104","360 West 31st Street","New York","NY","10001","USA",
"09X407","T006084","CONSTR: Upgrade Water Lines & Metering - Various Buildings 09415","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2014-07-23T00:00:00.000","2016-03-06T00:00:00.000","918794.00","0.00","918794.00","0.00","3","Y","1","Wilkins Mechanical, Inc.","6923 Herman Road",,"Syracuse","NY","13209","USA","POINT (-76.290778 43.104591)"
"081019","T006546","CONSTR: Replace Roof - Rehabilitate 4th Floors Student Union","Active","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2020-02-26T00:00:00.000","2022-07-14T00:00:00.000","6619529.00","0.00","6607537.00","11992.00","3","N","0","Bast Hatfield Construction LLC","1399 Vischers Ferry Road",,"Clifton Park","NY","12065","USA","POINT (-73.73745 42.822924)"
"091035","T006367","DESIGN: Energy Master Plan","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2018-09-07T00:00:00.000","2025-08-24T00:00:00.000","248042.67","0.00","248042.67","0.00","0","N","0","Ramboll Americas Engineering Solutions, Inc.","333 West Washington St",,"Syracuse","NY","13202","USA","POINT (-76.155894 43.049616)"
"29X266","T004180","DESIGN: Rehab of Library for Academic Support Space and Technology","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","1999-02-25T00:00:00.000","2014-01-07T00:00:00.000","846448.83","0.00","846448.83","0.00","5","N","1","Kevin Hom Architects, P.C","16th Floor","15 West 37th Street","New York","NY","10018","USA",
"19X141","T005326","CONSTR: Waste Stream Management Facility","Closed","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2007-12-07T00:00:00.000","2012-10-15T00:00:00.000","7410421.00","204228.00","7410421.00","0.00","4","N","0","Streeter Associates,Inc.","101 E. Woodlawn Ave.","P.O. Box 118","Elmira","NY","14902","USA","POINT (-76.815711 42.110455)"
"311000","T006106","DESIGN: Replace Roofs at Campus Center","Active","Design and Construction/Maintenance","Authority Contract - Best Value","2015-07-29T00:00:00.000","2024-04-03T00:00:00.000","320000.00","0.00","305155.82","14844.18","0","N","0","Hoffmann Architects, Inc.","462 Seventh Avenue",,"New York","NY","10018","USA","POINT (-73.990002 40.751854)"
"30XB08","T006012","DESIGN: SMBS Construction Manager- School of Medicine & Biomedical Sciences","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2013-03-27T00:00:00.000","2018-11-30T00:00:00.000","11172969.61","0.00","11172969.61","0.00","17","N","0","Gilbane/LiRo A Joint Venture","16 Corporate Woods Blvd",,"Albany","NY","12211","USA","POINT (-73.764992 42.682572)"
"01XA94","D006708","CONSTR: Renovate Lecture Center","Active","Design and Construction/Maintenance","Authority Contract - Competitive Bid","2022-01-26T00:00:00.000","2024-08-15T00:00:00.000","5937580.00","0.00","382810.00","5554770.00","1","N","0","AOW Associates, Inc.","21 Essex Street",,"Albany","NY","12206","USA","POINT (-73.77855 42.676983)"
"24X287","T005612","DESIGN: Wheeler Hall Interior Renovation - Commissioning","Closed","Design and Construction/Maintenance","Authority Contract - Best Value","2011-02-14T00:00:00.000","2017-04-13T00:00:00.000","49241.19","36299.50","49241.19","0.00","0","N","0","Genesys Engineering, P.C.","38 Maiden Lane",,"Kingston","NY","12401","USA","POINT (-74.014516 41.931949)"
