"facility_name","registration_number","county","street_address","city","state","zip_code","contact_name","phone_number","extension","website","georeference"
"Legal Shred","01219","Dutchess","28 Bill Horton Way","Wappinger Falls","NY","12590","Sean Fredricks","844-747-3300",,"https://legalshred.com/","POINT (-73.889169 41.619836)"
"PCR Metals, Inc.","01202","Nassau","18 Fox Hunt Lane","Great Neck","NY","11020","Peter Ross","516-238-0344",,,"POINT (-73.717146 40.769975)"
"E-Solutions USA, LLC","00249","Suffolk","200 Engineers Road, Suite 1","Hauppauge","NY","11788","Nicholas Gerbino","631-234-7362",,"http://www.esolutionsusa.com","POINT (-73.242781 40.813736)"
"Maven Technologies, LLC","00123","Monroe","1450 Lyell Avenue","Rochester","NY","14606","Tim Marino","585-458-2460","225","http://www.maventech.com","POINT (-77.661584 43.164661)"
"Cattaraugus Creek Retrieval","01302","Cattaraugus","12249 Old Olean Road","Yorkshire","NY","14173","Joseph Renaldo","716-697-0662",,"https://cretrieval.com/","POINT (-78.472898 42.531656)"
"Ecotech Management, Inc.","00932","Suffolk","935 Lincoln Avenue","Holbrook","NY","11741","Sebastian Passarello","631-750-2520",,"http://ecotechmanagement.com/","POINT (-73.083545 40.774945)"
"REACT E-Cycling Inc.","00175","Chemung","225 Colonial Drive","Horseheads","NY","14845","Joe G. Woods","607-739-8401",,"http://www.react-e-cycling.com","POINT (-76.872388 42.163573)"
"All Environmental Compliance","01255","Suffolk","78 Lamar Street","West Babylon","NY","11704","Patrick Enochs","516-541-8290",,,"POINT (-73.378487 40.737421)"
"Maryhaven Center of Hope","00777","Suffolk","445 County Road 101","Yaphank","NY","11980","John Mahoney","631-924-5900",,"https://www.chsli.org/maryhaven-center-hope","POINT (-72.94968 40.815167)"
"MG Recycling Ltd","01227","Kings","133 29th Street","Brooklyn","NY","11232","Guo P. Chen","347-217-8133",,,"POINT (-74.001628 40.659022)"
"The 4th Bin, Inc.","00023","Kings","67 35th Street, Bldg #5, 2nd Floor, Space C238","Brooklyn","NY","11232","Thomas Clancy","646-747-5987",,"http://www.4thbin.com","POINT (-74.006922 40.656747)"
"Electronic Waste Recycling, Inc.","01065","Suffolk","1648 Locust Avenue, Suite H","Bohemia","NY","11716","Michael Marro","631-256-6610",,"https://www.ewastenomore.com/","POINT (-73.117615 40.785033)"
"Evolution Recycling Inc.","01008","Fulton","20 Crescendoe Road","Johnstown","NY","12095","Gary Bishop","518-774-3227",,,"POINT (-74.368087 43.012258)"
"Sunnking, Utica","01268","Oneida","272 Oriskany Boulevard","Whitesboro","NY","13492","Michelle Read","585-637-8365",,"http://www.sunnking.com","POINT (-75.300221 43.128909)"
"King Metal Corporation of New York","00734","Nassau","70 New Street","Oceanside","NY","11570","Charles Levine","516-536-5464",,"http://www.kashformetal.com/","POINT (-73.659147 40.636353)"
"Crestwood Metal Corporation","00146","Suffolk","1100 Lincoln Avenue","Holbrook","NY","11741","Sebastian Passarello","631-567-2727",,"https://www.crestwoodmetal.com/","POINT (-73.083522 40.77468)"
"West Parishville Metals","00873","St. Lawrence","495 West Parishville Rd","Potsdam","NY","13676","Romie Clothier","315-261-4075",,,"POINT (-74.953199 44.623329)"
"Bomet Recovery LLC","01096","Orleans","152 Mc Kinstry Street","Albion","NY","14411","Carrie Dunn","585-283-4135",,,"POINT (-78.18634 43.242565)"
"Prince Metal","00034","Queens","37-90 Railroad Avenue","New York","NY","11101","Rick Hwang","347-541-6899",,"http://www.PrinceMetal.com",
"Area Recycling, LLC","01282","Erie","817 Sycamore Street","Buffalo","NY","14212","Al Conte","716-512-5518",,"http://arearecyclingllc.com/","POINT (-78.84086 42.897134)"
"National Computer Liquidators Inc.","00245","Suffolk","110 Bi County Boulevard. Suite 106","Farmingdale","NY","11735","Richard Sommers","516-681-3550",,"http://www.itamg.com","POINT (-73.427923 40.726577)"
"Total Computer Supplies and Accessories, Inc.","00357","Clinton","7164 U.S. 9","Plattsburgh","NY","12901","Jay Letts","518-561-6885",,,"POINT (-73.43448 44.727975)"
"Elemet, Inc.","01213","Columbia","1 Industrial Tract","Hudson","NY","12534","Alex Delia","518-828-4136","5","https://www.elemet.net/","POINT (-73.76137 42.24739)"
"E-Green Recycling Management, LLC","00926","Suffolk","140 Corporate Drive","Holtsville","NY","11742","Bill Rouse","631-732-6403",,"http://www.egreenrecyclingmanagement.com","POINT (-73.038301 40.80954)"
"Liquid Technology","00618","Kings","140 58th Street, Suite 8C","Brooklyn","NY","11220","Stephen Sidwell","646-230-8632",,"http://liquidtechnology.net","POINT (-74.023682 40.645819)"
"Computer System Asset Disposal, LLC","00769","Monroe","37 Industrial Parck Circle","Rochester","NY","14624","John Buck","585-235-2274",,"https://www.theelectronicsrecyclers.com/","POINT (-77.740075 43.129981)"
"Sunnking, Inc.","00002","Monroe","4 Owens Road","Brockport","NY","14420","Michelle Read","585-637-8365",,"http://www.sunnking.com","POINT (-77.922421 43.211395)"
"ProTek Recycling, Inc.","00838","Albany","2550 9th Avenue","Watervliet","NY","12189","Christopher Fuller","518-874-1001",,"http://www.protekrecycling.com","POINT (-73.707872 42.737423)"
"Green Chip, Inc.","00743","Kings","540 Kingsland Avenue","Brooklyn","NY","11222","William Monteleone","718-349-3094",,"http://www.greenchiprecycling.com","POINT (-73.944753 40.734571)"
"EWASTE+","00138","Ontario","7318 Victor-Mendon Road","Victor","NY","14564","Mike Whyte","585-924-3840",,"http://www.ewaste.com","POINT (-77.433037 42.994987)"
"Buffalo Computer Recycling, LLC","00927","Erie","1430 Clinton Street, Suite 92, Niagara Frontier Food Terminal","Buffalo","NY","14206","Steve Chumsky","716-545-6369",,"https://buffalocomputerrecycling.com/","POINT (-78.821916 42.872779)"
"Northstar Auto and Salvage, LLC","01270","Jefferson","28722 NY Route 37","Evans Mills","NY","13637","Samantha Eves","315-629-4824",,,"POINT (-75.875573 44.084006)"
"Li-Cycle Inc.","01299","Monroe","1669 Lake Avenue, Building 350","Rochester","NY","14615","Ajani Alleyne","647-503-0700",,"http://www.li-cycle.com","POINT (-77.628096 43.19745)"
"eLot Electronics Recycling","00030","Albany","64 Hannay Lane","Glenmont","NY","12077","Morris Freedman","518-266-9385",,"http://www.elotrecycling.com","POINT (-73.785515 42.623834)"
"Arrow Scrap Corporation","01053","Suffolk","1120 Lincoln Avenue","Holbrook","NY","11741","Don Galindo","631-319-1910",,"https://www.arrowscrap.com/","POINT (-73.083659 40.77623)"
"The Shore Foundation","01215","Monroe","30 West Broad Street, Suite 204","Rochester","NY","14614","Joshua Geise","585-512-8773",,"https://www.theshorefoundation.com/","POINT (-77.61318 43.154293)"
"Edward Arnold Scrap Processors Inc.","00362","Genesee","2216 Angling Road","Corfu","NY","14036","Brant Arnold","585-762-9080",,"https://edarnoldscrap.com","POINT (-78.337622 42.979677)"
