"violation_description","violation_year","age_at_violation","gender","source"
"FLD YLD RT-OF-WAY/LFT TRN AT RED SIGNAL","2018","16","F","1"
"FOLLOWING TOO CLOSELY","2018","16","F","66"
"FRONT SEAT PASS AGE 8-15 NO/IMPROPR SEATBELT","2018","16","F","2"
"FRONT WINDSHIELD NON/TRANSPARENT","2018","16","F","1"
"IMPROPER LEFT TURN ON TWO-WAY RDWY","2018","16","F","2"
"IMPROPER OR UNSAFE TURN/WITHOUT SIGNAL","2018","16","F","13"
"IMPROPER PASSING ON RIGHT","2018","16","F","2"
"IMPROPER RIGHT TURN","2018","16","F","1"
"IMPROPER SIGNAL","2018","16","F","15"
"IMPROPER U-TURN AT GRADE/CURVE","2018","16","F","1"
"IMPROPER WIPERS","2018","16","F","2"
"INADEQUATE OR NO STOP LAMP OR LAMPS","2018","16","F","1"
"INADEQUATE OR NO STOP LAMPS","2018","16","F","31"
"INADEQUATE STEERING/BRAKES/HORN","2018","16","F","1"
"INSUFF TURN SIGNAL-LESS THAN 100 FEET","2018","16","F","3"
"JR SPEED IN ZONE","2018","16","F","2"
"JR SPEED PAST SCHOOL","2018","16","F","1"
"JUNIOR SPEED OVER 55 ZONE","2018","16","F","2"
"LEAVING/SCENE INJURY/CERTAIN ANIMAL","2018","16","F","1"
"LEAVING/SCENE PERSONAL INJURY ACCIDENT","2018","16","F","1"
"LEAVING/SCENE PROPERTY DAMAGE ACCIDENT","2018","16","F","35"
"MOTOR CARRIER ALLOW/REQUIRE DRIVER TO USE PORTABLE ELECTR DEVICE WHILE OPER CMV","2018","16","F","1"
"MOVED FROM LANE UNSAFELY/WEAVING","2018","16","F","44"
"NO BELT PASS TAXI16>","2018","16","F","1"
"NO HEADLAMPS/INCLEMENT WEATHER","2018","16","F","7"
"NO HELMET ATV","2018","16","F","1"
"NO/IMPROPERLY AFFIXED REG STICKER","2018","16","F","1"
"NO/INADEQUATE DIRECTIONAL SIGNALS","2018","16","F","1"
"NO/INADEQUATE HEADLAMPS","2018","16","F","80"
"NO/INADEQUATE MUFFLER/EXHAUST SYSTEM","2018","16","F","10"
"NO/INADEQUATE PLATE LAMPS","2018","16","F","23"
"NO/INSUFFICIENT TAIL LAMPS","2018","16","F","24"
"NO LAP/SHOULDER HARNESS OR DJ VIO","2018","16","F","9"
"NO MIRROR/NO LEFTSIDE VIEW MIRROR","2018","16","F","1"
"NO OPERABLE HEADLAMP OR LAMPS","2018","16","F","1"
"NO SEAT BELT ADULT","2018","16","F","34"
"NO SEAT BELT PASS-VEH OPER BY DJ","2018","16","F","2"
"NO STOPPING/STANDING/PARKING ON HIGHWAY","2018","16","F","5"
"NYC REDLIGHT","2018","16","F","1"
"OBSTRUCTING INTERSECTION","2018","16","F","2"
"OPERATING IN VIOLATION OF RESTRICTIONS","2018","16","F","46"
"OPERATING MV MOBILE PHONE","2018","16","F","16"
"OPERATING OUT OF CLASS","2018","16","F","82"
"OPERATING REGISTRATION SUSP/REVOKED","2018","16","F","13"
"OPERATING W/O INSURANCE","2018","16","F","32"
"OPERATOR HAS MORE THAN 2 PASS UNDER 21/DJ/MJ/LIC","2018","16","F","7"
"OPER HAS MORE THAN 2 PASS UNDER 21/DJ/MJ/PERMIT","2018","16","F","8"
"OPER IN VIOLATION OF COND LICENSE","2018","16","F","1"
"OPER MV WHILE USING PORTABLE ELEC DEV","2018","16","F","18"
"OPER NON-SUPV FRONT SEAT OCCUPNT-DJ/MJ/PERMIT","2018","16","F","17"
"PASSED RED SIGNAL","2018","16","F","34"
"PASSED VEHICLE ON RIGHT","2018","16","F","2"
"PEDESTRIAN FAILED TO USE SIDEWALK","2018","16","F","1"
"PEDESTRIAN STARTED ON STEADY/DO NOT WALK/SIGNAL","2018","16","F","1"
"PERMITTING UNLICENSED OPERATION","2018","16","F","2"
"PLATE MISSING/INSECURE/DIRTY","2018","16","F","23"
"POSS/USE OF FORGED/ILLEGALLY OBTAINED LICENSE","2018","16","F","1"
"REAR SIDE WINDOWS NON/TRANSPARENT","2018","16","F","5"
"RECKLESS DRIVING","2018","16","F","4"
"SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT","2018","16","F","18"
"SPD-UNPSTD 1-10 NYC","2018","16","F","1"
"SPD-UNPSTD 11-30 NYC","2018","16","F","1"
"SPEEDING IN POSTED WORK ZONE","2018","16","F","3"
"SPEEDING IN SCHOOL ZONE","2018","16","F","12"
"SPEED IN ZONE","2018","16","F","235"
"SPEED IN ZONE 11-30","2018","16","F","3"
"SPEED IN ZONE 31+","2018","16","F","1"
"SPEED NOT REASONABLE AND PRUDENT","2018","16","F","30"
"SPEED OVER 55 ZONE","2018","16","F","93"
"SPEED-PSTD 1-10 NYC","2018","16","F","1"
"THREW/DEPOSITED REFUSE/ETC HGWY","2018","16","F","1"
"UNAUTHORIZED LIGHTS/IMPROPER COLOR","2018","16","F","1"
"UNAUTHORIZED USE OF RESTRICTED VEH ON PKWY-TRAILER","2018","16","F","1"
"UNINSPECTED MOTOR VEHICLE","2018","16","F","61"
"UNLAWFUL SPEEDOMETER","2018","16","F","2"
"UNLICENSED GT 60DAYS","2018","16","F","9"
"UNLICENSED OPERATOR","2018","16","F","205"
"UNLIC JR OP > 60 DAY","2018","16","F","2"
"UNLIC OPER CL 6 INF","2018","16","F","1"
"UNREASONABLE SPEED/SPECIAL HAZARDS","2018","16","F","6"
"UNREGISTERED ATV","2018","16","F","1"
"UNREGISTERED MOTOR VEHICLE","2018","16","F","27"
"UNREG VEH > 60 DAYS","2018","16","F","1"
"UNSAFE STARTING","2018","16","F","2"
"UNSAFE TIRE","2018","16","F","1"
"USING LICENSE OF ANOTHER","2018","16","F","2"
"VIOLATION OF RESTRICTED LICENSE","2018","16","F","1"
"VISIBILITY DISTORTED BROKEN/DISCOLORED GLASS","2018","16","F","4"
"AGG DWAI IMPAIRED COMB DRUGS - DRUGS/ALCOHOL","2018","16","M","1"
"AGGRAVATED UNLIC OPER 3 PLUS SUSPENSION","2018","16","M","1"
"AGGRAVATED UNLIC OPER 3RD MISD","2018","16","M","11"
"ALLOWING USE OF LICENSE BY ANOTHER","2018","16","M","2"
"AVOIDING TRAF DEVICE OR INTERSECTION","2018","16","M","5"
"BACKING UNSAFELY","2018","16","M","32"
"BACK SEAT PASS AGE 4-7 NO/IMPROPER RESTRAINT","2018","16","M","4"
"BACK SEAT PASS AGE 8-15 NO/IMPROPR SEAT BELT","2018","16","M","7"
"BACK SEAT PASS LESS THAN 4 NO/IMP RESTRAINT","2018","16","M","3"
"BIKE/SKATE SDWLK NYC","2018","16","M","8"
"BIKING OFF LANE NYC","2018","16","M","3"
"CONSUMPTION/ALCOHOL IN MOTOR VEHICLE","2018","16","M","6"
"DANGEROUS DRIVING","2018","16","M","1"
"DAZZLING HEADLAMPS","2018","16","M","3"
"DECREASED SPEED OR STOPPED W/OUT SIGNALING","2018","16","M","1"
"DIS COLORD ARROW NYC","2018","16","M","1"
"DISOBEYED TRAFFIC DEVICE","2018","16","M","158"
"DISOBEYED TRAFFIC DEVICE - HOV LANE","2018","16","M","3"
"DISOB TRAFFIC DEVICE BICYCLE","2018","16","M","11"
"DRIVER SCHL-FAIL TO KEEP REQUIRED RECORDS","2018","16","M","1"
"DRIVERS VIEW OBSTRUCTED","2018","16","M","63"
"DRIVING IN CENTER LANE","2018","16","M","1"
"DRIVING/LEFT ON CREST GRADE/CURVE","2018","16","M","1"
"DRIVING ON SHOULDER/LIMITED ACCESS HGWY","2018","16","M","6"
"DRIVING ON SIDEWALK","2018","16","M","4"
"DRIVING OVER DIVIDING SPACE","2018","16","M","1"
"DRIVING TO LEFT OF PAVEMENT MARKINGS","2018","16","M","11"
"DRIVING TOO SLOW","2018","16","M","2"
"DRIVING TOO SLOW IN ZONE","2018","16","M","1"
"DRIVING W/.08 OF 1 PERCENT OF ALCO/BLD","2018","16","M","3"
"DRIVING W/ABILITY IMPAIRED/ALCOHOL","2018","16","M","1"
"DRIVING W/ABILITY IMPAIRED BY DRUGS","2018","16","M","10"
"DRIVING WHILE INTOXICATED","2018","16","M","7"
"DRIVING/WRONG DIRECTION ON ONE-WAY STREET","2018","16","M","8"
"DROVE ACROSS HAZARD MARKING","2018","16","M","13"
"DROVE LEFT AROUND CIRCULAR INTERSECTION","2018","16","M","2"
"DROVE THRU/AROUND/UNDER RR BARRIER","2018","16","M","1"
"DROVE WRONG DIRECTION BICYCLE","2018","16","M","7"
"DWI ATV-ALCOHOL/NARCOTICS/DRUGS","2018","16","M","1"
"ENTERING EXIT RAMP OF A CONT ACCESS HGWY","2018","16","M","1"
"EQUIPMENT VIOLATION/INADEQUATE BRAKES","2018","16","M","2"
"EVASION/NONPAYMENT OF THRUWAY TOLL","2018","16","M","1"
"EVASION OF TOLL-TBTA","2018","16","M","2"
"EXC COMB WT GE 18000","2018","16","M","1"
"EXCESS WGHT GE 18000","2018","16","M","2"
"EXCESS WGHT LT 18000","2018","16","M","3"
"FAIL COMPLY WITH ORDER ATV","2018","16","M","5"
"FAILED TO CHANGE ADDRESS/REG","2018","16","M","2"
"FAILED TO COMPLY W/LAWFUL ORDER","2018","16","M","21"
"FAILED TO COVER LOOSE CARGO","2018","16","M","4"
"FAILED TO DIM HEADLAMPS","2018","16","M","24"
"FAILED TO GIVE RT-OF-WAY","2018","16","M","1"
"FAILED TO KEEP RIGHT","2018","16","M","56"
"FAILED TO KEEP RIGHT/SLOW MOVE VEH","2018","16","M","3"
"FAILED TO PRODUCE INSURANCE CARD","2018","16","M","1"
"FAILED TO SIGNAL AS REQUIRED","2018","16","M","1"
"FAILED TO STOP AT RR CROSSING","2018","16","M","1"
"FAILED TO TURN AS REQUIRED","2018","16","M","3"
"FAILED TO USE DESIGNATED LANE","2018","16","M","28"
"FAILED TO USE/IMPROPER USE 4-WAY FLASHERS","2018","16","M","4"
"FAILED TO YLD RT-OF-WAY-GRN LITE","2018","16","M","6"
"FAIL PRODUCE INSURANCE/INJURED ATV","2018","16","M","3"
"FAILURE TO DISPLAY PLATES ATV","2018","16","M","5"
"FAILURE TO KEEP RIGHT-BICYCLE","2018","16","M","5"
"FAILURE TO STOP WHEN ENTERING ROAD/BICYCLE","2018","16","M","1"
"FAIL/YIELD RIGHT-OF-WAY TO EMERGENCY VEH - ATV","2018","16","M","4"
"FALSIFYING TEMP INDICIA OF REG","2018","16","M","1"
"FLD/DISPLAY NUM PLATES","2018","16","M","3"
"FLD DUE CARE FOR EMERG VEH STOPPED OR STANDING","2018","16","M","5"
"FLD/NOTIFY DMV CHANGE OF ADDRESS","2018","16","M","11"
"FLD PRESENT DOC -NYC","2018","16","M","2"
"FLD/SURRENDER SUSP/REVOKED/LIC OR REG","2018","16","M","2"
"FLD/SURR/LIC/REG PLATES/REV-ART 7","2018","16","M","5"
"FLD TO STOP AT STOP SIGN","2018","16","M","219"
"FLD TO STOP AT YIELD SIGN WHEN REQUIRED","2018","16","M","2"
"FLD TO STOP FROM ALLEY/DRVWY/PRIVATE RD AS REQ","2018","16","M","3"
"FLD TO STOP ON A STEADY RED ARROW","2018","16","M","2"
"FLD TO STOP SCHOOL BUS","2018","16","M","14"
"FLD TO YLD RT-OF-WAY AT INTERSECTION","2018","16","M","23"
"FLD TO YLD RT-OF-WAY AT STOP SIGN","2018","16","M","23"
"FLD TO YLD RT-OF-WAY AT TRAFFIC CIRCLE","2018","16","M","4"
"FLD TO YLD RT-OF-WAY ON LEFT TURN","2018","16","M","33"
"FLD TO YLD RT-OF-WAY TO EMERGENCY VEHICLE","2018","16","M","15"
"FLD TO YLD RT-OF-WAY TO PEDESTRIAN IN CROSSWALK","2018","16","M","3"
"FLD TO YLD RT-OF-WAY TO PEDESTRIAN ON SIDEWALK","2018","16","M","1"
"FLD TO YLD RT-OF-WAY TO VEH ON RIGHT","2018","16","M","1"
"FLD TO YLD RT-OF-WAY WHEN ENTERING ROADWAY","2018","16","M","13"
"FLD YIELD PEDEST NYC","2018","16","M","5"
"FLD YLD RT-OF-WAY/LFT TRN AT RED SIGNAL","2018","16","M","1"
"FLD YLD RT-OF-WAY/RT TRN AT RED SIGNAL","2018","16","M","2"
"FLD YL PED RD LT-NYC","2018","16","M","1"
"FOLLOWING TOO CLOSELY","2018","16","M","95"
"FORGED/MUTILATED INSPECTION CERT","2018","16","M","3"
"FRONT SEAT PASS AGE 8-15 NO/IMPROPR SEATBELT","2018","16","M","3"
"FRONT WINDSHIELD NON/TRANSPARENT","2018","16","M","6"
"HANDICAPPED PARKING","2018","16","M","1"
"HANDS NOT ON HANDLEBARS- MCY","2018","16","M","1"
"HOLDING MORE THAN 1 VALID NYS LICENSE","2018","16","M","1"
"ILLEGALLY CLOSE INTERIOR OF MOTOR VEH FROM VIEW","2018","16","M","1"
"IMPROP CLS/END DL","2018","16","M","1"
"IMPROPER HAND SIGNAL","2018","16","M","1"
"IMPROPER LEFT TURN ON ONE-WAY RDWY","2018","16","M","1"
"IMPROPER LEFT TURN ON TWO-WAY RDWY","2018","16","M","6"
"IMPROPER/NO LIGHTS ATV","2018","16","M","5"
"IMPROPER OPERATION OF BICYCLE","2018","16","M","1"
"IMPROPER OR UNSAFE TURN/WITHOUT SIGNAL","2018","16","M","27"
"IMPROPER PASSING ON RIGHT","2018","16","M","14"
"IMPROPER PLATES","2018","16","M","34"
"IMPROPER RIGHT TURN","2018","16","M","7"
"IMPROPER SIGNAL","2018","16","M","98"
"IMPROPER TURN","2018","16","M","4"
"IMPROPER U-TURN","2018","16","M","4"
"IMPROPER WIPERS","2018","16","M","15"
"IMPROPR REGIS/CLASS","2018","16","M","4"
"IMP USE BUS LANE NYC","2018","16","M","1"
"INAD/ALTRD/NO MODIFIED EXHST SYS MCY","2018","16","M","2"
"INADEQ/NO TRAFFIC HAZ WARNING LIGHTS","2018","16","M","1"
"INADEQUATE BRAKES-MOTORCYCLE","2018","16","M","2"
"INADEQUATE MUFFLER ATV","2018","16","M","2"
"INADEQUATE/NO REAR REFLECTOR- MOTORCYCLE","2018","16","M","1"
"INADEQUATE OR NO STOP LAMP OR LAMPS","2018","16","M","10"
"INADEQUATE OR NO STOP LAMPS","2018","16","M","92"
"INADEQUATE STEERING/BRAKES/HORN","2018","16","M","1"
"INSUFF HEADLIGHTS","2018","16","M","4"
"INSUFF TURN SIGNAL-LESS THAN 100 FEET","2018","16","M","22"
"INTERFERED W/ SAFE OPERATION","2018","16","M","2"
"JR SPEED IN ZONE","2018","16","M","10"
"JUNIOR SPEED OVER 55 ZONE","2018","16","M","5"
"LEAVING/SCENE PERSONAL INJURY ACCIDENT","2018","16","M","6"
"LEAVING/SCENE PROPERTY DAMAGE ACCIDENT","2018","16","M","66"
"LIGHTING/REFLECTOR VIOLATION","2018","16","M","1"
"LTD USE VEH DRIVEN IN UNAUTH AREA","2018","16","M","1"
"MISUSE OF DEALER/TRANSPORTER PLATES","2018","16","M","1"
"MOTOR VEH PARKED/STANDING OUTSIDE DESIGNATED AREA","2018","16","M","1"
"MOTR CARRIER OPER VEH IN VIOLATION OF SAFETY RULES","2018","16","M","4"
"MOVED FROM LANE UNSAFELY/WEAVING","2018","16","M","129"
"NO BELL OR SIGNAL DEVICE ON BICYCLE","2018","16","M","11"
"NO CHILD BICYCLE HELMET","2018","16","M","2"
"NO HEADLAMPS/INCLEMENT WEATHER","2018","16","M","26"
"NO HELMET ATV","2018","16","M","13"
"NO HORN/INSUFF LIGHTS MTCY","2018","16","M","1"
"NO/ILLEGAL FRONT WINDSHIELD","2018","16","M","6"
"NO/IMPROPERLY AFFIXED REG STICKER","2018","16","M","7"
"NO/INADEQUATE BRAKES-BICYCLE","2018","16","M","2"
"NO/INADEQUATE DIRECTIONAL SIGNALS","2018","16","M","12"
"NO/INADEQUATE HEADLAMPS","2018","16","M","132"
"NO/INADEQUATE LIGHTS-BICYCLE","2018","16","M","13"
"NO/INADEQUATE MUFFLER/EXHAUST SYSTEM","2018","16","M","94"
"NO/INADEQUATE PLATE LAMPS","2018","16","M","74"
"NO/INSUFFICIENT TAIL LAMPS","2018","16","M","54"
"NO LAP/SHOULDER HARNESS OR DJ VIO","2018","16","M","22"
"NO MIRROR/NO LEFTSIDE VIEW MIRROR","2018","16","M","4"
"NO MOTORCYCLE PLATE","2018","16","M","4"
"NO REARVIEW  MIRROR MCY","2018","16","M","3"
"NO REFLECTOR WHEEL/BICYCLE","2018","16","M","2"
"NO SAFETY-BELT REAR SEAT PASS-1967","2018","16","M","1"
"NO SEAT BELT ADULT","2018","16","M","113"
"NO SEAT BELT PASS-VEH OPER BY DJ","2018","16","M","14"
"NO STOPPING/STANDING/PARKING ON HIGHWAY","2018","16","M","14"
"NOT SEATED PROPERLY-MOTORCYCLE","2018","16","M","1"
"NYC BIKE/SKATE RDLGT","2018","16","M","36"
"NYC REDLIGHT","2018","16","M","26"
"OBST INTERSEC/CRSWLK","2018","16","M","1"
"OBSTRCT TRAFF LN NYC","2018","16","M","1"
"OBSTRUCTING INTERSECTION","2018","16","M","1"
"ON PRIVATE PROPERTY W/OUT CONSENT ATV","2018","16","M","5"
"OPER 100 FEET DWELLING ATV","2018","16","M","1"
"OPER AMPLIFICATION SYSTEM IN EXCESS 0F 70DB","2018","16","M","2"
"OPERATE/PERMITTING UNINSURED OPERATION ATV","2018","16","M","13"
"OPERATING AFTER CONSUMING ALCOHOL UNDER 21","2018","16","M","1"
"OPERATING IN VIOLATION OF RESTRICTIONS","2018","16","M","163"
"OPERATING MV MOBILE PHONE","2018","16","M","38"
"OPERATING OUT OF CLASS","2018","16","M","224"
"OPERATING REGISTRATION SUSP/REVOKED","2018","16","M","32"
"OPERATING W/NO OR IMPROPER FRONT/REAR BUMPER","2018","16","M","1"
"OPERATING W/O INSURANCE","2018","16","M","138"
"OPERATOR HAS MORE THAN 2 PASS UNDER 21/DJ/MJ/LIC","2018","16","M","16"
"OPER HAS MORE THAN 2 PASS UNDER 21/DJ/MJ/PERMIT","2018","16","M","29"
"OPER HAS PASS W/NO SEATBLT/CHILD REST-DJ/MJ/LIC","2018","16","M","3"
"OPER MV/MC/BIC W/MORE 1 EARPHONE","2018","16","M","2"
"OPER MV WHILE USING PORTABLE ELEC DEV","2018","16","M","47"
"OPER NON-SUPV FRONT SEAT OCCUPNT-DJ/MJ/PERMIT","2018","16","M","46"
"OPER/PERMIT OPER/LIC/REG REV-ART 7","2018","16","M","2"
"OPER VEH W/O REG / SUSPENDED OR REVOKED DECAL","2018","16","M","1"
"OPER W/PASS NO SEATBLT/CHILD REST-DJ/MJ/PERM","2018","16","M","1"
"OVERLOADED VEHICLE 3 OR MORE AXLES","2018","16","M","9"
"OVERLOAD ON CONSECUTIVE AXLES","2018","16","M","6"
"OVERLOAD ON TIRES","2018","16","M","1"
"OVERSIZ/WT VEHS-TBTA","2018","16","M","5"
"OVERWEIGHT ON REG COMBINATION","2018","16","M","1"
"OVERWIDTH VEH NYC","2018","16","M","1"
"OVRLGTH SING VEH NYC","2018","16","M","2"
"OVWGT 3/MORE AXL NYC","2018","16","M","7"
"OVWGT CONSEC AXL NYC","2018","16","M","2"
"PASSED FLASHING RED LIGHT","2018","16","M","1"
"PASSED RED SIGNAL","2018","16","M","61"
"PASSED VEHICLE ON RIGHT","2018","16","M","4"
"PEDESTRIAN FAILED TO USE SIDEWALK","2018","16","M","8"
"PEDESTRIAN FAILED TO WALK FACING TRAFFIC","2018","16","M","3"
"PED FLD TO YLD RT-OF-WAY OTHER THAN CROSSWLK","2018","16","M","4"
"PED ON STATE EXPRESSWAY","2018","16","M","2"
"PERMITTING CLINGING TO MOTOR VEHICLE","2018","16","M","1"
"PERMITTING IMPROPER USE/DEAL PLATES","2018","16","M","1"
"PERMITTING OPERATION W/O INSURANCE","2018","16","M","4"
"PERMITTING UNLICENSED OPERATION","2018","16","M","6"
"PERMITTING USE OF IMPROPER PLATES","2018","16","M","1"
"PLATE MISSING/INSECURE/DIRTY","2018","16","M","94"
"POSS/USE OF FORGED/ILLEGALLY OBTAINED LICENSE","2018","16","M","2"
"REAR SIDE WINDOWS NON/TRANSPARENT","2018","16","M","31"
"REAR WINDOW REFLECTIVE","2018","16","M","6"
"RECKLESS DRIVING","2018","16","M","37"
"RECKLESS DRIVING ATV","2018","16","M","7"
"RIDE/NO PERMANENT SEAT ATV","2018","16","M","1"
"RIDER/SKATER CLINGING TO MOVING MOTOR VEHICLE","2018","16","M","2"
"RULES ROAD VIO BICY","2018","16","M","8"
"SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT","2018","16","M","77"
"SPD-UNPOSTED 31+ NYC","2018","16","M","1"
"SPD-UNPSTD 11-30 NYC","2018","16","M","3"
"SPEEDING IN POSTED WORK ZONE","2018","16","M","3"
"SPEEDING IN SCHOOL ZONE","2018","16","M","12"
"SPEED IN ZONE","2018","16","M","547"
"SPEED IN ZONE 1-10","2018","16","M","1"
"SPEED IN ZONE 11-30","2018","16","M","46"
"SPEED IN ZONE 31+","2018","16","M","18"
"SPEED NOT REASONABLE AND PRUDENT","2018","16","M","129"
"SPEED NOT REASONABLE AND PRUDENT ATV","2018","16","M","4"
"SPEED OVER 55 ZONE","2018","16","M","234"
"SPEED-PSTD 1-10 NYC","2018","16","M","1"
"SPEED-PSTD 11-30 NYC","2018","16","M","1"
"THREW/DEPOSITED REFUSE/ETC HGWY","2018","16","M","3"
"TOO MANY RIDERS - BICYCLE","2018","16","M","1"
"UNAPPROVED INTERIOR MIRROR","2018","16","M","1"
"UNAPPROVED LAMP","2018","16","M","2"
"UNAPPROVED/NO FACE SHIELD/GOGGLES- MCY","2018","16","M","2"
"UNAPPROVED/NO PROTECTIVE HELMET MCY","2018","16","M","16"
"UNATTENDED VEHICLE","2018","16","M","1"
"UNAUTHORIZED SPEED CONTEST","2018","16","M","1"
"UNAUTHORIZED USE OF NON-PASSENGER VEH- REGION 9","2018","16","M","1"
"UNAUTHORIZED USE OF RESTRICTED VEH ON PKWY-TRAILER","2018","16","M","1"
"UNAUTH STICKER/HANDBILL ON WINDSHIELD/REAR WNDW","2018","16","M","1"
"UNINSPECTED MOTOR VEHICLE","2018","16","M","211"
"UNINSURED ATV","2018","16","M","9"
"UNLAWFUL OPER ON HIGHWAY ATV","2018","16","M","29"
"UNLAWFUL SPEEDOMETER","2018","16","M","7"
"UNLICENSED GT 60DAYS","2018","16","M","75"
"UNLICENSED OPERATOR","2018","16","M","705"
"UNLIC JR OP > 60 DAY","2018","16","M","4"
"UNLIC OPER CL 6 INF","2018","16","M","16"
"UNLIC OP MC >60 DAYS","2018","16","M","2"
"UNNECESSARY SMOKE","2018","16","M","3"
"UNREASONABLE SPEED/SPECIAL HAZARDS","2018","16","M","14"
"UNREGISTERED ATV","2018","16","M","36"
"UNREGISTERED BOAT","2018","16","M","2"
"UNREGISTERED LIMITED USE VEHICLE","2018","16","M","2"
"UNREGISTERED MOTORCYCLE","2018","16","M","11"
"UNREGISTERED MOTOR VEHICLE","2018","16","M","112"
"UNREGISTERED TRAILER","2018","16","M","2"
"UNREG MCY GT 60 DAYS","2018","16","M","6"
"UNREG SNOWMMOBILE","2018","16","M","2"
"UNREG VEH > 60 DAYS","2018","16","M","16"
"UNSAFE STARTING","2018","16","M","14"
"UNSAFE TIRE","2018","16","M","22"
"UNSAFE TIRES ATV","2018","16","M","1"
"USING LICENSE OF ANOTHER","2018","16","M","1"
"VIO GRAD LIC REST","2018","16","M","4"
"VIOLATION OF RESTRICTED LICENSE","2018","16","M","5"
"VISIBILITY DISTORTED BROKEN/DISCOLORED GLASS","2018","16","M","17"
"MOTR CARRIER OPER VEH IN VIOLATION OF SAFETY RULES","2018","17","C","2"
"AGG DWAI IMPAIRED COMB DRUGS - DRUGS/ALCOHOL","2018","17","F","3"
"AGG DWI - CHILD IN VEHICLE","2018","17","F","4"
"AGGRAVATED DWI - BLOOD ALCOHOL CONTENT .18 OR HIGH","2018","17","F","1"
"AGGRAVATED UNLIC OPER-2ND DEG","2018","17","F","1"
"AGGRAVATED UNLIC OPER 2ND/PREV CONV","2018","17","F","1"
"AGGRAVATED UNLIC OPER 3RD MISD","2018","17","F","54"
"ALLOWING USE OF LICENSE BY ANOTHER","2018","17","F","3"
"ANGL PARKING/WRONG DIR/PARTLY ON RDWY","2018","17","F","1"
"AVOIDING TRAF DEVICE OR INTERSECTION","2018","17","F","11"
"BACKING ON CONTROLLED-ACCESS HGWY","2018","17","F","1"
"BACKING UNSAFELY","2018","17","F","41"
