"body_of_water","mile","shore","marina","marina_url","phone_number","vhf_monitored","fuel","repair","facilities","latitude","longitude","georeference","itsuid"
"erie","226.68","both","Village of Newark docks","http://newarknychamber.org","(315) 331-2705",,,,"EWPRSLI","43.047669","-77.093182","POINT (-77.093182 43.047669)","Village of Newark docks"
"champlain","37.40","west","Village of Fort Edward docks","http://www.nycanals.com/Fort_Edward","(518) 747-4023",,,,,"43.260846","-73.580065","POINT (-73.580065 43.260846)","Village of Fort Edward docks"
"champlain","49.38","west","Village of Fort Ann docks","http://www.nycanals.com/Fort_Ann","(518) 639-8929",,,,,"43.414006","-73.485144","POINT (-73.485144 43.414006)","Village of Fort Ann docks"
"erie","246.58","both","Village of Fairport docks","http://www.village.fairport.ny.us/parks--recreation.html","(585) 223-0313",,,,"EWRS","43.101423","-77.441187","POINT (-77.441187 43.101423)","Village of Fairport docks"
"erie","211.26","south","Village of Clyde docks","http://www.clydeny.com","(315) 923-3121",,,,"EWPR","43.080825","-76.870276","POINT (-76.870276 43.080825)","Village of Clyde docks"
"erie","172.55","south","Village of Baldwinsville docks","http://baldwinsvillechamber.com/","(315) 635-3521",,,,"EWR","43.155869","-76.335109","POINT (-76.335109 43.155869)","Village of Baldwinsville docks"
"cayuga-seneca_sf-sl","51.41","west","Village Marina","http://www.village-marina.com/","(607) 546-8505",,,,"EWPRS","42.384092","-76.872564","POINT (-76.872564 42.384092)","Village Marina"
"erie","100.85","south","Utica Marina, Aquavino","http://www.aquavinorestaurant.com","(315) 732-0116",,,,"EW","43.111374","-75.214889","POINT (-75.214889 43.111374)","Utica Marina, Aquavino"
"hudson","156.12","east","Troy Motor Boat & Canoe Club","http://www.troyboatclub.org","(518) 235-9697","13","G",,"EWPRSC","42.782312","-73.675728","POINT (-73.675728 42.782312)","Troy Motor Boat & Canoe Club"
"hudson","152.60","east","Troy Docks","http://www.troyny.gov","(518) 279-7179",,,,,"42.733560","-73.690872","POINT (-73.690872 42.73356)","Troy Docks"
"erie","220.82","both","Town of Lyons docks","http://lyonstown.com/lyons-dock-erie-canal-mile-post-220","(315) 946-6206",,,,"EWPRSL","43.061500","-76.992872","POINT (-76.992872 43.0615)","Town of Lyons docks"
"erie","163.28","north","Timber Banks","https://timberbanks.com","(315) 635-8800",,,,"EWRS","43.166910","-76.266657","POINT (-76.266657 43.16691)","Timber Banks"
"erie","257.57","north","The Reserve Boat Dock",,,,,,,"43.103006","-77.590996","POINT (-77.590996 43.103006)","The Reserve Boat Dock"
"champlain","60.86","west","The New Whitehall Marina","http://www.newwhitehallmarina.com","(518) 499-9700","1316","GD","EHMST","EWPRSLIC","43.559372","-73.400811","POINT (-73.400811 43.559372)","The New Whitehall Marina"
"champlain","21.40","west","The Cove on the Hudson (0.8 mi. W)","https://thecoveonthehudson.business.site","(518) 695-6900",,,"EHMT","EWRIC","43.058896","-73.593216","POINT (-73.593216 43.058896)","The Cove on the Hudson (0.8 mi. W)"
"cayuga-seneca_cl","33.65","west","Taughannock Falls State Park","https://parks.ny.gov/parks/62/details.aspx","(607) 387-6739",,,,"EWPRS","42.547591","-76.595655","POINT (-76.595655 42.547591)","Taughannock Falls State Park"
"erie","129.34","both","Sylvan Beach Pier","http://sylvanbeachny.com/","(315) 762-4324",,,,"R","43.194673","-75.729845","POINT (-75.729845 43.194673)","Sylvan Beach Pier"
"erie","69.48","north","St. Johnsville Public Marina","http://www.stjohnsville.com/VilMarina.htm","(518) 568-7406","13","GD",,"EWPRSLI","42.994408","-74.679510","POINT (-74.67951 42.994408)","St. Johnsville Public Marina"
"cayuga-seneca_sf-sl","17.08","east","Stivers Seneca Marine","http://www.stiverssenecamarine.com","(315) 789-5520",,"GD","EHMST","EWPRSI","42.868566","-76.939045","POINT (-76.939045 42.868566)","Stivers Seneca Marine"
"hudson","145.00","west","Springer's Marina","http://www.springersmarina.com","(518) 434-0390","1316",,,"EWRSIC","42.637241","-73.752825","POINT (-73.752825 42.637241)","Springer's Marina"
"erie","271.30","both","Spencerport docks","https://www.spencerportchamber.org","(585) 352-4771",,,,"EWPRS","43.192571","-77.799549","POINT (-77.799549 43.192571)","Spencerport docks"
"cayuga-seneca_sf-sl","51.98","west","South Seneca Marina","https://www.facebook.com/South-Seneca-Marina-599915476822042","(607) 535-6690",,,,"EWR","42.381599","-76.860746","POINT (-76.860746 42.381599)","South Seneca Marina"
"erie","129.15","south","Snug Harbor marina","http://snug-harbour.com/","(315) 762-0112",,"G","EHM","EWPRS","43.193269","-75.725992","POINT (-75.725992 43.193269)","Snug Harbor marina"
"erie","338.78","north","Smith Boys (0.4 mi. N)","http://www.smithboys.com/","(716) 695-3472",,,"EM","EWPRLI","43.029927","-78.882267","POINT (-78.882267 43.029927)","Smith Boys (0.4 mi. N)"
"erie","327.41","south","Ship & Shore restaurant","http://theshipnshore.com","(716) 625-6106",,,,"R","43.084682","-78.732915","POINT (-78.732915 43.084682)","Ship & Shore restaurant"
"cayuga-seneca_sf-sl","17.10","west","Seneca Lake State Park","https://parks.ny.gov/parks/senecalake/details.aspx","(315) 789-2331",,,,"EWPRS","42.869726","-76.940808","POINT (-76.940808 42.869726)","Seneca Lake State Park"
"cayuga-seneca_sf-sl","8.47","west","Seneca Falls Canal Harbor","http://www.senecafalls.com","(315) 568-6933",,,,"EWPRS","42.909740","-76.796918","POINT (-76.796918 42.90974)","Seneca Falls Canal Harbor"
"erie","21.27","north","Scotia Village Docks","http://www.villageofscotia.org/village-government/departments/parks","(518) 228-0116",,,,"EW","42.821465","-73.953385","POINT (-73.953385 42.821465)","Scotia Village Docks"
"champlain","25.00","west","Schuyler Yacht Basin","http://www.clarkssteakhouse.com","(518) 695-3193","916","GD",,"EWPRSLIC","43.098415","-73.575987","POINT (-73.575987 43.098415)","Schuyler Yacht Basin"
"erie","17.12","north","Schenectady Yacht Club","http://mohawkhudsoncouncil.org/schenectady-yacht-club-information","(518) 384-9971","1316","GD",,"EWPRSLIC","42.851065","-73.886765","POINT (-73.886765 42.851065)","Schenectady Yacht Club"
"cayuga-seneca_sf-sl","27.79","east","Sampson State Park","https://parks.ny.gov/parks/154/details.aspx","(315) 585-6392",,,,"EWRS","42.727293","-76.913860","POINT (-76.91386 42.727293)","Sampson State Park"
"cayuga-seneca_sf-sl","21.10","west","Roy's Marina","http://www.roysmarina.net","(315) 789-3094",,"G","EHMT","R","42.813015","-76.976175","POINT (-76.976175 42.813015)","Roy's Marina"
"erie","114.30","south","Riverside Marina (0.3 mi S)","http://riversidemarina.slantpower.com","(315) 617-3278",,,"EM","EWPRS","43.195991","-75.437331","POINT (-75.437331 43.195991)","Riverside Marina (0.3 mi S)"
"erie","253.47","south","Port of Pittsford","http://townofpittsford.org/parks_and_trails","(585) 586-9320",,,,"EW","43.092109","-77.514243","POINT (-77.514243 43.092109)","Port of Pittsford"
"erie","235.03","south","Port of Palmyra","http://www.palmyrany.com","(315) 597-4807",,,,"EWPRSI","43.066880","-77.229215","POINT (-77.229215 43.06688)","Port of Palmyra"
"erie","338.80","south","Placid Harbor/Shores (0.1 mi. S)","http://www.shoreswaterfront.com","(716) 693-6226","16","GD","EHM","EWPRSI","43.023801","-78.884680","POINT (-78.88468 43.023801)","Placid Harbor/Shores (0.1 mi. S)"
"erie","158.18","south","Pirate's Cove Marina","http://piratescovemarina.com/","(315) 695-3901","16","G","EHMT","EWPRSLI","43.214308","-76.245701","POINT (-76.245701 43.214308)","Pirate's Cove Marina"
"oswego","23.71","west","Oswego Yacht Club","https://oswegoyachtclub.org","(315) 343-9459",,,,"EWPRS","43.464231","-76.518827","POINT (-76.518827 43.464231)","Oswego Yacht Club"
"oswego","22.77","east","Oswego Terminal Wall","http://www.oswegony.org","(315) 342-8186",,,,"I","43.454103","-76.507181","POINT (-76.507181 43.454103)","Oswego Terminal Wall"
"oswego","23.19","east","Oswego Marina","http://www.portoswego.com/marina","(315) 342-0436","16","GD","EMS","EWPRSL","43.461379","-76.510440","POINT (-76.51044 43.461379)","Oswego Marina"
"erie","167.18","south","Onondaga Lake Marina (3.2 mi. S)","http://www.onondagacountyparks.com/parks/onondaga-lake-park/boat-launchmarina","(315) 453-6721","16",,,"EWPRS","43.100573","-76.209639","POINT (-76.209639 43.100573)","Onondaga Lake Marina (3.2 mi. S)"
"erie","130.55","south","Oneida Lake Marina (1.9 mi. S)","http://www.oneidalakemarina.com/","(315) 697-4867",,,"EMST","EWPRSI","43.158813","-75.750768","POINT (-75.750768 43.158813)","Oneida Lake Marina (1.9 mi. S)"
"erie","319.05","south","Nelson C. Goehle Public Marina","http://www.discovertheeriecanal.com/places/united-states/new-york/lockport/canal-resources/nelson-c-goehle-marina","(716) 433-1267","13","G",,"EWPRSL","43.185012","-78.669086","POINT (-78.669086 43.185012)","Nelson C. Goehle Public Marina"
"cayuga-seneca_sf-sl","53.94","east","Montour Falls Marina/Geiger's","http://www.villageofmontourfalls.com/municipal-marina--campground.html","(607) 210-4124",,"G","EHMT","EWPR","42.353822","-76.852847","POINT (-76.852847 42.353822)","Montour Falls Marina/Geiger's"
"erie","18.14","north","Mohawk Valley Marine","http://www.mohawkvalleymarine.com/","(518) 399-2719","1316",,"EMT","EWPRS","42.849719","-73.905431","POINT (-73.905431 42.849719)","Mohawk Valley Marine"
"erie","20.27","south","Mohawk Harbor","https://www.themohawkharbor.com","(518) 949-0220","13",,,"EWR","42.825231","-73.933401","POINT (-73.933401 42.825231)","Mohawk Harbor"
"oswego","18.16","west","Minetto Riverview Park","https://www.townofminetto.com","(315) 598-4399",,,,"E","43.396139","-76.471264","POINT (-76.471264 43.396139)","Minetto Riverview Park"
"erie","221.36","north","Miller's Marina",,"(315) 946-9363","13","GD","EHM","EWRSI","43.063199","-77.003660","POINT (-77.00366 43.063199)","Miller's Marina"
"erie","308.99","south","Middleport Park","http://middleport-newyork.com","(716) 735-7250",,,,"EWRSLI","43.212257","-78.478068","POINT (-78.478068 43.212257)","Middleport Park"
"erie","303.65","south","Medina Canal Port","http://orleanscountytourism.com/waterways","(585) 798-1790",,,,"EWPRS","43.221727","-78.386021","POINT (-78.386021 43.221727)","Medina Canal Port"
"champlain","9.29","west","Mechanicville Terminal Wall","https://www.saratogacountyny.gov/our-cities-towns-villages/city-of-mechanicville","(518) 664-7791",,,,"EWPRS","42.903423","-73.684136","POINT (-73.684136 42.903423)","Mechanicville Terminal Wall"
"erie","130.39","south","Marion Manor Marina (1.9 mi. S)","http://marionmanor.com/","(315) 762-4810",,"G","EHM","R","43.158439","-75.745620","POINT (-75.74562 43.158439)","Marion Manor Marina (1.9 mi. S)"
"erie","104.13","north","Marcy Marina","http://www.nycanals.com/Marcy","(315) 736-7617",,,,"EWR","43.134094","-75.272561","POINT (-75.272561 43.134094)","Marcy Marina"
"cayuga-seneca_sf-sl","35.38","east","Lodi Point State Park","https://parks.ny.gov/parks/89/details.aspx","(315) 585-6392",,,,"R","42.618018","-76.877674","POINT (-76.877674 42.618018)","Lodi Point State Park"
"cayuga-seneca_cl","4.63","east","Lockview Marina","http://www.lockviewmarina.com","(315) 255-2936",,"G",,"EWRS","42.939443","-76.732740","POINT (-76.73274 42.939443)","Lockview Marina"
"champlain","3.80","west","Lock One Marina and Shipyard","http://www.lockonemarinaandshipyard.com/","(518) 238-1321","1360","GD","EM","EWPRSLIC","42.829059","-73.666044","POINT (-73.666044 42.829059)","Lock One Marina and Shipyard"
"erie","320.76","north","Lock 35 docks","http://www.tug44.org/erie.canal/lock-34-35","(716) 434-3140","13",,,"EW","43.170256","-78.693880","POINT (-78.69388 43.170256)","Lock 35 docks"
"erie","105.36","north","Lock 20 Canal Park, docks","http://www.oneidacountytourism.com/do/recreation/parks/place/508/lock-20-canal-park","(315) 736-4617",,,,"R","43.143737","-75.292140","POINT (-75.29214 43.143737)","Lock 20 Canal Park, docks"
"erie","80.10","south","Little Falls Canal Harbor","http://www.cityoflittlefalls.net/index.cfm?section=parks-recreation&page=canal-harbor-and-rotary-park","(315) 823-1453",,,,"EWRS","43.034698","-74.865476","POINT (-74.865476 43.034698)","Little Falls Canal Harbor"
"erie","167.88","north","J & S Marine","http://www.jsmarinejim.com/","(315) 622-1095",,"G","EHMT","EWPRSIC","43.123358","-76.265434","POINT (-76.265434 43.123358)","J & S Marine"
"cayuga-seneca_cl","38.88","west","Ithaca Yacht Club","http://www.ithacayc.org","(607) 272-9171",,,,,"42.494592","-76.538193","POINT (-76.538193 42.494592)","Ithaca Yacht Club"
"erie","338.40","south","Inner Harbor Yacht Club (0.2 mi S)","http://innerharboryc.com/","(716) 692-9920","1316",,,"EWPRSI","43.019717","-78.873561","POINT (-78.873561 43.019717)","Inner Harbor Yacht Club (0.2 mi S)"
"cayuga-seneca_sf-sl","15.58","west","Inland Harbor Marina","http://www.inlandharborwaterloo.com","(315) 789-7255","13","G","EHM","EWPRS","42.887767","-76.924466","POINT (-76.924466 42.887767)","Inland Harbor Marina"
"erie","89.07","south","Ilion Marina & RV Park","http://www.ilionny.com/recreation/index.php?id=408","(315) 894-9421",,"GD",,"EWPRSLI","43.020385","-75.029905","POINT (-75.029905 43.020385)","Ilion Marina & RV Park"
"erie","128.92","south","Holmes Marina","http://www.holmesmarina.com/","(315) 762-4232",,,"M","EWRS","43.197032","-75.721547","POINT (-75.721547 43.197032)","Holmes Marina"
"erie","283.43","both","Holley Canal Park","http://www.villageofholley.org","(585) 638-6456",,,,"EWPRS","43.227378","-78.020514","POINT (-78.020514 43.227378)","Holley Canal Park"
"cayuga-seneca_sf-sl","13.93","west","Hidden Harbor Marina","https://www.iloveny.com/listing/hidden-harbor-marina/6339/","(315) 539-8034",,,,,"42.896421","-76.894042","POINT (-76.894042 42.896421)","Hidden Harbor Marina"
"cayuga-seneca_cl","10.32","east","Hibiscus Harbor","http://www.tradeayacht.com","(315) 889-5086","16","GD","EHMT","EWPRSIC","42.855790","-76.706642","POINT (-76.706642 42.85579)","Hibiscus Harbor"
"cayuga-seneca_sf-sl","51.85","east","Glen Harbor Marina","http://www.glenharbormarina.com/","(607) 535-2751","16","GD","EHMT","EWPR","42.383117","-76.861461","POINT (-76.861461 42.383117)","Glen Harbor Marina"
"cayuga-seneca_sf-sl","17.54","west","Geneva docks (1.7 mi. W)","http://www.downtowngeneva.org/lakefront.html","(315) 789-7271",,,,"EP","42.865236","-76.978617","POINT (-76.978617 42.865236)","Geneva docks (1.7 mi. W)"
"erie","87.34","north","Gems along the Mohawk","http://www.gemsalongthemohawk.com/","(315) 717-0077",,,,"R","43.016783","-74.996070","POINT (-74.99607 43.016783)","Gems along the Mohawk"
"erie","338.20","both","Gateway Park, docks","http://the-tonawandas.com/","(716) 692-5120",,,,"EWPRS","43.021827","-78.873654","POINT (-78.873654 43.021827)","Gateway Park, docks"
"erie","313.22","south","Gasport Marina",,"(716) 772-2964","13","GD",,"EWPR","43.201666","-78.557261","POINT (-78.557261 43.201666)","Gasport Marina"
"erie","314.19","south","Gasport Landing","http://gasportnewyork.blogspot.com",,,,,"E","43.199367","-78.576507","POINT (-78.576507 43.199367)","Gasport Landing"
"erie","47.99","south","Fultonville Docks","http://www.canals.ny.gov/maps/index.html?layer=launch&id=fultonville&open=true","(518) 853-3815",,,,,"42.949199","-74.359101","POINT (-74.359101 42.949199)","Fultonville Docks"
"cayuga-seneca_cl","11.65","east","Frontenac Harbor marina","http://www.frontenacharbor.com","(315) 889-5532","16","GD","EM","EWPR","42.839983","-76.695639","POINT (-76.695639 42.839983)","Frontenac Harbor marina"
"cayuga-seneca_sf-sl","52.74","west","Frog Hollow Marina","http://froghollowmarina.com","(607) 535-2671",,"G","MT","EWPRSI","42.370681","-76.859109","POINT (-76.859109 42.370681)","Frog Hollow Marina"
"erie","136.19","south","Fremac Marine (3 mi. S)","http://www.fremacmarine.com/","(315) 633-2661",,"G","EMS","EWPRS","43.151358","-75.875626","POINT (-75.875626 43.151358)","Fremac Marine (3 mi. S)"
"erie","91.64","south","Frankfort Harbor (0.3 mi. S)","https://villagefrankfort.digitaltowpath.org:10088/content","(315) 895-7651",,,,"P","43.041802","-75.068649","POINT (-75.068649 43.041802)","Frankfort Harbor (0.3 mi. S)"
"champlain","36.93","west","Fort Edward Yacht Basin (1 mi. W)","http://villageoffortedward.com/Attractions/YachtBasin","(518) 747-3000",,,,"EWRS","43.268153","-73.588062","POINT (-73.588062 43.268153)","Fort Edward Yacht Basin (1 mi. W)"
"cayuga-seneca_cl","36.23","east","Finger Lakes Marine Service","http://www.fingerlakesmarine.com","(607) 533-4422",,"GD","EHMST","EWPRSIC","42.535770","-76.546150","POINT (-76.54615 42.53577)","Finger Lakes Marine Service"
"cayuga-seneca_cl","42.77","west","Finger Lakes Boating Center","http://sailithaca.com","(607) 272-9927",,,"EHMS","EWRS","42.444834","-76.512215","POINT (-76.512215 42.444834)","Finger Lakes Boating Center"
"erie","151.10","south","Ess-Kay Yards","http://www.ess-kayyards.com/","(315) 676-2711","16","GD","EHM","EWPRSIC","43.239626","-76.150094","POINT (-76.150094 43.239626)","Ess-Kay Yards"
"erie","240.13","south","Erie Macedon Landing","https://eriecanaladventures.com/portfolio","(315) 986-3011",,"GD",,"EWPRSLI","43.076882","-77.321561","POINT (-77.321561 43.076882)","Erie Macedon Landing"
"erie","188.46","north","Eagles Landing Marina",,"(315) 558-1429",,,,,"43.072185","-76.549055","POINT (-76.549055 43.072185)","Eagles Landing Marina"
"cayuga-seneca_cl","26.63","east","Don's Marina","https://www.iloveny.com/listing/dons-marina/6171","(315) 364-8921",,"G","EHM",,"42.638176","-76.654328","POINT (-76.654328 42.638176)","Don's Marina"
"hudson","131.48","west","Donovan's Shady Harbor Marina","http://www.shadyharbormarina.com/","(518) 756-8001","91668","GD","EHM","EWPRSLIC","42.450930","-73.786800","POINT (-73.7868 42.45093)","Donovan's Shady Harbor Marina"
"erie","7.10","north","Diamond Reef Yacht Club","http://mohawkhudsoncouncil.org/diamond-reef-yacht-club-information","(518) 371-2716","91668",,,"EWPRS","42.794284","-73.760884","POINT (-73.760884 42.794284)","Diamond Reef Yacht Club"
"erie","183.00","north","Cross Lake Marina (3.4 mi. N)","http://www.crosslakeinnandmarina.com","(315) 626-6718",,"G",,"ERS","43.150219","-76.502536","POINT (-76.502536 43.150219)","Cross Lake Marina (3.4 mi. N)"
"erie","5.96","north","Crescent Boat Club","http://crescentboatclub.com","(518) 371-9864","16","G",,"EWPRSIC","42.806660","-73.748047","POINT (-73.748047 42.80666)","Crescent Boat Club"
"erie","260.55","north","Corn Hill Landing (3 mi. N)","http://www.cityofrochester.gov/article.aspx?id=8589935136","(585) 325-7116",,,,"EWP","43.149200","-77.610401","POINT (-77.610401 43.1492)","Corn Hill Landing (3 mi. N)"
"erie","173.26","north","Cooper's Marina","http://coopersmarina.com/","(315) 635-7371",,"G","EM","EWPRSI","43.162468","-76.347083","POINT (-76.347083 43.162468)","Cooper's Marina"
"hudson","133.00","west","Coeymans Landing Marina","http://www.coeymanslandingmarina.com/","(518) 756-6111","91316","GD","EHMT","EWPRSLIC","42.474853","-73.789377","POINT (-73.789377 42.474853)","Coeymans Landing Marina"
"erie","114.97","north","City of Rome Bellamy Harbor Park","http://romenewyork.com","(315) 339-7656",,,,,"43.201593","-75.450117","POINT (-75.450117 43.201593)","City of Rome Bellamy Harbor Park"
"cayuga-seneca_cl","4.45","east","Cayuga Marina Outfitters","http://www.cayugamarinaoutfitters.com","(315) 252-5754",,,,"EWPRSIC","42.942119","-76.733103","POINT (-76.733103 42.942119)","Cayuga Marina Outfitters"
"hudson","137.18","east","Castleton Boat Club","http://www.castletonboatclub.com/","(518) 732-7077","131672","GD","S","EWPRSLI","42.529023","-73.758646","POINT (-73.758646 42.529023)","Castleton Boat Club"
"oswego","11.92","east","Canal Landing Marina","https://211cny.com/detail.php?id=24009006","(315) 598-4399",,,,"EWRS","43.323155","-76.417741","POINT (-76.417741 43.323155)","Canal Landing Marina"
"erie","60.55","south","Canajoharie Riverfront Park","http://canajohariepalatinechamber.com","(518) 673-5512",,,,"EW","42.909259","-74.570477","POINT (-74.570477 42.909259)","Canajoharie Riverfront Park"
"erie","130.99","south","Callahan's Marina (1.5 mi. S)","http://www.callahansmarina.com/","(315) 697-7470",,,,"EWPRI","43.162569","-75.761064","POINT (-75.761064 43.162569)","Callahan's Marina (1.5 mi. S)"
"erie","250.66","south","Bushnell's Basin docks","https://www.yelp.com/biz/bushnells-basin-public-docks-pittsford","(585) 223-5050",,,,"EWPRS","43.062495","-77.478241","POINT (-77.478241 43.062495)","Bushnell's Basin docks"
"erie","260.55","north","Brooks Landing (1 mi. N)","https://www.facebook.com/BrooksLandingROC","(585) 428-6771",,,,"EW","43.130413","-77.634985","POINT (-77.634985 43.130413)","Brooks Landing (1 mi. N)"
"erie","278.85","south","Brockport Welcome Center","http://www.brockportny.org","(585) 637-5300",,,,"EWPRSLI","43.216191","-77.937216","POINT (-77.937216 43.216191)","Brockport Welcome Center"
"erie","150.83","south","Brewerton Boatyard","http://www.brewertonboatyard.com","(315) 676-3762","16","GD","EHMT","EWPRSI","43.239636","-76.144425","POINT (-76.144425 43.239636)","Brewerton Boatyard"
"erie","338.78","north","Bow & Stern (0.5 mi. N)","http://www.bowandsternmarine.com","(716) 692-2316",,,"EHM","EW","43.032287","-78.883535","POINT (-78.883535 43.032287)","Bow & Stern (0.5 mi. N)"
"cayuga-seneca_sf-sl","15.41","west","Blue Heron Bay Marina","http://www.blueheronbaymarina.com","(585) 328-7850",,,"EM","EWRS","42.888869","-76.922535","POINT (-76.922535 42.888869)","Blue Heron Bay Marina"
"erie","6.88","south","Blain's Bay Marina","https://www.iloveny.com/listing/blains-bay-marina/6015","(518) 785-6785","13","G","EMH","EWPRSIC","42.794132","-73.755758","POINT (-73.755758 42.794132)","Blain's Bay Marina"
"cayuga-seneca_cl","5.88","east","Beacon Bay Marine","https://www.tourcayuga.com/listing/beacon-bay-marina/523","(315) 252-2849",,,"M","EWR","42.920568","-76.730200","POINT (-76.7302 42.920568)","Beacon Bay Marine"
"cayuga-seneca_sf-sl","16.69","east","Barrett Marine, Inc.","http://www.barrett-marine.com/","(315) 789-6605",,"G","EHM","EWPRS","42.874061","-76.936114","POINT (-76.936114 42.874061)","Barrett Marine, Inc."
"erie","26.06","north","Arrowhead Marina & RV Park","http://www.arrowheadmrvp.com","(518) 382-8966","13",,,"EWPRSLIC","42.849075","-74.012980","POINT (-74.01298 42.849075)","Arrowhead Marina & RV Park"
"erie","275.47","south","Arrowhead Marina & Golf Club","http://www.arrowheadgc.org","(585) 352-5500",,,,"EWRS","43.202555","-77.875158","POINT (-77.875158 43.202555)","Arrowhead Marina & Golf Club"
"erie","37.95","north","Amsterdam Riverlink Park","https://www.amsterdamny.gov/our-city/visiting-amsterdam","(518) 866-2281","13",,,"EWPRSI","42.933926","-74.191716","POINT (-74.191716 42.933926)","Amsterdam Riverlink Park"
"erie","330.06","south","Amherst Marine Center",,"(716) 691-6707",,"G","EM","EWRS","43.068848","-78.771945","POINT (-78.771945 43.068848)","Amherst Marine Center"
"erie","267.45","south","Allen's Canalside Marina",,"(585) 426-5400",,"G",,"EWRL","43.185855","-77.730260","POINT (-77.73026 43.185855)","Allen's Canalside Marina"
"cayuga-seneca_cl","41.73","west","Allen H. Treman State Park","https://parks.ny.gov/parks/35/details.aspx","(607) 272-1460",,,,"EWPRS","42.458277","-76.512979","POINT (-76.512979 42.458277)","Allen H. Treman State Park"
"erie","293.06","both","Albion Canal Port","http://orleanscountytourism.com/waterways","(585) 589-9176",,,,"EWRS","43.248706","-78.192072","POINT (-78.192072 43.248706)","Albion Canal Port"
"hudson","145.13","east","Albany Yacht Club","http://www.albanyyachtclub.com","(518) 445-9587","1316","GD",,"EWPRSLIC","42.638095","-73.749267","POINT (-73.749267 42.638095)","Albany Yacht Club"
"erie","4.32","south","Albany Marine Services","https://albanymarine.wixsite.com/mysite","(518) 783-5333","1316","G","EHM","EWPRS","42.820753","-73.727706","POINT (-73.727706 42.820753)","Albany Marine Services"
"erie","146.95","south","Aero Marina (1.5 mi. S)","http://www.aeromarina.com/","(315) 699-7736","16","G","EMS","EWPRS","43.208238","-76.078309","POINT (-76.078309 43.208238)","Aero Marina (1.5 mi. S)"
"champlain","12.31","west","Admiral's Marina","http://www.nycanals.com/Champlain_Canal_Guide:_Waterford_to_Schuylerville#Admiral.27s_Marina","(518) 664-9039",,,,"EWRS","42.939733","-73.648771","POINT (-73.648771 42.939733)","Admiral's Marina"
"erie","150.00","north","43° North Marina","http://www.43northmarina.com","(315) 676-3531","16","G","EHM","EWPR","43.240280","-76.127853","POINT (-76.127853 43.24028)","43° North Marina"
