"program_id","facility_name","town","county","dec_region","withdrawal_category","withdrawal_type","reporting_year","average_day_withdrawal_mgd","maximum_day_withdrawal_mgd","latitude","longitude","georeference"
"WWR0000156","Braemar Country Club","Parma (T)","Monroe","8","Recreational - Golf Course","Surface Water","2012","0.01","0.03","43.2228524","-77.76315645","POINT (-77.76315645 43.2228524)"
"WWR0001626","Kinnebrook Mobile Home Park","Thompson (T)","Sullivan","3","Public Water Supply","Groundwater","2011","0.05","0.08","41.66369309","-74.72933056","POINT (-74.72933056 41.66369309)"
"WWR0000541","Four Seasons Water Corp.","East Fishkill (T)","Dutchess","3","Public Water Supply","Groundwater","2019","0.04","0.09","41.60516745","-73.8229466","POINT (-73.8229466 41.60516745)"
"WWR0000560","Fulton, City","Volney (T)","Oswego","7","Public Water Supply","Groundwater; Purchase","2021","1.05","1.91","43.32083677","-76.41549403","POINT (-76.41549403 43.32083677)"
"WWR0000097","Barrett Paving- Watertown Quarry","Pamelia (T)","Jefferson","6","Mine Dewatering","Groundwater; Surface Water","2014","2.36","7.2","44.0556245","-75.89919872","POINT (-75.89919872 44.0556245)"
"WWR0001014","Mohawk River Country Club and Chateau","Clifton Park (T)","Saratoga","5","Recreational - Golf Course","Surface Water","2012","0.1",,"42.84725528","-73.87571349","POINT (-73.87571349 42.84725528)"
"WWR0000270","Chateaugay, Vg","Chateaugay (T)","Franklin","5","Public Water Supply","Surface Water","2012","0.68",,"44.9269864","-74.07801392","POINT (-74.07801392 44.9269864)"
"WWR0000728","Hermon, Tn","Russell (T)","St. Lawrence","6","Public Water Supply","Groundwater","2009","0.1","0.13","44.46671642","-75.230607","POINT (-75.230607 44.46671642)"
"WWR0001727","Winebrook Hills Water District","Newcomb (T)","Essex","5","Public Water Supply","Surface Water","2019","0.01","0.04","43.95770565","-74.10344251","POINT (-74.10344251 43.95770565)"
"WWR0001531","Texas Brine New York LLC","Middlebury (T)","Wyoming","9","Industrial","Groundwater","2018","0.18","0.26","42.81475619","-78.08123782","POINT (-78.08123782 42.81475619)"
"WWR0001016","Mohawk, Vg","German Flatts (T)","Herkimer","6","Public Water Supply","Groundwater","2012","0.55","0.93","43.00899744","-75.00546228","POINT (-75.00546228 43.00899744)"
"WWR0000923","Lockport, City","North Tonawanda (C)","Niagara","9","Public Water Supply","Surface Water","2010","5.02","6.1","43.15483982","-78.70350453","POINT (-78.70350453 43.15483982)"
"WWR0000252","NYSDEC Cedar Springs Fish Hatchery","Wheatland (T)","Monroe","8","Other","Surface Water","2009","1.04","1.15","43.02742686","-77.83592288","POINT (-77.83592288 43.02742686)"
"WWR0001341","Roxbury, Tn","Roxbury (T)","Delaware","4","Public Water Supply","Groundwater","2020","0.22","0.34","42.286058","-74.56349654","POINT (-74.56349654 42.286058)"
"WWR0001629","Watchtower Farms I","Shawangunk (T)","Ulster","3","Institutional","Surface Water","2017","0.14","0.21","41.63592852","-74.26221487","POINT (-74.26221487 41.63592852)"
"WWR0000602","Gloversville Board of Water Commissioners","Johnstown (T)","Fulton","5","Public Water Supply","Surface Water","2020","1.78","3.4","43.05095422","-74.34877034","POINT (-74.34877034 43.05095422)"
"WWR0001364","Saratoga Golf and Polo Club","Saratoga Springs (C)","Saratoga","5","Recreational - Golf Course","Surface Water","2012","0.04","0.14","43.08565529","-73.80045058","POINT (-73.80045058 43.08565529)"
"WWR0000374","Fulmont Ready mix-  Maple Ave","Johnstown (T)","Fulton","5","Mine Dewatering","Surface Water","2014","0.46","0.46","43.03867797","-74.37250757","POINT (-74.37250757 43.03867797)"
"WWR0001116","Ogdensburg, City","Ogdensburg (C)","St. Lawrence","6","Public Water Supply","Surface Water","2016","1.8","2.8","44.69830023","-75.49201361","POINT (-75.49201361 44.69830023)"
"WWR0000407","Deerwood Golf Course","North Tonawanda (C)","Niagara","9","Recreational - Golf Course","Surface Water","2016","0.15","0.29","43.0393914","-78.8303503","POINT (-78.8303503 43.0393914)"
"WWR0001613","Virkler - Watson Operations","Watson (T)","Lewis","6","Mine Dewatering","Surface Water","2011","0.12","0.12","43.8000311","-75.39249152","POINT (-75.39249152 43.8000311)"
"WWR0000148","Bonduelle USA - Bergen Facility","Bergen (T)","Genesee","8","Industrial","Groundwater","2016","0.13","0.56","43.08509927","-77.94979627","POINT (-77.94979627 43.08509927)"
"WWR0000868","Kozak Farms","Riverhead (T)","Suffolk","1","Agricultural","Groundwater","2015","0.24","0.42","40.9576103","-72.68422056","POINT (-72.68422056 40.9576103)"
"WWR0001650","Wayland, Vg","Wayland (T)","Steuben","8","Public Water Supply","Groundwater","2014","0.46","0.82","42.56781758","-77.59158097","POINT (-77.59158097 42.56781758)"
"WWR0000141","Blooming Grove Water District #3, Tomahawk","Blooming Grove (T)","Orange","3","Public Water Supply","Groundwater","2013","0.01","0.02","41.41046015","-74.21900628","POINT (-74.21900628 41.41046015)"
"WWR0001999","Catatonk Golf Club","Candor","Tioga","7","Recreational - Golf Course","Groundwater; Surface Water","2017","0","0.03","42.18453795","-76.31300522","POINT (-76.31300522 42.18453795)"
"WWR0000408","Del Mar Farms Inc","Batavia (T)","Genesee","8","Agricultural","Surface Water","2018","0.08","0.09","43.00909862","-78.30051282","POINT (-78.30051282 43.00909862)"
"WWR0000236","Cassadaga, Vg","Stockton (T)","Chautauqua","9","Public Water Supply","Groundwater","2009","0.1","0.15","42.34252774","-79.3112561","POINT (-79.3112561 42.34252774)"
"WWR0000903","Leewood Golf Club","Eastchester (T)","Westchester","3","Recreational - Golf Course","Surface Water","2020","0.33","0.52","40.96926911","-73.81396285","POINT (-73.81396285 40.96926911)"
"WWR0001562","Tri City - Broad Street Industrial","Dickinson (T)","Broome","7","Industrial","Surface Water","2017","0","0","42.12591756","-75.89096392","POINT (-75.89096392 42.12591756)"
"WWR0000953","Marathon, Vg","Marathon (T)","Cortland","7","Public Water Supply","Groundwater","2017","0.07","0.26","42.44271029","-76.03931908","POINT (-76.03931908 42.44271029)"
"WWR0000073","Athens, Vg","Athens (T)","Greene","4","Public Water Supply","Surface Water","2020","0.29","0.5","42.26255735","-73.81078351","POINT (-73.81078351 42.26255735)"
"WWR0000735","Highland Park Golf Course","Sennett (T)","Cayuga","7","Recreational - Golf Course","Surface Water","2015","0.08","0.23","42.94279708","-76.53595306","POINT (-76.53595306 42.94279708)"
"WWR0001670","Troy Sand & Gravel - West Sand Lake Pit","Sand Lake (T)","Rensselaer","4","Mine Dewatering","Surface Water","2014","0.45","0.78","42.65118699","-73.60438146","POINT (-73.60438146 42.65118699)"
"WWR0001911","Oak Mountain","Speculator (T)","Hamilton","5","Recreational - Snow Making","Surface Water","2016","0.65","0.72","43.5135452","-74.36102699","POINT (-74.36102699 43.5135452)"
"WWR0001681","Westmoreland Water District","Westmoreland (T)","Oneida","6","Public Water Supply","Groundwater","2009","0.09","0.22","43.1156765","-75.39927519","POINT (-75.39927519 43.1156765)"
"WWR0001592","United Water Nichols-Owego","Nichols (T)","Tioga","7","Public Water Supply","Groundwater","2014","1.26","2.02","42.10854262","-76.24523963","POINT (-76.24523963 42.10854262)"
"WWR0000901","Otesaga Hotel - Leatherstocking Golf Course","Otsego (T)","Otsego","4","Recreational - Golf Course","Surface Water","2013","0.03","0.36","42.70460328","-74.92658104","POINT (-74.92658104 42.70460328)"
"WWR0001862","New York City DEP (Croton Subsystem)","Mount Pleasant (T)","Westchester","3","Public Water Supply","Surface Water","2015","65","151","41.23370268","-73.80352758","POINT (-73.80352758 41.23370268)"
"WWR0000440","Dutchess Quarry & Supply Co - Pleasant Valley","Pleasant Valley (T)","Dutchess","3","Mine Dewatering","Groundwater; Surface Water","2019","0.94","1.65","41.76956743","-73.81383404","POINT (-73.81383404 41.76956743)"
"WWR0001807","Schlecht Nursery","Brookhaven (T)","Suffolk","1","Agricultural","Groundwater","2016","0.1","0.27","40.81137582","-72.78228432","POINT (-72.78228432 40.81137582)"
"WWR0000772","Hunter, Vg","Hunter (T)","Greene","4","Public Water Supply","Groundwater; Surface Water","2012","0.17","0.4","42.212679","-74.2182498","POINT (-74.2182498 42.212679)"
"WWR0001836","Christman's Windham House","Windham (T)","Greene","4","Recreational - Golf Course","Groundwater","2019","0.14","0.19","42.30569844","-74.28072471","POINT (-74.28072471 42.30569844)"
"WWR0001339","Rovers' Farm Inc","Chazy (T)","Clinton","5","Agricultural","Groundwater","2014","0.07","0.07","44.89754918","-73.42832253","POINT (-73.42832253 44.89754918)"
"WWR0000430","Dolomite Products - Ogden Quarry","Ogden (T)","Monroe","8","Mine Dewatering","Groundwater","2010","0.82",,"43.16264626","-77.79593798","POINT (-77.79593798 43.16264626)"
"WWR0000384","Crown Point, Tn","Crown Point (T)","Essex","5","Public Water Supply","Surface Water","2015","0.16","0.26","43.94886098","-73.41503517","POINT (-73.41503517 43.94886098)"
"WWR0000180","Bruce Matis","Palatine (T)","Montgomery","4","Agricultural","Groundwater; Surface Water","2020","0.02",,"42.94105641","-74.50111903","POINT (-74.50111903 42.94105641)"
"WWR0001806","Hodun Farm","Riverhead (T)","Suffolk","1","Agricultural","Groundwater","2020","0.72","1.08","40.92869576","-72.7198501","POINT (-72.7198501 40.92869576)"
"WWR0000526","Forestport, Tn","Forestport (T)","Oneida","6","Public Water Supply","Groundwater","2021","0.02","0.03","43.43431865","-75.19774844","POINT (-75.19774844 43.43431865)"
"WWR0001170","Pallette Stone - Saratoga Quarry","Saratoga Springs (C)","Saratoga","5","Mine Dewatering","Groundwater","2020","0.66","0.9","43.07882055","-73.83796481","POINT (-73.83796481 43.07882055)"
"WWR0000127","Big Flats, Tn","Big Flats (T)","Chemung","8","Public Water Supply","Groundwater","2012","0.55","1.1","42.14111518","-76.93481306","POINT (-76.93481306 42.14111518)"
"WWR0001534","Thunderhart Golf Course","Greenville (T)","Greene","4","Recreational - Golf Course","Groundwater","2017","0.03","1.34","42.35508735","-74.00586634","POINT (-74.00586634 42.35508735)"
"WWR0001087","New York Country Club","Ramapo (T)","Rockland","3","Recreational - Golf Course","Groundwater; Surface Water","2021","0.03","0.2","41.14045237","-74.05300562","POINT (-74.05300562 41.14045237)"
"WWR0001368","Saratoga Water Services, Inc","Malta (T)","Saratoga","5","Public Water Supply","Groundwater","2015","0.51","1.02","42.96347656","-73.78932776","POINT (-73.78932776 42.96347656)"
"WWR0000161","Briermere Farms","Riverhead (T)","Suffolk","1","Agricultural","Groundwater","2021","0.2","0.48","40.96756082","-72.65736118","POINT (-72.65736118 40.96756082)"
"WWR0001822","Meyers Farm","Riverhead (T)","Suffolk","1","Agricultural","Groundwater","2012","0.06","0.32","40.80823948","-73.47712447","POINT (-73.47712447 40.80823948)"
"WWR0001440","Smyrna, Vg","Smyrna (T)","Chenango","7","Public Water Supply","Groundwater","2020","0.06",,"42.68778949","-75.57031499","POINT (-75.57031499 42.68778949)"
"WWR0001714","Wilmington Water District #2","Wilmington (T)","Essex","5","Public Water Supply","Surface Water","2019","0.36","0.72","44.38623484","-73.8161818","POINT (-73.8161818 44.38623484)"
"WWR0000200","Callanan - Cropseyville","Brunswick (T)","Rensselaer","4","Mine Dewatering","Groundwater; Surface Water","2013","0.46","2.21","42.76789357","-73.5279524","POINT (-73.5279524 42.76789357)"
"WWR0000679","Hanson Aggregates - Clarendon Quarry","Clarendon (T)","Orleans","8","Mine Dewatering","Surface Water; Purchase","2017","1.68","3.63","43.18824076","-78.06446363","POINT (-78.06446363 43.18824076)"
"WWR0000537","Fort Edward, Vg","Moreau (T)","Saratoga","5","Public Water Supply","Surface Water","2019","0.35","0.52","43.26814204","-73.58517725","POINT (-73.58517725 43.26814204)"
"WWR0001373","WF Saunders - Ithaca Concrete","Dryden (T)","Tompkins","7","Industrial","Groundwater","2017","0.01","0.01","42.47455769","-76.40547358","POINT (-76.40547358 42.47455769)"
"WWR0000934","Lydall Thermal","Green Island (T)","Albany","4","Industrial","Surface Water","2015","0.96","2.27","42.74281738","-73.69298206","POINT (-73.69298206 42.74281738)"
"WWR0000382","Cronin's Golf Resort","Warrensburg (T)","Warren","5","Recreational - Golf Course","Groundwater; Surface Water","2017","0.08","0.12","43.51315483","-73.810982","POINT (-73.810982 43.51315483)"
"WWR0000133","Blackberry Hill Water District","Southeast (T)","Putnam","3","Public Water Supply","Groundwater","2017","0.04","0.05","41.40945682","-73.61041002","POINT (-73.61041002 41.40945682)"
"WWR0001522","Tan Tara Golf Club","Pendleton (T)","Niagara","9","Recreational - Golf Course","Surface Water","2016","0.08","0.1","43.06504145","-78.80613715","POINT (-78.80613715 43.06504145)"
"WWR0000740","Hillcrest Water District (Southeast, Tn)","Southeast (T)","Putnam","3","Public Water Supply","Groundwater","2019","0.02","0.04","41.40633318","-73.61504673","POINT (-73.61504673 41.40633318)"
"WWR0001091","Newark, Vg","Canandaigua (T)","Ontario","8","Public Water Supply","Surface Water","2017","3.26","4.2","43.04608028","-77.09308716","POINT (-77.09308716 43.04608028)"
"WWR0001611","Virgil Water District #1","Virgil (T)","Cortland","7","Public Water Supply","Groundwater","2017","0.03","0.08","42.50869508","-76.19805051","POINT (-76.19805051 42.50869508)"
"WWR0000522","Florida, Vg","Chester (T)","Orange","3","Public Water Supply","Surface Water","2016","0.42","0.65","41.33092747","-74.3564765","POINT (-74.3564765 41.33092747)"
"WWR0000630","Greek Peak Mountain Resort","Virgil (T)","Cortland","7","Recreational - Snow Making","Surface Water","2011","0.31","1.4","42.50836316","-76.1441715","POINT (-76.1441715 42.50836316)"
"WWR0000059","Antwerp, Vg","Antwerp (T)","Jefferson","6","Public Water Supply","Groundwater","2012","0.05","0.08","44.19951119","-75.60762362","POINT (-75.60762362 44.19951119)"
"WWR0001432","Silver Springs, Vg","Gainesville (T)","Wyoming","9","Public Water Supply","Groundwater; Surface Water","2012","0.09","0.24","42.66037603","-78.08352753","POINT (-78.08352753 42.66037603)"
"WWR0000822","Jaway Farms - Kelder Farm","Rochester (T)","Ulster","3","Agricultural","Surface Water","2014","0.1","0.4","41.78994035","-74.25950076","POINT (-74.25950076 41.78994035)"
"WWR0000375","Cranesville - Scotia Sand & Stone","Glenville (T)","Schenectady","4","Mine Dewatering","Surface Water","2013","0.46","0.46","42.84617358","-73.98753979","POINT (-73.98753979 42.84617358)"
"WWR0002024","Adirondack Golf Course","Peru (T)","Clinton","5","Recreational - Golf Course","Groundwater; Surface Water","2021","0.25","0.29","44.60895992","-73.48470912","POINT (-73.48470912 44.60895992)"
"WWR0001842","Lake Shore Yacht and Country Club","Cicero (T)","Onondaga","7","Recreational - Golf Course","Surface Water","2015","0.05","0.65","43.20249283","-76.05212546","POINT (-76.05212546 43.20249283)"
"WWR0000497","Erwin, Tn","Campbell (T)","Steuben","8","Public Water Supply","Groundwater","2013","0.63","1.05","42.15090683","-77.10937673","POINT (-77.10937673 42.15090683)"
"WWR0001059","Morrisville State College Aquaculture Center","Eaton (T)","Madison","7","Other","Groundwater","2010","0.14","0.14","42.88711187","-75.64389848","POINT (-75.64389848 42.88711187)"
"WWR0000631","NYS Corrections Green Haven Correctional Facility","Beekman (T)","Dutchess","3","Institutional","Groundwater","2017","0.33","0.63","41.58412825","-73.71942629","POINT (-73.71942629 41.58412825)"
"WWR0001398","Schuyler Meadows Club","Colonie (T)","Albany","4","Recreational - Golf Course","Surface Water","2010",,,"42.72143675","-73.74349375","POINT (-73.74349375 42.72143675)"
"WWR0001658","Wells Water District","Wells (T)","Hamilton","5","Public Water Supply","Groundwater","2014","0.18","0.27","43.4016365","-74.29176351","POINT (-74.29176351 43.4016365)"
"WWR0000958","Marshall Skiff Orchards","Onondaga (T)","Onondaga","7","Agricultural","Surface Water","2011","0.02","0.07","42.88557665","-76.19841185","POINT (-76.19841185 42.88557665)"
"WWR0000548","Freatman Farm","Cambria (T)","Niagara","9","Agricultural","Surface Water; Purchase","2011","0.08","0.08","43.21538175","-78.84221299","POINT (-78.84221299 43.21538175)"
"WWR0001923","Landstrom Gravel Pit","Spencer (T)","Tioga","7","Mine Dewatering","Surface Water","2021","0.84","0.84","42.27945482","-76.49731249","POINT (-76.49731249 42.27945482)"
"WWR0000692","Hanson Aggregates - Ogdensburg Quarry","Oswegatchie (T)","St. Lawrence","6","Mine Dewatering","Groundwater; Surface Water; Purchase","2013","0.16","0.31","44.68134122","-75.5081096","POINT (-75.5081096 44.68134122)"
"WWR0001706","Williamson, Tn","Williamson (T)","Wayne","8","Public Water Supply","Surface Water","2020","2.25","3.2","43.23104029","-77.18648333","POINT (-77.18648333 43.23104029)"
"WWR0000250","Cazenovia Country Club","Cazenovia (T)","Madison","7","Recreational - Golf Course","Surface Water","2017","0.03","0.08","42.90274653","-75.83838414","POINT (-75.83838414 42.90274653)"
"WWR0001476","Stafford Country Club","Stafford (T)","Genesee","8","Recreational - Golf Course","Groundwater; Surface Water","2020","0.07","1.37","42.98591066","-78.07081931","POINT (-78.07081931 42.98591066)"
"WWR0001867","Hornell Golf Club","Hornellsville (T)","Steuben","8","Recreational - Golf Course","Surface Water","2015","0","0.09","42.3506207","-77.65851141","POINT (-77.65851141 42.3506207)"
"WWR0001749","Wyeth Pharmaceuticals","Orangetown (T)","Rockland","3","Industrial","Groundwater","2016","0.6","2.16","41.07409338","-74.01354624","POINT (-74.01354624 41.07409338)"
"WWR0000396","Dansville, Vg","North Dansville (T)","Livingston","8","Public Water Supply","Groundwater; Surface Water","2015","0.6","0.85","42.55950736","-77.69566369","POINT (-77.69566369 42.55950736)"
"WWR0000610","Sharon Springs, Vg","Sharon (T)","Schoharie","4","Public Water Supply","Groundwater; Surface Water","2018","0.14","0.22","42.78658397","-74.62493119","POINT (-74.62493119 42.78658397)"
"WWR0000096","Barre Stone Products","Barre (T)","Orleans","8","Mine Dewatering","Surface Water","2013","4.9","7.3","43.20522931","-78.2136943","POINT (-78.2136943 43.20522931)"
"WWR0000585","Gernatt - Hanover","Hanover (T)","Chautauqua","9","Mine Dewatering","Surface Water","2017","0.24","0.67","42.56228385","-79.10585667","POINT (-79.10585667 42.56228385)"
"WWR0001351","Salamanca, City","Salamanca (C)","Cattaraugus","9","Public Water Supply","Groundwater","2012","1.3","2.2","42.15758434","-78.70767095","POINT (-78.70767095 42.15758434)"
"WWR0000138","Blooming Grove Water District #5, Mountain View","Blooming Grove (T)","Orange","3","Public Water Supply","Groundwater","2013","0.02","0.03","41.42294566","-74.13361532","POINT (-74.13361532 41.42294566)"
"WWR0001352","Salem Golf Club","North Salem (T)","Westchester","3","Recreational - Golf Course","Surface Water","2020","0.03","0.12","41.35163133","-73.5758991","POINT (-73.5758991 41.35163133)"
"WWR0000725","Heritage Springs Water Works","Milton (T)","Saratoga","5","Public Water Supply","Groundwater","2015","0.21","0.36","43.04336662","-73.86107689","POINT (-73.86107689 43.04336662)"
"WWR0001355","NYSDEC Salmon River Hatchery","Albion (T)","Oswego","7","Other","Groundwater; Surface Water","2018","7.8","7.8","43.51012525","-75.99320977","POINT (-75.99320977 43.51012525)"
"WWR0000847","Keene Water District #1","Keene (T)","Essex","5","Public Water Supply","Groundwater","2017","0.04","0.05","44.25659136","-73.79201625","POINT (-73.79201625 44.25659136)"
