"plant_type","spdes_permit_number","facility_name","ground_or_surface","avg_design_hydraulic_flow","street","city","state","country","zip_code","latitude","longitude","location_1"
"Industrial","NY0257567","DOT SALT STORAGE BUILDING","Surface","0.0002","BRADLEY STREET RD","WATERTOWN","NY","USA","13601","44","-75.92","(44.0, -75.92)"
"Municipal","NY0020281","NYS GLENFIELD SEWER DIST","Surface","0.06","BLUE ST","GLENFIELD","NY","USA","13343","43.72","-75.4","(43.72, -75.4)"
"Industrial","NY0098736","SNOW WHITE LAUNDRY","Ground","0.015","50 CO RD 39A|SCTM#904-4-2-020","SOUTHAMPTON","NY","USA","11968","40.9","-72.4","(40.9, -72.4)"
"Industrial","NY0276499","FRESH KILLS PARK","Surface",,"FRESH KILLS LANDFILL SITE","STATEN ISLAND","NY","USA","10314","40.57","-74.2","(40.57, -74.2)"
"Industrial","NY0005134","CON ED-59TH ST STATION","Surface","5.21","850 12TH AVE","NEW YORK","NY","USA","10019","40.77","-73.99","(40.77, -73.99)"
"Municipal","NY0032972","CHELSEA COVE WASTE WATER TREATMENT PLANT","Surface","0.12","94 MILLER RD","HOPEWELL JUNCTION","NY","USA","12533","41.61","-73.75","(41.61, -73.75)"
"Industrial","NY0265594","ROYAL ANCHORAGE SEWER DISTRICT NO 1","Ground","0.0067","LAPOINTE LN & ANCHORAGE WAY","PUTNAM","NY","USA","12861","43.75","-73.46","(43.75, -73.46)"
"Industrial","NY0264652","CATSKILL AQUEDUCT OUTLET IN KENSICO RESERVOIR","Surface",,"600 NANNYHAGEN RD","THORNWOOD","NY","USA","10594","41.12","-73.75","(41.12, -73.75)"
"Industrial","NY0228478","HEMLOCK LAKE - SHORELINE, OUTLET, DAM & COMPLEX","Surface","1.95","ROCHESTER-C ROW FROM HEMLOCK LAKE TO CITY","LIVINGSTON & MONROE CO","NY","USA",,"42.78","-77.61","(42.78, -77.61)"
"Industrial","NY0003689","CHAUTAUQUA HARDWARE CORP","Surface",,"31-33 WATER ST","JAMESTOWN","NY","USA","14701","42.09","-79.23","(42.09, -79.23)"
"Industrial","NY0296465","Ticonderoga- Republic 2 & Ticonderoga - Whitehall 3",,,"Multiple locations","Crown Point, Dresden, Moriah, Putnam, Ticonderoga, Whitehall","NY","USA",,"44.08","-73.5","(44.08, -73.5)"
"Municipal","NY0257851","CHAUMONT WWTP","Surface","0.1","ABANDONED STONE QUARRY NORTH OF VILLAGE ON CO RTE 179","CHAUMONT","NY","USA","13622","44.07","-76.13","(44.07, -76.13)"
"Municipal","NY0025739","TOWN OF BETHLEHEM - CEDAR HILL WPCP","Surface","6","98 DINMORE RD & ST RTE 144","SELKIRK","NY","USA","12158","42.54","-73.76","(42.54, -73.76)"
"Municipal","NY0269573","CANASERAGA WWTP","Surface","0.1","ST RTE 70 - N SIDE - S OF CANASERAGA CRK - JUST E OF VILLAGE LINE","CANASERAGA","NY","USA","14822","42.47","-77.77","(42.47, -77.77)"
"Municipal","NY0030139","VOORHEESVILLE - V SD 1 STP","Surface","0.11","STONINGTON HILL RD","VOORHEESVILLE","NY","USA","12186","42.65","-73.93","(42.65, -73.93)"
"Municipal","NY0239682","WILLSBORO SEWER DISTRICT NO. 1 WASTEWATER TREATMENT FACILITY","Surface","0.075","76 GILLILAND LN","WILLSBORO","NY","USA","12996","44.37","-73.39","(44.37, -73.39)"
"Industrial","NY0110744","EASTERN ALLOYS INC","Surface",,"11 HENRY HENNING DR","MAYBROOK","NY","USA","12543","41.51","-74.2","(41.51, -74.2)"
"Municipal","NY0022772","COEYMANS-RAVENA WATER POLLUTION CONTROL FACILITY","Surface","0.82","67 SEWER PLANT ACCESS RD - S MAIN ST & ST RTE 144","COEYMANS","NY","USA","12045","42.47","-73.79","(42.47, -73.79)"
"Industrial","NY0261475","STEVE'S CAR WASH","Ground",,"2331 ST RTE 66","GHENT","NY","USA",,"42.33","-73.61","(42.33, -73.61)"
"Industrial","NY0090123","KELLEY MEATS LLC","Ground","0.0015","8937 BECKWITH RD","TABERG","NY","USA","13471","43.31","-75.62","(43.31, -75.62)"
"Municipal","NY0028401","ALBION JOINT MUNICIPAL INDUSTRIAL STP","Surface","2.3","14740 DENSMORE ST","GAINES","NY","USA",,"43.25","-78.17","(43.25, -78.17)"
"Industrial","NY0267091","Suffolk County Water Authority","Ground","0.086","ENTIRE WATER DISTRICT WIDE","SUFFOLK","NY","USA",,"40.96","-72.26","(40.96, -72.26)"
"Industrial","NY0242896","ALLEGANY GENERATING STATION","Surface",,"11537 ST RTE 19A","Hume","NY","USA","14536","42.5","-78.07","(42.5, -78.07)"
"Industrial","NY0248029","ORANGE COUNTY TERMINALS","Surface",,"6 SLEEPY HOLLOW RD|RIVER & HOOK RDS","PORT JERVIS","NY","USA","12771","41.41","-74.73","(41.41, -74.73)"
"Industrial","NY0084689","MARKIN TUBING","Ground","0.018","1 MARKIN LN","WYOMING","NY","USA","14591","42.84","-78.05","(42.84, -78.05)"
"Industrial","NY0206148","HAIG GRAPHIC COMMUNICATIONS","Ground",,"690 OLD WILLETS PATH","HAUPPAUGE","NY","USA","11788","40.81","-73.23","(40.81, -73.23)"
"Industrial","NY0257753","HAROLD F WOOLSHLAGER WATER PLANT","Both","0.01","NUMBER FOUR RD","WATSON","NY","USA","13367","43.82","-75.33","(43.82, -75.33)"
"Industrial","NY0028495","SPRAGUE OPERATING RESOURCES LLC","Surface","0.005","1 BAY BLVD","LAWRENCE","NY","USA","11559","40.63","-73.74","(40.63, -73.74)"
"Municipal","NY0107051","PLEASANT STREET SEWER DISTRICT #2","Ground","0.004","PLEASANT ST","VOORHEESVILLE","NY","USA","12186","42.65","-73.92","(42.65, -73.92)"
"Industrial","NY0246506","CORELLE BRANDS LLC","Surface",,"1 STEUBEN ST","CORNING","NY","USA","14830","42.14","-77.04","(42.14, -77.04)"
"Municipal","NY0035131","CENTRAL SQUARE - V STP","Surface","0.45","ST RTE 49 E - S SIDE","CENTRAL SQUARE","NY","USA","13036","43.28","-76.14","(43.28, -76.14)"
"Industrial","NY0271217","TOWN SWIM POND","Surface",,"29 RECREATION CTR RD","BEEKMAN","NY","USA",,"41.62","-73.7","(41.62, -73.7)"
"Industrial","NY0157121","NYS DOT RES ENG SUBHDQTRS GRANBY","Surface","0.0011","RATHBURN RD","GRANBY","NY","USA",,"43.33","-76.5","(43.33, -76.5)"
"Municipal","NY0036790","EAST ONEIDA LAKE SD WWT FAC","Surface","2","3100 VIENNA RD","SYLVAN BEACH","NY","USA","13157","43.21","-75.72","(43.21, -75.72)"
"Industrial","NY0260347","SOS FUEL COMPANY","Surface",,"10 E VILLAGE RD","TUXEDO","NY","USA","10987","41.19","-74.18","(41.19, -74.18)"
"Industrial","NY0252344","OSPREY DOMINION VINEYARD & WINERY","Ground","0.0014","44075 MAIN RD (ST RTE 25)","MATTITUCK","NY","USA","11952","41.04","-72.45","(41.04, -72.45)"
"Municipal","NY0215911","REDWOOD SEWER DISTRICT","Surface","0.042","OLD ST RTE 37","THERESA","NY","USA","13691","44.29","-75.8","(44.29, -75.8)"
"Industrial","NY0109932","WORLD FINANCIAL CENTER","Surface","19.2","250 VESEY ST","NEW YORK","NY","USA","10167","40.71","-74.02","(40.71, -74.02)"
"Industrial","NY0025453","CALVERTON STP","Surface","0.009","4062 GRUMMAN BLVD|135.20-1-12","CALVERTON","NY","USA","11933","40.92","-72.75","(40.92, -72.75)"
"Industrial","NY0250929","DUNWOODIE CENTRAL SUBSTATION","Surface",,"MARCO & SMART AVE","YONKERS","NY","USA","10704","40.94","-73.86","(40.94, -73.86)"
"Industrial","NY0000078","GARLOCK SEALING TECHNOLOGIES","Surface","0.045","1666 DIVISION ST","PALMYRA","NY","USA","14522","43.07","-77.22","(43.07, -77.22)"
"Industrial","NY0265276","AGRI-CYCLE COMPOSTING FACILITY","Surface","0.004","BELLE RD","BUSKIRK","NY","USA","12028","42.98","-73.43","(42.98, -73.43)"
"Industrial","NY0231878","CORNELL UNIVERSITY CENTRAL ENERGY PLANT","Surface",,"COLLEGE AVE","ITHACA","NY","USA","14853","42.44","-76.48","(42.44, -76.48)"
"Industrial","NY0171352","ERIE CO E AURORA HWY MAINTENANCE CTR","Surface","0.0008","119 ELLICOTT RD|RT 240","EAST AURORA","NY","USA","14052","42.73","-78.69","(42.73, -78.69)"
"Industrial","NY0215601","BARRETT PAMELIA MATERIALS - WATERTOWN FACILITY","Surface","0.002","26572 ST RTE 37 - N OF ST RTE 342","WATERTOWN","NY","USA","13601","44.05","-75.9","(44.05, -75.9)"
"Municipal","NY0032051","ELMA SD #4 BRIGGSWOOD","Surface","0.02","JACKMAN LN","ELMA","NY","USA","14059","42.85","-78.65","(42.85, -78.65)"
"Industrial","NY0269379","ASHE OIL CO","Surface",,"5540 WOLFSPRING RD","SCIO","NY","USA","14880","42.1","-78.04","(42.1, -78.04)"
"Municipal","NY0199214","FISHERS ISLAND SEWAGE TREATMENT PLANT","Ground","0.021","FOX LN","FISHERS ISLAND","NY","USA","6390","41.25","-72.03","(41.25, -72.03)"
"Municipal","NY0165891","PAWLING JOINT SEWER COMMISSION WWTP","Surface","0.28","39 CORBIN RD","PAWLING","NY","USA","12564","41.57","-73.59","(41.57, -73.59)"
"Industrial","NY0002950","MOENCH TANNING CO","Surface","0.376","465 PALMER ST","GOWANDA","NY","USA","14070","42.45","-78.92","(42.45, -78.92)"
"Municipal","NY0022501","ALEXANDRIA BAY WWTP","Surface","0.75","35 ANTHONY ST","ALEXANDRIA BAY","NY","USA","13607","44.34","-75.91","(44.34, -75.91)"
"Municipal","NY0022713","VICTOR - V STP","Surface","0.5","1250 BRACE RD","VICTOR","NY","USA","14564","42.98","-77.4","(42.98, -77.4)"
"Industrial","NY0261777","TESSY PLASTICS - SKANEATELES FACILITY","Surface",,"700 VISIONS DR","SKANEATELES FALLS","NY","USA","13153","42.99","-76.46","(42.99, -76.46)"
"Municipal","NY0026701","MAMARONECK WWTP","Surface","20.6","W BOSTON POST RD","WHITE PLAINS","NY","USA","10601","40.95","-73.73","(40.95, -73.73)"
"Industrial","NY0121053","SEAVEY RD QUARRY","Surface","0.075","164 SEAVEY RD","GOUVERNEUR","NY","USA","13642","44.38","-75.47","(44.38, -75.47)"
"Industrial","NY0094251","ALLIED WASTE NIAGARA FALLS LANDFILL","Surface","0.4","56TH ST & NIAGARA FALLS BLVD","NIAGARA FALLS","NY","USA","14304","43.1","-78.99","(43.1, -78.99)"
"Municipal","NY0060992","VILLAGE OF FISHKILL STP","Surface","0.45","4 JACKSON ST","FISHKILL","NY","USA","12524","41.53","-73.9","(41.53, -73.9)"
"Industrial","NY0266396","ALLIANT TECHSYSTEMS OPERATIONS LLC","Ground","0.0049","77 RAYNOR AVE","RONKONKOMA","NY","USA","11779","40.8","-73.11","(40.8, -73.11)"
"Municipal","NY0271420","VILLAGE OF RED HOOK STP","Surface","0.025","US RTE 9 - W SIDE BETWEEN CAMBRIDGE & GARDEN STS","RED HOOK","NY","USA",,"41.99","-73.88","(41.99, -73.88)"
"Municipal","NY0029262","OWEGO - V STP","Surface","1","75 SOUTHSIDE DR - N OF I-86 (ST RTE 17) @ EXIT 64","OWEGO","NY","USA","13827","42.09","-76.27","(42.09, -76.27)"
"Industrial","NY0105180","PONTAC HOLDING PROPERTY","Surface","0","169 WESTERN AVE","WEST NYACK","NY","USA","10994","41.09","-73.96","(41.09, -73.96)"
"Industrial","NY0255882","WAWBEEK MAINTENANCE SUBHEADQUARTERS","Ground","0.0005","ST RTES 3 & 30 W OF WAWBEEK","WAWBEEK","NY","USA","12986","44.24","-74.38","(44.24, -74.38)"
"Industrial","NY0006092","IMERYS WOLLASTONITE PLANT","Surface","0.003","803 MOUNTAIN VIEW DR","WILLSBORO","NY","USA","12996","44.36","-73.4","(44.36, -73.4)"
"Industrial","NY0266736","Suffolk County Water Authority","Ground","0.086","ENTIRE WATER DISTRICT WIDE","SUFFOLK","NY","USA",,"40.96","-72.26","(40.96, -72.26)"
"Industrial","NY0159930","KANONA TRUCK STOP","Ground","0.0054","7748 ST RTE 53|EXIT 37 OF I-86","KANONA","NY","USA","14810","42.38","-77.36","(42.38, -77.36)"
"Industrial","NY0264300","MCENROE ORGANIC COMPOSTING","Ground","0.0039","CO RTE 58 - OPPOSITE CO RTE 61","NORTHEAST","NY","USA",,"41.9","-73.52","(41.9, -73.52)"
"Industrial","NY0200506","PATH TUNNELS A & B","Surface","0.0007","WORLD TRADE CENTER","NEW YORK","NY","USA","10048","40.71","-74.01","(40.71, -74.01)"
"Industrial","NY0229172","EAGLE ISLAND WATER SUPPLY","Surface","0.0016","EAGLE ISLAND","HURON","NY","USA",,"43.26","-76.95","(43.26, -76.95)"
"Municipal","NY0110493","FREEVILLE - V STP","Surface","0.125","DPW DR","FREEVILLE","NY","USA","13068","42.51","-76.34","(42.51, -76.34)"
"Industrial","NY0256536","VILLAGE OF SARANAC LAKE - 3 MAIN ST BUILDING","Surface",,"3 MAIN ST","SARANAC LAKE","NY","USA","12983","44.32","-74.13","(44.32, -74.13)"
"Municipal","NY0024201","COBLESKILL-V-WATER POLL CONTROL PLANT","Surface","1.8","EAST MACARTHUR AVE","COBLESKILL","NY","USA","12043","42.68","-74.48","(42.68, -74.48)"
"Industrial","NY0279862","UNION TERMINALS","Ground","0.57","201 Union Blvd","West Islip","NY","USA","11795","40.71","-73.31","(40.71, -73.31)"
"Industrial","NY0004243","KERRY","Surface","2.3","158 ST RTE 320","NORWICH","NY","USA","13815","42.55","-75.52","(42.55, -75.52)"
"Industrial","NY0220621","BAYPORT SHOPPES LAUDROMAT","Ground","0.018","885 MONTAUK HWY","BAYPORT","NY","USA","11705","40.75","-73.05","(40.75, -73.05)"
"Industrial","NY0226831","LAUNDERMAGIC OF PATCHOGUE","Ground",,"770 MONTAUK HWY","EAST PATCHOGUE","NY","USA","11772","40.77","-72.99","(40.77, -72.99)"
"Industrial","NY0268925","GORMAN TERMINALS","Surface",,"290 RIVERSIDE AVE","RENSSELAER","NY","USA","12144","42.62","-73.75","(42.62, -73.75)"
"Municipal","NY0094480","SKANEATELES (V) WWTP","Surface","0.85","26 FENNELL ST","SKANEATELES","NY","USA","13152","42.96","-76.44","(42.96, -76.44)"
"Industrial","NY0008575","ONTARIO WTP","Surface","0.7","1633 RATHBURN RD","OSWEGO","NY","USA","13126","43.43","-76.52","(43.43, -76.52)"
"Industrial","NY0035530","WILLIAMSON - T WATER TREAT PLT","Surface",,"7901 HAMILTON ST EXT","WILLIAMSON","NY","USA","14589","43.28","-77.19","(43.28, -77.19)"
"Industrial","NY0259772","EXIT 7 PALISADES PKY MAINTENANCE FAC","Surface","0.0011","TOWN LINE RD","WEST NYACK","NY","USA","10994","41.09","-73.99","(41.09, -73.99)"
"Municipal","NY0021822","OYSTER BAY SEWAGE TREATMENT PLANT","Surface","1.8","15 BAY AVE|27-A-6","OYSTER BAY","NY","USA","11771","40.88","-73.53","(40.88, -73.53)"
"Municipal","NY0266167","Corinth WWTP","Surface","0.79","37 White St","Corinth","NY","USA","12822","43.25","-73.82","(43.25, -73.82)"
"Industrial","NY0282677","PORT OF COEYMANS","Surface","0.02","2170 ST RTE 144","COEYMANS","NY","USA","12045","42.48","-73.79","(42.48, -73.79)"
"Municipal","NY0031411","RICHFIELD SPRINGS WASTEWATER TREATMENT PLANT","Surface","0.6","140 BLOOMFIELD DR","RICHFIELD SPRNGS","NY","USA","13439","42.85","-74.99","(42.85, -74.99)"
"Municipal","NY0024929","WHITEHALL STP","Surface","1.7","RIVERSIDE DR","WHITEHALL","NY","USA","12887","43.55","-73.4","(43.55, -73.4)"
"Industrial","NY0256340","HOGANSBURG RES ENG SUBHEADQUARTERS","Ground",,"ST RTE 95 - S OF ST RTE 37","HOGANSBURG","NY","USA","13655","44.96","-74.64","(44.96, -74.64)"
"Industrial","NY0279803","215 DEPOT ROAD REALTY CORP","Ground","0.025","215 DEPOT RD","HUNTINGTON STATION","NY","USA","11746","40.84","-73.4","(40.84, -73.4)"
"Industrial","NY0280160","BELLOWS POND RD WELL FIELD - PLANT NO. 4","Ground","0.092","60 BELLOWS POND RD","HAMPTON BAYS","NY","USA","11946","40.88","-72.55","(40.88, -72.55)"
"Industrial","NY0075078","METRO NORTH RR BREWSTER YARD","Surface","0.072","PROSPECT HILL RD - PUTNAM JCT","BREWSTER","NY","USA","10509","41.41","-73.62","(41.41, -73.62)"
"Municipal","NY0023337","POTSDAM SEWER DISTRICT NO 1 STP","Surface","0.043","SISSONVILLE RD","UNIONVILLE","NY","USA","13676","44.72","-74.99","(44.72, -74.99)"
"Municipal","NY0149209","TRI-MUNICIPAL WWTP","Surface","2.775","171 SHEAFE RD","WAPPINGERS FALLS","NY","USA","12590","41.61","-73.94","(41.61, -73.94)"
"Industrial","NY0227030","LI RAIL ROAD - OYSTER BAY YARD","Ground",,"1 RAIL RD PLZ","OYSTER BAY","NY","USA","11771","40.87","-73.53","(40.87, -73.53)"
"Industrial","NY0260053","HWY MAINTENANCE SUBHQTRS","Surface","0.0007","CO RTE 175 AT ST RTE 17","LIBERTY","NY","USA","12754","41.78","-74.73","(41.78, -74.73)"
"Municipal","NY0022403","LITTLE FALLS WASTEWATER TREATMENT PLANT","Surface","7","223 RIVER RD E","LITTLE FALLS","NY","USA","13365","43.04","-74.84","(43.04, -74.84)"
"Municipal","NY0248983","HULETTS LANDING SEWER DISTRICT NO 1","Ground","0.0275","BROOK WAY OFF CO RTE 6B","HULETTS LANDING","NY","USA","12841","43.64","-73.5","(43.64, -73.5)"
"Industrial","NY0000311","PACTIV LLC","Surface","0.11","5250 NORTH ST","CANANDAIGUA","NY","USA","14424","42.91","-77.3","(42.91, -77.3)"
"Municipal","NY0028363","MARATHON - V STP","Surface","0.2","FRONT ST EXT","MARATHON","NY","USA","13803","42.43","-76.03","(42.43, -76.03)"
"Industrial","NY0244872","TESSY PLASTICS - ELBRIDGE CAMPUS","Surface",,"488 ST RTE 5 W|1300' W OF HAMILTON RD","ELBRIDGE","NY","USA","13021","43.03","-76.47","(43.03, -76.47)"
"Industrial","NY0266612","RCF FUEL OIL CORP","Ground",,"274-D W MONTAUK HWY","HAMPTON BAYS","NY","USA",,"40.87","-72.55","(40.87, -72.55)"
"Industrial","NY0108472","YRC FREIGHT-MAYBROOK TERMINAL 123","Surface",,"1000 HOMESTEAD AVE","MAYBROOK","NY","USA","12543","41.5","-74.21","(41.5, -74.21)"
"Industrial","NY0004421","AMERICAN FELT & FILTER CO","Surface","0.043","WALSH AVE","NEW WINDSOR","NY","USA","12553","41.49","-74.02","(41.49, -74.02)"
"Industrial","NY0027120","ERIE CO STURGEON POINT WATER TRTMNT PLT","Surface","0.915","722 STURGEON PT RD","DERBY","NY","USA","14047","42.69","-79.04","(42.69, -79.04)"
"Municipal","NY0023965","CLYDE - V STP","Surface","0.4","45 FORD ST","CLYDE","NY","USA","14433","43.08","-76.87","(43.08, -76.87)"
"Industrial","NY0263141","DOT SPRINGFIELD MAINTENANCE SUBHEADQTRS","Surface",,"4675 US RTE 20","SPRINGFIELD","NY","USA",,"42.84","-74.89","(42.84, -74.89)"
"Industrial","NY0100846","CITY OF ONEIDA WATER TREATMENT PLANT","Surface","0.1","10176 GLENMORE RD","ANNSVILLE","NY","USA",,"43.35","-75.62","(43.35, -75.62)"
"Industrial","NY0268151","SHANDAKEN TUNNEL OUTLET","Surface",,"7148 ST RTE 28","SHANDAKEN","NY","USA","12480","42.11","-74.36","(42.11, -74.36)"
"Industrial","NY0245089","INDECK OLEAN ENERGY CENTER","Surface",,"140 MOORE AVE","OLEAN","NY","USA","14760","42.09","-78.45","(42.09, -78.45)"
"Industrial","NY0107760","TIFFEN MFG CORP","Ground","0.004","90 OSER AVE","HAUPPAUGE","NY","USA","11787","40.82","-73.24","(40.82, -73.24)"
"Industrial","NY0211923","Greenlawn Village Laundromat","Ground","0.015","80 A BROADWAY","GREENLAWN","NY","USA","11740","40.87","-73.36","(40.87, -73.36)"
"Industrial","NY0150100","CHARLES RIVER LABORATORY","Surface","0.016","3121 NYS RTE 209","STONE RIDGE","NY","USA","12484","41.87","-74.12","(41.87, -74.12)"
"Municipal","NY0207004","VILLAGE OF THERESA WWTF","Surface","0.068","124 COMMERCIAL ST","THERESA","NY","USA","13691","44.22","-75.8","(44.22, -75.8)"
"Municipal","NY0030899","WATERVLIET - V COMBINED SEWER OVERFLOWS","Surface","0.013","HUDSON RIVER","WATERVLIET","NY","USA","12189","42.71","-73.7","(42.71, -73.7)"
"Municipal","NY0022136","ECSD NO 6 LACKAWANNA WATER RESOURCE RECOVERY FACILITY","Surface","4.5","260 LEHIGH AVE|NE CORNER OF WILLMUTH & WELL STS","LACKAWANNA","NY","USA","14218","42.82","-78.84","(42.82, -78.84)"
"Industrial","NY0203483","HUNTLEY FLY ASH LANDFILL","Surface",,"RIVER RD","TONAWANDA","NY","USA","14150","42.99","-78.93","(42.99, -78.93)"
"Municipal","NY0026841","BELGRAVE WPCD","Surface","2","34-01 255TH ST|2/374/8-11","GREAT NECK","NY","USA","11022","40.78","-73.74","(40.78, -73.74)"
"Industrial","NY0033065","BARTON ROAD QUARRY","Surface","0.009","91 BARTON RD","LANCASTER","NY","USA","14086","42.95","-78.65","(42.95, -78.65)"
"Industrial","NY0218723","POUGHKEEPSIE CORP CENTER","Surface","0.145","350 DUTCHESS TPKE","POUGHKEEPSIE","NY","USA","12603","41.71","-73.87","(41.71, -73.87)"
"Industrial","NY0270237","POULIN GRAIN INC","Ground",,"6005 US RTE 11","CANTON","NY","USA","13617","44.6","-75.14","(44.6, -75.14)"
"Industrial","NY0007242","LEHIGH NORTHEAST CEMENT CO - CEMENTON TERMINAL","Ground",,"120 ALPHA BLVD US RTE 9W","CEMENTON","NY","USA","12415","42.14","-73.91","(42.14, -73.91)"
"Industrial","NY0201243","ASTORIA CENTRAL WTF","Surface",,"20TH AVE & 23RD ST","ASTORIA","NY","USA",,"40.78","-73.91","(40.78, -73.91)"
"Industrial","NY0282260","KEARNEY PIT","Surface","0.03","121 COLUMBIA CO RTE 31 (BLUE HILL RD)","HUDSON","NY","USA","12534","42.2","-73.8","(42.2, -73.8)"
"Industrial","NY0258407","NYS DOT MAINTENANCE SUBHEADQUARTERS","Surface","0.0005","4222 ST RTE 417","OLEAN","NY","USA","14760","42.11","-78.53","(42.11, -78.53)"
"Industrial","NY0244139","SUPERIOR PLUS ENERGY SERVICES - CORTLAND","Surface",,"US RTE 11 E OF CORTLAND @ POLKVILLE","CORTLANDVILLE","NY","USA",,"42.59","-76.14","(42.59, -76.14)"
"Industrial","NY0264911","PELLEH POULTRY","Ground",,"522 HAPPY AVE","BETHEL","NY","USA","12783","41.71","-74.86","(41.71, -74.86)"
"Municipal","NY0020672","HAMILTON - V WATER POLLUTION CONTROL PLANT","Surface","0.85","81 COLLEGE ST","HAMILTON","NY","USA","13346","42.82","-75.55","(42.82, -75.55)"
"Municipal","NY0021334","WESTFIELD WATER POLLUTION CONTROL FACILITY","Surface","2.6","OLD HAWLEY ST","WESTFIELD","NY","USA","14787","42.33","-79.59","(42.33, -79.59)"
"Industrial","NY0000418","MORTON SALT INC","Surface","0.2","45 RIBAUD AVE E","SILVER SPRINGS","NY","USA","14550","42.66","-78.08","(42.66, -78.08)"
"Municipal","NY0027154","WALTON - V WWTP","Surface","1.55","SOUTH ST","WALTON","NY","USA","13856","42.16","-75.14","(42.16, -75.14)"
"Industrial","NY0260185","EASTVIEW MAINTENANCE FACILITY","Surface","0.001","92 OLD SAW MILL RIVER DR","EASTVIEW","NY","USA",,"41.08","-73.82","(41.08, -73.82)"
"Municipal","NY0030732","BRASHER FALLS SEWER DIST STP","Surface","0.2","11 FACTORY ST","BRASHER FALLS","NY","USA","13613","44.81","-74.77","(44.81, -74.77)"
"Industrial","NY0281018","WARWICK BREW FARM","Ground","0.0038","10 FENCE RD","WARWICK","NY","USA","10990","41.3","-74.4","(41.3, -74.4)"
"Municipal","NY0026450","South Shore Water Reclamation Facility (formerly know as the Bay Park Sewage Treatment Plant)","Surface","70","2 MARJORIE LN","EAST ROCKAWAY","NY","USA","11518","40.63","-73.66","(40.63, -73.66)"
"Municipal","NY0024538","LOCH SHELDRAKE WWTP","Surface","0.7","1077 ST RTE 52 | N OF EVENS LAKE","LOCH SHELDRAKE","NY","USA","12759","41.77","-74.65","(41.77, -74.65)"
"Industrial","NY0101753","ENVIRO WASTE OIL RECOVERY TERMINAL","Surface",,"279 US RTE 6","MAHOPAC","NY","USA","10541","41.35","-73.75","(41.35, -73.75)"
"Industrial","NY0101583","CUTCO CUTLERY CORPORATION","Surface","0.031","1116 E STATE ST","OLEAN","NY","USA","14760","42.07","-78.41","(42.07, -78.41)"
"Industrial","NY0001988","FORMER CARBORUNDUM COMPLEX","Surface","0.18","2040 CORY RD","SANBORN","NY","USA","14132","43.13","-78.94","(43.13, -78.94)"
