"company","street_1","street_2","city","state","zip_code","georeference"
"COMMUNITY FINANCIAL SERVICE CENTERS","1034 OGDEN AVENUE",,"BRONX","NY","10452","POINT (-73.928794 40.833979)"
"RITECHECK CASHING","2418 WILLIAMSBRIDGE ROAD",,"BRONX","NY","10461","POINT (-73.857645 40.861689)"
"NYC TRANSIT MUSEUM SHOP-BROOKLYN","99 SCHERMERHORN STREET",,"BROOKLYN","NY","11201","POINT (-73.989803 40.690392)"
"DMV-HAUPPAUGE MVO","250 VETERANS MEMORIAL HWY",,"HAUPPAUGE","NY","11788","POINT (-73.220303 40.824429)"
"CHECK TIME","224 BROADWAY",,"BROOKLYN","NY","11211","POINT (-73.960793 40.709425)"
"RITECHECK CASHING","426 EAST 138TH STREET",,"BRONX","NY","10454","POINT (-73.921823 40.808655)"
"COMMUNITY FINANCIAL SERVICE CENTERS","31-88 21ST SREET",,"LONG ISLAND CITY","NY","11106",
"DMV-COLLEGE POINT MVO","30-56 WHITESTONE EXPY",,"FLUSHING","NY","11354","POINT (-73.836613 40.769802)"
"RITECHECK CASHING","583 EAST 138TH STREET",,"BRONX","NY","10454","POINT (-73.916731 40.806507)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1661 METROPOLITAN AVE",,"BRONX","NY","10462","POINT (-73.855514 40.840535)"
"DMV-BROOKLYN MVO & LIC CTR","625 ATLANTIC AVENUE",,"BROOKLYN","NY","11217","POINT (-73.974094 40.683159)"
"DMV-MEDFORD MVO","2799 ROUTE 112",,"MEDFORD","NY","11763","POINT (-72.99554 40.825457)"
"THE CHECK CASHING STORE","111-24 ROOSEVELT AVENUE",,"CORONA","NY","11368","POINT (-73.854929 40.751881)"
"AAA SMITHTOWN","729 SMITHTOWN BYPASS","ROUTE 347","SMITHTOWN","NY","11787","POINT (-73.166516 40.849183)"
"COMMUNITY FINANCIAL SERVICE CENTERS","735 FLATBUSH AVENUE",,"BROOKLYN","NY","11226","POINT (-73.959738 40.655032)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2033 2ND AVE",,"NEW YORK","NY","10029","POINT (-73.943133 40.78966)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1213 JEROME AVENUE",,"BRONX","NY","10452","POINT (-73.922535 40.836028)"
"COMMUNITY FINANCIAL SERVICE CENTERS","25 WILLOUGHBY STREET",,"BROOKLYN","NY","11201","POINT (-73.987837 40.692264)"
"AAA BROOKLYN","2334 RALPH AVENUE",,"BROOKLYN","NY","11234","POINT (-73.91742 40.621012)"
"AAA FAIRFIELD","1201 KINGS HIGHWAY",,"FAIRFIELD","CT","6824","POINT (-73.235985 41.163709)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2292 CROTONA AVENUE",,"BRONX","NY","10458","POINT (-73.884206 40.852751)"
"RITECHECK CASHING","2500 7TH AVENUE",,"NEW YORK","NY","10039","POINT (-73.939033 40.821847)"
"COMMUNITY FINANCIAL SERVICE CENTERS","189 W 231ST STREET",,"BRONX","NY","10463","POINT (-73.904333 40.878747)"
"FLATLANDS CHECK CASHING","1411 ROCKAWAY PARKWAY",,"BROOKLYN","NY","11236","POINT (-73.902781 40.645561)"
"DMV-SPRINGFIELD GARDENS MVO","168-35 ROCKAWAY BLVD",,"JAMAICA","NY","11434","POINT (-73.771564 40.658505)"
"CHECK CHANGERS","348 LIBERTY AVENUE",,"BROOKLYN","NY","11207","POINT (-73.897152 40.674309)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1815 GRAND CONCOURSE",,"BRONX","NY","10453","POINT (-73.908353 40.847359)"
"AAA MILFORD","302 WOODMONT ROAD",,"MILFORD","CT","6460","POINT (-73.017142 41.236845)"
"ACTION CHECK CASHING","9716 CHURCH AVENUE",,"BROOKLYN","NY","11212","POINT (-73.914184 40.656524)"
"COMMUNITY FINANCIAL SERVICE CENTERS","167 E 87TH STREET",,"NEW YORK","NY","10128","POINT (-73.954394 40.779868)"
"COMMUNITY FINANCIAL SERVICE CENTERS","36 W KINGSBRIDGE ROAD",,"BRONX","NY","10468","POINT (-73.899077 40.867804)"
"AAA WATERBURY","835 WOLCOTT STREET",,"WATERBURY","CT","6705","POINT (-73.009131 41.564623)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2031 JEROME AVENUE",,"BRONX","NY","10453","POINT (-73.907727 40.853431)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2686 3RD AVENUE",,"BRONX","NY","10454","POINT (-73.922663 40.813442)"
"COMMUNITY FINANCIAL SERVICE CENTERS","535 SOUTHERN BLVD",,"BRONX","NY","10455","POINT (-73.903827 40.812219)"
"COMMUNITY FINANCIAL SERVICE CENTERS","361 COURT STREET",,"BROOKLYN","NY","11231","POINT (-73.996173 40.681797)"
"AAA GARDEN CITY","1140 FRANKLIN AVENUE",,"GARDEN CITY","NY","11530","POINT (-73.63571 40.729763)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1014 CORTELYOU ROAD",,"BROOKLYN","NY","11218","POINT (-73.968421 40.63942)"
"COMMUNITY FINANCIAL SERVICE CENTERS","15 E 183RD STREET",,"BRONX","NY","10453","POINT (-73.90331 40.858582)"
"COMMUNITY FINANCIAL SERVICE CENTERS","158 E 45TH STREET",,"NEW YORK","NY","10017","POINT (-73.973815 40.753014)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2254 1ST AVENUE",,"NEW YORK","NY","10029","POINT (-73.935526 40.795863)"
"AAA MANHATTAN","1881 BROADWAY",,"NEW YORK","NY","10023","POINT (-73.982264 40.770926)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1869 2ND AVE",,"NEW YORK","NY","10029","POINT (-73.946887 40.78452)"
"WEGMAN'S SUPERMARKET","15 WASHINGTON AVENUE",,"BROOKLYN","NY","11205","POINT (-73.967489 40.701952)"
"DMV-MIDTOWN MANHATTAN MVO","366 WEST 31ST STREET",,"NEW YORK","NY","10001","POINT (-73.997836 40.751559)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2559 STEINWAY STREET",,"ASTORIA","NY","11103","POINT (-73.912869 40.766511)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1801 UNIVERSITY AVENUE",,"BRONX","NY","10453","POINT (-73.915534 40.850545)"
"DMV-BRONX MVO","696 EAST FORDHAM ROAD",,"BRONX","NY","10458","POINT (-73.882221 40.857492)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1488 WILLIAMSBRIDGE ROAD",,"BRONX","NY","10461","POINT (-73.845933 40.844182)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1316 5TH AVE",,"NEW YORK","NY","10026","POINT (-73.948881 40.797342)"
"COMMUNITY FINANCIAL SERVICE CENTERS","3445 BOSTON POST ROAD",,"BRONX","NY","10469","POINT (-73.848304 40.876413)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2081 LEXINGTON AVENUE",,"NEW YORK","NY","10035","POINT (-73.937052 40.804884)"
"COMMUNITY FINANCIAL SERVICE CENTERS","544 E FORDHAM ROAD",,"BRONX","NY","10458","POINT (-73.88691 40.859279)"
"COMMUNITY FINANCIAL SERVICE CENTERS","103-43 LEFFERTS BLVD",,"RICHMOND HILL","NY","11419","POINT (-73.824443 40.686791)"
"COMMUNITY FINANCIAL SERVICE CENTERS","473 LENOX AVENUE",,"NEW YORK","NY","10037","POINT (-73.941601 40.813228)"
"DMV-HUNTINGTON MVO","BIG H SHOPPING CENTER","813 NEW YORK AVENUE","HUNTINGTON","NY","11743",
"COMMUNITY FINANCIAL SERVICE CENTERS","99 AVENUE C",,"NEW YORK","NY","10009","POINT (-73.978994 40.723892)"
"COMMUNITY FINANCIAL SERVICE CENTERS","7011 18TH AVENUE",,"BROOKLYN","NY","11204","POINT (-73.99335 40.616004)"
"ACTION CHECK CASHING","188-06B JAMAICA AVENUE",,"HOLLIS","NY","11354",
"COMMUNITY FINANCIAL SERVICE CENTERS","84 E 161 STREET",,"BRONX","NY","10451",
"DMV-BRONX LICENSING CENTER","1350 COMMERCE AVENUE",,"BRONX","NY","10461","POINT (-73.840759 40.837082)"
"COMMUNITY FINANCIAL SERVICE CENTERS","358 W 145TH ST",,"NEW YORK","NY","10039","POINT (-73.944136 40.823771)"
"RITECHECK CASHING","571 WEST 125TH STREET",,"NEW YORK","NY","10027","POINT (-73.957919 40.815209)"
"COMMUNITY FINANCIAL SERVICE CENTERS","6218 NEW UTRECHT AVENUE",,"BROOKLYN","NY","11219","POINT (-73.997081 40.625863)"
"AAA HAMDEN","2276 WHITNEY AVENUE",,"HAMDEN","CT","6518","POINT (-72.90296 41.38048)"
"RITECHECK CASHING","2533 FREDERICK DOUGLASS BLVD",,"NEW YORK","NY","10030","POINT (-73.946299 40.816855)"
"DMV-MASSAPEQUA MVO","927 CARMANS ROAD",,"MASSAPEQUA","NY","11758","POINT (-73.43292 40.701552)"
"COMMUNITY FINANCIAL SERVICE CENTERS","87-01 LEFFERTS BLVD",,"RICHMOND HILL","NY","11418","POINT (-73.830809 40.699758)"
"DMV-GARDEN CITY MVO","801 AXINN AVENUE",,"GARDEN CITY","NY","11530","POINT (-73.606516 40.740179)"
"CHECK CHANGERS","2801 86TH STREET",,"BROOKLYN","NY","11214","POINT (-73.979152 40.593062)"
"COMMUNITY FINANCIAL SERVICE CENTERS","94-02 78TH  STREET",,"OZONE PARK","NY","11416","POINT (-73.861595 40.684305)"
"COMMUNITY FINANCIAL SERVICE CENTERS","108-08 GUY BREWER BLVD",,"JAMAICA","NY","11433","POINT (-73.791055 40.696315)"
"RITECHECK CASHING","1264 AMSTERDAM AVENUE",,"NEW YORK","NY","10027","POINT (-73.958076 40.810904)"
"RITECHECK CASHING","2591 WESTCHESTER AVENUE",,"BRONX","NY","10461","POINT (-73.841633 40.840905)"
"CHECK CHANGERS","8317 5TH AVENUE",,"BROOKLYN","NY","11209","POINT (-74.025273 40.62308)"
"M&B CHECK CASHING","916 UTICA AVENUE",,"BROOKLYN","NY","11203","POINT (-73.930271 40.650681)"
"RITECHECK CASHING","2338 8TH AVENUE",,"NEW YORK","NY","10027","POINT (-73.950893 40.810554)"
"DMV-PORT JEFFERSON MVO","3 ROADS PLAZA","1055 ROUTE 112","PORT JEFFERSON STATION","NY","11776","POINT (-73.184697 40.852383)"
"COMMUNITY FINANCIAL SERVICE CENTERS","152 E 111TH STREET",,"NEW YORK","NY","10029","POINT (-73.943883 40.795407)"
"DMV-RICHMOND MVO","1775 SOUTH AVENUE","SUITE 2","STATEN ISLAND","NY","10314","POINT (-74.193879 40.601332)"
"COMMUNITY FINANCIAL SERVICE CENTERS","114-17 ROCKAWAY BEACH BLVD",,"ROCKAWAY BEACH","NY","11694","POINT (-73.835567 40.580269)"
"COMMUNITY FINANCIAL SERVICE CENTERS","127-01 ROCKWAY BLVD",,"SOUTH OZONE PARK","NY","11420","POINT (-73.810596 40.675191)"
"DMV-CONEY ISLAND MVO","2875 WEST 8TH STREET",,"BROOKLYN","NY","11224","POINT (-73.976313 40.577981)"
"DMV-RIVERHEAD MVO","200 OLD COUNTRY ROAD","ROUTE 58","RIVERHEAD","NY","11901","POINT (-72.651192 40.936575)"
"COMMUNITY FINANCIAL SERVICE CENTERS","518 W 145TH STREET",,"NEW YORK","NY","10031","POINT (-73.94876 40.82572)"
"AAA DANBURY","93 LAKE AVENUE",,"DANBURY","CT","6810","POINT (-73.473001 41.388638)"
"COMMUNITY FINANCIAL SERVICE CENTERS","929 SOUTHERN BLVD",,"BRONX","NY","10459","POINT (-73.891917 40.820507)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1503 NEWKIRK AVENUE",,"BROOKLYN","NY","11226","POINT (-73.963051 40.635665)"
"COMMUNITY FINANCIAL SERVICE CENTERS","382 MOTHER GASTON  BLVD",,"BROOKLYN","NY","11212","POINT (-73.906904 40.669767)"
"DMV-JAMAICA MVO","168-46 91ST AVENUE","2ND FLOOR","JAMAICA","NY","11432","POINT (-73.792025 40.707446)"
"COMMUNITY FINANCIAL SERVICE CENTERS","3419 14TH  AVENUE",,"BROOKLYN","NY","11218","POINT (-73.981527 40.641684)"
"COMMUNITY FINANCIAL SERVICE CENTERS","2046A EASTCHESTER ROAD",,"BRONX","NY","10461","POINT (-73.84361 40.854452)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1562 ST. NICHOLAS AVENUE",,"NEW YORK","NY","10040","POINT (-73.930395 40.853886)"
"NYC TRANSIT MUSEUM SHOP-GRAND CENTRAL","89 EAST 42ND STREET","GRAND CENTRAL TERMINAL","NEW YORK","NY","10017","POINT (-73.977862 40.752207)"
"RITECHECK CASHING","815 HUTCHINSON RIVER PKWY",,"BRONX","NY","10465","POINT (-73.836415 40.823598)"
"RITECHECK CASHING","143 BRUCKNER BLVD",,"BRONX","NY","10454","POINT (-73.920205 40.803772)"
"COMMUNITY FINANCIAL SERVICE CENTERS","4418 FORT HAMILTON PARKWAY",,"BROOKLYN","NY","11219","POINT (-73.994625 40.640406)"
"CHECK CHANGERS","615 LIVONIA AVENUE",,"BROOKLYN","NY","11207","POINT (-73.894436 40.664697)"
"COMMUNITY FINANCIAL SERVICE CENTERS","280 E 198TH STREET",,"BRONX","NY","10458","POINT (-73.888644 40.868778)"
"CHECK TIME","2950A AVENUE X",,"BROOKLYN","NY","11235","POINT (-73.939365 40.593953)"
"AAA NORWALK","495 WESTPORT AVENUE",,"NORWALK","CT","6851","POINT (-73.386004 41.127212)"
"COMMUNITY FINANCIAL SERVICE CENTERS","66-33 GRAND  AVENUE",,"MASPETH","NY","11378","POINT (-73.897651 40.724679)"
"CHECK TIME","2346 FLATBUSH AVENUE",,"BROOKLYN","NY","11234","POINT (-73.926157 40.612862)"
"COMMUNITY FINANCIAL SERVICE CENTERS","9305 JAMAICA AVENUE",,"WOODHAVEN","NY","11421","POINT (-73.851819 40.693779)"
"COMMUNITY FINANCIAL SERVICE CENTERS","241 E 167TH ST",,"BRONX","NY","10456","POINT (-73.915132 40.833642)"
"COMMUNITY FINANCIAL SERVICE CENTERS","350 KINGS HIGHWAY",,"BROOKLYN","NY","11223","POINT (-73.977302 40.604802)"
"COMMUNITY FINANCIAL SERVICE CENTERS","785 BROADWAY",,"BROOKLYN","NY","11206","POINT (-73.940704 40.700029)"
"COMMUNITY FINANCIAL SERVICE CENTERS","4229 18TH  AVENUE",,"BROOKLYN","NY","11218","POINT (-73.975682 40.631444)"
"DMV-PENN PLAZA LICENSE EXPRESS","145 WEST 30TH STREET",,"NEW YORK","NY","10001","POINT (-73.99171 40.74816)"
"CHECK CHANGERS","218-56 HEMPSTEAD AVENUE",,"QUEENS VILLAGE","NY","11429","POINT (-73.736143 40.713354)"
"CHECK CHANGERS","8405 20TH AVENUE",,"BROOKLYN","NY","11214","POINT (-73.997093 40.60574)"
"AAA QUEENS","20-11 FRANCIS LEWIS BLVD",,"WHITESTONE","NY","11357","POINT (-73.80225 40.779957)"
"COMMUNITY FINANCIAL SERVICE CENTERS","160 BROAD STREET",,"STATEN ISLAND","NY","10304","POINT (-74.080261 40.624441)"
"BAYCHESTER PAYMENT CENTER","1209 EAST 233RD STREET",,"BRONX","NY","10466","POINT (-73.84313 40.888847)"
"COMMUNITY FINANCIAL SERVICE CENTERS","1297 BOSTON RD",,"BRONX","NY","10456","POINT (-73.899761 40.831487)"
"COMMUNITY FINANCIAL SERVICE CENTERS","3969 WHITE PLAINS ROAD",,"BRONX","NY","10466","POINT (-73.860542 40.887693)"
"QUEENS CHECK CASHING","170-15 JAMAICA AVENUE",,"JAMAICA","NY","11432","POINT (-73.789206 40.707334)"
"COMMUNITY FINANCIAL SERVICE CENTERS","319 AUDUBON AVENUE",,"NEW YORK","NY","10033","POINT (-73.932491 40.848538)"
"RITECHECK CASHING","715 EAST 138TH STREET",,"BRONX","NY","10454","POINT (-73.913459 40.805125)"
"COMMUNITY FINANCIAL SERVICE CENTERS","302 LENOX AVENUE",,"NEW YORK","NY","10027","POINT (-73.945325 40.807843)"
