"name_of_local_government","type_of_local_government","status_as_a_csc","date_adopted_csc_pledge","certification_expiration_date","population_from_2010_census","county","redc_region","dec_regional_office"
"Campbell town","town","Registered","2013-02-11T00:00:00.000",,"3406","Steuben","Southern Tier","8"
"Canaan town","town","Registered","2020-11-09T00:00:00.000",,"1710","Columbia","Capital Region","4"
"Canandaigua city","city","Bronze Certified","2017-07-06T00:00:00.000","2024-08-31T00:00:00.000","10545","Ontario","Finger Lakes","8"
"Canandaigua town","town","Registered","2017-02-13T00:00:00.000",,"10020","Ontario","Finger Lakes","8"
"Canton village","village","Registered","2016-11-21T00:00:00.000",,"6314","St. Lawrence","North Country","6"
"Caroline town","town","Bronze Certified","2012-02-14T00:00:00.000","2024-08-31T00:00:00.000","3282","Tompkins","Southern Tier","7"
"Catskill village","village","Registered","2014-10-08T00:00:00.000",,"4081","Greene","Capital Region","4"
"Cayuga County","County","Registered","2018-03-27T00:00:00.000",,"80026","Cayuga","Central New York","7"
"Cayuga Heights village","village","Registered","2019-06-17T00:00:00.000",,"3729","Tompkins","Southern Tier","7"
"Cazenovia town","town","Bronze Certified","2009-04-13T00:00:00.000","2025-08-31T00:00:00.000","7086","Madison","Central New York","7"
"Cazenovia village","village","Bronze Certified","2014-04-02T00:00:00.000","2025-09-30T00:00:00.000","2835","Madison","Central New York","7"
"Chatham town","town","Registered","2015-07-16T00:00:00.000",,"4128","Columbia","Capital Region","4"
"Chemung County","County","Registered","2021-06-14T00:00:00.000",,"88830","Chemung","Southern Tier","8"
"Chenango County","County","Registered","2021-03-08T00:00:00.000",,"50477","Chenango","Southern Tier","7"
"Cherry Valley village","village","Registered","2019-10-21T00:00:00.000",,"520","Otsego","Mohawk Valley","4"
"Chester town","town","Registered","2019-05-14T00:00:00.000",,"11981","Warren","Capital Region","5"
"Clarendon town","town","Registered","2014-06-17T00:00:00.000",,"3648","Orleans","Finger Lakes","8"
"Clarkstown town","town","Registered","2011-05-17T00:00:00.000",,"84187","Rockland","Mid-Hudson","3"
"Claverack town","town","Registered","2020-08-13T00:00:00.000",,"6021","Columbia","Capital Region","4"
"Clermont town","town","Registered","2021-06-07T00:00:00.000",,"1965","Columbia","Capital Region","4"
"Clifton Park town","town","Registered","2009-10-05T00:00:00.000",,"36705","Saratoga","Capital Region","5"
"Clifton Springs village","village","Registered","2017-07-10T00:00:00.000",,"2127","Ontario","Finger Lakes","8"
"Clinton town","town","Registered","2017-07-11T00:00:00.000",,"737","Dutchess","Mid-Hudson","3"
"Clinton village","village","Registered","2020-03-02T00:00:00.000",,"1942","Oneida","Mohawk Valley","6"
"Cobleskill village","village","Registered","2017-07-28T00:00:00.000",,"4678","Schoharie","Mohawk Valley","4"
"Cochecton town","town","Registered","2013-11-13T00:00:00.000",,"1372","Sullivan","Mid-Hudson","3"
"Cohoes city","city","Registered","2009-04-28T00:00:00.000",,"16168","Albany","Capital Region","4"
"Colonie town","town","Registered","2018-02-08T00:00:00.000",,"81591","Albany","Capital Region","4"
"Columbia County","County","Registered","2020-11-10T00:00:00.000",,"49589","Columbia","Capital Region","4"
"Cooperstown village","village","Registered","2014-02-24T00:00:00.000",,"1852","Otsego","Mohawk Valley","4"
"Copake town","town","Registered","2009-06-09T00:00:00.000",,"3615","Columbia","Capital Region","4"
"Cornwall-on-Hudson village","village","Registered","2020-01-27T00:00:00.000",,"3018","Orange","Mid-Hudson","3"
"Cortland city","city","Registered","2010-02-04T00:00:00.000",,"19204","Cortland","Central New York","7"
"Cortland County","County","Registered","2019-02-28T00:00:00.000",,"50946","Cortland","Central New York","7"
"Cortlandt town","town","Bronze Certified","2009-05-12T00:00:00.000","2025-08-31T00:00:00.000","41592","Westchester","Mid-Hudson","3"
"Croton-on-Hudson village","village","Silver Certified","2009-04-06T00:00:00.000","2025-09-30T00:00:00.000","8070","Westchester","Mid-Hudson","3"
"Cuba village","village","Registered","2018-10-08T00:00:00.000",,"1575","Allegany","Southern Tier","9"
"Danby town","town","Registered","2016-09-12T00:00:00.000",,"3329","Tompkins","Southern Tier","7"
"Dannemora town","town","Registered","2019-05-22T00:00:00.000",,"4898","Clinton","North Country","5"
"Dansville village","village","Registered","2021-07-20T00:00:00.000",,"4719","Livingston","Finger Lakes","8"
"Delaware County","County","Registered","2018-01-03T00:00:00.000",,"40207","Delaware","Southern Tier","4"
"Delaware town","town","Registered","2012-10-17T00:00:00.000",,"2670","Sullivan","Mid-Hudson","3"
"Delhi village","village","Registered","2016-09-19T00:00:00.000",,"3087","Delaware","Southern Tier","4"
"De Witt town","town","Registered","2009-04-28T00:00:00.000",,"25838","Onondaga","Central New York","7"
"Diana town","town","Registered","2010-02-09T00:00:00.000",,"1709","Lewis","North Country","6"
"Dobbs Ferry village","village","Bronze Certified","2009-07-14T00:00:00.000","2025-09-30T00:00:00.000","10875","Westchester","Mid-Hudson","3"
"Dover town","town","Bronze Certified","2016-07-27T00:00:00.000","2025-09-30T00:00:00.000","8699","Dutchess","Mid-Hudson","3"
"Dryden town","town","Bronze Certified","2016-08-18T00:00:00.000","2024-08-31T00:00:00.000","14435","Tompkins","Southern Tier","7"
"Dundee village","village","Registered","2021-05-11T00:00:00.000",,"1725","Yates","Central New York","8"
"Dutchess County","County","Bronze Certified","2009-09-14T00:00:00.000","2024-08-31T00:00:00.000","297488","Dutchess","Mid-Hudson","3"
"East Aurora village","village","Registered","2012-07-05T00:00:00.000",,"6236","Erie","Western New York","9"
"East Greenbush town","town","Registered","2010-03-10T00:00:00.000",,"16473","Rensselaer","Capital Region","4"
"East Hampton town","town","Bronze Certified","2010-03-04T00:00:00.000","2021-08-31T00:00:00.000","21457","Suffolk","Long Island","1"
"East Nassau village","village","Registered","2018-02-14T00:00:00.000",,"587","Rensselaer","Capital Region","4"
"East Rockaway village","village","Registered","2010-02-08T00:00:00.000",,"9818","Nassau","Long Island","1"
"Eaton town","town","Registered","2014-07-14T00:00:00.000",,"5255","Madison","Central New York","7"
"Elbridge town","town","Registered","2016-06-10T00:00:00.000",,"5922","Onondaga","Central New York","7"
"Erie County","County","bronze Certified","2014-06-12T00:00:00.000","2024-08-31T00:00:00.000","919040","Erie","Western New York","9"
"Esopus town","town","Registered","2017-12-27T00:00:00.000",,"9041","Ulster","Mid-Hudson","3"
"Essex County","County","Registered","2010-07-06T00:00:00.000",,"39370","Essex","North Country","5"
"Evans town","town","Registered","2011-11-09T00:00:00.000",,"16356","Erie","Western New York","9"
"Fabius town","town","Registered","2016-06-20T00:00:00.000",,"1964","Onondaga","Central New York","7"
"Fallsburg town","town","Registered","2018-04-25T00:00:00.000",,"12870","Sullivan","Mid-Hudson","3"
"Fayetteville village","village","Registered","2009-09-29T00:00:00.000",,"4373","Onondaga","Central New York","7"
"Flower Hill village","village","Registered","2020-12-06T00:00:00.000",,"4665","Nassau","Long Island","1"
"Forestport town","town","Registered","2020-02-19T00:00:00.000",,"1535","Oneida","Mohawk Valley","6"
"Gardiner town","town","Registered","2018-01-09T00:00:00.000",,"5713","Ulster","Mid-Hudson","3"
"Geddes town","town","Registered","2020-07-07T00:00:00.000",,"17118","Onondaga","Central New York","7"
"Geneva city","city","Bronze Certified","2014-03-05T00:00:00.000","2023-08-31T00:00:00.000","13261","Ontario","Finger Lakes","8"
"Geneva town","town","Registered","2014-07-08T00:00:00.000",,"3291","Ontario","Finger Lakes","8"
"Germantown town","town","Registered","2020-12-08T00:00:00.000",,"1954","Columbia","Capital Region","4"
"Ghent town","town","Registered","2016-05-19T00:00:00.000",,"5402","Columbia","Capital Region","4"
"Glens Falls city","city","Registered","2013-01-22T00:00:00.000",,"14700","Warren","Capital Region","5"
"Glenville town","town","Registered","2018-09-19T00:00:00.000",,"29480","Schenectady","Capital Region","4"
"Grand Island town","town","Registered","2021-03-15T00:00:00.000",,"20374","Erie","Western New York","9"
"Great Neck Estates village","village","Registered","2021-07-12T00:00:00.000",,"2761","Nassau","Long Island","1"
"Great Neck Plaza village","village","Registered","2012-10-03T00:00:00.000",,"6707","Nassau","Long Island","1"
"Greenburgh town","town","Registered","2009-12-22T00:00:00.000",,"88400","Westchester","Mid-Hudson","3"
"Green Island village","village","Registered","2014-02-18T00:00:00.000",,"2620","Albany","Capital Region","4"
"Greenport village","village","Registered","2010-10-25T00:00:00.000",,"2197","Suffolk","Long Island","3"
"Guilderland town","town","Registered","2019-08-13T00:00:00.000",,"35303","Albany","Capital Region","4"
"Hamilton County","County","Registered","2010-02-04T00:00:00.000",,"4836","Hamilton","North Country","5"
"Hamilton town","town","Bronze Certified","2016-09-08T00:00:00.000","2025-08-31T00:00:00.000","6690","Madison","Central New York","7"
"Hamilton village","village","Bronze Certified","2017-08-15T00:00:00.000","2025-08-31T00:00:00.000","4239","Madison","Central New York","7"
"Harrison town","town","Registered","2018-03-22T00:00:00.000",,"27472","Westchester","Mid-Hudson","3"
"Harrisville village","village","Registered","2010-03-01T00:00:00.000",,"628","Lewis","North Country","6"
"Hartwick town","town","Registered","2014-05-19T00:00:00.000",,"2110","Otsego","Mohawk Valley","4"
"Hastings-on-Hudson village","village","Silver Certified","2010-06-01T00:00:00.000","2025-09-30T00:00:00.000","7849","Westchester","Mid-Hudson","3"
"Haverstraw village","village","Registered","2016-06-22T00:00:00.000",,"11910","Rockland","Mid-Hudson","3"
"Hector town","town","Registered","2020-03-01T00:00:00.000",,"4940","Schuyler","Southern Tier","8"
"Hempstead town","town","Bronze Certified","2018-07-03T00:00:00.000","2025-08-31T00:00:00.000","759757","Nassau","Long Island","1"
"Hempstead village","village","Registered","2021-07-06T00:00:00.000",,"53891","Nassau","Long Island","1"
"Highland Falls village","village","Registered","2017-03-30T00:00:00.000",,"3900","Orange","Mid-Hudson","3"
"Highlands town","town","Registered","2019-07-22T00:00:00.000",,"12492","Orange","Mid-Hudson","3"
"Highland town","town","Registered","2014-04-02T00:00:00.000",,"2530","Sullivan","Mid-Hudson","3"
"Hillsdale town","town","Registered","2016-05-10T00:00:00.000",,"1927","Columbia","Capital Region","4"
"Homer village","village","Bronze Certified","2018-05-09T00:00:00.000","2025-09-30T00:00:00.000","3291","Cortland","Central New York","7"
"Hudson city","city","Registered","2019-04-16T00:00:00.000",,"6713","Columbia","Capital Region","4"
"Hunter town","town","Registered","2009-04-21T00:00:00.000",,"2732","Greene","Capital Region","4"
"Huntington town","town","Registered","2012-07-24T00:00:00.000",,"203264","Suffolk","Long Island","1"
"Hurley town","town","Registered","2018-04-23T00:00:00.000",,"6314","Ulster","Mid-Hudson","3"
"Hyde Park town","town","Registered","2015-05-06T00:00:00.000",,"21571","Dutchess","Mid-Hudson","3"
"Inlet town","town","Registered","2019-07-19T00:00:00.000",,"333","Hamilton","North Country","5"
"Irondequoit town","town","Registered","2009-04-16T00:00:00.000",,"51692","Monroe","Finger Lakes","8"
"Irvington village","village","Bronze Certified","2012-06-04T00:00:00.000","2026-09-30T00:00:00.000","6420","Westchester","Mid-Hudson","3"
"Islip town","town","Registered","2009-04-14T00:00:00.000",,"335543","Suffolk","Long Island","1"
"Ithaca city","city","Bronze Certified","2009-04-16T00:00:00.000","2023-08-31T00:00:00.000","30014","Tompkins","Southern Tier","7"
"Ithaca town","town","Bronze Certified","2009-04-21T00:00:00.000","2022-08-31T00:00:00.000","19930","Tompkins","Southern Tier","7"
"Jay town","town","Registered","2021-07-08T00:00:00.000",,"2506","Essex","North Country","5"
"Jewett town","town","Registered","2009-04-08T00:00:00.000",,"953","Greene","Capital Region","4"
"Jordan village","village","Registered","2015-09-21T00:00:00.000",,"1368","Onondaga","Central New York","7"
"Kent town","town","Registered","2019-10-22T00:00:00.000",,"13507","Putnam","Mid-Hudson","3"
"Kinderhook town","town","Registered","2015-10-19T00:00:00.000",,"8498","Columbia","Capital Region","4"
"Kinderhook village","village","Registered","2016-05-11T00:00:00.000",,"1211","Columbia","Capital Region","4"
"Kingston city","city","Silver Certified","2009-10-06T00:00:00.000","2025-08-31T00:00:00.000","23893","Ulster","Mid-Hudson","3"
"Kirkland town","town","Registered","2020-05-27T00:00:00.000",,"10315","Oneida","Mohawk Valley","6"
"Knox town","town","Registered","2015-10-13T00:00:00.000",,"2692","Albany","Capital Region","4"
"La Grange town","town","Registered","2014-06-11T00:00:00.000",,"15730","Dutchess","Mid-Hudson","3"
"Lake George town","town","Bronze Certified","2015-11-10T00:00:00.000","2025-08-31T00:00:00.000","3515","Warren","Capital Region","5"
"Lake George village","village","Bronze Certified","2009-03-16T00:00:00.000","2025-08-31T00:00:00.000","906","Warren","Capital Region","5"
"Lake Placid village","village","Registered","2018-05-21T00:00:00.000",,"2521","Essex","North Country","5"
"Lancaster village","village","Registered","2016-06-27T00:00:00.000",,"10352","Erie","Western New York","9"
"Lansing town","town","Registered","2019-12-18T00:00:00.000",,"11033","Tompkins","Southern Tier","7"
"Lansing village","village","Registered","2019-11-04T00:00:00.000",,"3529","Tompkins","Southern Tier","7"
"Larchmont village","village","Registered","2009-04-27T00:00:00.000",,"5864","Westchester","Mid-Hudson","3"
"Laurens village","village","Registered","2019-05-07T00:00:00.000",,"263","Otsego","Mohawk Valley","4"
"Lewisboro town","town","Registered","2010-08-09T00:00:00.000",,"12411","Westchester","Mid-Hudson","3"
"Lewis County","County","Registered","2020-12-01T00:00:00.000",,"27087","Lewis","North Country","6"
"Lewiston town","town","Registered","2010-02-09T00:00:00.000",,"16262","Niagara","Western New York","9"
"Lewis town","town","Registered","2009-06-08T00:00:00.000",,"1382","Essex","North Country","5"
"Lima village","village","Registered","2021-02-23T00:00:00.000",,"2139","Livingston","Finger Lakes","8"
"Little Valley village","village","Registered","2021-04-13T00:00:00.000",,"1143","Cattaraugus","Western New York","9"
"Lodi town","town","Registered","2021-06-10T00:00:00.000",,"1550","Seneca","Finger Lakes","8"
"Long Beach city","city","Bronze Certified","2013-08-20T00:00:00.000","2024-08-31T00:00:00.000","33275","Nassau","Long Island","1"
"Lumberland town","town","Registered","2012-09-12T00:00:00.000",,"2468","Sullivan","Mid-Hudson","3"
"Lyndon town","town","Registered","2010-02-09T00:00:00.000",,"707","Cattaraugus","Western New York","9"
"Madison County","County","Bronze Certified","2011-02-10T00:00:00.000","2022-08-31T00:00:00.000","73442","Madison","Central New York","7"
"Mamaroneck town","town","Bronze Certified","2009-06-03T00:00:00.000","2021-08-31T00:00:00.000","29156","Westchester","Mid-Hudson","3"
"Mamaroneck village","village","Registered","2009-04-16T00:00:00.000",,"18929","Westchester","Mid-Hudson","3"
"Manlius town","town","Registered","2020-04-22T00:00:00.000",,"32370","Onondaga","Central New York","7"
"Marbletown town","town","Bronze Certified","2015-06-16T00:00:00.000","2025-08-31T00:00:00.000","5607","Ulster","Mid-Hudson","3"
"Maybrook village","village","Registered","2015-02-23T00:00:00.000",,"2958","Orange","Mid-Hudson","3"
"Middlefield town","town","Registered","2021-04-13T00:00:00.000",,"2114","Otsego","Mohawk Valley","4"
"Millerton village","village","Registered","2018-05-07T00:00:00.000",,"958","Dutchess","Mid-Hudson","3"
"Minetto town","town","Registered","2014-05-12T00:00:00.000",,"1659","Oswego","Central New York","7"
"Minoa village","village","Registered","2014-03-17T00:00:00.000",,"3449","Onondaga","Central New York","7"
"Monroe County","County","Registered","2020-10-13T00:00:00.000",,"744344","Monroe","Central New York","8"
"Montebello village","village","Registered","2010-02-17T00:00:00.000",,"4526","Rockland","Mid-Hudson","3"
"Montezuma town","town","Registered","2014-12-16T00:00:00.000",,"1277","Cayuga","Central New York","7"
"Montgomery County","County","Registered","2016-06-28T00:00:00.000",,"50219","Montgomery","Mohawk Valley","4"
"Montgomery town","town","Registered","2019-10-03T00:00:00.000",,"22606","Orange","Mid-Hudson","3"
"Montour Falls village","village","Bronze Certified","2018-06-21T00:00:00.000","2024-08-31T00:00:00.000","1711","Schuyler","Southern Tier","8"
"Moravia town","town","Registered","2018-06-20T00:00:00.000",,"3626","Cayuga","Central New York","7"
"Moravia village","village","Registered","2017-05-22T00:00:00.000",,"1282","Cayuga","Central New York","7"
"Mount Kisco village","village","Bronze Certified","2010-02-08T00:00:00.000","2025-09-30T00:00:00.000","10877","Westchester","Mid-Hudson","3"
"Naples town","town","Registered","2018-12-13T00:00:00.000",,"2502","Ontario","Finger Lakes","8"
"Naples village","village","Registered","2019-01-16T00:00:00.000",,"1041","Ontario","Finger Lakes","8"
"Nassau County","County","Registered","2019-11-22T00:00:00.000",,"1339532","Nassau","Long Island","1"
"Nelsonville village","village","Registered","2018-11-19T00:00:00.000",,"628","Putnam","Mid-Hudson","3"
"Newburgh city","city","Registered","2018-04-23T00:00:00.000",,"28866","Orange","Mid-Hudson","3"
"New Castle town","town","Registered","2008-02-12T00:00:00.000",,"17569","Westchester","Mid-Hudson","3"
"Newfield town","town","Registered","2020-06-11T00:00:00.000",,"5179","Tompkins","Southern Tier","7"
"New Hartford town","town","Registered","2018-06-20T00:00:00.000",,"22166","Oneida","Mohawk Valley","6"
"New Hempstead village","village","Registered","2019-07-23T00:00:00.000",,"5132","Rockland","Mid-Hudson","3"
"New Lebanon town","town","Bronze Certified","2020-02-11T00:00:00.000","2026-09-30T00:00:00.000","2305","Columbia","Capital Region","4"
"New Lisbon town","town","Registered","2019-02-13T00:00:00.000",,"1114","Otsego","Mohawk Valley","4"
"New Paltz town","town","Bronze Certified","2010-06-17T00:00:00.000","2025-08-31T00:00:00.000","14003","Ulster","Mid-Hudson","3"
"New Paltz village","village","Bronze Certified","2009-07-14T00:00:00.000","2025-08-31T00:00:00.000","6818","Ulster","Mid-Hudson","3"
"New Rochelle city","city","Registered","2009-04-13T00:00:00.000",,"77062","Westchester","Mid-Hudson","3"
"New Scotland town","town","Registered","2018-06-13T00:00:00.000",,"8648","Albany","Capital Region","4"
"Niles town","town","Registered","2014-08-14T00:00:00.000",,"1194","Cayuga","Central New York","7"
"Niskayuna town","town","Registered","2011-07-26T00:00:00.000",,"21781","Schenectady","Capital Region","4"
"North Castle town","town","Registered","2009-03-11T00:00:00.000",,"11841","Westchester","Mid-Hudson","3"
"North East town","town","Registered","2018-02-08T00:00:00.000",,"3031","Dutchess","Mid-Hudson","3"
"North Greenbush town","town","Registered","2019-11-14T00:00:00.000",,"12075","Rensselaer","Capital District","4"
"North Hempstead town","town","Registered","2009-04-28T00:00:00.000",,"226322","Nassau","Long Island","1"
"North Salem town","town","Registered","2009-10-27T00:00:00.000",,"5104","Westchester","Mid-Hudson","3"
"North Tonawanda city","city","Registered","2021-04-06T00:00:00.000",,"31568","Niagara","Western New York","9"
"Norwood village","village","Registered","2010-01-19T00:00:00.000",,"1657","St. Lawrence","North Country","6"
"Nyack village","village","Bronze Certified","2013-08-22T00:00:00.000","2024-08-31T00:00:00.000","6765","Rockland","Mid-Hudson","3"
"Odessa village","village","Registered","2019-11-07T00:00:00.000",,"591","Schuyler","Southern Tier","8"
"Ogdensburg city","city","Registered","2010-02-08T00:00:00.000",,"11128","St. Lawrence","North Country","6"
"Olive town","town","Registered","2016-07-12T00:00:00.000",,"4419","Ulster","Mid-Hudson","3"
"Oneida city","city","Registered","2014-02-04T00:00:00.000",,"11393","Madison","Central New York","7"
"Oneida County","County","Registered","2019-08-14T00:00:00.000",,"234878","Oneida","Mohawk Valley","6"
"Oneonta city","city","Registered","2014-08-19T00:00:00.000",,"13901","Otsego","Mohawk Valley","4"
"Oneonta town","town","Registered","2019-11-13T00:00:00.000",,"5229","Otsego","Mohawk Valley","4"
"Onondaga County","County","Registered","2009-04-23T00:00:00.000",,"467026","Onondaga","Central New York","7"
"Orange County","County","Bronze Certified","2011-12-01T00:00:00.000","2024-08-31T00:00:00.000","372813","Orange","Mid-Hudson","3"
"Orangetown town","town","Registered","2011-04-12T00:00:00.000",,"49212","Rockland","Mid-Hudson","3"
"Ossining town","town","Registered","2009-06-10T00:00:00.000",,"37674","Westchester","Mid-Hudson","3"
"Ossining village","village","Registered","2009-04-21T00:00:00.000",,"25060","Westchester","Mid-Hudson","3"
"Oswego city","city","Registered","2010-02-08T00:00:00.000",,"18142","Oswego","Central New York","7"
"Oswego County","County","Registered","2009-08-13T00:00:00.000",,"122109","Oswego","Central New York","7"
"Otsego County","County","Registered","2019-03-06T00:00:00.000",,"62259","Otsego","Mohawk Valley","4"
"Otsego town","town","Registered","2014-05-14T00:00:00.000",,"3900","Otsego","Mohawk Valley","4"
"Owasco town","town","Registered","2014-12-12T00:00:00.000",,"3793","Cayuga","Central New York","7"
"Oyster Bay town","town","Registered","2019-10-22T00:00:00.000",,"293214","Nassau","Long Island","1"
"Patchogue village","village","Registered","2021-06-14T00:00:00.000",,"11798","Suffolk","Long Island","1"
"Pawling town","town","Registered","2021-07-14T00:00:00.000",,"8463","Dutchess","Mid-Hudson","3"
"Peekskill city","city","Registered","2009-07-13T00:00:00.000",,"23583","Westchester","Mid-Hudson","3"
"Pelham village","village","Registered","2019-02-12T00:00:00.000",,"6910","Westchester","Mid-Hudson","3"
"Philipstown town","town","Bronze Certified","2017-06-07T00:00:00.000","2026-09-30T00:00:00.000","9662","Putnam","Mid-Hudson","3"
"Philmont village","village","Registered","2018-02-14T00:00:00.000",,"1379","Columbia","Capital Region","4"
"Piermont village","village","Bronze Certified","2011-02-15T00:00:00.000","2024-08-31T00:00:00.000","2510","Rockland","Mid-Hudson","3"
"Pine Plains town","town","Registered","2018-03-15T00:00:00.000",,"2473","Dutchess","Mid-Hudson","3"
"Plattsburgh city","city","Registered","2019-04-25T00:00:00.000",,"19989","Clinton","North Country","5"
"Pleasant Valley town","town","Registered","2016-07-22T00:00:00.000",,"9672","Dutchess","Mid-Hudson","3"
"Pleasantville village","village","Bronze Certified","2018-05-21T00:00:00.000","2024-08-31T00:00:00.000","7019","Westchester","Mid-Hudson","3"
"Port Chester village","village","Registered","2009-05-06T00:00:00.000",,"28967","Westchester","Mid-Hudson","3"
"Porter town","town","Registered","2010-02-11T00:00:00.000",,"6771","Niagara","Western New York","9"
"Port Jefferson village","village","Registered","2009-04-20T00:00:00.000",,"7750","Suffolk","Long Island","1"
"Port Jervis city","city","Registered","2021-08-23T00:00:00.000",,"8828","Orange","Mid-Hudson","3"
"Potsdam town","town","Registered","2017-07-11T00:00:00.000",,"16041","St. Lawrence","Central New York","6"
"Potsdam village","village","Registered","2017-10-16T00:00:00.000",,"9428","St. Lawrence","North Country","6"
"Poughkeepsie city","city","Registered","2019-05-20T00:00:00.000",,"32736","Dutchess","Mid-Hudson","3"
"Poughkeepsie town","town","Registered","2018-05-07T00:00:00.000",,"43341","Dutchess","Mid-Hudson","3"
"Pound Ridge town","town","Bronze Certified","2016-12-08T00:00:00.000","2025-09-30T00:00:00.000","5104","Westchester","Mid-Hudson","3"
"Preble town","town","Registered","2011-01-10T00:00:00.000",,"1393","Cortland","Central New York","7"
"Pulaski village","village","Registered","2015-07-13T00:00:00.000",,"2365","Oswego","Central New York","7"
"Putnam County","County","Registered","2019-06-04T00:00:00.000",,"99710","Putnam","Mid-Hudson","3"
"Putnam Valley town","town","Registered","2020-03-18T00:00:00.000",,"11809","Putnam","Mid-Hudson","3"
"Queensbury town","town","Registered","2019-02-25T00:00:00.000",,"27901","Warren","Capital Region","5"
"Red Hook town","town","Bronze Certified","2009-06-09T00:00:00.000","2024-08-31T00:00:00.000","11319","Dutchess","Mid-Hudson","3"
"Red Hook village","village","Registered","2019-02-11T00:00:00.000",,"1961","Dutchess","Mid-Hudson","3"
"Rensselaer city","city","Registered","2009-04-15T00:00:00.000",,"9392","Rensselaer","Capital Region","4"
"Rhinebeck town","town","Registered","2010-02-06T00:00:00.000",,"7548","Dutchess","Mid-Hudson","3"
"Rhinebeck village","village","Bronze Certified","2010-09-14T00:00:00.000","2025-08-31T00:00:00.000","2657","Dutchess","Mid-Hudson","3"
"Richfield Springs village","village","Registered","2019-06-11T00:00:00.000",,"1264","Otsego","Mohawk Valley","4"
"Richfield town","town","Registered","2015-03-16T00:00:00.000",,"2388","Otsego","Mohawk Valley","4"
"Richland town","town","Registered","2015-02-10T00:00:00.000",,"5718","Oswego","Central New York","7"
"Richmond town","town","Registered","2019-01-09T00:00:00.000",,"3361","Ontario","Finger Lakes","8"
"Riverhead town","town","Registered","2019-07-16T00:00:00.000",,"33506","Suffolk","Long Island","1"
"Rochester city","city","Bronze Certified","2009-08-11T00:00:00.000","2022-08-31T00:00:00.000","210565","Monroe","Finger Lakes","8"
"Rochester town","town","Registered","2020-12-04T00:00:00.000",,"7313","Ulster","Mid-Hudson","3"
"Rockland County","County","Registered","2010-08-03T00:00:00.000",,"311687","Rockland","Mid-Hudson","3"
