"name","url","agency","category","granularity","filter_value","rows","latitude","longitude","georeference"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","BURLINGTON","5","42.722965","-75.125449","POINT (-75.125449 42.722965)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","BIRDSALL","3","42.391438","-77.909161","POINT (-77.909161 42.391438)"
"Children in Foster Care Annually:  Beginning 1994","http://data.ny.gov/d/hfc5-3hsu","Children and Family Services, Office of","Human Services","County","YATES","27","42.6334424","-77.1054589","POINT (-77.1054589 42.6334424)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","MONTAGUE","4","43.7953","-75.462898","POINT (-75.462898 43.7953)"
"Breeding Bird Atlases","http://data.ny.gov/d/vk8g-ypxi","Environmental Conservation, Department of","Energy & Environment","County","SENECA","6670","42.7810814","-76.8237786","POINT (-76.8237786 42.7810814)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","SOUTH DAYTON","2","42.361702","-79.051114","POINT (-79.051114 42.361702)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","MANLIUS","6","43.001216","-75.979256","POINT (-75.979256 43.001216)"
"Council On The Arts Grant Awards:  Beginning 2003","http://data.ny.gov/d/5q72-7g66","Council on the Arts, New York State","Economic Development","Municipality","NEW ROCHELLE","46","40.911546","-73.782337","POINT (-73.782337 40.911546)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","COHOES","2193","42.773015","-73.697857","POINT (-73.697857 42.773015)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","WATERTOWN","41","43.972377","-75.911254","POINT (-75.911254 43.972377)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","HOMER","2","42.634674","-76.178788","POINT (-76.178788 42.634674)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","SCOTIA","57","42.82516","-73.961635","POINT (-73.961635 42.82516)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","WESTERLO","1","42.496231","-74.038754","POINT (-74.038754 42.496231)"
"Council On The Arts Grant Awards:  Beginning 2003","http://data.ny.gov/d/5q72-7g66","Council on the Arts, New York State","Economic Development","County","STEUBEN","219","42.2678091","-77.3838033","POINT (-77.3838033 42.2678091)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","NORTH CASTLE","1","41.142333","-73.683106","POINT (-73.683106 41.142333)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","MECHANICVILLE","3","42.903233","-73.687754","POINT (-73.687754 42.903233)"
"County Emergency Management Offices","http://data.ny.gov/d/jwkb-x5v6","Homeland Security and Emergency Services, Division of","Public Safety","Municipality","JOHNSTOWN","1","43.006903","-74.374236","POINT (-74.374236 43.006903)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","MECHANICVILLE","120","42.903233","-73.687754","POINT (-73.687754 42.903233)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","WILMINGTON","2","44.388549","-73.815403","POINT (-73.815403 44.388549)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","NEW PALTZ","128","41.74753","-74.086891","POINT (-74.086891 41.74753)"
"Bird Conservation Areas","http://data.ny.gov/d/9yjx-h3yi","Environmental Conservation, Department of","Recreation","Municipality","CASTILE","1","42.632095","-78.050386","POINT (-78.050386 42.632095)"
"Climate Smart Communities List of Participating Local Governments","http://data.ny.gov/d/2c5p-4m2k","Environmental Conservation, Department of","Energy & Environment","County","ULSTER","16","41.8881457","-74.2585695","POINT (-74.2585695 41.8881457)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","County","SCHOHARIE","1247","42.5882193","-74.4421176","POINT (-74.4421176 42.5882193)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","WESTHAMPTON BEACH","95","40.808055","-72.647069","POINT (-72.647069 40.808055)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","CHATHAM","15","42.440685","-73.557506","POINT (-73.557506 42.440685)"
"County Mental Health Profiles: 2006-2016","http://data.ny.gov/d/xgig-n5ch","Mental Health, Office of","Human Services","County","ULSTER","154","41.8881457","-74.2585695","POINT (-74.2585695 41.8881457)"
"County Seats","http://data.ny.gov/d/4xc7-bukh","Information Technology Services, Office of","Government & Finance","Municipality","CANTON","1","44.595632","-75.169226","POINT (-75.169226 44.595632)"
"Community Multi-Service Office (CMSO), Intake, and Evening Reporting Center (ERC) Offices","http://data.ny.gov/d/2vv4-9c5e","Children and Family Services, Office of","Human Services","Municipality","BUFFALO","1","42.887691","-78.879374","POINT (-78.879374 42.887691)"
"Bird Conservation Areas","http://data.ny.gov/d/9yjx-h3yi","Environmental Conservation, Department of","Recreation","County","ESSEX","17","44.1172179","-73.7727091","POINT (-73.7727091 44.1172179)"
"All Payer In-Hospital/30-Day Acute Stroke Mortality Rates by Hospital (SPARCS): Beginning 2013","http://health.data.ny.gov/d/r29i-yr49","Health, Department of","Health","County","ORANGE","2","41.4021351","-74.3055651","POINT (-74.3055651 41.4021351)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","NEW BREMEN","10","43.836105","-75.440345","POINT (-75.440345 43.836105)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","LAKE PLACID","7","44.282329","-73.982959","POINT (-73.982959 44.282329)"
"Agricultural Fairs in New York State","http://data.ny.gov/d/wcwd-s5vt","Agriculture and Markets, Department of","Recreation","Municipality","CANANDAIGUA","1","42.887495","-77.282497","POINT (-77.282497 42.887495)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","MIDDLEBURGH","2","42.597143","-74.332694","POINT (-74.332694 42.597143)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","TUXEDO","43","41.201474","-74.210795","POINT (-74.210795 41.201474)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","ARCADE","1","42.534125","-78.423151","POINT (-78.423151 42.534125)"
"Census 2000 and 2010 Population, Villages","http://data.ny.gov/d/gxct-stum","Empire State Development","Government & Finance","Municipality","CHESTNUT RIDGE","1","41.08423","-74.056229","POINT (-74.056229 41.08423)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","HEBRON","9","43.380901","-73.305801","POINT (-73.305801 43.380901)"
"Chronic Disease Evidence-Based Self-Management Programs (QTAC): Location, Delivery and Capacity Data","http://health.data.ny.gov/d/dhmw-ig8b","Health, Department of","Health","County","OTSEGO","12","42.6337636","-75.0326061","POINT (-75.0326061 42.6337636)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","ELMIRA","84","42.089823","-76.808259","POINT (-76.808259 42.089823)"
"Chemical Dependence Treatment Program Admissions for 55 and Older: Beginning 2007","http://data.ny.gov/d/5xvm-4zc6","Addiction Services and Supports, Office of","Human Services","County","GENESEE","260","43.0009335","-78.1937113","POINT (-78.1937113 43.0009335)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","RENSSELAERVILLE","9","42.479171","-74.170952","POINT (-74.170952 42.479171)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","WADDINGTON","1","44.863076","-75.202807","POINT (-75.202807 44.863076)"
"Current Licensed Real Estate Appraisal Management Companies","http://data.ny.gov/d/7ttn-4nwr","State, Department of","Government & Finance","County","KINGS","4","40.6343928","-73.9502687","POINT (-73.9502687 40.6343928)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","SACKETS HARBOR","215","43.946269","-76.118991","POINT (-76.118991 43.946269)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","CHURCHVILLE","2","43.104368","-77.884697","POINT (-77.884697 43.104368)"
"Chemical Dependence Treatment Program Admissions: Beginning 2007","http://data.ny.gov/d/ngbt-9rwf","Addiction Services and Supports, Office of","Human Services","County","CLINTON","757","44.7462266","-73.6781745","POINT (-73.6781745 44.7462266)"
"Brownfield Real Property Tax Credit and Environmental Remediated Insurance Credit: Beginning Calendar Year 2005","http://data.ny.gov/d/635g-4qx7","Taxation and Finance, Department of","Government & Finance","County","BRONX","10","40.849116","-73.8529523","POINT (-73.8529523 40.849116)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","MALONE","6","44.848892","-74.29167","POINT (-74.29167 44.848892)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","LA GRANGE","1","41.670778","-73.812605","POINT (-73.812605 41.670778)"
"Childhood Blood Lead Testing and Elevated Incidence by Zip Code: Beginning 2000","http://health.data.ny.gov/d/d54z-enu8","Health, Department of","Health","County","SENECA","221","42.7810814","-76.8237786","POINT (-76.8237786 42.7810814)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","COXSACKIE","3","42.350856","-73.80355","POINT (-73.80355 42.350856)"
"Bus Safety Information Network (BUSNET) Operator Report:  Beginning 2009","http://data.ny.gov/d/h9zr-j4pg","Transportation, Department of","Transportation","Municipality","GOSHEN","22","41.40219","-74.324105","POINT (-74.324105 41.40219)"
"Council On The Arts Grant Awards:  Beginning 2003","http://data.ny.gov/d/5q72-7g66","Council on the Arts, New York State","Economic Development","County","ONEIDA","277","43.2417474","-75.4358383","POINT (-75.4358383 43.2417474)"
"All Payer Potentially Preventable Emergency Visit (PPV) Rates by Patient County (SPARCS): Beginning 2011","http://health.data.ny.gov/d/f8ue-xzy3","Health, Department of","Health","County","DUTCHESS","6","41.7651483","-73.7428624","POINT (-73.7428624 41.7651483)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","HUNTINGTON BAY","86","40.896367","-73.420204","POINT (-73.420204 40.896367)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","PELHAM","2135","40.912264","-73.809188","POINT (-73.809188 40.912264)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","RUSH","2","42.996157","-77.645676","POINT (-77.645676 42.996157)"
"Assembled Workers' Compensation Claims:  Beginning 2000","http://data.ny.gov/d/jshw-gkgu","Workers' Compensation Board","Government & Finance","County","SUFFOLK","409774","40.9404609","-72.6852404","POINT (-72.6852404 40.9404609)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","HURLEY","1","41.919194","-74.058264","POINT (-74.058264 41.919194)"
"All Payer Patient Safety Indicators (PSI) Area Measures by Patient County: Calendar Year 2015","http://health.data.ny.gov/d/ya2g-i2gu","Health, Department of","Health","County","WARREN","7","43.5609753","-73.8460059","POINT (-73.8460059 43.5609753)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","WESTHAMPTON BEACH","123","40.808055","-72.647069","POINT (-72.647069 40.808055)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","JACKSON","817","43.087495","-73.377982","POINT (-73.377982 43.087495)"
"Child Care Regulated Programs","http://data.ny.gov/d/cb42-qumz","Children and Family Services, Office of","Human Services","Municipality","CORTLAND","25","42.601213","-76.180483","POINT (-76.180483 42.601213)"
"County Level Attainment Status of National Ambient Air Quality Standards (NAAQS)","http://data.ny.gov/d/p58z-ik4q","Environmental Conservation, Department of","Energy & Environment","County","TIOGA","8","42.1702975","-76.3063168","POINT (-76.3063168 42.1702975)"
"Bulk Storage Facilities in New York State","http://data.ny.gov/d/pteg-c78n","Environmental Conservation, Department of","Energy & Environment","Municipality","ATLANTIC BEACH","9","40.58976","-73.728818","POINT (-73.728818 40.58976)"
"Alternative Fuel Stations in New York","http://data.ny.gov/d/bpkx-gmh7","Energy Research and Development Authority","Energy & Environment","Municipality","HENRIETTA","2","43.059358","-77.612421","POINT (-77.612421 43.059358)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","TRUXTON","645","42.71194","-76.028671","POINT (-76.028671 42.71194)"
"Current Descriptive Data of Municipal Wastewater Treatment Plants","http://data.ny.gov/d/g5a2-qa6a","Environmental Conservation, Department of","Energy & Environment","County","ALBANY","17","42.6001764","-73.9735586","POINT (-73.9735586 42.6001764)"
"Active Real Estate Salespersons and Brokers","http://data.ny.gov/d/yg7h-zjbf","State, Department of","Economic Development","Municipality","SHELTER ISLAND","28","41.071277","-72.339208","POINT (-72.339208 41.071277)"
"Child and Adult Care Food Program Participation","http://health.data.ny.gov/d/dmn7-mpa8","Health, Department of","Health","County","SARATOGA","56","43.1073812","-73.8639046","POINT (-73.8639046 43.1073812)"
"Active Sporting License Issuing Agents","http://data.ny.gov/d/66qd-rvmy","Environmental Conservation, Department of","Energy & Environment","Municipality","SANGERFIELD","1","42.894289","-75.370637","POINT (-75.370637 42.894289)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","EAST BLOOMFIELD","559","42.895208","-77.434959","POINT (-77.434959 42.895208)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","BROOKVILLE","129","40.808923","-73.557958","POINT (-73.557958 40.808923)"
"Annual Average Daily Traffic (AADT): Beginning 1977","http://data.ny.gov/d/6amx-2pbv","Transportation, Department of","Transportation","Municipality","BARTON","1505","42.045117","-76.449172","POINT (-76.449172 42.045117)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","PHOENIX","2","43.230923","-76.300092","POINT (-76.300092 43.230923)"
"Active Corporations:  Beginning 1800","http://data.ny.gov/d/n9v6-gdp6","State, Department of","Economic Development","Municipality","MADISON","73","42.89908","-75.51227","POINT (-75.51227 42.89908)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","PRATTSVILLE","2","42.314845","-74.432855","POINT (-74.432855 42.314845)"
"Aquatic Biological Monitoring Sampling Locations: Beginning 1980","http://data.ny.gov/d/absp-7rbm","Environmental Conservation, Department of","Energy & Environment","Municipality","AUSABLE","3","44.503858","-73.484749","POINT (-73.484749 44.503858)"
"Certified Plant Dealers","http://data.ny.gov/d/2ssy-s6ns","Agriculture and Markets, Department of","Economic Development","Municipality","SCHOHARIE","1","42.665871","-74.309885","POINT (-74.309885 42.665871)"
"Bank-Owned ATM Locations in New York State","http://data.ny.gov/d/ndex-ad5r","Financial Services, Department of","Government & Finance","Municipality","CHATEAUGAY","1","43.573898","-75.962502","POINT (-75.962502 43.573898)"
"Certificate of Need Applications: Beginning 1974","http://health.data.ny.gov/d/h343-jwie","Health, Department of","Health","County","NIAGARA","109","43.32","-78.79","POINT (-78.79 43.32)"
"Active Appearance Enhancement and Barber Business and Area Renter Licensees","http://data.ny.gov/d/y3u4-jbgh","State, Department of","Economic Development","Municipality","FLORAL PARK","13319","40.723881","-73.70231","POINT (-73.70231 40.723881)"
