"unique_case_id","electric_utility","gas_utility","county","region","climate_zone","confirm_multifamily_unit","job_title","electric_metering","organization_s_years_of_property_management","range_of_units_in_building","number_of_separate_buildings","other_nys_properties","number_of_other_nys_properties","other_nys_properties_built_after_january_2012","other_business_present","other_business_professional","other_business_food","other_business_retail","other_business_education","other_business_health","other_business_other","percentage_floor_space_non_residential","number_of_living_units","percentage_occupied_units","number_of_stories_of_average_building","common_area_buildings","number_of_common_area_buildings","common_area_buildings_gym","common_area_buildings_club_house","common_area_buildings_office","common_area_buildings_laundry","common_area_buildings_maintenance","common_area_buildings_storage","common_area_buildings_community","common_area_buildings_boiler","common_area_buildings_garage","common_area_buildings_other","year_built","major_renovations_past_five_years","past_renovations_units","past_renovations_common_area","past_renovations_building","past_renovations_storm_damage","past_renovations_hvac","past_renovations_other","past_renovations_lighting","past_renovations_cosmetic","major_renovations_next_five_years","future_renovations_units","future_renovations_common_area","future_renovations_building","future_renovations_storm_damage","future_renovations_hvac","future_renovations_other","future_renovations_lighting","future_renovations_cosmetic","percentage_studios","percentage_1_bedroom","percentage_2_bedroom","percentage_3_bedroom","natural_gas_service","natural_gas_metering"
"321","LIPA","NA","SUFFOLK","Long Island","4","Yes","Other","Individual metered plus separate meters for common area","40","5 or more units","24","Yes","30","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","450","97%","2","Yes","2","Not mentioned","Mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","2000 to 2009","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","25%","75%","0%","Yes","Individual metered plus separate meters for common area"
"359","LIPA","NA","SUFFOLK","Long Island","4","Yes","Other","Individual metered plus separate meters for common area","25","5 or more units","11","Yes","11","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","300","100%","2","Yes","2","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","1970 to 1979","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","100%","0%","0%","No","Programmed skip"
"7","National Grid","New Wave Energy Corp.","Saratoga","Capital District","5","Yes","Senior property manager","All individual metered tenant units, no master meter","10","Programming change","35","Yes","2","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","420","90%","2","Yes","2","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","2000 to 2009","Yes","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","33%","33%","34%","Yes","Don’t know"
"160","NYSEG","Corning Natural Gas Corporation","Steuben","Southern Tier","6","Yes","Property / Leasing manager / Associate","All individual metered tenant units, no master meter","Don’t know","5 or more units","50","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","286","95%","2","Yes","1","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","1960 to 1969","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","5%","36%","38%","21%","Yes","All individual metered tenant units, no master meter"
"271","National Grid","NA","Herkimer","Mohawk Valley","6","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","100","5 or more units","1","Yes","4","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","112","100%","7","Yes","1","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","1980 to 1989","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","0%","99%","1%","0%","No","Programmed skip"
"330","LIPA","NA","SUFFOLK","Long Island","4","Yes","Other","Individual metered plus separate meters for common area","20","5 or more units","8","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","144","100%","2","Yes","1","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","1970 to 1979","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","50%","50%","0%","Yes","One master meter, no individual tenant unit meters"
"255","National Grid","NA","Oneida","Mohawk Valley","6","Yes","Property / Leasing manager / Associate","Master meter for total building plus sub-meter for individual tenant units","42","5 or more units","1","Yes","40","No","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","1","101","98%","2","Yes","1","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","1980 to 1989","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","100%","0%","0%","Yes","One master meter, no individual tenant unit meters"
"187","National Grid","NA","Onondaga","Central New York","5","Yes","Owner of property","Individual metered plus separate meters for common area","30","5 or more units","70","Yes","6","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","534","100%","2","Yes","3","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","1960 to 1969","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Yes","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","0%","20%","50%","30%","Yes","One master meter, no individual tenant unit meters"
"153","ConEd","Consolidated Edison Company Of N Y","New York","New York City","4","Yes","Other","Individual metered plus separate meters for common area","20","5 or more units","1","Yes","100","No","Yes","Mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","5","300","98%","20","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","16%","40%","27%","17%","No","Programmed skip"
"8","National Grid","NA","Rensselaer","Capital District","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","20","Programming change","16","Yes","25","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","174","100%","3","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1970 to 1979","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","25%","50%","25%","Yes","All individual metered tenant units, no master meter"
"144","ConEd","NA","Westchester","Mid-Hudson","4","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","30","5 or more units","1","Yes","600","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","101","95%","5","Yes","1","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Mentioned","2000 to 2009","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","10%","30%","40%","20%","Yes","One master meter, no individual tenant unit meters"
"332","NYSEG","NA","Erie","Western New York","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","7","5 or more units","1","Yes","Don’t know","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","107","97%","2","Yes","3","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","2000 to 2009","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","60%","40%","0%","Yes","One master meter, no individual tenant unit meters"
"339","LIPA","NA","SUFFOLK","Long Island","4","Yes","Other","Individual metered plus separate meters for common area","15","5 or more units","19","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","299","100%","2","Yes","1","Not mentioned","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","1970 to 1979","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","0%","100%","0%","0%","Yes","One master meter, no individual tenant unit meters"
"43","NYSEG","NA","Erie","Western New York","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","40","5 or more units","52","Yes","41","Yes","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","410","Refused","2","Yes","1","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","1970 to 1979","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","0%","1%","99%","0%","Yes","One master meter, no individual tenant unit meters"
"322","LIPA","NA","NASSAU","Long Island","4","Yes","Maintenance supervisor / Facilities manager","All individual metered tenant units, no master meter","15","5 or more units","2","Yes","Don’t know","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","320","96%","5","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","2000 to 2009","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Don’t know","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Don’t know","Don’t know","Don’t know","Don’t know","Yes","Individual metered plus separate meters for common area"
"272","National Grid","NA","Erie","Western New York","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","28","5 or more units","1","Yes","3","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","24","100%","3","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1990 to 1999","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","0%","8%","92%","0%","No","Programmed skip"
"20","ConEd","NA","Westchester","Mid-Hudson","4","Yes","* President / Vice president","Individual metered plus separate meters for common area","50","Programming change","1","Yes","2","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","102","100%","7","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1970 to 1979","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","48%","0%","12%","40%","Yes","One master meter, no individual tenant unit meters"
"22","ConEd","NA","Westchester","Mid-Hudson","4","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","52","Programming change","7","Yes","10","Don’t know","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","131","100%","2","Yes","1","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","1980 to 1989","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","0%","70%","20%","10%","Yes","Other"
"94","RG&E","Rochester Gas & Electric Corporation","Monroe","Finger Lakes","5","Yes","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","17","5 or more units","21","No","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","336","98%","2","Yes","2","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","1990 to 1999","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","25%","50%","25%","Yes","Individual metered plus separate meters for common area"
"243","National Grid","NA","Albany","Capital District","5","Yes","Other","Individual metered plus separate meters for common area","Don’t know","5 or more units","18","Yes","1","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","232","90%","3","Yes","1","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","2000 to 2009","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","52%","25%","23%","Yes","All individual metered tenant units, no master meter"
"65","NYSEG","NA","Erie","Western New York","5","Programmed skip","Property / Leasing manager / Associate","Individual metered plus separate meters for common area","15","5 or more units","21","Yes","6","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","252","Refused","3","Yes","1","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","1970 to 1979","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","0%","25%","70%","5%","Yes","One master meter, no individual tenant unit meters"
"267","ConEd","NA","New York","New York City","4","Yes","Property / Leasing manager / Associate","Master meter for total building plus sub-meter for individual tenant units","40","5 or more units","1","Yes","30","Yes","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","5","259","97%","13","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","2000 to 2009","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","57%","30%","13%","0%","Yes","One master meter, no individual tenant unit meters"
"3","NYSEG","NA","Chenango","Southern Tier","6","Programming change","* President / Vice president","Master meter for total building plus sub-meter for individual tenant units","45","Programming change","3","Yes","11","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","48","90%","3","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1970 to 1979","Yes","Not mentioned","Not mentioned","Mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","0%","25%","65%","10%","Yes","One master meter, no individual tenant unit meters"
"132","National Grid","NA","Erie","Western New York","5","Yes","Senior property manager","Master meter for total building plus sub-meter for individual tenant units","35","5 or more units","1","Yes","18","No","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","50","96%","3","Yes","1","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","1990 to 1999","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Yes","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Mentioned","0%","98%","2%","0%","Yes","One master meter, no individual tenant unit meters"
"1","NYSEG","NA","Steuben","Southern Tier","6","Programming change","Maintenance supervisor / Facilities manager","Individual metered plus separate meters for common area","28","Programming change","48","Yes","11","No","Yes","Mentioned","Mentioned","Mentioned","Not mentioned","Not mentioned","Mentioned","Don’t know","48","90%","3","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","1960 to 1969","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","No","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","Programmed skip","10%","90%","0%","0%","Yes","One master meter, no individual tenant unit meters"
