"agency_name","county","day_accredited","month_accredited_numeric","month_accredited_name","year_accredited"
"CORNWALL TOWN PD","ORANGE","8","9","September","2005"
"HARRIMAN VG PD","ORANGE","13","12","December","2012"
"MIDDLETOWN PD","ORANGE","13","12","December","2007"
"MONROE VG PD","ORANGE","13","6","June","2001"
"NEW WINDSOR TN PD","ORANGE","12","6","June","1996"
"ORANGE CO SO","ORANGE","8","12","December","2005"
"WOODBURY TOWN PD","ORANGE","2","6","June","1994"
"OSWEGO CO SO","OSWEGO","18","9","September","2014"
"OSWEGO PD","OSWEGO","4","9","September","2003"
"SUNY POLICE OSWEGO","OSWEGO","3","3","March","2016"
"ONEONTA PD","OTSEGO","18","12","December","2014"
"SUNY POLICE ONEONTA","OTSEGO","14","6","June","2012"
"EAST GREENBUSH TN PD","RENSSELAER","7","12","December","2017"
"NORTH GREENBUSH TN PD","RENSSELAER","13","12","December","2007"
"RENSSELAER PD","RENSSELAER","3","6","June","1993"
"TROY PD","RENSSELAER","7","12","December","2000"
"CLARKSTOWN TN PD","ROCKLAND","4","6","June","1998"
"HAVERSTRAW TOWN PD","ROCKLAND","18","6","June","2015"
"ORANGETOWN TN PD","ROCKLAND","13","3","March","2007"
"RAMAPO TOWN PD","ROCKLAND","10","6","June","2004"
"ROCKLAND CO SO","ROCKLAND","6","3","March","2008"
"STONY POINT TN PD","ROCKLAND","5","6","June","2003"
"SUFFERN VG PD","ROCKLAND","3","12","December","2009"
"SARATOGA CO SO","SARATOGA","13","12","December","1993"
"WATERFORD T/V PD","SARATOGA","2","9","September","2010"
"ROTTERDAM TOWN PD","SCHENECTADY","6","12","December","2001"
"SCHENECTADY CITY PD","SCHENECTADY","3","9","September","2020"
"SUNY POLICE COBLESKILL","SCHOHARIE","2","6","June","2016"
"SENECA COUNTY SO","SENECA","2","3","March","2011"
"SENECA FALLS VG PD","SENECA","18","9","September","2014"
"NEW YORK STATE POLICE","STATEWIDE","21","2","February","1990"
"CANTON VG PD","ST LAWRENCE","16","12","December","1993"
"ST LAWRENCE CO SO","ST LAWRENCE","3","9","September","2020"
"SUNY POLICE POTSDAM","ST LAWRENCE","2","6","June","2016"
"EAST HAMPTON TN PD","SUFFOLK","12","3","March","1992"
"EAST HAMPTON VG PD","SUFFOLK","5","3","March","2009"
"HUNTINGTON BAY PD","SUFFOLK","5","6","June","2008"
"QUOGUE VG PD","SUFFOLK","11","6","June","2009"
"RIVERHEAD TOWN PD","SUFFOLK","7","6","June","2011"
"SHELTER IS TOWN PD","SUFFOLK","11","6","June","2009"
"SOUTHAMPTON TN PD","SUFFOLK","24","9","September","1998"
"SOUTHAMPTON VG PD","SUFFOLK","9","9","September","1993"
"SUFFOLK CO PD","SUFFOLK","2","6","June","2005"
"SUFFOLK CO SO","SUFFOLK","13","9","September","2012"
"SUNY POLICE STONY BROOK","SUFFOLK","2","12","December","2010"
"TIOGA CO SO","TIOGA","4","6","June","1998"
"KINGSTON PD","ULSTER","8","12","December","1990"
"NEW PALTZ TOWN PD","ULSTER","2","4","April","2018"
"SAUGERTIES TN PD","ULSTER","5","12","December","2013"
"SUNY POLICE NEW PALTZ","ULSTER","2","4","April","2018"
"ULSTER CO SO","ULSTER","10","12","December","1992"
"ULSTER TOWN PD","ULSTER","6","6","June","2002"
"GLENS FALLS CITY PD","WARREN","3","3","March","2016"
"WARREN CO SO","WARREN","20","9","September","1990"
"HUDSON FALLS VG PD","WASHINGTON","24","3","March","1994"
"WASHINGTON CO SO","WASHINGTON","8","3","March","2007"
"MACEDON TOWN PD","WAYNE","10","3","March","2022"
"WAYNE CO SO","WAYNE","7","12","December","2017"
"BEDFORD TOWN PD","WESTCHESTER","15","9","September","1999"
"DOBBS FERRY VG PD","WESTCHESTER","24","3","March","1994"
"EASTCHESTER TOWN PD","WESTCHESTER","18","6","June","2015"
"GREENBURGH TN PD","WESTCHESTER","4","3","March","2003"
"HARRISON TOWN PD","WESTCHESTER","11","6","June","2009"
"MT PLEASANT TN PD","WESTCHESTER","24","9","September","1998"
"MT VERNON PD","WESTCHESTER","9","3","March","1995"
"NEW CASTLE TOWN PD","WESTCHESTER","15","3","March","2005"
"NEW ROCHELLE PD","WESTCHESTER","3","6","June","1993"
"NORTH CASTLE TN PD","WESTCHESTER","7","12","December","2000"
"OSSINING VG PD","WESTCHESTER","2","9","September","2004"
"PEEKSKILL PD","WESTCHESTER","3","9","September","2009"
"RYE BROOK VG PD","WESTCHESTER","18","6","June","2015"
"RYE PD","WESTCHESTER","24","9","September","1998"
"SCARSDALE VG PD","WESTCHESTER","20","9","September","1990"
"TUCKAHOE VG PD","WESTCHESTER","12","9","September","2002"
"WESTCHESTER CO PUB SAFETY","WESTCHESTER","10","12","December","1992"
"WHITE PLAINS DEPT PUB SAFETY","WESTCHESTER","21","2","February","1990"
"YONKERS CITY PD","WESTCHESTER","4","9","September","2003"
"YORKTOWN TOWN PD","WESTCHESTER","5","9","September","1991"
"YATES CO SO","YATES","8","12","December","2005"
