"vendor","fiscalyear","quarter","paymentamount"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2021-2022","1","364692"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2020-2021","4","364428"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2020-2021","3","39790"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2020-2021","2","81414"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2020-2021","1","72387"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2019-2020","4","81963"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2019-2020","3","346637"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2019-2020","2","156315"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2019-2020","1","38954"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2018-2019","4","164201"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2018-2019","3","296867"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2018-2019","2","148920"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2018-2019","1","120728"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2017-2018","4","140336.00"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2017-2018","3","68376.00"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2017-2018","2","770.00"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2017-2018","1","133573.00"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2016-2017","4","153584.00"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2016-2017","3","106456"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2016-2017","2","141555"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2016-2017","1","98606"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2015-2016","4","154744"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2015-2016","3","81695.00"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2015-2016","2","61184"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2015-2016","1","58169"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2014-2015","4","96881"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2014-2015","3","32604"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2014-2015","2","111452.00"
"ADELAIDE ENVIRONMENTAL HEALTH ASSOCIATES INC","2014-2015","1","8723.00"
"ADHAN PIPING CO INC","2014-2015","4","21333.5"
"ADHAN PIPING CO INC","2014-2015","2","112778.06"
"ADIRONDACK MECHANICAL SERVICES L LC","2021-2022","3","163333"
"ADIRONDACK MECHANICAL SERVICES L LC","2021-2022","2","281003"
"ADIRONDACK MECHANICAL SERVICES L LC","2021-2022","1","1077216"
"ADIRONDACK MECHANICAL SERVICES L LC","2020-2021","3","11939"
"ADIRONDACK MECHANICAL SERVICES L LC","2020-2021","2","101606"
"ADIRONDACK MECHANICAL SERVICES L LC","2019-2020","4","136362"
"ADIRONDACK MECHANICAL SERVICES L LC","2019-2020","2","148314"
"ADIRONDACK MECHANICAL SERVICES L LC","2019-2020","1","55291"
"ADIRONDACK MECHANICAL SERVICES L LC","2018-2019","4","26298"
"ADIRONDACK MECHANICAL SERVICES L LC","2018-2019","3","150187"
"ADIRONDACK MECHANICAL SERVICES L LC","2018-2019","2","136224"
"ADIRONDACK MECHANICAL SERVICES L LC","2018-2019","1","180756.00"
"ADIRONDACK MECHANICAL SERVICES L LC","2017-2018","4","173668.00"
"ADIRONDACK MECHANICAL SERVICES L LC","2017-2018","1","149955.00"
"ADIRONDACK MECHANICAL SERVICES L LC","2016-2017","1","27076"
"ADIRONDACK MECHANICAL SERVICES L LC","2015-2016","4","60207"
"ADIRONDACK MECHANICAL SERVICES L LC","2015-2016","3","55378.00"
"ADIRONDACK MECHANICAL SERVICES L LC","2015-2016","2","255072"
"ADIRONDACK VALLEY BUILDERS INC","2020-2021","2","32491"
"ADIRONDACK VALLEY BUILDERS INC","2020-2021","1","75119"
"ADIRONDACK VALLEY BUILDERS INC","2019-2020","4","203338.35"
"ADIRONDACK VALLEY BUILDERS INC","2019-2020","3","30995.65"
"ADIRONDECK CONSTRUCTION COMPANY INC","2017-2018","3","70179.68"
"ADIRONDECK CONSTRUCTION COMPANY INC","2016-2017","4","3616.21"
"ADIRONDECK CONSTRUCTION COMPANY INC","2014-2015","3","35560.87"
"AECOM TECHNICAL SERVICES NORTHEAST INC","2014-2015","1","14691.00"
"AECOM USA INC","2022-2023","1","166432"
"AECOM USA INC","2021-2022","4","176238"
"AECOM USA INC","2021-2022","3","451826"
"AECOM USA INC","2021-2022","2","315134"
"AECOM USA INC","2021-2022","1","689082"
"AECOM USA INC","2020-2021","4","407172"
"AECOM USA INC","2020-2021","3","136903"
"AECOM USA INC","2020-2021","2","194846"
"AECOM USA INC","2020-2021","1","106133"
"AECOM USA INC","2019-2020","4","836422"
"AECOM USA INC","2019-2020","3","20747"
"AECOM USA INC","2019-2020","2","80827"
"AECOM USA INC","2019-2020","1","231538"
"AECOM USA INC","2018-2019","4","120604"
"AECOM USA INC","2018-2019","3","93065"
"AECOM USA INC","2018-2019","2","191258"
"AECOM USA INC","2018-2019","1","260747"
"AECOM USA INC","2017-2018","3","121401.00"
"AECOM USA INC","2017-2018","2","109684.00"
"AECOM USA INC","2014-2015","4","106130"
"AECOM USA INC","2014-2015","3","6825"
"AECOM USA INC","2014-2015","2","32736.00"
"AERO PLUMBING & HEATING CO INC","2016-2017","4","1620.00"
"AERO PLUMBING & HEATING CO INC","2016-2017","3","3112"
"AERO PLUMBING & HEATING CO INC","2015-2016","3","12144.09"
"AERO PLUMBING & HEATING CO INC","2015-2016","1","54612.56"
"AERO PLUMBING & HEATING CO INC","2014-2015","4","17081.95"
"AERO PLUMBING & HEATING CO INC","2014-2015","3","88277.84"
"AERO PLUMBING & HEATING CO INC","2014-2015","2","155367.04"
"AERO PLUMBING & HEATING CO INC","2014-2015","1","21621.52"
"AFL CONSTRUCTION CO INC","2015-2016","1","46689"
"AFL CONSTRUCTION CO INC","2014-2015","4","186356"
"AFL CONSTRUCTION CO INC","2014-2015","3","80703"
"AFL CONSTRUCTION CO INC","2014-2015","2","120260.00"
"AFL CONSTRUCTION CO INC","2014-2015","1","146797.00"
"AGD CONTRACTING CORP","2022-2023","1","660577.36"
"AGD CONTRACTING CORP","2021-2022","4","96492.05"
"AGD CONTRACTING CORP","2021-2022","3","268538.38"
"AGD CONTRACTING CORP","2021-2022","2","168550.88"
"AGD CONTRACTING CORP","2021-2022","1","936850.23"
"AGD CONTRACTING CORP","2020-2021","4","357153.45"
"AGILENT TECHNOLOGIES INC","2014-2015","4","115174.58"
"AGILENT TECHNOLOGIES INC","2014-2015","3","83955.68"
"AGL CONTRACTING LTD","2015-2016","1","73404.6"
"AGL CONTRACTING LTD","2014-2015","3","267455.4"
"AGUSTIN CONSTRUCTION CORP","2022-2023","1","55000"
"AHLSTROM SCHAEFFER ELECTRIC CORP","2022-2023","1","37857.5"
"AHLSTROM SCHAEFFER ELECTRIC CORP","2021-2022","4","15627.5"
"AHRENS ASSOCIATES INC","2015-2016","2","5352"
"AHURA CONSTRUCTION MANAGEMENT INC","2014-2015","3","16822"
"AHURA CONSTRUCTION MANAGEMENT INC","2014-2015","2","94250.00"
"AHURA CONSTRUCTION MANAGEMENT INC","2014-2015","1","160417.00"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2019-2020","2","5212.56"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2018-2019","1","63190.3"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2017-2018","4","92450.57"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2017-2018","3","78990.50"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2017-2018","2","22892.72"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2017-2018","1","55253.99"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2016-2017","3","33518.71"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2016-2017","2","41723.15"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2016-2017","1","31313.52"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2015-2016","4","41047.14"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2015-2016","3","124999.41"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2015-2016","1","112430.76"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2014-2015","4","30126.02"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2014-2015","2","11001.00"
"AIRFLOW AIR CONDITIONING REFRIGERATION & HEATING INC","2014-2015","1","1425.00"
"AIRSIDE TECHNOLOGY CORP","2022-2023","1","4370"
"AIRSIDE TECHNOLOGY CORP","2021-2022","2","23163.37"
"AIRSIDE TECHNOLOGY CORP","2021-2022","1","46476.36"
"AIRSIDE TECHNOLOGY CORP","2017-2018","1","99682.40"
"AIRSIDE TECHNOLOGY CORP","2016-2017","4","99498.02"
"AIRSIDE TECHNOLOGY CORP","2016-2017","3","126902.98"
"AIRSIDE TECHNOLOGY CORP","2016-2017","2","47937.47"
"AIRSIDE TECHNOLOGY CORP","2016-2017","1","102890.16"
"AIRSIDE TECHNOLOGY CORP","2015-2016","4","236312.97"
"AIRSIDE TECHNOLOGY CORP","2015-2016","3","103375.00"
"AIRSIDE TECHNOLOGY CORP","2014-2015","4","21816.2"
"AIRSIDE TECHNOLOGY CORP","2014-2015","3","31598.97"
"AIRSIDE TECHNOLOGY CORP","2014-2015","2","128274.28"
"AIRSIDE TECHNOLOGY CORP","2014-2015","1","148614.38"
"AIR TECH LAB INC","2017-2018","3","60183.00"
"AIR TECH LAB INC","2016-2017","4","39363.00"
"AIR TECH LAB INC","2016-2017","1","45360"
"AIR TECH LAB INC","2015-2016","4","142763"
"AIR TECH LAB INC","2014-2015","3","17374"
"AJAY GLASS & MIRROR CO INC","2021-2022","3","285228.71"
"AJAY GLASS & MIRROR CO INC","2020-2021","4","1772955.87"
"AJAY GLASS & MIRROR CO INC","2020-2021","3","82145.99"
"AJAY GLASS & MIRROR CO INC","2020-2021","2","1850534.20"
"AJAY GLASS & MIRROR CO INC","2020-2021","1","2280067.04"
"AJAY GLASS & MIRROR CO INC","2017-2018","1","93146.66"
"AJIT ONE MECHANICAL & GENERALCONTRACTING INC","2015-2016","2","23460.65"
"AJIT ONE MECHANICAL & GENERALCONTRACTING INC","2015-2016","1","47561"
"AJIT ONE MECHANICAL & GENERALCONTRACTING INC","2014-2015","3","19799.71"
"AJIT ONE MECHANICAL & GENERALCONTRACTING INC","2014-2015","1","55085.59"
"AJS MASONRY INC","2022-2023","1","95876.29"
"AJS MASONRY INC","2021-2022","4","29320.13"
"AJS MASONRY INC","2021-2022","3","452970.50"
"AJS MASONRY INC","2021-2022","2","1104778.97"
"AJS MASONRY INC","2021-2022","1","1621938.72"
"AJS MASONRY INC","2020-2021","4","34167.21"
"AJS MASONRY INC","2020-2021","3","306091.82"
"AJS MASONRY INC","2020-2021","2","276830.67"
"AKROS MGMT INC","2022-2023","1","231313.70"
"AKROS MGMT INC","2021-2022","4","342315.04"
"AKROS MGMT INC","2021-2022","3","298775.52"
"AKROS MGMT INC","2021-2022","2","159552.62"
"AKROS MGMT INC","2021-2022","1","775898.37"
"AKROS MGMT INC","2020-2021","4","53494.5"
"AKTOR CORPORATION","2021-2022","3","91212.39"
"AKTOR CORPORATION","2021-2022","2","8942.6"
"AKTOR CORPORATION","2021-2022","1","1424239.14"
"AKTOR CORPORATION","2020-2021","4","823254.15"
"AKTOR CORPORATION","2020-2021","3","30735.59"
"AKTOR CORPORATION","2020-2021","2","320580.53"
"AKTOR CORPORATION","2020-2021","1","762418.91"
"AKTOR CORPORATION","2019-2020","4","1199594.78"
"AKTOR CORPORATION","2019-2020","3","1252663.49"
"AKTOR CORPORATION","2019-2020","2","1230454.82"
"AKTOR CORPORATION","2019-2020","1","1140525.00"
"AKTOR CORPORATION","2018-2019","4","682123.00"
"AKTOR CORPORATION","2018-2019","3","1443890.58"
"AKTOR CORPORATION","2018-2019","2","1237588.78"
"AKTOR CORPORATION","2018-2019","1","2412127.28"
"AKTOR CORPORATION","2017-2018","4","1901278.15"
"AKTOR CORPORATION","2017-2018","3","646458.40"
"AKTOR CORPORATION","2017-2018","2","402260.60"
"AKTOR CORPORATION","2017-2018","1","81533.35"
"AKTOR CORPORATION","2016-2017","4","1988496.60"
"AKTOR CORPORATION","2016-2017","3","68649.41"
"AKTOR CORPORATION","2016-2017","2","76958"
"AKTOR CORPORATION","2016-2017","1","140488.19"
"AKTOR CORPORATION","2015-2016","4","1261726.72"
"AKTOR CORPORATION","2015-2016","3","70730.35"
"AKTOR CORPORATION","2015-2016","2","875133.85"
"ALL AROUND STORAGE LLC","2016-2017","2","31512"
"ALL AROUND STORAGE LLC","2015-2016","4","259667.24"
"ALL AROUND STORAGE LLC","2015-2016","3","203149.76"
"ALL-CON CONTRACTING CORP","2022-2023","1","1158041.49"
"ALL-CON CONTRACTING CORP","2021-2022","4","593461.67"
"ALL-CON CONTRACTING CORP","2021-2022","3","2113695.53"
"ALL-CON CONTRACTING CORP","2021-2022","2","1371476.05"
"ALL-CON CONTRACTING CORP","2021-2022","1","3437903.7"
"ALL-CON CONTRACTING CORP","2020-2021","4","2086474.23"
"ALL-CON CONTRACTING CORP","2020-2021","3","1073787.13"
"ALL-CON CONTRACTING CORP","2020-2021","2","880605.11"
"ALL-CON CONTRACTING CORP","2020-2021","1","858684.1"
"ALL-CON CONTRACTING CORP","2019-2020","4","595032.5"
"ALL-CON CONTRACTING CORP","2019-2020","3","408310"
"ALLEGHENY CASUALTY COMPANY","2015-2016","2","266658.33"
"ALLEGHENY CASUALTY COMPANY","2015-2016","1","91036.95"
"ALLEGHENY CASUALTY COMPANY","2014-2015","4","771034.99"
"ALLEGHENY CASUALTY COMPANY","2014-2015","3","509969.16"
"ALLEGHENY CASUALTY COMPANY","2014-2015","2","644921.77"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2022-2023","1","176453"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2021-2022","4","241147"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2021-2022","3","119327"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2021-2022","2","25743"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2021-2022","1","58392"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2020-2021","4","185586"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2020-2021","3","80399"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2020-2021","2","75136"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2020-2021","1","365451"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2019-2020","1","39942"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2018-2019","4","221520"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2018-2019","2","123606"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2017-2018","2","123872.00"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2017-2018","1","15588.00"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2016-2017","4","830636.00"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2016-2017","2","115630"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2016-2017","1","218153"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2015-2016","2","101594"
"ALLIANCE TRI-STATE CONSTRUCTION INC","2015-2016","1","161253"
"ALLIED WORLD SPECIALTY INSURANCE COMPANY","2016-2017","3","309013.64"
"ALLIED WORLD SPECIALTY INSURANCE COMPANY","2016-2017","2","678985.33"
"ALLIED WORLD SPECIALTY INSURANCE COMPANY","2015-2016","4","288673.03"
"ALL IN ONE CONSTRUCTION LLC","2015-2016","2","18548.7"
"ALL IN ONE CONSTRUCTION LLC","2014-2015","4","106451.3"
"ALLSTATE ELECTRICAL CONTRACTING","2022-2023","1","47660.64"
"ALLSTATE ELECTRICAL CONTRACTING","2021-2022","4","64453.32"
"ALLSTATE ENTERPRISES INC","2019-2020","3","6864"
"ALLSTATE ENTERPRISES INC","2019-2020","1","90041.00"
"ALLSTATE ENTERPRISES INC","2018-2019","4","7600"
"ALVION GROUP INC","2022-2023","1","32304"
"ALVION GROUP INC","2021-2022","2","630024.68"
"ALVION GROUP INC","2021-2022","1","1847636.67"
"ALVION GROUP INC","2020-2021","4","760044.33"
"ALVION GROUP INC","2020-2021","3","662852.02"
"ALVION GROUP INC","2020-2021","2","468571.60"
"ALVION GROUP INC","2020-2021","1","1212144.91"
"ALVION GROUP INC","2019-2020","4","1515313.30"
"ALVION GROUP INC","2019-2020","3","1732107.76"
"ALVION GROUP INC","2019-2020","2","1237133.89"
"ALVION GROUP INC","2019-2020","1","1911421.16"
"ALVION GROUP INC","2018-2019","4","1511422.69"
"ALVION GROUP INC","2018-2019","3","1279155.33"
"ALVION GROUP INC","2018-2019","2","681763.83"
"ALVION GROUP INC","2018-2019","1","1078776.87"
"ALVION GROUP INC","2017-2018","4","1030757.86"
"ALVION GROUP INC","2017-2018","3","610572.67"
"ALVION GROUP INC","2017-2018","2","1051576.77"
"ALVION GROUP INC","2017-2018","1","67703.45"
"ALVION GROUP INC","2016-2017","4","43195.00"
"ALVION GROUP INC","2016-2017","3","287261.0"
"ALVION GROUP INC","2016-2017","2","263671.55"
"AMAHA ELECTRICAL INC","2022-2023","1","16262.37"
"AMAHA ELECTRICAL INC","2021-2022","4","356.81"
"AMAHA ELECTRICAL INC","2021-2022","2","3211.25"
"AMAHA ELECTRICAL INC","2019-2020","1","13758"
"AMAHA ELECTRICAL INC","2014-2015","1","42233.00"
"AMB CONSTRUCTION INC","2017-2018","3","103557.35"
"AMB CONSTRUCTION INC","2017-2018","2","135793.57"
"AMB CONSTRUCTION INC","2017-2018","1","135793.57"
"AMB CONSTRUCTION INC","2015-2016","1","259356.65"
"AMB CONSTRUCTION INC","2014-2015","4","341933.58"
"AMB CONSTRUCTION INC","2014-2015","3","488954.34"
"AMB CONSTRUCTION INC","2014-2015","2","544912.35"
"AMB CONSTRUCTION INC","2014-2015","1","1064967.62"
"AMBIENT ENVIRONMENTAL INC","2022-2023","1","25334"
"AMBIENT ENVIRONMENTAL INC","2021-2022","4","15960"
"AMBIENT ENVIRONMENTAL INC","2021-2022","3","65420"
"AMBIENT ENVIRONMENTAL INC","2021-2022","2","94904"
"AMBIENT ENVIRONMENTAL INC","2021-2022","1","202368"
"AMBIENT ENVIRONMENTAL INC","2020-2021","4","338484"
"AMBIENT ENVIRONMENTAL INC","2020-2021","3","123275"
"AMBIENT ENVIRONMENTAL INC","2020-2021","2","99861"
"AMBIENT ENVIRONMENTAL INC","2020-2021","1","44551"
"AMBIENT ENVIRONMENTAL INC","2019-2020","4","90610"
"AMBIENT ENVIRONMENTAL INC","2019-2020","3","56102"
"AMBIENT ENVIRONMENTAL INC","2019-2020","2","177084"
"AMBIENT ENVIRONMENTAL INC","2019-2020","1","37078"
"AMBIENT ENVIRONMENTAL INC","2018-2019","4","250513"
"AMBIENT ENVIRONMENTAL INC","2018-2019","3","224741"
"AMBIENT ENVIRONMENTAL INC","2018-2019","2","403031"
"AMBIENT ENVIRONMENTAL INC","2018-2019","1","59254"
"AMBIENT ENVIRONMENTAL INC","2017-2018","4","236576.00"
"AMBIENT ENVIRONMENTAL INC","2017-2018","3","179828.00"
"AMBIENT ENVIRONMENTAL INC","2017-2018","2","16479.00"
"AMBIENT ENVIRONMENTAL INC","2017-2018","1","125282.00"
"AMBIENT ENVIRONMENTAL INC","2016-2017","4","41006.00"
"AMBIENT ENVIRONMENTAL INC","2016-2017","3","9626"
"AMBIENT ENVIRONMENTAL INC","2016-2017","2","49394"
"AMBIENT ENVIRONMENTAL INC","2016-2017","1","29511"
"AMBIENT ENVIRONMENTAL INC","2015-2016","4","38960"
"AMBIENT ENVIRONMENTAL INC","2015-2016","3","1420.00"
"AMBIENT ENVIRONMENTAL INC","2015-2016","2","8639"
"AMBIENT ENVIRONMENTAL INC","2015-2016","1","38042"
"AMBIENT ENVIRONMENTAL INC","2014-2015","4","327449"
"AMBIENT ENVIRONMENTAL INC","2014-2015","3","60985"
"AMBIENT ENVIRONMENTAL INC","2014-2015","2","138893.00"
"AMBIENT ENVIRONMENTAL INC","2014-2015","1","115422.00"
"AMERICAN GLASS COMPANY OF ALBANY INC","2016-2017","3","40042.75"
"AMERICAN GLASS COMPANY OF ALBANY INC","2015-2016","4","43000.3"
"AMERICAN GLASS COMPANY OF ALBANY INC","2014-2015","3","99012.42"
"AMERICAN JAIL PRODUCTS LLC","2022-2023","1","9600"
"AMERICAN JAIL PRODUCTS LLC","2021-2022","4","1413528.86"
"AMERICAN JAIL PRODUCTS LLC","2021-2022","3","694810.05"
"AMERICAN JAIL PRODUCTS LLC","2021-2022","1","48666.9"
