"project_number","program_name","project_type","activity","contract_amount","organization","county","municipality","current_status","residential_units_existing","residential_units_new","civic_units_existing","civic_units_new","commercial_units_existing","commercial_units_new"
"20153127","HOME","LPA","MTGE ASST","400000","RURAL HOUSING OPPORTUNITIES CORPORATION","MULTI-COUNTY",,"CONT","15","0","0","0","0","0"
"20153126","HOME","LPA","MTGE ASST","400000","MARGERT COMMUNITY CORP.","QUEENS","NEW YORK CITY","CONT","10","0","0","0","0","0"
"20153125","HOME","LPA","MTGE ASST","400000","NHS OF STATEN ISLAND, INC.","RICHMOND","NEW YORK CITY","CONT","34","0","0","0","0","0"
"20153124","HOME","LPA","MTGE ASST","0","HOME HEADQUARTERS, INC.","ONONDAGA","SYRACUSE","AWRD","13","0","0","0","0","0"
"20153123","HOME","LPA","CNSTR/RHAB","230000","NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.","RICHMOND","NEW YORK CITY","CONT","15","0","0","0","0","0"
"20153122","HOME","LPA","CNSTR/RHAB","400000","COMMUNITY PROGRESS INC.","MULTI-COUNTY",,"CONT","15","0","0","0","0","0"
"20153121","HOME","LPA","CNSTR/RHAB","358800","REGIONAL CENTER FOR INDEPENDENT LIVING","MONROE","ROCHESTER","CONT","16","0","0","0","0","0"
"20153120","HOME","LPA","CNSTR/RHAB","304000","CITY OF CORTLAND","CORTLAND","CORTLAND","CONT","10","0","0","0","0","0"
"20153119","HOME","LPA","CNSTR/RHAB","400000","NEIGHBORHOOD HOUSING SERVICES OF SOUTH BUFFALO, INC.","ERIE","BUFFALO","CONT","10","0","0","0","0","0"
"20153118","HOME","LPA","MTGE ASST","389000","CITY OF GLENS FALLS","WARREN","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153117","HOME","LPA","CNSTR/RHAB","315000","BROADWAY-FILLMORE NEIGHBORHOOD HOUSING SERVICES INC.","ERIE","BUFFALO","CONT","10","0","0","0","0","0"
"20153116","HOME","LPA","CNSTR/RHAB","400000","CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.","CAYUGA","MULTI-MUNI","CONT","16","0","0","0","0","0"
"20153115","HOME","LPA","CNSTR/RHAB","300000","REBUILDING TOGETHER SARATOGA COUNTY, INC.","SARATOGA","MULTI-MUNI","CONT","20","0","0","0","0","0"
"20153113","HOME","LPA","MTGE ASST","0","CAPITAL DISTRICT HABITAT FOR HUMANITY, INC.","MULTI-COUNTY",,"AWRD","0","10","0","0","0","0"
"20153112","HOME","LPA","CNSTR/RHAB","300000","FIRST WARD ACTION COUNCIL, INC.","BROOME","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153111","HOME","LPA","CNSTR/RHAB","230225","TOWN OF HERKIMER","HERKIMER","HERKIMER","CONT","11","0","0","0","0","0"
"20153110","HOME","LPA","CNSTR/RHAB","300003","VILLAGE OF SCHUYLERVILLE","SARATOGA","SCHUYLERVILLE","CONT","11","0","0","0","0","0"
"20153109","HOME","LPA","MTGE ASST","400000","NEIGHBORHOOD HOUSING SERVICES OF BROOKLYN, BEDFORD-STUYVESANT, CD","KINGS","NEW YORK CITY","CONT","10","0","0","0","0","0"
"20153108","HOME","LPA","CNSTR/RHAB","400000","CITY OF MECHANICVILLE","SARATOGA","MECHANICVILLE","CONT","16","0","0","0","0","0"
"20153107","HOME","LPA","CNSTR/RHAB","400000","OPPORTUNITIES FOR CHENANGO, INC.","CHENANGO","MULTI-MUNI","CONT","16","0","0","0","0","0"
"20153105","HOME","LPA","MTGE ASST","360000","ALBANY COUNTY RURAL HOUSING ALLIANCE, INC.","ALBANY","MULTI-MUNI","CONT","9","0","0","0","0","0"
"20153104","HOME","LPA","MTGE ASST","165000","OSWEGO HOUSING DEVELOPMENT COUNCIL, INC.","OSWEGO","MULTI-MUNI","CONT","0","10","0","0","0","0"
"20153103","HOME","LPA","CNSTR/RHAB","171000","MOHAWK VALLEY COMMUNITY ACTION AGENCY, INC.","HERKIMER","MULTI-MUNI","CONT","6","0","0","0","0","0"
"20153102","HOME","LPA","CNSTR/RHAB","171000","MOHAWK VALLEY COMMUNITY ACTION AGENCY, INC.","ONEIDA","MULTI-MUNI","CONT","6","0","0","0","0","0"
"20153101","HOME","LPA","CNSTR/RHAB","400000","CATSKILL MOUNTAIN HOUSING DEVELOPMENT CORP. INC.","GREENE","MULTI-MUNI","CONT","25","0","0","0","0","0"
"20153099","HOME","LPA","CNSTR/RHAB","400000","CITY OF ONEIDA","MADISON","ONEIDA","CONT","15","0","0","0","0","0"
"20153098","HOME","LPA","CNSTR/RHAB","400000","SOUTH END IMPROVEMENT CORP.","ALBANY","ALBANY","CONT","16","0","0","0","0","0"
"20153097","HOME","LPA","MTGE ASST","168500","CITY OF FULTON COMMUNITY DEVELOPMENT AGENCY","OSWEGO","FULTON","CONT","12","0","0","0","0","0"
"20153096","HOME","LPA","CNSTR/RHAB","250000","RENSSELAER COUNTY HOUSING RESOURCES","RENSSELAER","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153095","HOME","LPA","CNSTR/RHAB","200000","FRIENDS OF THE NORTH COUNTRY, INC.","CLINTON","MULTI-MUNI","CONT","9","0","0","0","0","0"
"20153094","HOME","LPA","CNSTR/RHAB","200000","FRIENDS OF THE NORTH COUNTRY, INC.","FRANKLIN","MULTI-MUNI","CONT","9","0","0","0","0","0"
"20153093","HOME","LPA","CNSTR/RHAB","400000","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","MULTI-COUNTY",,"CONT","14","0","0","0","0","0"
"20153092","HOME","LPA","CNSTR/RHAB","400000","PARODNECK FOUNDATION FOR SELF-HELP, HOUSING & CD, INC.","NYC","NEW YORK CITY","CONT","62","0","0","0","0","0"
"20153091","HOME","LPA","CNSTR/RHAB","400000","NORTH COUNTRY AFFORDABLE HOUSING, INC.","JEFFERSON","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153090","HOME","LPA","CNSTR/RHAB","400000","ALLEGANY COUNTY COMMUNITY OPPORTUNITY AND RURAL DEVELOPMENT, INC.","ALLEGANY","MULTI-MUNI","CONT","18","0","0","0","0","0"
"20153089","HOME","LPA","CNSTR/RHAB","400000","CATTARAUGUS COMMUNITY ACTION, INC.","CATTARAUGUS","OLEAN","CONT","16","0","0","0","0","0"
"20153088","HOME","LPA","CNSTR/RHAB","400000","PRIDE OF TICONDEROGA, INC.","MULTI-COUNTY",,"CONT","15","0","0","0","0","0"
"20153087","HOME","LPA","CNSTR/RHAB","150000","COMMISSION ON ECONOMIC OPPORTUNITY FOR THE GREATER CAPITAL REGION, INC.","RENSSELAER","MULTI-MUNI","CONT","5","0","0","0","0","0"
"20153086","HOME","LPA","CNSTR/RHAB","400000","CITY OF GLOVERSVILLE","FULTON","GLOVERSVILLE","CONT","15","0","0","0","0","0"
"20153085","HOME","LPA","MTGE ASST","200000","COVENANT HOUSING CORP. OF CENTRAL NEW YORK","ONONDAGA","MULTI-MUNI","CONT","5","0","0","0","0","0"
"20153084","HOME","LPA","CNSTR/RHAB","400000","VILLAGE OF TUPPER LAKE","FRANKLIN","TUPPER LAKE","CONT","12","0","0","0","0","0"
"20153083","HOME","LPA","CNSTR/RHAB","400000","HOMEFRONT DEVELOPMENT CORP.","WASHINGTON","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153082","HOME","LPA","MTGE ASST","0","URBAN LEAGUE OF ROCHESTER ECONOMIC DEVELOPMENT CORP.","MONROE","GREECE","AWRD","0","8","0","0","0","0"
"20153081","HOME","LPA","MTGE ASST","400000","RUPCO, INC.","ULSTER","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153080","HOME","LPA","MTGE ASST","308700","FRANKLIN COUNTY COMMUNITY HOUSING COUNCIL, INC.","FRANKLIN","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153079","HOME","LPA","MTGE ASST","400000","NEIGHBORHOOD HOUSING SERVICES OF BROOKLYN CDC, INC.","KINGS","NEW YORK CITY","CONT","15","0","0","0","0","0"
"20153076","REJP","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","SCHUYLER","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153075","REJP","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","CHEMUNG","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153074","ACSV","LPA","CNSTR/RHAB","150000","GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.","MULTI-COUNTY",,"CONT","8","0","0","0","0","0"
"20153073","MRTL","LPA","CNSTR/RHAB","75000","CITIZENS OPPORTUNITY FOR DEVELOPMENT & EQUALITY INC.","CHAUTAUQUA","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153072","ACSV","LPA","CNSTR/RHAB","150000","COMMUNITY ACTION PLANNING COUNCIL OF JEFFERSON COUNTY, INC.","JEFFERSON","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153071","MRTL","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","SCHUYLER","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153070","MRTL","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","STEUBEN","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153069","REJP","LPA","CNSTR/RHAB","150000","FAMILY SERVICE SOCIETY OF YONKERS","WESTCHESTER","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153068","REST","LPA","CNSTR/RHAB","150000","GENESEE VALLEY RURAL PRESERVATION COUNCIL, INC.","LIVINGSTON","MULTI-MUNI","CONT","18","0","0","0","0","0"
"20153067","REJP","LPA","CNSTR/RHAB","50000","HOUSING ASSISTANCE PROGRAM OF ESSEX COUNTY, INC.","ESSEX","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153066","ACSS","LPA","CNSTR/RHAB","150000","FAMILY SERVICE SOCIETY OF YONKERS","WESTCHESTER","MULTI-MUNI","CONT","6","0","0","0","0","0"
"20153065","ACSV","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","CHEMUNG","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153064","ACSV","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","SCHUYLER","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153063","ACSV","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","STEUBEN","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153061","MRTL","LPA","CNSTR/RHAB","150000","HOME HEADQUARTERS, INC.","ONONDAGA","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153058","REJP","LPA","CNSTR/RHAB","150000","SCAP D/B/A ARBOR HOUSING & DEVELOPMENT","STEUBEN","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153056","ACSV","LPA","CNSTR/RHAB","150000","ACCESS TO INDEPENDENCE OF CORTLAND COUNTY, INC.","CORTLAND","MULTI-MUNI","CONT","12","0","0","0","0","0"
"20153055","REST","LPA","CNSTR/RHAB","150000","CAYUGA/SENECA COMMUNITY ACTION AGENCY, INC","CAYUGA","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153051","ACSV","LPA","CNSTR/RHAB","75000","ONONDAGA COUNTY COMMUNITY DEVELOPMENT","ONONDAGA","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153049","REST","LPA","CNSTR/RHAB","150000","COMMUNITY ACTION PLANNING COUNCIL OF JEFFERSON COUNTY, INC.","JEFFERSON","MULTI-MUNI","CONT","25","0","0","0","0","0"
"20153046","REST","LPA","CNSTR/RHAB","50000","CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.","CAYUGA","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153044","MRTL","LPA","CNSTR/RHAB","150000","CAYUGA COUNTY HOMSITE DEVELOPMENT CORP.","CAYUGA","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153043","REST","LPA","CNSTR/RHAB","75000","KEUKA HOUSING COUNCIL, INC.","YATES","MULTI-MUNI","CONT","12","0","0","0","0","0"
"20153042","REJP","LPA","CNSTR/RHAB","100000","ORANGE COUNTY RURAL DEVELOPMENT ADVISORY CORP.","ORANGE","MULTI-MUNI","CONT","12","0","0","0","0","0"
"20153041","REST","LPA","CNSTR/RHAB","95000","COMMUNITY ACTION OF ORLEANS AND GENESEE, INC.","MULTI-COUNTY",,"CONT","15","0","0","0","0","0"
"20153040","ACSV","LPA","CNSTR/RHAB","75000","REBUILDING TOGETHER SARATOGA COUNTY, INC.","MULTI-COUNTY",,"CONT","2","0","0","0","0","0"
"20153038","REST","LPA","CNSTR/RHAB","150000","FIRST WARD ACTION COUNCIL, INC.","BROOME","MULTI-MUNI","CONT","20","0","0","0","0","0"
"20153036","ACSV","LPA","CNSTR/RHAB","150000","FIRST WARD ACTION COUNCIL, INC.","BROOME","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153035","MRTL","LPA","CNSTR/RHAB","150000","FIRST WARD ACTION COUNCIL, INC.","BROOME","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153034","ACSS","LPA","CNSTR/RHAB","150000","FIRST WARD ACTION COUNCIL, INC.","BROOME","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153033","REJP","LPA","CNSTR/RHAB","84000","ALBANY COUNTY OPPORTUNITY, INC. DBA ALBANY COMMUNITY ACTION PARTNERSHIP","ALBANY","MULTI-MUNI","CONT","8","0","0","0","0","0"
"20153032","REST","LPA","CNSTR/RHAB","95000","COMMUNITY LAND TRUST OF SCHENECTADY, INC.","SCHENECTADY","SCHENECTADY","CONT","10","0","0","0","0","0"
"20153031","ACSV","LPA","CNSTR/RHAB","150000","ANDOVER HISTORIC PRESERVATION CORP.","ALLEGANY","MULTI-MUNI","CONT","12","0","0","0","0","0"
"20153030","REJP","LPA","CNSTR/RHAB","50000","VILLAGE OF SPRING VALLEY","ROCKLAND","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153027","ACSS","LPA","CNSTR/RHAB","150000","HAMASPIK OF ORANGE COUNTY","ORANGE","MULTI-MUNI","CONT","12","0","0","0","0","0"
"20153026","ACSV","LPA","CNSTR/RHAB","100000","COMMISSION ON ECONOMIC OPPORTUNITY FOR THE GREATER CAPITAL REGION, INC.","RENSSELAER","MULTI-MUNI","CONT","4","0","0","0","0","0"
"20153025","MRTL","LPA","CNSTR/RHAB","100000","COMMISSION ON ECONOMIC OPPORTUNITY FOR THE GREATER CAPITAL REGION, INC.","RENSSELAER","MULTI-MUNI","CONT","4","0","0","0","0","0"
"20153023","REJP","LPA","CNSTR/RHAB","100000","COMMISSION ON ECONOMIC OPPORTUNITY FOR THE GREATER CAPITAL REGION, INC.","RENSSELAER","MULTI-MUNI","CONT","10","0","0","0","0","0"
"20153020","ACSS","LPA","CNSTR/RHAB","150000","FRIENDS OF THE NORTH COUNTRY, INC.","CLINTON","MULTI-MUNI","CONT","7","0","0","0","0","0"
"20153019","REJP","LPA","CNSTR/RHAB","65000","OTSEGO RURAL HOUSING ASSISTANCE, INC.","OTSEGO","MULTI-MUNI","CONT","20","0","0","0","0","0"
"20153018","MRTL","LPA","CNSTR/RHAB","150000","UNITED CEREBRAL PALSY OF NEW YORK CITY, INC","NYC","NEW YORK CITY","CONT","12","0","0","0","0","0"
"20153016","MRTL","LPA","CNSTR/RHAB","150000","REBUILDING TOGETHER SARATOGA COUNTY, INC.","SARATOGA","MULTI-MUNI","CONT","25","0","0","0","0","0"
"20153014","REJP","LPA","CNSTR/RHAB","150000","REBUILDING TOGETHER SARATOGA COUNTY, INC.","SARATOGA","MULTI-MUNI","CONT","25","0","0","0","0","0"
"20153013","REJP","LPA","CNSTR/RHAB","150000","ONONDAGA COUNTY COMMUNITY DEVELOPMENT","ONONDAGA","MULTI-MUNI","CONT","18","0","0","0","0","0"
"20153011","ACSS","LPA","CNSTR/RHAB","150000","UNITED CEREBRAL PALSY OF NEW YORK CITY, INC","NYC","NEW YORK CITY","CONT","12","0","0","0","0","0"
"20153010","ACSV","LPA","CNSTR/RHAB","150000","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","MULTI-COUNTY",,"CONT","8","0","0","0","0","0"
"20153007","MRTL","LPA","CNSTR/RHAB","150000","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","MULTI-COUNTY",,"CONT","8","0","0","0","0","0"
"20153006","ACSS","LPA","CNSTR/RHAB","150000","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","MULTI-COUNTY",,"CONT","8","0","0","0","0","0"
"20153005","REST","LPA","CNSTR/RHAB","75000","CATSKILL MOUNTAIN HOUSING DEVELOPMENT CORP. INC.","GREENE","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20153004","REST","LPA","CNSTR/RHAB","150000","BISHOP SHEEN ECUMENICAL HOUSING FOUNDATION, INC.","MULTI-COUNTY",,"CONT","30","0","0","0","0","0"
"20153003","REJP","LPA","CNSTR/RHAB","50000","PUTNAM COUNTY HOUSING CORP.","PUTNAM","MULTI-MUNI","CONT","9","0","0","0","0","0"
"20153001","REST","LPA","CNSTR/RHAB","150000","STONELEIGH HOUSING, INC.","MADISON","MULTI-MUNI","CONT","15","0","0","0","0","0"
"20150179","NYMS","LPA","CNSTR/RHAB","392375","NORTHFIELD COMMUNITY LDC OF STATEN ISLAND, INC.","RICHMOND","NEW YORK CITY","CONT","14","0","0","0","4","0"
"20150178","NYJP","LPA","CNSTR/RHAB","300000","SUTPHIN BOULEVARD DISTRICT MANAGEMENT ASSOCIATION, INC.","QUEENS","NEW YORK CITY","CONT","8","0","0","0","9","0"
"20150170","NYMS","LPA","CNSTR/RHAB","275000","VILLAGE OF PERRY","WYOMING","PERRY","CONT","10","0","0","0","15","0"
"20150163","RARP","LPA","CNSTR/RHAB","200000","SHADOWLAND ARTISTS, INC.","ULSTER","ELLENVILLE","CONT","0","0","1","0","0","0"
"20150162","NYJP","LPA","CNSTR/RHAB","500000","DOWNTOWN ITHACA ALLIANCE","TOMPKINS","ITHACA","CONT","0","0","0","0","4","0"
"20150161","NYJP","LPA","CNSTR/RHAB","300000","COUNTY OF TIOGA","TIOGA","WAVERLY","CONT","6","0","1","0","5","0"
"20150153","NYMS","LPA","CNSTR/RHAB","215000","CORNING INTOWN DISTRICT MANAGEMENT ASSOCIATION","STEUBEN","CORNING","CONT","6","0","0","0","8","0"
"20150151","NYJP","LPA","CNSTR/RHAB","300000","VILLAGE OF WATERLOO","SENECA","WATERLOO","CONT","6","0","0","0","5","0"
"20150147","NYJP","LPA","CNSTR/RHAB","300000","VILLAGE OF CANTON","ST LAWRENCE","CANTON","CONT","6","0","1","0","8","0"
