Sub Grantee Name,Street Address,City,State,Zip,Phone Number,Website,Services Provided,Population Served,CACG Recipient Headcount,Area Served,Award Period,Award Amount,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Kingsbridge Heights Community Center,3101 Kingsbridge Terrace,Bronx,N.Y.,10463,718-884-0700,http://khcc-nyc.org,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits - Mentoring  ",High School Students - Parents ,150,10463,Academic Year 2015-2016 ,162535,"3101 Kingsbridge Terrace
N Y 10463
(40.877308, -73.900607)",307,676,2032
Long Island University - Brooklyn,1 University Plaza,Brooklyn,N.Y.,11201,718-488-3405,http://liu.edu/Brooklyn,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits - Mentoring  ",High School Students - Middle School Students ? Parents ,100,11213,Academic Year 2015-2016 ,49680,"1 University Plaza
N Y 11201
(40.692016, -73.981572)",894,880,2090
New Settlement College Access Center,1563 Walton Avenue,Bronx,N.Y.,10452,718-294-3870,http://settlementhousingfund.org,Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance ,High School Students - Parents,550,10452 - 10468 - 10452,Academic Year 2015-2016 ,124740,"1563 Walton Avenue
N Y 10452
(40.84317, -73.913368)",307,648,2032
"New York City Outward Bound Center, Inc.",29-46 Northern Boulevard,Long Island City,N.Y.,11101,718-706-9900,http://nycoutwardbound.org,Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid Form completion and assistance - College Visits - Professional Development for School Counselors,High School Students - Parents - Professional Staff,786,10011 - 11231 - 11694 - 11203 - 11214 - 10457 - 10033 - 10314,Academic Year 2015-2016 ,183667,"29 46 Northern Boulevard
Long Island City, N.Y. 11101
(40.74987779300005, -73.93591972699994)",196,873,2137
NYS Dept. of Corrections and Community Supervision,Harriman State Campus BLD2 1220 Washington Ave,Albany,N.Y.,12226,518-408-0285,http://doccs.ny.gpv,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - Academic Enrichment, Tutoring and SAT / ACT preparation services ",Adult Learners,525,12831 - 12051 - 13024 - 13118 - 13618 - 10963 - 11101,Academic Year 2015-2016 ,180000,"1220 Washington Ave
N Y 12226
(42.686251, -73.814334)",814,43,2030
NYS Office of Children and Family Services,52 Washington Street Room 236 N,Rensselaer,N.Y.,12144,518-408-0285,http://youthincare.org,Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - College Visits - Mentoring ,High School Students - Middle School Students,400,12144,Academic Year 2015-2016 ,400000,"52 Washington Street Room 236 N
N Y 12144
(42.639851, -73.744386)",115,1309,2138
On Point for College,1654 W Onondaga Street,Syracuse,N.Y.,13204,315-362-5003,http://onpointforcollege.org,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits - Direct Assistance / Need Based Grant Funding ",High School Students - Middle School Students ?  Adult Learners,4500,13204 - 10025 - 10452 - 13501,Academic Year 2015-2016 ,1200000,"1654 W Onondaga Street
N Y 13204
(43.033711, -76.181188)",687,713,2132
Sports & Arts in School Foundation,12 Queens Boulevard Suite 1,Woodside Queens,N.Y.,11377,347-417-8120,http://sasfny.org,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - Academic Enrichment, Tutoring - College Visits - Mentoring  ",Middle School Students ? Parents ,75,10052 - 10550,Academic Year 2015-2016 ,50000,"12 Queens Boulevard Suite 1
Queens, N.Y. 11377
(40.73939807800008, -73.89104845399999)",196,846,2137
State University of New York,T-8 State University Plaza,Albany,N.Y.,12246,518-320-1399,http://suny.edu,"Outreach and information on the benefits of postsecondary education -  Academic Enrichment, Tutoring - Mentoring - College Completion Services",College Students,400,12246,Academic Year 2015-2016 ,300000,"8 State University Plaza
Albany, N.Y. 12246
(42.694847167000034, -73.72207885099994)",834,41,2030
"Sunnyside Community Services, Inc.",31 39th Street,Sunnyside,N.Y.,11104,718-784-6173,http://scsny.org,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits - Mentoring  ",High School Students,90,11101,Academic Year 2015-2016 ,109180,"31 39th Street
N Y 11104
(40.750676, -73.980121)",749,739,2095
Syracuse University,"804 University Avenue, Suite 009",Syracuse,N.Y.,13244,315-443-3867,http://syr.edu,Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid Form completion and assistance - College Visits ,High School Students - Parents ,100,13601,Academic Year 2015-2016 ,49988,"804 University Avenue
Syracuse, N.Y. 13244
(43.03824598700004, -76.13541656599995)",687,728,2132
Veteran's Outreach Center,459 South Avenue ,Rochester,N.Y.,14620,585-295-7800,http://veteransoutreachcenter.org,Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance,Adult Learners - Veterans,300,14620,Academic Year 2015-2016 ,72980,"459 South Avenue
N Y 14620
(43.14694, -77.605728)",537,1679,2093
"Yonkers Partners in Education, Inc.","86 Main Street, Suite 301",Yonkers,N.Y.,10701,914-377-4882,http://ypie.org,"Outreach and information on the benefits of postsecondary education - Outreach and information on how to pay for college - FAFSA and Financial Aid form completion assistance - Academic Enrichment, Tutoring and SAT / ACT preparation services - College Visits",High School Students - Middle School Students ? Parents ,618,10701,Academic Year 2015-2016 ,492354,"86 Main Street
Yonkers, N.Y. 10701
(40.93473375600007, -73.90185597199996)",948,1441,2185
