"type_of_insurer","company_name","year","assets","liabilities","premium_written"
"MCH","Allegany-Cattaraugus Schools Medical Health Plan","2019","36361514","15700929","$48,683,818"
"A&H","American Independent Network Insurance Company of New York","2019","17192236","49909685","$1,663,301"
"A&H","Anthem Ins Co Inc","2019","3818067287","2621655041","$86,083,815"
"A&H","Bright Hlth Ins Co of NY","2019","21810546","2295274","$4,260,755"
"HMO","Capital District Physicians Health Plan","2019","616663205","231564335","$1,601,339,563"
"A&H","Care Improvement Plus of South Central Insurance Company","2019","772377577","274647745","$30,301,530"
"A&H","CareConnect Insurance Company, Inc. (formerly North Shore LIJ CareConnect Insurance Company)","2019","70123227","8972485","$0"
"HMO","Catholic Special Needs Plan, LLC","2019","15682632","8627184","$55,180,932"
"MCH","Catskill Area Schools Employees Benefit Plan","2019","35138074","5963288","$35,616,993"
"MCH","Cayuga-Onondaga Area School Employees' Healthcare Plan","2019","34410983","4587731","$26,390,971"
"A43","CDPHP Universal Benefits, Inc.","2019","195768342","64870179","$541,682,310"
"MCH","Chautauqua County School Districts' Medical Health Plan","2019","43047560","10166256","$58,986,158"
"A&H","Crystal Run Health Insurance Company, Inc.","2019","11253567","8574230","$13,218,046"
"HMO","Crystal Run Health Plan, LLC","2019","9614429","7902530","$12,410,549"
"A&H","Delta Dental Insurance Company","2019","359290288","153093978","$23,908,787"
"A43","Delta Dental of New York, Inc.","2019","119873739","23504502","$201,759,057"
"A43","Dentcare Delivery Systems, Inc.","2019","21017605","8798154","$61,558,649"
"A43","Eastern Vision Service Plan, Inc.","2019","38780262","20500436","$86,973,267"
"HMO","Elderplan, Inc.","2019","279638208","140527592","$1,198,838,855"
"A&H","Empire HealthChoice Assurance, Inc.","2019","1982115146","1084397218","$2,822,978,968"
"HMO","Empire HealthChoice HMO, Inc.","2019","408659367","251503597","$903,159,101"
"A&H","Envision Insurance Company","2019","704270210","649488313","$30,986,235"
"A43","Excellus Health Plan, Inc.","2019","3727678741","2310324496","$5,964,621,367"
"A&H","Freelancers Insurance Company, Inc.","2019","2755912","301567","$0"
"HMO","Fresenius Health Plans of New York Inc","2019","1218649","720022","($8,454)"
"MCH","Greater Tompkins County Municipal Health Insurance Consortium","2019","32080107","6752093","$50,296,736"
"A43","Group Health Incorporated","2019","661551448","332990996","$764,214,963"
"A&H","Hallmark Life Insurance Company","2019","309349913","136925809","$0"
"HMO","Hamaspik, Inc","2019","0","0","$0"
"A&H","Health Insurance Company of America, Inc.","2019","315169","12000","$0"
"A43","Health Insurance Plan of Greater New York","2019","1352499507","1027414476","$5,018,084,227"
"HMO","Health Pointe of New York, LLC","2019","2460583","92153","$0"
"HMO","Healthfirst Health Plan, Inc. (formerly Managed Health, Inc.)","2019","873247322","505306358","$3,031,347,098"
"A&H","Healthfirst Insurance Company, Inc.","2019","42801269","28154084","$52,603,624"
"A43","HealthNow New York Inc.","2019","1238067143","535992651","$2,834,397,358"
"A&H","Healthplex Insurance Company","2019","5556783","945973","$8,292,665"
"A&H","HealthSpring Life & Health Insurance Company, Inc.","2019","1096647893","495284532","$0"
"A&H","HIP Insurance Company of New York","2019","52522670","15496662","$29,746,481"
"HMO","Humana Health Company of New York, Inc.","2019","134407484","84813402","$315,663,653"
"A&H","Humana Insurance Company of New York","2019","142139605","60387051","$371,971,142"
"HMO","Independent Health Association, Inc.","2019","774862583","332426658","$1,432,600,247"
"A43","Independent Health Benefits Corporation","2019","303574301","194755993","$545,523,196"
"MCH","Jefferson-Lewis et. al. School Employees Healthcare Plan","2019","52538678","13631784","$74,674,303"
"HMO","Longevity Hlt Plan of NY, Inc.","2019","4006472","3087592","$6,096,923"
"A&H","MedAmerica Insurance Company of New York","2019","996917671","972710930","$47,426,249"
"A&H","Medco Containment Insurance Company of New York","2019","72482410","22896663","$110,352,228"
"A&H","Merit Health Insurance Company","2019","94850711","60288186","$23,550,937"
"HMO","Mount Carmel Health Plan of New York, Inc.","2019","0","0","$0"
"A&H","Mutual of Omaha Insurance Company","2019","9107411493","5967427284","$80,727,783"
"A&H","MVP Health Insurance Company","2019","5803222","605379","$0"
"HMO","MVP Health Plan, Inc.","2019","725111523","321125263","$2,487,880,004"
"A43","MVP Health Services Corp.","2019","186248461","93075746","$705,851,870"
"A&H","Northwestern Long Term Care Insurance Company","2019","283246348","109741037","$42,110,705"
"MCH","Orange-Ulster School Districts Plan","2019","111966036","39329711","$158,715,049"
"HMO","Oscar Health Plan of New York, Inc.","2019","11589030","2733987","$0"
"A&H","Oscar Insurance Corporation","2019","208547113","187808470","$263,791,218"
"A&H","Oxford Health Insurance, Inc.","2019","2920122943","1435909805","$6,760,258,873"
"HMO","Oxford Health Plans (NY), Inc.","2019","463565759","187795161","$778,778,708"
"A&H","Physicians Mutual Insurance Company","2019","2480535724","1443151361","$4,161,233"
"A43","Pupil Benefits Plan, Inc.","2019","16718552","8813715","$8,430,300"
"MCH","Putnam/Northern Westchester Health Benefits Consortium","2019","82380340","33608745","$118,566,724"
"HMO","Quality Health Plans of New York, Inc.","2019","4424599","34583540","$30,812,641"
"MCH","Rochester Area School Health Plan II Municipal Cooperative Health Benefit Plan","2019","103695334","37086280","$251,428,603"
"HMO","Senior Whole Health of New York, Inc.","2019","207074841","131040728","$838,079,159"
"A&H","Sierra Health and Life Insurance Co, Inc.","2019","5301099835","2344262599","$682,248,037"
"A&H","SilverScript Insurance Company","2019","2875304609","1747075061","$206,588,075"
"A&H","Solstice Health Insurance Company","2019","22190521","16787262","$6,242,711"
"HMO","SPARTAN Plan, NY, Inc.","2019","2548317","1753363","$2,694,126"
"MCH","St. Lawrence-Lewis Counties School Districts Employees Medical Plan","2019","21797734","14677063","$82,748,242"
"MCH","State-Wide Schools Cooperative Health Plan","2019","111645290","50433183","$197,011,506"
"MCH","Steuben Area School Employees' Benefit Plan","2019","13052968","2923934","$15,032,844"
"A&H","Trustmark Insurance Company","2019","1654084711","1323209377","$10,658,521"
"A&H","Tufts Insurance Company","2019","132040727","57936688","$0"
"A&H","United Concordia Insurance Company of New York","2019","4801028","734742","$4,652,195"
"A&H","UnitedHealthcare Insurance Company of New York","2019","1472476057","755839109","$3,321,198,747"
"HMO","Unitedhealthcare of New York, Inc.","2019","1322290468","779455617","$5,238,720,289"
"A&H","WellCare Health Insurance of New York, Inc.","2019","6490388","307110","$1,371,828"
"A&H","WellCare Prescription Insurance, Inc.","2019","953473846","719910982","$129,892,993"
"A&H","Accendo Insurance Company","2018","59663808","32357227","$0"
"HMO","Aetna Health Inc","2018","289666045","67937923","$116,157,259"
"A&H","Aetna Health Insurance Company of New York","2018","10442769","89076","$0"
"MCH","Allegany-Cattaraugus Schools Medical Health Plan","2018","32658303","16066088","$47,099,810"
"A&H","American Independent Network Insurance Company of New York","2018","18634051","48832858","$1,929,323"
"A&H","Anthem Insurance Companies, Inc","2018","3480937549","2300635887","$0"
"HMO","Atlantis Health Plan, Inc.","2018","2382843","3423145","$0"
"A&H","Bright Health Insurance Company of New York","2018","23679675","112315","$0"
"HMO","Capital District Physicians Health Plan","2018","585971166","207135914","$1,513,648,272"
"A&H","Care Improvement Plus South Central Insurance Company","2018","727698573","254651592","$0"
"A&H","CareConnect Insurance Company, Inc.","2018","97369960","53782482","$44,461,927"
"HMO","Catholic Special Needs Plan, LLC","2018","14328553","8398860","$47,386,385"
"MCH","Catskill Area Schools Employees Benefit Plan","2018","30132876","5840447","$35,712,464"
"MCH","Cayuga-Onondaga Area School Employees' Healthcare Plan","2018","33524021","4173094","$26,339,109"
"A43","CDPHP Universal Benefits, Inc.","2018","197956040","63103396","$549,124,864"
"MCH","Chautauqua County School Districts' Medical Health Plan","2018","34796003","9908208","$57,304,345"
"A&H","Crystal Run Health Insurance Company,Inc.","2018","11980875","9000425","$13,254,173"
"HMO","Crystal Run Health Plan, LLC","2018","14051334","12076422","$17,733,803"
"A&H","Delta Dental Insurance Company","2018","321064759","149411862","$23,636,878"
"A43","Delta Dental of New York, Inc.","2018","98327953","25376064","$180,465,602"
"A43","Dentcare Delivery Systems, Inc.","2018","21071189","9366326","$60,826,945"
"A43","Eastern Vision Service Plan, Inc.","2018","38307265","19981162","$97,365,247"
"HMO","Elderplan, Inc.","2018","256313266","155106090","$1,088,067,731"
"A&H","Empire HealthChoice Assurance, Inc.","2018","1980366474","1159030691","$2,588,542,607"
"HMO","Empire HealthChoice HMO, Inc.","2018","434637489","247626320","$932,354,994"
"A&H","Envision Insurance Company","2018","496667034","444845802","$23,771,249"
"A43","Excellus Health Plan, Inc.","2018","3385426128","2247931244","$5,780,629,007"
"A&H","Freelancers Insurance Company, Inc.","2018","3267288","281505","$0"
"HMO","Fresenius Health Plans of New York, Inc.","2018","5272007","3981323","$3,429,910"
"MCH","Greater Tompkins County Municipal Health Insurance Consortium","2018","26531122","5207165","$40,774,492"
"A43","Group Health Incorporated","2018","661581934","341391899","$807,257,621"
"A&H","Hallmark Life Insurance Company","2018","494498457","391332432","$0"
"A&H","Health Insurance Company of America, Inc.","2018","316224","19464","$0"
"A43","Health Insurance Plan of Greater New York","2018","1220792855","860045367","$5,007,371,612"
"HMO","Health Pointe of New York, LLC","2018","2269468","0","$0"
"HMO","Healthfirst Health Plan, Inc. (formerly Managed Health, Inc.)","2018","775865850","436868215","$2,620,562,639"
"A&H","Healthfirst Insurance Company, Inc.","2018","40087171","25246024","$35,038,194"
"A43","Healthnow New York Inc.","2018","1113326232","488702382","$2,652,249,710"
"A&H","Healthplex Insurance Company","2018","7325562","967459","$7,269,915"
"A&H","HealthSpring Life & Health Insurance Company, Inc.","2018","1060303946","497558195","$0"
"A&H","HIP Insurance Company of New York","2018","49124541","8099548","$8,338,872"
"HMO","Humana Health Company of New York, Inc.","2018","95373433","58478292","$197,390,663"
"A&H","Humana Insurance Company of New York","2018","133976438","53533585","$271,053,447"
"HMO","Independent Health Association, Inc.","2018","688817966","301685138","$1,384,850,732"
"A43","Independent Health Benefits Corporation","2018","247340586","150967690","$632,636,545"
"MCH","Jefferson-Lewis et. al. School Employees Healthcare Plan","2018","49840768","13267448","$72,954,514"
"HMO","Longevity Health Plan of New York, Inc.","2018","4968670","0","$0"
"A&H","MedAmerica Insurance Company of New York","2018","930950257","908992332","$45,603,365"
"A&H","Medco Containment Insurance Company of New York","2018","69970327","18807873","$120,634,206"
"A&H","Merit Health Insurance Company","2018","127559044","74103327","$23,343,034"
"A&H","Mutual of Omaha Insurance Company","2018","8084019676","4911301789","$74,050,316"
"A&H","MVP Health Insurance Company","2018","7309338","3057727","$0"
"HMO","MVP Health Plan, Inc.","2018","736698430","331967876","$2,509,772,447"
"A43","MVP Health Services Corp.","2018","167188925","81538628","$734,025,597"
"A&H","Northwestern Long Term Care Insurance Company","2018","240434860","98666149","$39,753,019"
"MCH","Orange-Ulster School Districts Plan","2018","58097897","39693039","$148,976,223"
"A&H","Oscar Insurance Corporation","2018","187468190","159449414","$298,796,458"
"A&H","Oxford Health Insurance, Inc.","2018","2624107669","1289793449","$6,590,884,470"
"HMO","Oxford Health Plans (NY), Inc.","2018","471568664","230659746","$867,757,376"
"A&H","Physicians Mutual Insurance Company","2018","2356292530","1362930956","$2,929,824"
"A43","Pupil Benefits Plan, Inc.","2018","15325992","8105680","$8,308,507"
"MCH","Putnam/Northern Westchester Health Benefits Consortium","2018","73529881","31734181","$113,254,224"
"HMO","Quality Health Plans of New York, Inc.","2018","5008549","26366603","$42,004,572"
"MCH","Rochester Area School Health Plan II Municipal Cooperative Health Benefit Plan","2018","0","0","$0"
"HMO","Senior Whole Health of New York, Inc.","2018","176162385","137790801","$688,221,927"
"A&H","Sierra Health and Life Insurance Company, Inc.","2018","4126484433","2009997623","$617,569,142"
"A&H","SilverScript Insurance Company","2018","2371801053","1372957202","$202,294,875"
"A&H","Solstice Health Insurance Company","2018","17216177","14258758","$14,360,570"
"HMO","SPARTAN Plan, NY, Inc.","2018","2327008","270648","$1,241,553"
"MCH","St. Lawrence-Lewis Counties School Districts Employees Medical Plan","2018","19530763","14670851","$78,486,209"
"MCH","State-Wide Schools Cooperative Health Plan","2018","102349781","42893831","$186,374,362"
"MCH","Steuben Area School Employees' Benefit Plan","2018","12013471","2638946","$17,454,750"
"A&H","Trustmark Insurance Company","2018","1585483585","1250472667","$21,830,179"
"A&H","Tufts Insurance Company","2018","113491153","42703131","$0"
"A&H","United Concordia Insurance Company of New York","2018","5056642","991529","$6,943,864"
"A&H","UnitedHealthcare Insurance Company of New York","2018","1350427643","749041208","$3,346,097,277"
"HMO","UnitedHealthcare of New York, Inc.","2018","1295798718","682838404","$5,339,310,164"
"A&H","WellCare Health Insurance of New York, Inc.","2018","6136757","58102","$491,953"
"A&H","WellCare Prescription Insurance, Inc.","2018","1136511455","944865897","$50,390,200"
"A&H","Accendo Ins Co","2017","12949885","3250140","$0"
"HMO","Aetna Hlth Inc NY Corp","2017","270088039","44630857","$123,033,987"
"A&H","Aetna Hlth Ins Co of NY","2017","10286729","19550","$26,295"
"MCH","Allegany-Cattaraugus Schools Medical Health Plan","2017","31000025","12752424","$45,239,771"
"HMO","Alphacare of NY","2017","54351336","27063112","$187,930,290"
"A&H","American Independent Ntwrk Ins Co NY","2017","24655649","50739837","$2,111,223"
"HMO","Atlantis Hlth Plan","2017","0","0","$0"
"HMO","Capital District Physicians Hlthpln","2017","523759421","189472660","$1,442,558,514"
"A&H","Care Improvement Plus S Central Ins","2017","593648460","246417200","$0"
"A&H","CareConnect Ins Co Inc (formerly North Shore LIJ CareConnect Ins Co)","2017","325353196","253179001","$561,512,053"
"HMO","Catholic Special Needs Plan LLC","2017","14574719","7921735","$45,715,924"
"MCH","Catskill Area Schools Employees Benefit Plan","2017","25936849","5433879","$36,661,723"
"MCH","Cayuga-Onondaga Area School Employees' Healthcare Plan","2017","30874548","4334663","$25,879,581"
"A43","CDPHP Universal Benefits Inc","2017","179454908","54608563","$574,393,312"
"MCH","Chautauqua County School Districts' Medical Health Plan","2017","29270035","10386664","$51,355,345"
"A&H","Crystal Run Hlth Ins Co Inc","2017","11599306","6671141","$12,926,245"
"HMO","Crystal Run Hlth Plan LLC","2017","11006683","5858455","$17,870,313"
"HMO","Cuatro LLC","2017","0","0","$0"
"A&H","Delta Dental Ins Co","2017","307359159","153759601","$22,638,345"
"A43","Delta Dental of NY","2017","79855433","23284632","$170,880,648"
"A43","Dentcare Delivery Systems Inc","2017","18684013","7390512","$61,187,272"
"A43","Eastern Vision Serv Plan Inc","2017","38879403","14750597","$95,983,600"
"HMO","Elderplan Inc","2017","224624177","144132381","$965,553,540"
"A&H","Empire Healthchoice Assur Inc","2017","2176966214","1213188089","$2,145,020,071"
"A&H","Envision Ins Co","2017","428859470","381400312","$13,652,946"
"A43","Excellus Hlth Plan Inc","2017","3348899684","1910780573","$5,719,583,996"
"A&H","Freelancers Ins Co Inc","2017","4010549","395546","$0"
"HMO","Fresenius Hlth Plans of NY Inc","2017","4458376","3013488","$1,620,875"
"MCH","Greater Tompkins County Municipal Health Insurance Consortium","2017","24290896","5289610","$38,519,955"
"A43","Group Hlth Inc","2017","723141193","387090163","$773,670,257"
"A&H","Health Ins Co of Amer Inc","2017","886198","731409","$113,479"
"A43","Health Ins Plan of Greater NY","2017","1252870888","861035416","$4,742,755,139"
"HMO","Healthfirst Hlt Plan Inc (formerly Managed Hlth Inc)","2017","751383048","452417986","$2,275,693,683"
"A&H","Healthfirst Ins Co Inc","2017","24484159","4885000","$1,525,503"
"A43","HealthNow NY Inc","2017","1072495239","460748664","$2,485,520,506"
"A&H","Healthplex Ins Co","2017","6510693","669845","$8,344,361"
"A&H","Healthspring Life & Hlth Ins Co Inc","2017","545276951","286611179","($25,198)"
"A&H","HIP Ins Co Of NY","2017","53449523","13766952","$9,016,359"
"HMO","Humana Hlth Co of NY Inc","2017","56854607","36467329","$128,092,257"
"A&H","Humana Ins Co of NY","2017","154423750","82552013","$277,215,345"
"HMO","Independent Hlth Assn","2017","721968518","354443761","$1,385,013,736"
"A43","Independent Hlth Benefits Corp","2017","290828985","198311241","$637,916,481"
"MCH","Jefferson-Lewis et. al. School Employees Healthcare Plan","2017","45358576","12764543","$70,830,970"
"A&H","MedAmerica Ins Co of NY","2017","788947530","770873037","$43,098,268"
"A&H","Medco Containment Ins Co Of NY","2017","66090540","16156111","$115,833,596"
"A&H","Mutual Of Omaha Ins Co","2017","7824432993","4634792225","$65,900,183"
"A&H","MVP Hlth Ins Co","2017","6997099","4003155","$3,897"
"HMO","MVP Hlth Plan Inc","2017","696058590","307358413","$2,446,137,020"
"A43","MVP Hlth Serv Corp","2017","164701407","94386937","$668,500,364"
"A&H","Northwestern Long Term Care Ins Co","2017","200551434","96444152","$37,830,671"
"MCH","Orange-Ulster School Districts Plan","2017","54334337","59631870","$144,331,545"
"A&H","Oscar Ins Corp","2017","178223631","138965783","$159,466,829"
"A&H","Oxford Hlth Ins Inc","2017","2570052167","1239056323","$5,878,013,402"
"HMO","Oxford Hlth Plans NY Inc","2017","546664475","279504461","$1,102,663,857"
"A&H","Physicians Mut Ins Co","2017","2291892719","1340721695","$1,720,023"
"A43","Pupil Benefits Plan Inc","2017","14544026","8558788","$8,729,455"
"MCH","Putnam/Northern Westchester Health Benefits Consortium","2017","63741807","35397429","$112,424,210"
"HMO","Quality Hlth Plans of NY Inc","2017","18250981","15645867","$31,961,099"
"A&H","Renaissance Hlth Ins Co of NY","2017","10068296","2127593","$4,511,890"
"MCH","Rochester Area School Health Plan II Municipal Cooperative Health Benefit Plan","2017","0","0","$0"
"HMO","Senior Whole Hlth of NY Inc","2017","98605934","64451352","$412,233,764"
"A&H","Sierra Hlth & Life Ins Co Inc","2017","3270024457","1758197651","$585,247,306"
"A&H","SilverScript Ins Co","2017","2075392052","1109806795","$208,647,424"
"A&H","Solstice Health Ins Co","2017","5479792","3739203","$6,521,732"
"HMO","SPARTAN Plan, NY, Inc.","2017","2779572","2790","$0"
"MCH","St. Lawrence-Lewis Counties School Districts Employees Medical Plan","2017","18034334","14261526","$73,187,582"
"MCH","State-Wide Schools Cooperative Health Plan","2017","88992045","39868496","$173,789,202"
"MCH","Steuben Area School Employees' Benefit Plan","2017","9470571","3034432","$17,363,490"
"HMO","Touchstone Hlth HMO Inc","2017","7158852","5648990","$6,320"
"A&H","Trustmark Ins Co","2017","1547984610","1224174235","$27,311,856"
"A&H","Tufts Ins Co Inc","2017","98868881","46261726","$3,532,568"
"A&H","United Concordia Ins Co Of NY","2017","5667523","1305763","$6,888,783"
"A&H","United Hlthcare Ins Co Of NY","2017","1261810734","755486624","$3,495,872,421"
"HMO","UnitedHealthcare Of NY Inc","2017","1195015849","624212178","$4,427,992,069"
"A&H","Wellcare Hlth Ins of NY Inc","2017","6100146","8340","$0"
"A&H","Wellcare Prescription Ins Inc","2017","1491334381","1246140208","$55,303,422"
"HMO","Aetna Health Inc.","2016","264675036","50287241","$174,203,509"
"A&H","Aetna Health Insurance Company of New York","2016","10461315","287140","$157,474"
"MCH","Allegany-Cattaraugus Schools Medical Health Plan","2016","31000025","12752424","$45,239,771"
"HMO","Alphacare of New York, Inc.","2016","46967357","28389712","$138,475,699"
"A&H","American Independent Network Insurance Company of New York","2016","23770607","43561275","$2,271,595"
"HMO","Atlantis Health Plan, Inc.","2016","2382843","3423145","$259,045"
"HMO","Capital District Physicians Health Plan","2016","506939926","198568427","$1,445,328,230"
"A&H","Care Improvement Plus of South Central Insurance Company","2016","1029490809","606426571","$0"
"A&H","Care Improvement Plus of TX Ins Co","2016","378924070","258073159","($654)"
"A&H","CareConnect Insurance Company, Inc. (formerly North Shore LIJ CareConnect Insurance Company)","2016","278054898","245404525","$366,041,359"
"HMO","Catholic Special Needs Plan, LLC","2016","15129739","8790353","$48,423,769"
"MCH","Catskill Area Schools Employees Benefit Plan","2016","25936849","5433879","$36,661,723"
"MCH","Cayuga-Onondaga Area School Employees' Healthcare Plan","2016","30874548","4334663","$25,879,581"
"A43","CDPHP Universal Benefits, Inc.","2016","175309773","61562217","$693,683,998"
"MCH","Chautauqua County School Districts' Medical Health Plan","2016","29270035","10386664","$51,355,345"
"A&H","Commercial Travelers Mutual Insurance Company","2016","16561397","11647270","$1,566,621"
"A&H","Crystal Run Health Insurance Company, Inc.","2016","6720994","6377174","$9,732,015"
"HMO","Crystal Run Health Plan, LLC","2016","11990064","8472873","$13,473,766"
"HMO","Cuatro LLC","2016","6863922","12150118","$36,152,592"
"A&H","Delta Dental Insurance Company","2016","254433443","132963093","$22,114,337"
"A43","Delta Dental of New York, Inc.","2016","64502138","26732572","$162,045,612"
"A43","Dentcare Delivery Systems, Inc.","2016","17960851","7143314","$62,220,842"
"A43","Eastern Vision Service Plan, Inc.","2016","41486496","12547190","$88,898,347"
