"facility_name","location_address","location_address2","city","state","zip_code","county","region","phone_number","owner_name","owner_type","activity_desc","activity_number","active","east_coordinate","north_coordinate","accuracy_code","waste_types","authorization_number","authorization_issue_date","expiration_date","georeference"
"Empire Recycling-Confidata","64 N. Genesee Street",,"Utica (C)","NY","13502","Oneida","6","3157247161","Empire Recycling Corp.","Private","RHRF - greater than 5 tpd - registration","[33R20004]","Yes","481950","4772674","1 - No accuracy stated","Commingled Paper","33R20004","2019-03-11T00:00:00.000","2024-03-10T00:00:00.000","64 N. Genesee Street
Utica (C), NY 13502
(43.106888, -75.221875)"
"Fulton County Landfill","847 Mud Road",,"Johnstown","NY","12095","Fulton","5","5187365501","Fulton County","County","Landfill gas recovery","[18F]","Yes","543214","4761865","1 - No accuracy stated",,"5-1728-00005/00003","2017-02-15T00:00:00.000","2027-02-14T00:00:00.000",
"Grafton Town Transfer Station","2379 State Route 2","PO Box 1","Grafton","NY","12082","Rensselaer","4",,"Town of Grafton","Municipal","Transfer facility - registration","[42T12601]","Yes","627097","4736361",,"MSW (Residential/Institutional & Commercial);Single Stream","42T12601","2019-03-22T00:00:00.000","2024-03-22T00:00:00.000",
"Groff Land Clearing Debris Landfill","82 Brook Road",,"Saratoga Springs","NY","12866","Saratoga","5","5185840586","Howard H. Jr & Cynthia P. Groff","Private","Landfill - land clearing debris","[46D06]","Yes","595327","4770849",,"Land Clearing Debris","46D06","1995-05-09T00:00:00.000",,"82 Brook Road
Saratoga Springs, NY 12866
(43.084924, -73.828561)"
"Hillsdale TS","Holm Road",,"Hillsdale","NY","12529","Columbia","4","5183253844","Columbia County","County","Transfer station - registration","[11R42]","Yes","624269","4674539",,"Oil/Gas Drilling Waste;Single Stream","11R42",,,
"Hooper's Tire Outlet","17 Alexander Street",,"Rochester","NY","14620","Monroe","8","5857734335","Daniel Hooper","Private","Waste tire storage - Dealer","[28K11]","Yes","287940","4780359","4 - GIS Assisted","Tire","28K11","2016-12-01T00:00:00.000",,
"Inlet Recyclables Recovery Facility","Limekiln Road","County Route 14","Inlet","NY","13360","Hamilton","5","3153573867","Town of Inlet","Municipal","RHRF - registration","[21R03]","Yes","517259","4842534",,,"21R03",,,
"King Road Materials","145 Cordell Rd",,"Colonie","NY","12205","Albany","4","5183825354","Callanan Industries; Inc.","Private","C&D processing - registration","[01W02]","Yes","589716","4734355","4.3 - Utilization of Digital Orthophoto Quads","Asphalt","01W02",,,
"L&R Landscaping LCD Lf","Fuller Road",,"Peru","NY","12972","Clinton","5","5185614467","Todd Deyo","Private","Landfill - land clearing debris","[10D12]","Yes","621410","4934618","1 - No accuracy stated","Land Clearing Debris","10D12","1999-10-13T00:00:00.000",,
"Lakewood Farms","4024 State Route 14",,"Watkins Glen","NY","14891","Schuyler","8","6075359252","David Stamp",,"Land application - UFPW - registration","[49A30009]","Yes","343985","4696311",,"Non-recognizable Food Processing Waste","49A30009","2021-02-02T00:00:00.000","2026-02-02T00:00:00.000",
"Lewis Transfer Station - Elizabethtown","8181 Route 9",,"Lewis","NY","12950","Essex","5","5188736650","Essex County","Municipal","RHRF - registration","[16R38]","Yes","614062","4900800",,,"16R38",,,"8181 Route 9
Lewis, NY 12950
(44.252886, -73.568999)"
"Lockwood Ash Disp Site","Swarthout Road",,"Dresden","NY","14441","Yates","8",,"GMMM Lockwood LLC","Private","Landfill - industrial waste monofill - permit","[62N01]","Yes","339524","4726685",,,"8-5736-00005/00003","2008-09-05T00:00:00.000","2018-09-04T00:00:00.000",
"Madison County West Side Extension LF","6663 Buyea Road",,"Canastota","NY","13163","Madison","7","3153618408","Madison County  DSWS","County","WTHRF - permit","[27WP0016]","Yes","442714","4764923",,,,,,"6663 Buyea Road
Canastota, NY 13163
(43.034912, -75.702821)"
"Mitchell Auto Parts","4288 Route 96 South",,"Waterloo","NY","13165","Seneca","8","3155852200","Walter A. Mitchell","Private","VDF - large - registration","[50V50007]","Yes","348930","4742023",,"End of Life Vehicles","50V50007","2019-10-15T00:00:00.000","2024-10-15T00:00:00.000",
"Moore Farm","Gero Rd.",,"Mooers Forks","NY","12959","Clinton","5","5185947551","Charles Moore","Private","Land application - septage - registration","[10A40008]","Yes","600819","4975325","4.3 - Utilization of Digital Orthophoto Quads","Septage","10A40008","2019-07-26T00:00:00.000","2024-07-26T00:00:00.000",
"Moriah Transfer Station","Joyce Road",,"Moriah","NY","12974","Essex","5","5185468631","Essex County","County","RHRF - registration","[16R27]","Yes","618131","4882223",,,"16R27",,,
"Norfolk LCD","Town of Norfolk","Joy Road","Norfolk","NY","13667","St. Lawrence","6","3153844911","Town of Norfolk","Municipal","Landfill - land clearing debris","[45D04]","Yes","503995","4963185","4.3 - Utilization of Digital Orthophoto Quads",,"45D04","2005-10-06T00:00:00.000",,
"Northside Salvage Yard Inc 954","954 Linden Ave",,"East Rochester","NY","14625","Monroe","8","5853819667","John Sebastian","Private","VDF - large - registration","[28V50001]","Yes","297577","4777059",,,"28V50001","2018-05-14T00:00:00.000","2023-05-13T00:00:00.000",
"Organic Recycling Inc","121 Rt. 303",,"Tappan","NY","10962","Rockland","3","8453981012","Organic Recycling Inc.",,"Composting - yard waste - permit","[44Y09]","Yes","588894","4541336","4.3 - Utilization of Digital Orthophoto Quads","Yard Waste","3-3330-00082/00005","2004-06-03T00:00:00.000","2026-01-21T00:00:00.000",
"Patten Property - Great Lakes Cheese","208 Johnson Hollow Road",,"Ischua","NY","14727","Cattaraugus","9","5859681552","Great Lakes Cheese; Inc.","Private","Land application - UFPW - registration","[05A30001]","Yes","225829","4681936","1 - No accuracy stated","Non-recognizable Food Processing Waste","05A30001","2018-10-17T00:00:00.000","2023-10-17T00:00:00.000",
"PJ's Auto Parts Inc","2700 West Main Street",,"Caledonia","NY","14423","Livingston","8","5855382391","William Jones","Private","VDF - large - registration","[26V50006]","Yes","264613","4762430",,,"26V50006","2018-06-19T00:00:00.000","2023-06-18T00:00:00.000",
"Rochester            (T)","100 Airport Road",,"Accord","NY","12404","Ulster","3","8456265273","Town of Rochester","Municipal","Transfer station - registration","[56R08]","Yes","565385","4628915",,,"56R08",,,"100 Airport Road
Accord, NY 12404
(41.80865, -74.213557)"
"Schodack (T) Haight Pit Mine","Route 150 (NE of intersect w/ Rte 20)","25 Town Hall Way","Schodack","NY","12033","Rensselaer","4",,"Town of Schodack","Municipal","C&D processing - registration","[42W10]","Yes","605788","4711737","4.1 - Address Matching","Concrete;Asphalt","42W10","2017-03-03T00:00:00.000",,
"Seven-X Motors Inc","954 St. Route 17B",,"Bethel","NY","12762","Sullivan","3","8455835110","Ercole Alleva","Private","VDF - large - registration","[53V50003]","Yes","518079","4612936",,"End of Life Vehicles","53V50003","2019-03-05T00:00:00.000","2024-03-04T00:00:00.000",
"Shelter Island Recycling Transfer Station","34 N Menantic Road",,"Shelter Island","NY","11964-1000","Suffolk","1","6317491090","Town of Shelter Island","Municipal","Composting - yard trimmings - registration","[52P10282]","Yes","722194","4550401","4.3 - Utilization of Digital Orthophoto Quads","Yard Waste;Manure","52-0282","2021-11-18T00:00:00.000","2023-11-17T00:00:00.000","34 N Menantic Road
Shelter Island, NY 11964-1000
(41.066907, -72.352086)"
"Slate Valley Automotive LLC","7311 State Route 22",,"Granville","NY","12832","Washington","5","5186423167","William Bishop","Private","Motor vehicle repair shop - small - registration","[58V10001]","Yes","640240","4796886",,,"58V10001","2018-08-15T00:00:00.000","2023-08-14T00:00:00.000","7311 State Route 22
Granville, NY 12832
(43.310653, -73.270669)"
"Summit Auto Inc","3973 Route 209",,"Summitville","NY","12781","Sullivan","3","8458882500","Jim Blakesky","Private","Vehicle Dismantling Facility","[53J08]","Yes","545624","4608059",,,,,,
"Wells TS and LCD LF","232 Griffin Road",,"Wells","NY","12190","Hamilton","5","5189247912","Town of Wells","Municipal","Transfer station - registration","[21R08]","Yes","559211","4806968",,,,,,"232 Griffin Road
Wells, NY 12190
(43.415122, -74.268713)"
"Wilbert's Inc Webster","1272 Salt Road",,"Webster","NY","14580","Monroe","8","5858721540","Ronald Wilbert","Private","VDF - large - registration","[28V51001]","Yes","304748","4784526",,,"28V51001","2018-05-14T00:00:00.000","2023-05-13T00:00:00.000","1272 Salt Road
Webster, NY 14580
(43.18826, -77.400376)"
"Wilmington Transfer Station","Bonnieview Road",,"Wilmington","NY","12997","Essex","5","5189467179","Essex County","County","RHRF - registration","[16R34]","Yes","596330","4921122",,,"16R34","1994-02-09T00:00:00.000",,
"X-Plo LCD Lf","Kelly Road",,"Plattsburgh","NY","12901","Clinton","5","5185617810","Don Jerry X-Plo Inc","Private","Landfill - land clearing debris","[10D05]","Yes","617634","4946383","1 - No accuracy stated",,"10D05","1994-05-24T00:00:00.000",,
"Route 7 Used Auto Parts","3467 State Route 7",,"Hoosick Falls","NY","12090","Rensselaer","4","5188575115","Robert D West Sr.","Private","Vehicle Dismantling Facility","[7028939]","Yes","626994","4745057",,,,,,"3467 State Route 7
Hoosick Falls, NY 12090
(42.847113, -73.445837)"
"Cuba Auto Sales","9807 Route 446",,"Cuba","NY","14727","Allegany","9","5859681207","Stewart Freeman","Private","VDF - large - registration","[02V50011]","Yes","227995","4679113","1 - No accuracy stated","End of Life Vehicles;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous","02V50011","2018-11-02T00:00:00.000","2023-11-02T00:00:00.000","9807 Route 446
Cuba, NY 14727
(42.217259, -78.295867)"
"Frontier Fibers/ International Waste Removal Inc","4870 Packard Road",,"Niagara Falls","NY","14304-1510","Niagara","9","7162782000","International Waste Removal Inc",,"Other","[32Z05]","Yes","174204","4779654","4.2 - Utilization of GIS and existing spatial data",,"9-2911-00035/00019","2017-10-27T00:00:00.000","2022-10-26T00:00:00.000","4870 Packard Road
Niagara Falls, NY 14304-1510
(43.097859, -79.004172)"
"Sal's Metal Corp.","900 Edgewater Road",,"Bronx","NY","10474","Bronx","2","7183284921","Sal's Metal Corp.","Private","Scrap metal processor - registration","[03V30002]","Yes","594097","4519490","4.2 - Utilization of GIS and existing spatial data","Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Lead-acid Batteries","03V30002","2019-10-01T00:00:00.000","2024-09-30T00:00:00.000","900 Edgewater Road
Bronx, NY 10474
(40.821, -73.884435)"
"Kinsella Quarry","8086 East Genesee Street",,"Fayetteville","NY","13066","Onondaga","7","3156373390","T.H. Kinsella; Inc.","Private","CDDHRF - asphalt pavement and millings - registration","[34C20034]","Yes","421280","4765461","1 - No accuracy stated","Asphalt","34C20034","2018-06-05T00:00:00.000","2023-06-04T00:00:00.000","8086 East Genesee Street
Fayetteville, NY 13066
(43.039083, -75.966355)"
"New Style Recycling Corp","49-10 Grand Avenue",,"Maspeth","NY","11378","Queens","2","7183264175","Antoinette Cristina","Private","Transfer station - permit","[41CD0053]","Yes","591300","4507948",,"MSW (Residential/Institutional & Commercial)","2-6304-00021/00003","2017-03-10T00:00:00.000","2022-03-09T00:00:00.000","49-10 Grand Avenue
Maspeth, NY 11378
(40.717512, -73.918967)"
"Haines Falls Auto Service & Sales Inc","5183 Route 23A",,"Haines Falls","NY","12436","Greene","4","5185896181","Rory France","Private","Vehicle Dismantling Facility","[7025237]","Yes","574705","4671880",,,,,,"5183 Route 23A
Haines Falls, NY 12436
(42.195112, -74.094647)"
"WMNY Varick 1 Transfer Station","215 Varick Avenue",,"Brooklyn","NY","11237","Kings","2","7185335266","Waste Management of NY; LLC","Private","Transfer station - permit","[24T66]","Yes","590448","4507405","4.2 - Utilization of GIS and existing spatial data","Yard Waste;MSW (Residential/Institutional & Commercial)","2-6104-00010/00002","2018-10-30T00:00:00.000","2019-10-21T00:00:00.000","215 Varick Avenue
Brooklyn, NY 11237
(40.713076, -73.92942)"
"USDHS.- PIADC Bldg 102 Mobile Autoclave","Building 102","Wastewater Effluent Decontamination Syetem","Greenport","NY","11944","Suffolk","1","6313233007","US Department of Homeland Security","Federal","RMW - permit","[52JP0307]","Yes","735302","4561644","4.3 - Utilization of Digital Orthophoto Quads",,"1-4738-00028/00035","2020-12-31T00:00:00.000","2025-12-30T00:00:00.000",
"Mohawk Valley Materials Inc","6805 Martin Street",,"Rome","NY","13442","Oneida","6","3152714651","Joseph Rutkowski","Private","C&D processing - registration","[33W08]","Yes","464387","4782756","1 - No accuracy stated",,,,,"6805 Martin Street
Rome, NY 13442
(43.195455, -75.439114)"
"Marks Disposal Service","1970 William Street",,"Buffalo","NY","14206","Erie","9","7168961616","Martin T. Marks","Private","VDF - large - registration","[15V50022]","Yes","189887","4755064","1 - No accuracy stated","End of Life Vehicles","15V50022","2018-12-18T00:00:00.000","2023-12-18T00:00:00.000","1970 William Street
Buffalo, NY 14206
(42.884524, -78.796791)"
"Tate Street Realty LLC","442 Tate Street",,"Holbrook","NY","11741","Suffolk","1","6315805800","Get Rid of It By Recycling Inc","Private","Transfer facility - permit","[52T04]","Yes","662494","4516156","4.2 - Utilization of GIS and existing spatial data","Construction & Demolition Debris;MSW (Residential/Institutional & Commercial)","1-4728-00943/00004","2019-04-17T00:00:00.000","2023-01-21T00:00:00.000","442 Tate Street
Holbrook, NY 11741
(40.780506, -73.074266)"
"Erin Van Etten Drop-off","1892 Swartwood Road",,"Erin","NY","14838","Chemung","8","8002273552","Chemung County","County","Transfer facility - registration","[08T10013]","Yes","364678","4674411",,"MSW (Residential/Institutional & Commercial)","08T10013","2020-03-27T00:00:00.000","2025-03-26T00:00:00.000","1892 Swartwood Road
Erin, NY 14838
(42.207519, -76.645978)"
"Patchogue Municipal Garage (Incorporated Village of)","216 Waverly Ave.",,"Patchogue","NY","11772","Suffolk","1","6314754300","Village of Patchogue","Municipal","Transfer station - registration","[52R27R]","Yes","666433","4515346","4.3 - Utilization of Digital Orthophoto Quads","White Goods;Construction & Demolition Debris;Leaves & Grass;Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Yard Waste;Electronics;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics","52R27R","2006-10-11T00:00:00.000",,"216 Waverly Ave.
Patchogue, NY 11772
(40.772273, -73.027788)"
"North Shore Terminal","2537 Richmond Terrace",,"Staten Island","NY","10303","Richmond","2","7185560800","North Shore Terminal; Staten Island LLC",,"CDDHRF - concrete rock brick - registration","[43C10006]","Yes","572313","4498927","4.2 - Utilization of GIS and existing spatial data","Concrete;Brick;Rock","43C10006","2021-07-09T00:00:00.000","2026-07-08T00:00:00.000","2537 Richmond Terrace
Staten Island, NY 10303
(40.637839, -74.145386)"
"Repurposed Organics- R & R Windy Ridge","Woleben Rd",,"Portland","NY","14769","Chautauqua","9",,"Repurposed Organics LLC","Private","Land application - UFPW - registration","[07A30014]","Yes","130289","4697143","4.2.1 - Utilization of GIS and Facility Mapping System","Non-recognizable Food Processing Waste","07A30014","2018-07-17T00:00:00.000","2023-07-17T00:00:00.000",
"Crooker Trucking; LLC","8452 Lake Street Road",,"LeRoy","NY","14482","Genesee","8","9146496664","Ed Crooker","Private","Composting - SSO - registration","[19P20013]","Yes","0","0","1 - No accuracy stated","Source Separated Organic Waste (SSOW)","19P20013","2021-07-02T00:00:00.000","2026-07-02T00:00:00.000","8452 Lake Street Road
LeRoy, NY 14482
(43.002479, -77.983132)"
"Union Transfer LLC","1700 Union Road",,"West Seneca","NY","14224","Erie","9","7164459473","Casella Waste Management of N.Y.; Inc.","Private","RHRF - greater than 5 tpd - registration","[15R20018]","Yes","193021","4750616","4.2 - Utilization of GIS and existing spatial data","Plastic;Container Glass;Commingled Containers;Paperboard/Boxboard;Newspaper;Commingled Paper;Commingled Recyclables;Source Separated Recyclables (Metal/Glass/Paper/Plastic)","15R20018","2021-07-16T00:00:00.000","2026-07-16T00:00:00.000","1700 Union Road
West Seneca, NY 14224
(42.845994, -78.754395)"
"LVM Materials LLC","3200 Route 39",,"Bliss","NY","14024","Wyoming","9","5853228878","Lee Maher","Private","RHRF - greater than 5 tpd - registration","[61R20001]","Yes","231800","4717755","4.2 - Utilization of GIS and existing spatial data","Wood (Adulterated);Wood (Unadulterated Pallets);Wood (Unadulterated);Wood (Chips)","61R20001","2019-10-16T00:00:00.000","2023-07-24T00:00:00.000","3200 Route 39
Bliss, NY 14024
(42.567307, -78.269291)"
"Burdick Land Clearing Debris Landfill","Route 28",,"Forestport","NY","13338","Oneida","6","3157963690","Chad Burdick","Private","Landfill - land clearing debris","[33D24]","Yes","484799","4812530","1 - No accuracy stated",,"33D24",,,
"Westbury Recycling Inc","117  Magnolia Avenue",,"Westbury","NY","11590","Nassau","1","5167439199","Westbury Recycling Inc","Private","C&D processing - permit","[30W34]","Yes","620867","4512810","4.3 - Utilization of Digital Orthophoto Quads","Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Paper/Cardboard;Plastics","1-2822-01362/00001","2015-11-01T00:00:00.000","2020-10-31T00:00:00.000","117  Magnolia Avenue
Westbury, NY 11590
(40.757536, -73.567834)"
"Langevin Excavation","Twin Lakes Road",,"Oswegatchie","NY","13670","St. Lawrence","6","3158483358","Bruce Langevin Jr.","Private","Land application - septage - registration","[45A40028]","Yes","496052","4893042","4.1 - Address Matching","Septage","45A40028","2019-11-20T00:00:00.000","2024-11-19T00:00:00.000",
"A-Plus Auto Salvage Inc dba A-PLUS II Auto Salvage","548 West Hoffman Ave.",,"Lindenhurst","NY","11757","Suffolk","1","6312260404","A-Plus Auto Salvage Inc d/b/a","Private","VDF - large - registration","[52V50295]","Yes","636449","4504931",,"End of Life Vehicles","52V50295","2020-01-22T00:00:00.000","2025-01-21T00:00:00.000","548 West Hoffman Ave.
Lindenhurst, NY 11757
(40.683649, -73.385205)"
"Orangetown Bulk Waste TS","119 Route 303",,"Orangeburg","NY","10962","Rockland","3",,"Town of Orangetown","Municipal","Transfer facility - registration","[44T10001]","Yes","588750","4543389",,"MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous & Non-Ferrous);Source Separated Organic Waste","44T10001","2021-11-04T00:00:00.000","2023-01-13T00:00:00.000","119 Route 303
Orangeburg, NY 10962
(41.038078, -73.946152)"
"Irvington (V) Leaf TS","170 Mountain Road",,"Irvington","NY","10533","Westchester","3","9145916044","Village of Irvington","Municipal","Transfer facility - registration","[60T10009]","Yes","596966","4544069",,"Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps)","60T10009","2019-01-23T00:00:00.000","2024-01-22T00:00:00.000","170 Mountain Road
Irvington, NY 10533
(41.04286, -73.846899)"
"Icahn School of Medicine at Mount Sinai","1 Gustave L. Levy Place",,"New York","NY","10029","New York","2","2122416500","Icahn School of Medicine at Mount Sinai","Private","RMW - treatment at the site of generation - registration","[31J20002]","Yes","588300","4516016","4.2 - Utilization of GIS and existing spatial data","Regulated Medical Waste","31J20002","2021-12-20T00:00:00.000","2026-12-20T00:00:00.000","1 Gustave L. Levy Place
New York, NY 10029
(40.790361, -73.953632)"
"Smithtown Municipal Services Facility","85 Old Northport Rd",,"Kings Park","NY","11754","Suffolk","1","6312696600","Town of Smithtown","Municipal","RHRF - permit","[52RP0256]","Yes","646582","4527422","4.3 - Utilization of Digital Orthophoto Quads","Metals (Aluminum);Metals (Ferrous);Metals (Non-Ferrous);Plastics;Source Separated Recyclables (Metal/Glass/Paper/Plastic);White Goods;Waste Oil (Automotive);Newspaper;Commingled Paper;Electronics;Paper / Cardboard","1-4734-01810/0002","2020-09-23T00:00:00.000","2025-09-22T00:00:00.000","85 Old Northport Rd
Kings Park, NY 11754
(40.873531, -73.274069)"
"Eastchester Leaf Transfer Station","40 Mill Road",,"Eastchester","NY","10709","Westchester","3",,"Town of Eastchester","Municipal","Transfer facility - registration","[60T10014]","Yes","599500","4534000",,"Yard Waste","60T10014","2019-09-18T00:00:00.000","2024-09-17T00:00:00.000","40 Mill Road
Eastchester, NY 10709
(40.956302, -73.811129)"
"Spafford Transfer Station & Recycling Center","Stanton Road",,"Skaneateles","NY","13152","Onondaga","7","3156734144","Town of Spafford","Municipal","Transfer facility - registration","[34T10062]","Yes","394486","4743676",,"MSW (Residential/Institutional & Commercial)","34T10062","2018-05-15T00:00:00.000","2023-05-14T00:00:00.000",
"Allocco Recycling (606 Meserole)","606 Meserole Street",,"Brooklyn","NY","11237","Kings","2","7183493094","Michael ALLOCCO","Private","RHRF - registration","[24MH2]","Yes","590900","4507350","1 - No accuracy stated",,,,,"606 Meserole Street
Brooklyn, NY 11237
(40.711675, -73.923835)"
"Southport Drop-off Center","93 Institution Road",,"Pine City","NY","14871","Chemung","8","8002273552","Chemung County","County","Transfer facility - registration","[08R10014]","Yes","350075","4657176","4.1 - Address Matching","MSW (Residential/Institutional & Commercial)","08R10014","2020-03-27T00:00:00.000","2025-03-26T00:00:00.000",
"Richford TS  (T)","10 Town Barn Road",,"Richford","NY","13835","Tioga","7",,"Town of Richford","Municipal","Transfer facility - registration","[54T10009]","Yes","401313","4690028","4.3 - Utilization of Digital Orthophoto Quads","MSW (Residential/Institutional & Commercial);Bulk Metal","54T10009","2019-02-21T00:00:00.000","2024-02-21T00:00:00.000",
"RNV Green Processing & Supply Corp","1 Lane Gate Road",,"Cold Spring","NY","10516","Putnam","3","8452654161","Ricky Ventura","Private","C&D processing - registration","[40W06]","Yes","590488","4587121","1 - No accuracy stated",,"40W06","2011-11-29T00:00:00.000",,"1 Lane Gate Road
Cold Spring, NY 10516
(41.429958, -73.917734)"
"Long Island Electric Utility Servco LLC","175 East Old Country Road",,"Hicksville","NY","11801","Nassau","1","5163916133","National Grid","Private","C&D processing - registration","[30W27R]","Yes","625600","4513600","4.3 - Utilization of Digital Orthophoto Quads","Non-petroleum Contaminated Soil","30W27R","2010-04-19T00:00:00.000",,"175 East Old Country Road
Hicksville, NY 11801
(40.766218, -73.512404)"
"R. J. Zigmont Excavation & Septic Service","42 West Chenango Rd",,"Castle Creek","NY","13744","Broome","7","6077245233","Joseph Zigmont","Private","Storage - septage - registration","[04A50027]","Yes","424795","4670370","4.1 - Address Matching","Septage","04A50027","2018-08-29T00:00:00.000","2023-08-30T00:00:00.000","42 West Chenango Rd
Castle Creek, NY 13744
(42.180625, -75.911312)"
"Murphy Rolloff Inc","119 Wade Road",,"Latham","NY","12110","Albany","4","5186084358","Michael Evereth","Private","Transfer station - permit","[01T17]","Yes","599287","4733451",,"Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous)","4-0126-00631/00001","2011-11-10T00:00:00.000","2021-11-09T00:00:00.000","119 Wade Road
Latham, NY 12110
(42.746708, -73.786533)"
"Reeves/Norco LCD Landfill","Reeves Lane",,"Plattsburgh","NY","12901","Clinton","5","5185367519","City of Plattsburgh","Municipal","Landfill - land clearing debris","[10D14]","Yes","620022","4948645","1 - No accuracy stated","Land Clearing Debris","10D14","2002-04-02T00:00:00.000",,
"NYSDOH - Griffin Laboratory","Wadsworth Center; NYS Department of Health","5668 State Farm Road","Slingerlands","NY","12159","Albany","4","5184856770","NYS Department of Health","State","Regulated medical waste - onsite treatment","[01Q03]","Yes","589501","4725464",,,"4-0130-00034/02001","2019-04-03T00:00:00.000","2029-04-02T00:00:00.000",
"Price Scrap & Salvage","NYS Rte. 8",,"West Edmeston","NY","13485","Madison","7","3158554452","Thomas R. Price","Private","VDF - large - registration","[27V50018]","Yes","476998","4734835",,"End of Life Vehicles","27V50018","2019-06-18T00:00:00.000","2024-06-17T00:00:00.000",
"Chemung County Transfer Station","1690 Lake Street",,"Elmira","NY","14901","Chemung","8","6077372980","Chemung County","County","Transfer facility - permit","[08T05]","Yes","350746","4664333",,"Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);White Goods;Waste Tires","8-0730-00009/00001","2017-10-28T00:00:00.000","2027-10-27T00:00:00.000","1690 Lake Street
Elmira, NY 14901
(42.118363, -76.808679)"
"Middlesex Highway - TS","1240 Mill Street",,"Middlesex","NY","14507","Yates","8","5855543188","Town of Middlesex Highway","Municipal","Transfer facility - registration","[62T10004]","Yes","313661","4730422","1 - No accuracy stated","MSW (Residential/Institutional & Commercial)","62T10004","2018-05-02T00:00:00.000","2023-05-01T00:00:00.000","1240 Mill Street
Middlesex, NY 14507
(42.702976, -77.275657)"
"Henry's Service Center","4414 Arthur Kill Road",,"Staten Island","NY","10309","Richmond","2","7189482725","Enrico Ariena","Private","Vehicle Dismantling Facility","[7022688]","Yes","564718","4487384",,,,,,"4414 Arthur Kill Road
Staten Island, NY 10309
(40.53457, -74.236007)"
