"tax_year","credit_type","place_of_residence","size_of_earned_income","notes","number_of_claims_zero_qualifying_children","credit_amount_claimed_zero_qualifying_children_000","average_credit_zero_qualifying_children","number_of_claims_one_qualifying_child","credit_amount_claimed_one_qualifying_child_000","average_credit_one_qualifying_child","number_of_claims_more_than_one_qualifying_child","credit_amount_claimed_more_than_one_qualifying_child_000","average_credit_more_than_one_qualifying_child","number_of_claims_two_qualifying_children","credit_amount_claimed_two_qualifying_children_000","average_credit_two_qualifying_children","number_of_claims_more_than_two_qualifying_children","credit_amount_claimed_more_than_two_qualifying_children_000","average_credit_more_than_two_qualifying_children","number_of_claims_total","credit_amount_claimed_total_000","average_credit_total","place_of_residence_sort_order","earned_income_sort_order"
"2020","NYS EITC","Total, New York City Counties","$48,001 - $52,000",,"0","0","0","0","0","0",,,,"1401","278.718","199","1794","472.806","264","3195","751.524","235","6","13"
"2020","NYS EITC","Total, New York City Counties","$52,001 - $56,000",,"0","0","0","0","0","0",,,,"360","14.73","41","714","121.228","170","1074","135.958","127","6","14"
"2020","NYS EITC","Total, New York City Counties","$56,001 AND OVER","d/, a/",,,"1","0","0","0",,,,,,"2","136","3.682","27","138","3.685","27","6","15"
"2020","NYS EITC","Total, New York City Counties","TOTAL",,"163475","14637.272","90","252652","153275.98","607",,,,"151213","150203.407","993","66087","77229.439","1169","633427","395346.098","624","6","16"
"2019","NYS EITC","Total, New York City Counties","$0 - $4,000",,"46419","2524.393","54","6584","1309.378","199",,,,"2468","528.375","214","841","202.041","240","56312","4564.187","81","6","1"
"2019","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"79875","10789.002","135","13291","8059.534","606",,,,"4378","2990.639","683","1427","1072.946","752","98971","22912.121","232","6","2"
"2019","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"87157","8372.343","96","38033","36493.328","960",,,,"8493","9973.87","1174","2786","3678.848","1320","136469","58518.389","429","6","3"
"2019","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"35554","2025.657","57","35580","35234.965","990",,,,"21048","33040.85","1570","7648","13812.698","1806","99830","84114.17","843","6","4"
"2019","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"5483","320.614","58","32481","31521.852","970",,,,"21869","35785.335","1636","9191","17145.188","1865","69024","84772.989","1228","6","5"
"2019","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,,,"16","32017","27795.767","868",,,,,,"1528","9296","16605.688","1786","62518","76624.551","1226","6","6"
"2019","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","32121","23322.305","726",,,,"20360","27796.677","1365","9244","15342.161","1660","61725","66461.143","1077","6","7"
"2019","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","32483","18043.521","555",,,,"20616","23577.891","1144","9034","12978.347","1437","62133","54599.759","879","6","8"
"2019","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","27504","10633.125","387",,,,"17141","15810.841","922","7169","8637.186","1205","51814","35081.152","677","6","9"
"2019","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"23",,,"203",,,,"13570","8950.19","660","6138","5853.738","954","43336","19598.175","452","6","10"
"2019","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","8408","1045.443","124",,,,"11590","4788.815","413","5033","3548.321","705","25031","9382.579","375","6","11"
"2019","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","2397","167.064","70",,,,"7980","1880.136","236","4125","1906.119","462","14502","3953.319","273","6","12"
"2019","NYS EITC","Total, New York City Counties","$48,001 - $52,000",,"0","0","0","0","0","0",,,,"3132","492.239","157","2755","789.292","286","5887","1281.531","218","6","13"
"2019","NYS EITC","Total, New York City Counties","$52,001 AND OVER","d/, a/","0","0","0",,,"126",,,,,,"15","1554","195.121","126","1831","199.459","109","6","14"
"2019","NYS EITC","Total, New York City Counties","TOTAL",,"254606","24033.934","94","284528","198420.758","697",,,,"174008","197841.138","1137","76241","101767.694","1335","789383","522063.524","661","6","15"
"2018","NYS EITC","Total, New York City Counties","$0 - $4,000",,"41649","2381","57","6814","1396","205",,,,"2421","525","217","855","210","246","51739","4512","87","6","1"
"2018","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"79715","10693","134","14907","9036","606",,,,"4876","3359","689","1530","1180","771","101028","24269","240","6","2"
"2018","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"89835","8161","91","36248","34540","953",,,,"9488","11227","1183","2968","3977","1340","138539","57904","418","6","3"
"2018","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"32455","1952","60","36576","35760","978",,,,"22316","35214","1578","8269","14978","1811","99616","87904","882","6","4"
"2018","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"5162","303","59","35978","34166","950",,,,"24102","38909","1614","10035","18484","1842","75277","91861","1220","6","5"
"2018","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"93","2","18","36127","30223","837",,,,"23403","34844","1489","10216","17821","1744","69839","82889","1187","6","6"
"2018","NYS EITC","Total, New York City Counties","$24,001 - $28,000","d/",,,"673",,,"693",,,,"22916","30174","1317",,,"1608","71198","73390","1031","6","7"
"2018","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","31037","16213","522",,,,"19684","21648","1100","8370","11502","1374","59091","49363","835","6","8"
"2018","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","25355","8962","353",,,,"15665","13641","871","6563","7563","1152","47583","30166","634","6","9"
"2018","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"2","22208","3776","170",,,,"13495","8185","607",,,"900","41633","17295","415","6","10"
"2018","NYS EITC","Total, New York City Counties","$40,001 - $44,000","d/, a/",,,"2","5089","746","147",,,,"11382","4139","364",,,"644","21246","7958","375","6","11"
"2018","NYS EITC","Total, New York City Counties","$44,001 - $48,000","d/, a/",,,"2","1533","73","48",,,,"6159","1375","223",,,"400","11428","2941","257","6","12"
"2018","NYS EITC","Total, New York City Counties","$48,001 - $52,000","d/, a/","0","0","0",,,"2",,,,"2580","287","111",,,"252","4878","867","178","6","13"
"2018","NYS EITC","Total, New York City Counties","$52,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","1129","105","93","1129","105","93","6","14"
"2018","NYS EITC","Total, New York City Counties","TOTAL",,"248920","23493","94","289494","200960","694",,,,"178487","203526","1140","77323","103444","1338","794224","531423","669","6","15"
"2017","NYS EITC","Total, New York City Counties","$0 - $4,000",,"46643","2644","57","6997","1564","224",,,,"2333","617","264","745","217","291","56718","5042","89","6","1"
"2017","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"88705","11765","133","16981","10646","627",,,,"5215","3813","731","1580","1307","827","112481","27530","245","6","2"
"2017","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"94790","8331","88","50137","47764","953",,,,"12210","14672","1202","3879","5303","1367","161016","76070","472","6","3"
"2017","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"29452","1918","65","41144","39677","964",,,,"31308","49301","1575","11215","20241","1805","113119","111137","982","6","4"
"2017","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"5348","288","54","39004","36203","928",,,,"28620","45441","1588","12203","22154","1815","85175","104086","1222","6","5"
"2017","NYS EITC","Total, New York City Counties","$20,001 - $24,000","a/",,,"7",,,"810",,,,"25686","37299","1452","12136","20859","1719","77181","90011","1166","6","6"
"2017","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","34417","22863","664",,,,"21319","27190","1275","9682","15066","1556","65418","65119","995","6","7"
"2017","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","27872","13573","487",,,,"17745","18761","1057","7720","10188","1320","53337","42523","797","6","8"
"2017","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","23391","7421","317",,,,"14696","12001","817","6108","6672","1092","44195","26094","590","6","9"
"2017","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"2",,,"145",,,,"13005","7137","549","5478","4579","836","37590","14486","385","6","10"
"2017","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","3769","557","148",,,,"10576","3274","310","4417","2545","576","18762","6376","340","6","11"
"2017","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","920","27","29",,,,"4614","980","212","3495","1208","346","9029","2214","245","6","12"
"2017","NYS EITC","Total, New York City Counties","$48,001 - $52,000",,"0","0","0","0","0","0",,,,"1777","143","81","1917","429","224","3694","573","155","6","13"
"2017","NYS EITC","Total, New York City Counties","$52,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","638","39","61","638","39","61","6","14"
"2017","NYS EITC","Total, New York City Counties","TOTAL",,"264996","24947","94","303040","214917","709",,,,"189104","220630","1167","81213","110807","1364","838353","571300","681","6","15"
"2016","NYS EITC","Total, New York City Counties","$0 - $4,000",,"50032","2957","59","7758","1762","227",,,,"2580","676","262","797","230","289","61167","5626","92","6","1"
"2016","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"91828","12073","131","19754","12259","621",,,,"6167","4509","731","1865","1537","824","119614","30378","254","6","2"
"2016","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"97037","8335","86","55214","51768","938",,,,"14093","16752","1189","4512","6097","1351","170856","82951","486","6","3"
"2016","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"27532","1927","70","44413","42394","955",,,,"34723","54398","1567","12259","21974","1792","118927","120693","1015","6","4"
"2016","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"4956","256","52","41685","38250","918",,,,"30298","47540","1569","12790","23062","1803","89729","109108","1216","6","5"
"2016","NYS EITC","Total, New York City Counties","$20,001 - $24,000","a/","38","0","6","36816","29401","799",,,,"24249","34752","1433","11236","19124","1702","72339","83278","1151","6","6"
"2016","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","32366","20883","645",,,,"19999","24994","1250","9337","14307","1532","61702","60184","975","6","7"
"2016","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","26639","12441","467",,,,"16685","17060","1022","6972","8988","1289","50296","38489","765","6","8"
"2016","NYS EITC","Total, New York City Counties","$32,001 - $36,000","d/, a/",,,"92",,,"298",,,,"14287","11096","777","5961","6268","1051","43551","24313","558","6","9"
"2016","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"1",,,"137",,,,"12717","6589","518","5175","4143","801","35538","13140","370","6","10"
"2016","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","3517","465","132",,,,"9956","2899","291","4121","2277","553","17594","5641","321","6","11"
"2016","NYS EITC","Total, New York City Counties","$44,001 - $48,000","d/, a/",,,"2","527","11","20",,,,,,"207","3296","1066","323","7794","1898","244","6","12"
"2016","NYS EITC","Total, New York City Counties","$48,001 - $52,000","d/, a/",,,"293","0","0","0",,,,,,"67","1733","358","206","3116","450","144","6","13"
"2016","NYS EITC","Total, New York City Counties","$52,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","557","25","45","557","25","45","6","14"
"2016","NYS EITC","Total, New York City Counties","TOTAL",,"271430","25548","94","309634","218991","707",,,,"191105","222180","1163","80611","109456","1358","852780","576175","676","6","15"
"2015","NYS EITC","Total, New York City Counties","$0 - $4,000",,"52734","3022","57","8826","1970","223",,,,"3076","760","247","909","265","292","65545","6016","92","6","1"
"2015","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"96237","12582","131","21784","13568","623",,,,"7000","5007","715","1986","1606","809","127007","32763","258","6","2"
"2015","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"96125","8197","85","61660","57496","932",,,,"15381","18290","1189","4794","6487","1353","177960","90471","508","6","3"
"2015","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"25753","1809","70","46793","44463","950",,,,"36845","57139","1551","13325","23748","1782","122716","127159","1036","6","4"
"2015","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"4530","222","49","43835","39943","911",,,,"31559","49234","1560","13150","23573","1793","93074","112971","1214","6","5"
"2015","NYS EITC","Total, New York City Counties","$20,001 - $24,000","a/",,,"5",,,"790",,,,"24541","34877","1421","11575","19570","1691","74719","84918","1136","6","6"
"2015","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","32753","20758","634",,,,"20589","25343","1231","9366","14214","1518","62708","60314","962","6","7"
"2015","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","26350","12058","458",,,,"17329","17408","1005","6951","8829","1270","50630","38295","756","6","8"
"2015","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","23269","6700","288",,,,"14584","11036","757","6009","6227","1036","43862","23963","546","6","9"
"2015","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"1",,,"132",,,,"12794","6452","504","5229","4072","779","34489","12698","368","6","10"
"2015","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","3352","411","122",,,,"9741","2656","273","4161","2211","531","17254","5278","306","6","11"
"2015","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","398","6","15",,,,"3456","715","207","3181","984","309","7035","1704","242","6","12"
"2015","NYS EITC","Total, New York City Counties","$48,001 - $52,000",,"0","0","0","0","0","0",,,,"1196","75","63","1582","309","195","2778","384","138","6","13"
"2015","NYS EITC","Total, New York City Counties","$52,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","388","15","40","388","15","40","6","14"
"2015","NYS EITC","Total, New York City Counties","TOTAL",,"275397","25831","94","324071","230017","710",,,,"198091","228990","1156","82606","112111","1357","880165","596950","678","6","15"
"2014","NYS EITC","Total, New York City Counties","$0 - $4,000",,"56571","3247","57","9364","2149","229",,,,"3153","818","259","937","272","290","70025","6485","93","6","1"
"2014","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"103694","13416","129","25331","15864","626",,,,"7851","5741","731","2258","1850","819","139134","36872","265","6","2"
"2014","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"92296","7497","81","71363","66624","934",,,,"18003","21589","1199","5371","7329","1365","187033","103039","551","6","3"
"2014","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"21224","1616","76","47964","44780","934",,,,"40871","63084","1544","14678","25904","1765","124737","135384","1085","6","4"
"2014","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"3681","156","42","42627","37796","887",,,,"31321","47847","1528","13405","23563","1758","91034","109361","1201","6","5"
"2014","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","37222","28149","756",,,,"24039","33158","1379","11170","18450","1652","72431","79756","1101","6","6"
"2014","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","31551","18871","598",,,,"20268","23849","1177","8639","12527","1450","60458","55247","914","6","7"
"2014","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","26200","11064","422",,,,"17322","16361","945","6728","8103","1204","50250","35529","707","6","8"
"2014","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","23208","5869","253",,,,"15075","10619","704","5937","5742","967","44220","22231","503","6","9"
"2014","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"2","13625","1645","121",,,,"12874","5852","455",,,"716","31638","11170","353","6","10"
"2014","NYS EITC","Total, New York City Counties","$40,001 - $44,000","d/, a/",,,"2","3164","299","95",,,,"9037","2158","239",,,"476","16231","4377","270","6","11"
"2014","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","0","0","0",,,,"2905","554","191","2780","786","283","5685","1340","236","6","12"
"2014","NYS EITC","Total, New York City Counties","$48,001 - $52,000",,"0","0","0","0","0","0",,,,"704","26","37","1652","244","148","2356","270","115","6","13"
"2014","NYS EITC","Total, New York City Counties","$52,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","120","2","13","120","2","13","6","14"
"2014","NYS EITC","Total, New York City Counties","TOTAL",,"277474","25932","93","331619","233111","703",,,,"203423","231656","1139","82836","110364","1332","895352","601063","671","6","15"
"2013","NYS EITC","Total, New York City Counties","$0 - $4,000",,"59067","3917","66","11316","2620","231",,,,"3918","1033","264","1194","341","285","75495","7910","105","6","1"
"2013","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"104466","13280","127","28379","17761","626",,,,"9369","6884","735","2676","2200","822","144890","40125","277","6","2"
"2013","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"87336","6742","77","70573","65348","926",,,,"19459","23440","1205","6144","8433","1372","183512","103962","567","6","3"
"2013","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"17096","1455","85","48937","44644","912",,,,"41855","63935","1528","14509","25376","1749","122397","135410","1106","6","4"
"2013","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"2581","94","37","40823","34887","855",,,,"29849","44451","1489","12454","21474","1724","85707","100906","1177","6","5"
"2013","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","35700","25637","718",,,,"23291","30852","1325","10602","16924","1596","69593","73413","1055","6","6"
"2013","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","30776","17208","559",,,,"19749","22049","1116","8008","11085","1384","58533","50342","860","6","7"
"2013","NYS EITC","Total, New York City Counties","$28,001 - $32,000","d/, a/",,,"2","26451","10259","388",,,,"17182","15175","883",,,"1135","50389","33103","657","6","8"
"2013","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","23649","5262","223",,,,"15600","10134","650","6039","5474","906","45288","20871","461","6","9"
"2013","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"2","10676","1214","114",,,,"12779","5199","407",,,"664","28381","9679","341","6","10"
"2013","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","2587","194","75",,,,"7980","1774","222","3932","1668","424","14499","3636","251","6","11"
"2013","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","0","0","0",,,,"2871","408","142","2699","688","255","5570","1095","197","6","12"
"2013","NYS EITC","Total, New York City Counties","$48,001 AND OVER",,"0","0","0","0","0","0",,,,"203","2","11","1303","143","110","1506","145","96","6","13"
"2013","NYS EITC","Total, New York City Counties","TOTAL",,"270550","25489","94","329867","225033","682",,,,"204105","225335","1104","81238","104741","1289","885760","580597","655","6","14"
"2012","NYS EITC","Total, New York City Counties","$0 - $4,000",,"55781","3855","69","12726","2866","225",,,,"4613","1198","260","1362","397","292","74482","8317","112","6","1"
"2012","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"100799","12580","125","30361","18833","620",,,,"10567","7713","730","3030","2523","833","144757","41649","288","6","2"
"2012","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"81470","5718","70","68641","61949","903",,,,"22241","26614","1197","6871","9385","1366","179223","103666","578","6","3"
"2012","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"12157","1231","101","48401","42671","882",,,,"41373","61605","1489","14329","24406","1703","116260","129913","1117","6","4"
"2012","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"1592","48","30","39782","32452","816",,,,"30175","43091","1428","12433","20616","1658","83982","96207","1146","6","5"
"2012","NYS EITC","Total, New York City Counties","$20,001 - $24,000",,"0","0","0","34685","23357","673",,,,"23003","28862","1255","10550","16131","1529","68238","68350","1002","6","6"
"2012","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","29997","15242","508",,,,"19559","20181","1032","7748","10020","1293","57304","45443","793","6","7"
"2012","NYS EITC","Total, New York City Counties","$28,001 - $32,000","d/, a/",,,"1",,,"341",,,,"17330","13940","804","6737","7042","1045","50045","29850","596","6","8"
"2012","NYS EITC","Total, New York City Counties","$32,001 - $36,000","d/, a/",,,"2",,,"178",,,,"15898","9119","574","6019","4930","819","44489","18073","406","6","9"
"2012","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"2",,,"109",,,,"12589","4290","341","4953","2897","585","24447","7940","325","6","10"
"2012","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","1607","75","47",,,,"6238","1209","194","3899","1353","347","11744","2636","224","6","11"
"2012","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","0","0","0",,,,"2192","211","96","2108","454","216","4300","666","155","6","12"
"2012","NYS EITC","Total, New York City Counties","$48,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","778","53","68","778","53","68","6","13"
"2012","NYS EITC","Total, New York City Counties","TOTAL",,"251803","23432","93","321651","211089","656",,,,"205778","218033","1060","80817","100208","1240","860049","552763","643","6","14"
"2011","NYS EITC","Total, New York City Counties","$0 - $4,000",,"54800","3196","58","12598","2896","230",,,,"4353","1153","265","1218","368","302","72969","7614","104","6","1"
"2011","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"101812","12467","122","33223","20784","626",,,,"11401","8378","735","3193","2663","834","149629","44292","296","6","2"
"2011","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"74078","4943","67","75213","66853","889",,,,"25030","30032","1200","7621","10414","1366","181942","112242","617","6","3"
"2011","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"10996","1031","94","49773","42727","858",,,,"43422","63543","1463","14672","24552","1673","118863","131854","1109","6","4"
"2011","NYS EITC","Total, New York City Counties","$16,001 - $20,000",,"1187","30","25","39714","30984","780",,,,"31114","42969","1381","12661","20455","1616","84676","94438","1115","6","5"
"2011","NYS EITC","Total, New York City Counties","$20,001 - $24,000","d/, a/",,,"1","35092","22194","632",,,,"23903","28565","1195",,,"1465","69481","66123","952","6","6"
"2011","NYS EITC","Total, New York City Counties","$24,001 - $28,000",,"0","0","0","31046","14414","464",,,,"20390","19672","965","7768","9439","1215","59204","43525","735","6","7"
"2011","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","26790","7976","298",,,,"18197","13344","733","6674","6481","971","51661","27802","538","6","8"
"2011","NYS EITC","Total, New York City Counties","$32,001 - $36,000","d/, a/",,,"1",,,"139",,,,"16269","8261","508","6065","4508","743","45100","15922","353","6","9"
"2011","NYS EITC","Total, New York City Counties","$36,001 - $40,000","d/, a/",,,"1","3781","509","135",,,,"12524","3463","277",,,"512","21313","6536","307","6","10"
"2011","NYS EITC","Total, New York City Counties","$40,001 - $44,000",,"0","0","0","744","20","27",,,,"4724","830","176","3784","1074","284","9252","1924","208","6","11"
"2011","NYS EITC","Total, New York City Counties","$44,001 - $48,000","d/, a/","0","0","0",,,"2",,,,"1350","82","61","1765","324","184","3116","407","130","6","12"
"2011","NYS EITC","Total, New York City Counties","$48,001 AND OVER",,"0","0","0","0","0","0",,,,"0","0","0","320","10","33","320","10","33","6","13"
"2011","NYS EITC","Total, New York City Counties","TOTAL",,"242880","21668","89","330740","212510","643",,,,"212677","220294","1036","81229","98217","1209","867526","552688","637","6","14"
"2010","NYS EITC","Total, New York City Counties","$0 - $4,000",,"48594","2840","58","13259","3036","229",,,,"4765","1266","266","1314","390","297","67932","7532","111","6","1"
"2010","NYS EITC","Total, New York City Counties","$4,001 - $8,000",,"101419","12404","122","35338","22076","625",,,,"12497","9245","740","3380","2821","835","152634","46545","305","6","2"
"2010","NYS EITC","Total, New York City Counties","$8,001 - $12,000",,"70141","4585","65","67684","59121","873",,,,"28380","33899","1194","8714","11864","1361","174919","109469","626","6","3"
"2010","NYS EITC","Total, New York City Counties","$12,001 - $16,000",,"10432","930","89","46496","38933","837",,,,"45008","64837","1441","16244","26822","1651","118180","131522","1113","6","4"
"2010","NYS EITC","Total, New York City Counties","$16,001 - $20,000","d/",,,"23","38279","28776","752",,,,"28459","38124","1340",,,"1569","78904","84709","1074","6","5"
"2010","NYS EITC","Total, New York City Counties","$20,001 - $24,000","d/",,,"1","34851","21004","603",,,,"23474","26922","1147",,,"1407","67689","61097","903","6","6"
"2010","NYS EITC","Total, New York City Counties","$24,001 - $28,000","d/",,,"1","30732","13426","437",,,,"20429","18684","915",,,"1162","58553","40701","695","6","7"
"2010","NYS EITC","Total, New York City Counties","$28,001 - $32,000",,"0","0","0","27043","7345","272",,,,"18877","13000","689","6710","6162","918","52630","26507","504","6","8"
"2010","NYS EITC","Total, New York City Counties","$32,001 - $36,000",,"0","0","0","20872","2616","125",,,,"16763","7830","467","6090","4272","702","43725","14718","337","6","9"
"2010","NYS EITC","Total, New York City Counties","$36,001 - $40,000",,"0","0","0","3576","410","115",,,,"12684","3010","237","5014","2293","457","21274","5713","269","6","10"
"2010","NYS EITC","Total, New York City Counties","$40,001 - $44,000","d/",,,"2","355","5","13",,,,"3781","651","172",,,"251","7740","1560","201","6","11"
"2010","NYS EITC","Total, New York City Counties","$44,001 - $48,000",,"0","0","0","0","0","0",,,,"808","34","42","1660","238","143","2468","271","110","6","12"
