"company","electric_gas","case","date_effective","change_millions_of_dollars","change_percent","comment"
"National Fuel Gas","Gas","CASE 16-G-0257","2017-05-01T00:00:00.000","5.9","110","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 15-E-0283","2017-05-01T00:00:00.000","29.9","410","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 15-G-0284","2017-05-01T00:00:00.000","13.9","730","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 15-E-0285","2017-05-01T00:00:00.000","21.6","500","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE15-G-0286","2017-05-01T00:00:00.000","7.7","440","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 16-E-0060","2017-01-01T00:00:00.000","242.3","450","Increase in delivery rates  (Levelized to $199.0 million)"
"Consolidated Edison","Gas","CASE 16-G-0061","2017-01-01T00:00:00.000","35.5","380","Increase in delivery rates"
"KeySpan Long Island (KEDLI)","Gas","CASE 16-G-0058","2017-01-01T00:00:00.000","112","1270.00","Increase in delivery rates  (Levelized to a 5.1% annual increase)"
"KeySpan New York (KEDNY)","Gas","CASE 16-G-0059","2017-01-01T00:00:00.000","272.1","2100.00","Increase in delivery rates  (Levelized to a 9.3% annual increase)"
"Orange & Rockland","Electric","CASE 14-E-0493","2016-11-01T00:00:00.000","8.8","290","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 14-G-0494","2016-11-01T00:00:00.000","16.4","1230.00","Increase in delivery rates"
"Central Hudson","Electric","CASE 14-E-0318","2016-07-01T00:00:00.000","17","560","Increase in delivery rates"
"Central Hudson","Gas","CASE 14-G-0319","2016-07-01T00:00:00.000","5.5","610","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 15-E-0283","2016-05-01T00:00:00.000","29.6","410","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 15-G-0284","2016-05-01T00:00:00.000","13.1","730","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 15-E-0285","2016-05-01T00:00:00.000","3","70","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE15-G-0286","2016-05-01T00:00:00.000","8.8","520","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 15-E-0050","2016-01-01T00:00:00.000","74.9","140","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 13-G-0031","2016-01-01T00:00:00.000","56.8","600","Increase in delivery rates"
"Consolidated Edison","Steam","CASE 13-S-0032","2016-01-01T00:00:00.000","20.3","460","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 14-E-0493","2015-11-01T00:00:00.000","9.3","320","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 14-G-0494","2015-11-01T00:00:00.000","16.4","1390.00","Increase in delivery rates"
"Central Hudson","Electric","CASE 14-E-0318","2015-07-01T00:00:00.000","2.3","80","Increase in delivery rates"
"Central Hudson","Gas","CASE 14-G-0319","2015-07-01T00:00:00.000","-0.7","-90","Decrease in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 12-E-0201","2015-04-01T00:00:00.000","28.3","280","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 12-G-0202","2015-04-01T00:00:00.000","6.3","490","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 13-E-0030","2015-01-01T00:00:00.000","124","240","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 13-G-0031","2015-01-01T00:00:00.000","38.6","430","Increase in delivery rates"
"Consolidated Edison","Steam","CASE 13-S-0032","2015-01-01T00:00:00.000","19.8","470","Increase in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 12-G-0544","2014-12-01T00:00:00.000","0","0","Rate freeze continued"
"National Fuel Gas","Gas","CASE 13-G-0136","2014-10-01T00:00:00.000","0","0","Rate freeze continued"
"Orange & Rockland","Electric","CASE 11-E-0408","2014-07-01T00:00:00.000","15.2","470","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 12-E-0201","2014-04-01T00:00:00.000","51.4","280","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 12-G-0202","2014-04-01T00:00:00.000","5.9","480","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 13-E-0030","2014-01-01T00:00:00.000","-76.2","-150","Decrease in delivery rates"
"Consolidated Edison","Gas","CASE 13-G-0031","2014-01-01T00:00:00.000","-54.6","-570","Decrease in delivery rates"
"Consolidated Edison","Steam","CASE 13-S-0032","2014-01-01T00:00:00.000","-22.4","-500","Decrease in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 12-G-0544","2013-12-01T00:00:00.000","0","0","Two year rate freeze"
"National Fuel Gas","Gas","CASE 13-G-0136","2013-10-01T00:00:00.000","0","0","Two year rate freeze with $7.5 million refunded to customers directly or through plan benefits."
"Orange & Rockland","Electric","CASE 11-E-0408","2013-07-01T00:00:00.000","15.2","590","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 12-E-0201","2013-04-01T00:00:00.000","43.4","-870","Decrease in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 12-G-0202","2013-04-01T00:00:00.000","-3.3","-670","Decrease in delivery rates"
"KeySpan Long Island (KEDLI)","Gas","CASE 06-G-1186","2012-12-01T00:00:00.000","10","180","Increase in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 06-G-1885","2012-12-01T00:00:00.000","5","70","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 09-G-0795","2012-10-01T00:00:00.000","46.7","220","Increase in delivery rates"
"Consolidated Edison","Steam","CASE 09-S-0794","2012-10-01T00:00:00.000","49.5","610","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 09-E-0715","2012-08-26T00:00:00.000","29.3","430","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 09-E-0716","2012-08-26T00:00:00.000","10.5","560","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 09-E-0717","2012-08-26T00:00:00.000","13.2","320","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE 09-G-0718","2012-08-26T00:00:00.000","11","690","Increase in delivery rates"
"Central Hudson","Electric","CASE 09-E-0588","2012-07-01T00:00:00.000","9.1","330","Increase in delivery rates"
"Central Hudson","Gas","CASE 09-G-0589","2012-07-01T00:00:00.000","1.6","230","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 11-E-0408","2012-07-01T00:00:00.000","15.2","630","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 09-E-0428","2012-04-01T00:00:00.000","286.9","470","Increase in non-fuel total revenue"
"Niagara Mohawk Power Corp.","Electric","CASE 10-E-0050","2012-01-01T00:00:00.000","-429","-1960.00","Elimination of Competitive Transition Charges offset partially by resumption of recovery of deferred costs"
"KeySpan Long Island (KEDLI)","Gas","CASE 06-G-1186","2011-12-01T00:00:00.000","10","180","Increase in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 06-G-1885","2011-12-01T00:00:00.000","5","70","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 08-G-1398","2011-11-01T00:00:00.000","9","840","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 09-G-0795","2011-10-01T00:00:00.000","47.9","230","Increase in delivery rates"
"Consolidated Edison","Steam","CASE 09-S-0794","2011-10-01T00:00:00.000","49.5","650","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 09-E-0715","2011-08-26T00:00:00.000","27.8","420","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 09-E-0716","2011-08-26T00:00:00.000","10.3","580","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 09-E-0717","2011-08-26T00:00:00.000","10.2","260","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE 09-G-0718","2011-08-26T00:00:00.000","10.9","730","Increase in delivery rates"
"Central Hudson","Electric","CASE 09-E-0588","2011-07-01T00:00:00.000","9.3","350","Increase in delivery rates"
"Central Hudson","Gas","CASE 09-G-0589","2011-07-01T00:00:00.000","2.3","340","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 10-E-0362","2011-07-01T00:00:00.000","26.6","1210.00","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 09-E-0428","2011-04-01T00:00:00.000","420.4","960","Increase in non-fuel total revenue"
"Niagara Mohawk Power Corp.","Electric","CASE 10-E-0050","2011-01-31T00:00:00.000","0","0","$119 million delivery rate increase offset by elimination of surcharge to allow recovery of deferred costs"
"KeySpan Long Island (KEDLI)","Gas","CASE 06-G-1186","2010-12-01T00:00:00.000","10","180","Increase in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 06-G-1885","2010-12-01T00:00:00.000","5","70","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 08-G-1398","2010-11-01T00:00:00.000","9","920","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 09-G-0795","2010-10-01T00:00:00.000","47.1","240","Increase in delivery rates"
"Consolidated Edison","Steam","CASE 09-S-0794","2010-10-01T00:00:00.000","49.5","700","Increase in delivery rates"
"New York State Electric and Gas","Electric","CASE 09-E-0715","2010-08-26T00:00:00.000","16.4","250","Increase in delivery rates"
"New York State Electric and Gas","Gas","CASE 09-E-0716","2010-08-26T00:00:00.000","9.9","600","Increase in delivery rates"
"Rochester Gas & Electric","Electric","CASE 09-E-0717","2010-08-26T00:00:00.000","15.6","410","Increase in delivery rates"
"Rochester Gas & Electric","Gas","CASE 09-G-0718","2010-08-26T00:00:00.000","10.9","800","Increase in delivery rates"
"Central Hudson","Electric","CASE 09-E-0588","2010-07-01T00:00:00.000","11.8","460","Increase in delivery rates"
"Central Hudson","Gas","CASE 09-G-0589","2010-07-01T00:00:00.000","5.7","890","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 07-E-0949","2010-07-01T00:00:00.000","15.6","710","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 08-G-0609","2010-06-01T00:00:00.000","13.9","420","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 09-E-0428","2010-04-01T00:00:00.000","420.4","960","Increase in non-fuel total revenue"
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2010-01-01T00:00:00.000","87","500","Increase in delivery rates due to higher stranded cost estimates (which were the result of lower forecasted commodity costs.)"
"KeySpan Long Island (KEDLI)","Gas","CASE 06-G-1186","2009-12-01T00:00:00.000","-54","-1040.00","Decrease in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 06-G-1885","2009-12-01T00:00:00.000","5","70","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 08-G-1398","2009-11-01T00:00:00.000","9","1010.00","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 06-G-1332","2009-10-01T00:00:00.000","67.5","920","Increase in delivery rates"
"Consolidated Edison","Steam","CASE 07-S-1315","2009-10-01T00:00:00.000","24.7","330","Increase in delivery rates  (Levelized to 43.7 million)"
"Central Hudson","Electric","CASE 08-E-0887","2009-07-01T00:00:00.000","19.6","900","Increase in delivery rates"
"Central Hudson","Gas","CASE 08-G-0888","2009-07-01T00:00:00.000","13.8","2620.00","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 07-E-0949","2009-07-01T00:00:00.000","15.6","770","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Gas","CASE 08-G-0609","2009-06-01T00:00:00.000","39.4","1370.00","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 08-E-0539","2009-05-01T00:00:00.000","523.4","1270.00","Rate increase excludes $198 million increase n the PSL 18-a assessment"
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2009-01-01T00:00:00.000","41.5","250","Increase in delivery rates due to expiring NYPA Hydropower R&D benefit."
"KeySpan Long Island (KEDLI)","Gas","CASE 06-G-1186","2008-12-01T00:00:00.000","82.4","1680.00","Increase in delivery rates"
"KeySpan New York (KEDNY)","Gas","CASE 06-G-1885","2008-12-01T00:00:00.000","46.9","690","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 05-G-1494","2008-11-01T00:00:00.000","6.3","690","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 06-G-1332","2008-10-01T00:00:00.000","67.5","1010.00","Increase in delivery rates"
"Consolidated Edison","Steam","CASE 07-S-1315","2008-10-01T00:00:00.000","53","790","Increase in delivery rates  (Levelized to 43.7 million)"
"Central Hudson","Electric","CASE 05-E-0934","2008-07-01T00:00:00.000","17.9","840","Increase in delivery rates"
"Orange & Rockland","Electric","CASE 07-E-0949","2008-07-01T00:00:00.000","15.6","830","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 07-E-0523","2008-04-01T00:00:00.000","425.3","1170.00","Increase in non-fuel total revenue"
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2008-01-01T00:00:00.000","43.6","260","Net result of $120 M increase due to higher stranded cost forecast (due to lower commodity cost forecast) and $76 M decrease in deferral recoveries."
"National Fuel Gas","Gas","CASE 07-G-0141","2007-12-28T00:00:00.000","1.8","60","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 05-G-1494","2007-11-01T00:00:00.000","6.5","770","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 06-G-1332","2007-10-01T00:00:00.000","50.3","840","Increase delivery rates, including $14.0 million for energy efficiency.  Delivery rates would have been $17.2 million higher if not for a shift of that amount of costs to commodity (a 2.85% increase in delivery rates)."
"Central Hudson","Electric","CASE 05-E-0934","2007-07-01T00:00:00.000","17.9","930","Increase in delivery rates"
"Central Hudson","Gas","CASE 05-G-0935","2007-07-01T00:00:00.000","6.1","1180.00","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 04-E-0572","2007-04-01T00:00:00.000","220.4","690","Increase in non-fuel total revenue"
"New York State Electric and Gas","Electric","CASE 05-E-1222","2007-01-01T00:00:00.000","-36.2","-580","Decrease in bundled rates"
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2007-01-01T00:00:00.000","100","650","Increase in delivery rates to recover deferred costs from earlier in rate plan."
"Orange & Rockland","Gas","CASE 05-G-1494","2006-11-01T00:00:00.000","6.5","830","Increase in delivery rates"
"Central Hudson","Electric","CASE 05-E-0934","2006-07-01T00:00:00.000","17.9","1050.00","Increase in delivery rates"
"Central Hudson","Gas","CASE 05-G-0935","2006-07-01T00:00:00.000","8","1900.00","Increase in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2006-04-01T00:00:00.000","102.4","950","Increase in delivery rates to recover deferred costs from earlier in rate plan."
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2006-01-01T00:00:00.000","-294.2","-1690.00","Decrease in delivery rates due to lower stranded cost estimates (which were the result of higher forecasted commodity costs.)"
"Orange & Rockland","Gas","CASE 02-G-1553","2005-11-01T00:00:00.000","5","520","Increase in delivery rates"
"National Fuel Gas","Gas","CASE 04-G-1047","2005-08-01T00:00:00.000","15.9","560","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 04-E-0572","2005-05-01T00:00:00.000","104.6","340","Increase in non-fuel total revenue"
"Orange & Rockland","Gas","CASE 02-G-1553","2004-11-01T00:00:00.000","9.3","1000.00","Increase in delivery rates"
"Consolidated Edison","Gas","CASE 03-G-1671","2004-10-01T00:00:00.000","46.8","880","Increase in delivery rates"
"Consolidated Edison","Electric","CASE 96-E-0897","2004-04-01T00:00:00.000","16.3","50","Due to a Market Supply Charge (MSC)/Monthly Adjustment Clause (MAC) forecasting error, rates were increased.  Some of these additional revenues were used to write down stranded costs related to the MSC/MAC forecasting error.  The April 2001 percentage increase is based on delivery rates.  The 2002 - 2004 percentage increases are calculated using total non fuel revenues."
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2004-01-01T00:00:00.000","-29.7","-180","Decrease in delivery rates due to lower stranded cost estimates (which were the result of higher forecasted commodity costs.)"
"Rochester Gas & Electric","Gas","CASE 02-G-0199","2003-12-01T00:00:00.000","5.5","440","Increase in delivery rates"
"Orange & Rockland","Gas","CASE 02-G-1553","2003-11-01T00:00:00.000","9.3","1200.00","Increase in delivery rates"
"Central Hudson","Electric","CASE 00-E-1273","2003-07-01T00:00:00.000","3.1","200","Increase in delivery rates"
"Central Hudson","Gas","CASE 00-G-1274","2003-07-01T00:00:00.000","-0.9","-240","Decrease in delivery rates"
"Consolidated Edison","Electric","CASE 96-E-0897","2003-04-01T00:00:00.000","20.6","70","Due to a Market Supply Charge (MSC)/Monthly Adjustment Clause (MAC) forecasting error, rates were increased.  Some of these additional revenues were used to write down stranded costs related to the MSC/MAC forecasting error.  The April 2001 percentage increase is based on delivery rates.  The 2002 - 2004 percentage increases are calculated using total non fuel revenues."
"Consolidated Edison","Gas","CASE 00-G-1456","2002-05-01T00:00:00.000","-25","-480","Decrease in delivery rates"
"Consolidated Edison","Electric","CASE 96-E-0897","2002-04-01T00:00:00.000","23.4","80","Due to a Market Supply Charge (MSC)/Monthly Adjustment Clause (MAC) forecasting error, rates were increased.  Some of these additional revenues were used to write down stranded costs related to the MSC/MAC forecasting error.  The April 2001 percentage increase is based on delivery rates.  The 2002 - 2004 percentage increases are calculated using total non fuel revenues."
"New York State Electric and Gas","Electric","CASE 01-E-0359","2002-03-01T00:00:00.000","-205","-1360.00","Decrease in bundled rates"
"Niagara Mohawk Power Corp.","Electric","CASE 01-M-0075","2002-01-01T00:00:00.000","-152","-80","Decrease delivery rates due to the merger with National Grid"
"Niagara Mohawk Power Corp.","Electric","CASE 94-E-0098","2001-09-01T00:00:00.000","-111","-450","This decrease due to decrease in stranded costs, in turn due to increase in commodity costs.  Commodity costs increased $257 M 9/1/01."
"Central Hudson","Electric","CASE 00-E-1273","2001-07-01T00:00:00.000","-3.1","-200","Decrease in delivery rates"
"Central Hudson","Gas","CASE 00-G-1274","2001-07-01T00:00:00.000","-0.9","-240","Decrease in delivery rates"
"Rochester Gas & Electric","Electric","CASE 96-E-0898","2001-07-01T00:00:00.000","-25.1","-350","Decrease in bundled rates"
"Consolidated Edison","Electric","CASE 96-E-0897","2001-04-01T00:00:00.000","95.5","410","Due to a Market Supply Charge (MSC)/Monthly Adjustment Clause (MAC) forecasting error, rates were increased.  Some of these additional revenues were used to write down stranded costs related to the MSC/MAC forecasting error.  The April 2001 percentage increase is based on delivery rates.  The 2002 - 2004 percentage increases are calculated using total non fuel revenues."
"Consolidated Edison","Electric","CASE 96-E-0897","2001-04-01T00:00:00.000","-208.7","900","Decrease in delivery rates"
"New York State Electric and Gas","Electric","CASE 96-E-0891","2001-03-03T00:00:00.000","-6","-40","Decrease in bundled rates"
"Consolidated Edison","Electric","CASE 96-E-0897","2000-10-01T00:00:00.000","-170","680","Decrease in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 94-E-0098","2000-09-01T00:00:00.000","-19.9","-60","Decrease in bundled rates"
"Rochester Gas & Electric","Electric","CASE 96-E-0898","2000-07-01T00:00:00.000","-9.9","-140","Decrease in bundled rates"
"Rochester Gas & Electric","Gas","CASE 98-G-1589","2000-07-01T00:00:00.000","-3","-240","Decrease in delivery rates"
"Consolidated Edison","Electric","CASE 96-E-0897","2000-04-01T00:00:00.000","-102.9","190","Decrease in bundled rates"
"New York State Electric and Gas","Electric","CASE 96-E-0891","2000-03-03T00:00:00.000","-16","-90","Decrease in bundled rates"
"Niagara Mohawk Power Corp.","Electric","CASE 94-E-0098","1999-09-01T00:00:00.000","-31.9","-100","Decrease in bundled rates"
"Consolidated Edison","Gas","CASE 98-M-0961","1999-08-01T00:00:00.000","-1.1","20","Reduction as a result of the merger between Consolidated Edison and Orange and Rockland"
"Orange & Rockland","Gas","CASE 98-M-0961","1999-08-01T00:00:00.000","-1","180","Decrease in bundled rates due to the merger of Consolidated Edison and Orange and Rockland."
"Rochester Gas & Electric","Electric","CASE 96-E-0898","1999-07-01T00:00:00.000","-9.8","-140","Decrease in bundled rates"
"Consolidated Edison","Electric","CASE 96-E-0897","1999-04-01T00:00:00.000","-79.9","150","Decrease in bundled rates"
"Orange & Rockland","Electric","CASE 98-M-0961","1999-04-01T00:00:00.000","-5.8","-200","Decrease in bundled rates"
"New York State Electric and Gas","Electric","CASE 96-E-0891","1999-03-03T00:00:00.000","-8.7","-50","Decrease in bundled rates"
"KeySpan New York (KEDNY)","Gas","CASE 97-G-0567","1998-12-01T00:00:00.000","-23.9","-370","Decrease due to merger savings from KEDNY's merger with LILCO gas operations (KEDLI)"
"Orange & Rockland","Electric","CASE 09-F-0900","1998-11-26T00:00:00.000","-2.9","-100","Decrease in bundled rates"
"National Fuel Gas","Gas","CASE 98-G-1291","1998-10-01T00:00:00.000","-7.2","-250","Decrease in delivery rates"
"New York State Electric and Gas","Gas","CASE 98-G-0845","1998-10-01T00:00:00.000","-2.1","-150","Decrease in delivery rates"
"Niagara Mohawk Power Corp.","Electric","CASE 94-E-0098","1998-09-01T00:00:00.000","-49.6","-150","Decrease in bundled rates"
"Rochester Gas & Electric","Electric","CASE 96-E-0898","1998-07-01T00:00:00.000","-5.9","-90","Decrease in bundled rates"
"Central Hudson","Electric","CASE 96-E-0909","1998-06-30T00:00:00.000","-3","-70","Decrease in bundled rates (based on actual 1998 and 1999 revenues)"
"New York State Electric and Gas","Electric","CASE 96-E-0891","1998-05-15T00:00:00.000","-7.3","-40","Decrease in bundled rates"
"Consolidated Edison","Electric","CASE 96-E-0897","1998-04-01T00:00:00.000","-101.7","180","Decrease in bundled rates"
