"waterway","mile","shore","name","launch_type","latitude","longitude","parking","overnight_parking","camping","day_use_amenities","portage_distance","potable_water","restrooms","georeference","itsuid"
"Erie Canal","254.94","south","Pittsford Boat Ramp","Ramp","43.09056","-77.54159","Cars (10) / Cars with Trailer (4)","Yes, call (585) 586-1837","No","Fishing","20' +/-","No","No","POINT (-77.54159 43.09056)","Pittsford Boat Ramp"
"Oswego Canal","2.33","west","Phoenix Boat Ramp","Ramp","43.23079","-76.30492","Cars (20) / Cars with Trailer (10)","Yes","No","Fishing","20' +/-","No","No","POINT (-76.30492 43.23079)","Phoenix Boat Ramp"
"Erie / Champlain Confluence","0.22","west","Peebles Is. State Park Kayak Launch","Car Top - Beach Landing","42.786026","-73.680717","Cars (40)",,"No","Picnicking, Pavilion, Hibachi(s), Walking Trails, Historic, Fishing","525' +/-","Yes","Yes (Flush)","POINT (-73.680717 42.786026)","Peebles Is. State Park Kayak Launch"
"Erie Canal","235.81","south","Palmyra-Macedon Aqueduct Park Boat Ramp","Ramp","43.06515","-77.24407","Cars (20) / Cars with Trailer (10)","Yes, call (315) 597-4849","No","Historic, Picnicking, Hibachi(s), Fishing","20' +/-","No","Yes (Flush)","POINT (-77.24407 43.06515)","Palmyra-Macedon Aqueduct Park Boat Ramp"
"Erie Canal","234.61","south","Palmyra Boat Ramp","Ramp","43.064953","-77.221341","Cars with Trailer (6) (on road)",,"No","Fishing","20' +/-","No","No","POINT (-77.221341 43.064953)","Palmyra Boat Ramp"
"Glens Falls Feeder Canal","8.38","north","Overlook Park/Feeder Dam Kayak Launch","Car Top - Dock","43.29201","-73.66446","Cars (15)",,"No","Trail, Picnicking","200' +/-","No","No","POINT (-73.66446 43.29201)","Overlook Park/Feeder Dam Kayak Launch"
"Onondaga Lake","167.18","north","Onondaga Lake Marina Boat Ramp","Ramp","43.10026","-76.20937","Cars (20) / Cars with Trailer (20)","No","No","Fishing, Walking Trail, Picnicking","20' +/-","Yes","Yes (Portable toilet)","POINT (-76.20937 43.10026)","Onondaga Lake Marina Boat Ramp"
"Oneida Lake","148.78","south","Oneida Shores County Park Boat Ramp","Ramp","43.22804","-76.1088","Cars (40) / Cars with Trailer (40)","Yes, fee","Yes","$4-$7.50 Launch Fee, Campground, Picnicking, Pavilions, Hibachi(s), Beach (Swimming), Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.1088 43.22804)","Oneida Shores County Park Boat Ramp"
"Erie Canal","68.47","south","Old Erie Lock 33 Kayak Launch","Car Top - Beach Landing","42.99111","-74.66504","Cars (5)",,"No","Picnicking, Fishing, Historic","50' +/-","No","No","POINT (-74.66504 42.99111)","Old Erie Lock 33 Kayak Launch"
"Erie Canal","40.80","south","Old Erie Lock 28 Kayak Launch","Car Top - Beach Landing","42.953251","-74.238793","Cars (20)",,"No","Canalway Trail, Picnicking, Hibachi(s), Historic, Fishing","350' +/-","Yes","Yes (Flush)","POINT (-74.238793 42.953251)","Old Erie Lock 28 Kayak Launch"
"Cayuga-Seneca Canal","12.36","west","Oak Island Boat Ramp","Ramp","42.90156","-76.86612","Cars (20) / Cars with Trailer (10)","Yes","No","Picnicking, Pavilion, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.86612 42.90156)","Oak Island Boat Ramp"
"Erie Canal","337.23","north","North Tonawanda Boat Ramp","Ramp","43.02164","-78.8548","None","No","No","Picnicking, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Northern  Pike, Walleye, Carp)","20' +/-","No","No","POINT (-78.8548 43.02164)","North Tonawanda Boat Ramp"
"Erie Canal","11.02","south","Niskayuna Lions Park Kayak Launch","Car Top - Beach Landing","42.77751","-73.82289","Cars (20)",,"No","Canalway Trail, Picnicking, Fishing","250' +/-","Yes","Yes (Flush)","POINT (-73.82289 42.77751)","Niskayuna Lions Park Kayak Launch"
"Niagara River","0.70","west","Niawanda Park Boat Ramp","Ramp","43.016517","-78.891936","Cars with Trailer (32)","No","No","Picnicking, Bike Path, Fishing","100' +/-","No","Yes (Flush)","POINT (-78.891936 43.016517)","Niawanda Park Boat Ramp"
"Erie Canal","337.67","north","Niagara & Sweeney Streets Kayak Launch","Car Top - Sloped Dock","43.023391","-78.863667","Cars (10)","No","No","Picnicking, Hibachi, Pier Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Northern  Pike, Walleye, Carp)","100' +/-","No","Yes (Portable toilet)","POINT (-78.863667 43.023391)","Niagara & Sweeney Streets Kayak Launch"
"Erie Canal","319.05","south","Nelson C. Goehle Public Marina Boat Ramp","Ramp","43.1848","-78.66835","Cars (40) / Cars with Trailer (15)","Yes","No","Picnicking, Showers, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-78.66835 43.1848)","Nelson C. Goehle Public Marina Boat Ramp"
"Erie Canal","63.78","north","Nelliston Boat Ramp","Ramp","42.92513","-74.61127","Cars (10) / Cars with Trailer (5)","Yes, 24 hour limit","No","Handicap Accessible, Fishing - DEC Access Site (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","No","No","POINT (-74.61127 42.92513)","Nelliston Boat Ramp"
"Cayuga Lake","36.06","east","Myers Park Boat Ramp","Ramp","42.536340","-76.548339","Cars (15) / Cars with Trailer (10)","Yes, call (607) 533-7388","No","Picnicking, Pavilion, Hibachi(s), Shore Fishing (Atlantic Salmon, Brown Trout, Rainbow Trout, Smallmouth Bass)","20' +/-","Yes","Yes (Flush)","POINT (-76.548339 42.53634)","Myers Park Boat Ramp"
"Glens Falls Feeder Canal","6.88","south","Murray Street Kayak Launch","Car Top - Dock","43.30257","-73.6443","Cars (10)",,"No","Trail, Picnicking","150' +/-","No","No","POINT (-73.6443 43.30257)","Murray Street Kayak Launch"
"Champlain Canal","36.79","west","Moreau Boat Ramp","Ramp","43.25411","-73.58805","Cars (20) / Cars with Trailer (20)","Yes, 24 hour limit","No","Fishing - DEC Access Site, (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Northern Pike, Chain Pickerel, Walleye, Carp, Channel Catfish)","20' +/-","No","No","POINT (-73.58805 43.25411)","Moreau Boat Ramp"
"Seneca Lake","53.96","east","Montour Falls Boat Ramp","Ramp","42.353603","-76.852733","Cars (10) / Cars with Trailers (10)",,"Yes","$7 to Launch, Fishing, Picnicking","20' +/-","Yes","Yes","POINT (-76.852733 42.353603)","Montour Falls Boat Ramp"
"Cayuga-Seneca Canal","3.03","west","Montezuma Boat Ramp","Ramp","42.96204","-76.73874","Cars (10) / Cars with Trailer (10)","Yes, 24 Hour limit","No","Fishing (DEC Access Site)","20' +/-","No","Yes (Portable toilet)","POINT (-76.73874 42.96204)","Montezuma Boat Ramp"
"Erie Canal","6.36","south","Mohawk River Park Kayak Launch","Car Top - Beach Landing","42.79948","-73.74787","Cars (20) / Cars with Trailer (10)","No","No","Picnicking, Hibachi(s), Swimming, Trails, Pavilions, Gate Fee, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","Yes","Yes","POINT (-73.74787 42.79948)","Mohawk River Park Kayak Launch"
"Erie Canal","14.69","north","Mohawk Landing Kayak Launch","Car Top - Beach Landing","42.82459","-73.86063","Cars (10) / Cars with Trailer (2)",,"No","Picnicking, Fishing","850' +/-","No","No","POINT (-73.86063 42.82459)","Mohawk Landing Kayak Launch"
"Seneca Lake","37.64","west","Milo/Severne Point Boat Ramp","Ramp","42.584992","-76.916841","Cars (20) / Cars with Trailer (10)","Yes, 24 hour limit","No","Fishing (DEC Access Site)","20' +/-","No","Yes (Portable toilet)","POINT (-76.916841 42.584992)","Milo/Severne Point Boat Ramp"
"Erie Canal","307.08","south","Middleport Guard Gate Boat Ramp","Ramp","43.21624","-78.4444","Cars (10) / Cars with Trailer (5)","Yes","No","Picnicking, Hibachi(s), Fishing","20' +/-","No","No","POINT (-78.4444 43.21624)","Middleport Guard Gate Boat Ramp"
"Erie Canal","172.67","north","Mercer Memorial Park Kayak Launch","Car Top - Beach Landing","43.15802","-76.33695","Cars (10) / Cars with Trailer (5)","No","No","Picnicking, Hibachi(s), Gazebo, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.33695 43.15802)","Mercer Memorial Park Kayak Launch"
"Erie Canal","193.76","south","Mentz Boat Ramp","Ramp","43.07886","-76.64493","Cars (30) / Cars with Trailer (10)","Yes, 24 hour limit","No","Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp, Channel Catfish)","20' +/-","No","No","POINT (-76.64493 43.07886)","Mentz Boat Ramp"
"Champlain Canal","9.34","west","Mechanicville Kayak Launch","Car Top - Dock","42.904511","-73.683812","Cars (15) / Cars with Trailer (5)",,"No","Picnicking, Fishing","20' +/-","No","No","POINT (-73.683812 42.904511)","Mechanicville Kayak Launch"
"Erie Canal","336.61","north","Mayor's Park Kayak Launch","Car Top - Beach Landing","43.01938","-78.84415","Cars (10)",,"No","Picnicking, Pavilions, Hibachi(s), Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Northern  Pike, Walleye, Carp)","300' +/-","No","Yes (Flush)","POINT (-78.84415 43.01938)","Mayor's Park Kayak Launch"
"Glens Falls Feeder Canal","3.00","south","Martindale Boat Basin Kayak Launch","Car Top - Dock","43.30603","-73.58083","Cars (8)",,"No","Trail, Picnicking, Historic, Fishing","75' +/-","No","No","POINT (-73.58083 43.30603)","Martindale Boat Basin Kayak Launch"
"Cayuga Lake","20.63","east","Long Point State Park Boat Ramp","Ramp","42.715217","-76.708059","Cars (20) / Cars with Trailer (50)","Yes","No","Picnicking, Hibachi(s), Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.708059 42.715217)","Long Point State Park Boat Ramp"
"Seneca Lake","35.38","east","Lodi Point State Park Boat Ramp","Ramp","42.61785","-76.87693","Cars (30) / Cars with Trailer (10)","Yes","No","Picnicking, Hibachi(s), Fishing","20' +/-","Yes","Yes (Flush)","POINT (-76.87693 42.61785)","Lodi Point State Park Boat Ramp"
"Erie Canal","321.23","north","Lockport Upper Terminal Boat Ramp","Ramp","43.16518","-78.70078","Cars (20) / Cars with Trailer (10)","Yes","No","Fishing","20' +/-","No","No","POINT (-78.70078 43.16518)","Lockport Upper Terminal Boat Ramp"
"Oswego Canal","22.93","east","Lock O8 (lower end) Boat Ramp","Ramp","43.4573","-76.50892","Cars (5) / Cars with Trailer (2)","No","No","Fishing (Brown Trout, Steelhead, Chinook Salmon, Coho Salmon, Smallmouth Bass, Yellow Perch, Crappie, Walleye, Carp, Channel Catfish)","20' +/-","No","No","POINT (-76.50892 43.4573)","Lock O8 (lower end) Boat Ramp"
"Erie Canal","29.12","north","Lock E9 (upper end) Kayak Launch","Car Top - Dock","42.87971","-74.0425","Cars (10)","Yes","No","Picnicking, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","550' +/-","No","No","POINT (-74.0425 42.87971)","Lock E9 (upper end) Kayak Launch"
"Erie Canal","23.83","south","Lock E8 (lower end) Kayak Launch","Car Top - Beach Landing","42.82694","-73.98974","Cars (12)",,"No","Canalway Trail, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","800' +/-","No","No","POINT (-73.98974 42.82694)","Lock E8 (lower end) Kayak Launch"
"Erie Canal","13.14","south","Lock E7 (upper end) Boat Ramp","Ramp","42.80335","-73.84904","Cars with Trailer (20)","Yes, call (518) 374-7912","No","Canalway Trail, Picnicking, Grills, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","No","Yes (Portable toilet)","POINT (-73.84904 42.80335)","Lock E7 (upper end) Boat Ramp"
"Erie Canal","239.39","south","Lock E30 Canal Park Kayak Launch","Car Top - Dock","43.072847","-77.304439","Cars (25)","Yes, call (315) 986-5631","Yes","Picnicking, Gazebo, Hibachi(s), Fishing","100' +/-","Yes","Yes (Portable toilet)","POINT (-77.304439 43.072847)","Lock E30 Canal Park Kayak Launch"
"Erie Canal","239.39","south","Lock E30 Canal Park Boat Ramp","Ramp","43.072981","-77.304650","Cars (25) / Cars with Trailer (15)","Yes, call (315) 986-5631","Yes","Picnicking, Gazebo, Hibachi(s), Fishing","100' +/-","Yes","Yes (Portable toilet)","POINT (-77.30465 43.072981)","Lock E30 Canal Park Boat Ramp"
"Erie Canal","209.12","south","Lock E26 (upper end) Kayak Launch","Car Top - Beach Landing","43.06148","-76.83969","Cars (5)",,"No","Fishing","20' +/-","No","No","POINT (-76.83969 43.06148)","Lock E26 (upper end) Kayak Launch"
"Erie Canal","105.34","south","Lock E20 (upper end) Kayak Launch","Car Top - Beach Landing","43.14349","-75.29188","Cars (10)",,"Yes","Canalway Trail, Fishing, Picnicking, Hibachi(s)","250' +/-","Yes","Yes (Portable toilet)","POINT (-75.29188 43.14349)","Lock E20 (upper end) Kayak Launch"
"Erie Canal","64.48","south","Lock E15 (upper end) Kayak Launch","Car Top - Beach Landing","42.94108","-74.62416","Cars (20)",,"Yes","Canalway Trail, Picnicking, Hibachi(s), Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","Yes","Yes","POINT (-74.62416 42.94108)","Lock E15 (upper end) Kayak Launch"
"Erie Canal","43.70","north","Lock E12 (upper end) Kayak Launch","Car Top - Beach Landing","42.94461","-74.29204","Cars(10) / Cars with Trailer (5)",,"No","Picnicking, Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","35' +/-","No","No","POINT (-74.29204 42.94461)","Lock E12 (upper end) Kayak Launch"
"Erie Canal","34.83","south","Lock E10 (lower end) Boat Ramp","Ramp","42.915698","-74.138204","Cars (40) / Cars with Trailer (25)","Yes","No","Fishing - DEC Access Site (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","50' +/-","No","No","POINT (-74.138204 42.915698)","Lock E10 (lower end) Boat Ramp"
"Cayuga-Seneca Canal","8.07","east","Lock CS3 Kayak Launch","Car Top - Dock","42.913955","-76.787748","Cars (11)","Yes","Yes","Picnicking, Fishing","50' +/-","Yes","Yes (Portable toilet)","POINT (-76.787748 42.913955)","Lock CS3 Kayak Launch"
"Cayuga-Seneca Canal","4.16","east","Lock CS1/Mud Lock Boat Ramp","Ramp","42.94637","-76.73368","Cars (5) / Cars with Trailer (5)","Yes, call (315) 253-7523","No","Fishing (DEC Access Site), Picnicking, Fishing","20' +/-","No","Yes (Portable toilet)","POINT (-76.73368 42.94637)","Lock CS1/Mud Lock Boat Ramp"
"Champlain Canal","45.28","west","Lock C9 (lower end) Access Rd Kayak Launch","Car Top - Beach Landing","43.35531","-73.49505","Cars (5)",,"No","Fishing","100' +/-","No","No","POINT (-73.49505 43.35531)","Lock C9 (lower end) Access Rd Kayak Launch"
"Champlain Canal","36.96","east","Lock C7 (lower end) Kayak Launch","Car Top - Beach Landing","43.25566","-73.58498","Cars (7)",,"No","Picnicking, Hibachi(s), Fishing","50' +/-","No","No","POINT (-73.58498 43.25566)","Lock C7 (lower end) Kayak Launch"
"Champlain Canal","26.28","east","Lock C5 (upper end) Kayak Launch","Car Top - Beach Landing","43.113880","-73.578430","Cars (10)",,"No","Bike path, Nature trail, Picnicking, Historic, Playground, Interpretive","200' +/-","Yes","Yes","POINT (-73.57843 43.11388)","Lock C5 (upper end) Kayak Launch"
"Champlain Canal","11.68","east","Lock C4 (lower end) Kayak Launch","Car Top - Beach Landing","42.93156","-73.65602","Cars (5)",,"No","Picnicking, Hibachi(s), Fishing","500' +/-","No","No","POINT (-73.65602 42.93156)","Lock C4 (lower end) Kayak Launch"
"Champlain Canal","7.30","west","Lock C2 (lower end) Kayak Launch","Car Top - Beach Landing","42.87656","-73.67644","Cars (5)",,"No","Fishing","50' +/-","No","No","POINT (-73.67644 42.87656)","Lock C2 (lower end) Kayak Launch"
"Champlain Canal","3.55","west","Lock C1 (upper end) Boat Ramp","Ramp","42.8255","-73.66519","Cars (30) / Cars with Trailer (20)","Yes, call (518) 237-8566","No","Picnicking, Fishing","20' +/-","No","Yes (Portable toilet)","POINT (-73.66519 42.8255)","Lock C1 (upper end) Boat Ramp"
"Erie Canal","80.19","south","Little Falls Canal Harbor Boat Ramp","Ramp","43.03351","-74.86633","Cars (25)",,"No","Picnicking, Hibachi(s), Historic, Fishing","20' +/-","Yes","Yes (Flush)","POINT (-74.86633 43.03351)","Little Falls Canal Harbor Boat Ramp"
"Erie Canal","81.22","north","Little Falls Boat Ramp","Ramp","43.02564","-74.88209","Cars (20) / Cars with Trailer (20)","Yes, 24 hour limit","No","Picnicking, Pavilion, Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","20' +/-","No","No","POINT (-74.88209 43.02564)","Little Falls Boat Ramp"
"Champlain Canal","4.55","west","Lighthouse Park Kayak Launch","Car Top - Dock","42.838529","-73.671507","Cars (20)",,"No","Picnicking, Pavilion, Hibachi(s), Fishing, Canalway Trail","200' +/-","Yes","Yes","POINT (-73.671507 42.838529)","Lighthouse Park Kayak Launch"
"Champlain Canal","0.27","east","Lansingburg Boat Ramp","Ramp","42.78463","-73.6744","Cars (10) / Cars with Trailer (4)",,"No","Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Northern Pike, Chain Pickerel, Walleye, Carp, Channel Catfish)","20' +/-","No","No","POINT (-73.6744 42.78463)","Lansingburg Boat Ramp"
"Erie Canal","6.86","north","Klamsteam Kayak Launch","Car Top - Beach Landing","42.79676","-73.76002","Cars (5)",,"No","Fishing, Historic","20' +/-","No","No","POINT (-73.76002 42.79676)","Klamsteam Kayak Launch"
"Erie Canal","26.18","south","Kiwanis Park Boat Ramp","Ramp","42.84715","-74.01379","Cars (40) / Cars with Trailer (10)",,"No","Canalway Trail, Pavilion, Picnicking, Hibachi(s), Shore Fishing (Smallmouth Bass, Largemouth Bass, Sunfish, Yellow Perch, Crappie, Tiger Musky, Northern Pike, Walleye, Carp)","100' +/-","Yes","Yes (Portable toilet)","POINT (-74.01379 42.84715)","Kiwanis Park Boat Ramp"
"Niagara River","1.75","west","Isle View Boat Ramp","Ramp","43.009746","-78.910306","Cars (50) / Cars with Trailer (50)","No","No","Picnicking, Pavilions, Bike Path, Fishing","100' +/-","No","Yes (Flush)","POINT (-78.910306 43.009746)","Isle View Boat Ramp"
