"title","highlight","blurb","indicator"
"EQ3 - 4.	30  Solano County has the lowest share of lower-income households at risk of displacement at 30%","30%","Solano County has the lowest share of lower-income households at risk of displacement at 30%","Displacement Risk"
"EQ3 - 3.53% Over half of lower-income residents in San Francisco are at risk of displacement, the most of all Bay Area counties","53%","Over half of lower-income residents in San Francisco are at risk of displacement, the most of all Bay Area counties","Displacement Risk"
"EQ3 - 2.2x The share of lower-income households at risk of displacement in Santa Clara County has doubled since 2010","2x","The share of lower-income households at risk of displacement in Santa Clara County has doubled since 2010","Displacement Risk"
"EQ3 - 1.42% of lower-income Bay Area households are at risk of displacement","42%","of lower-income Bay Area households are at risk of displacement","Displacement Risk"
"EQ2 - 3.1/2 of all renters in Marin and Sonoma counties were excessively burdened by housing costs in 2017","½","of all renters in Marin and Sonoma counties were excessively burdened by housing costs in 2017","Housing Affordability"
"EQ2 - 6.39% of Bay Area renters spent more than 35 percent of their incomes on housing in 2017","39%","of Bay Area renters spent more than 35 percent of their incomes on housing in 2017","Housing Affordability"
"EQ2 - 5.	23% of Bay Area homeowners spent more than 35 percent of their incomes on housing in 207","23%","of Bay Area homeowners spent more than 35 percent of their incomes on housing in 2017","Housing Affordability"
"EQ2 - 4.30% of the Bay Area's households spent more than 35 percent of income on housing in 2017","30%","of the Bay Area's households spent more than 35 percent of income on housing in 2017","Housing Affordability"
"EQ2 - 3.	#1 Households in Sonoma County are the most burdened by housing costs","#1","Households in Sonoma County are the most burdened by housing costs","Housing Affordability"
"EQ2 - 2.59% of households with incomes above $100,000 spend less than 20 percent of their incomes on housing","59%","of households with incomes above $100,000 spend less than 20 percent of their incomes on housing","Housing Affordability"
"EQ1 - 5.47% High-wage occupations account for nearly half the jobs in the South Bay","47%","High-wage occupations account for nearly half the jobs in the South Bay","Jobs by Wage Level"
"EQ1 - 4.-4% The share of middle-wage jobs has declined by 4 percentage points from 24% to 20% since 2001","-4%","The share of middle-wage jobs has declined by 4 percentage points from 24% to 20% since 2001","Jobs by Wage Level"
"EQ1 - 3.	+5% The share of high-wage jobs has increased by 5 percentage points from 36% to 41% since 2001","5%","The share of high-wage jobs has increased by 5 percentage points from 36% to 41% since 2001","Jobs by Wage Level"
"EQ1 - 2.	97% of Bay Area jobs are in low-wage occupations","39%","of Bay Area jobs are in low-wage occupations","Jobs by Wage Level"
"EQ1 - 1.20% Middle-wage jobs made up just 20% of regional employment in 2017","20%","Middle-wage jobs made up just 20% of regional employment in 2017","Jobs by Wage Level"
"EN7-9 5.	#1 Roads in San Francisco and Napa counties had the highest injury rates in 2016 per mile traveled","#1","Roads in San Francisco and Napa counties had the highest injury rates in 2016 per mile traveled","Injuries from Crashes"
"EN7-9 4.	#9 Santa Clara County had the lowest rate of injuries from crashes of any Bay Area county in 2016","#9","Santa Clara County had the lowest rate of injuries from crashes of any Bay Area county in 2016","Injuries from Crashes"
"EN7-9 3.	#1 The number one cause of injuries from crashes in 2016 was unsafe speed","#1","The number one cause of injuries from crashes in 2016 was unsafe speed","Injuries from Crashes"
"EN7-9 2.	21% of serious injuries from crashes in the Bay Area were sustained by pedestrians in 2016","21%","of serious injuries from crashes in the Bay Area were sustained by pedestrians in 2016","Injuries from Crashes"
"EN7-9 1.	+25% Injuries from crashes in the Bay Area increased by 25% between 2010 and 2016","25%","Injuries from crashes in the Bay Area increased by 25% between 2010 and 2016","Injuries from Crashes"
"EN4-6 5.	#5 The Bay Area has the fifth-lowest rate of traffic fatalities among major U.S. metro areas","#5","The Bay Area has the fifth-lowest rate of traffic fatalities among major U.S. metro areas","Fatalities from Crashes"
"EN4-6 4.	62% of fatalities in San Francisco were bicyclists or pedestrians","62%","of fatalities in San Francisco were bicyclists or pedestrians","Fatalities from Crashes"
"EN4-6 3.	1/3 of traffic fatalities in 2016 were non-motorized road users (bicyclists and pedestrians)","1/3","of traffic fatalities in 2016 were non-motorized road users (bicyclists and pedestrians)","Fatalities from Crashes"
"EN4-6 2.	455 people were killed as a result of traffic crashes on Bay Area roads in 2016 (approx. 1.25 per day)","455","people were killed as a result of traffic crashes on Bay Area roads in 2016 (approx. 1.25 per day)","Fatalities from Crashes"
"EN4-6 1.	+43% Bay Area fatalities from crashes increased by 43% between 2010 and 2016","43%","Bay Area fatalities from crashes increased by 43% between 2010 and 2016","Fatalities from Crashes"
"EN3 6.	#1 Per capita, Contra Costa County was the most carbon-intensive county as of 2015, primarily due to major refineries","#1","Per capita, Contra Costa County was the most carbon-intensive county as of 2015, primarily due to major refineries","Greenhouse Gas Emissions"
"EN3 5.	3/5 Per-capita greenhouse gas emissions from primary sources in San Francisco are three-fifths the regional average","3/5","Per-capita greenhouse gas emissions from primary sources in San Francisco are three-fifths the regional average","Greenhouse Gas Emissions"
"EN3 4.	24% of regional greenhouse gas emissions from primary sources came from Santa Clara County in 2015","24%","of regional greenhouse gas emissions from primary sources came from Santa Clara County in 2015","Greenhouse Gas Emissions"
"EN3 3.	-6% Per-capita regional greenhouse gas emissions from primary sources were 6% lower in 2015 than in 2010","-6%","Per-capita regional greenhouse gas emissions from primary sources were 6% lower in 2015 than in 2010","Greenhouse Gas Emissions"
"EN3 2.	Ã‚Â±0% Total regional greenhouse gas emissions from primary sources have not changed significantly since 2010","±0%","Total regional greenhouse gas emissions from primary sources have not changed significantly since 2010","Greenhouse Gas Emissions"
"EN3 1.	50 million tons of greenhouse gas emissions were attributable to transportation and energy consumption by Bay Area residents in 2015","50 million","tons of greenhouse gas emissions were attributable to transportation and energy consumption by Bay Area residents in 2015","Greenhouse Gas Emissions"
"EN2 4.	70 ppb Livermore and San Martin air monitoring sites have the highest ozone levels in the region, at over 70 parts per billion","70 ppb","Livermore and San Martin air monitoring sites have the highest ozone levels in the region, at over 70 parts per billion","Ozone Concentrations"
"EN2 3.	55 ppb Ozone levels at Oakland and San Francisco air monitoring sites are under 55 parts per billion, the lowest in the region","55 ppb","Ozone levels at Oakland and San Francisco air monitoring sites are under 55 parts per billion, the lowest in the region","Ozone Concentrations"
"EN2 2.	2013 was the best year on record for ozone concentrations in the Bay Area","2013","was the best year on record for ozone concentrations in the Bay Area","Ozone Concentrations"
"EN2 1.	1/3 Ozone levels are more than one-third lower today than at their high point in the 1970s","1/3","Ozone levels are more than one-third lower today than at their high point in the 1970s","Ozone Concentrations"
"EN11 6.	1/5 of Miami's population is at risk from 4 feet of sea level rise","1/5","of Miami's population is at risk from 4 feet of sea level rise","Vulnerability to Sea Level Rise"
"EN11 5.	>2 ft Sea level rise impacts to San Francisco are much more significant if sea level rise is greater than 2 feet",">2 ft","Sea level rise impacts to San Francisco are much more significant if sea level rise is greater than 2 feet","Vulnerability to Sea Level Rise"
"EN11 4.	23% of Bay Area residents at risk from 4 feet of sea level rise live in Alameda County","23%","of Bay Area residents at risk from 4 feet of sea level rise live in Alameda County","Vulnerability to Sea Level Rise"
"EN11 3.	18% of Marin residents reside in neighborhoods considered to be vulnerable to just 1 foot of sea level rise","18%","of Marin residents reside in neighborhoods considered to be vulnerable to just 1 foot of sea level rise","Vulnerability to Sea Level Rise"
"EN11 2.	#1 Marin County has the largest share of residents who would be affected by sea level rise, followed by Solano and San Mateo counties","#1","Marin County has the largest share of residents who would be affected by sea level rise, followed by Solano and San Mateo counties","Vulnerability to Sea Level Rise"
"EN11 1.	194,000 Bay Area residents currently live in neighborhoods that would be at risk from just one foot of sea level rise","194,000","Bay Area residents currently live in neighborhoods that would be at risk from just one foot of sea level rise","Vulnerability to Sea Level Rise"
"EN10 4.	1,257 total acres have been restored in the last five years","1,257","total acres have been restored in the last five years","Bay Restoration"
"EN10 3.	90% of Bay Restoration activity since 1969 has occurred in the last 15 years","90%","of Bay Restoration activity since 1969 has occurred in the last 15 years","Bay Restoration"
"EN10 2.	18,496 total acres have been restored since 1969","18,496","total acres have been restored since 1969","Bay Restoration"
"EN10 1.	5,649 acres were added to San Francisco Bay in 2001, the most of any year on record","5,649","acres were added to San Francisco Bay in 2001, the most of any year on record","Bay Restoration"
"EN1 4.	#1 Point Reyes has historically had the lowest fine particulate matter concentrations of any Bay Area air quality site","#1","Point Reyes has historically had the lowest fine particulate matter concentrations of any Bay Area air quality site","Particulate Concentrations"
"EN1 3.	3x Fine particulate levels can be three times higher than normal on the worst days of the year","3x","Fine particulate levels can be three times higher than normal on the worst days of the year","Particulate Concentrations"
"EN1 2.	100% of Bay Area air quality monitoring sites reported concentrations below the federal standard in 2016","100%","of Bay Area air quality monitoring sites reported concentrations below the federal standard in 2016","Particulate Concentrations"
"EN1 1.	1.	-37% Average particulate matter concentrations have dropped by 37 percent since 2001","-37%","Average particulate matter concentrations have dropped by 37 percent since 2001","Particulate Concentrations"
"EC9 - 4.	+34% List rents in Santa Rosa have grown 34 percent since 1994, the smallest percentage growth among the region's large cities","34%","List rents in Santa Rosa have grown 34 percent since 1994, the smallest percentage growth among the region's large cities","List Rents"
"EC9 - 3.	#1 Oakland takes the top spot among Bay Area cities for fastest increase in list rents since 1994","#1","Oakland takes the top spot among Bay Area cities for fastest increase in list rents since 1994","List Rents"
"EC9 - 2.	2x San Francisco County's median list rents have more than doubled in the past two decades","2x","San Francisco County's median list rents have more than doubled in the past two decades","List Rents"
"EC9 - 1.	+73% The median monthly list rent in the Bay Area has increased 73% since 1994","73%","The median monthly list rent in the Bay Area has increased 73% since 1994","List Rents"
"EC8 - 6.	1970 The Bay Area has been the most expensive major metro area in the U.S. for renters since 1970","1970","The Bay Area has been the most expensive major metro area in the U.S. for renters since 1970","Rent Payments"
"EC8 - 5.	+27% Both Alameda and San Francisco County rent payments have increased 27% since 2000","35%","Alameda and Napa County rent payments have increased more than 35% since 2000","Rent Payments"
"EC8 - 4.	+100% Inflation-adjusted rent payments have risen by 100% in Napa County since 1970","100%","Inflation-adjusted rent payments have risen by 100% in Napa County since 1970","Rent Payments"
"EC8 - 3.	15 Bay Area cities had median rent payments greater than $2,000 a month in 2015","15","Bay Area cities had median rent payments greater than $2,200 a month in 2017","Rent Payments"
"EC8 - 2.	$1,800+ San Mateo and Santa Clara counties had the highest median rent payments in 2015 at more than $1,800 per month","$2,100+","San Mateo and Santa Clara counties had the highest median rent payments in 2017 at more than $2,100 per month","Rent Payments"
"EC8 - 1.	$1,581 The median monthly rent payment in the Bay Area was $1,581 in 2015","$1,800","$1,581 The median monthly rent payment in the Bay Area was $1,800 in 2017","Rent Payments"
"EC7 - 5.	+85% Bay Area home sale prices went up by 85 percent in inflation-adjusted dollars between 1997 to 2015","128%","Bay Area home sale prices went up by 128 percent in inflation-adjusted dollars between 1997 to 2018","Home Prices"
"EC7 - 4.	3x The median home sale price in Palo Alto has tripled since 1997, the fastest increase of any Bay Area city","3x","The median home sale price in Palo Alto has more tripled since 1997, the fastest increase of any Bay Area city","Home Prices"
"EC7 - 3.	#9 Solano County median home sale prices were the lowest in the Bay Area in 2015 at $330,000","#9","Solano County median home sale prices were the lowest in the Bay Area at $430,000 in 2018","Home Prices"
"EC7 - 2.	$1.1 million The median sale price for a home in San Francisco was $1.1 million in 2015","$1.3 million","The median sale price for a home in San Francisco was $1.3 million in 2018","Home Prices"
"EC7 - 1.	#1 At $700,000 in 2015, Bay Area median home sale prices are the most expensive in the nation","#1","At just under $1 million in 2018, Bay Area median home sale prices are the most expensive in the nation","Home Prices"
"EC6 - 5.	#1 San Francisco has the youngest labor force of any Bay Area county","#1","San Francisco has the youngest labor force of any Bay Area county","Labor Force Participation"
"EC6 - 4.	#1 Marin County has the oldest labor force of any Bay Area county","#1","Marin County has the oldest labor force of any Bay Area county","Labor Force Participation"
"EC6 - 3.	82% Colma has the highest labor force participation rate of any Bay Area city at 82%","82%","Colma has the highest labor force participation rate of any Bay Area city at 82%","Labor Force Participation"
"EC6 - 2.	50% Belvedere has the lowest labor force participation rate of any Bay Area city at 50%","50%","Belvedere has the lowest labor force participation rate of any Bay Area city at 50%","Labor Force Participation"
"EC6 - 1.	67% of Bay Area adults participated in the labor force in 2013","67%","of Bay Area adults participated in the labor force in 2013","Labor Force Participation"
"EC4-5 - 5.	#2 Bay Area median household income ranked second-highest in the U.S. in 2015","#2","The Bay Area ranked second for median household income among major U.S. metros in 2017","Income"
"EC4-5 - 4.	5x The Bay Area's 80th percentile household income is more than 5 times greater than the 20th percentile income","5x","The Bay Area's 80th percentile household income is more than 5 times greater than the 20th percentile income","Income"
"EC4-5 - 2.	#1 Santa Clara County households had the highest median income of any Bay Area county in 2015","#1","Santa Clara County households had the highest median income of any Bay Area county in 2017","Income"
"EC4-5 - 1.	$89,000 The median Bay Area household made $89,000 in 2015","$93,000","The median Bay Area household made $93,000 in 2017","Income"
"EC3 - 5.	#9 San Mateo County has the lowest unemployment rate of Bay Area counties at 3.4%","2.10%","At 2.1%, San Mateo County continues to have the lowest unemployment rate","Unemployment"
"EC3 - 4.	-11% Oakland's unemployment rate has dropped by 11 percentage points since 2009","-12%","Vallejo's unemployment rate dropped by 12% since 2010 but remains among the highest in the region","Unemployment"
"EC3 - 3.	8% Vallejo ha an 8% employment rate in 2015 - twice the regional average","3.60%","Solano County had a 3.6% unemployment rate in 2018 - more than any other Bay Area county","Unemployment"
"EC3 - 2.	#2 The Bay Area has the 2nd lowest unemployment rate of any major metro area, only surpassed by Dallas","#1","The Bay Area has the lowest unemployment rate of any major metro area","Unemployment"
"EC3 - 1.	4% of the Bay Area labor force was unemployed in 2015","3%","of the Bay Area labor force was unemployed in 2018, the lowest rate in 30 years","Unemployment"
