"basisid","socrata_id","data_category","data_subcategory","data_set","description","data_steward","jurisdiction_contact","primary_uses","format","unit_of_analysis","principal_use","source","data_collection_phase","category_search","geojson","geometry","dataurl","data_steward_notes","publishing_status","downloadurl","date_added","date_published","sharing_permissions","update_frequency","in_review","basis_url"
"db70c306-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Debris Flow Source Areas","Debris flow source areas for rainfall/storm induced landslides","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","United States Geological Survey (USGS)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/landslide_debrisflow/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=e6850acce79e45bca903abd367f4b02f#visualize",,"Authoritative",,,"1997","Public",,,
"db70c69e-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Existing Landslide Areas","This data provides a summary of the distribution of landslides evident in the landscape of the San Francisco Bay Region. In general, landslide maps are now available for most of the region at scales of 1:24,000 – 1:62,500. The method of compilation and resolution of 1:125,000 (1 inch = 2 miles) limits use of this data to regional considerations. For more detailed information, reference the original 1:24,000 - 1:62,500 maps, if available in local libraries, or consult local officials or private consultants.

This version is maintained separately from the Plan Bay Area 2040 EIR version in case the source provider makes an update available.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","United States Geological Survey (USGS)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/usgs_existing_landslide_areas/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=2e9776fa5c0847b4862b8917a5129c87#visualize",,"Authoritative",,,"1997","Public",,,
"db70c1d0-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Federal Emergency Management Agency Flood Zones","Federal Emergency Management Agency (FEMA) flood zone feature set, from the National Flood Hazard Layer, for the San Francisco Bay Region. The data includes every county in the region except the City & County of San Francisco. This flood zone data was part of the hazard analysis conducted for the Plan Bay Area 2040 Environmental Impact Report. This flood zone data should not be used for flood insurance purposes, but rather hazard mapping. Flood Insurance Rate Map (FIRM) data retrieved directly from FEMA should be used for insurance programs.

This version is maintained separately from the Plan Bay Area 2040 EIR version as the data has been updated by the data provider and it what is currently in use for mapping and analysis at MTC/ABAG.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","Federal Emergency Management Agency (FEMA)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/fema_flood_zones/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=929195bc63d74955bb54cf26c94b7659#visualize",,"Authoritative",,,"2019","Public",,,
"db70ba46-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Historic Wildfire Perimeters","Extents of previous wildfires in the San Francisco Bay Area","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","California Department of Forestry and Fire Protection (CAL FIRE)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/cdf_fire_perimeters/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=853e0aa557e54adc95c9e9c68b585889#visualize",,"Authoritative",,,"2019","Public",,,
"db70b17c-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Landslide Study Zones","Earthquake induced landslide hazard areas mapped by the California Geological Survey","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","California Geological Survey (CGS)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/cgs_landslide_study_zones/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=9893ad6702d94f99b467a09525f14534#visualize",,"Authoritative",,,"2019","Internal",,,
"db70b30c-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Liquefaction Study Zones","Liquefaction hazard areas mapped by the California Geological Survey","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","California Geological Survey (CGS)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/cgs_liquefaction_study_zones/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=483cfc8ba55c43f5b2db9a5822f0d9fb#visualize",,"Authoritative",,,"2019","Internal",,,
"db70c7ca-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Liquefaction Susceptibility","This data set represents the entire San Francisco Bay Region by combining both Open-File Report 00-444 and Open-File Report 2006-1037 data. The area covered by Open-File Report 2006-1037 was erased from Open-File Report 00-444 and the two data sets were merged. A column has been added to the attribute table to label which report each polygon was originally from. The data presents Quaternary deposits and liquefaction susceptibility for the nine-county San Francisco Bay Region. The nine counties surrounding San Francisco Bay straddle the San Andreas fault system, which exposes the region to serious earthquake hazard (Working Group on California Earthquake Probabilities, 1999). Much of the land adjacent to the Bay and the major rivers and streams is underlain by unconsolidated deposits that are particularly vulnerable to earthquake shaking and liquefaction of water-saturated granular sediment.

This version is maintained separately from the Plan Bay Area 2040 EIR version in case the source provider makes an update available.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","United States Geological Survey (USGS)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/usgs_liquefaction_susceptibility/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=b88a7506b3054189b2cbd475371b1199#visualize",,"Authoritative",,,"2006","Public",,,
"df8deccc-87cf-4796-8d8f-e9f3b2eb67dc",,"Environment","Climate","NOAA 2ft Sea Level Rise Scenario for the San Francisco Bay Region","This feature set is an sea level rise scenario, for the San Francisco Bay Region, produced by the National Oceanic and Atmospheric Administration (NOAA). The scenario was produced using a projected two foot sea level rise and includes both open water rise and inland inundation.

This version is maintained separately from the Plan Bay Area 2040 EIR version as the data has been updated by the data provider and it what is currently in use for mapping and analysis at MTC/ABAG.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo",,"TBD","National Oceanic and Atmospheric Administration (NOAA)",,"Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/noaa_slr_2ft_region/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=39e4ac3fb2b242e986c9c4b05dd9304e#visualize",,"Authoritative",,,"2017","Internal",,,
"c6ba8375-8a35-4ded-9223-008fb1f53145",,"Environment","Climate","NOAA 2ft Sea Level Rise Scenario for the San Francisco Bay Region: Low-Lying Areas","This feature set, related to the National Oceanic and Atmospheric Administration's (NOAA) two foot sea level rise scenario for the San Francisco Bay Region, represents the low-lying areas vulnerable to inundation due to their proximity to areas expected to flood. The low-lying areas take into account the hydroconnectivity of inundated areas, which distinguishes it from a simple bathtub (static) approach. In addition, the feature set also shows low-lying areas, which are considered hydrologically “unconnected” areas that may flood, such as low-lying areas protected by levees.

This version is maintained separately from the Plan Bay Area 2040 EIR version as the data has been updated by the data provider and it what is currently in use for mapping and analysis at MTC/ABAG.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo",,"TBD","National Oceanic and Atmospheric Administration (NOAA)",,"Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/noaa_slr_2ft_region_lowareas/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=fb42ec0f5a9346c885acf289f35194d5#visualize",,"Authoritative",,,"2017","Internal",,,
"db70c43c-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Probabilistic Seismic Hazard Assessment","This data set shows likely shaking intensity in the San Francisco Bay Area in any 50 year period from all possible faults. It is an equivalent risk to a 500 year flood event. A 10% in 50 years probability was chosen as it most closely aligns with current building standards in the California Building Code. The data set is not intended to be site-specific. Rather, it depicts the general risk within neighborhoods and the relative risk from community to community. It was developed in conjunction with the United States Geological Survey (USGS) and California Geological Survey (CGS) by determining Probabilistic Seismic Hazard Assessment for Peak Ground Velocity (PGV) for 52,961 points along a grid covering the entire Bay Area, at intervals of 0.05 degrees longitude and 0.05 degrees latitude. PGV was then converted to the Modified Mercalli Intensity (MMI) measure. This analysis incorporates soil conditions which affect the velocity of ground shaking.

This version is maintained separately from the Plan Bay Area 2040 EIR version in case the source provider makes an update available.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","Association of Bay Area Governments, California Geologic Survey, CalTech Seismological Laboratory, Berkeley Seismological Laboratory, United States Geological Survey - Menlo Park, United States Geological Survey - Pasadena, and the California Governor's Office of Emergency Services","2","Environment","https://opendata.arcgis.com/datasets/c3a21989363b484ca6f9c0730e14d9f6_0.geojson","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=c3a21989363b484ca6f9c0730e14d9f6#visualize",,"Authoritative","https://opendata.arcgis.com/datasets/c3a21989363b484ca6f9c0730e14d9f6_0.zip",,"2013","Public",,,
"db70cdce-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Sea Level Rise (0 to 6 feet)","Locations along shorelines where inundation is expected to rise due to global warming. Feature set displays potential sea level rise inundation ranging from 1 to 6 feet above current Mean Higher High Water (MHHW) for the San Francisco Bay Region.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","National Oceanic and Atmospheric Administration (NOAA)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/sealevelrise_0to6/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=45bf88cc61e0402faca2cbb0362a031f#data",,"Authoritative",,,"2012","Public",,,
"db70c05e-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Shaking Scenarios","Projected intensities from shaking scenarios generated for the San Francsico Bay Region by the US Geological Survey.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","United States Geological Survey (USGS)","2","Environment",,,"https://mtc.maps.arcgis.com/apps/PublicInformation/index.html?appid=5dce6a808f344e7e984717063104145e",,"Authoritative",,,"2012","Public",,,
"849c4c98-4731-45bd-be4e-de3d87d927d4",,"Environment","Natural Hazards","Fire Severity Risk: State and Local Responsibility Areas","Features represent Moderate, High, and Very High Fire Hazard Severity Zones in State Responsibility Areas (SRA) and Very High Fire Hazard Severity Zones in Local Responsibility Areas (LRA) for the San Francisco Bay Region. Data was developed by the California Department of Forestry and Fire Protection (Cal Fire).","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo",,"TBD","California Department of Forestry and Fire Protection (CAL FIRE)",,"Environment"," (https://opendata.arcgis.com/datasets/f89e55b79b7246729275c81aa82a85d6_0.geojson)","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=f89e55b79b7246729275c81aa82a85d6#visualize",,"Authoritative","https://opendata.arcgis.com/datasets/f89e55b79b7246729275c81aa82a85d6_0.zip",,"2009","Public",,,
"db70c568-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Tsunami Planning Areas","Areas at risk of inundation during a tsunami event. Actual location and extent of inundation would depend on strength and direction of tsunami.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","California Emergency Management Agency (CalEMA), California Geological Survey (CGS), and University of Southern California (USC)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/tsunami_evacuationplanning/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=c51a48d574e24f7eb6470bf68f1ae08a#visualize",,"Authoritative",,,"2009","Public",,,
"db70cb44-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Wildfire Threat","Wildland fire threat to human development in the San Francisco Bay Region.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","California Department of Forestry and Fire Protection (CAL FIRE)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/cdf_wildfire_threat/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=3061a28f954b4b18aa1dd0e1ba116bfe#visualize",,"Authoritative",,,"2018","Public",,,
"db70cc8e-7741-11e9-8f9e-2a86e4085a59",,"Environment","Natural Hazards","Wildland-Urban Interface","Threat areas for the wildland-urban interface in the San Francisco Bay Region.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo","parcel","TBD","California Department of Forestry and Fire Protection (CAL FIRE)","2","Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/cdf_wildland_urban_interface/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=d45bf08448354073a26675776f2d09cb#visualize",,"Authoritative",,,"2003","Public",,,
"db70926e-7741-11e9-8f9e-2a86e4085a59",,"Policy","Hazard Mitigation","Local Hazard Resilience Policies","Development and land use policies that seek to aid communities with natural disasters, and minimize impacts and damage from the hazard.","Michael Germeraad",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","table","parcel","TBD","MTC/ABAG","2","Policy",,,,,"Not yet collected",,,,,,,
"db70a0e2-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Buildings","Buildings","The parcel/building data includes the unique parcel identifier (APN) as well as attributes about the parcel (county, land value, if the parcel can’t be developed) and buildings (year assessed, square feet, number of stories, if the building is historic). Includes Historic and Commercial Bldgs. (basis)","Michael Reilly",,"UrbanSim Modeling","table","parcel","TBD","Jurisdiction","1","Land_and_People",,,"https://data.bayareametro.gov/Structures/View-of-Parcels-and-UrbanSim-Buildings/y6gk-653s","Currently a table stored with parcels.","In process",,,,,,,
"db70ac86-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Development","Development Pipeline","Includes major projects, and residential development. Is comprised of a list of building projects recently completed, under construction, or approved","Michael Reilly",,"UrbanSim Modeling","table","parcel","TBD","Jurisdiction; CoStar; Web Articles","1","Land_and_People",,,"https://data.bayareametro.gov/Land-People/Development-Pipeline/mh8s-sq4j/data",,"In process",,,,"Internal",,"true","pipeline"
"db70a646-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Structures","Institutions","Most of the information that goes into the land use forecast comes from the data in the basemap, the pipeline, and the forecast of market-rate development built by the UrbanSim Developer Model. However, large institutions often operate outside of the market, are unlikely to move, and are likely to expand operations at their current location. Examples of this include UC Berkeley, Cupertino City Hall, and Highland Hospital. Many of these entities also operate group quarters so all group quarter forecasting is also part of this database.","Michael Reilly",,"UrbanSim Modeling","geo","parcel","TBD","MTC/ABAG","1","Land_and_People",,,,"Ad hoc representation in parcel database","Not yet collected",,,,,,,
"db709002-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Land Use","Landmarks","Locations, structures or features of a landscape or town that have importance to a community or makes a place easily recognizable.","Michael Reilly",,"UrbanSim Modeling","geo",,"TBD","MTC/ABAG","1","Land_and_People",,,,,"Not yet collected",,,,,,,
"db70b046-7741-11e9-8f9e-2a86e4085a59",,"Land & People","Cadastral","Parcels","The parcel/building data includes the unique parcel identifier (APN) as well as attributes about the parcel (county, land value, if the parcel can’t be developed) and buildings (year assessed, square feet, number of stories, if the building is historic). (basis)","Michael Reilly",,"UrbanSim Modeling","geo","parcel","TBD","Jurisdiction","1","Land_and_People",,,"https://data.bayareametro.gov/Cadastral/View-of-Parcels-and-UrbanSim-Parcels/ffp4-cths",,"In process",,,,"Internal",,,
"db70b7da-7741-11e9-8f9e-2a86e4085a59",,"Policy","Growth Management","Development Policies","Development Policies are laws, rules, processes, fees, and subsidies that impact private sector real estate development. Common policies for a parcel or neighborhood might limit uses (e.g., no commercial uses allowed), set maximum intensities (e.g., no more than 10 dwelling units per acre), require multiple project approvals, or assess fees on construction. All together, these policies influence project feasibility at a site to the extent that profitable projects may become unprofitable and vice versa. In this way they play a major role in determining the future trajectory of Bay Area neighborhoods.","Michael Reilly",,"UrbanSim Modeling","table","parcel","TBD","Jurisdiction","1","Policy",,,,,"Not yet collected",,,,,,,
"db70a3da-7741-11e9-8f9e-2a86e4085a59",,"Policy","Land Use","General Plan Land Use","Land Use Policies designated by local jurisdictions to manage future development and growth within their respective jurisdictions.","Michael Reilly",,"UrbanSim Modeling, Regional Planning and Policy, Housing Programs, CASA","geo","parcel","TBD","Jurisdiction","1","Policy",,,"https://data.bayareametro.gov/Land-Use/Regional-General-Plan-Codes-2018/vzcc-dhby","Michael Reilly","In process",,,,,,,
"db70bca8-7741-11e9-8f9e-2a86e4085a59",,"Policy","Land Use","Non-Developable Sites","Sites designated by local jurisdictions where development cannot occur.  (These sites can be determined based upon bldg. type)","Michael Reilly",,"UrbanSim Modeling","table, geo","parcel","TBD","Jurisdiction","1","Policy",,,"https://mtc.maps.arcgis.com/home/item.html?id=c6a408aec3b34bbd970f9fa0ab099577#visualize","Encoded in parcel table.","Deprecated","https://open-data-demo.mtc.ca.gov/api/views/7y6u-ncje/rows.csv?accessType=DOWNLOAD&bom=true&format=true",,,"Public",,,
"db7093cc-7741-11e9-8f9e-2a86e4085a59",,"Policy","Land Use","Specific Plan Areas","A specific plan is a tool for the systematic implementation of a jurisdictions general plan. It effectively establishes a link between implementing policies of the general plan and the individual development proposals in a defined area.","Michael Reilly",,"UrbanSim Modeling","geo","sub city areas","TBD","Jurisdiction","1","Policy",,,,"Not collected except for one or two cities.","Not yet collected",,,,,,,
"db70b67c-7741-11e9-8f9e-2a86e4085a59",,"Policy","Land Use","Urban Growth Boundaries","An Urban Growth Boundary is a regional boundary, set in an attempt to control urban sprawl by, in its simplest form, mandating that the area inside the boundary be used for urban development and the area outside be preserved in its natural state or used for agriculture.","Michael Reilly",,"UrbanSim Modeling, Regional Planning and Policy, Housing Programs","geo","jurisdiction","TBD","Greenbelt Alliance/Metropolitan Transportation Commission","1","Policy","https://opendata.arcgis.com/datasets/cee518ed990947de8d2290416306461f_0.geojson","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=cee518ed990947de8d2290416306461f#visualize",,"Authoritative","https://opendata.arcgis.com/datasets/cee518ed990947de8d2290416306461f_0.zip",,"2019","Public",,"true",
"db70a51a-7741-11e9-8f9e-2a86e4085a59",,"Policy","Land Use","Zoning","Land Use policies designated by local jurisdictions to manage and control existing development and intensity of use of land within the current jurisdiction limits.","Michael Reilly",,"UrbanSim Modeling, Regional Planning and Policy, Housing Programs","geo, table","parcel","TBD","Jurisdiction","1","Policy",,,"https://data.bayareametro.gov/Land-Use/Regional-Zoning-Codes-2018/qdrp-c5ra","Michael Reilly","In process",,,,,,"true","landuse"
"3361de72-6791-413c-917b-d0d1c138ee38",,"Administrative Boundaries","Service Areas","San Francisco Bay Region Spheres of Influence","The California Association Local Agency Formation Commissions defines a sphere of influence (SOI) as ""a planning boundary outside of an agency’s legal boundary (such as the city limit line) that designates the agency’s probable future boundary and service area."" This feature set represents the SOIs of the incorporated jurisdictions for the San Francisco Bay Region. San Francisco is not included because, as both a city and county, it does not have an SOI.","Michael Smith",,"TBD","geo",,"TBD","Various/Metropolitan Transportation Commission",,"Administrative_Boundaries","https://opendata.arcgis.com/datasets/e9accd91e02f47bd83edea4781eeb187_0.geojson","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=e9accd91e02f47bd83edea4781eeb187#visualize",,"Authoritative","https://opendata.arcgis.com/datasets/e9accd91e02f47bd83edea4781eeb187_0.zip",,"2019","Public",,"true",
"27920239-c9fd-4a31-a2b8-dc713bedcd23",,"Environment","Climate","Adapting to Rising Tides: 2ft Sea Level Rise Scenario","This feature set is a subset of the regional data produced for the San Francisco Bay Conservation and Development's (BCDC) Adapting to Rising Tides project. The subset contains projected inundation extents for Alameda, Contra Costa, Marin, San Francisco, and San Mateo counties for a two-foot rise in sea level associated with climate change. The two-foot sea level rise scenario represents the high end of the level of increase expected by 2050. This feature set was used for hazard analysis conducted for the Plan Bay Area 2040 Environmental Impact Report.","Michael Smith",,"Resiliance Programs; UrbanSim Modeling; Plan Bay Area","geo",,"Plan Bay Area 2040 EIR","San Francisco Bay Conservation and Development Commission",,"Environment","https://services3.arcgis.com/i2dkYWmb4wHvYPda/arcgis/rest/services/bcdc_art_2ft_slr/FeatureServer","Polygon","https://mtc.maps.arcgis.com/home/item.html?id=3b03de0cc1714a97b4b4e5dfbdfa7940#visualize",,"Deprecated",,,"2016","Internal",,,
