"the_geom","objectid","businessaddress","businessname","businessphone","businessstartdate","businesstype","businesslicensenumber","city","ownername","state","streetdirection","streetname","streetnumber","streetsuffix","suite","zip","locationx","locationy"
"POINT (-89.999912773961 29.911395962499)","3878","5163 GENERAL DE GAULLE DR","HZ",,"2017-01-11","3373 - PERSONAL CARE SERVICES, OTHER","278381","NEW ORLEANS","HZ INVESTMENTS, LLC","LA",,"GENERAL DE GAULLE","5163","DR","STE B","70131","3703270.68497","515726.661748"
"POINT (-90.065513625191 29.951361285205)","786","365 CANAL ST","HOSTS DESTINATION SERVICES, LLC","2402238700","2011-06-06","5301 - TOUR OPERATORS","276730","NEW ORLEANS","HOSTS DESTINATION SERVICES, LLC","LA",,"CANAL","365","ST",,"70130","3682328.02095","530023.581121"
"POINT (-90.10282504247 29.93691888552)","7900","2633 NAPOLEON AVE","J KENT ROBY DMD","5044825713","1992-10-01","0178 - OFFICES OF DENTISTS","286062","NEW ORLEANS","ROBY JEFFREY KENT","LA",,"NAPOLEON","2633","AVE","STE 700","70115","3670569.11079","524642.976764"
"POINT (-90.104426306509 29.921277042124)","10161","4618 CAMP ST","KKJOHNSON ARCHITECTURE & DESIGN LLC",,"2022-03-30","3353 - ARCHITECTURAL SERVICES","288360","NEW ORLEANS","KKJOHNSON ARCHITECTURE & DESIGN LLC","LA",,"CAMP","4618","ST",,"70115","3670122.97121","518949.585015"
"POINT (-90.040950053539 29.930044696607)","1223","1525 ERIE ST","ROBINSON PRODUCE #1","5045708479","2012-02-08","5502 - MOBILE FOOD SERVICES","274884","NEW ORLEANS","JOHN ROBINSON, SR.","LA",,"ERIE","1525","ST",,"70114","3690193.90774","522359.02041"
"POINT (-89.962285256051 30.021588872783)","9445","4601 HAUCK DR","DIVINE DIRECTION MEDICAL TRANSPORTATION LLC",,"2020-09-30","2032 - SPECIAL NEEDS TRANSPORTATION","285971","NEW ORLEANS","DIVINE DIRECTION MEDICAL TRANSPORTATION LLC","LA",,"HAUCK","4601","DR",,"70127","3714711.28543","555937.172249"
"POINT (-90.021182477808 29.940207994267)","6934","3300 GENERAL MEYER AVE","DRIVE SMART AUTOMOTIVE SERVICES LLC","5045109600","2021-05-13","2068 - AUTO MECHANICAL/ELECTRICAL R & M, OTH","286390","NEW ORLEANS","DRIVE SMART AUTOMOTIVE SERVICES LLC","LA",,"GENERAL MEYER","3300","AVE",,"70114","3696412.63728","526125.900286"
"POINT (-90.096093706466 29.979127352043)","208","729 N CARROLLTON AVE","DR LEON A FLETTRICH III DDS","5044830955","1997-01-01","0178 - OFFICES OF DENTISTS","282536","NEW ORLEANS","DR LEON A FLETTRICH III DDS","LA","N","CARROLLTON","729","AVE",,"70119","3672535.28795","540014.531467"
"POINT (-89.984628331077 29.923548016234)","3052","6419 GENERAL MEYER AVE","T & T FOOD MART","5043930201","2004-03-01","1106 - GROCERY (EXC CONVENIENCE) STORES","285392","NEW ORLEANS","SAMZI  G INC","LA",,"GENERAL MEYER","6419","AVE",,"70131","3708060.65137","520202.206072"
"POINT (-90.036221212764 30.001200152781)","9983","4000 METROPOLITAN ST","IRON TRIANGLE DEVELOPMENT","5049479807","2003-09-01","0313 - MULTIFAMILY HOUSING CONSTRUCTION","290166","NEW ORLEANS","VARNADO,DERRICK SR","LA",,"METROPOLITAN","4000","ST",,"70126","3691398.78326","548250.643986"
"POINT (-90.089945605303 29.931047287829)","4201","3028 BARONNE ST","R. MODICA","5042963365","2019-05-21","2001 - TAXI SERVICE","275713","NEW ORLEANS","ROXANNE MODICA","LA",,"BARONNE","3028","ST",,"70115","3674671.37249","522551.883898"
"POINT (-90.103458102506 29.936788035568)","7079","2626 NAPOLEON AVE","OCHSNER BAPTIST MAGNOLIA CLINIC",,"2021-01-07","0185 - OFFICES OF HEALTH PRACT, ALL OTH MISC","287872","NEW ORLEANS","OCHSNER CLINIC L.L.C.","LA",,"NAPOLEON","2626","AVE",,"70115","3670369.12263","524593.242172"
"POINT (-90.095314065257 29.967998037854)","7703","300 S NORMAN C FRANCIS PKWY","ENTROPY ROOMS","5044886631","1992-04-12","4702 - ROOMING & BOARDING HOUSES","283615","NEW ORLEANS","ENTROPY ENTERPRISES","LA","S","NORMAN C FRANCIS","300","PKWY",,"70119-6232","3672825.83284","535970.148551"
"POINT (-90.076989294557 29.951922709288)","8375","4860 MARQUE ST","CONCRETE PAVERS","5042347820","2009-06-17","1177 - CONCRETE CONTRACTORS","276024","NEW ORLEANS","CONCRETE PAVERS INC","LA",,"MARQUE","4860","ST",,"70127","3678691.8167","530187.70942"
"POINT (-90.076989294557 29.951922709288)","2785","3222 BARONNE ST","NEIGHBORHOOD DISCOUNT SUPERMARKET","5048994954","1995-08-01","1101 - CONVENIENCE STORES","280312","NEW ORLEANS","XUAN TUYEN, INC","LA",,"BARONNE","3222","ST",,"70115","3678691.8167","530187.70942"
"POINT (-90.07350458412 29.925614981836)","5802","600 JACKSON AVE","A & G FRANKLIN,LLC","5046693225","2005-02-28","2001 - TAXI SERVICE","274611","NEW ORLEANS","A & G FRANKLIN,LLC","LA",,"JACKSON","600","AVE",,"70130","3679900.48482","520633.384184"
"POINT (-90.064902395749 29.967107644203)","9564","1227 ESPLANADE AVE","RATHBONE MANSIONS",,"2019-10-24","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","281888","NEW ORLEANS","BELLE MANSIONS LLC","LA",,"ESPLANADE","1227","AVE",,"70116","3682458.19132","535751.679879"
"POINT (-90.113103433937 29.960341520549)","9579","7901 EARHART BLVD","EXCLUSIVE NOLA BOUTIQUE",,"2019-11-27","1128 - CLOTHING STORES, OTHER","287997","NEW ORLEANS","EXCLUSIVE NOLA LLC","LA",,"EARHART BLVD","7901",,"STE D","70125","3667223.09831","533125.524164"
"POINT (-90.064169651825 29.99430463578)","6117","2710 GENTILLY BLVD","ST JOHN BERCHMANS EARLY CHILDHOOD DEVELOPMENT CENT",,"2014-11-04","3366 - CHILD DAY CARE SERVICES","275820","NEW ORLEANS","ST JOHN BERCHMANS EARLY CHILDHOOD DEVELOPMENT CENT","LA",,"GENTILLY","2710","BLVD",,"70122","3682580.64719","545644.107216"
"POINT (-90.127617124711 29.948870651643)","9827","1407 S CARROLLTON AVE","DR MARK S CHANEY DMD","5048612523","1995-02-02","0178 - OFFICES OF DENTISTS","283240","NEW ORLEANS","CHANEY, MARK S","LA","S","CARROLLTON","1407","AVE",,"70118","3662671.376","528905.622848"
"POINT (-90.058261981415 29.959854190398)","4671","1200 N PETERS ST","MY CUP LADY",,"2020-10-26","0151 - FLEA MARKET","286442","NEW ORLEANS","KENDRA GLASER","LA","N","PETERS","1200","ST",,"70116","3684590.00828","533137.391684"
"POINT (-90.065445914393 29.957125246717)","4857","540 ROYAL ST","ELLIOTT GALLERY","5045233554","2014-04-25","1173 - ART DEALERS","288251","NEW ORLEANS","ELLIOTT GALLERY LLC","LA",,"ROYAL","540","ST",,"70116","3682326.27016","532119.806019"
"POINT (-90.074043714422 29.956237485419)","4131","1208 CANAL ST","GOPARK VALET-B ON CANAL",,"2019-03-04","2014 - PARKING LOTS & GARAGES","283921","NEW ORLEANS","GOPARK VALET-B ON CANAL","LA",,"CANAL","1208","ST",,"70112","3679607.33621","531766.960643"
"POINT (-90.103878327464 29.916511165405)","2699","4608 TCHOUPITOULAS ST","STOR-ALL NEW ORLEANS INC      ATTN M MCGUIRE","5048992222","1996-05-03","2015 - GENERAL WAREHOUSING & STORAGE","284152","NEW ORLEANS","STOR-ALL NEW ORLEANS INC","LA",,"TCHOUPITOULAS","4608","ST",,"70115-1522","3670315.14599","517218.401269"
"POINT (-90.076989294557 29.951922709288)","8193","4437 BROOKFIELD CORP","HENSEL PHELPS CONSTRUCTION",,"2005-10-12","1185 - SPECIAL TRADE CONTRACTORS, ALL OTHER","278487","NEW ORLEANS","HENSEL PHELPS CONSTRUCTION","LA",,"BROOKFIELD CORP","4437",,,,"3678691.8167","530187.70942"
"POINT (-90.076989294557 29.951922709288)","9009","BIG LAKE TRAIL CITY PARK CT","WHEEL FUN RENTALS NEW ORLEANS","3202661164","2014-06-26","3326 - GENERAL RENTAL CENTERS","285257","NEW ORLEANS","WHEEL FUN RENTALS NEW ORLEANS, LLC","LA",,"BIG LAKE TRAIL CITY PARK",,"CT",,"70124","3678691.8167","530187.70942"
"POINT (-90.026234102853 30.035099030479)","6441","5701 WALTER BEECH ST","NEW ORLEANS AERIAL TOURS & FLIGHT TRAINING LLC",,"2017-03-21","0171 - FLIGHT TRAINING","281811","NEW ORLEANS","NEW ORLEANS AERIAL TOURS & FLIGHT TRAINING LLC","LA",,"WALTER BEECH","5701","ST",,"70126","3694419.16086","560613.507806"
"POINT (-89.961463467552 30.04342760691)","8750","6000 BULLARD AVE","1040, INC",,"2015-01-20","3347 - TAX PREPARATION SERVICES","276137","NEW ORLEANS","1040, INC","LA",,"BULLARD","6000","AVE",,"70126","3714876.25311","563881.658913"
"POINT (-90.062914393979 29.956427536046)","5428","620 DECATUR ST","HOUSE OF GIFTS","9856415666","2003-08-15","1154 - GIFT, NOVELTY & SOUVENIR STORES","281925","NEW ORLEANS","FARHAT,F ABBAS          FARAHAT F. ABBAS","LA",,"DECATUR","620","ST",,"70130","3683130.68514","531874.971523"
"POINT (-90.036886770048 29.971276337048)","9262","3610 N CLAIBORNE AVE","IDA'S ELEGANT IDEAS & CATERER","5047298832","2016-02-26","2065 - CATERERS","279233","NEW ORLEANS","IDA M MYLES","LA","N","CLAIBORNE","3610","AVE",,"70117","3691311.24579","537366.844936"
"POINT (-90.076989294557 29.951922709288)","613","1309 DECATUR ST","MILK STUDIO","5044321890","2008-04-03","1173 - ART DEALERS","278556","NEW ORLEANS","MELINDA L KLEINKE","LA",,"DECATUR","1309","ST",,"70116","3678691.8167","530187.70942"
"POINT (-90.071875217665 29.952326455971)","6706","821 GRAVIER ST","HILTON GARDEN INN FRENCH QUARTER/CBD",,"2019-10-31","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","281413","NEW ORLEANS","MHF NOLA MANAGER VI, LLC","LA",,"GRAVIER","821","ST",,"70112","3680309.65109","530352.318978"
"POINT (-90.078594156436 29.923394037104)","6483","2616 CHIPPEWA ST","SUNSTOP DISPENSERS",,"2017-06-13","1123 - SPORTING GOODS STORES","282927","NEW ORLEANS","SUNSTOP DISPENSERS LLC","LA",,"CHIPPEWA","2616","ST",,"70130","3678297.2125","519808.08076"
"POINT (-90.11233049956 29.922366065908)","7816","1041 VALMONT ST","CITY HERBS","5048913949","1990-06-01","1501 - DURABLE GOODS WHLSRS, OTHER MISC","280635","NEW ORLEANS","KENNEDY, THEODORE E","LA",,"VALMONT","1041","ST",,"70115-3022","3667614.9913","519318.827447"
"POINT (-90.102948720372 29.920801870062)","4230","4505 MAGAZINE ST","SATSUMA REALTORS",,"2019-10-24","0501 - REAL ESTATE AGENTS AND BROKERS","274737","NEW ORLEANS","SATSUMA REALTORS LLC","LA",,"MAGAZINE","4505","ST",,"70115","3670592.87195","518781.817847"
"POINT (-90.113182167709 30.005518209191)","7027","209 HARRISON AVE","LAKEVIEW NUTRITION",,"2020-09-01","1141 - FOOD (HEALTH) SUPPLEMENT STORES","288374","NEW ORLEANS","LAKEVIEW NUTRITION","LA",,"HARRISON","209","AVE","C","70124","3667023.23361","549553.299731"
"POINT (-90.019984547374 29.909550717787)","5439","4021 BEHRMAN HWY","THE SHOE DEPT #1002",,"2004-03-19","1115 - SHOE STORES","280645","NEW ORLEANS","SHOE SHOW, INC.","LA",,"BEHRMAN","4021","HWY","L","70114","3696919.80067","514982.231219"
"POINT (-90.076989294557 29.951922709288)","8032","310 ANDREW HIGGINS ST","GENERATION'S HALL","5045528295","1997-10-03","1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES)","286600","NEW ORLEANS","VENTURE CCR OF NEW ORLEANS, LLC","LA",,"ANDREW HIGGINS","310","ST",,"70130","3678691.8167","530187.70942"
"POINT (-90.130877655126 29.948399246459)","5460","8211 OAK ST","ECLECTIC HOME","5048627688","2001-10-01","3203 - INTERIOR DESIGN SERVICES","286287","NEW ORLEANS","ECLECTIC HOME, LLC","LA",,"OAK","8211","ST",,"70118","3661640.64109","528723.351616"
"POINT (-90.076645330595 29.948985563248)","6825","639 LOYOLA AVE","SIEMENS ENERGY, INC",,"2020-07-01","0106 - ELEC APPR/EQP/WIR SUPP/CONSTR MAT WHL","284178","NEW ORLEANS","SIEMENS ENERGY, INC","LA",,"LOYOLA","639","AVE","2275","70113","3678812.45179","529120.849216"
"POINT (-90.028838083667 30.001928487655)","8175","3819 FRANCE RD","PONTCHATRAIN MATERIALS CORP",,"1976-07-01","1502 - CONSTRUCTION MATERIAL WHLSRS, OTHER","285076","NEW ORLEANS","DOUGLAS JR, GEORGE      HARRIS, FRANK","LA",,"FRANCE","3819","RD",,"70126","3693732.58441","548542.022802"
"POINT (-90.058650633056 29.987584732749)","7878","2840 ELYSIAN FIELDS AVE","ROGER'S AUTOMOTIVE","5049454633","1991-11-01","2071 - AUTO REPAIR & MAINT, ALL OTH","280639","NEW ORLEANS","MONTEGUT, ROGER","LA",,"ELYSIAN FIELDS","2840","AVE",,"70122","3684354.76847","543219.88475"
"POINT (-90.092276612715 29.948802723431)","8837","3353 MARTIN LUTHER KING JR BLVD","MARRERO COMMONS","3144211160","2015-05-21","3305 - LESSOR OF RESIDENTIAL BLDGS/DWELLINGS","286671","NEW ORLEANS","BW COOPER I, LLC AND BW COOPER 1B, LLC","LA",,"MARTIN LUTHER KING JR","3353","BLVD",,"70125","3673863.13697","529000.410496"
"POINT (-89.980786717109 30.042348592751)","3209","7340 READ BLVD","READ SEAFOOD","5043778892","2007-01-16","1101 - CONVENIENCE STORES","280520","NEW ORLEANS","TBN SEAFOOD CORPORATION","LA",,"READ","7340","BLVD",,"70127","3708767.5562","563416.610272"
"POINT (-90.111013713623 30.001669651517)","4548","6118 LOUISVILLE ST","RENAISSANCE RENOVATIONS, LLC","5044866274","2005-06-10","0313 - MULTIFAMILY HOUSING CONSTRUCTION","275558","NEW ORLEANS","SCHMIDT, STEWART G.","LA",,"LOUISVILLE","6118","ST",,"70124","3667724.47041","548161.121554"
"POINT (-90.074786691253 29.950719565469)","1146","1009 POYDRAS ST","WALK-ON'S BISTREAUX & BAR NEW ORLEANS",,"2016-07-14","1105 - FULL SVC RESTAURANTS (TABLE SERVICE)","276364","NEW ORLEANS","W.O. 70112,LLC","LA",,"POYDRAS","1009","ST","STE #A","70112","3679394.11055","529757.856321"
"POINT (-90.134634567094 29.944673945707)","3217","8200 HAMPSON ST","JW TRANSPORT","5042618403","2007-07-05","0157 - RAIL TRANS SUPPORT ACTIVITIES","283099","NEW ORLEANS","JW TRANSPORT, LLC","LA",,"HAMPSON","8200","ST","233","70118","3660465.08077","527356.223039"
"POINT (-90.082706506995 29.926252649772)","5483","2801 MAGAZINE ST","HELM PAINT & SUPPLY","5048618179","2005-05-23","1164 - PAINTING & WALL COVERING CONTRACTORS","287594","NEW ORLEANS","HELM PAINT & SUPPLY,INC","LA",,"MAGAZINE","2801","ST",,"70115-2228","3676983.25518","520833.333881"
"POINT (-89.954976574128 30.063568335372)","10115","7736 SCOTTWOOD DR","TYONYAMIND, LLC",,"2021-09-16","1111 - SPECIALTY FOOD STORES, ALL OTHER","286109","NEW ORLEANS","TYONYAMIND, LLC","LA",,"SCOTTWOOD","7736","DR",,"70128","3716840.41752","571230.224424"
"POINT (-89.92523753684 30.061844885992)","7426","14001 INTREPID ST","MCCALL ELECTRIC COMPANY",,"2017-03-28","1212 - HOME BASED-OFFICE USE ONLY","285486","NEW ORLEANS","MCCALL ELECTRIC COMPANY,LLC","LA",,"INTREPID","14001","ST",,"70129","3726254.77574","570717.890343"
"POINT (-90.067040425069 29.957202015362)","5744","501 BOURBON ST","BIG EASY OF ST LOUIS",,"2007-07-30","1105 - FULL SVC RESTAURANTS (TABLE SERVICE)","279667","NEW ORLEANS","501 A BOURBON  LLC","LA",,"BOURBON","501","ST",,"70130","3681821.06223","532142.138755"
"POINT (-90.065394589738 29.958316695602)","9197","726 ST PETER ST","PRESERVATION HALL FOUNDATION",,"2015-04-27","2051 - PROM OF PERFORM ARTS/SPORTS/SIM EVNTS","280567","NEW ORLEANS","PRESERVATION HALL FOUNDATION","LA",,"ST PETER","726","ST",,"70116","3682337.72776","532553.240196"
"POINT (-90.062672622521 29.957315942846)","3511","701 DECATUR ST","MARIA KRAMER ART AND MUSIC","5042615156","2012-03-12","1203 - ARTIST-PAINTING ON STREETS","276396","NEW ORLEANS","MARIA KRAMER ART AND MUSIC","LA",,"DECATUR","701","ST",,"70116","3683203.6598","532198.877379"
"POINT (-90.069492630831 29.934262719212)","1618","1470 ANNUNCIATION ST","MARYMAC'S DOGGIE RETREAT",,"2019-10-22","3803 - PERSONAL SERVICES, ALL OTHER","274638","NEW ORLEANS","MARYMAC'S DOGGIE RETREAT,LLC","LA",,"ANNUNCIATION","1470","ST","3105","70130","3681136.58114","523792.003643"
"POINT (-90.097082983054 29.94045115522)","3881","2919 LOUISIANA AVE","PRISTINE TOUCH NOLA CLEANING SERVICES LLC",,"2017-01-20","2033 - JANITORIAL SERVICES","284750","NEW ORLEANS","PRISTINE TOUCH NOLA CLEANING SERVICES LLC","LA",,"LOUISIANA","2919","AVE",,"70115","3672373.84148","525947.015805"
"POINT (-90.049373066585 29.962777493564)","4025","2800 CHARTRES ST","PRESS STREET STATION",,"2015-11-20","1105 - FULL SVC RESTAURANTS (TABLE SERVICE)","291383","NEW ORLEANS","THE NOCCA INSTITUTE CULINARY","LA",,"CHARTRES","2800","ST",,"70117","3687392.67823","534231.840837"
"POINT (-90.082513918826 29.970795282775)","9809","718 N BROAD ST","DEL CID AUTO SALES","5048222574","1993-01-01","1602 - USED CAR DEALERS","286714","NEW ORLEANS","DEL CID AUTO SALES INC","LA","N","BROAD","718","ST",,"70119","3676867.44392","537031.346888"
"POINT (-90.075691489886 29.957371259234)","7593","1500 CANAL ST","THE JUNG HOTELS & RESIDENCES-HOTEL",,"2019-04-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","288716","NEW ORLEANS","THE JUNG SUBTENANT, LLC","LA",,"CANAL","1500","ST",,"70112","3679081.04053","532173.512067"
"POINT (-90.062672622521 29.957315942846)","6335","701 DECATUR ST","K-STREET (A)",,"2016-02-27","1203 - ARTIST-PAINTING ON STREETS","274954","NEW ORLEANS","STEPHEN KERRY STEWART","LA",,"DECATUR","701","ST",,"70116","3683203.6598","532198.877379"
"POINT (-90.076989294557 29.951922709288)","122","3648 W LOYOLA DR","ROY BAUER #366",,"1992-02-25","2001 - TAXI SERVICE","274689","KENNER","BAUER, ROY","LA","W","LOYOLA","3648","DR",,"70065","3678691.8167","530187.70942"
"POINT (-90.085976286132 29.968510933641)","9610","2728 CONTI ST","MOKHTAR DZIRI","5048161588","2020-02-18","2003 - LIMOUSINE SERVICE","288043","NEW ORLEANS","MOKHTAR DZIRI","LA",,"CONTI","2728","ST",,"70119","3675780.28104","536188.720583"
"POINT (-90.058015757629 29.960707650073)","8703","1200 N PETERS ST","FANCY WATCH","5045536358","2011-04-22","1122 - JEWELRY STORES","277836","NEW ORLEANS","MOIN  KHALID","LA","N","PETERS","1200","ST",,"70116","3684664.51836","533448.608772"
"POINT (-90.096026853095 29.971098118024)","2765","3532 CANAL ST","WILLIAM A MARKS","5045246704","1994-01-01","2089 - LESSORS OF NONFNAN INTANGIBLE ASSETS","274825","NEW ORLEANS","WILLIAM A MARKS, INC","LA",,"CANAL","3532","ST","1","70119","3672587.98062","537095.019528"
"POINT (-90.100164131157 29.973916662618)","8463","4022 CANAL ST","CANAL STREET VETERINARY HOSPITAL","5042002784","2010-09-13","4509 - VETERINARY SVCS","291454","NEW ORLEANS","CANAL STREET VETERINARY HOSPITAL, INC.","LA",,"CANAL","4022","ST",,"70119","3671267.06651","538105.830857"
"POINT (-90.068982545631 29.953414530436)","1661","701 CANAL ST","NEW ORLEANS VISITOR INFORMATION CENTERS LLC",,"2021-08-03","5301 - TOUR OPERATORS","289827","NEW ORLEANS","NEW ORLEANS VISITOR INFORMATION CENTERS LLC","LA",,"CANAL","701","ST",,"70130","3681221.29013","530758.078594"
"POINT (-90.113508186029 30.01636944928)","8430","6887 WEST END BLVD","M JOHANNA LEIBE LLC","5043049398","2007-02-15","3354 - LANDSCAPE ARCHITECTURAL SVCS","284339","NEW ORLEANS","MARY JOHANNA LEIBE L L C","LA",,"WEST END","6887","BLVD",,"70124","3666878.04289","553498.160151"
"POINT (-90.099936867483 29.951649506433)","10141","2703 S BROAD ST","ALASHAS BEAUTY,LLC",,"2022-01-20","3338 - BEAUTY SALONS","284121","NEW ORLEANS","ALASHAS BEAUTY,LLC","LA","S","BROAD","2703","ST",,"70125","3671426.17639","530009.415297"
"POINT (-90.076989294557 29.951922709288)","5877","4133 S CARROLLTON AVE","SHAMROCK","5049135809","2010-10-12","1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES)","286637","NEW ORLEANS","REVERB, LLC","LA","S","CARROLLTON","4133","AVE",,"70119","3678691.8167","530187.70942"
"POINT (-89.957680903918 30.040175504942)","7883","5700 BULLARD AVE","CRITIQUE INC","5042965505","1991-02-26","2094 - OFFICE ADMINISTRATIVE SERVICES","283601","NEW ORLEANS","WILKERSON, RONALD       WILKERSON, ARVETTE","LA",,"BULLARD","5700","AVE","STE 200","70128","3716087.1452","562713.419808"
"POINT (-90.108510782993 29.935109890114)","1692","5001 FRERET ST","CITY GREENS",,"2019-06-06","1105 - FULL SVC RESTAURANTS (TABLE SERVICE)","284222","NEW ORLEANS","CITY GREENS LLC","LA",,"FRERET","5001","ST",,"70115","3668775.38983","523965.865212"
