"nearestfu","mdate","neighborhood","segmentid","councildistrict","crewname","reason","lineflushed","gisid","cbmaintid","y","x","worktype","location"
"5177 Feliciana Drive","2020-10-27T00:00:00.000","Gentilly Woods","2520370","D","PWD3640","311Case","10","408-490-0453","41292","30.0133159569","-90.0404375175","Cleaned","(30.0133159569, -90.0404375175)"
"1460 Athis Street",,"Filmore North","2508861","D",,,,"396-492-0388",,"30.0165293851","-90.0784230545",,"(30.0165293851, -90.0784230545)"
"6331 Paris Avenue",,"Lake Terrace and Oaks","2508827","D",,,,"396-496-0353",,"30.0254336461","-90.0769210105",,"(30.0254336461, -90.0769210105)"
,,"Pines Village","2520644","D",,,,"411-496-0057",,"30.0264815611","-90.0271283508",,"(30.0264815611, -90.0271283508)"
"3901 Gallatin Street",,"Behrman","2517035","C",,,,"417-460-0325",,"29.9295550049","-90.0149217386",,"(29.9295550049, -90.0149217386)"
,,"Village De Lest","2527338","E",,,,"441-502-0091",,"30.0450769287","-89.9371508637",,"(30.0450769287, -89.9371508637)"
"2243 Halsey Avenue",,"Behrman","2517010","C",,,,"414-460-0276",,"29.9307055533","-90.0172066282",,"(29.9307055533, -90.0172066282)"
"9501 Springwood Street",,"Read Blvd West","2523015","E",,,,"429-494-0317",,"30.0201719343","-89.9757292738",,"(30.0201719343, -89.9757292738)"
,,"Tall Timbers-Brechtel","2518489","C",,,,"420-452-0108",,"29.9061736541","-89.9983166126",,"(29.9061736541, -89.9983166126)"
"1202 Behrman Avenue",,"Behrman","2516431","C",,,,"408-466-0427",,"29.9427661037","-90.0367699117",,"(29.9427661037, -90.0367699117)"
,,"Behrman","2524518","C",,,,"414-462-0227",,"29.9338085877","-90.0210466072",,"(29.9338085877, -90.0210466072)"
"2228 Hyman Place",,"Old Aurora","2517434","C",,,,"420-460-0239",,"29.9303983958","-90.0064655631",,"(29.9303983958, -90.0064655631)"
,,"Central Business District","2505846","B",,,,"396-466-0730",,"29.9426432266","-90.0738419572",,"(29.9426432266, -90.0738419572)"
"428 First Street",,"Irish Channel","2506241","B",,,,"396-458-0526",,"29.9223071875","-90.0750350079",,"(29.9223071875, -90.0750350079)"
"4858 Bundy Road",,"Read Blvd West","2527238","E",,,,"426-494-0444",,"30.0234259883","-89.9795534436",,"(30.0234259883, -89.9795534436)"
"4715 Rhodes Drive",,"Plum Orchard","2522380","E",,,,"420-492-0333",,"30.0170793226","-90.0007391104",,"(30.0170793226, -90.0007391104)"
,,"St. Thomas Development","2506074","B",,,,"399-460-0579",,"29.9269556135","-90.0683019209",,"(29.9269556135, -90.0683019209)"
"1900 Seventh Street",,"Central City","2504287","B",,,,"393-462-0574",,"29.9322042029","-90.0901825383",,"(29.9322042029, -90.0901825383)"
,"2019-02-18T00:00:00.000","Dillard","2521152","D","PWD3713","Special Event",,"402-486-0350","28241","30.0005023246","-90.0595591442","Cleaned","(30.0005023246, -90.0595591442)"
"5135 Paris Avenue",,"Filmore North","2508914","D",,,,"396-490-0320",,"30.0103332946","-90.0744474091",,"(30.0103332946, -90.0744474091)"
"6017 Saint Anthony Avenue",,"St. Anthony East","2519348","D",,,,"399-494-0355",,"30.0197608354","-90.0654997748",,"(30.0197608354, -90.0654997748)"
"3634 Coliseum Street","2020-04-22T00:00:00.000","Touro","2504746","B","PWD3713","311Case","25","390-458-0763","37207","29.9243795699","-90.0935863765","Cleaned","(29.9243795699, -90.0935863765)"
"2545 Bienville Avenue",,"Tulane-Gravier","2511386","B",,,,"393-474-0567",,"29.966441511","-90.0842628372",,"(29.966441511, -90.0842628372)"
"2300 South Claiborne Avenue",,"Central City","2503927","B",,,,"393-466-0639",,"29.9443929699","-90.0904987945",,"(29.9443929699, -90.0904987945)"
"5511 Chamberlain Drive",,"Filmore North","2508955","D",,,,"396-492-0333",,"30.0137106858","-90.0737802556",,"(30.0137106858, -90.0737802556)"
"1432 Esplanade Avenue",,"Treme-Lafitte","2511927","C",,,,"399-474-0475",,"29.9685472988","-90.0677825157",,"(29.9685472988, -90.0677825157)"
"5001 Frankfort Street",,"Pontchartrain Park","2519888","D",,,,"408-496-0059",,"30.0267700818","-90.0373467267",,"(30.0267700818, -90.0373467267)"
"2423 Oriole Street",,"Lake Terrace and Oaks","2519908","D",,,,"402-496-0285",,"30.0287600924","-90.0568313877",,"(30.0287600924, -90.0568313877)"
"3005 Paris Avenue",,"Fairgrounds","2521010","D",,,,"399-482-0322",,"29.9881881826","-90.0727260029",,"(29.9881881826, -90.0727260029)"
,,"Tulane-Gravier","2506401","B",,,,"390-470-0470",,"29.9575017868","-90.0932610455",,"(29.9575017868, -90.0932610455)"
,,"West End","2507280","A",,,,"384-492-0291",,"30.0157842158","-90.1178244908",,"(30.0157842158, -90.1178244908)"
,,"Central City","2504047","B",,,,"390-464-0724",,"29.9377235691","-90.0939996616",,"(29.9377235691, -90.0939996616)"
"3459 Huntlee Drive",,"Old Aurora","2517589","C",,,,"420-456-0114",,"29.9184327296","-90.0048161804",,"(29.9184327296, -90.0048161804)"
"2319 Fern Street",,"Marlyville-Fontainebleau","2500689","A",,,,"384-470-0663",,"29.9540324527","-90.1194030358",,"(29.9540324527, -90.1194030358)"
,,"Desire Development","2526222","D",,,,"411-484-9079",,"29.9941188289","-90.0318739054",,"(29.9941188289, -90.0318739054)"
"207 Sharon Drive",,"Lakewood","2507422","A",,,,"384-486-9013",,"29.9983175041","-90.1181706638",,"(29.9983175041, -90.1181706638)"
,,"City Park","2509518","A",,,,"387-480-9001",,"29.9838784023","-90.1020402696",,"(29.9838784023, -90.1020402696)"
"2930 Danbury Drive",,"Old Aurora","2524569","C",,,,"423-458-0307",,"29.9232108269","-89.9978196527",,"(29.9232108269, -89.9978196527)"
"826 Harrison Avenue Ste B",,"Lakeview South","2508559","A",,,,"387-488-0271",,"30.0041858601","-90.1052838376",,"(30.0041858601, -90.1052838376)"
"5940 Franklin Avenue",,"Milneburg","2519734","D",,,,"405-494-0280",,"30.0203724838","-90.0520425629",,"(30.0203724838, -90.0520425629)"
,"2021-11-30T00:00:00.000","Pontchartrain Park","2520347","D","Contractor - Wingate","Hurricane Ida",,"405-494-0360","44851","30.0228454992","-90.0448354224","Inspected","(30.0228454992, -90.0448354224)"
"821 Poland Avenue",,"Bywater","2524946","C",,,,"411-472-0159",,"29.9619953995","-90.0321786779",,"(29.9619953995, -90.0321786779)"
,"2020-08-24T00:00:00.000","Lake Vista","2508586","D","PWD3713","311Case","25","390-496-9002","40162","30.0258909833","-90.096363394","Cleaned","(30.0258909833, -90.096363394)"
,"2021-07-08T00:00:00.000",,"2524204","A","PWD3713","311Case","25","393-494-0235","43432","30.0206312379","-90.0835393178","Cleaned","(30.0206312379, -90.0835393178)"
"4444 Franklin Avenue",,"Gentilly Terrace","2520322","D",,,,"405-488-0300",,"30.0040875279","-90.050440261",,"(30.0040875279, -90.050440261)"
"4679 Marigny Street",,"Gentilly Terrace","2521228","D",,,,"402-488-0396",,"30.0064835848","-90.057920119",,"(30.0064835848, -90.057920119)"
"6201 Pasteur Boulevard",,"St. Anthony East","2519652","D",,,,"399-494-0336",,"30.0221119432","-90.0631843635",,"(30.0221119432, -90.0631843635)"
"2241 Humanity Street",,"Gentilly Terrace","2521663","D",,,,"402-484-0547",,"29.9920895356","-90.05734691",,"(29.9920895356, -90.05734691)"
"16 Spanish Fort Shell Road",,"Filmore North","2507046","D",,,,"393-492-0066",,"30.019193559","-90.0823080924",,"(30.019193559, -90.0823080924)"
,"2019-07-15T00:00:00.000","Mid City","2512522","A","Pothole Truck",,,"387-474-0436","32058","29.9684416801","-90.106847267","Inspected","(29.9684416801, -90.106847267)"
"2635 Second Street",,"Central City","2503859","B",,,,"393-464-0503",,"29.9413403512","-90.0901408294",,"(29.9413403512, -90.0901408294)"
"2035 Third Street",,"Central City","2504258","B",,,,"393-462-0610",,"29.9359002301","-90.0872700684",,"(29.9359002301, -90.0872700684)"
"3701 Napoleon Avenue",,"Broadmoor","2503015","B",,,,"387-466-0497",,"29.94663065","-90.1038194715",,"(29.94663065, -90.1038194715)"
"2903 Marigny Street",,"St. Roch North","2521860","D",,,,"402-482-0423",,"29.9879318174","-90.0568577172",,"(29.9879318174, -90.0568577172)"
"3600 Upperline Street",,"Broadmoor","2502875","B",,,,"387-466-0550",,"29.9463279078","-90.1068810727",,"(29.9463279078, -90.1068810727)"
"2138 Piety Street",,"Florida Area","2514064","D",,,,"408-478-0464",,"29.9781885527","-90.0382696976",,"(29.9781885527, -90.0382696976)"
"5445 Vermillion Boulevard",,"St. Anthony East","2519329","D",,,,"402-492-0366",,"30.0144835264","-90.0615038212",,"(30.0144835264, -90.0615038212)"
,,"Gentilly Woods","2520379","D",,,,"405-488-0322",,"30.0045765613","-90.0448600325",,"(30.0045765613, -90.0448600325)"
"3322 Upperline Street Unit 4","2019-07-23T00:00:00.000","Broadmoor","2502949","B","Pothole Truck",,,"387-466-0685","31349","29.9443850161","-90.106956181","Inspected","(29.9443850161, -90.106956181)"
"3100 Rabbits Street",,"St. Roch North","2513564","D",,,,"405-482-0415",,"29.9906086423","-90.0460827578",,"(29.9906086423, -90.0460827578)"
"1922 State Street",,"Audubon","2500880","A",,,,"384-462-0436",,"29.9350420032","-90.1166164805",,"(29.9350420032, -90.1166164805)"
"1339 State Street",,"Audubon","2501560","A",,,,"384-460-0556",,"29.9273863194","-90.1192892891",,"(29.9273863194, -90.1192892891)"
"2734 Dreux Avenue",,"Gentilly Terrace","2520294","D",,,,"405-490-0505",,"30.0123037905","-90.0480583778",,"(30.0123037905, -90.0480583778)"
"1850 Thalia Street",,"Central City","2505150","B",,,,"396-464-0700",,"29.9417331092","-90.0784999509",,"(29.9417331092, -90.0784999509)"
"1442 Crescent Street",,"Filmore North","2508949","D",,,,"396-490-0347",,"30.0130800047","-90.079231977",,"(30.0130800047, -90.079231977)"
"1316 Pine Street",,"Audubon","2500854","A",,,,"381-466-0683",,"29.943842992","-90.1228550837",,"(29.943842992, -90.1228550837)"
"6129 Constance Street",,"Audubon","2501362","A",,,,"381-458-0281",,"29.9220528985","-90.1242745266",,"(29.9220528985, -90.1242745266)"
"3300 Jena Street",,"Broadmoor","2502824","B",,,,"387-466-0708",,"29.9430386353","-90.1051828044",,"(29.9430386353, -90.1051828044)"
"6753 West End Boulevard",,"Lakeview North","2507310","A",,,,"384-492-0415",,"30.0140617815","-90.1139192509",,"(30.0140617815, -90.1139192509)"
"700 Saint Philip Street",,"French Quarter","2512298","C",,,,"402-472-0516",,"29.960392153","-90.0624425257",,"(29.960392153, -90.0624425257)"
"4836 Mithra Street",,"Pontchartrain Park","2519774","D",,,,"408-492-0178",,"30.0160886792","-90.0351344322",,"(30.0160886792, -90.0351344322)"
"4410 Iroquois Street",,"Gentilly Woods","2520382","D",,,,"405-490-0394",,"30.0092385978","-90.0447104786",,"(30.0092385978, -90.0447104786)"
"4550 Paris Avenue",,"Filmore South","2524125","D",,,,"396-488-0323",,"30.0053122577","-90.0743904236",,"(30.0053122577, -90.0743904236)"
"2501 Perdido Street",,"Tulane-Gravier","2502367","B",,,,"393-470-0381",,"29.9585112395","-90.0897219746",,"(29.9585112395, -90.0897219746)"
"2519 Cadiz Street","2022-07-12T00:00:00.000","Freret","2503423","B","PWD3719","311Case","30","387-462-0580","46559","29.9355446092","-90.1053124663","Cleaned","(29.9355446092, -90.1053124663)"
"2468 Lake Oaks Parkway",,"Lake Terrace and Oaks","2519907","D",,,,"402-496-0181",,"30.0297198372","-90.0557355154",,"(30.0297198372, -90.0557355154)"
"1625 Charlton Drive",,"Filmore North","2509122","D",,,,"399-490-0171",,"30.0086936107","-90.0705436061",,"(30.0086936107, -90.0705436061)"
"1057 Robert E Lee Boulevard",,"Lake Vista","2508711","D",,,,"390-492-0068",,"30.0187229623","-90.092092401",,"(30.0187229623, -90.092092401)"
"520 South Roman Street",,"Tulane-Gravier","2502565","B",,,,"396-470-0579",,"29.9559032291","-90.082490562",,"(29.9559032291, -90.082490562)"
"1740 Leon C Simon Drive",,"Lake Terrace and Oaks","2509069","D",,,,"399-494-0202",,"30.0224099488","-90.0716453568",,"(30.0224099488, -90.0716453568)"
"2501 Vienna Street",,"Milneburg","2520045","D",,,,"402-494-0288",,"30.0205189352","-90.0539316999",,"(30.0205189352, -90.0539316999)"
"228 Lakeshore Parkway",,"Lakeshore","2508212","D",,,,"384-494-0361",,"30.0249915587","-90.1124097116",,"(30.0249915587, -90.1124097116)"
"2035 Iberville Street",,"Tulane-Gravier","2511417","B",,,,"396-472-0619",,"29.9623807523","-90.0804001068",,"(29.9623807523, -90.0804001068)"
"5532 Eads Street",,"Milneburg","2520113","D",,,,"405-492-0292",,"30.016081386","-90.0502617627",,"(30.016081386, -90.0502617627)"
"2687 Jonquil Street",,"Gentilly Terrace","2521697","D",,,,"405-486-0419",,"29.9987607771","-90.0476864077",,"(29.9987607771, -90.0476864077)"
"1735 Cambronne Street","2021-04-01T00:00:00.000","Leonidas","2500227","A","PWD3713","311Case","25","381-468-0667","42553","29.9535502106","-90.127727916","Cleaned","(29.9535502106, -90.127727916)"
"4900 Frankfort Street",,"Pontchartrain Park","2519885","D",,,,"408-496-0097",,"30.0266600606","-90.0383724041",,"(30.0266600606, -90.0383724041)"
"5155 Marigny Street",,"Gentilly Terrace","2520024","D",,,,"402-490-0315",,"30.0109678039","-90.058454193",,"(30.0109678039, -90.058454193)"
"910 North Miro Street",,"Treme-Lafitte","2511562","D",,,,"396-474-0587",,"29.9693680906","-90.0771115412",,"(29.9693680906, -90.0771115412)"
"930 Canal Street",,"Central Business District","2512051","B",,,,"399-470-0779",,"29.9547421825","-90.07172671",,"(29.9547421825, -90.07172671)"
,"2020-05-04T00:00:00.000","Pontchartrain Park","2519413","D","PWD3714","GeneralMaintenance","20","408-492-0200","37567","30.0175378348","-90.038742286","Cleaned","(30.0175378348, -90.038742286)"
"2301 Jay Street",,"Lake Terrace and Oaks","2519921","D",,,,"402-496-0260",,"30.0262592146","-90.0587900138",,"(30.0262592146, -90.0587900138)"
"1630 Saint Roch Avenue Apt B",,"St. Roch South","2513120","D",,,,"405-476-0265",,"29.9746745842","-90.0527593553",,"(29.9746745842, -90.0527593553)"
"900 Bragg Street",,"Lakeview North","2508573","A",,,,"387-488-0316",,"30.0062799763","-90.1021767781",,"(30.0062799763, -90.1021767781)"
"2018 Euterpe Street",,"Central City","2504812","B",,,,"396-464-0547",,"29.9405085518","-90.0816689299",,"(29.9405085518, -90.0816689299)"
,"2017-08-31T00:00:00.000","Dillard","2525950","D","DOTD - Vac Crew","General Maintenance",,"399-484-0337","24275","29.9944581294","-90.0647958812","Cleaned","(29.9944581294, -90.0647958812)"
"1828 Gravier Street",,"Tulane-Gravier","2502565","B",,,,"396-470-0584",,"29.9562637187","-90.0822711472",,"(29.9562637187, -90.0822711472)"
,"2017-12-16T00:00:00.000","Audubon","2506253","A","DPW - Vac Truck #2","General Maintenance","100","381-458-0371","14816","29.9244046924","-90.1273740177","Cleaned","(29.9244046924, -90.1273740177)"
"4485 Saint Roch Avenue",,"Gentilly Terrace","2521246","D",,,,"402-488-0323",,"30.0049115568","-90.0548889143",,"(30.0049115568, -90.0548889143)"
"2620 State Street","2019-08-07T00:00:00.000","Audubon","2501146","A","PWD3714","311Case","30","384-464-0346","31936","29.9415453721","-90.1141118841","Cleaned","(29.9415453721, -90.1141118841)"
"2783 Wisteria Street",,"Gentilly Terrace","2521721","D",,,,"405-486-0382",,"30.0020785215","-90.0462033239",,"(30.0020785215, -90.0462033239)"
"48 Lark Street",,"Lake Vista","2508410","D",,,,"393-494-0207",,"30.0241073672","-90.0863795858",,"(30.0241073672, -90.0863795858)"
"2133 First Street",,"Central City","2504646","B",,,,"393-464-0748",,"29.9375880661","-90.0862204519",,"(29.9375880661, -90.0862204519)"
"2500 Banks Street",,"Tulane-Gravier","2502370","B",,,,"393-472-0616",,"29.9610622011","-90.0873172008",,"(29.9610622011, -90.0873172008)"
,,"Milneburg","2520072","D",,,,"405-492-0362",,"30.0138365596","-90.0534826924",,"(30.0138365596, -90.0534826924)"
"6010 Campus Boulevard",,"Pontchartrain Park","2520353","D",,,,"405-494-0336",,"30.020905263","-90.0449239702",,"(30.020905263, -90.0449239702)"
"2544 Thalia Street",,"Central City","2504695","B",,,,"393-466-0916",,"29.9450603591","-90.0846450038",,"(29.9450603591, -90.0846450038)"
"2507 Third Street",,"Central City","2503861","B",,,,"393-464-0535",,"29.9396965538","-90.0901004998",,"(29.9396965538, -90.0901004998)"
"5647 Hempstead Road",,"West Lake Forest","2523264","E",,,,"426-496-0242",,"30.0272834743","-89.9836007417",,"(30.0272834743, -89.9836007417)"
"4504 Seminary Place",,"Gentilly Woods","2520477","D",,,,"408-490-9017",,"30.0109927802","-90.0440632669",,"(30.0109927802, -90.0440632669)"
"13318 Lourdes Street",,"Village De Lest","2513028","E",,,,"444-500-0119",,"30.0343708647","-89.9283975162",,"(30.0343708647, -89.9283975162)"
,"2017-11-17T00:00:00.000","Fischer Development","2530062","C","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"408-462-0070","11104","29.9343998477","-90.0436425438","Cleaned","(29.9343998477, -90.0436425438)"
,,"Whitney","2514988","C",,,,"408-468-0172",,"29.9524602145","-90.0426194902",,"(29.9524602145, -90.0426194902)"
"1524 Basin Street Unit 108","2018-11-02T00:00:00.000","Treme-Lafitte","2512079","C","DPW - Vac Crew #3","General Maintenance",,"399-472-0727","26536","29.9634838378","-90.0721825935","Cleaned","(29.9634838378, -90.0721825935)"
"2306 Camp Street","2020-04-21T00:00:00.000","Lower Garden District","2505556","B","PWD3711","311Case","25","396-460-0525","37397","29.9296825879","-90.0786712872","Cleaned","(29.9296825879, -90.0786712872)"
,,"Read Blvd East","2525566","E",,,,"435-502-0086",,"30.0427095928","-89.9580307685",,"(30.0427095928, -89.9580307685)"
"5440 Stillwater Drive",,"Read Blvd East","2523374","E",,,,"435-498-0236",,"30.0340645307","-89.9555902306",,"(30.0340645307, -89.9555902306)"
"1801 Eighth Street","2017-11-15T00:00:00.000","Central City","2504359","B","DPW - Vac Truck #1","General Maintenance","200","393-460-0501","10680","29.9311171226","-90.0900609611","Cleaned","(29.9311171226, -90.0900609611)"
"1411 South Rendon Street","2017-11-14T00:00:00.000","Gert Town","2530191","B","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"387-470-0498","10445","29.9555093903","-90.1044388145","Cleaned","(29.9555093903, -90.1044388145)"
"4663 Camelia Street",,"Plum Orchard","2522373","E",,,,"420-492-0445",,"30.0164518656","-90.0037038804",,"(30.0164518656, -90.0037038804)"
,,"Read Blvd East","2529851","E",,,,"435-502-0076",,"30.0436130718","-89.9558131844",,"(30.0436130718, -89.9558131844)"
"4859 Bundy Road",,"Read Blvd West","2518810","E",,,,"426-494-0443",,"30.0234642499","-89.9792543588",,"(30.0234642499, -89.9792543588)"
"5100 Saint Roch Avenue","2017-11-06T00:00:00.000","Gentilly Terrace","2520158","D","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"402-490-0330","8836","30.0102395007","-90.0557890465","Cleaned","(30.0102395007, -90.0557890465)"
"1127 Simon Bolivar Avenue","2017-11-04T00:00:00.000","Central City","2505055","B","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"396-466-9022","8636","29.9453566206","-90.0798056951","Cleaned","(29.9453566206, -90.0798056951)"
"3340 Canal Street","2019-07-17T00:00:00.000","Mid City","2510394","B","PWD3711",,,"390-474-0541","31451","29.9697570247","-90.0938245379","Cleaned","(29.9697570247, -90.0938245379)"
"800 North Olympia Street","2017-11-03T00:00:00.000","City Park","2509166","A","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"390-480-0317","8356","29.9836949433","-90.1008307843","Cleaned","(29.9836949433, -90.1008307843)"
"644 Camp Street","2020-12-21T00:00:00.000","Central Business District","2505749","B","PWD3718","311Case","25","399-466-0568","41846","29.9470734959","-90.0698204641","Cleaned","(29.9470734959, -90.0698204641)"
"1148 Magazine Street",,"Lower Garden District","2525697","B",,,,"399-464-0645",,"29.9399711265","-90.0703272206",,"(29.9399711265, -90.0703272206)"
"4319 North Viller?? Street",,"Bywater","2515284","D",,,,"411-474-0408",,"29.9679234922","-90.031199874",,"(29.9679234922, -90.031199874)"
"3600 Rue Nadine",,"Old Aurora","2517668","C",,,,"423-456-0194",,"29.9153443447","-89.9950163591",,"(29.9153443447, -89.9950163591)"
,,"Viavant","2562517","E",,,,"441-494-0010",,"30.0199807906","-89.9401281317",,"(30.0199807906, -89.9401281317)"
"5449 Provincial Place",,"Village De Lest","2512725","E",,,,"444-502-0249",,"30.0432563348","-89.9250789217",,"(30.0432563348, -89.9250789217)"
"2482 Dreux Avenue","2017-07-25T00:00:00.000","Gentilly Terrace","2519875","D","DPW - Vac Crew","General Maintenance",,"405-490-0490","1592","30.0120975703","-90.0531595246","Cleaned","(30.0120975703, -90.0531595246)"
"7700 North Coronet Court",,"West Lake Forest","2522334","E",,,,"420-496-0137",,"30.0262778824","-90.0011043492",,"(30.0262778824, -90.0011043492)"
,,"Lake Terrace and Oaks","2518433","D",,,,"399-498-9060",,"30.0317024996","-90.066269356",,"(30.0317024996, -90.066269356)"
"1067 Robert E Lee Boulevard","2017-05-01T00:00:00.000","Lake Vista","2508715","D","DPW - Vac Crew","General Maintenance",,"393-492-0053","707","30.0186693869","-90.09125009","Cleaned","(30.0186693869, -90.09125009)"
"2171 Abundance Street","2022-08-10T00:00:00.000","St. Roch North","2521826","D","PWD3719","GeneralMaintenance","5","402-482-0347","46769","29.9888322092","-90.0587985928","Cleaned","(29.9888322092, -90.0587985928)"
"3222 Behrman Place",,"Tall Timbers-Brechtel","2524640","C",,,,"414-458-0291",,"29.9214299935","-90.0172466122",,"(29.9214299935, -90.0172466122)"
"5182 Toulon Street","2019-01-03T00:00:00.000","Village De Lest","2512567","E","PWD3711","GeneralMaintenance","30","441-500-0134","27210","30.0390037108","-89.9340128882","Cleaned","(30.0390037108, -89.9340128882)"
"2473 Leon C Simon Drive","2017-11-06T00:00:00.000","Lake Terrace and Oaks","2519925","D","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"402-496-0242","8870","30.0259193403","-90.0551250673","Cleaned","(30.0259193403, -90.0551250673)"
"1202 Annunciation Street",,"Lower Garden District","2506533","B",,,,"399-464-0694",,"29.9388482739","-90.0682870883",,"(29.9388482739, -90.0682870883)"
"2836 Aubry Street",,"FAIRGROUNDS","2511143","D",,,,"396-480-9018",,"29.98342788","-90.07599317",,"(29.98342788, -90.07599317)"
,,"Behrman","2513218","C",,,,"408-460-9025",,"29.9306038126","-90.0364124946",,"(29.9306038126, -90.0364124946)"
"4600 Evangeline Drive",,"Read Blvd West","2522953","E",,,,"426-494-0386",,"30.0184752091","-89.979871103",,"(30.0184752091, -89.979871103)"
"2311 Bristol Place","2018-11-15T00:00:00.000","Old Aurora","2517392","C","PWD3698","311Case",,"420-460-0278","26019","29.9300324696","-90.0016525507","Inspected","(29.9300324696, -90.0016525507)"
"2903 Camp Street","2020-04-17T00:00:00.000","Garden District","2506175","B","PWD3698","311Case","25","393-460-0729","37040","29.9262736812","-90.0846377692","Cleaned","(29.9262736812, -90.0846377692)"
"6849 Milne Boulevard","2017-11-03T00:00:00.000","Lakeview North","2508248","A","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"384-492-0365","8375","30.0155813094","-90.1111565656","Cleaned","(30.0155813094, -90.1111565656)"
"4701 Plauch?? Circle","2017-11-16T00:00:00.000","Gentilly Woods","2520715","D","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"411-490-0140","10877","30.0102364469","-90.0319670785","Cleaned","(30.0102364469, -90.0319670785)"
"3772 Red Cypress Drive",,"Tall Timbers-Brechtel","2518032","C",,,,"420-450-0137",,"29.9017654386","-89.9994987677",,"(29.9017654386, -89.9994987677)"
"4401 San Remo Street",,"Lake Catherine","2512952","E",,,,"480-512-9040",,"30.0695692591","-89.8164687332",,"(30.0695692591, -89.8164687332)"
"4821 Press Drive","2017-11-09T00:00:00.000","Gentilly Woods","2519409","D","Contractor - Vac Crew","Emergency Catch Basin Cleaning Program",,"408-490-0291","9508","30.009539235","-90.0417462311","Cleaned","(30.009539235, -90.0417462311)"
