"the_geom","objectid","fullname","onewaydir","roadclass","fullnameab","joinid","segmentid","shape_stlength"
"MULTILINESTRING ((-90.112084175466 29.995660957287, -90.11222838867 29.995665984381, -90.112688552004 29.99570150409, -90.112757821769 29.995706850462, -90.113304407516 29.995751344414, -90.113497273922 29.995769643182, -90.113608810547 29.995778371674, -90.113710596998 29.995785312765, -90.114061026765 29.99580509312, -90.114212213329 29.995806083632, -90.114479108938 29.995804747734, -90.114612532128 29.995802660195, -90.115000206638 29.995792949084, -90.115121119243 29.995789502872, -90.115304795309 29.995782070329, -90.115482921193 29.995771402203, -90.115593675347 29.995763316077, -90.115659104392 29.995758362773, -90.115962740953 29.995735373125, -90.116141705972 29.995721822863, -90.116432460124 29.995705759271))","3193","Interstate 610","From-To","Freeway","Interstate 610","0","2512276","1379.9543395244225"
"MULTILINESTRING ((-90.059139844159 29.995907117514, -90.059146360842 29.995988490684, -90.059214716176 29.996842054967, -90.059219625286 29.996924569402))","2186","3700 Elysian Fields Ave (Riverbound)","To-From","Major Arterial","Elysian Fields Ave","0","2521530","370.87291713804871"
"MULTILINESTRING ((-90.021650291702 30.01850771785, -90.021792760037 30.018935125598, -90.021861684448 30.019121265023, -90.021951997024 30.019356397287, -90.02203735181 30.019594712497, -90.022155652449 30.019917546029, -90.022176693394 30.019974963646))","277","6500-6600 Downman Rd (Lakebound)",,"Major Arterial","Downman Rd","0","2520188","559.04021194001223"
"MULTILINESTRING ((-90.017605791056 30.010369421758, -90.016765489797 30.010458248962, -90.015885830837 30.010550773018, -90.015395986734 30.010604410453, -90.015308119876 30.01061403185))","303","6100-6200 Chef Menteur Hwy (Lakeside)",,"Major Arterial","Chef Menteur Hwy","0","2518592","732.63154183059896"
"MULTILINESTRING ((-90.09897563714 29.976192605085, -90.099044572295 29.976239419231, -90.099413189512 29.976484601855, -90.099462846201 29.976518202326, -90.099759715079 29.976719079095, -90.099809261589 29.976752649536))","1479","4100 Bienville Ave (Lakebound)","From-To","Local","Bienville Ave","0","2525670","333.37867908412539"
"MULTILINESTRING ((-90.07245058318 29.934437506454, -90.073077154212 29.934576555809, -90.073677249872 29.934706421934))","1726","1100 Race St",,"Local","Race St","0","2505479","400.6537418410245"
"MULTILINESTRING ((-90.015284923299 29.966141805259, -90.015151136858 29.96611013842, -90.014435509901 29.965949083675, -90.01433292933 29.965929032901))","1204","5500 N Claiborne Ave (Riverside)","From-To","Major Arterial","N Claiborne Ave","0","2515585","311.23170525613233"
"MULTILINESTRING ((-90.03833365603 29.950421807291, -90.038341632493 29.950309243938, -90.038398377211 29.949593007537, -90.038401584407 29.949539057652, -90.038418890066 29.949247930853))","2805","500 Hendee St (Northbound)",,"Local","Hendee St","0","2560129","427.75544233182734"
"MULTILINESTRING ((-90.115133687238 29.999156405973, -90.115185597633 29.999025097342, -90.115259621802 29.998852510424, -90.115304767118 29.998723680732, -90.115360487687 29.998568581739, -90.115385127382 29.998496669218, -90.115447579702 29.998297542702, -90.115488954385 29.998147760176, -90.115490616076 29.998140124743, -90.115505407031 29.998072156716, -90.115530062805 29.997933116593, -90.115550972924 29.997767138593, -90.115573386819 29.997501674066, -90.115591292399 29.997095328811, -90.11565527891 29.995826510764, -90.115655800784 29.99581653985, -90.115659104392 29.995758362773, -90.115662450456 29.995699423841, -90.115662780209 29.995690830446, -90.115663845241 29.995638655136, -90.115665275369 29.995568548832, -90.115665212266 29.995560219847, -90.115665401882 29.995526189047, -90.115665755147 29.995462771792, -90.1156659225 29.995452558417, -90.115666197056 29.995434060928, -90.115666218809 29.995432610378, -90.115666380944 29.995421714786, -90.115666997008 29.995384402927, -90.11566727696 29.995367417662, -90.115667655699 29.995344460644, -90.11569610939 29.994776577662))","3440","Interstate 10 Exit","From-To","Ramp","West End Blvd","0","2507483","1612.4454526746088"
"MULTILINESTRING ((-90.012277901075 29.965793509466, -90.011412472171 29.965590548717))","1198","5800 N Claiborne Ave (Lakeside)","To-From","Major Arterial","N Claiborne Ave","0","2523675","283.79598771579697"
"MULTILINESTRING ((-89.992530659764 29.909179118073, -89.992250656621 29.909162853334, -89.992111349534 29.909156562469, -89.991406151252 29.90913089496, -89.990985891944 29.909097160851, -89.990708624448 29.909084813033, -89.990598953341 29.909075555085, -89.990502709983 29.909065246128, -89.990406757259 29.909052946842, -89.99031114019 29.909038659801, -89.990221794264 29.909023398141, -89.990215907973 29.909022392546, -89.990121105182 29.909004150991, -89.990009713792 29.908980061226, -89.989932973023 29.908961769402, -89.989839598347 29.908936763679, -89.989749702666 29.908909975503, -89.989596363838 29.908858949865, -89.989567081868 29.908848165712, -89.989485018242 29.908817943137, -89.989371057765 29.908771940873, -89.989247517014 29.908717938807, -89.989165913952 29.908679452503, -89.989155875102 29.908674415681, -89.989068678148 29.908630665294, -89.988988323326 29.908587767115, -89.988908201498 29.908541734027, -89.988832289381 29.90849525499, -89.988757689779 29.908447206889, -89.988684442729 29.908397617066, -89.988612594656 29.908346518557, -89.988542185145 29.908293942217, -89.988501854531 29.90826233396, -89.988473255579 29.908239920504, -89.988353207722 29.9081412012, -89.988181784537 29.90797153114, -89.987870534079 29.90765781142, -89.987811107422 29.907597061018, -89.987759185036 29.907543756756, -89.987539585784 29.907315937037, -89.985724028758 29.905451966378, -89.985690143924 29.90541717691, -89.985689744423 29.905416766779, -89.984715416225 29.904416417802, -89.984156290916 29.903843907385, -89.982884454329 29.902541591806, -89.982774953824 29.902441697917, -89.982660748686 29.902345887098, -89.982542038447 29.902254327358, -89.982419031433 29.902167178523, -89.982291943711 29.902084595394, -89.982160998171 29.902006721052, -89.982026425262 29.901933692143, -89.981888459764 29.901865638495, -89.981741569466 29.901800235801, -89.981620929851 29.901751635376, -89.981498405946 29.901706756228, -89.981351543496 29.901656307963, -89.981201882942 29.901612546141, -89.981049823854 29.901575587855, -89.980895775548 29.901545531644, -89.980740148594 29.901522457758, -89.980583359869 29.901506428207, -89.980425829939 29.901497486035, -89.980267979828 29.901495655459, -89.980110232239 29.901500940829, -89.979953009518 29.90151332854, -89.979796732869 29.901532784735, -89.979641820108 29.901559257223, -89.979488687274 29.901592676193, -89.979337742594 29.901632952048, -89.979189390519 29.901679975964, -89.979044029061 29.901733622511, -89.978933051206 29.901782740872, -89.97886738037 29.901815684727, -89.978821279091 29.901840692802, -89.978821255566 29.901842426713, -89.978821231112 29.90184422908, -89.978758952724 29.901882515883, -89.978693053372 29.901925949516, -89.97864234717 29.901961860626, -89.978638233762 29.901964774042, -89.978543402298 29.902038347635, -89.978420419118 29.902146947635, -89.978374741353 29.902192706048, -89.978330500858 29.902239905931, -89.978287787701 29.902288489957, -89.97824670814 29.902338398324, -89.978207382181 29.90238957067, -89.978169800392 29.902441943011, -89.978134029894 29.902495451797, -89.978100133616 29.902550030096, -89.978057089337 29.902623909599, -89.978041959669 29.902653822845, -89.97802879631 29.902684363386, -89.978011002589 29.902737366235, -89.978002662808 29.902772025663, -89.977996734142 29.902807120552, -89.977993215488 29.90284310445, -89.977990943014 29.902878077209, -89.977990883361 29.902913673644, -89.977993029502 29.902949176473, -89.977997600976 29.902984455254, -89.978004291945 29.903019376063, -89.978013281099 29.903053811556, -89.978024409991 29.903087633202, -89.978037093106 29.903119553491, -89.97805575574 29.903159149447, -89.978073176066 29.903191332393, -89.97809902314 29.903233030631, -89.978113386722 29.903253514333, -89.978134221437 29.903279968898))","3031",,,"Major Arterial",,"0","2526365","6140.1659823329692"
"MULTILINESTRING ((-90.026093101664 30.033078711546, -90.026034305488 30.033104925757, -90.025976638175 30.033132974493, -90.025779159036 30.033233660378, -90.025702558432 30.033244180226, -90.025646493651 30.033251879772))","285","5900 Hayne Blvd (Lakeside)",,"Major Arterial","Hayne Blvd","0","2559565","156.73359331725507"
"MULTILINESTRING ((-90.126567000145 29.950033929091, -90.12650991038 29.950085429541, -90.126113337518 29.950468488433, -90.12581268326 29.950744882975))","643","1600 S Carrollton Ave (Lakebound)","From-To","Major Arterial","S Carrollton Ave","0","2500810","352.04070867037478"
"MULTILINESTRING ((-90.063812692973 29.974962693271, -90.064087925067 29.974625109385, -90.06414440904 29.974559391916, -90.064366306001 29.974311270324, -90.064745380479 29.973887390563, -90.064951021038 29.973656401474, -90.065025621543 29.97357054279, -90.065247104342 29.973322611616, -90.065380637436 29.97317494249, -90.065392197561 29.973161947188, -90.065418245524 29.973132664556, -90.065441059777 29.973107017538, -90.065474740946 29.973069186925, -90.065493403338 29.973048303276, -90.065514973633 29.973024159089, -90.065597637075 29.972930316454, -90.065636810799 29.972885845098, -90.065682438189 29.972834047437, -90.065692997739 29.97282205922, -90.065732247401 29.972777061625, -90.066495084291 29.971902505089, -90.066759622844 29.971599218299, -90.066886832397 29.971452273512, -90.067206831672 29.97109850133, -90.067751212343 29.970496660901, -90.067805427606 29.970436722399))","3147","Interstate 10","From-To","Freeway","Interstate 10","0","2525088","2075.5432068997616"
"MULTILINESTRING ((-90.099807005435 29.949478204568, -90.100236497343 29.950094424146, -90.100397308737 29.950424952091, -90.100422300561 29.950484539244, -90.100472420642 29.95062963019, -90.100563753991 29.950838601483))","1003","3900 Washington Ave","From-To","Major Arterial","Washington Ave","0","2503053","552.16629213324245"
"MULTILINESTRING ((-90.067531543743 29.94287308791, -90.067497654929 29.942676052352))","1881","930 Tchoupitoulas St",,"Major Arterial","Tchoupitoulas St","0","2505899","72.453017183084995"
"MULTILINESTRING ((-89.939739433531 30.012038524368, -89.939740304843 30.012058212044, -89.939740578874 30.012064491831, -89.939749322475 30.012318043043, -89.939768608318 30.01281032287, -89.939771054874 30.013132356285, -89.939767696727 30.013389877359, -89.939748693673 30.01392474138, -89.939725838003 30.015470119377))","3220","Interstate 510","From-To","Freeway","Interstate 510","0","2525128","1248.2415480193051"
"MULTILINESTRING ((-90.050015049736 30.000088442609, -90.050020851442 30.000162060221, -90.050047614852 30.000501669988, -90.050067592043 30.000807914402, -90.050073645611 30.000883320847))","2258","4030 Franklin Ave (Lakebound)",,"Major Arterial","Franklin Ave","0","2519215","289.66582234044449"
"MULTILINESTRING ((-90.077605110179 29.979569005224, -90.077547239969 29.979738580086, -90.077516764657 29.979929607823, -90.077482854241 29.980152850896, -90.077470472182 29.980231692775, -90.077458473971 29.980301529452, -90.077387458311 29.980714887028))","1100","1540 Gentilly Blvd (Riverside)",,"Major Arterial","Gentilly Blvd","0","2524423","422.97066191564511"
"MULTILINESTRING ((-90.105850745449 29.940171870373, -90.105950883104 29.940148498543, -90.106001127069 29.940139560617, -90.106078097197 29.940128481204, -90.106155454824 29.940119938697, -90.106233087702 29.9401139412, -90.106316897807 29.940109044243, -90.106389334114 29.940107207042, -90.106467579618 29.940107657936, -90.106586970533 29.940111726959, -90.106662825627 29.940116862379, -90.106760431553 29.940127014829, -90.106856313538 29.940140899925, -90.106916341093 29.940151735761, -90.107013534305 29.940174840204))","459","4600 S Claiborne Ave (Lakeside)","From-To","Major Arterial","S Claiborne Ave","0","2502986","372.68981980196173"
"MULTILINESTRING ((-90.067483534926 29.94497552375, -90.06832414699 29.94516659798))","1706","400 Julia St",,"Local","Julia St","0","2505894","275.14558455478613"
"MULTILINESTRING ((-90.135375696168 29.948047467369, -90.135387978618 29.948143053475, -90.135480590077 29.948863760795, -90.1355388082 29.949306264522))","400","8500 Leake Ave",,"Major Arterial","Leake Ave","0","2500616","460.67814310069679"
"MULTILINESTRING ((-90.041141235062 29.961479550952, -90.040394513665 29.961308637571, -90.040335177809 29.961295302474))","2507","3500 Chartres St",,"Major Arterial","Chartres St","0","2514957","263.88981721172109"
"MULTILINESTRING ((-90.07820616836 29.958539782777, -90.078238704366 29.958436448029, -90.078287373805 29.958281874399, -90.078312324103 29.95822919053, -90.078313868561 29.958225360725, -90.078332676689 29.958178699232, -90.078356768325 29.958116937027, -90.078395922824 29.958016557911, -90.078405020138 29.957994223383, -90.078416187158 29.957966809181, -90.078419390265 29.957959277378, -90.078456032233 29.957883765725, -90.078498780958 29.957810727537, -90.078547416251 29.957740538054, -90.07860168904 29.957673555339, -90.078661322546 29.957610122764, -90.07872631935 29.957548057598, -90.078786621782 29.957482497349, -90.078841983106 29.957413711591, -90.078882485184 29.957361269681, -90.078917898988 29.95730610582, -90.078947982353 29.957248592405, -90.078972532509 29.957189119811, -90.078991384124 29.957128090558, -90.078999529481 29.957081814492, -90.079003214335 29.957047322373, -90.079004484255 29.956991723893, -90.079002213565 29.956955494032, -90.078997732054 29.956922308833, -90.078991017888 29.956888037025, -90.078972897334 29.956824663195, -90.078959309997 29.956789204221, -90.078959263776 29.956789102756, -90.078944778367 29.956757171051, -90.078914711886 29.956702665999, -90.078876029509 29.956646902421, -90.078836375395 29.956599707786, -90.078758154211 29.956514291622, -90.078677820395 29.95643037467))","3318","Interstate 10 Exit","To-From","Ramp",,"0","2502636","861.54483213129708"
"MULTILINESTRING ((-90.095973190496 29.955089079619, -90.095976674288 29.955091378898, -90.09605392958 29.955142644258, -90.096147307038 29.955199061473, -90.096236031278 29.955247546759))","786","Earhart Blvd (Median)","From-To","Major Arterial","Earhart Blvd","0","2523628","101.30453041070524"
"MULTILINESTRING ((-90.05214448814 30.024703899744, -90.052149450338 30.024814768669, -90.052223322039 30.02571899494, -90.052223416109 30.025720142484))","916","6400 Franklin Ave (Riverbound)",,"Major Arterial","Franklin Ave","0","2519837","370.43112133312127"
"MULTILINESTRING ((-90.051880829935 30.021445813257, -90.051894697308 30.021559620796, -90.051946019346 30.022173715044, -90.051965812202 30.022491710295))","2212","6100 Franklin Ave (Riverbound)",,"Major Arterial","Franklin Ave","0","2519796","381.34491577986802"
"MULTILINESTRING ((-90.076580685157 29.944277766401, -90.076807111256 29.944397982897, -90.076926710244 29.944461480753, -90.077167407866 29.944589272768, -90.077644916049 29.944802188016, -90.077847248098 29.944892404648, -90.077895128904 29.944913753421, -90.078161219754 29.945032398228, -90.078401629252 29.945139591807, -90.078441186304 29.9451572287))","3335","US 90B Exit","From-To","Ramp",,"0","2505246","670.84140202934202"
"MULTILINESTRING ((-90.100864934528 29.950902798638, -90.100782104597 29.950746740642))","1170","Washington Ave (Median)","To-From","Major Arterial","Washington Ave","0","2526537","62.520799908093089"
"MULTILINESTRING ((-90.071976257122 29.943229083074, -90.071995027205 29.943176026008, -90.072021193286 29.943125400179, -90.072054350852 29.943077982969, -90.072093990497 29.943034504641, -90.072139504807 29.942995631688, -90.072190192232 29.942961963699, -90.07224527427 29.942934017334, -90.072303904612 29.942912222012, -90.072365179537 29.942896912972, -90.072428160619 29.942888325502, -90.072491876577 29.942886592151, -90.0725553494 29.942891738567))","1966","1000 Saint Charles Ave (Riverside)","To-From","Major Arterial","Saint Charles Ave","0","2505841","242.27555833969646"
"MULTILINESTRING ((-90.090523536039 29.961819158628, -90.090565912661 29.961771586544, -90.090606027765 29.961726553702))","2080","S Broad St (Median)","To-From","Major Arterial","S Broad St","0","2502328","42.619673528142378"
"MULTILINESTRING ((-90.135974780528 29.952380162541, -90.13600666596 29.952393570226, -90.136074697851 29.952450014307, -90.136153858066 29.952514402635, -90.13636528983 29.952685022701, -90.13654123459 29.952833078342, -90.136758977162 29.953027302376, -90.136888914719 29.953132294484))","639","8900 Oak St",,"Major Arterial","Oak St","0","2500328","398.88526250953402"
"MULTILINESTRING ((-89.992870078141 29.916987084643, -89.992877281844 29.916836826823, -89.992916997995 29.916186332645, -89.992921023015 29.916088818911))","2708","1200 Woodland Dr",,"Major Arterial","Woodland Dr","0","2517517","327.06561641105333"
"MULTILINESTRING ((-90.039387570324 30.00272015656, -90.039571996194 30.002702787861, -90.039706737452 30.002693417016, -90.039957907509 30.002689290542, -90.040481927484 30.002654751527, -90.041061611064 30.002612272456, -90.04119007478 30.002602797818))","2280","4100 Old Gentilly Rd",,"Local","Old Gentilly Rd","0","2521940","572.29540443997416"
"MULTILINESTRING ((-90.107841438778 30.004580270019, -90.107814285116 30.004815962637))","758","Canal Blvd (Median)","From-To","Major Arterial","Canal Blvd","0","2508497","86.142168971908958"
"MULTILINESTRING ((-89.739886967157 30.16072735283, -89.73992006121 30.160853326785, -89.739983342058 30.161103355624, -89.740067812482 30.161456725549))","3037",,,"Major Arterial","Chef Menteur Hwy","0","2512910","271.34711028625003"
"MULTILINESTRING ((-90.059925859876 30.009959224691, -90.059958987196 30.010334565215, -90.059994841364 30.010804551692, -90.060069060644 30.011729107208))","2195","5100 Elysian Fields Ave (Lakebound)","From-To","Major Arterial","Elysian Fields Ave","0","2519854","645.23680287634909"
"MULTILINESTRING ((-90.040537870428 29.94839988291, -90.040547045564 29.948257443152))","3007","Whitney Ave (Median)",,"Major Arterial","Whitney Ave","0","2516336","51.880878262128853"
"MULTILINESTRING ((-90.089686327117 29.961438370177, -90.090389464609 29.961758665781, -90.090523536039 29.961819158628))","1567","2630 Tulane Ave (Lakebound)","From-To","Major Arterial","Tulane Ave","0","2502329","299.09348222705091"
"MULTILINESTRING ((-90.036393473687 29.965812641495, -90.036126853305 29.965751718683, -90.035419748748 29.965590082851))","1217","3900 Saint Claude Ave (Riverside)","From-To","Major Arterial","Saint Claude Ave","0","2514946","318.76693558935023"
"MULTILINESTRING ((-90.113899983944 29.96055242974, -90.114188914408 29.960715408606, -90.114651746815 29.960979214006, -90.114820523296 29.961080555631))","689","8000 Earhart Blvd (Lakeside)","From-To","Major Arterial","Earhart Blvd","0","2523626","349.09624847286523"
"MULTILINESTRING ((-90.070313651295 29.980980839166, -90.070347088343 29.981038629017, -90.070588521256 29.981451470309, -90.070691549001 29.981627041011, -90.0707066084 29.981653153262, -90.070782684007 29.981785060259, -90.070808936814 29.981838487392, -90.070871893795 29.981957908782))","1375","2400 Saint Bernard Ave (Lakebound)",,"Major Arterial","Saint Bernard Ave","0","2521056","396.91840580054821"
"MULTILINESTRING ((-89.983952267743 30.049381199213, -89.983951085806 30.049381787083, -89.983945376759 30.049384625533, -89.983910255022 30.049402086455, -89.983810969901 30.049451445676, -89.983345031693 30.049683084804, -89.983314775396 30.049698126879, -89.983074991835 30.04981999425, -89.982247227511 30.050240683214, -89.981516773762 30.050611910648, -89.98088276577 30.050934117899, -89.980786758632 30.050983119737, -89.98078662703 30.050983186849, -89.980711145994 30.051021712592, -89.980657993203 30.051049409952, -89.980490862249 30.051136499232, -89.980488223909 30.051137723484, -89.980431959712 30.051163823463))","234","10100-10600 Hayne Blvd",,"Major Arterial","Hayne Blvd","0","2518744","1288.6929595575475"
"MULTILINESTRING ((-90.040302717569 29.953920860518, -90.040246283591 29.953906510687, -90.040163252243 29.953884364163, -90.040081548961 29.953864700099, -90.040061163154 29.95385940664, -90.039858454307 29.953805918384, -90.039293125622 29.953656742761, -90.039202255309 29.953633016371))","2736","1600 Patterson St",,"Local","Patterson St","0","2514896","363.88258929646867"
"MULTILINESTRING ((-89.963055017303 30.019843324515, -89.962350692084 30.020015462269))","118","10500 Chef Menteur Hwy (Lakeside)",,"Major Arterial","Chef Menteur Hwy","0","2517900","231.52051482427584"
"MULTILINESTRING ((-90.037942583078 29.933714886622, -90.037900522125 29.933439112639, -90.037828229642 29.932965114422, -90.037807394471 29.932683647914, -90.037804833704 29.932616304305, -90.037802667304 29.932422909067, -90.037797079222 29.93186876969, -90.037796658931 29.931672757247, -90.03779659878 29.93164451485, -90.037799969403 29.931391641113, -90.037806882968 29.931329460501, -90.037811882618 29.931304433131, -90.037818217652 29.931282975361, -90.037828371626 29.931262660485, -90.037842088134 29.931244001131, -90.037918121558 29.931158984457, -90.0380309081 29.931040656432, -90.038067846941 29.930977722123, -90.0380990036 29.930912457293, -90.038112719399 29.93087405518, -90.038121675679 29.93083460124, -90.038163172953 29.930581765282))","3365","US 90B Exit",,"Ramp",,"0","2526106","1172.2913330896333"
"MULTILINESTRING ((-90.061951545324 29.973321690069, -90.061879497247 29.973326138507, -90.061141907171 29.973370398841, -90.060807519848 29.973375924867))","1533","1800 N Claiborne Ave (Lakeside)","To-From","Major Arterial","N Claiborne Ave","0","2513090","362.84760282685374"
"MULTILINESTRING ((-90.104596906561 29.956974249956, -90.104694726443 29.956955400046, -90.104900665798 29.956930596227, -90.104976807741 29.956922476974, -90.105033418261 29.956916439945, -90.105203005531 29.956902671321, -90.105358363687 29.956896418088))","747","Earhart Blvd (Median)","From-To","Major Arterial","Earhart Blvd","0","2523718","243.09926870433574"
"MULTILINESTRING ((-90.017414275792 29.922408387433, -90.017334192248 29.922389599264, -90.017245809054 29.922368863095))","3023","General DeGaulle Dr (Median)","From-To","Major Arterial","General De Gaulle Dr","0","2517190","55.268291116731561"
"MULTILINESTRING ((-90.077787552765 29.956040556706, -90.077859122044 29.956074179839, -90.078146789255 29.956204456846, -90.078286381303 29.9562653172, -90.078677820395 29.95643037467))","1844","1550 Tulane Ave (Lakebound)","From-To","Major Arterial","Tulane Ave","0","2502644","315.59235601797701"
"MULTILINESTRING ((-90.103907060879 29.957110529504, -90.104025144683 29.957083567182, -90.104142418257 29.95705954834, -90.104257585174 29.957037641771, -90.104316017624 29.957028376642, -90.104596906561 29.956974249956))","997","4600 Earhart Blvd (Lakeside)","From-To","Major Arterial","Earhart Blvd","0","2523822","224.04582854110959"
"MULTILINESTRING ((-90.026827375717 30.032850200292, -90.026649764854 30.032899774524, -90.026418812462 30.032964237146, -90.026295825025 30.033004428438, -90.02616778862 30.033048674663, -90.026093101664 30.033078711546))","287","5800 Hayne Blvd (Lakeside)",,"Major Arterial","Hayne Blvd","0","2560615","246.96795367221256"
"MULTILINESTRING ((-90.017635356124 29.923319296244, -90.017549297528 29.92327372334, -90.017281099835 29.923122396044, -90.017148590958 29.923044353859, -90.017031951213 29.922979669391, -90.016608249434 29.922744696205))","2657","3800 General De Gaulle Dr (Westbound)",,"Major Arterial","General De Gaulle Dr","0","2517181","386.70984882334869"
"MULTILINESTRING ((-90.080841594769 29.949412162311, -90.081677468435 29.949729713085, -90.081712823555 29.949743144485, -90.081819588953 29.949783704531, -90.082800396819 29.950148562661))","1872","1600 Dave Dixon Dr",,"Local","Dave Dixon Dr","0","2506630","675.67641958835816"
"MULTILINESTRING ((-90.110357873116 29.995704292143, -90.110477595649 29.995706524054, -90.110764883467 29.995723956434, -90.110861540682 29.995728468376, -90.111054919459 29.995734091305, -90.111219632189 29.99573535622, -90.111825867054 29.995723450946, -90.112084175466 29.995660957287))","3447","Interstate 610 Exit","To-From","Ramp",,"0","2525498","549.91105227092055"
"MULTILINESTRING ((-90.093619572913 29.972561332621, -90.094426884463 29.973109841271, -90.094440707612 29.973119508776))","1438","3500 Bienville Ave (Lakebound)","From-To","Local","Bienville Ave","0","2525663","329.84318153024878"
"MULTILINESTRING ((-90.044827068919 29.954234667228, -90.044829590932 29.954169333537, -90.044843442977 29.953957463882, -90.04484347924 29.953956909485, -90.044892364944 29.953209152205, -90.044898841727 29.953097929084))","1935","200 Atlantic Ave",,"Local","Atlantic Ave","0","2514976","414.01571114540951"
"MULTILINESTRING ((-90.046432583548 30.002800106736, -90.046372076499 30.002787290008, -90.046311037706 30.00277655329, -90.046245636787 30.002766229381, -90.046150989133 30.002754083893, -90.046043400128 30.002744331747, -90.045984508447 30.002741036692, -90.045866790574 30.002734449606, -90.045812128309 30.00273139049))","2284","3860 Gentilly Blvd (Lakeside)",,"Major Arterial","Gentilly Blvd","0","2525927","198.33485146165643"
"MULTILINESTRING ((-90.036540275932 29.97131613743, -90.036453234907 29.971296460059, -90.03573796108 29.971133702978))","1947","3700 N Claiborne Ave","To-From","Major Arterial","N Claiborne Ave","0","2514697","262.55196268060484"
"MULTILINESTRING ((-90.058389611251 29.963462772513, -90.058313270883 29.963499671133, -90.058286708586 29.963501268808, -90.058080491297 29.963513675635, -90.058032378705 29.963516570098, -90.057760079114 29.96353295177))","847","2000 Chartres St","From-To","Local","Chartres St","0","2514428","203.23208916462556"
"MULTILINESTRING ((-90.072724041588 29.964920712349, -90.072792553238 29.964844059617, -90.073135173882 29.96446072351, -90.073176392465 29.96441395247, -90.07323266194 29.96435010293, -90.073287880965 29.964287446089, -90.073920562319 29.963569529853, -90.074045250152 29.963429847641, -90.074876981343 29.962498088107, -90.074935465723 29.962432608149, -90.075011296409 29.962347654073, -90.075631745398 29.961652552635, -90.076199916071 29.961016008678, -90.076317474977 29.960884305029, -90.07634945474 29.960848441901, -90.076391194081 29.960801633473, -90.07696816376 29.960154589699, -90.07704691413 29.960066500324, -90.077738683967 29.959292684583, -90.07779457219 29.95922991767, -90.077875569484 29.959138952991, -90.077882080233 29.959131641255, -90.077956150564 29.959048606803, -90.078626622799 29.958296980234, -90.078712938793 29.958201992951, -90.078945019597 29.957946599008))","3132","Interstate 10","From-To","Freeway","Interstate 10","0","2511505","3211.3716354619291"
