"the_geom","objectid","businessname","address","suite","zip","phonenumber"
"POINT (-90.103081578882 30.004013750499)","61","LAKEVIEW DISCOUNT","932 HARRISON AVE",,"70124","504-895-2001"
"POINT (-90.059070365526 29.989534644461)","41","ELYSIAN 167","3032 ELYSIAN FIELDS AVE",,"70112",
"POINT (-90.12824584753 29.949012760981)","35","DISCOUNT ZONE","1400 S CARROLLTON AVE",,"70118","504-480-8300"
"POINT (-90.02063449333 30.010602017097)","39","DOWNMAN SHELL","3901 DOWNMAN RD",,"70126","504-982-6291"
"POINT (-90.076989294557 29.951922709288)","57","KENILWORTH SPUR","6501 I 10 E SERVICE RD",,"70126","504-782-3530"
"POINT (-90.068123343535 29.969331868637)","37","DISCOUNT ZONE","1533 ESPLANADE AVE",,"70116","504-236-8095"
"POINT (-89.932397943694 30.028566069052)","34","DISCOUNT ZONE","12930 CHEF MENTEUR HWY",,"70129","504-780-8300"
"POINT (-90.076989294557 29.951922709288)","43","EMPIRE EXPRESS","4301 LOUISA DRIVE","A","70126",
"POINT (-90.100796563594 29.940122359249)","48","FUEL N MART","4140 S CLAIBORNE AVE",,"70125","504-891-1852"
"POINT (-90.093872548237 29.92132042023)","55","JETGO","3720 MAGAZINE ST",,"70115","504-269-0246"
"POINT (-90.029849711174 29.968922932795)","58","KEY'S FUEL MART 3","4401 N ROBERTSON ST",,"70117",
"POINT (-90.041997317751 30.002939361841)","52","GENTILLY CHEVRON","4046 CHEF MENTEUR HWY",,"70126","504-279-6013"
"POINT (-90.058166614581 29.990470398866)","40","ELYSIAN 166","3101 ELYSIAN FIELDS AVE",,"70122",
"POINT (-90.118274623597 30.005999420975)","44","FLEUR DE LIS CAR CARE CENTER","247 W HARRISON AVE",,"70124",
"POINT (-90.105547634135 30.019210945965)","51","GAUCHETS ROCKERY SERVICE","722 ALLEN TOUSSAINT BLVD",,"70124",
"POINT (-90.011466385707 30.037513036258)","49","FUEL N MART","7220 HAYNE BLVD",,"70126",
"POINT (-89.9745493934 30.03573826052)","59","LAKE FOREST SPUR","5901 READ BLVD",,"70127","504-248-8885"
"POINT (-90.09218830281 29.927597472845)","38","DISCOUNT ZONE, INC","3434 ST CHARLES AVE",,"70115","504-258-1222"
"POINT (-90.061834922165 30.023425087106)","42","ELYSIAN FIELDS SHELL","6300 ELYSIAN FIELDS AVE",,"70122","504-884-8766"
"POINT (-90.057488226263 29.982677189341)","69","MARDI GRAS TRAVEL PLAZA","2411 ELYSIAN FIELDS AVE",,"70117",
"POINT (-90.076989294557 29.951922709288)","47","FUEL EXPRESS MART","6500 I 10 SERVICE RD",,"70126","504-376-7699"
"POINT (-90.018812626966 29.93864255848)","6","BROTHER TEXACO","3501 GENERAL MEYER AVE",,"70114","504-361-3920"
"POINT (-90.114455450945 29.961204734603)","73","OM CARROLLTON OIL","3101 S CARROLLTON AVE",,"70118",
"POINT (-90.052072365002 30.022206279518)","81","ROGERS CHEVRON SERVICE","6132 FRANKLIN AVE",,"70122",
"POINT (-90.017773670882 30.008998044946)","29","DISCOUNT -N- OUT","6050 CHEF MENTEUR HWY",,"70126","504-248-5772"
"POINT (-90.109879245303 29.96659747972)","22","COSTCO GASOLINE #1147","3800 S CARROLLTON AVE",,"70118","504-483-9001"
"POINT (-90.134209735551 29.943438034534)","28","DIAZ MARKET RIVERBEND","600 S CARROLLTON AVE",,"70118","504-832-2165"
"POINT (-90.099351998937 29.965119915229)","9","BROWN DERBY SUPERSTORE","3402 TULANE AVE",,"70119",
"POINT (-90.007042985288 29.916733849053)","84","STORE #140","4662 GENERAL DE GAULLE DR",,"70131","504-366-2413"
"POINT (-90.073235925465 29.989444049045)","75","PARIS AVENUE SUPERETTE","2025 GENTILLY BLVD",,"70119",
"POINT (-90.058828593718 30.00028357776)","76","PETRO SAVE","3201 GENTILLY BLVD",,"70127",
"POINT (-90.109986602005 29.965227078608)","18","CIRCLE K #2707673","3725 S CARROLLTON AVE",,"70118","504-486-8377"
"POINT (-90.076989294557 29.951922709288)","27","DIAMOND DISCOUNT","15200 CHEF MENTEUR",,"70129",
"POINT (-90.113164348953 29.9456816047)","91","UNIVERSITY SHELL","6201 S CLAIBORNE AVE",,"70125",
"POINT (-90.018390520251 29.912674264183)","72","MURPHY USA #7138","3921 BEHRMAN HWY",,"70131","504-368-8385"
"POINT (-90.076989294557 29.951922709288)","70","MARK'S MID-CITY SERVICE STATION, INC.","4440 S CARROLLTON AVE",,"70119","504-488-0618"
"POINT (-90.021959214884 29.925854868169)","78","RACETRAC #2383","3500 GENERAL DE GAULLE DR",,"70114",
"POINT (-90.096510214866 29.940894853892)","26","DELTA FUEL PLUS","3300 S CLAIBORNE AVE",,"70125","504-895-1126"
"POINT (-90.087495465755 29.966016720879)","12","CANAL STORE #150","2701 CANAL ST",,"70119",
"POINT (-90.110123652129 29.984452084401)","79","RAGIN CAJUN DELI","5151 CANAL BLVD","A","70124",
"POINT (-89.962830923536 30.04754858671)","11","BULLARD CHEVRON","7020 BULLARD AVE",,"70128","504-941-5148"
"POINT (-90.018529134678 29.92403131143)","5","BROTHER FOOD MART NO. 136","3622 GENERAL DE GAULLE DR",,"70114","504-366-2413"
"POINT (-90.076631346373 29.929844517036)","92","YOUSUF SHELL SELF SERVE","2135 MAGAZINE ST",,"70130","504-669-7866"
"POINT (-90.094553917891 29.943012487539)","86","SUPER DISCOUNT GAS","2727 S CLAIBORNE AVE","UNIT C","70125","504-363-0054"
"POINT (-90.097394809839 29.965075079777)","90","TULANE SHELL","3321 TULANE AVE",,"70119",
"POINT (-89.954858808666 30.039402348485)","10","BULLARD CHEVRON","5701 BULLARD AVE",,"70128","504-279-6013"
"POINT (-89.959536188257 30.02103640939)","14","CHEF DISCOUNT MARKET","10833 CHEF MENTEUR HWY",,"70127","901-271-2282"
"POINT (-90.084168083775 29.970220293931)","8","BROWN DERBY FUEL MART","617 N BROAD ST",,"70119",
"POINT (-90.073182612543 29.943511889095)","17","CIRCLE K #2707672","704 HOWARD AVE",,"70130","504-586-3042"
"POINT (-90.002751713951 29.931509200122)","83","SPUR GENERAL MEYER","4901 GENERAL MEYER AVE",,"70131","504-393-9939"
"POINT (-90.104650882299 29.956681551615)","24","DAVIS STORE 153","1308 S NORMAN C FRANCIS PKWY",,"70125",
"POINT (-89.963340880637 30.019316778143)","25","DAY & NIGHT DISCOUNT #2","10422 CHEF MENTEUR HWY","B","70127","504-248-7340"
"POINT (-90.009551503804 30.011552259434)","87","TEX MART","6733 CHEF MENTEUR HWY",,"70126","504-333-6282"
"POINT (-90.02147218228 30.018821694663)","32","DISCOUNT EAST","4901 DOWNMAN RD",,"70126","504-244-7301"
"POINT (-89.980283519434 30.042458433242)","80","READ SHELL","7358 READ BLVD",,"70128","504-908-5876"
"POINT (-90.076989294557 29.951922709288)","30","DISCOUNT BROAD CENTER","3303 S BROAD STREET",,"70125",
"POINT (-90.011817501974 30.011252200005)","15","CHEF EXPRESS","6601 CHEF MENTEUR HWY",,"70122",
"POINT (-90.031970825639 29.92878466452)","85","STORE #142","2601 GENERAL DE GAULLE DR",,"70114","504-366-5639"
"POINT (-90.088988419458 29.983087134974)","19","CITY PARK SHELL","3494 ESPLANADE AVE",,"70119",
"POINT (-90.067465507926 29.941721274165)","88","THE WARE HOUSE GAS COMPANY","1011 TCHOUPITOULAS ST",,"70130","504-565-5462"
"POINT (-90.037161039214 29.94512400381)","7","BROTHERS FOOD MART NO 122","1926 NEWTON ST",,"70114","504-366-2413"
"POINT (-90.079294138276 29.956926728239)","77","QUICK TRIP DISCOUNT","1635 TULANE AVE",,"70112","504-382-5335"
"POINT (-90.08288634294 29.971298506485)","74","ORLEANS CENTER MARKET","2707 ORLEANS AVE",,"70119",
"POINT (-90.069067961704 29.96942363565)","21","CLAIBORNE EXPRESS","1249 N CLAIBORNE AVE",,"70116","504-220-0005"
"POINT (-89.994922090616 30.031374073576)","23","CROWDER CHEVRON","7000 CROWDER BLVD",,"70127",
"POINT (-89.977914531494 30.015757924368)","16","CHEF MENTEUR SHELL","9232 CHEF MENTEUR HWY",,"70127","504-982-6291"
"POINT (-90.089249979978 29.946401856865)","31","DISCOUNT CITY","2013 S CLAIBORNE AVE","D","70125",
"POINT (-90.027092734627 30.032274434874)","82","SPEED RACER","8020 DOWNMAN RD","104","70126","504-248-2005"
"POINT (-89.928424162792 30.031405823654)","71","MICHOUD BIGCAT","13245 CHEF MENTEUR HWY",,"70129",
"POINT (-90.02147218228 30.018821694663)","33","DISCOUNT WAVE","4901 DOWNMAN RD",,"70126",
"POINT (-90.078837022452 29.975757317365)","4","BIRDIES ON BROAD","1233 N BROAD ST",,"70119",
"POINT (-89.927411706044 30.031851359283)","13","CHEF CHEVRON","13301 CHEF MENTEUR HWY",,"70129","504-254-8984"
"POINT (-90.071366615441 29.983457420454)","89","TRIANGLE DELI","1904 N BROAD ST",,"70119",
"POINT (-90.100217704488 29.940832037626)","20","CLAIBORNE #165","4101 S CLAIBORNE AVE",,"70125",
