"indicatorid","strategyid","organization","name","type","target","seasonality","direction","value","rowid","date","year","quarter","datelabel","total","percent","ytd","quarter_label","action_aggregation"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","36.9","Percent of City contract value awarded to Disadvantaged Business Enterprises_2013-09-30","2013-09-30T00:00:00.000","2013","3","2013, Q3",,"36.9",,"Q3","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","34.3","Percent of City contract value awarded to Disadvantaged Business Enterprises_2013-12-31","2013-12-31T00:00:00.000","2013","4","2013, Q4",,"34.3",,"Q4","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","34.2","Percent of City contract value awarded to Disadvantaged Business Enterprises_2014-03-31","2014-03-31T00:00:00.000","2014","1","2014, Q1",,"34.2",,"Q1","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","35.2","Percent of City contract value awarded to Disadvantaged Business Enterprises_2014-06-30","2014-06-30T00:00:00.000","2014","2","2014, Q2",,"35.2",,"Q2","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","42.4","Percent of City contract value awarded to Disadvantaged Business Enterprises_2014-09-30","2014-09-30T00:00:00.000","2014","3","2014, Q3",,"42.4",,"Q3","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","35.4","Percent of City contract value awarded to Disadvantaged Business Enterprises_2014-12-31","2014-12-31T00:00:00.000","2014","4","2014, Q4",,"35.4",,"Q4","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","34.8","Percent of City contract value awarded to Disadvantaged Business Enterprises_2015-03-31","2015-03-31T00:00:00.000","2015","1","2015, Q1",,"34.8",,"Q1","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","35.4","Percent of City contract value awarded to Disadvantaged Business Enterprises_2015-06-30","2015-06-30T00:00:00.000","2015","2","2015, Q2",,"35.4",,"Q2","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","39","Percent of City contract value awarded to Disadvantaged Business Enterprises_2015-09-30","2015-09-30T00:00:00.000","2015","3","2015, Q3",,"39",,"Q3","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","NA","NA","NA","35","Percent of City contract value awarded to Disadvantaged Business Enterprises_2015-12-31","2015-12-31T00:00:00.000","2015","4","2015, Q4",,"35",,"Q4","Measure"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","35%","Not Seasonal","Over","33","Percent of City contract value awarded to Disadvantaged Business Enterprises_2016-03-31","2016-03-31T00:00:00.000","2016","1","2016, Q1",,"33","32.53124426","Q1","Maintain Above"
"4901","50302","Supplier Diversity","Percent of City contract value awarded to Disadvantaged Business Enterprises","Average Percent","35%","Not Seasonal","Over","33","Percent of City contract value awarded to Disadvantaged Business Enterprises_2016-06-30","2016-06-30T00:00:00.000","2016","2","2016, Q2",,"33","33","Q2","Maintain Above"
