"o_c","casenumber","casesummary","propertyaddress","casetype","department","casehistory","hearingdatetime","videoconferencelink","teleconferenceaccesscode","videoconferencepassword","prevhearing","prevhearingstat","caseestablished","inspected","inspectionresult","councildistrict","geoaddress","city","state","zip","xpos","ypos","longitude","latitude","location"
"Open","20-22617-DBNNO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=263237","917-919 Verret St","Demolition by Neglect - HDLC NO","Historic District Landmarks Commission","Initial Hearing","2021-02-03T09:30:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=2ac8dc7ed3e33a8142f5e10f32284794","993 846 855 ",,,,"2020-11-10T09:02:44.000","2020-11-09T09:04:00.000","Violation: No WIP","C","917 Verret St","New Orleans","LA","70114","3687144.02","528166.95","-90.05036712950073","29.946103369312084",
"Open","21-06061-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=270365","2646-2652 Canal St, 2649-2655 Cleveland Ave, 118-126 S Broad St","Working without CofA - NO","Historic District Landmarks Commission","Reset Hearing","2022-08-17T10:00:00.000","https://nola.webex.com/nola/j.php?MTID=mced34a24794af4af427b7a5963ab6d08","2493 516 5256
",,"2022-06-01T09:00:00.000","OSS Reset","2021-07-26T13:53:40.000","2021-07-15T13:55:00.000","Violation: No WIP","B","126 S Broad St","New Orleans","LA","70119","3675371.9","534920.02","-90.08730392912057","29.965029236891638",
"Open","19-10534-VCCNOP","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=259209","533 St Philip St","Working Without Permit VCC","Vieux Carré Commission","Initial Hearing","2022-05-11T15:00:00.000",,,,,,"2019-10-25T11:05:59.000","2019-10-22T11:10:00.000","Complete","C","533 St Philip St","New Orleans","LA","70116","3683635.3","533045.69","-90.06127433966915","29.959625803484396",
"Open","19-07931-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=256606","1131-1137 Bourbon St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2021-11-17T09:00:00.000","https://nola.webex.com/nola/j.php?MTID=mbcc72891f6f0c52c219201135fc0a6a4","2496 647 7658",,,,"2019-08-05T15:27:42.000","2019-07-31T15:29:00.000","Violation: No WIP","C","1137 Bourbon St","New Orleans","LA","70116","3683303.32","534082.59","-90.06228633429583","29.962487052760878",
"Closed","21-00221-ILGUS","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=264520","6636 Chef Menteur Hwy","Illegal Use","Safety and Permits","Initial Hearing","2021-03-17T10:00:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=8c23ead4784f128d3f05b14362d207cd","998 094 434 ",,,,"2021-01-13T15:42:08.000","2021-01-13T15:44:00.000","No Access","E","6636 Chef Menteur Hwy","New Orleans","LA","70126","3699427.53","551826.89","-90.01072185554041","30.010775712598775",
"Open","18-08074-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=244153","421 Tricou St","Working without CofA - NO","Historic District Landmarks Commission","Initial Hearing","2022-03-30T09:00:00.000",,,,,,"2018-08-20T11:02:51.000","2018-08-21T00:00:00.000","Complete","E","421 Tricou St","New Orleans","LA","70117","3699293.65","530856.69","-90.01190888442379","29.95311956219772",
"Closed","21-00679-ILGUS","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=264980","1914 Frenchmen St","Illegal Use","Safety and Permits","Reset Hearing","2021-06-23T10:00:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=5681f2583527fef5227de71b99b362cc","993 200 568",,"2021-06-02T14:00:00.000","OSS Liable","2021-02-03T16:31:00.000","2021-02-04T00:00:00.000","No Access","D","1914 Frenchmen St","New Orleans","LA","70116","3684311.18","539353.55","-90.05891853063325","29.97694958446466",
"Closed","19-00695-VCCNOP","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=249370","1130-1132 Decatur St, 39-41 French Market Pl","Working Without Permit VCC","Vieux Carré Commission","Initial Hearing","2019-09-04T10:30:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=f35ecb6ec67f052efa0c08971dd7e569","999 354 113 ",,,,"2019-01-31T09:59:21.000","2019-01-28T10:05:00.000","Violation: No WIP","C","1130 Decatur St","New Orleans","LA","70116","3684266.9","533326.62","-90.05927003101738","29.960378969598175",
"Open","21-02420-BLDGC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=266722","621 Bartholomew St","Building Code","Safety and Permits","Reset Hearing","2022-06-01T10:00:00.000","https://nola.webex.com/nola/j.php?MTID=m0f4c4ec2dcf38a9a863e9b064abd0d31","2480 041 4310 ",,"2022-05-04T09:00:00.000","OSS Reset","2021-03-12T10:42:47.000","2021-03-11T10:44:00.000","No Access","C","621 Bartholomew St","New Orleans","LA","70117","3691453.24","533600.34","-90.03656734992988","29.960909935452886",
"Open","22-01679-VCCNOP","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=274917","601-607 Chartres St","Working Without Permit VCC","Vieux Carré Commission","Initial Hearing","2022-08-03T14:00:00.000",,,,,,"2022-04-28T14:41:33.000","2022-04-22T00:00:00.000","Violation: No WIP","C","605 Chartres St","New Orleans","LA","70130","3682611.38","531999.12","-90.0645442351409","29.956779308826114",
"Closed","18-05015-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=241094","1133 N Villere St","Working without CofA - NO","Historic District Landmarks Commission","Initial Hearing","2021-08-25T10:00:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=c0dd302e7d0567145f443331fc17b9b8","996 133 673 ",,,,"2018-06-12T10:19:36.000","2018-06-06T10:21:00.000","Violation: No WIP","C","1133 N Villere St","New Orleans","LA","70116","3681357.1","535603.62","-90.06837919766495","29.96672858275458",
"Open","22-01286-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=274522","1625 Touro St","Short Term Rental","Safety and Permits","Initial Hearing","2022-08-03T10:00:00.000",,,,,,"2022-04-02T15:31:42.000","2022-04-02T15:33:00.000","Complete","D","1625 Touro St","New Orleans","LA","70116","3684102.69","538301.75","-90.0596139340889","29.974063876029007",
"Closed","20-21408-DBNNO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=262028","3112 Laurel St","Demolition by Neglect - HDLC NO","Historic District Landmarks Commission","Initial Hearing","2021-04-21T10:30:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=5c3c149c9fa098747646cfbd8d2f0c94","993 423 273",,,,"2020-09-03T12:03:41.000","2020-09-01T12:05:00.000","Complete","B","3112 Laurel St","New Orleans","LA","70115","3676441.69","519494.0","-90.0844565417175","29.922580749389528",
"Closed","21-00141-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=264435","2218-2222 Rousseau St","Working without CofA - NO","Historic District Landmarks Commission","Reset Hearing","2022-08-18T11:00:00.000",,,,"2022-05-25T09:00:00.000","OSS Reset","2021-01-11T07:57:47.000","2020-12-28T07:59:00.000","Violation: No WIP","B","2218 Rousseau St","New Orleans","LA","70130","3680123.24","520113.18","-90.07281386755649","29.92417244563462",
"Open","19-11586-VCCNOP","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=260261","530-534 Bourbon St","Working Without Permit VCC","Vieux Carré Commission","Initial Hearing","2020-11-11T09:00:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=e85a404c8b56d3b10438b8eb4305a15d","992 920 682 ",,,,"2019-12-05T13:24:46.000","2019-12-02T13:26:00.000","Violation: No WIP","C","530 Bourbon St","New Orleans","LA","70130","3681993.67","532274.58","-90.06648514759871","29.957555523091166",
"Open","19-07260-DBNCBD","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=255935","711 Canal St","Demolition by Neglect - HDLC CBD","Historic District Landmarks Commission","Reset Hearing","2022-06-29T09:00:00.000",,,,"2022-03-24T10:00:00.000","OSS Reset","2019-07-09T10:52:12.000","2019-06-26T10:53:00.000","Violation: No WIP","C","711 Canal St","New Orleans","LA","70130","3681159.57","530817.33","-90.06916975522573","29.95357390998275",
"Closed","19-10469-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=259144","1015 Decatur St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-04-13T14:00:00.000","https://nola.webex.com/nola/j.php?MTID=mf0e73c2f8c7aaae2752c79ef502bf04b","2480 724 9052",,,,"2019-10-23T14:24:59.000","2019-10-22T14:26:00.000","Violation: No WIP","C","1015 Decatur St","New Orleans","LA","70116","3683878.62","532996.55","-90.06050771571681","29.959483255625795",
"Open","17-11195-DBNNO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=232935","1122-1124 Marais St","Demolition by Neglect - HDLC NO","Historic District Landmarks Commission","Initial Hearing","2020-10-28T09:00:00.000","https://nola.webex.com/nola/j.php?MTID=m99e071ea5c85630ebfa8b017d6b58de1","2485 054 9401
",,,,"2017-08-31T08:52:57.000","2017-08-31T08:54:00.000","Violation: No WIP","C","1124 Marais St","New Orleans","LA","70116","3681604.34","535310.41","-90.06760864380165","29.965914848662923",
"Closed","21-06245-DBNNO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=270549","4950 Dauphine St","Demolition by Neglect - HDLC NO","Historic District Landmarks Commission","Initial Hearing","2022-05-11T10:00:00.000","https://nola.webex.com/nola/j.php?MTID=mc8fb366a822644993e78b5f72e9a7da7","2493 975 2647
",,,,"2021-08-02T14:59:10.000","2021-07-13T15:00:00.000","Violation: No WIP","E","4950 Dauphine St","New Orleans","LA","70117","3695240.72","532684.39","-90.02464029695528","29.958272992198836",
"Closed","20-23650-ZONG","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=264270","1131 Leboeuf St","Zoning General","Safety and Permits","Initial Hearing","2022-02-09T10:30:00.000",,,,,,"2020-12-29T15:54:44.000","2020-12-30T13:00:00.000","Complete","C","1131 Leboeuf St","New Orleans","LA","70114","3689663.25","527157.58","-90.0424489857327","29.943250146337686",
"Open","21-04503-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=268805","1351 Magazine St","Short Term Rental","Safety and Permits","Reset Hearing","2022-05-04T10:30:00.000","https://nola.webex.com/nola/j.php?MTID=mb0d7a0b232b1a50e950e0ec09c763868","2482 388 6883
",,"2022-03-09T11:00:00.000","OSS Reset","2021-05-25T09:06:54.000","2021-05-25T09:08:00.000","Violation: WIP","B","1351 Magazine St","New Orleans","LA","70130","3680395.34","524835.31","-90.07179083106139","29.937148516530034",
"Closed","19-02121-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=250796","1515 Euterpe St","Working without CofA - NO","Historic District Landmarks Commission","Reset Hearing","2021-12-01T11:00:00.000","https://nola.webex.com/nola/j.php?MTID=mdc937f90508b5bfe964df2b4ba7a77bc","2493 475 4978 ",,"2019-12-04T09:00:00.000","OSS Reset","2019-03-29T08:31:22.000","2019-03-26T08:34:00.000","Violation: No WIP","B","1515 Euterpe St","New Orleans","LA","70130","3679252.92","524886.57","-90.07539574227762","29.937323999858922",
"Open","21-00519-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=264820","335-337 Dauphine St, 900-908 Conti St","Demolition by Neglect - VCC","Vieux Carré Commission","Reset Hearing","2022-01-19T14:00:00.000",,,,"2021-04-21T09:00:00.000","Pending","2021-01-28T10:55:27.000","2021-01-14T10:56:00.000","Violation: No WIP","C","337 Dauphine St","New Orleans","LA","70112","3681246.79","532021.15","-90.06885240406646","29.956881360972858",
"Closed","18-11481-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=247561","417-419 Bourbon St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-02-09T13:00:00.000",,,,,,"2018-11-08T12:51:39.000","2018-11-07T12:57:00.000","Violation: No WIP","C","417 Bourbon St","New Orleans","LA","70112","3681674.01","531950.68","-90.06750583766053","29.956674622096365",
"Closed","19-10920-VCCNOP","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=259595","508-516 Bourbon St","Working Without Permit VCC","Vieux Carré Commission","Initial Hearing","2021-07-28T13:30:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=m3a8bed0a9d3d6b0256a0ec5943b52c95","994 705 435
",,,,"2019-11-08T15:37:08.000","2019-10-22T15:39:00.000","Violation: No WIP","C","508 Bourbon St","New Orleans","LA","70130","3681906.34","532156.98","-90.06676501447429","29.957234817672873",
"Open","21-01519-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=265821","400-406 Burgundy St, 943-945 Conti St","Demolition by Neglect - VCC","Vieux Carré Commission","Reset Hearing","2022-10-13T13:30:00.000","https://nola.webex.com/nola/j.php?MTID=m1b84dbd7d4eebdc1296fb00f7c04becd","2495 428 6387 ",,"2022-09-28T10:30:00.000","Scheduled","2021-02-22T15:55:08.000","2021-02-22T15:56:00.000","Violation: No WIP","C","943 Conti St","New Orleans","LA","70112","3681076.02","532252.49","-90.06938358345668","29.957522648135217",
"Open","19-10917-VCCNOP","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=259592","838-840 N Rampart St, 1032-1040 Dumaine St","Working Without Permit VCC","Vieux Carré Commission","Reset Hearing","2022-09-21T14:00:00.000",,,,"2022-06-08T15:00:00.000","OSS Reset","2019-11-08T15:10:04.000","2019-11-05T15:12:00.000","Violation: No WIP","C","838 N Rampart St","New Orleans","LA","70116","3681877.56","533863.85","-90.06679631783598","29.961929002878556",
"Open","21-03658-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=267960","801-803 Dauphine St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-08-31T14:00:00.000",,,,,,"2021-05-03T13:10:46.000","2021-04-30T13:12:00.000","Violation: No WIP","C","801 Dauphine St","New Orleans","LA","70116","3682208.62","533238.76","-90.06577271935464","29.960200153008874",
"Open","22-01001-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=274237","800 Valence St","Short Term Rental","Safety and Permits","Initial Hearing","2022-09-21T13:00:00.000","https://nola.webex.com/nola/j.php?MTID=m21122474f93a88161ba7e318245d8eb7","2493 865 5277",,,,"2022-03-11T15:07:25.000","2022-03-11T00:00:00.000","Complete","B","800 Valence St","New Orleans","LA","70115","3669910.31","518339.9","-90.10511259482102","29.91960146549725",
"Open","21-05527-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=269831","540 Chartres St, 540 Chartres St Ste 201, 540 Chartres St Ste 202, 540","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-08-03T13:00:00.000","https://nola.webex.com/nola/j.php?MTID=m45ca2e4b26498832a9a664a87a28c0c9","2494 689 5429 ",,,,"2021-07-01T12:24:02.000","2021-06-29T12:26:00.000","Violation: No WIP","C","540 Toulouse St","New Orleans","LA","70130","3682621.34","531882.82","-90.06451685119085","29.956459220164813",
"Open","21-07176-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=271480","3415 Louisiana Avenue Prkwy","Short Term Rental","Safety and Permits","Initial Hearing","2022-06-15T11:00:00.000",,,,,,"2021-09-13T14:02:10.000","2021-09-13T14:03:00.000","Complete","B","3415 Louisiana Avenue Prkwy","New Orleans","LA","70125","3671769.22","527651.47","-90.09892828589382","29.945150361006394",
"Open","18-06074-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=242153","831 St Peter St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-08-31T13:30:00.000",,,,,,"2018-07-09T09:58:58.000","2018-07-05T10:00:00.000","Complete","C","831 St Peter St","New Orleans","LA","70116","3682072.26","532853.29","-90.06621677570327","29.95914438904609",
"Open","21-06702-ZONG","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=271006","2416-2418 Valence St","Zoning General","Safety and Permits","Reset Hearing","2022-09-29T09:00:00.000",,,,"2022-07-28T10:00:00.000","OSS Reset","2021-08-16T11:30:13.000","2021-08-17T00:05:00.000","Violation: WIP","B","2416 Valence St","New Orleans","LA","70115","3669389.74","523742.59","-90.10657320154506","29.934472474808004",
"Closed","20-21387-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=262007","907-909 Decatur St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2021-03-10T14:00:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=0c9ee78b88e5b503c100e4526b7841af","998 444 786",,,,"2020-09-02T10:25:23.000","2020-09-01T10:39:00.000","Violation: No WIP","C","907 Decatur St","New Orleans","LA","70116","3683628.94","532659.15","-90.0613079732859","29.95856314491897",
"Open","19-06828-VCCSN","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=255503","1100 Decatur St, 1 French Market Pl, 3 French Market Pl","Signage Violation VCC","Vieux Carré Commission","Reset Hearing","2021-11-05T00:30:00.000","https://nola.webex.com/nola/j.php?MTID=m3190a44287db3fcaa15d4d177d473025","2493 304 3071 ",,"2021-10-13T00:30:00.000","Pending","2019-06-24T13:13:53.000","2019-06-17T13:15:00.000","Violation: No WIP","C","1100 Decatur St","New Orleans","LA","70116","3684112.16","533145.23","-90.05976503381316","29.959884939368955",
"Open","19-10809-DBNNO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=259484","4620-4636 Magazine St","Demolition by Neglect - HDLC NO","Historic District Landmarks Commission","Initial Hearing","2022-08-24T10:00:00.000",,,,,,"2019-11-06T09:24:05.000","2021-07-15T00:00:00.000","Violation: No WIP","B","4620 Magazine St","New Orleans","LA","70115","3670070.55","518639.91","-90.10459664021036","29.920421674183952",
"Open","21-03741-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=268043","800-810 N Rampart St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2021-07-28T15:00:00.000",,,,,,"2021-05-05T11:31:09.000","2021-05-04T11:32:00.000","Violation: No WIP","C","806 N Rampart St","New Orleans","LA","70116","3681705.52","533679.25","-90.0673460334305","29.961426643624677",
"Closed","21-02219-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=266521","200 Decatur St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2022-02-02T15:00:00.000","https://nola.webex.com/nola/j.php?MTID=mf0400b7a66d15a1577543a671f671179","2486 491 9964",,,,"2021-03-09T13:34:25.000","2021-03-04T13:35:00.000","Violation: No WIP","C","200 Decatur St","New Orleans","LA","70130","3682117.5","530549.23","-90.06615438007016","29.952807631244546",
"Open","22-00726-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=273962","3137-3139 St Thomas St","Working without CofA - NO","Historic District Landmarks Commission","Initial Hearing","2022-09-21T09:00:00.000","https://nola.webex.com/nola/j.php?MTID=m9977c81a7ebab9a4e971adfb01e51eab","2484 590 8173 ",,,,"2022-02-16T15:46:15.000","2021-11-09T15:48:00.000","Complete",,"3137 St Thomas St","New Orleans","LA","70115","-10028030.9","3493260.94","-134.87451876335456","31.067769375994104",
"Open","18-01290-VIONO","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=237366","317 Pacific Ave","Working without CofA - NO","Historic District Landmarks Commission","Initial Hearing","2021-06-30T10:30:00.000","https://webexcno.nola.gov/orion/joinmeeting.do?MTID=56e562bd9eaf330c14b55fee9d49edc8","996 020 530",,,,"2018-02-26T14:18:26.000","2021-03-05T00:00:00.000","Complete","C","317 Pacific Ave","New Orleans","LA","70114","3688494.29","530580.77","-90.04601825416461","29.952698907048497",
"Closed","21-03900-RENT","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=268202","11206 Curran Rd","Short Term Rental","Safety and Permits","Reset Hearing","2021-11-03T11:00:00.000","https://nola.webex.com/nola/j.php?MTID=m260b5ef5b2c3aac7dac2954df6f57d71"," 2485 108 5034",,"2021-11-03T11:00:00.000","OSS Reset","2021-05-07T21:11:07.000","2021-05-07T21:12:27.000","Pending","E","11206 Curran Rd","New Orleans","LA","70128","3710943.82","566339.24","-89.97379375875887","30.050308397360535",
"Open","19-10038-VCCMC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=258713","937 Decatur St","Merchandising Violation VCC","Vieux Carré Commission","Initial Hearing","2022-08-24T13:00:00.000","https://nola.webex.com/nola/j.php?MTID=md49cbed4cd3d4b0ff5b24b9e76ee1366","2496 274 3585 ",,,,"2019-10-07T15:00:37.000","2019-09-20T15:02:00.000","Violation: No WIP","C","937 Decatur St","New Orleans","LA","70116","3683760.09","532826.45","-90.0608879700549","29.959019158702066",
"Open","18-09801-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=245880","920 Conti St","Demolition by Neglect - VCC","Vieux Carré Commission","Initial Hearing","2018-12-05T09:00:00.000","https://nola.webex.com/nola/j.php?MTID=m0c76b5da9f22789b61f0055677384d68","2492 725 1045
",,,,"2018-09-27T13:43:31.000","2018-09-27T13:45:00.000","Violation: No WIP","C","920 Conti St","New Orleans","LA","70112","3681133.2","532060.27","-90.06920972235136","29.956992373941333",
"Open","17-12868-DBNVCC","https://onestopapp.nola.gov/SummaryContent.aspx?type=Code%20Incident&id=234608","208 Chartres St","Demolition by Neglect - VCC","Vieux Carré Commission","Reset Hearing","2022-09-28T10:00:00.000","https://nola.webex.com/nola/j.php?MTID=m56ef2d38716d76be6e646037ef5b3029","2489 512 1841 ",,"2019-04-10T09:00:00.000","OSS Reset","2017-10-24T11:23:38.000","2017-10-23T11:34:00.000","Violation: No WIP","C","208 Chartres St","New Orleans","LA","70130","3681814.36","530827.23","-90.06710186020278","29.953581251665558",
