"type","name","po_box","phone","contact","title","location_1"
"Holding Companies","Green Dot Corporation",,"626-775-3485","Simon Heyrick","Chief Accounting Officer","3465 E FOOTHILL BLVD
PASADENA, CA 91117
(34.15016866400049, -118.07825088199968)"
"Federal Credit Unions","Gibbons & Reed Emp. Federal CU","PO BOX 30429","801-322-4010","L. William Christopherson","President","1000 WARM SPRINGS RD
SALT LAKE CITY, UT 84130
(40.786873684000454, -111.91099530499969)"
"National Banks","Zions First National Bank",,"801-974-8800","A. Scott Anderson","President","ONE S MAIN ST
SALT LAKE CITY, UT 84111-1923
(40.76562021300049, -111.89092039599967)"
"State Banks","Town & Country Bank",,"435-673-1150","Bruce Jensen","President","405 E ST. GEORGE BLVD
ST. GEORGE, UT 84770-2958
(37.10993822500046, -113.57436000599967)"
"State Credit Unions","Employees First Credit Union",,"435-752-8175","Kenneth R. McDaniel","President","885 N 600 W
LOGAN, UT 84321-3424
(41.74676979600048, -111.8494240879997)"
"National Banks","U.S. Bank, N.A.",,"801-534-6071","Damon Miller","Utah Market President","15 W S TEMPLE 6TH FL
SALT LAKE CITY, UT 84101
(40.760607139000456, -111.89735800399967)"
"Federal Savings & Loans","Franklin Templeton Bank & Trust",,"801-952-3300","Wendy Harrington","President","47 W 200 S STE 500
SALT LAKE CITY, UT 84101
(40.76498305600046, -111.89254016999968)"
"State Credit Unions","Hercules Credit Union","PO BOX 26977","801-968-9011","Brett Blackburn","President","3141 W 4700 S
SALT LAKE CITY, UT 84126-0977
(40.66756302500045, -111.96642828799969)"
"Holding Companies","SLM Corporation",,"703-984-6612","La Fleur Broune","VP & Asst Corporate Secretary","300 CONTINENTAL DR
NEWARK, DE 19713
(39.68509449800047, -75.66148018099966)"
"State Credit Unions","South Sanpete Credit Union",,"435-835-2261","Brian Olmstead","President","39 S MAIN
MANTI, UT 84642
(39.26484633400048, -111.63698109599972)"
"State Banks","Proficio Bank",,"801-947-6000","Richard D. Holley","President","6985 S UNION PARK CTR STE 150
COTTONWOOD HEIGHTS, UT 84047
(40.62386110300048, -111.85808215799972)"
"State Banks","Bank of Utah",,"801-409-5000","Douglas L. DeFries","President","2605 WASHINGTON BLVD
OGDEN, UT 84401-0231
(41.21829072200046, -111.97056693199971)"
"Federal Credit Unions","Weber State Federal Credit Union",,"801-399-9728","Vickie Van Der Have","President","4140 HARRISON BLVD
OGDEN, UT 84408-4140
(41.1876447140005, -111.94895507899969)"
"Holding Companies","Central Bancorporation",,"801-375-1000","Matt Packard","President & CEO","75 N UNIVERSITY AVE
PROVO, UT 84601
(40.234681071000466, -111.65872605699968)"
"Federal Credit Unions","Deseret First Federal Credit Union","PO BOX 45046","801-456-7000","Shane London","President","2480 S 3850 W STE C
SALT LAKE CITY, UT 84145
(40.71673719000046, -111.98202982399971)"
"Federal Credit Unions","America First Federal Credit Union","PO BOX 9199","801-627-0900","Olin F. Craig","President","4774 S 1300 W BLDG # 3
RIVERDALE, UT 84409-0199
(41.17591757300045, -112.01373852799969)"
"State Credit Unions","UCB Credit Union",,"801-220-0800","Teresa Wilko","President","250 N 1950 W STE B
SALT LAKE CITY, UT 84116-7902
(40.77470759400046, -111.94730879699966)"
"Federal Credit Unions","Sheet Metal Workers Local #312 FCU",,"801-972-6875","Connie Burns","President","2261 S REDWOOD RD
SALT LAKE CITY, UT 84119
(40.72134960000045, -111.93896445199971)"
"Holding Companies","American Express TRS Company, Inc.",,"212-640-3532","Juliana O'Reily","VP & Chief Regulatory Counsel","200 VESEY ST
NEW YORK, NY 10285
(40.71384490800045, -74.01418832499962)"
"State Banks","Gunnison Valley Bank","PO BOX 220","435-528-7221","Paul Andersen","President","10 S MAIN ST
GUNNISON, UT 84634-0220
(39.154960788000494, -111.81834544299971)"
"State Credit Unions","Uintah Credit Union","PO BOX 805","435-789-8353","Dan Olsen","President","789 W MAIN #100
VERNAL, UT 84078-0805
(40.45550502700047, -109.5417699889997)"
"State Banks","Brighton Bank",,"801-943-6500","Robert M. Bowen","President","7101 HIGHLAND DR
SALT LAKE CITY, UT 84121-3703
(40.62229322200045, -111.8342531509997)"
"State Credit Unions","Phillips Wasatch Credit Union","PO BOX 666","801-298-1024","Megan Natress","President","876 W HERITAGE POINT LN
WEST BOUNTIFUL, UT 84010
(40.87738785100049, -111.87501598599971)"
"State Banks","Grand Valley Bank",,"435-654-7400","David Armbruster","President","2 S MAIN ST
HEBER CITY, UT 84032
(40.50746074500046, -111.41350665899967)"
"State Credit Unions","Provo Postal Credit Union","PO BOX 1545","801-374-5856","Scott Johnson","President","345 W 100 S
PROVO, UT 84603-1545
(40.232319963000464, -111.66474322899967)"
"Holding Companies","CIT Group, Inc.",,"973-740-5109","Linda Seufert","Chief Corporate Paralegal","1 CIT DR #3279-1
LIVINGSTON, NJ 7039
(40.77097151200047, -74.36380526199963)"
"Holding Companies","Alliance Data Systems Corp.",,"614-944-5802","Karen A. Morauski","VP","3100 EASTON SQUARE PLACE
COLOMBUS, OH 43219
(40.03710852600045, -82.91192888899968)"
"Federal Credit Unions","Utah Federal Credit Union",,"801-328-1521","Doug C. Huntsman","President","564 E 300 S
SALT LAKE CITY, UT 84102-4021
(40.762802939000494, -111.87452078699971)"
"State Credit Unions","San Juan Credit Union",,"435-678-2124","Ann Hawkins","President","411 S MAIN
BLANDING, UT 84511-0199
(37.61946636200048, -109.47797218199969)"
"State Industrial Banks","Franklin Templeton Credit Corp.",,"801-952-3300","Tonya Roemer","Director of Private Banking","47 W 200 S STE 500
SALT LAKE CITY, UT 84101
(40.76498305600046, -111.89254016999968)"
"Federal Credit Unions","DesertView Federal Credit Union","PO BOX 580","435-687-2472","Michael H. Nelson","President","196 N MAIN
HUNTINGTON, UT 84528
(39.32985177600045, -110.96459494799967)"
"Holding Companies","Lease Corporation of America",,"248-743-5112","Theodore J. Katikos","SVP/CFO","3150 LIVERNOIS STE 300
TROY, MI 48083
(42.56277199100049, -83.14764311399966)"
"State Banks","Liberty Bank",,"801-355-7411","Kendall E. Phillips","President","326 S 500 E
SALT LAKE CITY, UT 84102-4022
(40.76208045800047, -111.8768069139997)"
"Financial Associations","Utah Assoc. of Financial Services",,"801-355-9188","Doug Foxley","Director","60 S 600 E #150
SALT LAKE CITY, UT 84102
(40.76773724800046, -111.87403194499967)"
"State Credit Unions","National J.A.C.L. Credit Union","PO BOX 526178","801-424-5225","Dean Hirabayashi","President","3776 S HIGHLAND DR
SALT LAKE CITY, UT 84152
(40.680725071000495, -111.84306450799971)"
"Federal Credit Unions","LU 354 I B E W Federal Credit Union",,"801-975-9693","Linda J. Perschon","President","3405 W 1987 S
SALT LAKE CITY, UT 84104-4942
(40.72828533900048, -111.9726985209997)"
"Federal Credit Unions","Valley Wide Federal CU","PO BOX 461","435-789-6918","Monica Marchant","President","1438 W 500 N
VERNAL, UT 84078
(40.462734286000455, -109.55617625999969)"
"State Banks","The Village Bank",,"435-674-5200","Douglas Bringhurst","President","294 E TABERNACLE ST
ST. GEORGE, UT 84770-2936
(37.108113011000455, -113.57724071099972)"
"State Credit Unions","Sunnyside Credit Union","PO BOX 519","435-888-4433","Linda Drury","President","W MARKET ST
SUNNYSIDE, UT 84539
(39.551692786000444, -110.38586375599971)"
"State Credit Unions","Tri County Credit Union","PO BOX 153","435-676-2754","Nick Reynolds","President","25 W 400 S
PANGUITCH, UT 84759
(37.81649890500046, -112.43607188299967)"
"State Banks","State Bank of Southern Utah","PO BOX 340","435-865-2300","Eric J. Schmutz","President","377 N MAIN ST
CEDAR CITY, UT 84721-0340
(37.68375674600048, -113.0618843909997)"
"Federal Credit Unions","Box Elder County Federal Cr. Union","PO BOX 624","435-723-3437","Scott Webre","President","1023 S MEDICAL DR
BRIGHAM CITY, UT 84302
(41.489269239000464, -112.0259573829997)"
"National Banks","Chase Bank, N.A.",,"801-481-5350","M. Craig Zollinger","President/CEO","80 W BROADWAY STE 200
SALT LAKE CITY, UT 84101-2024
(40.76293461600045, -111.8934009569997)"
"Federal Credit Unions","Midvalley Federal Credit Union",,"801-265-2111","Linda F. Buell","President","5284 COMMERCE DR STE 103
MURRAY, UT 84107
(40.65640469300047, -111.89908743499967)"
"Holding Companies","Pitney Bowes Global Fin. Services",,"203-351-7652","Michael J. Johnston","Asst Director State Income Tax","1 ELMCROFT RD
STAMFORD, CT 6926
(41.03747114800046, -73.53959903599963)"
"State Industrial Banks","Merrick Bank Corporation",,"801-545-6600","Richard Lake","President","10705 S JORDAN GATEWAY STE 200
SOUTH JORDAN, UT 84095
(40.557481451000456, -111.90268179899971)"
"State Credit Unions","Logan City Employees Credit Union",,"435-716-9590","Jennifer Leishman","President","290 N 100 W
LOGAN, UT 84321-3902
(41.73338258700045, -111.8420610069997)"
"State Credit Unions","Presto Lewiston Employees Cr. Union",,"435-258-2431","Gaylene Stone","President","1110 E 200 S
LEWISTON, UT 84320
(41.971563957000456, -111.83005758699971)"
"Federal Credit Unions","Nephi Western Employees Federal CU","PO BOX 252","435-623-1895","Judy Truscott","President","155 N MAIN ST
NEPHI, UT 84648
(39.710712027000454, -111.83612560399968)"
"Federal Credit Unions","Granite Furniture Emp. Federal CU",,"801-485-1052","Ralph Jenkins","President","1475 W 9000 S
WEST JORDAN, UT 84088
(40.58773330600047, -111.93372963499968)"
"Holding Companies","Target Corporation",,"612-696-6648","Timothy R. Baer","EVP","1000 NICOLLET MALL TPS-2670
MINNEAPOLIS, MN 55403
(44.9732810210005, -93.27529457399964)"
"State Banks","Rock Canyon Bank",,"801-426-0150","Tod Monsen","President","215 W 2230 N
PROVO, UT 84604
(40.26342358900047, -111.66178190799968)"
"State Industrial Banks","Optum Bank, Inc.",,"801-963-6040","Kelvin L. Anderson","President","2525 LAKE PARK BLVD
WEST VALLEY CITY, UT 84120
(40.71525405800048, -111.9889624599997)"
"State Industrial Banks","USAA Financial Services Corp.",,"210-498-7479","Michael J. Broker","Attorney","USAA BLDG (BK-4-W)
SAN ANTONIO, TX 78288-0553
(29.540250717000447, -98.57255031399967)"
"Holding Companies","Community Bancorporation",,"801-492-8206","Tim Davies","CFO","1376 N STATE ST
OREM, UT 84057
(40.32261400100049, -111.70615973799971)"
"State Banks","American Bank of Commerce",,"801-377-4222","Leonel Castillo","President","3670 N UNIVERSITY AVE
PROVO, UT 84604-4424
(40.28245582700049, -111.6584057229997)"
"Holding Companies","Fry's Electronics, Inc.",,"801-530-7312","Geri Allison (Callister Nebeker)","Attorney","10 E SOUTH TEMPLE STE 900
SALT LAKE CITY, UT 84133
(40.76926608100047, -111.89092152499967)"
"Federal Credit Unions","St. Mark's Employees Federal CU",,"801-268-7660","Jim Webb","President","1220 E 3900 S STE 2M
SALT LAKE CITY, UT 84124
(40.6870436370005, -111.85628349699971)"
"Holding Companies","CMS Energy Corp",,"517-788-1030","Catherine Reynolds","VP & Corporate Secretary","ONE ENERGY PLAZA
JACKSON, MI 49201
(42.25191730600045, -84.39625833799965)"
"Holding Companies","NHB Holdings, Inc.",,"888-680-6841","Ed Haidenthaller","CFO","6985 S UNION PARK CTR STE 150
COTTONWOOD HEIGHTS, UT 84047-5039
(40.62386110300048, -111.85808215799972)"
"Holding Companies","Cardworks, Inc.",,"516-576-0404","Albert T. Jaronczyk","Controller & CAO","101 CROSSWAYS PARK WEST
WOODBURY, NY 11797
(40.8100142290005, -73.48835042499962)"
"Federal Credit Unions","Moon Lake Electric Emp. Federal CU","PO BOX 278","435-722-5442","Karen Secrest","President","188 W 200 N
ROOSEVELT, UT 84066
(40.30209976000049, -110.00120544799967)"
"Holding Companies","Medallion Financial Corp.",,"212-328-2100","Jeffery Yin","General Counsel","437 MADISON AVE 38TH FL
NEW YORK, NY 10022
(40.75755199000048, -73.97578406899964)"
"Holding Companies","Wright Express Corporation",,"207-523-6421","Gregory Wiessner","Associate General Counsel","97 DARLING AVE
SOUTH PORTLAND, ME 4106
(43.641760269000486, -70.33060116299964)"
"Out-of-State State Banks","Glacier Bank",,"208-415-5310","Dennis Durfee","Branch President","49 COMMONS LOOP
KALISPELL, MT 59901
(48.21969915300048, -114.3289917789997)"
"Holding Companies","AmBancorp",,"801-377-4222","Leonel E. Castillo","President/CEO","3670 N UNIVERSITY AVE
PROVO, UT 84604
(40.28245582700049, -111.6584057229997)"
"State Industrial Banks","Medallion Bank",,"801-284-7065","John M. Taggart","President","1100 E 6600 S STE 510
SALT LAKE CITY, UT 84121
(40.63153269000048, -111.8605908509997)"
"Federal Savings & Loans","GE Capital Retail Bank",,"801-816-4760","Margaret Keane","President & CEO","170 W ELECTION RD STE 125
DRAPER, UT 84020
(40.53517773200048, -111.8950797979997)"
"Federal Credit Unions","Horizon Utah Credit Union","PO BOX 687","801-451-5064","Randy S. Gailey","President","225 S 200 W
FARMINGTON, UT 84025-0687
(40.97648092600048, -111.89188452099967)"
"State Credit Unions","Pacific Horizon Credit Union","PO BOX 166","801-489-3605","Steve Clayson","President","96 E CENTER
SPRINGVILLE, UT 84663-0166
(40.1666526570005, -111.6090500359997)"
"Holding Companies","GV Bancorp, Inc.","PO BOX 220","435-528-7221","Paul Andersen","President","10 S MAIN
GUNNISON, UT 84634-0220
(39.154960788000494, -111.81834544299971)"
"State Banks","Prime Alliance Bank",,"801-296-2200","Jason F. Price","President","1868 S 500 W
WOODS CROSS, UT 84087
(40.871718441000496, -111.89228254899967)"
"Federal Credit Unions","USU Charter Federal Credit Union",,"435-753-4080","David Butterfield","President","198 N MAIN
LOGAN, UT 84321
(41.73496927800045, -111.83485348399967)"
"State Banks","Continental Bank",,"801-595-7000","Michael Fosmark","President","15 W S TEMPLE STE 420
SALT LAKE CITY, UT 84101
(40.76925531800049, -111.89160418899968)"
"State Industrial Banks","WebBank",,"801-456-8350","Kelly Barnett","President","215 S STATE ST STE 800
SALT LAKE CITY, UT 84111
(40.764640157000485, -111.88819120999972)"
"Federal Credit Unions","Cyprus Federal Credit Union","PO BOX 9002","801-260-7600","Todd E. Adamson","President","3505 S 8400 W
WEST JORDAN, UT 84084
(40.62101949200047, -111.9589093519997)"
"Federal Savings & Loans","Washington Federal",,"801-366-2265","Lori Fike","Manager","505 E 200 S
SALT LAKE CITY, UT 84102
(40.765047584000456, -111.87639093899969)"
"Holding Companies","Brighton Bancorp",,"801-467-3009","Shanna K. Speredon","SVP/CFO","93 W 3300 S
SALT LAKE CITY, UT 84115
(40.69975353400048, -111.89311054899969)"
"Federal Credit Unions","Wasatch Peaks Federal CU","PO BOX 68","801-627-8700","Blake Burrel","President","2780 ADAMS AVE
OGDEN, UT 84402-0068
(41.21466311800049, -111.96774835699966)"
"Federal Credit Unions","Associated Federal Emp. Federal CU","PO BOX 11565","801-364-5718","Spring Jensen","President","125 S STATE ST RM 2205
SALT LAKE CITY, UT 84147-0565
(40.76658423300046, -111.88819120899967)"
"State Credit Unions","Members First Credit Union","PO BOX 657","435-723-5231","Brad Barber","President","120 E 1000 S
BRIGHAM CITY, UT 84302-0657
(41.48883266500047, -112.0147603959997)"
"Federal Credit Unions","Logan Medical Federal CU",,"435-716-5392","Dale D. Howe","President","1400 N 500 E
LOGAN, UT 84341
(41.7565823270005, -111.8211977689997)"
"Federal Credit Unions","SummitOne Federal CU",,"801-476-6300","Blaine Goodell","President","4723 S HARRISON BLVD STE 100
OGDEN, UT 84403
(41.17730175300045, -111.94928659199968)"
"Federal Credit Unions","Orem City Employees Federal CU",,"801-229-7168","Thomas J. Phelps","President","56 N STATE ST
OREM, UT 84057
(40.2978745100005, -111.69529948199971)"
"State Industrial Banks","Celtic Bank",,"801-363-6500","Wade L. Newman","President","268 S STATE ST #300
SALT LAKE CITY, UT 84111
(40.76354190900048, -111.8882624529997)"
"State Banks","Holladay Bank & Trust","PO BOX 17576","801-272-4275","Katie Spratling","President","2020 E 4800 S
SALT LAKE CITY, UT 84117-0576
(40.66680248400047, -111.87829862499967)"
"Holding Companies","IB Finance Holding Co. LLC",,"313-656-6304","Barbara Taylor","Assistant Secretary","200 RENAISSANCE CTR MC 482 B09 C24
DETROIT, MI 48265
(42.32996048700045, -83.04049712599965)"
"State Banks","Home Savings Bank",,"801-487-0811","John G. Sorensen, Jr.","President","1455 E 2100 S
SALT LAKE CITY, UT 84105
(40.7258780680005, -111.84921091599966)"
"State Credit Unions","Nebo Credit Union",,"801-491-3691","Dale Phelps","President","730 E 300 S
SPRINGVILLE, UT 84663
(40.1628236250005, -111.59823010999969)"
"Federal Credit Unions","Jordan Federal Credit Union","PO BOX 1888","801-566-4195","James Hofeling","President","9260 S 300 E
SANDY, UT 84091-1888
(40.58342398800045, -111.88176807499968)"
"Holding Companies","Grand Valley Corporation","PO BOX 848","970-263-2516","Jill Rathke","President","
GRAND JUNCTION, CO 81502
(39.06867937700048, -108.56613787799967)"
"National Banks","Morgan Stanley Bank N.A.",,"801-236-3600","Frank K Stepan","Executive Director","201 S MAIN ST 5TH FL
SALT LAKE CITY, UT 84111
(40.76494299000046, -111.89096340099968)"
"Federal Credit Unions","Varian SL Employees Federal CU",,"801-973-5052","Tammy Phillips","President","1678 S PIONEER RD
SALT LAKE CITY, UT 84104-4205
(40.73416066900046, -111.95804623799967)"
"Out-of-State State Banks","AmericanWest Bank",,"509-467-6993","Patrick J. Rusnak","President","41 W RIVERSIDE AVE STE 400
SPOKANE, WA 99201
(47.65795246200048, -117.41289880299968)"
"State Industrial Banks","American Express Centurion Bank",,"801-945-3000","Robert Garinger","CEO","4315 S 2700 W
SALT LAKE CITY, UT 84184
(40.676892378000446, -111.9579401849997)"
"Holding Companies","Lewiston Bancorp",,"435-774-1804","Dale M. Buxton","CFO","2190 N MAIN
NORTH LOGAN, UT 84341
(41.77215216900049, -111.83404465099972)"
"State Banks","Marlin Business Bank",,"888-479-9111","Raymond J. Dardano","President","2795 E COTTONWOOD PKWY STE 120
SALT LAKE CITY, UT 84121
(40.63258818000048, -111.8129808709997)"
"State Banks","Republic Bank",,"801-397-0613","Boyd Lindquist","President","1560 RENAISSANCE TOWNE DR STE 260
BOUNTIFUL, UT 84010
(40.87391056100046, -111.88798519999972)"
"State Credit Unions","Valtek Credit Union","PO BOX 2200","801-489-2430","Richard A. Nelson","President","1350 N MTN SPRINGS PARKWAY
SPRINGVILLE, UT 84663-0903
(40.18663967900045, -111.6309289459997)"
"State Banks","Utah Independent Bank","PO BOX 9","435-529-7459","Craig A. White","President","55 S STATE ST
SALINA, UT 84654-0009
(38.95679450400047, -111.86003880899972)"
"State Banks","Utah Community Bank",,"801-545-6000","Kent Landvatter","President","820 E 9400 S
SANDY, UT 84094
(40.580584460000466, -111.8688696859997)"
"Federal Credit Unions","C U P Federal Credit Union","PO BOX 50526","801-374-1170","Ann Brinkerhoff","President","302 E 1860 S
PROVO, UT 84605-0526
(40.20874721000047, -111.65350299699969)"
"State Credit Unions","Grand County Credit Union","PO BOX 1047","435-259-6124","Samuel Crane","President","725 N MAIN
MOAB, UT 84532-1047
(38.58465729900047, -109.55570919199971)"
"Holding Companies","All West Bancorp",,"801-545-6000","Phillip C. Gibson","SVP","820 E 9400 S
SANDY, UT 84094
(40.580584460000466, -111.8688696859997)"
"State Banks","First Utah Bank",,"801-272-9454","David L. Brown","President","3826 S 2300 E
SALT LAKE CITY, UT 84109-3499
(40.68800026000048, -111.8245463239997)"
"Federal Credit Unions","Eastern Utah Community Federal CU","PO BOX 719","435-637-2443","Michael S. Milovich","President","675 E 100 N
PRICE, UT 84501-0719
(39.60103784400047, -110.79845088999969)"
"Holding Companies","Cache Valley Banking Company",,"435-753-3000","Mike Lemon","CFO","101 N MAIN
LOGAN, UT 84321
(41.73354160100047, -111.8349675609997)"
"Holding Companies","GE Consumer Finance, Inc.",,"801-816-4784","Paul W. Werner","Counsel (GE Capital Retail Bank)","170 ELECTION RD STE 125
DRAPER, UT 84020
(40.53517773200048, -111.8950797979997)"
"State Industrial Banks","Comenity Capital Bank",,"801-527-2272","Ron Ostler","President","2795 E COTTONWOOD PARKWAY STE 100
SALT LAKE CITY, UT 84121
(40.63258818000048, -111.8129808709997)"
"Holding Companies","Marlin Business Services Corp.",,"888-479-9111","George D. Pelose","COO & General Counsel","300 FELLOWSHIP RD
MOUNT LAUREL, NJ 8054
(39.94693325600048, -74.95015357099965)"
"Holding Companies","BMW Financial Services NA LLC",,"614-789-7464","Mary Sun","Senior Accountant","5550 BRITTON PKWY
HILLIARD, OH 43026
(40.06728736700046, -83.13766691199964)"
"State Credit Unions","Health Care Credit Union",,"801-322-2252","Scot Baumgartner","President","769 E S TEMPLE
SALT LAKE CITY, UT 84102
(40.76938822900047, -111.8688711479997)"
"State Industrial Banks","BMW Bank of North America, Inc.",,"801-461-6500","Kenneth H. Petersen","Chairman/Pres.","2735 E PARLEY'S WAY STE 301
SALT LAKE CITY, UT 84109
(40.718585276000454, -111.81372639799969)"
"Federal Credit Unions","U P Car Dept. Federal Credit Union","PO BOX 540252","801-292-9759","John H. Wells","President","305 N 675 E
NORTH SALT LAKE, UT 84054-0252
(40.84755211400045, -111.8957573409997)"
"Out-of-State State Banks","Goldman Sachs Bank USA",,"801-884-1500","Michael J. Civitella","President","222 S MAIN ST
SALT LAKE CITY, UT 84101
(40.76451323500049, -111.89121868099971)"
"Financial Associations","Utah Credit Union Association","PO BOX 27277","801-972-3400","Scott Simpson","President","1805 S REDWOOD RD
SALT LAKE CITY, UT 84127
(40.73084811600046, -111.93898665099971)"
"Holding Companies","FJ Management, Inc.",,"801-624-1759","Andre Lortz","CFO","185 S STATE STE 201
SALT LAKE CITY, UT 84111
(40.76528196100048, -111.88819120999972)"
"State Credit Unions","Beckstrand & Associates Emp. CU",,"801-944-7722","Mariam Bahashti","President","6330 S 3000 E #250
SALT LAKE CITY, UT 84121
(40.63493717400047, -111.80588267199971)"
"National Banks","First National Bank of Layton","PO BOX 248","801-544-4241","K. John Jones","President","12 S MAIN ST
LAYTON, UT 84041-0248
(41.05991304300045, -111.96614793199967)"
"State Credit Unions","Freedom Credit Union",,"801-375-2120","Ken Payne","President","815 N FREEDOM BLVD
PROVO, UT 84604
(40.244639952000455, -111.66213851399971)"
"Federal Credit Unions","Teamsters Local #222 Federal CU","PO BOX 30749","801-972-8122","Alisa Morill","President","2641 S 3270 W STE B
WEST VALLEY CITY, UT 84119
(40.71202072700049, -111.96917382399971)"
"Federal Credit Unions","Logan Cache Rich Credit Union",,"435-563-6882","Ann J. Godfrey","President","20 W CENTER
SMITHFIELD, UT 84335-1950
(41.83649337200046, -111.83341082799967)"
