ADDRESS,DATE,EVENT,EVENT TYPE,COMMENTS,LOCATION TYPE,STATUS,USER,USER MODIFIED,MODIFIED DATE,PLANNING DISTRICT,CIVIC LEAGUE,WARD,SUPER WARD,LATITUDE ,LONGITUDE,LOCATION,US Counties,Civic Leagues,Civic Leagues_uniq_prepend,Civic Leagues_from_ktui_fihj
200 BLOCK OF W BALVIEW AVENUE                                                                                                                                                                           ,09/03/2016,HERMINE (9/2/2016)                                                                                  ,Damaged tree(s)                                   ,,B,H    ,wwalker   ,,,WEST OCEAN VIEW               ,Ocean View,5,6,36.9550935647766,-76.2568418693335,"(36.9550935647766, -76.2568418693335)",2943,69,75,75
901 LOUISA STREET                                                                                                                                                                                       ,10/12/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged sidewalk/curb                             ,,A,H    ,tdwilli   ,,,BERKLEY                       ,Beacon Light/ Berkley,4,7,36.8259885495995,-76.280188955038,"(36.8259885495995, -76.280188955038)",2943,4,4,4
661 INGLESIDE ROAD                                                                                                                                                                                      ,03/02/2018,RILEY (3/2/2018)                                                                                    ,Damaged tree(s)                                   ,Tree came down and took power lines too.  tree is across the street and a fence,A,H    ,wwalker   ,,,INGLESIDE                     ,Ingleside,4,7,36.8406144538964,-76.2357757454418,"(36.8406144538964, -76.2357757454418)",2943,44,49,49
EARL STREET & OLD OCEAN VIEW ROAD                                                                                                                                                                       ,08/28/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,DOWN TREE,I,H    ,jmccoy    ,istacy    ,27/09/2011,OCEANAIR                      ,Northside,5,6,36.9352478843046,-76.2485074543516,"(36.9352478843046, -76.2485074543516)",2943,101,101,101
3RD BAY STREET & E OCEAN VIEW AVENUE                                                                                                                                                                    ,10/03/2015,Joaquin (9/29/2015)                                                                                 ,Flooded street                                    ,,I,H    ,dleavel   ,,,PRETTY LAKE                   ,East Ocean View,5,6,36.9351420791686,-76.213307260935,"(36.9351420791686, -76.213307260935)",2943,25,32,32
373 ORANGE AVENUE                                                                                                                                                                                       ,05/24/2011,Severe Thunderstorm (5/24/2011)                                                                     ,Damaged tree(s)                                   ,,A,H    ,acastil   ,,,PAMLICO                       ,Ocean View,1,6,36.9529621558645,-76.2659289617729,"(36.9529621558645, -76.2659289617729)",2943,69,75,75
E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE                                                                                                                                                            ,01/15/2016,01/15/2016 (1/15/2016)                                                                              ,Flooded street                                    ,,I,H    ,aminix    ,,,TIDEWATER DRIVE INDUSTRIAL    ,Attucks/ Barberton/ Church,4,7,36.8544454891796,-76.2744784809662,"(36.8544454891796, -76.2744784809662)",2943,128,128,128
CHESAPEAKE BOULEVARD & E LITTLE CREEK ROAD                                                                                                                                                              ,10/08/2016,Hurricane Matthew (10/5/2016)                                                                       ,Flooded street                                    ,,I,H    ,wwalker   ,rdelaha   ,13/10/2016,NORTH CHESAPEAKE BLVD.        ,Crossroads,3,6,36.9147478712936,-76.2415066881344,"(36.9147478712936, -76.2415066881344)",2943,126,126,126
4608 MAYFLOWER ROAD                                                                                                                                                                                     ,10/27/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged tree(s)                                   ,,A,H    ,zclemon   ,,,COLONIAL PLACE                ,Colonial Place/ Riverview,2,6,36.8863912978841,-76.2918811431136,"(36.8863912978841, -76.2918811431136)",2943,19,21,21
3469 BERTHA STREET                                                                                                                                                                                      ,10/30/2012,Sandy (10/28/2012)                                                                                  ,Damaged building                                  ,,A,H    ,jmiddle   ,,,NORVELLA                      ,Norvella Heights,3,7,36.8894608316077,-76.2227161933261,"(36.8894608316077, -76.2227161933261)",2943,64,48,48
INGLESIDE ROAD & NORTH INGLESIDE DRIVE                                                                                                                                                                  ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,I,H    ,rdelaha   ,,,INGLESIDE                     ,Ingleside,4,7,36.847111584286,-76.2352206876084,"(36.847111584286, -76.2352206876084)",2943,44,49,49
6200 BLOCK OF N MILITARY HIGHWAY                                                                                                                                                                        ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,B,H    ,auwhite   ,,,AZALEA                        ,Bromley,4,7,36.8963017727557,-76.2244118615367,"(36.8963017727557, -76.2244118615367)",2943,10,10,10
9300 BLOCK OF GROVE AVENUE                                                                                                                                                                              ,10/14/2016,Hurricane Matthew (10/5/2016)                                                                       ,Debris blocking street                            ,LIMBS ON THE CURB,B,H    ,bboyd     ,,,SNUG HARBOR                   ,Bayview,5,6,36.9344084342555,-76.2282905436044,"(36.9344084342555, -76.2282905436044)",2943,103,103,103
5200 BLOCK OF WINDERMERE AVENUE                                                                                                                                                                         ,08/29/2011,Irene (8/27/2011)                                                                                   ,Damaged/Missing sign                              ,"stop sign leaning, repairing

NP LEANING SIGN AND POST NEED REPLACED - istacy 8/29/2011 6:41:37 PM",B,H    ,kkelley   ,jriddic   ,01/09/2011,NORVELLA                      ,Norvella Heights,3,7,36.8858834693115,-76.223887614751,"(36.8858834693115, -76.223887614751)",2943,64,48,48
908 BALTIMORE STREET                                                                                                                                                                                    ,10/30/2012,Sandy (10/28/2012)                                                                                  ,Damaged building                                  ,,A,H    ,sjohnso   ,,,TITUSTOWN                     ,Titustown,1,7,36.9170055373663,-76.290878451366,"(36.9170055373663, -76.290878451366)",2943,92,93,93
NORWAY PLACE & NORTH VEAUX LOOP                                                                                                                                                                         ,10/09/2016,Hurricane Matthew (10/5/2016)                                                                       ,Debris blocking street                            ,,I,H    ,sjwilli   ,rdelaha   ,27/10/2016,LAKEWOOD                      ,Lafayette Shores Homeowners Association,2,6,36.8856958857841,-76.2678357901423,"(36.8856958857841, -76.2678357901423)",2943,121,121,121
7000 BLOCK OF CHESAPEAKE BOULEVARD                                                                                                                                                                      ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,B,H    ,tmscott   ,,,ROSEMONT                      ,Oakwood,3,7,36.9054450667044,-76.2400637234204,"(36.9054450667044, -76.2400637234204)",2943,68,74,74
E PRINCESS ANNE ROAD & CHURCH STREET                                                                                                                                                                    ,08/28/2011,Irene (8/27/2011)                                                                                   ,Down light pole                                   ,,I,H    ,fpicard   ,istacy    ,06/09/2011,HUNTERSVILLE                  ,Attucks/ Barberton/ Church,4,7,36.858188697684,-76.27837393479,"(36.858188697684, -76.27837393479)",2943,2,2,2
2233 TARRALLTON DRIVE                                                                                                                                                                                   ,10/30/2012,Sandy (10/28/2012)                                                                                  ,Damaged building                                  ,,A,H    ,mhonabl   ,,,ROOSEVELT GARDENS             ,Roosevelt Gardens,5,6,36.9225950820273,-76.2166868724543,"(36.9225950820273, -76.2166868724543)",2943,80,85,85
2507 VILLA CIRCLE                                                                                                                                                                                       ,09/01/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,TREE BLOCKING ROAD.,A,H    ,vsmith    ,,,PARK PLACE                    ,Villa Heights,3,7,36.8716351976656,-76.272814773281,"(36.8716351976656, -76.272814773281)",2943,93,94,94
7800 DIVEN STREET                                                                                                                                                                                       ,10/12/2018,Michael (10/11/2018)                                                                                ,Damaged tree(s)                                   ,,A,H    ,dleavel   ,,,NAVAL BASE                    ,,1,7,36.9206399418252,-76.2944331779291,"(36.9206399418252, -76.2944331779291)",2943,128,128,128
5800 BLOCK OF AZALEA GARDEN ROAD                                                                                                                                                                        ,10/09/2016,Hurricane Matthew (10/5/2016)                                                                       ,Down telephone line                               ,Communication wire hanging low.,B,H    ,daburto   ,rdelaha   ,28/10/2016,AZALEA                        ,Azalea Acres/ Azalea Lakes,4,7,36.8947080098511,-76.2168501481275,"(36.8947080098511, -76.2168501481275)",2943,125,125,125
E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE                                                                                                                                                            ,05/16/2014,Heavy Rain (5/16/2014)                                                                              ,Closed street                                     ,,I,H    ,sjwilli   ,,,TIDEWATER DRIVE INDUSTRIAL    ,Attucks/ Barberton/ Church,4,7,36.8544454891796,-76.2744784809662,"(36.8544454891796, -76.2744784809662)",2943,128,128,128
2480 TULLIBEE DRIVE                                                                                                                                                                                     ,09/01/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,"tree partially uprooted leaning towards street. top for removal leaning and storm damaged linden tree.
stump to be removed.",A,H    ,cefogel   ,,,SOUTH CAMELLIA                ,East Lynne/ Saratoga,5,6,36.913847460432,-76.2126666883692,"(36.913847460432, -76.2126666883692)",2943,24,28,28
LONGDALE DRIVE & N MILITARY HIGHWAY                                                                                                                                                                     ,10/29/2012,Sandy (10/28/2012)                                                                                  ,Damaged tree(s)                                   ,TREE BRANCH DOWN,I,H    ,pmcarte   ,pmcarte   ,29/10/2012,LARRYMORE                     ,No Civic League,3,6,36.9013103372464,-76.2283553842791,"(36.9013103372464, -76.2283553842791)",2943,71,77,77
BRIDLE WAY & TALLYHO TERRACE                                                                                                                                                                            ,08/28/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,6250 Bridleway - down tree and 10ft of sidewalk.,I,H    ,adavis    ,auwhite   ,01/09/2011,AZALEA                        ,Glengariff,4,6,36.9004141075299,-76.2158874353682,"(36.9004141075299, -76.2158874353682)",2943,35,40,40
735 37TH STREET                                                                                                                                                                                         ,10/11/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged building                                  ,,A,H    ,mstrale   ,,,PARK PLACE                    ,Kensington/ Old Dominion,2,7,36.8790841774256,-76.2943487668488,"(36.8790841774256, -76.2943487668488)",2943,46,51,51
1320 SUSSEX PLACE                                                                                                                                                                                       ,09/21/2016,unnamed  (9/20/2016)                                                                                ,Other                                             ,,A,H    ,nmoran    ,,,EDGEWATER - LARCHMONT         ,Larchmont/ Edgewater,2,6,36.8967184812067,-76.3058404946858,"(36.8967184812067, -76.3058404946858)",2943,49,54,54
1200 BLOCK OF W 39TH STREET                                                                                                                                                                             ,09/06/2011,Irene (8/27/2011)                                                                                   ,Other                                             ,PICK UP BRANCHES,B,H    ,auwhite   ,auwhite   ,06/09/2011,LAMBERTS POINT / ODU          ,Lamberts Point,2,7,36.8804798924526,-76.3038584187913,"(36.8804798924526, -76.3038584187913)",2943,48,53,53
1000 MONTICELLO AVENUE                                                                                                                                                                                  ,01/09/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,A,H    ,stjones   ,,,HUNTERSVILLE                  ,No Civic League,4,7,36.8592679888361,-76.2869599178921,"(36.8592679888361, -76.2869599178921)",2943,128,128,128
8000 BLOCK OF ARDMORE ROAD                                                                                                                                                                              ,09/17/2011,Irene (8/27/2011)                                                                                   ,Other                                             ,pick up debris ,B,H    ,auwhite   ,auwhite   ,17/09/2011,NORTH CHESAPEAKE BLVD.        ,No Civic League,5,6,36.9178300462928,-76.2437361214725,"(36.9178300462928, -76.2437361214725)",2943,126,126,126
3400 BLOCK OF CAPE HENRY AVENUE                                                                                                                                                                         ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,Need sand truck. The road is icy.,B,H    ,aminix    ,,,COLEMAN PLACE                 ,Coleman Place,3,7,36.865605646274,-76.2440150694092,"(36.865605646274, -76.2440150694092)",2943,18,20,20
SPRINGFIELD AVENUE & CAMPOSTELLA ROAD                                                                                                                                                                   ,08/28/2011,Irene (8/27/2011)                                                                                   ,Broken traffic signal                             ,"@1112 ON 08-28-11 FOUND IN FLASH AND MADE REPAIR ON SITE.  INTERSECTION FULLY OPERATIONAL.

Service #280236  - bdavis 8/28/2011 1:58:46 PM",I,H    ,bdamico   ,jriddic   ,28/08/2011,CAMPOSTELLA HEIGHTS           ,No Civic League,4,7,36.8338964259621,-76.2624523813432,"(36.8338964259621, -76.2624523813432)",2943,128,128,128
8722 SEMMES AVENUE                                                                                                                                                                                      ,10/12/2018,Michael (10/11/2018)                                                                                ,Debris blocking street                            ,CALLER REPORTS A LARGE TREE FELL IN THE MIDDLE OF STREET FROM THE STORM,A,H    ,lgraham   ,,,COMMODORE PARK                ,Northside,1,6,36.9373436956059,-76.2637040495006,"(36.9373436956059, -76.2637040495006)",2943,101,101,101
401 MONTICELLO AVENUE                                                                                                                                                                                   ,07/03/2014,Arthur (7/3/2014)                                                                                   ,Other                                             ,TEST,A,H    ,jcmarti   ,,,DOWNTOWN                      ,Downtown Norfolk Civic League,2,6,36.8511842692034,-76.2890930441767,"(36.8511842692034, -76.2890930441767)",2943,22,26,26
8200 BLOCK OF MERCER DRIVE                                                                                                                                                                              ,10/11/2016,Hurricane Matthew (10/5/2016)                                                                       ,Down light pole                                   ,assessment team,B,H    ,auwhite   ,,,OAKDALE FARMS                 ,Oakdale Farms/ Denby Park,2,7,36.9233308212099,-76.2547456634604,"(36.9233308212099, -76.2547456634604)",2943,119,119,119
5400 BLOCK OF CURLEW DRIVE                                                                                                                                                                              ,01/08/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,B,H    ,rdelaha   ,,,RIVER FORREST                 ,Elizabeth Park,4,7,36.8416213031385,-76.2164439430404,"(36.8416213031385, -76.2164439430404)",2943,27,34,34
8817 CHESAPEAKE BOULEVARD                                                                                                                                                                               ,09/08/2014,Rainy Monday (9/8/2014)                                                                             ,Damaged tree(s)                                   ,,A,H    ,wwalker   ,,,OCEANAIR                      ,Northside,5,6,36.9379714289667,-76.2454587803781,"(36.9379714289667, -76.2454587803781)",2943,101,101,101
9600 BLOCK OF 13TH VIEW STREET                                                                                                                                                                          ,09/07/2019,Dorian (9/5/2019)                                                                                   ,Other                                             ,,B,H    ,rrowlan   ,,,WILLOUGHBY                    ,Willoughby,1,6,36.9661426859527,-76.2880837729098,"(36.9661426859527, -76.2880837729098)",,98,31,31
1847 PARKVIEW AVENUE                                                                                                                                                                                    ,08/30/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,TREE UPROOTED,A,H    ,vsmith    ,,,SNUG HARBOR                   ,Bayview,5,6,36.9365961442892,-76.2249205055403,"(36.9365961442892, -76.2249205055403)",2943,103,103,103
800 BLOCK OF MANTEO STREET                                                                                                                                                                              ,09/01/2011,Irene (8/27/2011)                                                                                   ,Damaged tree(s)                                   ,,B,H    ,auwhite   ,auwhite   ,01/09/2011,GHENT                         ,Ghent Neighborhood League,2,6,36.8623626655816,-76.298819502766,"(36.8623626655816, -76.298819502766)",2943,33,38,38
7405 WEST KENMORE DRIVE                                                                                                                                                                                 ,10/11/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged tree(s)                                   ,Tree damage ,A,H    ,twhiteh   ,,,SUBURBAN                      ,Suburban Acres,2,6,36.9109765879318,-76.2685012697831,"(36.9109765879318, -76.2685012697831)",2943,127,127,127
E VIRGINIA BEACH BOULEVARD & N NEWTOWN ROAD                                                                                                                                                             ,01/07/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,I,H    ,bfeggin   ,bfeggin   ,07/01/2017,KEMPSVILLE                    ,No Civic League,4,7,36.8543268759125,-76.1777429629691,"(36.8543268759125, -76.1777429629691)",2951,128,128,128
LLEWELLYN AVENUE & W 27TH STREET                                                                                                                                                                        ,01/09/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,I,H    ,rdelaha   ,,,PARK PLACE                    ,Park Place,2,7,36.8727080442316,-76.2866975857825,"(36.8727080442316, -76.2866975857825)",2943,72,78,78
VIRGINIAN DRIVE & THOLE STREET                                                                                                                                                                          ,01/09/2017,Winter Storm Helena (1/6/2017)                                                                      ,Other                                             ,,I,H    ,mbudd     ,,,SUBURBAN                      ,No Civic League,2,6,36.90533025295,-76.2593651605312,"(36.90533025295, -76.2593651605312)",2943,127,127,127
1100 BLOCK OF E BALVIEW AVENUE                                                                                                                                                                          ,10/14/2016,Hurricane Matthew (10/5/2016)                                                                       ,Debris blocking street                            ,LIMBS ON THE CURB,B,H    ,bboyd     ,,,WILLOW TERRACE                ,Bayview,5,6,36.9435783633064,-76.2404177328574,"(36.9435783633064, -76.2404177328574)",2943,103,103,103
9600 BLOCK OF HAMMETT PARKWAY                                                                                                                                                                           ,10/14/2016,Hurricane Matthew (10/5/2016)                                                                       ,Debris blocking street                            ,LIMBS ON THE CURB,B,H    ,bboyd     ,rdelaha   ,20/10/2016,PINEWELL                      ,Greater Pinewell,5,6,36.9506864966903,-76.2488231925889,"(36.9506864966903, -76.2488231925889)",2943,102,102,102
CAMPOSTELLA ROAD & E BRAMBLETON AVENUE                                                                                                                                                                  ,09/30/2010,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,,I,H    ,fpicard   ,,,BRAMBLETON                    ,Chesterfield Heights,4,7,36.8438665653267,-76.266673790217,"(36.8438665653267, -76.266673790217)",2943,128,128,128
BOLLING AVENUE & HAMPTON BOULEVARD                                                                                                                                                                      ,10/02/2015,Joaquin (9/29/2015)                                                                                 ,Flooded street                                    ,,I,H    ,wwalker   ,,,EDGEWATER - LARCHMONT         ,Larchmont/ Edgewater,2,6,36.8912210628163,-76.303989443057,"(36.8912210628163, -76.303989443057)",2943,49,54,54
DANIEL AVENUE & MILSON AVENUE                                                                                                                                                                           ,10/11/2016,Hurricane Matthew (10/5/2016)                                                                       ,Down power line(s)                                ,"Power lines down, tree blocking entire section of Milson",I,H    ,rdelaha   ,,,NORTH SHORE                   ,Lochaven,1,6,36.9157686573965,-76.3099347192486,"(36.9157686573965, -76.3099347192486)",2943,52,58,58
9400 BLOCK OF WELLS PARKWAY                                                                                                                                                                             ,09/21/2016,unnamed  (9/20/2016)                                                                                ,Flooded street                                    ,,B,H    ,daburto   ,,,PINEWELL                      ,Greater Pinewell,5,6,36.9482659661922,-76.2532807238855,"(36.9482659661922, -76.2532807238855)",2943,102,102,102
GLENDALE AVENUE & HAMPTON BOULEVARD                                                                                                                                                                     ,12/30/2015,Heavy Rainfall (12/30/2015)                                                                         ,Flooded street                                    ,,I,H    ,aminix    ,,,SEWELLS POINT                 ,No Civic League,1,6,36.9275217290423,-76.3176128716891,"(36.9275217290423, -76.3176128716891)",2943,128,128,128
8613 EXECUTIVE DRIVE                                                                                                                                                                                    ,10/10/2016,Hurricane Matthew (10/5/2016)                                                                       ,Damaged building                                  ,,A,H    ,agonzal   ,aworrel   ,11/10/2016,COMMODORE PARK                ,Northside,1,6,36.9353642528134,-76.266444513109,"(36.9353642528134, -76.266444513109)",2943,101,101,101
9508 10TH BAY STREET                                                                                                                                                                                    ,08/11/2018,Thunderstorm (8/11/2018)                                                                            ,Damaged tree(s)                                   ,,A,H    ,wwalker   ,,,PRETTY LAKE                   ,East Ocean View,5,6,36.9293150978996,-76.2067046714311,"(36.9293150978996, -76.2067046714311)",2943,25,32,32
1200 BLOCK OF MONTICELLO AVENUE                                                                                                                                                                         ,10/08/2016,Hurricane Matthew (10/5/2016)                                                                       ,Flooded street                                    ,impassable,B,H    ,wwalker   ,rdelaha   ,12/10/2016,EAST 21st STREET / MONTICELLO ,No Civic League,2,6,36.8609474473593,-76.2866168253591,"(36.8609474473593, -76.2866168253591)",2943,128,128,128
8100 BLOCK OF PACE ROAD                                                                                                                                                                                 ,09/17/2011,Irene (8/27/2011)                                                                                   ,Other                                             ,pick up debris,B,H    ,auwhite   ,auwhite   ,17/09/2011,NORTH CAMELLIA                ,Camellia Gardens,5,6,36.9226238012925,-76.2003005469172,"(36.9226238012925, -76.2003005469172)",2943,13,15,15
