"area_type","area_name","period","soc_level","standard_occupational_classification","occupational_title","base_year_employment_estimate","projected_year_employment_estimate","numeric_change","percentage_change","exits","transfers","median_hourly_wage","total_job_openings","median_annual_wage","entry_level_education","work_experience","job_training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1081","Logisticians","80","80","0","0.0","20","60","42.39","80","88170","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1111","Management Analysts","210","220","10","4.8","70","140","36.47","220","75851","Bachelor's degree","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1121","Meeting, Convention, and Event Planners","30","30","0","0.0","10","30","21.08","40","43830","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1151","Training and Development Specialists","140","150","10","7.1","40","110","30.22","160","62849","Bachelor's degree","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-1161","Market Research Analysts and Marketing Specialists","120","150","30","25.0","30","110","35.32","170","73458","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","13-2000","Financial Specialists","1170","1300","130","11.1","320","780","0.00","1230","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-2011","Accountants and Auditors","490","530","40","8.2","140","330","35.54","510","73926","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-2031","Budget Analysts","60","60","0","0.0","20","30","31.27","50","65038","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-2072","Loan Officers","190","230","40","21.1","50","120","26.32","210","54755","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","13-2099","Financial Specialists, All Other","80","90","10","12.5","20","50","0.00","80","0","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","15-0000","Computer and Mathematical Occupations","1110","1230","120","10.8","200","660","38.06","980","79152","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","15-1100","Computer Occupations","1070","1160","90","8.4","190","630","0.00","910","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","15-1151","Computer User Support Specialists","130","150","20","15.4","30","90","0.00","140","0","Some college, no degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","15-1152","Computer Network Support Specialists","40","40","0","0.0","10","30","0.00","40","0","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","15-2000","Mathematical Science Occupations","50","60","10","20.0","10","30","0.00","50","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","17-0000","Architecture and Engineering Occupations","340","380","40","11.8","90","210","41.29","340","85883","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","17-1000","Architects, Surveyors, and Cartographers","30","40","10","33.3","10","20","0.00","40","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","17-2000","Engineers","180","200","20","11.1","40","90","0.00","150","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","17-2051","Civil Engineers","50","70","20","40.0","10","30","0.00","60","0","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","17-2112","Industrial Engineers","50","50","0","0.0","10","30","47.82","40","99469","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","17-3000","Drafters, Engineering Technicians, and Mapping Technicians","130","150","20","15.4","40","100","0.00","160","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","17-3022","Civil Engineering Technicians","30","30","0","0.0","10","20","28.05","30","58335","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","19-0000","Life, Physical, and Social Science Occupations","540","600","60","11.1","120","470","35.52","650","73871","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","19-1000","Life Scientists","110","120","10","9.1","20","100","0.00","130","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","19-1012","Food Scientists and Technologists","60","60","0","0.0","10","60","37.81","70","78662","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","19-2000","Physical Scientists","60","70","10","16.7","10","60","0.00","80","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","19-2041","Environmental Scientists and Specialists, Including Health","30","30","0","0.0","10","20","37.29","30","77579","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","19-3000","Social Scientists and Related Workers","180","190","10","5.6","50","110","0.00","170","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","19-3031","Clinical, Counseling, and School Psychologists","120","120","0","0.0","30","60","49.11","90","102145","Doctoral or professional degree","None","Internship/residency"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","19-4000","Life, Physical, and Social Science Technicians","190","220","30","15.8","40","200","0.00","270","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","19-4011","Agricultural and Food Science Technicians","140","160","20","14.3","30","150","0.00","200","0","Associate's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","21-0000","Community and Social Service Occupations","1650","1740","90","5.5","560","1210","29.03","1860","60378","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","21-1000","Counselors, Social Workers, and Other Community and Social Service Specialists","1610","1700","90","5.6","550","1180","0.00","1820","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1012","Educational, Guidance, School, and Vocational Counselors","200","220","20","10.0","70","150","41.27","240","85843","Master's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1015","Rehabilitation Counselors","80","80","0","0.0","30","60","0.00","90","0","Master's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1018","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","120","120","0","0.0","40","80","25.66","120","53381","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1021","Child, Family, and School Social Workers","120","120","0","0.0","40","80","31.07","120","64627","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1022","Healthcare Social Workers","70","80","10","14.3","20","50","28.00","80","58233","Master's degree","None","Internship/residency"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1029","Social Workers, All Other","120","130","10","8.3","40","90","0.00","140","0","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1091","Health Educators","40","40","0","0.0","20","30","33.75","50","70204","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1092","Probation Officers and Correctional Treatment Specialists","70","70","0","0.0","20","40","0.00","60","0","Bachelor's degree","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1093","Social and Human Service Assistants","310","320","10","3.2","130","250","26.01","390","54096","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","21-1099","Community and Social Service Specialists, All Other","140","150","10","7.1","50","110","26.05","170","54178","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","21-2000","Religious Workers","40","40","0","0.0","20","30","0.00","50","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","23-1000","Lawyers, Judges, and Related Workers","340","390","50","14.7","70","100","0.00","220","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","23-1012","Judicial Law Clerks","50","50","0","0.0","10","20","0.00","30","0","Doctoral or professional degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","23-2000","Legal Support Workers","130","150","20","15.4","50","100","0.00","170","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","23-2011","Paralegals and Legal Assistants","90","120","30","33.3","40","80","27.55","150","57303","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","25-0000","Education, Training, and Library Occupations","7770","8310","540","6.9","3470","3970","25.94","7980","53953","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","25-1000","Postsecondary Teachers","540","590","50","9.3","210","260","0.00","520","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","25-2000","Preschool, Primary, Secondary, and Special Education School Teachers","3490","3710","220","6.3","1120","1600","0.00","2940","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-2011","Preschool Teachers, Except Special Education","170","180","10","5.9","70","100","20.81","180","43289","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-2012","Kindergarten Teachers, Except Special Education","180","190","10","5.6","70","110","0.00","190","106047","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-2021","Elementary School Teachers, Except Special Education","1700","1800","100","5.9","540","750","0.00","1390","93238","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-2022","Middle School Teachers, Except Special and Career/Technical Education","380","410","30","7.9","120","170","0.00","320","81205","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-2052","Special Education Teachers, Kindergarten and Elementary School","50","50","0","0.0","20","20","0.00","40","101563","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","25-3000","Other Teachers and Instructors","1880","2040","160","8.5","1130","1100","0.00","2390","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-3097","Teachers and Instructors, All Other, Except Substitute Teachers","130","140","10","7.7","80","80","0.00","170","0","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-3098","Substitute Teachers","1700","1800","100","5.9","1010","980","0.00","2090","0","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","25-4000","Librarians, Curators, and Archivists","120","120","0","0.0","90","70","0.00","160","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-4031","Library Technicians","90","80","-10","-11.1","80","60","21.49","130","44709","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","25-9000","Other Education, Training, and Library Occupations","1750","1860","110","6.3","910","940","0.00","1960","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-9041","Teacher Assistants","1380","1460","80","5.8","750","740","0.00","1570","0","Some college, no degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","25-9099","Education, Training, and Library Workers, All Other","180","200","20","11.1","80","100","24.50","200","50981","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","480","510","30","6.3","210","350","25.52","590","53064","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","27-1000","Art and Design Workers","140","130","-10","-7.1","50","90","0.00","130","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","27-1024","Graphic Designers","70","60","-10","-14.3","20","40","30.58","50","63606","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","27-2000","Entertainers and Performers, Sports and Related Workers","100","130","30","30.0","60","100","0.00","190","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","27-2022","Coaches and Scouts","80","100","20","25.0","50","80","0.00","150","51440","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","27-3000","Media and Communication Workers","240","250","10","4.2","100","160","0.00","270","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","27-3031","Public Relations Specialists","40","40","0","0.0","10","30","34.16","40","71052","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","27-3043","Writers and Authors","40","30","-10","-25.0","10","20","0.00","20","0","Bachelor's degree","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","27-3091","Interpreters and Translators","90","90","0","0.0","40","50","20.00","90","41604","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","29-0000","Healthcare Practitioners and Technical Occupations","3220","3890","670","20.8","890","1100","42.29","2660","87967","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","29-1000","Health Diagnosing and Treating Practitioners","1910","2320","410","21.5","500","490","0.00","1400","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1021","Dentists, General","80","90","10","12.5","20","10","0.00","40","0","Doctoral or professional degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1051","Pharmacists","180","190","10","5.6","40","40","74.97","90","155935","Doctoral or professional degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1069","Physicians and Surgeons, All Other","90","110","20","22.2","20","10","0.00","50","0","Doctoral or professional degree","None","Internship/residency"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1071","Physician Assistants","30","40","10","33.3","10","10","61.81","30","128549","Master's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1123","Physical Therapists","80","100","20","25.0","20","20","52.50","60","109203","Doctoral or professional degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1127","Speech-Language Pathologists","100","120","20","20.0","20","40","47.01","80","97773","Master's degree","None","Internship/residency"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1131","Veterinarians","40","50","10","25.0","10","10","44.89","30","93371","Doctoral or professional degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1141","Registered Nurses","950","1170","220","23.2","290","270","49.62","780","103207","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-1171","Nurse Practitioners","60","90","30","50.0","10","30","67.45","70","140296","Master's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","29-2000","Health Technologists and Technicians","1170","1420","250","21.4","360","560","0.00","1170","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2010","Clinical Laboratory Technologists and Technicians","30","40","10","33.3","10","10","0.00","30","0","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2021","Dental Hygienists","80","90","10","12.5","40","20","0.00","70","0","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2032","Diagnostic Medical Sonographers","30","30","0","0.0","10","10","56.19","20","116874","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2034","Radiologic Technologists","60","70","10","16.7","20","20","0.00","50","0","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2051","Dietetic Technicians","100","120","20","20.0","30","60","17.27","110","35935","Associate's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2052","Pharmacy Technicians","140","170","30","21.4","40","80","19.00","150","39510","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2061","Licensed Practical and Licensed Vocational Nurses","100","120","20","20.0","40","50","24.27","110","50480","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2071","Medical Records and Health Information Technicians","80","100","20","25.0","30","30","0.00","80","0","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-2099","Health Technologists and Technicians, All Other","150","190","40","26.7","50","70","0.00","160","0","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","29-9000","Other Healthcare Practitioners and Technical Occupations","140","150","10","7.1","30","50","0.00","90","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-9011","Occupational Health and Safety Specialists","50","50","0","0.0","10","20","0.00","30","0","Bachelor's degree","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","29-9099","Healthcare Practitioners and Technical Workers, All Other","70","80","10","14.3","20","30","0.00","60","0","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","31-0000","Healthcare Support Occupations","1540","1780","240","15.6","770","1110","12.97","2120","26967","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","31-1000","Nursing, Psychiatric, and Home Health Aides","570","600","30","5.3","310","340","0.00","680","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","31-2000","Occupational Therapy and Physical Therapist Assistants and Aides","40","60","20","50.0","20","40","0.00","80","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","31-2022","Physical Therapist Aides","30","40","10","33.3","20","30","12.96","60","26946","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","31-9000","Other Healthcare Support Occupations","930","1120","190","20.4","440","730","0.00","1360","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","31-9091","Dental Assistants","200","230","30","15.0","100","140","18.28","270","38020","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","31-9092","Medical Assistants","430","560","130","30.2","190","350","14.60","670","30356","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","31-9095","Pharmacy Aides","110","100","-10","-9.1","50","80","13.30","120","27668","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","31-9097","Phlebotomists","90","110","20","22.2","40","70","22.98","130","47795","Postsecondary non-degree award","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","31-9099","Healthcare Support Workers, All Other","40","40","0","0.0","20","30","17.88","50","37196","High school diploma or equivalent","None","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","33-0000","Protective Service Occupations","1350","1480","130","9.6","660","890","23.74","1680","49392","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","33-1000","Supervisors of Protective Service Workers","60","70","10","16.7","20","30","0.00","60","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","33-2000","Fire Fighting and Prevention Workers","80","100","20","25.0","20","50","0.00","90","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","33-2011","Firefighters","80","100","20","25.0","20","50","0.00","90","0","Postsecondary non-degree award","None","Long-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","33-3000","Law Enforcement Workers","660","720","60","9.1","220","330","0.00","610","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","33-3012","Correctional Officers and Jailers","310","360","50","16.1","130","170","0.00","350","0","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","33-3051","Police and Sheriff's Patrol Officers","320","340","20","6.3","80","150","54.12","250","112565","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","33-9000","Other Protective Service Workers","550","600","50","9.1","410","480","0.00","940","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","33-9032","Security Guards","360","390","30","8.3","190","290","14.31","510","29769","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","33-9099","Protective Service Workers, All Other","130","140","10","7.7","180","150","0.00","340","0","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","2","35-0000","Food Preparation and Serving Related Occupations","5910","6470","560","9.5","4280","6200","12.63","11040","26277","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","35-1000","Supervisors of Food Preparation and Serving Workers","540","600","60","11.1","230","610","0.00","900","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-1012","First-Line Supervisors of Food Preparation and Serving Workers","430","480","50","11.6","200","490","16.87","740","35094","High school diploma or equivalent","<5 years","None"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","35-2000","Cooks and Food Preparation Workers","1810","1800","-10","-0.6","1020","1630","0.00","2640","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-2011","Cooks, Fast Food","1040","960","-80","-7.7","530","880","12.36","1330","25710","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-2012","Cooks, Institution and Cafeteria","210","210","0","0.0","110","180","17.61","290","36629","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-2014","Cooks, Restaurant","190","230","40","21.1","110","180","14.20","330","29553","No formal educational credential","<5 years","Moderate-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-2021","Food Preparation Workers","290","310","20","6.9","220","300","13.23","540","27513","No formal educational credential","None","Short-term on-the-job training"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","3","35-3000","Food and Beverage Serving Workers","2990","3440","450","15.1","2470","3360","0.00","6280","0","N/A","N/A","N/A"
"Metropolitan Area","Merced MSA (Merced County)","2018-2028","4","35-3021","Combined Food Preparation and Serving Workers, Including Fast Food","1940","2310","370","19.1","1690","2090","0.00","4150","0","No formal educational credential","None","Short-term on-the-job training"
