"the_geom","tax_year","roll_num","address","year_built","assessclas","bldg_desc","bldg_metre","bldg_feet","garage","fireplace","basement","bsmtdevl","assessment","latitude","longitude"
"POINT (-113.26316953410394 53.52055753081512)","2017","7383127000","297 FOXBORO PT","2003","Residential","Split Entry & Bonus Upper","131","1405","Y","Y","Y","Y","445000","53.5205145365","-113.2634396944"
"POINT (-112.90357435512723 53.38924802504077)","2017","1008101006","51144 RNG RD 204","2008","Residential","1 Storey Basementless","167","1800","Y","N","N","N","390000","53.3896966353","-112.9050870436"
"POINT (-112.89243112848946 53.40979694995902)","2017","1016333005","9 51263 RNG RD 204","1998","Residential","1 Storey Basementless","106","1140","Y","Y","N","N","356000","53.4100584952","-112.8926387115"
"POINT (-113.25032726313651 53.51432998589107)","2017","7392024002","97 RIDGEBROOK CL","2004","Residential","1 Storey & Basement","130","1401","Y","Y","Y","Y","526000","53.5144834661","-113.2504478359"
"POINT (-113.27928509617009 53.51483589132096)","2017","7063187001","420 NORWAY CR","2002","Residential","2 Storey & Basement","203","2185","Y","Y","Y","Y","504000","53.5147208494","-113.2795180665"
"POINT (-112.86071257685903 53.368013587691145)","2017","1003103007","13 20212 TWP RD 510","2000","Residential","1 Storey & Basement","114","1224","Y","Y","Y","Y","412000","53.3682887345","-112.8623147766"
"POINT (-113.32143549832573 53.51769342277753)","2017","7520190005","787 VILLAGE DR","1980","Residential Condominium","2 Storey & Basement","105","1133","N","N","Y","Y","225000","53.5174913477","-113.3217174757"
"POINT (-113.0609729980684 53.38678812991597)","2017","1108516004","169 51110 RNG RD 214","2005","Residential","Split Entry","139","1498","Y","Y","Y","Y","569000","53.3865390251","-113.0620291292"
"POINT (-113.250305030096 53.51353881884117)","2017","7393003009","9 RIDGEBROOK WY","2004","Residential","Split Entry","119","1281","Y","Y","Y","Y","464000","53.5136924466","-113.2504165273"
"POINT (-113.2802295214414 53.51375415050601)","2017","7219001009","79 NEWCASTLE CR","2003","Residential","2 Storey & Basement","136","1462","Y","Y","Y","Y","423000","53.5137348467","-113.2804930482"
"POINT (-113.26902784040985 53.51938440193119)","2017","7211125001","85 NOTTINGHAM PT","2004","Residential","2 Storey & Basement","213","2291","Y","Y","Y","Y","555000","53.5193986006","-113.2692514402"
"POINT (-113.25705799834701 53.52529870675715)","2017","7360019009","367 FOXBORO WY","2003","Residential","Split Entry & Bonus Upper","130","1400","Y","Y","Y","Y","450000","53.5253629464","-113.257317325"
"POINT (-113.25825719913531 53.55348425719926)","2017","8024025002","174 SUNFLOWER CR","2003","Residential","2 Storey & Basement","206","2217","Y","Y","Y","Y","521000","53.553415975","-113.2585230887"
"POINT (-113.26355587948882 53.5232152406154)","2017","7253009004","528 FORREST DR","2002","Residential","2 Storey & Basement","202","2175","Y","Y","Y","Y","519000","53.5232635112","-113.2638267933"
"POINT (-113.30243151136236 53.529255010406125)","2017","7520564001","47, 2131 OAK ST","1983","Residential Condominium","2 Storey & Basement","109","1170","N","N","Y","Y","227000","53.5301184283","-113.3033310255"
"POINT (-113.25796128021594 53.520968218647226)","2017","7384148004","38 FOXBORO GROVE","2002","Residential","2 Storey & Basement","168","1813","Y","Y","Y","Y","431000","53.5209162179","-113.2581948601"
"POINT (-113.29840735438579 53.398290561874546)","2017","1315502102","51214 RNG RD 232","2004","Residential","1 Storey Slab on Grade","201","2160","Y","Y","N","N","700000","53.3978340461","-113.2954325063"
"POINT (-113.32223105081559 53.53138953349034)","2017","7520155008","525 WOODBRIDGE WY","1980","Residential Condominium","2 Storey & Basement","141","1521","N","Y","Y","Y","271000","53.5320005115","-113.3233104121"
"POINT (-112.88985434169946 53.425910031253274)","2017","1028700001",,"1968","Exempt / Farmland / Residential","2 Storey Basementless","102","1101","Y","Y","N","N","300060","53.4254452517","-112.8896903636"
"POINT (-113.32143549832573 53.51769342277753)","2017","7520201000","787 VILLAGE DR","1980","Residential Condominium","2 Storey & Basement","105","1133","N","N","Y","N","231000","53.5174913477","-113.3217174757"
"POINT (-113.25710760535455 53.524361162002336)","2017","7360028009","403 FOXBORO WY","2003","Residential","Split Entry & Bonus Upper","125","1341","Y","Y","Y","Y","431000","53.5243093996","-113.2573789917"
"POINT (-113.26117412348502 53.52457496059995)","2017","7251129006","533 FORREST DR","2003","Residential","2 Storey & Basement","152","1636","Y","Y","Y","Y","425000","53.5246917858","-113.2613485949"
"POINT (-113.32143549832573 53.51769342277753)","2017","7520187001","787 VILLAGE DR","1980","Residential Condominium","2 Storey & Basement","105","1133","N","N","Y","Y","229000","53.5174913477","-113.3217174757"
"POINT (-113.14151628909443 53.372168647045626)","2017","1202702303","23 51025 RNG RD 222","2009","Residential Condominium","2 Storey & Basement","351","3774","Y","Y","Y","Y","921000","53.3717818426","-113.1412267842"
"POINT (-113.2740988644919 53.54917332734685)","2017","8109019000","401 CRANBERRY WY","2003","Residential","2 Storey & Basement","125","1342","Y","Y","Y","N","340000","53.5492255265","-113.2743741842"
"POINT (-113.3320610059713 53.49613224841495)","2017","2316101372","734 52304 RNG RD 233","2005","Residential","2 Storey & Basement","244","2630","Y","Y","Y","Y","844000","53.4960003367","-113.3321206113"
"POINT (-113.25365803221409 53.526684591925985)","2017","7326075002","303 FOXHAVEN BAY","2003","Residential","Split Entry & Bonus Upper","136","1461","Y","Y","Y","Y","485000","53.5268745417","-113.2533916456"
"POINT (-113.27078790781992 53.54354227800952)","2017","8056010007","38 CAVAN RD","2003","Residential","Split Entry & Bonus Upper","118","1267","Y","N","Y","Y","410000","53.5435964947","-113.2710441265"
"POINT (-113.30243151136236 53.529255010406125)","2017","7520540001","47, 2131 OAK ST","1983","Residential Condominium","2 Storey & Basement","109","1170","N","Y","Y","Y","236000","53.5301184283","-113.3033310255"
"POINT (-113.32222985506155 53.528862388141775)","2017","7520050001","246 WOODBRIDGE WY","1978","Residential Condominium","2 Storey & Basement","97","1044","N","N","Y","Y","233000","53.5286850865","-113.3234136847"
"POINT (-113.27345477117579 53.55018479572364)","2017","8109005001","18 CONNOR LN","2003","Residential","2 Storey & Basement","155","1665","N","Y","Y","N","353000","53.550148225","-113.273730197"
"POINT (-113.2649318774737 53.51969179578535)","2017","7383105008","209 FOXBORO TERR","2002","Residential","2 Storey & Basement","132","1424","Y","Y","Y","Y","387000","53.5197141228","-113.2651579527"
"POINT (-113.01885375725676 53.37638350409593)","2017","1103300207","51051 RNG RD 213","1965","Exempt / Farmland / Residential","1 Storey & Basement","128","1383","N","Y","Y","Y","373320","53.377641733","-113.0201962076"
"POINT (-113.01130250384925 53.38031001540931)","2017","1103115000","229 51058 RNG RD 212","1996","Residential","1 1/2 Storey & Basement","164","1764","Y","Y","Y","Y","472000","53.3800294284","-113.0128168441"
"POINT (-113.25166673012623 53.51597223016739)","2017","7392001002","1 RIDGEBROOK CRT","2003","Residential","Split Entry","118","1265","Y","Y","Y","Y","455000","53.516033519","-113.2518757142"
"POINT (-113.32143549832573 53.51769342277753)","2017","7520196002","787 VILLAGE DR","1980","Residential Condominium","2 Storey & Basement","107","1151","N","N","Y","N","234000","53.5174913477","-113.3217174757"
"POINT (-113.0788994734328 53.539196018719565)","2017","2131101301","21511A TWP RD 530","2006","Residential","1 Storey & Basement","263","2827","Y","Y","Y","Y","853010","53.5409933363","-113.0804146216"
"POINT (-113.28136882845399 53.513827278202164)","2017","7063227003","220 NEWCASTLE CR","2003","Residential","2 Storey & Basement","207","2229","Y","Y","Y","Y","525000","53.5139695787","-113.2815225703"
"POINT (-113.25359380082632 53.55487807506163)","2017","8024063006","29 SUNFLOWER CR","2002","Residential","Split Entry & Bonus Upper","148","1591","Y","Y","Y","Y","451000","53.5547659064","-113.2539276005"
"POINT (-113.2543449509142 53.55338368586779)","2017","8023022007","255 SUNFLOWER CR","2003","Residential","2 Storey & Basement","212","2278","Y","Y","Y","N","507000","53.5535088174","-113.2545023903"
"POINT (-113.28107498855061 53.51492809012311)","2017","7063195003","436 NORWAY CR","2003","Residential","Split Entry & Bonus Upper","170","1828","Y","Y","Y","Y","535000","53.5150855139","-113.2811894633"
"POINT (-112.92213159014216 53.40399729742221)","2017","1017347004","269 51268 RNG RD 204","1979","Residential","1 1/2 Storey & Basement","107","1152","N","Y","Y","N","285000","53.4039552785","-112.9224683385"
"POINT (-113.32143549832573 53.51769342277753)","2017","7520176004","787 VILLAGE DR","1980","Residential Condominium","2 Storey & Basement","105","1133","N","N","Y","Y","225000","53.5174913477","-113.3217174757"
"POINT (-113.25131976942193 53.513150352929166)","2017","7390121006","90 RIDGEBROOK RD","2004","Residential","Split Entry","117","1264","Y","Y","Y","Y","458000","53.5131958516","-113.2515884091"
"POINT (-113.29047486725749 53.545366692361085)","2017","8530200346","34, 101 JIM COMMON DR","2003","Residential Condominium","Split Entry","113","1219","N","Y","Y","Y","384000","53.5452568839","-113.2907447577"
"POINT (-113.25199452804263 53.51556512167317)","2017","7390100003","6 RIDGEBROOK RD","2004","Residential","1 Storey & Basement","133","1430","Y","Y","Y","Y","592000","53.5154355533","-113.252244215"
"POINT (-113.25817541218815 53.55483629040729)","2017","8024037005","130 SUNFLOWER CR","2003","Residential","1 Storey & Basement","101","1087","Y","Y","Y","N","378000","53.554906779","-113.2584318619"
"POINT (-113.00668140253637 53.445063180848784)","2017","1134209004","147 51551 RNG RD 212A","1990","Residential","1 Storey & Basement","111","1200","Y","Y","Y","Y","461000","53.4447588588","-113.0069214115"
"POINT (-113.05419088950917 53.38185484660127)","2017","1108505007",,"1979","Residential","2 Storey & Basement","119","1282","Y","Y","Y","Y","431000","53.3825264662","-113.0542225278"
"POINT (-113.24921743264974 53.5525064755365)","2017","8028026003","92 CROCUS CR","2002","Residential","2 Storey & Basement","134","1442","Y","N","Y","N","376000","53.552538358","-113.2494800481"
"POINT (-113.32222985506155 53.528862388141775)","2017","7520052007","246 WOODBRIDGE WY","1978","Residential Condominium","2 Storey & Basement","97","1044","N","N","Y","Y","226000","53.5286850865","-113.3234136847"
"POINT (-113.32222985506155 53.528862388141775)","2017","7520081006","246 WOODBRIDGE WY","1978","Residential Condominium","2 Storey & Basement","97","1044","N","N","Y","Y","236000","53.5286850865","-113.3234136847"
"POINT (-112.92351834544402 53.46760917519674)","2017","2005300005","52073C RNG RD 205","1992","Residential","1 Storey & Bonus Upper","276","2971","Y","Y","Y","N","945000","53.4669486247","-112.9204675988"
"POINT (-113.14464697544487 53.37080822516174)","2017","1202702802","28 51025 RNG RD 222","2006","Residential Condominium","1 Storey & Basement","207","2228","Y","Y","Y","Y","697000","53.3705620721","-113.1443994245"
"POINT (-113.28043287040231 53.489473262321034)","2017","2314511701","206 52224 RNG RD 231","2005","Residential","1 Storey & Basement","314","3379","Y","Y","Y","Y","1470000","53.489007094","-113.2809733882"
"POINT (-113.26205515034984 53.52383987537711)","2017","7251138006","569 FORREST DR","2004","Residential","2 Storey & Basement","206","2217","Y","Y","Y","Y","516000","53.5239751562","-113.2621763217"
"POINT (-113.07358400086021 53.38755743598937)","2017","1108702000","325 51069 RNG RD 215","2001","Residential","1 Storey & Basement","135","1452","Y","Y","Y","Y","551000","53.3883919266","-113.0740753996"
"POINT (-113.09810136132054 53.38384278486212)","2017","1107701003","2 51109 RNG RD 220","1980","Residential","1 3/4 Storey & Basement","147","1585","Y","Y","Y","N","397000","53.3846785684","-113.0986239036"
"POINT (-112.91311344409385 53.37711107195473)","2017","1005111008","157 51042 RNG RD 204","2003","Residential","1 1/2 Sty. Slab on Grade","149","1600","N","Y","N","N","333000","53.3775385493","-112.9128978806"
"POINT (-112.90712056496574 53.37498898701573)","2017","1005105000","25 51042 RNG RD 204","1998","Residential","1 Storey Slab on Grade","99","1063","Y","N","N","N","302000","53.3743449247","-112.909100647"
"POINT (-113.01097073033571 53.447874780400916)","2017","1134181005","70 51551 RNG RD 212A","1978","Residential","Split Entry","75","803","N","N","Y","Y","189000","53.4477924428","-113.0112694605"
"POINT (-113.28270553634452 53.51563378015169)","2017","7063206009","462 NORWAY CR","2005","Residential","1 Storey & Basement","160","1726","Y","Y","Y","Y","650000","53.5158254803","-113.2829838097"
"POINT (-113.08057305686307 53.383642977724165)","2017","1107503003","51112 RNG RD 215","1974","Residential","1 Storey & Basement","146","1567","Y","Y","Y","Y","552000","53.3836182982","-113.0865947793"
"POINT (-113.25367513803864 53.55365947869697)","2017","8023043003","6 SUNFLOWER WY","2005","Residential","Split Entry","119","1285","Y","N","Y","Y","445000","53.5535024197","-113.2535689595"
"POINT (-112.94507206077316 53.38778087205667)","2017","1007703000","51137 RNG RD 210","2000","Exempt / Farmland / Residential","2 Storey & Basement","166","1785","Y","Y","Y","Y","467940","53.3886601121","-112.9512189983"
"POINT (-113.0020986207476 53.38059511737314)","2017","1103122006","50 51058 RNG RD 212","2009","Residential","1 Storey & Bonus Upper","226","2434","Y","Y","Y","Y","809000","53.3798316789","-113.0033735171"
"POINT (-113.32478508743236 53.49695274026271)","2017","2316104609","617 52304 RNG RD 233","2003","Residential","1 Storey & Basement","215","2309","Y","Y","Y","Y","941000","53.4968998228","-113.3251771409"
"POINT (-113.32223105081559 53.53138953349034)","2017","7520112009","525 WOODBRIDGE WY","1980","Residential Condominium","2 Storey & Basement","142","1530","N","Y","Y","N","269000","53.5320005115","-113.3233104121"
"POINT (-112.90762018946374 53.450564036840746)","2017","1032101006","51513 RNG RD 204A","1977","Exempt / Farmland / Residential","1 1/2 Storey & Basement","448","4822","Y","Y","Y","Y","1015350","53.4469718192","-112.9037136067"
"POINT (-113.25975933802239 53.5346283433346)","2017","7318051008","106 HIGHGROVE CR","2003","Residential","1 Storey & Basement","127","1372","Y","Y","Y","Y","518000","53.5344989995","-113.2599000121"
"POINT (-113.3265607997437 53.49724467758765)","2017","2316104550","637 52304 RNG RD 233","2002","Residential","1 Storey & Basement","198","2128","Y","Y","Y","Y","879000","53.4970093182","-113.3263745328"
"POINT (-113.18316771266946 53.43603314388675)","2017","1228401003","22348 HWY 14","2003","Exempt / Farmland / Non-Residential / Residential","1 Storey Slab on Grade","111","1200","N","N","N","N","630400","53.4327297155","-113.1847047486"
"POINT (-113.26510478815983 53.52013344659124)","2017","7383109009","225 FOXBORO TERR","2002","Residential","2 Storey & Basement","151","1628","Y","Y","Y","Y","409000","53.5201101162","-113.265344725"
"POINT (-112.92036856922736 53.429768931015964)","2017","1029702006","51429 RNG RD 205","2014","Exempt / Farmland / Residential","1 Storey & Basement","203","2187","Y","Y","Y","Y","707610","53.4288529195","-112.9264318099"
"POINT (-113.26014554421936 53.5352604612284)","2017","7315007002","97 HIGHGROVE CR","2003","Residential","2 Storey & Basement","149","1605","Y","Y","Y","Y","445000","53.5350546316","-113.2600792255"
"POINT (-112.95036271678708 53.46631300898417)","2017","2006311001","199 52065 RNG RD 210","1970","Residential","1 Storey & Basement","71","767","Y","N","Y","N","222000","53.466273449","-112.9506803708"
"POINT (-113.25516459764528 53.5536393591477)","2017","8023036006","34 SUNFLOWER WY","2003","Residential","Split Entry","128","1378","Y","Y","Y","Y","445000","53.5537998343","-113.2552701648"
"POINT (-113.27962435110324 53.51354972555925)","2017","7063263003","68 NEWCASTLE CR","2003","Residential","Split Entry & Bonus Upper","132","1421","Y","Y","Y","Y","492000","53.513360459","-113.2798280261"
"POINT (-113.25792269730822 53.52245327994165)","2017","7324033004","466 FOXBORO WY","2003","Residential","2 Storey & Basement","169","1814","Y","Y","Y","N","426000","53.5225051324","-113.2581940149"
"POINT (-113.30243151136236 53.529255010406125)","2017","7520537007","47, 2131 OAK ST","1983","Residential Condominium","2 Storey & Basement","109","1170","N","N","Y","Y","238000","53.5301184283","-113.3033310255"
"POINT (-112.8985195203736 53.37077666867663)","2017","1004513006","51021 RNG RD 204","1976","Residential","1 Storey & Basement","100","1079","N","Y","Y","Y","318000","53.3714559126","-112.9017254587"
"POINT (-113.32222985506155 53.528862388141775)","2017","7520087003","246 WOODBRIDGE WY","1978","Residential Condominium","Split Entry","80","864","N","N","Y","Y","232000","53.5286850865","-113.3234136847"
"POINT (-113.23566744232124 53.51155640878364)","2017","2219301100","103 22559 WYE RD","2009","Residential","2 Storey & Basement","248","2672","Y","Y","Y","N","698000","53.511846989","-113.2374267617"
"POINT (-113.25710833137708 53.52295254191254)","2017","7361008006","453 FOXBORO WY","2003","Residential","1 Storey & Basement","110","1179","Y","Y","Y","Y","411000","53.522903394","-113.2568369964"
"POINT (-112.88672083052637 53.44366857230206)","2017","1033501006","20322 TWP RD 515","2012","Exempt / Farmland / Residential","1 Storey & Basement","172","1853","Y","Y","Y","N","301760","53.4414997437","-112.8897397914"
"POINT (-113.26412657845742 53.520032800734526)","2017","7383114008","245 FOXBORO TERR","2002","Residential","2 Storey & Basement","168","1812","Y","Y","Y","Y","437000","53.5199397279","-113.2643826396"
"POINT (-113.30243151136236 53.529255010406125)","2017","7520504007","47, 2131 OAK ST","1983","Residential Condominium","2 Storey & Basement","109","1170","N","N","Y","Y","227000","53.5301184283","-113.3033310255"
"POINT (-112.8637854237028 53.37761712887899)","2017","1003150008","326 20212 TWP RD 510","1995","Residential","1 Storey & Basement","132","1416","Y","Y","Y","Y","452000","53.3780121793","-112.8650171599"
"POINT (-112.8725960613081 53.369796605879216)","2017","1003703004","20262 TWP RD 510","1977","Exempt / Farmland / Residential","1 Storey & Basement","147","1580","Y","Y","Y","N","405580","53.3725071491","-112.8741203161"
"POINT (-113.2818830583372 53.513355378280735)","2017","7219018002","191 NEWCASTLE CR","2003","Residential","2 Storey & Basement","176","1895","Y","Y","Y","Y","454000","53.5132021006","-113.2817943619"
"POINT (-112.89462772963027 53.40965575218845)","2017","1016327007","21 51263 RNG RD 204","1990","Residential","1 Storey Basementless","71","767","N","Y","N","N","199000","53.4098123226","-112.8949809983"
"POINT (-113.05168711549875 53.38357246375375)","2017","1108539006","14 51110 RNG RD 214","1983","Residential","2 Storey & Basement","185","1990","Y","Y","Y","Y","497000","53.3843438971","-113.0522308372"
"POINT (-113.04886694374456 53.374736197001596)","2017","1104324007","1 51049 RNG RD 214","1995","Residential","Split Level","120","1292","Y","Y","Y","Y","445000","53.3755018072","-113.0494090047"
"POINT (-113.33106064641011 53.49683813427964)","2017","2316104297","745 52304 RNG RD 233","2003","Residential","1 Storey & Basement","166","1792","Y","Y","Y","Y","686000","53.4969606784","-113.3314422627"
"POINT (-112.88554812686677 53.394564856156634)","2017","1009105006","20321 TWP RD 512","1981","Exempt / Farmland / Residential","2 Storey & Basement","221","2381","Y","Y","Y","Y","576710","53.3931564958","-112.8835604284"
"POINT (-113.00850562429171 53.4476983194078)","2017","1134191004","92 51551 RNG RD 212A","1970","Residential","1 Storey & Basement","93","1000","N","N","Y","N","267000","53.4476160423","-113.0088031043"
"POINT (-113.00781059385335 53.446204180539546)","2017","1134150000","113 51551 RNG RD 212A","1969","Residential","1 Storey & Basement","99","1061","N","N","Y","N","193000","53.4464334939","-113.0079111069"
"POINT (-113.28270516355764 53.51498288557268)","2017","7063210000","470 NORWAY CR","2003","Residential","1 Storey & Basement","150","1612","Y","Y","Y","N","538000","53.5150533165","-113.2829771447"
"POINT (-113.2827101607555 53.51526745190261)","2017","7063208005","466 NORWAY CR","2003","Residential","1 Storey & Basement","133","1430","Y","Y","Y","Y","514000","53.5151957284","-113.2829783725"
"POINT (-113.3258620508045 53.49671914948817)","2017","2316106040","612 52304 RNG RD 233","2004","Residential","2 Storey & Basement","269","2896","Y","Y","Y","Y","890000","53.4965974576","-113.3262282283"
"POINT (-113.24964291638945 53.51482991479448)","2017","7392018005","73 RIDGEBROOK CL","2004","Residential","1 Storey & Basement","141","1513","Y","Y","Y","Y","628000","53.5149842201","-113.2495870937"
"POINT (-112.89915540178362 53.452123024721345)","2017","1033302009","51561 RNG RD 204","1997","Exempt / Farmland / Residential","1 Storey & Basement","133","1431","Y","N","Y","Y","421570","53.4540717437","-112.9019268838"
"POINT (-113.30243151136236 53.529255010406125)","2017","7520568002","47, 2131 OAK ST","1983","Residential Condominium","2 Storey & Basement","109","1170","N","N","Y","Y","227000","53.5301184283","-113.3033310255"
"POINT (-113.32143549832573 53.51769342277753)","2017","7520174009","787 VILLAGE DR","1980","Residential Condominium","2 Storey & Basement","105","1133","N","N","Y","Y","221000","53.5174913477","-113.3217174757"
"POINT (-113.28246396191875 53.48657309749158)","2017","2314512504","290 52224 RNG RD 231","2011","Residential","2 Storey & Basement","392","4224","Y","Y","Y","Y","1614000","53.4869149654","-113.2833792656"
"POINT (-113.26470963299293 53.52253523469378)","2017","7251058002","248 FORREST DR","2002","Residential","1 Storey & Basement","131","1407","Y","Y","Y","Y","467000","53.5225012835","-113.264979035"
"POINT (-112.92026289228858 53.38785019289162)","2017","1008700005","51139 RNG RD 205","1974","Residential","Manufactured Home","172","1849","Y","Y","N","N","336000","53.3887456786","-112.9263289233"
"POINT (-113.25037127926545 53.52661508823326)","2017","7327514009","54 FOXHAVEN LN","2005","Residential","2 Storey & Basement","180","1940","Y","Y","Y","N","486000","53.5265600432","-113.2506407422"
"POINT (-113.25388760853156 53.5536696661995)","2017","8023042005","10 SUNFLOWER WY","2003","Residential","1 Storey & Basement","106","1145","Y","Y","Y","Y","425000","53.5535105219","-113.2537814229"
"POINT (-112.94507236813229 53.383274638150226)","2017","1007702002","51109 RNG RD 210","1980","Residential","2 Storey Slab on Grade","230","2472","Y","Y","N","N","767000","53.3850962799","-112.9389258889"
"POINT (-113.32143549832573 53.51769342277753)","2017","7520158002","787 VILLAGE DR","1980","Residential Condominium","2 Storey & Basement","105","1133","N","N","Y","Y","237000","53.5174913477","-113.3217174757"
"POINT (-112.94912884577023 53.46200541200547)","2017","2006331009","8 20575 WYE RD","1962","Residential","1 Storey Basementless","87","935","Y","Y","N","N","198000","53.4617783767","-112.9490544557"
"POINT (-113.25713085960844 53.52063059713362)","2017","7384153003","58 FOXBORO GROVE","2003","Residential","1 Storey & Basement","149","1606","Y","N","Y","Y","457000","53.5207962838","-113.2574225026"
"POINT (-113.092651713307 53.38922084598302)","2017","1107304006","51147 RNG RD 220","1945","Residential","1 3/4 Storey & Basement","120","1293","Y","Y","Y","N","527000","53.3901013195","-113.0987124371"
"POINT (-113.2557622684208 53.55332138869153)","2017","8023028004","231 SUNFLOWER CR","2004","Residential","2 Storey & Basement","198","2129","Y","Y","Y","Y","513000","53.5534741449","-113.2558753487"
"POINT (-113.25423606942556 53.55446513845348)","2017","8026025004","38 SUNFLOWER CR","2003","Residential","2 Storey & Basement","170","1835","Y","Y","Y","Y","434000","53.5543087306","-113.2543658231"
"POINT (-113.26266754468791 53.52420617821894)","2017","7251121003","501 FORREST DR","2003","Residential","Split Entry","109","1176","Y","Y","Y","Y","406000","53.5243070606","-113.2628712552"
"POINT (-113.25061413312054 53.514798867867064)","2017","7392014004","57 RIDGEBROOK CL","2004","Residential","Split Entry & Bonus Upper","138","1486","Y","Y","Y","Y","510000","53.5149505801","-113.2507398587"
"POINT (-113.25739098728029 53.5546036552465)","2017","8025010000","137 SUNFLOWER CR","2003","Residential","2 Storey & Basement","177","1902","Y","N","Y","N","448000","53.5546585017","-113.2576474433"
"POINT (-113.27409658670115 53.54996418163432)","2017","8109029008","441 CRANBERRY WY","2004","Residential","2 Storey & Basement","124","1339","Y","N","Y","N","335000","53.550001352","-113.2743717615"
