"contactid","topic","phone_number","organization","department","website","email","address","searchterms","_24hour","emergency"
"72","Assessment Appeals","780-464-8136","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"73","Assessment Inquiries ","780-464-8196","Strathcona County","Assessment and Tax","/departments/assessment-and-tax/",,,"TAX",,
"74","Assessment Review Board","780-464-8136","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"75","ATCO Gas","780-420-5585","ATCO Gas",,"www.atcogas.com/",,,,"Yes","Yes"
"76","Athletic and Sports Field Closures","780-464-5800","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","Automated",
"78","Awards - Pride of Strathcona","780-410-6595","Strathcona County","Communications","/departments/communications/",,,"COM",,
"79","Baby Car Seat Safety","780-342-4600","Alberta Health Services","Capital Health Centre","/departments/emergency-services/community-safety-education/home-safety-tips/car-seat-safety-tips/",,"2 Brower Drive",,,
"80","Babysitting Registry","780-464-4242","Information and Volunteer Centre",,,,,,,
"81","Backyard of Neighbour - Land Use Inquiry","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"82","Backyard of Neighbour - Untidy","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"83","Bad Drivers re: County Staff (and Compliments)","780-417-7170","Strathcona County","Fleet Services","/departments/fleet-services/",,,"FLEET",,
"940","Ball Diamond Backstop Maintenance","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"84","Ball Diamond - Closures 24 Hour Info Line","780-467-5800","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"85","Ball Diamond - Maintenance","780-464-8493","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"941","Ball Diamonds (except SAP, SAL & Sherwood Heights)","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"86","Baseline Information Sign - Clock Maintenance ","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"87","Baseline Information Sign - Maintenance ","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"88","Basement Flooding","780-467-7785","Strathcona County","Utilities","/departments/utilities/",,,,,
"89","Bee Keeping - Apiculture Permits","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"94","Bee/Wasp  - Nests in Recreational Area","780-464-8493","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"96","Better Business ","780-482-2341","Better Business Bureau",,"www.bbb.org/edmonton",,,,,
"97","Bicycle Trail - Maps","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"98","Bicycle Trail - New Designs (Heritage Trail)","780-464-8117","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"99","Bird - Dead/Test for West Nile Virus","780-427-3574","Government of Alberta","Fish and Wildlife",,,,,,
"100","Bird Sanctuary, Ministik","780-464-7955","Government of Alberta","Alberta Environment",,,,,,
"101","Birth Certificate - Sioux Road","780-417-5283","Sherwood Park Registries",,"www.sherwoodparkregistries.ca/",,"104 - 52 Sioux Road Sherwood Park, Alberta, T8A 4X1",,,
"102","Birth Certificate - Wye Road","780-417-7300","Registry on Wye",,,,"25, 99 Wye Road",,,
"106","Blocked Culvert","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/drainage/",,,"TAS",,
"105","Block Party Permit","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/permits/block-parties/",,,"TAS",,
"942","BMX Skills Park - Jumps & Landing Surface","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"943","BMX Skills Park - Wood Structure","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"944","Boardwalks - Woodbridge & Heritage Lakes","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"108","Boat Launch at South Cooking Lake","780-467-2211","Strathcona County","Recreation, Parks and Culture","edmontoncanoeing.blogspot.ca/search/label/Cooking%20Lake",,,"RPC",,
"109","Bookmobile Services","780-410-8615","Strathcona County Library",,,,,,"No","No"
"110","Boulevard Maintenance - Sweeping (Summer)","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/roads-maintenance/street-sweeping/",,,"TAS",,
"945","Boulevard - Watering","780.464.8493","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"112","Branding - Use of Strathcona County Logo","780-410-6595","Strathcona County","Communications","/departments/communications/strathcona-county-brand-new/","info@strathcona.ca",,"COM",,
"113","Bremner House","780-416-6739","Strathcona County","Planning and Development Services","NULL",,,"PDS",,
"114","Bremner House - Historical Information","780-464-8022","Strathcona County","Communications","/departments/communications/",,,"COM",,
"115","Bremner House - House Tours","780-417-7155","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS","No","No"
"116","Bridge - Maintenance","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"117","Broadmoor Golf Course","780-467-7373","Strathcona County","Broadmoor Golf Course","www.thebroadmoor.ca/","bpgc1@strathcona.ca","2101 Oak St. Sherwood Park","RPC",,
"118","Broadmoor Lake","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/parks-trails-sports-venues/parks-and-playgrounds/broadmoor-lake-park/","recreation@strathcona.ca",,"RPC",,
"119","Bruderheim Campground","780-903-1913","Bruderheim Campground",,,,,,,
"120","Brush Clearing","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"121","Brush Clearing - Disposal Information","780-449-5514","Strathcona County","Utilities","/departments/utilities/",,,,,
"122","Brush Clearing - Ditches and Near Stop Signs","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"123","Budgets","780-464-8053","Strathcona County","Financial Services","/departments/financial-services/business-plan-and-budget/","financialservices@strathcona.caÿ",,"FIN",,
"124","Bugs (insects)","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"125","Building Inspection - Commercial","780-464-8215","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"126","Building Inspection - Commercial","780-464-8131","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"127","Building Inspection - Plumbing/Private ","780-416-7266","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"128","Building Inspection - Residential","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/permitting/residential-permitting/","planninganddevelopment@strathcona.ca",,"PDS",,
"129","Building Inspection - Sewage and Gas ","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"130","Building Permit - Commercial","780-464-8215 or 464-8131","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS","No","No"
"131","Building Permit - Residential (Additions, Accessories, etc.)","780-464-8264 or 464-8133","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS","No","No"
"132","Building Permit - Residential (New Home Construction)","780-416-7290","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"133","Burn Line","780-464-8464","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS","No","No"
"134","Burnt Out Street Lights","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"138","Business Information","780-464-8095","Strathcona County","Economic Development and Tourism","/departments/economic-development-and-tourism/",,,"EDT","No","No"
"139","Business Permit/Business Licensing","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"140","Business Plan","780-464-8230","Strathcona County","Corporate Planning and Intergovernmental Affairs","/departments/corporate-planning/",,,"CPIA",,
"136","Bus Passes - Public","780-464-7433","Strathcona County","Transit","/departments/transit/",,,,"No","No"
"137","Bus Passes - Seniors","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"142","Bylaw Enforcement Orders Appeals","780-464-8136","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"144","Bylaws","780-449-0170","Strathcona County","Enforcement Services","/departments/legislative-legal-services/frequently-requested-bylaws/",,,"RCMP",,
"143","Bylaw Services - (Enforcement Services)","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,"911 Bison Way, Sherwood Park (with RCMP)","RCMP",,
"155","CAER - Northeast","780-424-0162","CAER - Northeast Region",,"www.nrcaer.com",,,,,
"156","CAER - SIA (Community Awareness Emergency Response)","780-990-4742","Strathcona Industrial Association (SIA)",,,,,"SIA",,
"157","Call Before You Dig","1-800-242-3447","Alberta One-Call Corporation",,"www.albertaonecall.com","info@albertaonecall.com",,"first call",,
"946","Camping Permits","780.400.2028","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"158","Campsite - Elk Island Retreat","780-998-0708","Elk Island Retreat",,,,"RR 205,Twp544",,,
"161","Campsite Groups - Wilderness Centre ","780-922-3939","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/recreation-centres/strathcona-wilderness-centre/camping/","swcinfo@strathcona.caÿ","Twp530 RR 212","RPC",,
"159","Campsite - Kawtikh Retreat ","780-922-5168","Kawtikh Retreat",,"www.kawtikh.com/","kawtikh@telusplanet.net","51380B RgRd205",,,
"160","Campsite - Sherwood Forest ","780-467-3329","Travel Alberta",,"www.manta.com/ic/mvq95wq/ca/sherwood-forest-campground",,"23242 Hwy14",,,
"947","Canada Day, New Year's Eve, Celebration of Lights - Park Operations ","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"948","Canada Day, New Year's Eve, Celebration of Lights - Program ","780.464.8073","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"163","Canada Post - Customer Service","1-800-267-1177","Government of Canada","Canada Post","www.canadapost.ca",,,,,
"165","Canada Post - Postal Code Info","1-900-565-2633","Government of Canada","Canada Post","www.canadapost.ca",,,,,
"167","Canvassers","780-464-8140","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"168","Capital Care Strathcona","780-467-3366","Capital Care Strathcona",,"www.capitalcare.net/Page153.aspx",,,,,
"170","Carnival Permit","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"171","Cash for Newspapers ","780-440-7333","EMCO Building Products Corporation (Paper Recycling Depot)",,,,,,,
"172","Cat - Stray","780-490-7291","Northern Alberta Society for Animal Protection (NASAP)",,"www.nasap.ca",,"P. O. Box 3236, Station Main, Sherwood Park, T8H 2T2",,,
"175","Cattle On Road","1-866-509-2088","Livestock Identification Services",,,,,,,
"173","Cat - Trap","780-471-1774","Edmonton Humane Society",,,,"13620-163 St. ",,,
"174","Cat - Trap Rental","780-446-7428","Park Pest Control",,"www.parkpestcontrol.com",,"51044 RR205",,,
"176","Caveat - Development","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"177","Celebration of Lights","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/special-events/celebration-lights/","recreation@strathcona.ca",,"RPC",,
"178","Cell Phone Bylaw - Provincial Bylaw","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"179","Cemeteries Information","780-422-8194","Government of Alberta","Government Services","www.qp.alberta.ca/documents/Regs/1998_249.pdf",,,,,
"180","Cemeteries Location","780-464-4242","Information and Volunteer Centre",,,,,,,
"181","Census - Information","780-464-8252","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"182","Census - Municipal Organizing","780-464-8157","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"949","Centennial Park 9","780.400.2064","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"950","Centennial Park Ball Diamonds",,"Strathcona County","Recreation, Parks and Culture",,"exec@spmspl.com",,"RPC",,
"184","Chamber of Commerce","780-464-0801","Chamber of Commerce",,"www.sherwoodparkchamber.com/",,"100 Ordze AvenueÿSherwood Park, AB T8B 1M6",,,
"185","Charitable Donations","780-464-8187","Strathcona County","Financial Services","/departments/financial-services/",,,"FIN",,
"186","Chartered School","780-416-2353","New Horizons",,"www.newhorizons.ca/",,"1000 Strathcona Drive Sherwood Park, AB T8A 3R6",,"No","No"
"187","Chemical Spill","1-800-222-6514","Government of Alberta","Alberta Environment","aep.alberta.ca/about-us/compliance-assurance-program/documents/ReportingSpillsReleases-Feb04-2016.pdf",,,,,
"190","Child, Adolescent and Family Mental Health (CASA)","780-410-8181","CASA",,"www.casaservices.org/","info@casaservices.org","100, 9000 Emerald Drive, Sh. Pk. ",,,
"188","Child Care","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"191","Children Programs - Library","780-410-8600","Strathcona County Library",,,,,,,
"192","Children Programs - RPC","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"189","Child Welfare - Sherwood Park office","780-467-5195","Government of Alberta",,,,"121 Crimson Drive",,,
"193","Christmas Bureau","780-464-4242","Information and Volunteer Centre",,,,,,,
"194","Christmas Trees To Cut","780-464-7955","Government of Alberta",,,,,,,
"195","City Clerk","780-464-8137","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"196","City of Camrose","780-672-4426","City of Camrose",,"www.camrose.ca/",,,,,
"197","City of Edmonton","780-442-5311","City of Edmonton",,"www.edmonton.ca/",,,,,
"198","City of Fort Saskatchewan","780-992-6200","City of Fort Saskatchewan",,"www.fortsask.ca/",,,,,
"199","City of Leduc","780-980-7177","City of Leduc",,"www.leduc.ca/",,,,,
"200","City of Lloydminster","780-875-6184","City of Lloydminster",,"www.lloydminster.ca/",,,,,
"201","City of Red Deer","403-342-8111","City of Red Deer",,"www.reddeer.ca/",,,,,
"202","City of St. Albert","780-459-1500","City of St. Albert",,"stalbert.ca/",,,,,
"203","Clay Hut","780-464-7337","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"205","Clubs","780-464-4242","Information and Volunteer Centre",,,,,,,
"512","Commercial and Real Estate Inquiries","780-464-8259","Strathcona County","Economic Development and Tourism","/departments/economic-development-and-tourism/",,,"EDT","No","No"
"206","Commercial Vehicle Concerns","780-449-0170","Strathcona County","Enforcement Services","/departments/rcmp-and-enforcement-services/",,,"RCMP",,
"207","Commissioner of Oaths - Sioux Road","780-417-5283","Sherwood Park Registries",,,,,,,
"208","Commissioner of Oaths - Wye Road","780-417-7300","Registry on Wye",,,,"25, 99 Wye Road",,,
"209","Communication Tower","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"951","Communities in Bloom ","780.464.8171","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC","No","No"
"210","Community Centre Booking","780-410-8505","Strathcona County","Facilities","/departments/facility-services/",,,"FAC",,
"1044","Community Gardens","780-417-7100","Strathcona County","Transportation and Agriculture Services",,,,,"No","No"
"211","Community Group Info","780-464-8472","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"212","Community Information","780-464-4242","Information and Volunteer Centre",,,,,,,
"213","Compliance - Commercial and Residential","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"214","Computers - Recycle (non-functional)","780-449-5514","Strathcona County","Utilities - Waste Management Services","/departments/utilities/waste-collection-recycling/",,,,,
"215","Computers - Reuse (functional)","780-990-1000","United Way",,,,,,,
"216","Concrete Work","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"217","Confirmation for Residence","780-464-8137","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"218","Conservation Easements","780-464-8117","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS","No","No"
"219","Construction - Complaints, Developer, Garbage","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"220","Construction - New Subdivision ","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"221","Consumer Information Centre","1-877-427-4088","Government of Alberta",,"gov.ab.ca",,,,,
"222","Consumer Protection","780-427-4088","Government of Alberta","Consumer Contact Centre","www.servicealberta.ca/consumer-protection.cfm",,,,,
"223","Continuing Education - Fort Saskatchewan","780-998-3754","Elk Island Public School Board",,,,,"classes, courses",,
"224","Continuing Education - Salisbury High","780-467-7292","Elk Island Public School Board",,,,"20 Festival Way (in Sal Comp HS) ","classes, courses",,
"225","Contractor License","780-464-8080","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"226","Co-op Housing","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"227","Co-op NAIT Students","780-464-8074","Strathcona County","Information and Technology Services","/departments/information-technology-services/",,,"ITS",,
"229","Coroner's Office","780-427-4987","Coroner's Office",,,,,,,
"230","Coroner's Office (24 hour)","780-427-0373","Coroner's Office",,,,,,"Yes",
"231","Corporate Secretary (Municipal Clerk)","780-464-8137","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/",,,"LLS",,
"232","Correctional Services","780-464-4244","Sherwood Park Community Corrections","Probation Office",,,,,,
"234","Councillors","780-464-8138","Strathcona County","Office of the Elected Officials","/local-government/mayor-councillors/councillors/",,,,,
"233","Council  - Meeting, Agenda, Minutes","780-464-8105","Strathcona County","Legislative and Legal Services","/departments/legislative-legal-services/council-meetings/",,,"LLS",,
"235","Counseling - Individual, Family Group","780-464-4044","Strathcona County","Family and Community Services","/departments/family-and-community-services/",,,"FCS",,
"236","County Art Gallery","780-410-8575","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"237","County Clothes-Line","780-464-7786","County Clothes-Line",,"www.countyclothes-line.com",,"201 Athabascan Avenue",,,
"238","County Coat of Arms","780-464-8022","Strathcona County","Communications","/departments/communications/",,,"COM",,
"239","County Liaison for Recreation, Parks and Culture","780-467-2211","Strathcona County","Recreation, Parks and Culture","/departments/recreation-parks-and-culture/",,,"RPC",,
"240","County Owned Property - Lease","780-410-6524","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"241","County Owned Property - Sale","780-464-8144","Strathcona County","Planning and Development Services","/departments/planning-development-services/",,,"PDS",,
"242","County Pins, Shirts, Mugs, etc.","780-400-2086","Strathcona County","Office of the Elected Officials","/local-government/mayor-councillors/councillors/",,,,,
"243","Court House - Provincial","780-464-0114","Government of Alberta",,,,"190 Chippewa Road",,,
"952","Courts - Tennis, Pickleball, Volleyball, Handball","780.400.2063","Strathcona County","Recreation, Parks and Culture",,,,"RPC",,
"244","Coyotes","780-417-7100","Strathcona County","Transportation and Agriculture Services","/departments/transportation-and-agriculture-services/",,,"TAS",,
"245","CPR Training","780-464-8468","Strathcona County","Emergency Services","/departments/emergency-services/",,,"EMS",,
