"permitnum","originaladdress1","description","permitclassmapped","workclass","workclassmapped","currentstatus","currentstatusmapped","statusdate","applieddate","issueddate","completeddate","applicant","zoning","ward","totalsqft","estprojectcost","housingunits","parcelarea","permittype","permittypemapped","permittypedesc","originaladdress2","city","province","postalcode","jurisdiction","pin","permitobjectid","addressobjectid","parcelobjectid","permityear","permitmonth","latitude","longitude","count","permityearlabel","permitmonthlabel","lot","block","plan","quarter","section","township","range","meridian","servicearea","buildingtype","location"
"2009-0530-B","327 23033 WYE RD","New Detached Garage - 24' X 30'","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2012-07-19T00:00:00.000","2009-05-29T00:00:00.000","2009-06-04T00:00:00.000","2009-06-04T00:00:00.000","SWANSON, BLAINE","DC34 ""A""","6",,"60000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2324123901","4583569","34014","3089177","2009-01-01T00:00:00.000","2009-05-01T00:00:00.000","53.50811033","-113.24854653","1","2009","5","39","2","0620184","NE","24","52","23","4","Rural","Storage Building","
,  
(53.50811033, -113.24854653)"
"2007-0709-B","4082 CROWSNEST CR","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2009-08-19T00:00:00.000","2007-05-10T00:00:00.000","2007-05-23T00:00:00.000","2007-05-23T00:00:00.000","CHALLENGER HOMES INC","R1C","2","2522","276800","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8085095009","3713250","35797","3521644","2007-01-01T00:00:00.000","2007-07-01T00:00:00.000","53.54754172","-113.28038777","1","2007","7","95","85","0627099",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.54754172, -113.28038777)"
"2022-0689-B","158, 150 CHIPPEWA RD","Pine Integrated Health Centre Tenant Improvement","COMMERCIAL","111709","TENANT IMPROVEMENT","3083","In Progress - Inspection","2022-08-02T00:00:00.000","2022-07-18T00:00:00.000","2022-08-02T00:00:00.000",,"2416169 Alberta Inc.","C5","1","1600","30000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","7000383166","10610802","25487","110353","2022-01-01T00:00:00.000","2022-06-01T00:00:00.000","53.53771161","-113.32537686","1","2022","6",,"16","0124397","NE","33","52","23","4","Sherwood Park","Offices","
,  
(53.53771161, -113.32537686)"
"2017-0999-B","55424 RNG RD 212","Industrial Building - Utility Enclosure","INDUSTRIAL","111706","NEW CONSTRUCTION","151675","Approved - File Closed","2018-06-18T00:00:00.000","2017-08-22T00:00:00.000","2017-10-10T00:00:00.000",,"Haskell Construction Canada ULC",,"5","373","105000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","5127500006","8176686","542","14442","2017-01-01T00:00:00.000","2017-09-01T00:00:00.000","53.77511814","-113.03605334","1","2017","9",,,,"SE","27","55","21","4","Rural","Equipment Shelter","
,  
(53.77511814, -113.03605334)"
"2007-1730-B","113 21546 TWP RD 520","Remove Teleposts","RESIDENTIAL","111703","ALTERATIONS","1970","Completed","2008-01-04T00:00:00.000","2007-11-28T00:00:00.000","2007-11-29T00:00:00.000","2007-11-29T00:00:00.000","Boswell, Sarah & Dave","RH","7",,"5000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2106705003","3973433","21762","4673","2007-01-01T00:00:00.000",,"53.46054297","-113.09606313","1","2007","17","5","1","3246TR","SW","6","52","21","4","Rural","Single Detached Dwelling","
,  
(53.46054297, -113.09606313)"
"2008-0239-B","166 51551 RNG RD 212A","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2008-12-18T00:00:00.000","2008-03-06T00:00:00.000","2008-03-12T00:00:00.000","2008-03-12T00:00:00.000","ROSE COUNTRY BUILDERS","R1A","7","2446","250000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","1134511008","4052146","8547","3380739","2008-01-01T00:00:00.000","2008-02-01T00:00:00.000","53.44412231","-113.004544","1","2008","2","11","5","0624551","SE","34","51","21","4","Rural","Single Detached Dwelling","
,  
(53.44412231, -113.004544)"
"2009-1167-B","523 52328 RNG RD 233","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2011-10-12T00:00:00.000","2009-09-16T00:00:00.000","2009-09-28T00:00:00.000","2009-09-28T00:00:00.000","AVANTI HOMES INC","RE","6","4344","579000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2321520209","4743117","33324","2901527","2009-01-01T00:00:00.000","2009-11-01T00:00:00.000","53.50139879","-113.33010969","1","2009","11","20","10","0524365","SE","21","52","23","4","Rural","Single Detached Dwelling","
,  
(53.50139879, -113.33010969)"
"2007-0798-B","505 52319 RNG RD 231","New Detached Garage","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2009-06-08T00:00:00.000","2007-05-23T00:00:00.000","2008-04-07T00:00:00.000","2008-04-07T00:00:00.000","MOTTERSHEAD, RICHARD & MARRAZZO, LISA","RCL","6","780","40000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2324701008","3731674","19704","11531","2007-01-01T00:00:00.000","2007-07-01T00:00:00.000","53.50152166","-113.26997881","1","2007","7","1","1","7822645","SW","24","52","23","4","Rural","Storage Building","
,  
(53.50152166, -113.26997881)"
"2009-0376-B","5135 SUNVIEW DR","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2012-05-10T00:00:00.000","2009-04-30T00:00:00.000","2009-05-06T00:00:00.000","2009-05-06T00:00:00.000","PACESETTER HOMES LTD - TRAVIS SUTHERLEY","R1C","4","1955","135000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8135057003","4535240","38873","4001557","2009-01-01T00:00:00.000","2009-03-01T00:00:00.000","53.55902089","-113.25264622","1","2009","3","57","135","0740945",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.55902089, -113.25264622)"
"2009-0520-B","731 CACHE PL","New Single Detached Dwelling","RESIDENTIAL","111706","NEW CONSTRUCTION","1970","Completed","2011-08-19T00:00:00.000","2009-05-27T00:00:00.000","2009-07-08T00:00:00.000","2009-07-08T00:00:00.000","RHINO HOMES INC","R1C","2","3599","300000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8112052000","4576254","38318","3937524","2009-01-01T00:00:00.000","2009-05-01T00:00:00.000","53.55221929","-113.2825167","1","2009","5","52","112","0728986",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.55221929, -113.2825167)"
"2007-1385-B","52 DALTON WY","Decks (two)","RESIDENTIAL","111702","ADDITION","1970","Completed","2008-02-29T00:00:00.000","2007-08-28T00:00:00.000","2007-09-26T00:00:00.000","2007-09-26T00:00:00.000","DIAMOND, Stephen & Michelle","R1B","4",,"12000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8044051000","3865501","2746","25365","2007-01-01T00:00:00.000",,"53.55354355","-113.26747241","1","2007","13","51","44","9223342",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.55354355, -113.26747241)"
"2009-0677-B","4089 CROWSNEST CR","Deck","RESIDENTIAL","111702","ADDITION","1970","Completed","2010-06-29T00:00:00.000","2009-06-25T00:00:00.000","2009-07-03T00:00:00.000","2009-07-03T00:00:00.000","CABOTE, ALVIN","R1C","2",,"2000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8086003001","4629554","35806","3521425","2009-01-01T00:00:00.000","2009-06-01T00:00:00.000","53.54716889","-113.28118762","1","2009","6","3","86","0627099",,,,,,"Sherwood Park","Single Detached Dwelling","
,  
(53.54716889, -113.28118762)"
"2009-0150-B","2260 BROADMOOR BLVD","WAREHOUSE FACILITY - STEEL BUILDINGBF - February 5, 2012","COMMERCIAL","111706","NEW CONSTRUCTION","1970","Completed","2012-01-12T00:00:00.000","2009-02-25T00:00:00.000","2009-03-24T00:00:00.000","2009-03-24T00:00:00.000","Superior Buildings & Design","IM","1",,"912064","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","3304101003","4473199","3653","13187","2009-01-01T00:00:00.000","2009-01-01T00:00:00.000","53.54921488","-113.3208061","1","2009","1","A",,"7821185","NE","4","53","23","4","Sherwood Park","Warehouses","
,  
(53.54921488, -113.3208061)"
"2019-0201-B","2274 ASPEN TR","New Detached Garage","RESIDENTIAL","111706","NEW CONSTRUCTION","151675","Approved - File Closed","2022-06-06T00:00:00.000","2019-03-19T00:00:00.000","2019-03-19T00:00:00.000",,"Ellis, Amanda","R1C","4","588","12000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8156049007","8863693","164425","6761758","2019-01-01T00:00:00.000","2019-02-01T00:00:00.000","53.56201498","-113.27891689","1","2019","2","49","156","1420315","SE","11","53","23","5","Sherwood Park","Storage Building","
,  
(53.56201498, -113.27891689)"
"2004-1126-B","390 BASELINE RD","NEW CRU-RBC BASE BUILDING","COMMERCIAL","111706","NEW CONSTRUCTION","1970","Completed","2005-01-06T00:00:00.000","2004-07-29T00:00:00.000","2004-08-04T00:00:00.000","2004-08-04T00:00:00.000","DAWSON WALLACE CONSTRUCTION LTD",,"1",,"728000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8208001008","2313616","5357","26653","2004-01-01T00:00:00.000","2004-11-01T00:00:00.000","53.5415054","-113.30009559","1","2004","11","1","208","9421907","SE","3","53","23","4","Sherwood Park","Banks","
,  
(53.5415054, -113.30009559)"
"2019-0418-B","69 22106 SOUTH COOKING LAKE RD","Manufactured Home","RESIDENTIAL","111706","NEW CONSTRUCTION","3083","In Progress - Inspection","2022-05-13T00:00:00.000","2019-05-14T00:00:00.000","2019-06-26T00:00:00.000",,"van Elst, Rita","AD,PC","7","2808","250000","1",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","1213331007","9051030","31458","6711310","2019-01-01T00:00:00.000","2019-04-01T00:00:00.000","53.40880828","-113.12024545","1","2019","4","2","1","1324807","NW","13","51","22","4","Rural","Single Detached Dwelling","
,  
(53.40880828, -113.12024545)"
"2007-1434-B","360 BOTHWELL DR","Basement Development","RESIDENTIAL","111703","ALTERATIONS","1970","Completed","2007-09-11T00:00:00.000","2007-09-07T00:00:00.000","2007-09-11T00:00:00.000","2007-09-11T00:00:00.000","HEIDE, Heather","DC20","1","200","5000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","8208035004","3877368","28011","1468445","2007-01-01T00:00:00.000",,"53.54515336","-113.29907572","1","2007","14","35","208","0225555","SE","3","53","23","4","Sherwood Park","Single Detached Dwelling","
,  
(53.54515336, -113.29907572)"
"2008-0292-B","74 52224 RNG RD 231","Deck","RESIDENTIAL","111702","ADDITION","1970","Completed","2008-08-27T00:00:00.000","2008-03-26T00:00:00.000","2008-03-31T00:00:00.000","2008-03-31T00:00:00.000","NECHEFF, ALEX","RCL","6",,"6000","0",,"1028","Building Permit","NULL",,"NULL","AB",,"Strathcona County","2314510809","4071694","26862","1173799","2008-01-01T00:00:00.000","2008-02-01T00:00:00.000","53.48746267","-113.27299491","1","2008","2","8","1","0125342","SE","14","52","23","4","Rural","Single Detached Dwelling","
,  
(53.48746267, -113.27299491)"
