"office","control_officer","general_fund_type","fund_type","fund","bureau","department_number","department_name","business_unit_number","business_unit_name","job_code","job_title","grade","_2015_adopted_fte","_2015_adopted_salary","_2016_dept_req_fte","_2016_dept_req_salary","_2016_pres_rec_fte","_2016_pres_rec_salary"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400104","Human Resources","5827","Human Resources Assistant","14",,,"1.0","37280.00","1.0","37280.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400104","Human Resources","5840","Recruitment and Selections Analyst","20",,,"1.0","61342.00","1.0","61342.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400105","Quality Assurance","50","Administrative Assistant IV","18","1.0","70103.00","1.0","74770.00","1.0","74770.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400105","Quality Assurance","1135","Project Leader- Data Systems","22","1.0","99264.00","1.0","107939.00","1.0","107939.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400105","Quality Assurance","5339","Certified CCL Programmer-CHS","21","3.0","216944.00","3.0","232693.00","3.0","232693.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400105","Quality Assurance","5341","Director of Quality Improvement","24","1.0","99000.00","1.0","95588.00","1.0","95588.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400105","Quality Assurance","5904","Process Analyst","21","1.0","67002.00","1.0","71375.00","1.0","71375.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400107","Information Technology Department","1111","Systems Analyst II","18","1.0","46476.00","1.0","62413.00","1.0","62413.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400107","Information Technology Department","1122","Data Entry Manager","14","1.0","56160.00","1.0","59898.00","1.0","59898.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400108","Patient Scheduling & Administrative Support","48","Administrative Assistant III","16","1.0","62696.00","1.0","49958.00","1.0","49958.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400108","Patient Scheduling & Administrative Support","907","Clerk V","11","3.0","137266.00","3.0","146405.00","3.0","146405.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400108","Patient Scheduling & Administrative Support","936","Stenographer V","13","1.0","50788.00","1.0","54168.00","1.0","54168.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400108","Patient Scheduling & Administrative Support","941","Clerk Typist Senior","09","1.0","38364.00","1.0","40891.00","1.0","40891.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400201","Medical Records","47","Administrative Assistant II","14","1.0","52138.00",,,,
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400201","Medical Records","50","Administrative Assistant IV","18","1.0","70103.00",,,,
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400201","Medical Records","907","Clerk V","11","16.0","720720.00","6.0","278772.00","6.0","278772.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400201","Medical Records","1687","Assistant Administrator","23","1.0","104102.00","1.0","110957.00","1.0","110957.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400201","Medical Records","2007","Medical Records Unit Manager","18","2.0","133384.00","1.0","76686.00","1.0","76686.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","47","Administrative Assistant II","14","1.0","40529.00","1.0","61067.00","1.0","61067.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","1242","Storekeeper/Supply Clerk","CC","1.0","34655.00","1.0","36962.00","1.0","36962.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","1680","Supervisor of Pharmacy","15","1.0","47496.00","1.0","50591.00","1.0","50591.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","1874","Director Of Pharmacy II","24","1.0","148426.00","1.0","158209.00","1.0","158209.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","1876","Assistant Director Of Pharmacy","24","1.0","136246.00","1.0","136246.00","1.0","136246.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","1878","Pharmacist","RX1","9.0","1046151.00","9.0","1046151.00","9.0","1046151.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","2051","Pharmacy Technician (As Required Not To Exceed)","PB","15.0","649920.00","15.0","686846.00","15.0","686846.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400301","Pharmacy","4718","Pharmacy Supervisor IV","RX4","1.0","127859.00","1.0","133026.00","1.0","133026.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400401","Environmental Services","50","Administrative Assistant IV","18","1.0","64540.00","1.0","68813.00","1.0","68813.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400401","Environmental Services","254","Business Manager IV","23","1.0","104052.00","1.0","110872.00","1.0","110872.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400401","Environmental Services","927","Administrative Aide (CCU)","CE","1.0","37850.00","1.0","40371.00","1.0","40371.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400401","Environmental Services","1967","Transporter CCH","CC","1.0","36230.00",,,,
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400401","Environmental Services","2143","Building Service Worker-CCH","CF","27.0","944333.00","28.0","1045853.00","28.0","1045853.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400401","Environmental Services","2420","Building Service Supervisor","12","7.0","282181.00","7.0","293250.00","7.0","293250.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400501","Laboratory Services","1841","Medical Laboratory Technician II","10","3.0","119133.00","2.0","82427.00","2.0","82427.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400501","Laboratory Services","1842","Medical Laboratory Technician III","13","1.0","49459.00","1.0","52751.00","1.0","52751.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400501","Laboratory Services","4605","Phlebotomist II","10","2.0","61764.00","2.0","72121.00","2.0","72121.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400601","Radiology Services","50","Administrative Assistant IV","18","1.0","69496.00","1.0","74949.00","1.0","74949.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400601","Radiology Services","1649","Medical Division Chairman 12","K12","1.0","300000.00","1.0","299998.00","1.0","299998.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400601","Radiology Services","2074","Chief Radiology Technician","15","1.0","60410.00","1.0","64433.00","1.0","64433.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400601","Radiology Services","2077","Radiologic Technician","16","3.0","181562.00","3.0","196266.00","3.0","196266.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400601","Radiology Services","4595","Clinical Laboratory Supervisor III","21","1.0","89085.00","1.0","96870.00","1.0","96870.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400601","Radiology Services","4824","Technical Manager- Cermak","18","1.0","64603.00","1.0","68813.00","1.0","68813.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400701","MH Administration","48","Administrative Assistant III","16","1.0","55140.00","1.0","60200.00","1.0","60200.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400701","MH Administration","5385","Mental Health Director-Cermak","24","1.0","185000.00","1.0","138567.00","1.0","138567.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400701","MH Administration","5429","Division Chief of Correctional Psychiatry","K12","1.0","220000.00","1.0","240000.00","1.0","240000.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400701","MH Administration","5432","Chief Correctional Psychologist","24","1.0","150000.00","1.0","156060.00","1.0","156060.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400702","MH Intake","1610","Mental Health Specialist III","19","7.0","472400.00","6.0","450742.00","6.0","450742.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400702","MH Intake","5431","Correctional Psychologist","K02","1.0","87206.00","1.0","112665.00","1.0","112665.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","1526","Medical Social Worker V","19","2.0","158757.00","2.0","170345.00","2.0","170345.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","1609","Mental Health Specialist II","14","1.0","49449.00","1.0","54995.00","1.0","54995.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","1610","Mental Health Specialist III","19","12.0","772466.00","13.0","889682.00","13.0","889682.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","1652","Attending Physician Senior 6","K06","1.0","155948.00","1.0","166328.00","1.0","166328.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","1678","Mental Health Specialist Senior","15","10.0","588524.00","8.0","504096.00","8.0","504096.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","1816","Physician Assistant I","22","2.0","160844.00","2.0","175905.00","2.0","175905.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","2057","Activity Therapist II","17","1.0","69628.00","1.0","74263.00","1.0","74263.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","5428","Attending Physician-Correctional Psychiatrist","K07","4.0","665326.00","4.0","772495.00","4.0","772495.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400703","MH Infirmary Care","5431","Correctional Psychologist","K02","4.0","312926.00","5.0","506081.00","5.0","506081.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400704","MH Intermediate Level","1526","Medical Social Worker V","19","4.0","255894.00","4.0","267300.00","4.0","267300.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400704","MH Intermediate Level","1609","Mental Health Specialist II","14","1.0","49449.00","1.0","54806.00","1.0","54806.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400704","MH Intermediate Level","1610","Mental Health Specialist III","19","15.0","966622.00","18.0","1242968.00","18.0","1242968.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400704","MH Intermediate Level","1678","Mental Health Specialist Senior","15","5.0","291500.00","3.0","189748.00","3.0","189748.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400704","MH Intermediate Level","2057","Activity Therapist II","17","3.0","189522.00","3.0","206355.00","3.0","206355.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400704","MH Intermediate Level","5428","Attending Physician-Correctional Psychiatrist","K07","6.0","1046674.00","6.0","1152626.00","6.0","1152626.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400704","MH Intermediate Level","5431","Correctional Psychologist","K02","2.0","141316.00","1.0","101134.00","1.0","101134.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400705","MH Maintenance","1609","Mental Health Specialist II","14","2.0","108701.00","1.0","59885.00","1.0","59885.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400705","MH Maintenance","1610","Mental Health Specialist III","19","12.0","809738.00","13.0","952482.00","13.0","952482.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400705","MH Maintenance","1678","Mental Health Specialist Senior","15","1.0","60410.00","1.0","64433.00","1.0","64433.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400705","MH Maintenance","5428","Attending Physician-Correctional Psychiatrist","K07","4.0","769465.00","4.0","829784.00","4.0","829784.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400705","MH Maintenance","5431","Correctional Psychologist","K02","3.0","301419.00","3.0","344906.00","3.0","344906.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400706","MH Same Day Services / Behavior Mgmt.","1610","Mental Health Specialist III","19","4.0","294406.00","4.0","314988.00","4.0","314988.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","50","Administrative Assistant IV","18","1.0","58428.00","1.0","62233.00","1.0","62233.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","1634","Attending Physician 4","K04","1.0","157194.00","1.0","167659.00","1.0","167659.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","1636","Attending Physician 6","K06","3.0","563562.00","3.0","601077.00","3.0","601077.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","1652","Attending Physician Senior 6","K06","7.0","1155448.00","7.0","1198327.00","7.0","1198327.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","1653","Attending Physician Senior 7","K07","9.0","1828161.00","9.0","1938611.00","9.0","1938611.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","1656","Attending Physician Senior 10","K10","1.0","196429.00",,,,
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","1932","Director Of Physical Therapy","23","1.0","93892.00",,,,
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","2061","Optometrist","K0","1.0","168362.00","1.0","183070.00","1.0","183070.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","6337","Chair of the Department of Correctional Health & Medical Director of Cermak Health Services","K12",,,"1.0","300000.00","1.0","300000.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","6338","Chair of the Division of Correctional Health","K12",,,"2.0","500000.00","2.0","500000.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400801","Med/Surg - Administration","6462","Manager of Physical & Occupational Therapy","23",,,"1.0","75315.00","1.0","75315.00"
"Cook County Health & Hospital Systems Board","Cook County Health & Hospital System","Health Fund","Enterprise","Health Fund","COOK COUNTY HEALTH AND HOSPITALS SYSTEM","240","Cermak Health Services of Cook County","2400802","TB/STD/Infection Control","907","Clerk V","11","1.0","41471.00","1.0","45062.00","1.0","45062.00"
