"site_name","site_type","street_address","city","state","zip_code","mapped_location"
"Coleman Community Center","Regional Community Center","384 Thompson Lane","Nashville","TN","37211","384 Thompson Lane
Nashville, TN 37211
(36.110868, -86.744361)"
"County Clerk Green Hills Office","Public Gathering","4009 Hillsboro Pike","Nashville","TN","37215","4009 Hillsboro Pike
Nashville, TN 37215
(36.10395, -86.815454)"
"County Clerk Madison Office","Public Gathering","501 Heritage Dr.","Madison","TN","37115","501 Heritage Dr.
Madison, TN 37115
(36.264433, -86.724257)"
"Donelson Library","Library","2315 Lebanon Road","Nashville","TN","37214","2315 Lebanon Road
Nashville, TN 37214
(36.168929, -86.683591)"
"Easley Center at Rose Park","Regional Community Center","1000 Edgehill Avenue","Nashville","TN","37203","1000 Edgehill Avenue
Nashville, TN 37203
(36.141827, -86.78309)"
"East Community Center","Regional Community Center","700 Woodland Street","Nashville","TN","37206","700 Woodland Street
Nashville, TN 37206
(36.17332, -86.760862)"
"East Library","Library","206 Gallatin Road","Nashville","TN","37206","206 Gallatin Road
Nashville, TN 37206
(36.179073, -86.750472)"
"East Police Precinct - Community Room","Public Gathering","936 E. Trinity Lane","Nashville","TN","37207","936 E. Trinity Lane
Nashville, TN 37207
(36.204513, -86.748032)"
"East Public Health Center","Public Gathering","1015 East Trinity Lane","Nashville","TN","37216","1015 East Trinity Lane
Nashville, TN 37216
(36.204273, -86.74528)"
"Edgehill Homes","Public Gathering","1277 12th Ave. South","Nashville","TN","37203","1277 12th Ave. South
Nashville, TN 37203
(36.14127, -86.787328)"
"Edgehill Library","Library","1409 12th Avenue South","Nashville","TN","37203","1409 12th Avenue South
Nashville, TN 37203
(36.139199, -86.787677)"
"Edmonson Pike Library","Library","5501 Edmondson Pike","Nashville","TN","37211","5501 Edmondson Pike
Nashville, TN 37211
(36.044792, -86.743999)"
"Elizabeth Community Center","Regional Community Center","1701 Arthur Avenue","Nashville","TN","37208","1701 Arthur Avenue
Nashville, TN 37208
(36.179199, -86.803434)"
"Family Safety Center","Public Gathering","610 Murfreesboro Pike","Nashville","TN","37210","610 Murfreesboro Pike
Nashville, TN 37210
(36.141355, -86.739898)"
"Ford Ice Center","Public Gathering","5264 Hickory Hollow Pkwy","Nashville","TN","37013","5264 Hickory Hollow Pkwy
Nashville, TN 37013
(36.048374, -86.656985)"
"Fort Negley","Public Gathering","1100 Fort Negley Blvd","Nashville","TN","37203","1100 Fort Negley Blvd
Nashville, TN 37203
(36.14283, -86.775954)"
"Goodlettsville Library","Library","205 Rivergate Parkway","Goodlettsville","TN","37072","205 Rivergate Parkway
Goodlettsville, TN 37072
(36.314612, -86.709851)"
"Green Hills Library","Library","3701 Benham Avenue","Nashville","TN","37215","3701 Benham Avenue
Nashville, TN 37215
(36.109346, -86.8087)"
"Hadley Park Community Center","Regional Community Center","1037 28th Avenue, North","Nashville","TN","37208","1037 28th Avenue, North
Nashville, TN 37208
(36.166565, -86.82044)"
"Hadley Park Library","Library","1039 28th Avenue North","Nashville","TN","37208","1039 28th Avenue North
Nashville, TN 37208
(36.166862, -86.820519)"
"Hadley Park Tennis Center","Public Gathering","1037B 28th Avenue North","Nashville","TN","37208","1037B 28th Avenue North
Nashville, TN 37208
(36.166565, -86.82044)"
"Hartman Community Center","Regional Community Center","2801 Tucker Road","Nashville","TN","37218","2801 Tucker Road
Nashville, TN 37218
(36.208494, -86.823034)"
"Hermitage Community Center","Regional Community Center","3720 James Kay Lane","Hermitage","TN","37076","3720 James Kay Lane
Hermitage, TN 37076
(36.177632, -86.616154)"
"Hermitage Library","Library","3700 James Kay Lane","Hermitage","TN","37076","3700 James Kay Lane
Hermitage, TN 37076
(36.177515, -86.61674)"
"Hermitage Police Precinct","Public Gathering","3701 James Kay Lane","Hermitage","TN","37076","3701 James Kay Lane
Hermitage, TN 37076
(36.177823, -86.615122)"
"Hill Detention Admin Office - 2nd Floor","Public Gathering","506 2nd Ave N","Nashville","TN","37201","506 2nd Ave N
Nashville, TN 37201
(36.169281, -86.779696)"
"Historic Courthouse","Public Gathering","1 Public Square","Nashville","TN","37201","1 Public Square
Nashville, TN 37201
(36.166448, -86.778832)"
"Historic Zoning Commission","Public Gathering","3000 Granny White Pike","Nashville","TN","37204","3000 Granny White Pike
Nashville, TN 37204
(36.119764, -86.790854)"
"Howard Office Building","Public Gathering","700 Second Avenue, South","Nashville","TN","37210","700 Second Avenue, South
Nashville, TN 37210
(36.153466, -86.769712)"
"Inglewood Library","Library","4312 Gallatin Road","Nashville","TN","37216","4312 Gallatin Road
Nashville, TN 37216
(36.225814, -86.725447)"
"John Henry Hale","Public Gathering","1433 Jo Johnston","Nashville","TN","37203","1433 Jo Johnston
Nashville, TN 37203
(36.162563, -86.797091)"
"Justice AA Birch (Jury Duty)","Public Gathering","408 Second Avenue, North","Nashville","TN","37201","408 Second Avenue, North
Nashville, TN 37201
(36.168034, -86.778902)"
"Kirkpatrick Community Center","Regional Community Center","620 South 9th Street","Nashville","TN","37206","620 South 9th Street
Nashville, TN 37206
(36.168546, -86.753074)"
"Lentz Public Health Center","Public Gathering","2500 Charlotte Ave","Nashville","TN","37209","2500 Charlotte Ave
Nashville, TN 37209
(36.154963, -86.81334)"
"Lindsley Hall","Public Gathering","730 Second Ave, South","Nashville","TN","37210","730 Second Ave, South
Nashville, TN 37210
(36.153874, -86.769979)"
"Looby Library","Library","2301 Rosa L. Parks Boulevard","Nashville","TN","37228","2301 Rosa L. Parks Boulevard
Nashville, TN 37228
(36.193625, -86.808126)"
"Madison Community Center","Regional Community Center","550 North Dupont Avenue","Madison","TN","37115","550 North Dupont Avenue
Madison, TN 37115
(36.267655, -86.70102)"
"Madison Library","Library","610 Gallatin Pike South","Madison","TN","37115","610 Gallatin Pike South
Madison, TN 37115
(36.257214, -86.713984)"
"Madison Police Precinct - Community Room","Public Gathering","400 Myatt Drive","Madison","TN","37207","400 Myatt Drive
Madison, TN 37207
(36.272475, -86.68954)"
"McCabe Community Center","Regional Community Center","101 46th Avenue North","Nashville","TN","37209","101 46th Avenue North
Nashville, TN 37209
(36.141196, -86.841207)"
"McFerrin Community Center","Regional Community Center","315 Berry Street","Nashville","TN","37207","315 Berry Street
Nashville, TN 37207
(36.181022, -86.767331)"
"Metro Office Building","Public Gathering","800 Second Avenue, South","Nashville","TN","37210","800 Second Avenue, South
Nashville, TN 37210
(36.15322, -86.769563)"
"Metro South East","Public Gathering","1417 Murfreesboro Pike","Nashville","TN","37217","1417 Murfreesboro Pike
Nashville, TN 37217
(36.113416, -86.690175)"
"Midtown Hills Police Precinct","Public Gathering","1443 12th Avenue South","Nashville","TN","37203","1443 12th Avenue South
Nashville, TN 37203
(36.136995, -86.788365)"
"Morgan Park Community Center","Regional Community Center","411 Hume Street","Nashville","TN","37208","411 Hume Street
Nashville, TN 37208
(36.180791, -86.790967)"
"Music City Central","Public Gathering","400 Charlotte Ave","Nashville","TN","37219","400 Charlotte Ave
Nashville, TN 37219
(36.166115, -86.781286)"
"Napier Community Center","Regional Community Center","73 Fairfield St","Nashville","TN","37210","73 Fairfield St
Nashville, TN 37210
(36.15078, -86.756855)"
"Nashville Main Library","Library","615 Church Street","Nashville","TN","37219","615 Church Street
Nashville, TN 37219
(36.162365, -86.78201)"
"North Library","Library","1001 Monroe Street","Nashville","TN","37208","1001 Monroe Street
Nashville, TN 37208
(36.174397, -86.796001)"
"North Police Precinct","Public Gathering","2231 26th Avenue, North","Nashville","TN","37208","2231 26th Avenue, North
Nashville, TN 37208
(36.189673, -86.817971)"
"Old Hickory Community Center","Regional Community Center","1050 Donelson Drive","Old Hickory","TN","37138","1050 Donelson Drive
Old Hickory, TN 37138
(36.264111, -86.649697)"
"Old Hickory Library","Library","1010 Jones Street","Old Hickory","TN","37138","1010 Jones Street
Old Hickory, TN 37138
(36.260014, -86.645958)"
"Paradise Ridge Community Center","Regional Community Center","3000 Morgan Road","Joelton","TN","37087","3000 Morgan Road
Joelton, TN 37087
(36.335583, -86.85995)"
"Parks Plaza Building","Public Gathering","2565 Park Plaza","Nashville","TN","37203","2565 Park Plaza
Nashville, TN 37203
(36.148207, -86.819768)"
"Parkway Towers","Pubilc Gathering","404 James Robertson Parkway","Nashville","TN","37219","404 James Robertson Parkway
Nashville, TN 37219
(36.167258, -86.780735)"
"Parkwood Community Center","Regional Community Center","3220 Vailview Dr.","Nashville","TN","37207","3220 Vailview Dr.
Nashville, TN 37207
(36.235768, -86.772338)"
"Parthenon","Public Gathering","2500 West End Ave","Nashville","TN","37203","2500 West End Ave
Nashville, TN 37203
(36.146893, -86.808533)"
"Pruitt Library","Library","117 Charles E. Davis Boulevard","Nashville","TN","37210","117 Charles E. Davis Boulevard
Nashville, TN 37210
(36.151725, -86.762036)"
"Public Works Admin Office","Public Gathering","750 S 5th St","Nashville","TN","37206","750 S 5th St
Nashville, TN 37206
(36.164584, -86.760535)"
"Public Works Admin Office","Public Gathering","750 South 5th Street","Nashville","TN","37209","750 South 5th Street
Nashville, TN 37209
(36.164584, -86.760535)"
"Public Works Engineering Office","Public Gathering","720 S 5th St","Nashville","TN","37206","720 S 5th St
Nashville, TN 37206
(36.16539, -86.760998)"
"Public Works Operations Office","Public Gathering","740 S 5th St","Nashville","TN","37206","740 S 5th St
Nashville, TN 37206
(36.165057, -86.7608)"
"Richland Park Library","Library","4711 Charlotte Avenue","Nashville","TN","37209","4711 Charlotte Avenue
Nashville, TN 37209
(36.152105, -86.84438)"
"Riverfront Station","Public Gathering","108 1st Ave South","Nashville","TN","37210","108 1st Ave South
Nashville, TN 37210
(36.161162, -86.773668)"
"Sevier Park Community Center","Regional Community Center","3021 Lealand Ln","Nashville","TN","37212","3021 Lealand Ln
Nashville, TN 37212
(36.119187, -86.78732)"
"Shelby Bottoms Nature Center","Regional Community Center","1900 Davidson St.","Nashville","TN","37206","1900 Davidson St.
Nashville, TN 37206
(36.164899, -86.734435)"
"Shelby Community Center","Regional Community Center","401 South 20th Street","Nashville","TN","37206","401 South 20th Street
Nashville, TN 37206
(36.17086, -86.735774)"
"Smith Springs Community Center","Regional Community Center","2801 Smith Springs Road","Nashville","TN","37217","2801 Smith Springs Road
Nashville, TN 37217
(36.088477, -86.611287)"
"Southeast Community Center","Regional Community Center","5260 Hickory Hollow Parkway","Antioch","TN","37013","5260 Hickory Hollow Parkway
Antioch, TN 37013
(36.048466, -86.657263)"
"Southeast Library","Library","5260 Hickory Hollow Parkway","Antioch","TN","37013","5260 Hickory Hollow Parkway
Antioch, TN 37013
(36.048466, -86.657263)"
"South Inglewood Community Center","Regional Community Center","1625 Rebecca Street","Nashville","TN","37216","1625 Rebecca Street
Nashville, TN 37216
(36.195436, -86.727332)"
"South Nashville WIC Nutrition Center","Public Gathering","3718 Nolensville Pike","Nashville","TN","37211","3718 Nolensville Pike
Nashville, TN 37211
(36.093671, -86.736411)"
"South Police Precinct","Public Gathering","5101 Harding Place","Nashville","TN","37211","5101 Harding Place
Nashville, TN 37211
(36.089618, -86.688491)"
"Stone Hall Mansion","Public Gathering","1014 Stones River Rd","Hermitage","TN","37076","1014 Stones River Rd
Hermitage, TN 37076
(36.186978, -86.632847)"
"Thompson Lane Library","Library","380 Thompson Lane","Nashville","TN","37211","380 Thompson Lane
Nashville, TN 37211
(36.110801, -86.743292)"
"Two Rivers Mansion","Public Gathering","3130 McGavock Pike","Nashville","TN","37214","3130 McGavock Pike
Nashville, TN 37214
(36.18845, -86.6749)"
"Walk of Fame Park","Public Gathering","121 Fourth Avenue South","Nashville","TN","37201","121 Fourth Avenue South
Nashville, TN 37201
(36.160067, -86.776551)"
"Warner Park Nature Center","Regional Community Center","7311 Highway 100","Nashville","TN","37221","7311 Highway 100
Nashville, TN 37221
(36.061329, -86.910298)"
"Water Services Administration Building","Pubilc Gathering","1600 2nd Ave North","Nashville","TN","37208","1600 2nd Ave North
Nashville, TN 37208
(36.18683, -86.787665)"
"Water Services Biosolids Building","Public Gathering","1810 Cement Plant Rd","Nashville","TN","37208","1810 Cement Plant Rd
Nashville, TN 37208
(36.184951, -86.786356)"
"Water Services Customer Service Center","Public Gathering","1700 Third Avenue, North","Nashville","TN","37208","1700 Third Avenue, North
Nashville, TN 37208
(36.183295, -86.790015)"
"Watkins Community Center","Regional Community Center","616 17th Avenue North","Nashville","TN","37203","616 17th Avenue North
Nashville, TN 37203
(36.162212, -86.800477)"
"Watkins Library","Library","612 17th Avenue North","Nashville","TN","37203","612 17th Avenue North
Nashville, TN 37203
(36.16275, -86.80084)"
"West Community Center","Regional Community Center","6105 Morrow Road","Nashville","TN","37209","6105 Morrow Road
Nashville, TN 37209
(36.163446, -86.863055)"
"West Police Precinct - Community Room","Public Gathering","5500 Charlotte Pike","Nashville","TN","37209","5500 Charlotte Pike
Nashville, TN 37209
(36.150829, -86.855095)"
"West Riverfront  Park","Public Gathering","310 1st Ave South","Nashville","TN","37201","310 1st Ave South
Nashville, TN 37201
(36.159153, -86.772422)"
"Woodbine Public Health Center","Public Gathering","224 Oriel Avenue","Nashville","TN","37210","224 Oriel Avenue
Nashville, TN 37210
(36.122113, -86.743851)"
