"permit_number","status","permit_type","permit_subtype","sub_type_description","date_entered","date_issued","parcel","business_name","business_owner","address","city","state","zip","council_district","census_tract","mapped_location"
"20-26522","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2020-02-28T00:00:00.000","2020-04-09T00:00:00.000","08213015200","WALGREENS #18085",,"1104  ROSA L PARKS BLVD","NASHVILLE","TN","37208","19","37019400","1104 ROSA L PARKS BLVD
NASHVILLE, TN 37208
(36.173518, -86.791534)"
"20-26478","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-02-07T00:00:00.000","2020-04-10T00:00:00.000","06115031700","HENRY JAMES","James Gaines, Rebecca Gaines","3807  GALLATIN PIKE","NASHVILLE","TN","37216","8","37011200","3807 GALLATIN PIKE
NASHVILLE, TN 37216
(36.214491, -86.730474)"
"19-26404","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-12-19T00:00:00.000","2020-04-13T00:00:00.000","16100028100","SAL'S FAMILY PIZZA","Latifkhon Fayz","5545  EDMONDSON PIKE","NASHVILLE","TN","37211","4","37018801","5545 EDMONDSON PIKE
NASHVILLE, TN 37211
(36.041417, -86.743793)"
"19-26014","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-05-07T00:00:00.000","2019-06-13T00:00:00.000","10408011400","SUSHI 88",,"2119  BELCOURT AVE","NASHVILLE","TN","37212","18","37016800","2119 BELCOURT AVE
NASHVILLE, TN 37212
(36.136784, -86.802506)"
"19-26071","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2019-05-30T00:00:00.000","2019-06-13T00:00:00.000","08008031000","FOOD MART LLC",,"1497  COUNTY HOSPITAL RD","NASHVILLE","TN","37218","1","37012802","1497 COUNTY HOSPITAL RD
NASHVILLE, TN 37218
(36.185198, -86.842144)"
"19-26208","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-08-16T00:00:00.000","2019-11-01T00:00:00.000","09310043900","INFINITY HOSPITALITY INC.",,"400  4TH AVE S","NASHVILLE","TN","37201","19","37019500","400 4TH AVE S
NASHVILLE, TN 37201
(36.156825, -86.774481)"
"19-26205","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-08-15T00:00:00.000","2019-11-01T00:00:00.000","10700012900","Embassy Suites By Hilton Nashville Airport",,"10  CENTURY BLVD","NASHVILLE","TN","37214","15","37015100","10 CENTURY BLVD
NASHVILLE, TN 37214
(36.144714, -86.686523)"
"20-26438","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-01-20T00:00:00.000","2020-04-13T00:00:00.000","16300036700","HAMPTON INN",,"210  CROSSINGS PL","ANTIOCH","TN","37013","32","37015629","210 CROSSINGS PL
ANTIOCH, TN 37013
(36.044401, -86.64822)"
"20-26457","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-01-29T00:00:00.000","2020-04-13T00:00:00.000","08216006900","JOYLAND","Amplified Investments 2, LLC, Pokeweed Productions, LLC","901  WOODLAND ST  101","NASHVILLE","TN","37206","6","37019200","901 WOODLAND ST 101
NASHVILLE, TN 37206
(36.175138, -86.75611)"
"20-26986","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2020-11-24T00:00:00.000","2021-04-30T00:00:00.000","093063A00300CO","HATTIE'S 5TH & BROAD",,"5069  BROADWAY PL","NASHVILLE","TN","37203","19","37019500","5069 BROADWAY PL
NASHVILLE, TN 37203"
"21-27144","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2021-03-24T00:00:00.000","2021-04-30T00:00:00.000","12006004900","7-ELEVEN 41084H","David Seltzer","1309  MURFREESBORO PIKE","NASHVILLE","TN","37217","13","37015700","1309 MURFREESBORO PIKE
NASHVILLE, TN 37217
(36.115935, -86.696269)"
"20-26494","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-02-14T00:00:00.000","2020-06-11T00:00:00.000","09306400600","NUDIE'S HONKY TONK",,"409  BROADWAY","NASHVILLE","TN","37203","19","37019500","409 BROADWAY
NASHVILLE, TN 37203
(36.160882, -86.777552)"
"21-27078","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2021-02-09T00:00:00.000","2021-04-30T00:00:00.000","04211003000","GRAMS","Edward Gray","632  OLD HICKORY BLVD W","MADISON","TN","37115","8","37010801","632 OLD HICKORY BLVD W
MADISON, TN 37115
(36.264372, -86.729318)"
"20-26875","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-08-11T00:00:00.000","2021-04-30T00:00:00.000","10700018600","HYATT HOUSE NASHVILLE AIRPORT",,"14  CENTURY BLVD","NASHVILLE","TN","37214","15","37015100","14 CENTURY BLVD
NASHVILLE, TN 37214
(36.145545, -86.686214)"
"21-27130","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2021-03-23T00:00:00.000","2021-04-30T00:00:00.000","08214005600","BARRIQUE BREWING AND BLENDING LLC",,"30  OLDHAM ST","NASHVILLE","TN","37213","5","37019300","30 OLDHAM ST
NASHVILLE, TN 37213
(36.174562, -86.776155)"
"21-27234","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2021-05-10T00:00:00.000","2022-06-10T00:00:00.000","09313009000","W NASHVILLE (ROOFTOP)",,"300  12TH AVE S","NASHVILLE","TN","37203","19","37019500","300 12TH AVE S
NASHVILLE, TN 37203
(36.15346, -86.785434)"
"21-27116","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2021-03-10T00:00:00.000","2022-06-10T00:00:00.000","09313009000","W NASHVILLE",,"300  12TH AVE S","NASHVILLE","TN","37203","19","37019500","300 12TH AVE S
NASHVILLE, TN 37203
(36.15346, -86.785434)"
"19-25907","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2019-03-03T00:00:00.000","2019-06-14T00:00:00.000","17212010600","DEEP SOUTH GROWLERS","Cynthia B Anderton","6900  LENOX VILLAGE DR  6","NASHVILLE","TN","37211","31","37019114","6900 LENOX VILLAGE DR 6
NASHVILLE, TN 37211
(36.025525, -86.712036)"
"19-26001","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2019-04-30T00:00:00.000","2019-06-14T00:00:00.000","16900001200","LOVELESS CAFE C-STORE",,"8456  HIGHWAY 100","NASHVILLE","TN","37221","35","37018408","8456 HIGHWAY 100
NASHVILLE, TN 37221
(36.034622, -86.972909)"
"19-26022","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-05-09T00:00:00.000","2019-06-14T00:00:00.000","09309016800","VIRAGO","100","1120  MCGAVOCK ST","NASHVILLE","TN","37203","19","37019500","1120 MCGAVOCK ST
NASHVILLE, TN 37203
(36.155867, -86.78605)"
"19-25960","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-03-28T00:00:00.000","2019-06-14T00:00:00.000","10510030200","LOVE PEACE & PHO",,"2112  8TH AVE S","NASHVILLE","TN","37204","17","37017000","2112 8TH AVE S
NASHVILLE, TN 37204
(36.131462, -86.778867)"
"19-26000","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-04-29T00:00:00.000","2019-06-14T00:00:00.000","09116037300","Another Broken Egg Cafe",,"4111  CHARLOTTE AVE","NASHVILLE","TN","37209","24","37013400","4111 CHARLOTTE AVE
NASHVILLE, TN 37209
(36.152385, -86.83657)"
"19-26003","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-05-01T00:00:00.000","2019-06-14T00:00:00.000","09507015500","DoubleTree Suites by Hilton Nashville Airport",,"2424  ATRIUM WAY","NASHVILLE","TN","37214","15","37015100","2424 ATRIUM WAY
NASHVILLE, TN 37214
(36.159506, -86.690275)"
"15-20036","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2014-07-29T00:00:00.000","2015-01-06T00:00:00.000","09314059200","City Winery Nashville","City Winery Nashville LLC","609  Lafayette ST","Nashville","TN","37203","19","37019500","609 Lafayette ST
Nashville, TN 37203
(36.153413, -86.775945)"
"19-25967","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-04-08T00:00:00.000","2019-06-18T00:00:00.000","08205015400","O-KU SUSHI","Stephen Palmer","81  VAN BUREN ST","NASHVILLE","TN","37208","19","37019400","81 VAN BUREN ST
NASHVILLE, TN 37208
(36.181976, -86.785124)"
"20-26469","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-02-04T00:00:00.000","2021-07-29T00:00:00.000","11905011900","STRIKEOUT WINGZ",,"2521B  NOLENSVILLE PIKE","NASHVILLE","TN","37211","16","37017300","2521B NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.117664, -86.748591)"
"01-00559","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2001-01-09T00:00:00.000","2001-01-25T00:00:00.000","06200000500","Nashville KOA","Kampgrounds of America, Inc.","2626  Music Valley DR","Nashville","TN","37214","15","37015300","2626 Music Valley DR
Nashville, TN 37214
(36.235348, -86.708277)"
"19-25958","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-03-28T00:00:00.000","2019-06-19T00:00:00.000","09310048700","JW Marriott","8th &amp; Demonbreun Hotel LC, 8th &amp; Demonbreun Hotel Limited Partner LLC","201  8TH AVE S","NASHVILLE","TN","37203","19","37019500","201 8TH AVE S
NASHVILLE, TN 37203
(36.15658, -86.780634)"
"20-26463","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-02-03T00:00:00.000","2020-04-14T00:00:00.000","10314002600","Reserva Cigars",,"73  WHITE BRIDGE PIKE","NASHVILLE","TN","37205","24","37018102","73 WHITE BRIDGE PIKE
NASHVILLE, TN 37205"
"20-26507","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-02-20T00:00:00.000","2020-04-14T00:00:00.000","083060C01200CO","GRAZE NASHVILLE","Ashley Austin Davis, Nick Davis","1888  EASTLAND AVE","NASHVILLE","TN","37206","6","37012100","1888 EASTLAND AVE
NASHVILLE, TN 37206
(36.182617, -86.735459)"
"19-26015","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-05-07T00:00:00.000","2019-06-21T00:00:00.000","093061F10100CO","CHILE BURRITO","Jason Kean Kerr (20%), John Talbot Masten, III (80%)","162  4TH AVE N 101","NASHVILLE","TN","37219","19","37019500","162 4TH AVE N 101
NASHVILLE, TN 37219
(36.163343, -86.778704)"
"21-27075","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2021-02-08T00:00:00.000","2021-05-03T00:00:00.000","07500002600","NATCHEZ HILLS AT THE HERMITAGE","James M Odom, Karen A Odom","4580  RACHELS LN","HERMITAGE","TN","37076","11","37015401","4580 RACHELS LN
HERMITAGE, TN 37076
(36.212821, -86.611722)"
"21-27316","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2021-06-28T00:00:00.000","2021-08-26T00:00:00.000","09305019900","CONDADO TACOS","Christopher J. Artinian, Joe Kahn, Revolucion Holding, LLC","418  11TH AVE N","NASHVILLE","TN","37203","19","37019400","418 11TH AVE N
NASHVILLE, TN 37203
(36.163046, -86.79104)"
"20-26508","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2020-02-20T00:00:00.000","2020-04-16T00:00:00.000","09216018300","FLATIRON NASHVILLE","victoria rothberg","1929  BROADWAY","NASHVILLE","TN","37203","19","37019500","1929 BROADWAY
NASHVILLE, TN 37203
(36.149258, -86.798415)"
"T22-27666","TEMPORARY","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2022-03-15T00:00:00.000",,"08213040500","TAILGATE BREWERY GERMANTOWN",,"915  3RD AVE N","NASHVILLE","TN","37201","19","37019400","915 3RD AVE N
NASHVILLE, TN 37201
(36.173077, -86.783451)"
"19-26262","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-09-12T00:00:00.000","2019-11-07T00:00:00.000","08309013800","THE TREEHOUSE","Caroline Wilson Black 29%","1011  CLEARVIEW AVE","NASHVILLE","TN","37206","6","37019200","1011 CLEARVIEW AVE
NASHVILLE, TN 37206
(36.177713, -86.750535)"
"19-26036","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-05-17T00:00:00.000","2019-11-07T00:00:00.000","08207013900","RED HEADED STRANGER",,"305  ARRINGTON ST","NASHVILLE","TN","37207","5","37011800","305 ARRINGTON ST
NASHVILLE, TN 37207
(36.184928, -86.767957)"
"19-26306","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-10-06T00:00:00.000","2019-11-07T00:00:00.000","04405019400","FULL THROTTLE BAR & GRILL",,"333  SWINGING BRIDGE RD","OLD HICKORY","TN","37138","11","37010501","333 SWINGING BRIDGE RD
OLD HICKORY, TN 37138
(36.271819, -86.662748)"
"19-25866","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-02-01T00:00:00.000","2019-06-27T00:00:00.000","104060A15000CO","WOODLANDS INDIAN CUISINE",,"3415  WEST END AVE  101B","NASHVILLE","TN","37203","18","37016800","3415 WEST END AVE 101B
NASHVILLE, TN 37203
(36.138506, -86.820007)"
"19-25996","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-04-27T00:00:00.000","2019-06-27T00:00:00.000","09306203000","ANOTHER BROKEN EGG CAFE",,"208  COMMERCE ST","NASHVILLE","TN","37201","19","37019500","208 COMMERCE ST
NASHVILLE, TN 37201
(36.163036, -86.776565)"
"19-26021","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2019-05-08T00:00:00.000","2019-06-27T00:00:00.000","16200029000","LOVE MARKET TOBACCO & BEER",,"1309  BELL RD  206","NASHVILLE","TN","37013","31","37019111","1309 BELL RD 206
NASHVILLE, TN 37013
(36.046152, -86.676242)"
"20-26992","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2020-12-02T00:00:00.000","2021-08-26T00:00:00.000","13302025000","THE BASEMENT LOUNGE",,"3306B  NOLENSVILLE PIKE","NASHVILLE","TN","37211","16","37017500","3306B NOLENSVILLE PIKE
NASHVILLE, TN 37211
(36.10112, -86.740232)"
"19-25991","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-04-24T00:00:00.000","2019-06-27T00:00:00.000","08209041300","WALDOS CHICKEN GERMANTOWN",,"1120  4TH AVE N 103","NASHVILLE","TN","37208","19","37019400","1120 4TH AVE N 103
NASHVILLE, TN 37208
(36.17571, -86.786731)"
"19-26004","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-05-01T00:00:00.000","2019-06-27T00:00:00.000","11714015900","EMMY SQUARED GREEN HILLS",,"3821  GREEN HILLS VILLAGE DR","NASHVILLE","TN","37215","25","37017901","3821 GREEN HILLS VILLAGE DR
NASHVILLE, TN 37215
(36.1086, -86.815498)"
"19-26021","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2019-05-08T00:00:00.000","2019-06-27T00:00:00.000","16200028900","LOVE MARKET TOBACCO & BEER",,"1309  BELL RD  205","ANTIOCH","TN","37013","31","37019111","1309 BELL RD 205
ANTIOCH, TN 37013
(36.046152, -86.676242)"
"18-25790","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2018-11-30T00:00:00.000","2019-06-27T00:00:00.000","08305012900","SMOKERS ABBEY, LLC","Jason Green 35%, Joshua Stump 45%","604  GALLATIN AVE  101","NASHVILLE","TN","37206","5","37011900","604 GALLATIN AVE 101
NASHVILLE, TN 37206
(36.182791, -86.748804)"
"19-26084","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2019-06-10T00:00:00.000","2019-06-27T00:00:00.000","09106030300","UPTOWN MARKET",,"5520  KENTUCKY AVE","NASHVILLE","TN","37209","20","37013300","5520 KENTUCKY AVE
NASHVILLE, TN 37209
(36.159631, -86.855339)"
"21-27304","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2021-06-18T00:00:00.000","2022-03-10T00:00:00.000","07213009500","OVERLORD","Melvil Martin Arnt","2503  GALLATIN AVE","NASHVILLE","TN","37206","5","37011700","2503 GALLATIN AVE
NASHVILLE, TN 37206
(36.195212, -86.742993)"
"19-26049","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-05-21T00:00:00.000","2019-06-27T00:00:00.000","07300003700","GRAND OLE OPRY",,"2804  OPRYLAND DR","NASHVILLE","TN","37214","15","37015300","2804 OPRYLAND DR
NASHVILLE, TN 37214
(36.20958, -86.691799)"
"21-27282","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2021-06-08T00:00:00.000","2022-03-10T00:00:00.000","14200021500","EL AGAVERO MEXICAN RESTAURANT",,"7657  HIGHWAY 70  S","NASHVILLE","TN","37221","22","37018409","7657 HIGHWAY 70 S
NASHVILLE, TN 37221
(36.078409, -86.950654)"
"19-25929","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2019-03-08T00:00:00.000","2019-11-07T00:00:00.000","10315004300","TRADER JOE'S #739",,"90  WHITE BRIDGE PIKE","NASHVILLE","TN","37205","24","37018102","90 WHITE BRIDGE PIKE
NASHVILLE, TN 37205"
"19-26299","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-10-02T00:00:00.000","2019-11-07T00:00:00.000","09309010700","The Mockingbird Nashville","Maneet Chauhan, Vivek Deora","121A  12TH AVE N","NASHVILLE","TN","37203","19","37019500","121A 12TH AVE N
NASHVILLE, TN 37203
(36.157575, -86.788123)"
"21-27040","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2021-01-12T00:00:00.000","2022-03-10T00:00:00.000","10700016500","CAMBRIA HOTEL & SUITES NASHVILLE AIRPORT",,"44  RACHEL DR","NASHVILLE","TN","37214","15","37015100","44 RACHEL DR
NASHVILLE, TN 37214
(36.144348, -86.675328)"
"19-25980","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-04-17T00:00:00.000","2019-11-08T00:00:00.000","09306400800","LOSER'S BAR & GRILL DOWNTOWN",,"111  4TH AVE S","NASHVILLE","TN","37201","19","37019500","111 4TH AVE S
NASHVILLE, TN 37201
(36.160507, -86.776825)"
"19-26265","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-09-16T00:00:00.000","2019-11-08T00:00:00.000","08212034000","Lakeside Lounge",,"921  WOODLAND ST","NASHVILLE","TN","37206","6","37019200","921 WOODLAND ST
NASHVILLE, TN 37206
(36.175532, -86.755081)"
"20-27012","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2020-12-15T00:00:00.000","2021-01-14T00:00:00.000","09100005900","WHITE BISON #6050",,"5202  CENTENNIAL BLVD  102","NASHVILLE","TN","37209","20","37013000","5202 CENTENNIAL BLVD 102
NASHVILLE, TN 37209
(36.163247, -86.850722)"
"20-27003","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2020-12-09T00:00:00.000","2021-01-14T00:00:00.000","07300003200","STAX BURGERS",,"2800  OPRYLAND DR","NASHVILLE","TN","37214","15","37015300","2800 OPRYLAND DR
NASHVILLE, TN 37214
(36.211694, -86.697639)"
"19-25906","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-03-01T00:00:00.000","2019-06-27T00:00:00.000","08600008900","JUICY SEAFOOD",,"5514  OLD HICKORY BLVD","HERMITAGE","TN","37076","12","37015623","5514 OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.180692, -86.606423)"
"19-25931","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-03-12T00:00:00.000","2019-06-27T00:00:00.000","09306311100","Downtown Sporting Club","Brian Waller (4.04%), Broadway Building VCF, LLC (75%), Robert Chapman (5.499%)","411  BROADWAY","NASHVILLE","TN","37203","19","37019500","411 BROADWAY
NASHVILLE, TN 37203
(36.160811, -86.777712)"
"20-27001","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2020-12-09T00:00:00.000","2021-01-14T00:00:00.000","07300003200","GAYLORD OPRYLAND MARKETPLACE",,"2800  OPRYLAND DR","NASHVILLE","TN","37214","15","37015300","2800 OPRYLAND DR
NASHVILLE, TN 37214
(36.211694, -86.697639)"
"19-25928","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2019-03-07T00:00:00.000","2019-11-08T00:00:00.000","13005000100","SAM'S PLACE","Allison Thomas, Sam Sanchez","6051  HIGHWAY 100","NASHVILLE","TN","37205","34","37018500","6051 HIGHWAY 100
NASHVILLE, TN 37205
(36.097271, -86.873104)"
"21-27250","ISSUED","BBPERMIT","ONOFFSALES","BB - On & Off Site Sales","2021-05-20T00:00:00.000","2021-08-26T00:00:00.000","11904013300","RAMZY'S MEAT & THREE",,"306 E THOMPSON LN","NASHVILLE","TN","37217","16","37015802","306 E THOMPSON LN
NASHVILLE, TN 37217
(36.125925, -86.712542)"
"21-27324","ISSUED","BBPERMIT","ONSALES","BB - On Site Sales","2021-07-06T00:00:00.000","2021-08-26T00:00:00.000","08301041700","THE AUTHENTIQUE",,"925  GALLATIN AVE  103","NASHVILLE","TN","37206","6","37011700","925 GALLATIN AVE 103
NASHVILLE, TN 37206
(36.187811, -86.746595)"
"09-16596","ISSUED","BBPERMIT","OFFSALES","BB - Off Site Sales","2009-09-09T00:00:00.000","2009-12-29T00:00:00.000","03405013000","Dollar General #9630","Dolgencorp, LLC","1578  Gallatin PIKE N","Madison","TN","37115","10","37010401","1578 Gallatin PIKE N
Madison, TN 37115
(36.292052, -86.702981)"
