"zone","subzone","community","company","projected_investment_1","reported_actual_investment","projected_job_creation_retention_1","reported_current_jobs_2","reported_jobs_transferredto_zone_3","reported_baseline_jobs_at_designation_4","reported_actual_job_creation_retention_5","reported_avg_weekly_wage_of_jobs_created","change_in_taxable_value_tv","change_in_sev","first_year_benefits_received"
"City of Flint","Downtown-Office-Retail",,"Community First, LLC 6","3000000","3176000","None","34","30","0","4","885","97.5","96.4","2009"
"City of Saginaw","Lufkin Rule/Hess Avenue/Fairgrounds",,"Hausbeck Pickle Company 6","1500000","3390213","None","79","37","38","4","600","3843","3843","2011"
"Muskegon/Muskegon Heights","Former Muskegon Mall","City of Muskegon","Heritage Square Development, LLC 7","5000000","1949727","12","5","1","0","4","Not Reported","414.5","414.2","2009"
"City of Grand Rapids","Furniture Center",,"Hotel Holdings Monroe 6, 7","37200000","2869995","150","4","0","0","4","Not Reported","26.9","34.200000000000003","2009"
"City of Detroit","Southwest/Delray",,"Waterfront Petroleum Terminal Co.","2668500","2192138","5","15","2","7","6","1799","-3.4","-3.4","2012"
"Border","Village of Middleville","Village of Middleville","ChemQuest, Inc.","250000","1255975","22","15","0","9","6","783","5.9","36.1","2012"
"City of Flint","Historic-Industrial-Housing",,"River City Developments, LLC and Rogers Foam Corporation","350000","2186000","15","10","0","0","10","785","343","343","2009"
"City of Saginaw","Central Business District",,"Saginaw Cooperative Hospitals, Inc. (Amended)","1500000","2255786","10","37","0","27","10","604","1592.7","1592.7","2011"
"Military","K.I. Sawyer","Township of Forsyth","Frontier Medical Devices, Inc. 6","2400000","1180961","12","17","0","0","17","842",,,"2011"
"City/County of Jackson","Production Engineering Subzone","City of Jackson","Alro Steel Corporation","1800000","4028265","10","49","0","31","18","673","1817.2","1817.2","2013"
"Mid-Michigan Economic Growth Corridor ","Township of LeRoy","Township of LeRoy","Acme Pallet, Inc. 6","3150000","4749871","10","23","0","0","23","400","12565.5","8696","2011"
"Military","K.I. Sawyer","Township of Forsyth","RNFL Acquisitions (d.b.a. Michigan Renewable Carbon) 6","16000000","25865803","27","41","0","14","27","638","10.4","26.3","2009"
"City of Detroit","Livernois/Intervale",,"Detroit Chrome, Inc. (dba DCI Aerotech)","5000000","6976485","20","72","0","44","28","720","-31.6","753.8","2010"
"Montcalm/Gratiot","Village of Edmore","Village of Edmore","Specialty Lifting Equipment, Inc. (formerly Apiaries & Orchard, Inc.)","302000","723915","6","28","0","15","28","750","3","3","2009"
"Mid-Michigan Economic Growth Corridor ","Village of Farwell","Village of Farwell","Terex USA, LLC dba Terex Woodsman","1100000","1189770","87","50","0","20","29","700",,,"2010"
"Montcalm/Gratiot","City of Howard/Township of Pierson/Township of Reynolds","Township of Pierson","Flex-Cable","222000","1357883","26","61","0","31","30","400","28","28","2011"
"City of Lansing","Ottowa Station",,"Phoenix Development Partners, LLC & Accident Fund 6","94000000","149782000","None","531","9","490","32","1371","1210.5999999999999","1264.9000000000001","2010"
"City of Saginaw","Northeast Saginaw",,"Midwest Manufacturing","5700000","7737076","25","33","0","0","33","534","202.4","51.2","2011"
"City of Grand Rapids","Furniture Center",,"607 Dewey, LLC (True North) 6","1900000","1987898","None","44","1","0","43","1800","706.3","476.9","2010"
"City of Flint","University Park",,"Genesee Packaging, Inc. 6","600000","258589","40","64","0","18","46","374","7.2","-10.3","2011"
"City of Saginaw","Central Business District",,"Gateway Financial Services, Inc.","1800000","2129601","30","109","0","59","50","800","-61.5","-61.5","2011"
"City of Flint","Historic-Industrial-Housing",,"General Motors 6","5000000","30958723","50","456","211","192","53","1280","-54.3","-24.5","2009"
"City of Flint","Great Lakes Medical Complex",,"IINN, Inc.","18000000","7556865","100","118","0","20","98","735",,,"2011"
"Berrien County/City of Benton Harbor/Benton Twp. Renaissance Zone","Miller's Pond","City of Benton Harbor","Whirlpool Corp. 6","65325843","56123605","868 (ret)*","762","629","0","133","1898","-51.8","-42.4","2011"
"City of Detroit","Lynch Road",,"Detroit Chassis, LLC 6","2000000","1475517","80","213","0","80","133","593","-24.8","-24.8","2010"
"Kalamazoo/Battle Creek","Midlink Bus. Pk.","Township of Comstock","Kaiser Aluminum Fabricated Products, LLC 6","50000000","178709104","150","180","11","14","155","900","2348.6999999999998","2358","2010"
"Berrien County/City of Benton Harbor/Benton Twp. Renaissance Zone","Elisha Gray","Charter Township of Benton","Whirlpool Corp. 6","21538996","78874090","None","489","95","0","394","823","-3.6","-3.6","2011"
"City of Detroit","Southwest/Delray",,"Mobis North America, LLC 6","21900000","41051658","200","586","8","0","578","867","1525.1","152.1","2010"
"City of Flint","Great Lakes Medical Complex",,"Diplomat Specialty Pharmacy, LLC 6","9900000","11580288","1039","974","27","269","678","694","-25.6","-25.6","2011"
"Berrien County/City of Benton Harbor/Benton Twp. Renaissance Zone","Edgewater Redevelopment","Charter Township of Benton","Whirlpool Corp. 6","175000","78909962","None","908","203","0","705","1792","1.1000000000000001","1.5","2011"
"Montcalm/Gratiot","City of Howard/Township of Pierson/Township of Reynolds (Revoked 6/24/2014)","Township of Pierson","Sietsema Farms Feeds",,,"Revoked",,,,,"Revoked",,,"2009"
"Military","K.I. Sawyer","Township of Forsyth","Potlatch Wood Products Corp.","2000000","12412921","125 (ret)","130","0","125",,"603","23","23","2003"
"City of Grand Rapids","Furniture Center ",,"American Seating 6, 7",,,"Did Not Report - No Reporting Requirements",,,,,"Did Not Report - No Reporting Requirements",,,"2009"
"City of Detroit","Production Engineering Subzone","City of Jackson","Production Engineering, Inc. 6","11200000","13173000","112(ret)
68 (cre)","64","0","112",,"Not Reported","115.8",,"2009"
"City of Grand Rapids","Furniture Center",,"Israel aka SSP Properties 7",,,"Did Not Report - No Reporting Requirements",,,,,"Did Not Report - No Reporting Requirements",,,"2009"
