"fy_approved","company_name","msf_approval_date","municipality","county","project_type","incentive_type","approved_amount","actual_amount_disbursed","proposed_qualified_investment_attracted","actual_qualified_investment_attracted","committed_number_of_new_jobs","total_projected_jobs","actual_net_new_jobs","new_hires_relocated_to_mi","actual_new_hires_for_period","educational_attainment_less_than_a_high_schooldiploma","educational_attainment_high_school_diploma_or_equivalent","educational_attainment_advanced_training_certificate","educational_attainment_some_colleg","educational_attainment_associate_degree","educational_attainment_bachelor_s_degree","educational_attainment_master_s_degree","educational_attainment_doctorate_degree"
"FY12","Materna North America Corp.","2012-07-25T00:00:00.000","Grawn","Grand Traverse","Expansion","Other","3000000.00","3000000.00","23472500.00","22521824.00","65","65","127","0","22","0","13","0","0","1","7","1","0"
"FY12","Thai Summit America Corp. fka Ogihara America Corp.","2012-08-09T00:00:00.000","Howell","Livingston","Expansion","Grant","300000.00","200000.00","34987000.00","76983425.00","78","78","158","4","120","1","76","4","14","8","14","2","1"
"FY12","Pinnacle Foods Group LLC","2012-08-15T00:00:00.000","Imlay City","Lapeer","Expansion","Grant","800000.00","800000.00","14331125.00","25840000.00","29","29","57","0","6","0","6","0","0","0","0","0","0"
"FY12","Jason Incorporated
dba Janesville Acoustics","2012-08-22T00:00:00.000","Battle Creek","Calhoun","Relocation","Grant","1500000.00","1500000.00","15050000.00","12700000.00","225","256","70","0","70","0","61","0","8","0","1","0","0"
"FY12","Alternative Automotive Technologies LLC 14""","2012-08-27T00:00:00.000","Troy","Oakland","Expansion","Grant","500000.00","350000.00","5708000.00","6086948.00","176","176","76","0","71","3","31","13","14","4","4","2","0"
"FY12","Mayser Polymer USA Inc.","2012-08-29T00:00:00.000","Canton","Wayne","Expansion","Grant","200000.00","100000.00","3921600.00","2500000.00","50","50","51","0","13","0","4","0","7","2","0","0","0"
"FY12","RSB Transmissions NA Inc.4","2012-09-04T00:00:00.000","Homer","Calhoun","Expansion","Grant","350000.00","0.00","14284000.00","0.00","100","109","0","0","0","0","0","0","0","0","0","0","0"
"FY12","Magna Sealing and Glass Systems","2012-09-27T00:00:00.000","Holland","Ottawa","Expansion","Grant","1200000.00","300000.00","10148304.00","2200000.00","177","177","30","0","30","0","30","0","0","0","0","0","0"
"FY12","Dieomatic Inc. dba P&F Systems","2012-09-28T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","690000.00","150000.00","25861000.00","24000000.00","230","230","186","0","76","20","0","7","24","6","14","5","0"
"FY12","Mophie LLC","2012-09-28T00:00:00.000","Kalamazoo","Kalamazoo","Expansion","Grant","240000.00","75000.00","4010000.00","3183921.00","50","51","59","0","52","0","11","5","19","5","11","1","0"
"FY12","Marrone Michigan Manufacturing LLCM ""","2012-09-28T00:00:00.000","Bangor","Van Buren","New","Grant","350000.00","0.00","19005000.00","2054466.00","39","39","39","0","5","2","0","0","0","1","1","1","0"
"FY12","The Martin-Brower Company LLCM","2012-09-28T00:00:00.000","St. Johns","Clinton","Expansion","Grant","500000.00","350000.00","16250000.00","18953782.00","150","162","117","0","26","0","8","0","14","2","2","0","0"
"FY13","Continental Automotive Systems Inc.'","2012-10-22T00:00:00.000","Auburn Hills","Oaldand","Expansion","Grant","1000000.00","0.00","1650000.00","0.00","250","300","258","8","89","0","2","0","0","1","64","16","6"
"FY13","RNFL Acquisition LLC .","2012-10-24T00:00:00.000","Forsyth Township","Marquette","New","Other","2000000.00","2000000.00","16985000.00","7100000.00","27","41","20","0","12","0","7","1","2","0","2","0","0"
"FY13","The Armored Group LLC 14","2012-10-31T00:00:00.000","Dearborn Heights","Wayne","Expansion","Grant","1000000.00","400000.00","1455000.00","1009235.00","240","240","0","0","0","0","0","0","0","0","0","0","0"
"FY13","Undercar Products Group Inc.","2012-11-01T00:00:00.000","Wyoming","Kent","Expansion","Grant","475000.00","475000.00","26047023.00","85000.00","150","158","419","0","258","21","205","9","5","0","18","0","0"
"FY13","Henrob Corporation","2012-11-02T00:00:00.000","Lyon Township","Oakland","Expansion","Grant","300000.00","200000.00","68491000.00","0.00","152","158","128","0","77","0","36","16","5","7","9","4","0"
"FY13","Summit Polymers Inc.","2012-11-08T00:00:00.000","Sturgis, Portage and
Vicksburg","Kalamazoo","Expansion","Grant","370000.00","370000.00","9300000.00","8754579.00","70","74","192","4","192","7","86","9","55","10","25","0","0"
"FY13","Cataphora Inc.'","2012-11-19T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","300000.00","150000.00","206200.00","0.00","30","30","0","0","0","0","0","0","0","0","0","0",
"FY13","Dart Container Corporation","2012-11-28T00:00:00.000","Alaiedon Township","Ingham","Expansion","Grant","3000000.00","500000.00","47000000.00","64586243.00","325","347","661","43","424","40","146","25","8","36","121","43","5"
"FY13","Getman Corporation.","2012-12-04T00:00:00.000","Comstock Charter Township","Kalamazoo","Expansion","Grant","300000.00","0.00","5538560.00","6562000.00","150","150","-20","0","0","0","0","0","0","0","0","0","0"
"FY13","OPS Solutions LLC","2012-12-06T00:00:00.000","Novi","Oaldand","Expansion","Grant","400000.00","250000.00","268000.00","500000.00","25","25","6","0","2","0","0","0","2","0","0","0","0"
"FY13","La-Z-Boy Inc.'","2012-12-19T00:00:00.000","Monroe","Monroe","Expansion","Grant","3000000.00","1500000.00","51500000.00","54066929.00","50","50","88","0","55","0","20","0","0","9","24","2","0"
"FY13","Canal Street Brewing Co. LLC dba Founders Brewing Company","2012-12-19T00:00:00.000","Grand Rapids","Kent","Expansion","Other","2000000.00","2000000.00","26000000.00","14700000.00","52","52","64","0","40","0","15","4","8","3","9","1","0"
"FY13","Two Men and A Truck International","2013-01-09T00:00:00.000","Delhi Township","Ingham","Expansion","Grant","350000.00","235000.00","3951900.00","3191691.00","70","95","51","1","51","0","7","0","20","2","18","4","0"
"FY13","Dieomatic Inc.
dba Cosma Casting Michigan","2013-01-23T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","1600000.00","0.00","162072542.00","0.00","500","527","75","0","75","5","24","0","17","11","14","4","0"
"FY13","Whirlpool Corporation","2013-01-23T00:00:00.000","Benton Harbor","Berrien","Relocation","Grant","2400000.00","1900000.00","18945000.00","18454452.00","180","180","120","41","64","0","0","0","0","3","54","7","0"
"FY13","Denso Manufacturing Michigan Inc.","2013-01-23T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","1460000.00","1460000.00","105440764.00","36918960.00","266","266","517","26","517","55","242","2","116","31","57","14","0"
"FY13","Denso International America Inc.","2013-01-23T00:00:00.000","Southfield","Oaldand","Expansion","Grant","1540000.00","500000.00","45700000.00","55598000.00","176","176","150","6","103","0","0","2","9","2","74","14","2"
"FY13","Norplas Industries Inc.","2013-01-23T00:00:00.000","Brownstown Township and Delta Township","Wayne","Expansion","Grant","1700000.00","0.00","81750485.00","81750485.00","520","558","210","0","210","0","166","3","0","15","25","1","0"
"FY13","Rigaku Innovative Technologies Inc.","2013-01-23T00:00:00.000","Auburn Hills","Oaldand","Expansion","Other","2000000.00","2000000.00","55700000.00","0.00","25","27","-3","0","0","0","0","0","0","0","0","0","0"
"FY13","Lenawee Stamping Corporation","2013-01-23T00:00:00.000","Tecumseh","Lenawee","Expansion","Grant","5300000.00","2300000.00","30682381.00","18638760.00","450","530","206","0","17","0","10","0","0","0","7","0","0"
"FY13","Moran Iron Works Inc.","2013-01-23T00:00:00.000","Onaway and Rogers City","Cheboygan","Expansion","Grant","2000000.00","1000000.00","16224911.00","4929942.00","75","75","41","2","30","0","30","0","0","0","0","0","0"
"FY13","Black & Veatch Corporation","2013-01-25T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","435000.00","100000.00","13488723.00","1488024.00","75","78","41","7","30","0","1","0","0","9","18","2","0"
"FY13","Baker Aerospace Tooling & Machining Inc.'","2013-01-29T00:00:00.000","Macomb Township","Macomb","Expansion","Grant","800000.00","200000.00","9856650.00","7600000.00","165","188","74","0","62","0","38","1","17","0","5","1","0"
"FY13","Lyons Consulting Group LLC","2013-03-01T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","300000.00","60000.00","1142833.00","3072332.00","30","30","17","1","17","0","0","0","0","0","17","0","0"
"FY13","Detroit Thermal Systems LLC","2013-03-21T00:00:00.000","Romulus","Wayne","New","Grant","750000.00","750000.00","27073125.00","0.00","312","382","442","0","357","0","320","0","6","2","24","5","0"
"FY13","Southwest Michigan First Corp","2013-03-27T00:00:00.000","Kalamazoo","Kalamazoo","New","Loan","4000000.00","4000000.00","4265000.00","2180976.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FY13","Newell Rubbermaid Inc.","2013-03-27T00:00:00.000","Kalamazoo","Kalamazoo","Relocation","Grant","2000000.00","1400000.00","2300000.00","50000.00","100","100","91","18","18","0","0","0","0","0","14","3","1"
"FY13","Rassini Brakes LLC","2013-04-04T00:00:00.000","Mt. Morris Charter Township","Genesee","New","Grant","500000.00","500000.00","17310800.00","18000000.00","55","59","71","1","4","0","4","0","0","0","0","0","0"
"FY13","Bleistahl North America LP","2013-04-05T00:00:00.000","Battle Creek","Calhoun","New","Grant","475000.00","120000.00","11593900.00","4770000.00","55","58","20","1","11","1","5","1","3","1","0","0","0"
"FY13","Kay Manufacturing Co.","2013-04-08T00:00:00.000","St. Joseph Charter Township","Berrien","Expansion","Grant","350000.00","110000.00","9290000.00","11298022.00","80","80","41","1","24","0","17","0","4","1","2","0","0"
"FY13","Belmont Engineered Plastics LLC","2013-04-15T00:00:00.000","Belmont","Kent","New","Grant","900000.00","450000.00","5510000.00","5600000.00","62","62","6","1","6","1","0","2","0","0","3","0","0"
"FY13","Grand Rapids Chair Company","2013-04-15T00:00:00.000","Byron Township","Kent","Expansion","Grant","200000.00","0.00","2540000.00","2490000.00","50","50","14","0","14","0","8","0","0","0","6","0","0"
"FY13","Automatic Data Processing Inc. (ADP Dealer Services)","2013-04-24T00:00:00.000","Detroit","Wayne","Expansion","Grant","1500000.00","1000000.00","3300000.00","0.00","150","150","129","0","99","0","0","0","0","99","0","0","0"
"FY13","Rec Boat Holdings LLC","2013-04-25T00:00:00.000","Cadillac","Wexford","Expansion","Grant","1000000.00","800000.00","4785381.00","3067858.00","135","150","55","3","55","0","45","0","4","2","4","0","0"
"FY13","JR Automation Technologies LLC","2013-04-29T00:00:00.000","Holland Charter Township and Olive Township","Ottawa","Expansion","Grant","300000.00","300000.00","4166000.00","0.00","90","99","93","0","93","0","12","12","20","6","42","1","0"
"FY13","Kay Print Screening Inc.
dba Kay Automotive Graphics","2013-05-06T00:00:00.000","Orion Charter Township","Oaldand","Expansion","Grant","350000.00","0.00","12915000.00","13150000.00","50","50","30","1","30","0","21","1","0","3","4","1","0"
"FY13","Post Foods LLC","2013-05-07T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","700000.00","0.00","29825000.00","388609373.00","92","92","48","0","34","0","14","9","11","0","0","0","0"
"FY13","SMR Automotive Systems USA Inc.","2013-05-22T00:00:00.000","Marysville","St. Clair","Expansion","Grant","4000000.00","1600000.00","40237154.00","32271862.00","350","366","227","1","128","0","106","1","4","2","14","1","0"
"FY13","Merhow Acquisition LLC dba Merhow Industries","2013-06-03T00:00:00.000","White Pigeon","St. Joseph","Relocation","Grant","200000.00","100000.00","1075000.00","194000.00","46","46","31","0","29","10","9","3","5","0","1","1","0"
"FY13","TRMI Inc.","2013-06-03T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","700000.00","470000.00","11100000.00","12233707.00","150","153","147","0","97","0","83","3","0","3","8","0","0"
"FY13","Senderra RX Partners LLC","2013-06-14T00:00:00.000","Flint Township","Genesee","Expansion","Grant","500000.00","0.00","675500.00","51285.00","170","172","73","0","63","0","3","15","15","18","11","1","0"
"FY13","ZYNP International Corporation","2013-06-21T00:00:00.000","Romulus","Wayne","Expansion","Grant","350000.00","175000.00","9561532.00","394451.00","51","51","32","0","5","0","3","0","0","0","1","1","0"
"FY13","Integrated Manufacturing
& Assembly LLC'","2013-06-26T00:00:00.000","Detroit","Wayne","Expansion","Grant","4600000.00","800000.00","32454809.00","37879660.00","851","1089","462","2","271","7","195","4","35","7","17","6","0"
"FY13","GKN Driveline North AnleriCa 111C.","2013-07-11T00:00:00.000","Auburn Hills","Oaldand","Expansion","Grant","1000000.00","670000.00","5100000.00","1000000.00","50","50","43","0","43","7","0","1","0","0","23","11","1"
"FY13","Detroit Diesel Corporation","2013-07-18T00:00:00.000","Redford Township","Wayne","Expansion","Grant","250000.00","0.00","77200000.00","0.00","50","79","237","0","237","0","33","8","34","20","123","19","0"
"FY13","Fairlife LLC","2013-07-22T00:00:00.000","Coopersville","Ottawa","New","Grant","900000.00","360000.00","127563150.00","40000000.00","125","133","98","0","47","0","20","5","8","4","8","2","0"
"FY13","TPUSA Inc.
dba TeleperformanceUSA","2013-07-23T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","600000.00","0.00","3792000.00","2126220.00","400","500","149","0","149","10","130","0","8","0","1","0","0"
"FY13","Jackson National Life Insurance Company'","2013-07-24T00:00:00.000","Lansing","Ingham","Expansion","Grant","3000000.00","750000.00","100000004.00","32090966.00","400","1019","570","15","531","0","215","28","160","19","92","12","5"
"FY13","Asterand Inc.","2013-07-29T00:00:00.000","Detroit","Wayne","Expansion","Grant","250000.00","0.00","1700000.00","443552.00","25","25","5","0","5","0","2","0","0","0","3","0","0"
"FY13","Coyote Logistics LLC","2013-08-05T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","1000000.00","0.00","1200500.00","140000.00","120","125","36","15","35","0","1","0","3","3","28","0","0"
"FY13","VernDale Products Inc.","2013-08-28T00:00:00.000","Detroit","Wayne","Expansion","Other","436000.00","436000.00","15991458.00","19000000.00","13","13","7","1","7","4","0","2","0","0","1","0","0"
"FY13","Firstronic LLC ""","2013-09-04T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","300000.00","300000.00","2245000.00","0.00","110","121","0","0","0","0","0","0","0","0","0","0","0"
"FY13","ADAC Plastics Inc.
dba ADAC Automotive","2013-09-09T00:00:00.000","Muskegon","Muskegon","Expansion","Grant","650000.00","200000.00","7903000.00","0.00","90","97","-34","0","0","0","0","0","0","0","0","0","0"
"FY13","Dairy Farmers of America Inc.'","2013-09-25T00:00:00.000","Cass City","Tuscola","Expansion","Grant","500000.00","0.00","40000000.00","33097529.00","25","25","2","2","2","0","0","1","0","0","1","0","0"
"FY13","ReNu Wireless USA LLC","2013-09-29T00:00:00.000","Roseville","Macomb","Expansion","Grant","900000.00","0.00","5251002.00","0.00","200","228","2","0","2","0","0","0","0","0","2","0","0"
"FY13","Longbow Advantage Inc.","2013-09-10T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","250000.00","0.00","412400.00","0.00","32","32","2","0","2","0","0","0","0","0","2","0","0"
"FY13","Unique Tool and Manufacturing Co. Inc.","2013-07-26T00:00:00.000","Bedford Township","Monroe","Expansion","Grant","150000.00","0.00","4669325.00","5574424.00","57","62","1","0","1","0","1","0","0","0","0","0","0"
"FY13","Blissfield Manufacturing Company","2013-06-14T00:00:00.000","Bfissfield","Lenawee","Expansion","Grant","365000.00","125000.00","1530735.00","0.00","68","73","29","0","11","0","9","0","0","1","1","0",
"FY13","Herbruck Poultry Ranch Inc.","2013-02-14T00:00:00.000","Ionia and Saranac","Ionia","Expansion","Grant","500000.00","500000.00","17150000","3451053.00","50","55","53","0","10","2","6","1","1","0","0","0","0"
"FY13","Challenge Manufacturing Company","2013-03-11T00:00:00.000","Holland and Walker","Allegan","Expansion","Grant","1000000.00","1000000.00","10290000","24186098.00","180","180","153","0","153","16","80","7","27","5","18","0","0"
"FY13","Hanwha L&C Alabama LLC","2013-03-12T00:00:00.000","Monroe","Monroe","Expansion","Grant","300000.00","100000.00","12000000","10283000.00","70","70","21","0","30","0","26","0","0","0","4","0","0"
"FY14","Ml Rail","2014-03-25T00:00:00.000","Detroit","Wayne","New","Loan","10000000.00","0.00","131957023.00",,"0","41",,,,,,,,,,,
"FY14","Universal Marketing Group LLC","2013-10-01T00:00:00.000","Ann Arbor","Washtenaw","New","Grant","600000.00","0.00","568662.00","715308.00","400","411","59","1","59","0","18","3","26","3","9","0","0"
"FY14","JCIM US, LLC (Johnson Controls Interior Manufacturing)","2013-10-02T00:00:00.000","Frenchtown Charter Township","Monroe","Expansion","Grant","800000.00","500000.00","16927000.00","4550000.00","182","182","170","0","152","0","77","3","20","0","50","2","0"
"FY14","Triumph Gear Systems -Macomb Inc.","2013-10-07T00:00:00.000","Macomb Township","Macomb","Expansion","Grant","250000.00","0.00","15180000.00","8956894.00","60","60","3","0","3","0","0","1","2","0","0","0","0"
"FY14","Fontijne Formitt Inc.","2013-10-15T00:00:00.000","Milton Township","Cass","New","Grant","300000.00","0.00","2618000.00","0.00","31","31","14","0","0","0","0","0","0","0","0","0","0"
"FY14","Charter House Holdings LLC","2013-10-15T00:00:00.000","Holland Charter Township",,"Expansion","Grant","200000.00","50000.00","3052000.00","3012296.00","50","60","13","0","13","0","13","0","0","0","0","0","0"
"FY14","Comprehensive Logistics Inc.","2013-10-17T00:00:00.000","Detroit","Wayne","Expansion","Grant","800000.00","0.00","18140000.00","15300000.00","400","402","36","0","36","0","20","5","3","2","6","0","0"
"FY14","Navitas Systems LLC","2013-10-17T00:00:00.000","Pittsfield Charter Township","Washtenaw","Expansion","Grant","1000000.00","250000.00","9287000.00","1135015.00","125","125","15","0","14","0","0","0","6","1","4","1","2"
"FY14","Aisin Technical Center of North America Inc.","2013-10-23T00:00:00.000","Northville Charter Township","Wayne","Expansion","Grant","1200000.00","0.00","32724600.00","0.00","151","151","18","2","18","0","0","0","18","0","0","0","0"
"FY14","Pillar Technology Group LLC","2013-11-01T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","350000.00","75000.00","1425000.00","41000.00","45","45","14","0","14","0","1","0","7","3","0","3","0"
"FY14","Ventra Grand Rapids 5 LLC","2013-11-05T00:00:00.000","Kentwood","Kent","Expansion","Grant","650000.00","215000.00","16296797.00","12873920.00","150","181","63","0","63","0","60","1","0","0","2","0","0"
"FY14","Cooper Standard Automotive Inc.","2013-11-06T00:00:00.000","Comins Township","Oscoda","Expansion","Grant","1000000.00","272000.00","6359817.00","2622000.00","177","177","37","0","37","0","21","1","13","0","2","0","0"
"FY14","SRI International","2013-11-20T00:00:00.000","Charter Township ofPlymouth","Wayne","Expansion","Grant","800000.00","0.00","624535.00","0.00","25","25","7","0","7","0","0","0","1","0","2","1","3"
"FY14","HTC Global Services Inc.","2013-11-20T00:00:00.000","Troy","Oakland","Expansion","Grant","1750000.00","0.00","3372500.00","46825.00","203","203","5","5","5","0","0","0","0","0","5","0","0"
"FY14","Niowave Inc.","2013-11-20T00:00:00.000","Dewitt and Lansing","Ingham","Expansion","Other","3000000.00","1000000.00","79000000.00","0.00","90","120","13","2","13","0","5","1","1","1","3","0","2"
"FY14","Spartan Stores Inc.","2013-11-20T00:00:00.000","Byron Township","Kent","Expansion","Grant","2750000.00","500000.00","18271496.00","1138840.00","372","372","30","2","30","0","1","0","4","3","19","2","1"
"FY14","Mahindra Tractor Assembly Inc. dba Mahindra Genie","2013-11-25T00:00:00.000","Ann Arbor","Washtenaw","New","Grant","300000.00","0.00","2010000.00","1990000.00","34","34","12","2","12","0","0","2","2","1","3","3","1"
"FY14","Industrial Services Group Inc. dba Compositech","2013-12-04T00:00:00.000","Vergennes Township","Kent","Expansion","Grant","175000.00","0.00","1630000.00","1078500.00","50","50","2","1","4","0","3","0","0","0","1","0","0"
"FY14","Circuit Controls Corporation","2013-12-11T00:00:00.000","Bear Creek Township","Emmet","Expansion","Grant","180000.00","0.00","21722000.00","7679337.00","36","36","10","1","10","0","0","2","4","1","3","0","0"
"FY14","Vectorform LLC ""","2013-12-12T00:00:00.000","Royal Oak","Oaldand","Expansion","Grant","375000.00","0.00","2240455.00","0.00","75","75","0","0","0","0","0","0","0","0","0","0","0"
"FY14","Medimpact Healthcare Systems Inc.""","2013-12-19T00:00:00.000","Van Buren Charter
Township","Wayne","New","Grant","150000.00","0.00","2074000.00","0.00","75","75","0","0","0","0","0","0","0","0","0","0","0"
"FY14","Mann + Hummel USA, Inc.","2014-01-31T00:00:00.000","Portage","Kalamazoo","Expansion","Grant","325000.00","0.00","17425000.00","7153240.00","70","70","62","3","62","0","52","0","0","0","10","0","0"
"FY14","Advance Engineering Company","2014-02-06T00:00:00.000","Canton Charter Township","Wayne","Expansion","Grant","400000.00","0.00","6554000.00","3300000.00","150","150","28","0","28","0","10","0","11","3","4","0","0"
"FY14","ThinkTech Inc.","2014-02-06T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","500000.00","0.00","2938551.00","224448.00","50","50","14","0","2","0","0","0","0","0","1","1","0"
"FY14","Capital Welding Inc.""","2014-02-24T00:00:00.000","Detroit","Wayne","Relocation","Grant","600000.00","0.00","20030000.00","1200000.00","100","100","30","0","30","0","28","0",,"0","1","0","0"
"FY14","Kalitta Air LLC","2014-02-25T00:00:00.000","Oscoda Charter Township","Iosco","Expansion","Grant","2000000.00","500000.00","9730431.00","187400.00","200","200","50","50","50","1","2","43","0","2","2","0","0"
"FY14","Xanedu Publishing Inc.","2014-02-26T00:00:00.000","Pittsfield Township","Washtenaw","Expansion","Grant","325000.00","0.00","1030000.00","75000.00","50","65","9","1","9","0","5","0","0","0","2","2","0"
"FY14","Proos Manufacturing Inc.","2014-03-05T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","200000.00","0.00","5665370.00","360000.00","50","50","9","0","9","0","3","2","2","1","0","1","0"
"FY14","Avon Protection Systems Inc.","2014-03-06T00:00:00.000","Cadillac","Wexford","Expansion","Grant","100000.00","0.00","925500.00","1100000.00","29","29","34","0","34","0","29","0","2","2","1","0","0"
"FY14","Nyloncraft of Michigan LLC","2014-03-14T00:00:00.000","Jonesville","Hillsdale","Expansion","Grant","150000.00","0.00","4693000.00","1200000.00","40","42","22","2","5","0","3","0","1","0","1","0","0"
"FY14","Hirata Corporation of America","2014-03-24T00:00:00.000","Lyon Township and -
Wixom","Oakland","Expansion","Grant","200000.00","0.00","2065380.00","57080.00","39","39","6","0","6","0","3","0","0","1","2","0","0"
"FY14","Oerlikon Balzers Coatings USA Inc.","2014-03-28T00:00:00.000","Orion Charter Township","Oakland","Expansion","Grant","250000.00","0.00","6038000.00","10000.00","50","50","1","1","5","0","1","1","0","1","2","0","0"
"FY14","Fuyao Automotive North America Inc.","2014-04-08T00:00:00.000","Orion Township","Oakland","Expansion","Grant","1000000.00","0.00","15390000.00","0.00","50","102","80","0","80","0","80","0","0","0","0","0","0"
"FY14","Molina Healthcare of Michigan Inc.","2014-04-22T00:00:00.000","Troy and Detroit","Oakland","Expansion","Grant","2296000.00","0.00","20323311.00","0.00","462","462","88","0","88","0","40","0","0","17","17","13","1"
"FY14","InGlass USA Inc.","2014-04-24T00:00:00.000","Byron Township","Kent","New","Grant","300000.00","0.00","17668890.00","797537.00","73","109","0","0","0","0","0","0","0","0","0","0","0"
"FY14","NOVO 1 Inc. ""","2014-04-24T00:00:00.000","Cascade Township","Kent","Expansion","Grant","550000.00","0.00","1500000.00","0.00","287","299","0","0","0","0","0","0","0","0","0","0","0"
