PROJ NUM,PROJ NAME,PROJ CITY,FUND RD CATEGORY,LIHTC AMT REQ,LIHTC AMT AWARD,SELF SCORE,FINAL SCORE,TOTAL UNITS,LIHTC UNITS,PROJ SET ASIDE,OWN CONTACT,PRIOR APP PROJ NUM,GP DEVELOPER,NONPROFIT,MANAGE AGENT,RELATED PARTY 1,RELATED PARTY 2,RELATED PARTY 3,SYNDICATOR,EQUITY RATE,EXTENDED LI USE PERIOD,CONST TYPE,0 BDRM,1 BDRM,2 BDRM,3P BDRM,15 PCT,20 PCT,25 PCT,30 PCT,35 PCT,40 PCT,45 PCT,50 PCT,55 PCT,60 PCT,MKT,PSH UNITS,ELDERLY,FAMILY,TOTAL DEV COST,APP DATE,PROJ DESIGNATION,APP CYCLE,PROJ MIMIMUM SET ASIDE,TYPE OF DEVE,NO BLDGS,ALLOC YEAR,COMMON AREA UNITS,COMMON SQ FT,MKT SQ FT,LIHTC SQ FT,PROJ ADDRESS 1,PROJ ADDRESS 2,PROJ COUNTY,PROJ STATE,PROJ ZIP CODE,OWN NAME,OWN PHONE,OWN CITY,OWN ZIP CODE,PROJ SET ASIDE 1,PROJ SET ASIDE 2,EMAIL,Project Location,Owner Location
A10018,Koehler Crossing,Plainwell,General,316804.00,0.00,320,,28,28,Rural,"David Cooper, Jr",,"The Woda Group, LLC",,"Woda Management & Real Estate, LLC","Woda Investor Member, LLC","Woda Housing of Plainwell, LLC",,City Real Estate Advisors,0.71,45,Acquisition/Rehab,,28,,,,2,,,,7,,9,,10,,,28,,3884712.00,03/01/2010 12:00:00 AM,Elderly,2nd Funding Round of Credit Year,40 @ 60,Apartment,1,"5,385",,15400,,,Allegan,MI,49080,Koehler Crossing LDHA LP,,"229 Huber Village BLVD, Suite 100",,Westerville,,43081,,,,
G16022,West Town Apartments,Plainwell,General,326690.00,,94,,48,44,Preservation,Thomas P. Penland,,Craftsmen Development LLC,,"Medallion Management, INC",Cree Construction Co. 1 LLC / D&D Consultants LLC,Tpenland LLC / James 127 LLC,MDV Properties GP LLC,Cinnaire,1.0071,45,Acquisition/Rehab,,24,20,4,,,,,,,,,,44,3,,,47,4438981.00,04/01/2016 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,3,10160,2055,29775,,,Allegan,MI,49080,West Town LDHA LP,,"834 King Highway, Suite 100",,Kalamazoo,,49001,Rural,,,
G16022,West Town Apartments,Plainwell,General,305146.00,,110,,48,44,Preservation,Thomas P. Penland,,Craftsmen Development LLC,,"Medallion Management, Inc.",Cree Construction Co. 1 LLC/D & D Consultants LLC,Tpenland LLC / James 127 LLC,MDV Properties GP LLC,Cinnaire,0.983,45,Acquisition/Rehab,,24,20,4,,,,10,,,,,,34,3,,,47,4458336.00,10/03/2016 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,3,"10,160",2055,29775,,,Allegan,MI,49080,West Town LDHA LP,,"834 King Highway, Suite 100",,Kalamazoo,,49001,Rural,,,
A10095,Olde Mill,Saugatuck,General,271898.00,0.00,329,,24,24,Rural,David Cooper Jr,,The Woda Group LLC,,Woda Management & Real Estate,Woda Investor Member LLC,Valhalla Michigan Portfolio I Partner LLC,,RBC Capital,0.73,45,Acquisition/Rehab,,11,10,2,,,,,,,,6,,18,,,,24,3065397.00,12/01/2010 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,2,"4,115",,17854,,,Allegan,MI,49453,Olde Mill LDHA LP,,"229 Huber Village BLVD, Suite 100",,Westerville,,43081,,,,
Z09004,Sawmill Estates Family II LDHA LP,Wayland,General,98394.00,0.00,205,,8,8,Rural,Lori Pung,,Phillip R. Seybert,,KMG Prestige,Seybert New LP,Great Lakes Capital Fund,,Great Lakes Capital Fund,0.72,30,New Construction,,,4,4,,,,,,2,,6,,,,1,,7,0.00,05/01/2009 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,1,,,9332,,,Allegan,MI,49348,Sawmill Estates Family II LDHA LP,,"805 W. Broadway, Suite 1",,Mt. Pleasant,,48858,,,,
T10086,Birchwood Meadows,Alpena,General,215976.00,0.00,235,,112,111,,James Schubiner,,The Access Group LLC,,AGM Management LLC,BWM Manager LLC,GL-Birchwood Meadows Alpena LLC,,Great Lakes Capital Fund,0.75,30,Acquisition/Rehab,,62,38,11,,,,,,,,,,111,,,56,55,0.00,11/01/2010 12:00:00 AM,Family & Elderly,Tax Exempt,40 @ 60,Apartment,11,"1,380",,107879,,,Alpena,MI,49707,BWM Apartments LDHA LLC,,"3150 Livernois, Suite 136",,Troy,,48083,,,,
B11013,JPS Pinecrest (5 existing properties),Alpena,General,1174287.00,0.00,347,,180,179,Distressed,Stephen Werth,,Kenneth  D. Werth,,Stratford Group Ltd,Pamela A. Werth,Werth Investments LLC,Stephen K. Werth,PNC Real Estate,0.8,45,Acquisition/Rehab,,112,67,,,,,,,,,,,179,,,,179,14811060.00,03/01/2011 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,10,"26,077",,125910,,,Alpena,MI,49707,JPS Pinecrest LDHA LP,,458 West Baldwin Street,,Alpena,,49707,Rural,,,
D13009,Riverside Manor Apartments,Au Gres,General,193394.00,0.00,177,,32,32,Preservation,Gary L. DeShano,,DeShano Development Corp,,GLD Management Company,Great Lakes Capital,,,Great Lakes Capital Fund,0.8,45,Acquisition/Rehab,,16,14,2,,,,,,,,,,32,,,,32,2658394.00,08/15/2013 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,2,"4,400",,21470,,,Arenac,MI,48703,Au Gres Riverside LDHA LP,,325 Commerce Court,,Gladwin,,48624,Rural,,,
D13009,Riverside Manor Apartments,Au Gres,General,230012.00,0.00,184,,32,32,Preservation,Gary L. DeShano,,DeShano Development Corp,,GLD Management Company,Gary L. DeShano,,,Raymond James TAX Credit Funds,0.84,45,Acquisition/Rehab,,16,14,2,,,,,,,,,,32,,,,32,2676651.00,02/15/2013 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,2,894,,21470,,,Arenac,MI,48703,Au Gres Riverside LDHA LP,,325 Commerce Court,,Gladwin,,48624,Rural,,,
D13008,Mill Creek Apartments,Standish,General,174458.00,0.00,180,,24,24,Preservation,Gary L. DeShano,,DeShano Development Corp,,GLD Management company,Gary L. DeShano,Raymond James TAX Credit Funds,,Raymond James TAX Credit Fund,0.84,45,Acquisition/Rehab,,12,12,,,,,,,,,,,24,,,,24,2040800.00,02/15/2013 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,3,,,20868,,,Arenac,MI,48658,Standish Mill Creek LDHA LP,,325 Commerce Court,,Gladwin,,48624,Rural,Distressed,,
E14010,Mill Creek Apartments,Standish,General,154538.00,0.00,156,,24,24,Preservation,Gary L. DeShano,D13008,DeShano Development Corp,,GLD Management Company,,,,Great Lakes Capital Fund,0.82,45,Acquisition/Rehab,,12,12,,,,,,,,,,,24,,,,24,2106157.00,02/14/2014 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,3,"2,640",,20868,,,Arenac,MI,48658,Standish Mill Creek LDHA LP,,325 Commerce Court,,Gladwin,,48624,Distressed,Rural,,
B11044,Auburn Square,Auburn,General,270041.00,0.00,155,,24,24,Preservation,"David Cooper, Jr",,The Woda Group LLC,,Woda Management & Real Estate LLC,Woda Investor Member LLC,Alpena Holdings LLC,,Alliant Capital,0.9,45,Acquisition/Rehab,,12,12,,,,,,,,,9,,15,,,,24,3146198.00,08/15/2011 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,3,"2,640",,14760,,,Bay,MI,48611,Auburn Square LDHA LP,,"229 Huber Village BLVD, Suite 100",,Westerville,,43081,Rural,,,
G16070,Auburn Square Apartments,Auburn,General,146188.00,,113,,24,24,Preservation,Gary DeShano,,DeShano Development Corporation,,GLD Management Company,,,,Cinnaire,0.98,45,Acquisition/Rehab,,12,12,,,,,,,,,,,24,,,,24,2090122.00,10/03/2016 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,3,"1,509",0,19488,,,Bay,MI,48611,Auburn Square Apartments LDHA LP,,325 Commerce Court,,Gladwin,,48624,Rural,,,
E14047,Maplewood Manor,Bay City,General,990619.00,0.00,180,,158,158,Preservation,T. Van Fox,,"MHT Housing, INC",Bay City Housing Commission,Continental Management LLC,Maplewood Manor MHT LLC,,,City Real Estate Advisors,0.88,45,Acquisition/Rehab,,157,1,,,,,,,,,,,158,,,158,,13419640.00,02/14/2014 12:00:00 AM,Elderly,2nd Funding Round of Credit Year,40 @ 60,Apartment,1,"14,882",,91083,,,Bay,MI,48708,Bay City Maplewood Manor LDHA LLC,,32600 Telegraph Road,,Bingham Farms,,48025,Elderly,Distressed,,
H17025,Vermont Street Commons,Bay City,General,538476.00,,128,,24,24,Open,Doug Rise,,RAD Conversion Specialists LLC,BCHC Development Inc.,Bay City Housing Commission,The Slavic Company,Premier Property Management,"RBC TAX Credit Equity, LLC","RBC Capital Equity Markets, LLC",0.89,45,New Construction,,2,8,14,,,,,,,,,,24,,,,24,5517724.00,04/03/2017 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,4,400,,28109,,,Bay,MI,48706,Vermont Street Commons LLC,,315 N. 14th Street,,Bay City,,48708,Distressed,,,
Y08007,Auburn 24 East,Williams TWP,General,200250.00,0.00,106,,24,24,,Douglas F. Larner,X07064,DeShano Development Corp,,GLD Management Company,Raymond James TAX Credit Funds,,,Raymond James TAX Credit Funds,0.78,45,New Construction,,,16,8,,,,,,,,12,,12,,3,,21,0.00,08/01/2008 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,2,,,24640,,,Bay,MI,48611,Auburn 24 East LP,,4428 Hamilton Way,,Gladwin,,48624,,,,
T09086,Gateway Village,Frankfort,General,219824.00,0.00,233,,36,36,Rural,Joe Hollander,Z09012,Hollander Development Corp,,Republic Management Corp,Frankfort Gateway Village LLC,,,Great Lakes Capital Fund,,30,New Construction,,8,20,8,,,,8,,,,,,28,,8,,36,5161779.00,11/18/2009 12:00:00 AM,Family,Tax Exempt,40 @ 60,Apartment,4,228,,42476,,,Benzie,MI,49635,Frankfort Housing LDHA LP,,"1822 W. Milham RD, Ste 1-C",,Portage,,49024,,,,
Z09012,Gateway Village,Frankfort,General,485954.00,0.00,193,,36,36,Rural,Joe Hollander,,Hollander Development Corp,,Republic Management Corp,Frankfort Gateway Village LLC,,,Great Lakes Capital Fund,0.62,45,New Construction,,8,20,8,,,,6,,,,12,,18,,4,,36,0.00,05/01/2009 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,4,300,,36268,,,Benzie,MI,49635,Frankfort Housing LDHA LP,,"1822 W. Milham RD, Ste 1-C",,Portage,,49024,,,,
T10048,Patterson Crossing,Frankfort,General,282239.00,0.00,,,56,56,Rural,David Cooper Jr,Y08092,The Woda Group LLC,,Woda Management & Real Estate LLC,"Woda Housing of MI, LLC","J. Woda Members, LLC",,City Real Estate,0.66,45,Acquisition/Rehab,,28,24,4,,3,,,,14,,17,,22,,,,56,7642615.00,04/06/2010 12:00:00 AM,Family,Tax Exempt,40 @ 60,Apartment,3,"4,518",,41480,,,Benzie,MI,49635,Patterson Crossing LLC,,"229 Huber Village BLVD, Ste 100",,Westerville,,43081,,,,
Y08092,Patterson Crossing,Frankfort,General,631826.00,0.00,181,,56,56,Rural,David Cooper Jr.,,The Woda Group LLC,,Woda Management & Real Estate LLC,Woda Housing of MI LLC,J. Woda Members LLC,,PNC Multifamily Capital,0.81,45,Acquisition/Rehab,,28,24,4,,3,,,,14,,17,,22,,,,56,0.00,08/01/2008 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,3,"4,518",,41480,,,Benzie,MI,49635,Patterson Crossing LLC,,229 Huber Village Boulevard Suite 100,,Westerville,,43081,,,,
Y08121,Benton Harobr HOPE VI-Phase IV Harbor Bluffs,Benton Harbor,General,818540.00,0.00,205,,52,52,Distressed,Anthony McGhee,T04028,Cornerestone Alliance,Cornerstone Alliance,"Cornerstone Starr Development Hope VI, LLC",Benton Harbor Housing Commission,"Cornerstone Star Development Hope VI, LLC",,Raymond James,0.82,45,New Construction,,,12,40,,,,,12,12,,20,,8,,5,,47,0.00,08/01/2008 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Townhome,6,,,63890,,,Berrien,MI,49022,BH HOPE VI PH IV LDHA LP,,38 W. Wall Street,,Benton Harbor,,49023,,,,
E14016,Berrien Homes,Benton Harbor,General,1408400.00,0.00,169,,160,160,Preservation,Arnold Leonard,,"Herman & Kittle Properties, Inc.","Homes For Berrien County Families, Inc.","Homes For Berrien County Families, Inc.",Berrien Homes LLC,,,Eagle Capital,0.89,45,Acquisition/Rehab,,15,45,100,,,,,,,,,,160,,,,160,20996015.00,02/14/2014 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,27,"7,820",,153778,,,Berrien,MI,49022,Berrien Homes LDHA LP,,1901 Council Drive,,Benton Harbor,,49022,Nonprofit,Rural,,
D13059,Harbor Hillcrest Homes,Benton Harbor,Special Needs,1110841.00,0.00,132,,44,44,PSH,Samuel Thomas,,Star Harbor Hillcrest Development Corp,Child And Family Services Of SW Michigan,"KMG Prestige, Inc.",,,,Great Lakes Capital Fund,0.81,45,New Construction,,,,44,,,,,,,,,,44,,11,,44,11693307.00,08/15/2013 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Single Family,44,"2,944",,63661,,,Berrien,MI,49022,Harbor Hillcrest LDHA LP,,2810 Leslie Park Circle,,Ann Arbor,,48105,Distressed,,,
G16028,Hayward Wells Estates,Benton Harbor,General,864450.00,,119,,81,81,Preservation,David Weiss,,"General Capital Development, LLC",,"KMG Prestige, Inc.","GENCAP Benton Harbor MM, LLC",,,US Bankcorp CDC,1.03,45,Rehab Only,,16,49,16,,,,17,,1,0,12,0,51,,12,,81,10367782.00,10/03/2016 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,9,"1,812",0,83052,,,Berrien,MI,49022,"GENCAP Benton Harbor LDHA, LLC",,6398 North Santa Monica BLVD,,Fox Point,,53217,Distressed,,,
G16028,Heyward Wells Estates,Benton Harbor,General,850000.00,,106,,81,81,Preservation,Joshua Hafron,,"General Capital Development, LLC",,"KMG Prestige, Inc.","GENCAP Benton Harbor MM, LLC",,,US Bankcorp CDC,0.98,45,Acquisition/Rehab,,16,49,16,,,,9,,23,0,8,0,41,0,,,81,9409773.00,04/01/2016 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,9,9330,,75534,,,Berrien,MI,49022,"GENCAP Benton Harbor LDHA, LLC",,212 West Kinzie,,Chicago,,60654,Distressed,,,
A10010,Main Street Apartments,Berrien Springs,General,142923.00,0.00,268,,24,24,Rural,Jeff Gates,Z09017,T J Acquisitions LLC,,"KMG Prestige, INC",Thomas L. Lapka,,,The Summit Group,0.62,45,Acquisition/Rehab,,4,12,8,,,,6,,6,,6,,6,,,,24,2075030.00,03/01/2010 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,2,"1,920",,17008,,,Berrien,MI,49103,TJ Main Street LDHA LP,,605 South Capitol Avenue,,Lansing,,48933,,,,
D13016,Main Street Apartments,Berrien Springs,General,202117.00,0.00,174,,24,24,Preservation,Jeffrey F. Gates,,TJ Acquisitions LLC,,Watermark Management Group LLC,Thomas L. Lapka,,,Great Lakes Capital Fund,0.83,45,Acquisition/Rehab,,4,12,8,,,,,,,,,,24,,,,24,2412760.00,02/15/2013 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,2,"3,799",,18720,,,Berrien,MI,49103,TJ Main Street LDHA LP,,605 South Capitol Avenue,,Lansing,,48933,Rural,,,
Z09017,Main Street Apartments,Berrien Springs,General,130349.00,0.00,175,,24,24,Rural,Jeff Gates,,Jeffrey F. Gates,,"KMG Prestige, INC",Thomas L. Lapka,TJ Acquisitions LLC,,TJ Main Street LDHA LP,0.64,45,Acquisition/Rehab,,4,12,8,,,,6,,6,,6,,6,,,,24,0.00,05/01/2009 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,2,"1,920",,17008,,,Berrien,MI,49103,TJ Main Street LDHA LP,,605 South Capitol Avenue,,Lansing,,48933,,,,
F15067,Metea Court,Buchanan,General,493010.00,,110,,100,80,Preservation,Matthew Hollander,,Hollander Development Corporation,,"Medallion Management, INC","Republic Development, LLC",Joseph Hollander,,Great Lakes Capital Fund,1,45,Acquisition/Rehab,,68,32,,,,,,,,,70,,10,20,,100,,7902630.00,10/01/2015 12:00:00 AM,Elderly,1st Funding Round of Credit Year,40 @ 60,Apartment,16,"8,367",14565,56127,,,Berrien,MI,49107,Metea Court LDHA LP,,"1822 W. Milham Ave., Suite 1-C",,Portage,,49024,Elderly,Distressed,,
G16009,Metea Court,Buchanan,General,637046.00,,117,,100,80,Preservation,Matthew Hollander,,Hollander Development Corp,,Medallion Management INC,"Republic Development, LLC",Joseph Hollander,,Cinnaire Corp,1.015,45,Acquisition/Rehab,,68,32,,,,,,,0,0,70,0,10,20,,100,,8640952.00,03/31/2016 12:00:00 AM,Elderly,2nd Funding Round of Credit Year,40 @ 60,Apartment,16,8388,14400,56292,,,Berrien,MI,49107,Metea Court LDHA LP,,"1822 W. Milham Ave, Suite 4",,Portage,,49024,Elderly,Distressed,,
G16073,Berkshire Niles Senior Housing,Niles,General,1099000.00,,120,,53,53,Open,David Weiss,,"General Capital Development, LLC",,"KMG Prestige, Inc.","Berkshire Niles MM, LLC",,,US Bankcorp CDC,1.05,45,New Construction,,35,18,,,,,11,,7,0,2,0,33,,0,53,,12284369.00,10/03/2016 12:00:00 AM,Elderly,1st Funding Round of Credit Year,40 @ 60,Apartment,1,"9,481",0,46607,,,Berrien,MI,49120,"Berkshire Niles LDHA, LLC",,6938 North Santa Monica BLVD,,Fox Point,,53217,Elderly,Distressed,,
H17068,Four Flags Plaza Apartments,Niles,General,1272750.00,,120,,88,88,Preservation,David Weiss,,"General Capital Development, LLC","Capital Area Housing Partnership, Inc.","KMG Prestige, Inc.","GenCap Four Flats MM, LLC",,,US Bankcorp CDC,0.92,45,Acquisition/Rehab,,88,,,,,,,,,,,,88,,,88,,17182112.00,10/02/2017 12:00:00 AM,Elderly,1st Funding Round of Credit Year,40 @ 60,Apartment,1,"25,210",,54180,,,Berrien,MI,49120,"GenCap Four Flags LDHA, LLC",,6938 North Santa Monica BLVD,,Fox Point,,53217,Elderly,Distressed,,
D13051,Parkview Apartments,Niles,Special Needs,542000.00,0.00,167,,80,80,PSH,Susan Polishuk,,"Herman & Kittle Properties, INC","Ferry Street Resource Center, INC","Herman & Kittle Properties, INC","Parkview Apartments GP, LLC",,,Raymond James TAX Credit Funds,0.86,45,Acquisition/Rehab,,27,44,9,,,,8,,20,,,,52,,20,,80,7356473.00,08/14/2013 12:00:00 AM,Family,1st Funding Round of Credit Year,40 @ 60,Apartment,7,"16,498",,69424,,,Berrien,MI,49120,Parkview Apartments Niles LDHA LP,,620 Ferry Street,,Niles,,49120,Nonprofit,Rural,,
G16007,Three Oaks Senior Housing,Three Oaks,General,794017.00,,94,,44,35,Open,Richard J. Sciortino,,Brinshore Development LLC,,Lockhart Management & Consulting,"Three Oaks Senior Housing GP, LLC",David Brint,,Redstone,1.04,45,New Construction,2,32,10,0,,,,4,,7,0,12,0,12,9,,44,0,9279261.00,03/31/2016 12:00:00 AM,Elderly,2nd Funding Round of Credit Year,40 @ 60,Apartment,6,0,7200,24080,,,Berrien,MI,49128,Three Oaks Senior Housing LDHA LP,,"666 Dundee RD, #1102",,Northbrook,,60062,Elderly,Rural,,
Y08129,Brookfield Apartments,Bronson,General,29967.00,0.00,,,16,16,,Andrew McLemore Jr,,A-MAC Rural Development LLC,,Gardner Management Company,Andrew McLemore Jr,,,PNC Multifamily Capital,,45,Acquisition/Rehab,,6,10,,,,,,,,,8,,8,,,,16,0.00,08/01/2008 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,1,"2,320",,12016,,,Branch,MI,49028,Brookfield Rural LP,,15780 Schaefer Hwy,,Detroit,,48227,,,,
Y08139,East Wind Apartments,Coldwater,General,253398.00,0.00,173,,48,48,,Freddie L. DuBose,,Eastwind Development LLC,,1st City LLC,Briana C. DuBose,PAINIA Development Corp,,BEI Property,0.8,45,Acquisition/Rehab,,6,42,,,,,,,24,24,,,,,,,48,0.00,08/01/2008 12:00:00 AM,Family,2nd Funding Round of Credit Year,40 @ 60,Apartment,6,,,,,,Branch,MI,49036,East Wind Apartments LDHA LP,,"28 W. Adams, Ste 500",,Detroit,,48226,,,,
