"project_industry","company_name","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported","location_1"
"Alt. Energy - Other","Lg Chem Power Inc.","290","2010.1","Approved","67","-","$2,568,388","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","General Motors LLC","112","2008","Approved","-","2,800","-","
Lansing,  
(42.733625, -84.553927)"
"Automotive - Manufacturing","American Axle & Manufacturing, Inc.","107","2002","Approved","233","-","-","
Three Rivers,  
(36.457312, -118.885141)"
"Automotive - Manufacturing","BorgWarner, Inc. - HQ","214","2007","Did Not Qualify","69","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Alt. Energy - Other","Lg Chem Power Inc.","290","2013","Approved","80","-","$1,279,591","
Troy,  
(42.727684, -73.691059)"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2015","Approved","252","-","$1,957,895","
Chesterfield Township,  
(42.674198, -82.780296)"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2014","Approved","200","-","$1,837,150","
Chesterfield Township,  
(42.674198, -82.780296)"
"Automotive - Manufacturing","Gestamp Mason, LLC.","33","2015","Approved","313","-","-","
Mason,  
(30.749797, -99.23192)"
"Automotive - Manufacturing","General Motors LLC","595","2011","Approved","-","30,336","$681,903,537","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Changan US Research and Development Center, Inc","726","2014","Approved","29","-","$451,410","
Plymouth,  
(41.95575, -70.664394)"
"Automotive - Manufacturing","Brembo North America Homer, Incorporated","433","2012","Approved","-","107","$11,223,567","
Homer,  
(59.641779, -151.551418)"
"Alt. Energy - Wind","Cascade Engineering, Inc.","664","2014","Approved","96","-","$1,127,227","
Grand Rapids,  
(42.965446, -85.670209)"
"Alt. Energy - Other","Lg Chem Power Inc.","290","2005","Approved","5","-","-","
Troy,  
(42.727684, -73.691059)"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2010","Approved","131","-","$4,973,953","
Chesterfield Township,  
(42.674198, -82.780296)"
"Automotive - Manufacturing","Ford Motor Company","221","2006","Approved","-","2,216","-","
Wayne,  
(40.927178, -74.231046)"
"Automotive - Manufacturing","Shape Corporation","21","2013","Approved","472","-","-","
Grand Haven,  
(43.058798, -86.227994)"
"Automotive - Manufacturing","Ford Motor Company","129","2006","Approved","-","2,594","-","
Dearborn,  
(42.322141, -83.17594)"
"Alt. Energy - Advanced Energy Storage","General Motors Subsystems Manufacturing LLC","521","2013","Did Not Qualify","-","78","-","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2010","Approved","196","-","$3,231,605","
Fraser,  
(42.542226, -82.94983)"
"Automotive - Manufacturing","General Motors LLC","227","2008","Approved","-","1,145","-","
Warren,  
(42.52144, -83.020184)"
"Alt. Energy - Other","United Solar Ovonic, LLC","312","2009","Approved","277","-","-","
Greenville,  
(34.850746, -82.398964)"
"Automotive - Manufacturing","General Motors LLC","227","2007","Approved","-","1,138","-","
Warren,  
(42.52144, -83.020184)"
"Automotive - Manufacturing","Brembo North America Homer, Incorporated","433","2012","Approved","144","-","-","
Homer,  
(59.641779, -151.551418)"
"Automotive - Manufacturing","Ford Motor Company","129","2008","Approved","-","2,925","-","
Dearborn,  
(42.322141, -83.17594)"
"Alt. Energy - Advanced Energy Storage","XALT Energy, LLC","568","2012","Approved","128","-","$57,431,398","
Midland,  
(31.997433, -102.078043)"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2003","Approved","139","-","-","
Escanaba,  
(45.745727, -87.071273)"
"Alt. Energy - Other","Adaptive Materials, Inc.","381","2012","Approved","25","-","$940,385","
Ann Arbor,  
(42.281419, -83.748478)"
"Alt. Energy - Other","Sakti3, Inc.","416","2010","Approved","10","-","$191,212","
Ann Arbor,  
(42.281419, -83.748478)"
"Automotive - Manufacturing","Ford Motor Company","129","2009","Approved","-","3,080","-","
Dearborn,  
(42.322141, -83.17594)"
"Automotive - Manufacturing","Hi-Lex Controls, Incorporated","142","2007","Approved","139","-","-","
Hudson,  
(42.251775, -73.787882)"
"Chemicals","Chemetall US, Inc.","725","2014","Approved","-","86","$968,994","
Romulus,  
(42.220519, -83.385307)"
"Automotive - Manufacturing","Ford Motor Company","221","2005","Approved","-","6,692","$250,000,000","
Wayne,  
(40.927178, -74.231046)"
"Alt. Energy - Other","Hemlock Semiconductor Corporation","306","2015","Approved","149","-","-","
Hemlock,  
(44.823601, -90.611702)"
"Automotive - Manufacturing","Brembo North America Homer, Incorporated","433","2010","Approved","68","-","-","
Homer,  
(59.641779, -151.551418)"
"Automotive - Manufacturing","Brembo North America Homer, Incorporated","433","2014","Approved","337","-","-","
Homer,  
(59.641779, -151.551418)"
"Automotive - Manufacturing","Gentex Corporation","193","2015","Approved","629","-","-","
Zeeland,  
(42.807091, -86.018872)"
"Alt. Energy - Advanced Energy Storage","LG Chem Michigan, Inc.","569","2015","Approved","169","-","$28,453,331","
Holland,  
(42.751561, -86.096297)"
"Automotive - Manufacturing","Gestamp Mason, LLC.","33","2005","Approved","157","-","-","
Mason,  
(30.749797, -99.23192)"
"Alt. Energy - Other","Lg Chem Power Inc.","290","2010.2","Approved","63","-","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Gemini Group, Inc.","735","2012","Approved","80","-","-","
Bad Axe,  
(43.802035, -83.000495)"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2013","Approved","237","-","$493,933","
Chesterfield Township,  
(42.674198, -82.780296)"
"Automotive - Manufacturing","Axle Alliance","173","2008","Approved","78","-","-","
Redford Township,  
(42.403049, -83.294395)"
"Automotive - Manufacturing","Bosal","40","2000","Approved","110","-","-","
Warren,  
(42.52144, -83.020184)"
"Automotive - Manufacturing","Federal-Mogul Products, Inc.","265","2008","Approved","-","1,599","-","
Southfield,  
(42.477952, -83.240756)"
"Automotive - Manufacturing","Auto Alliance International, Inc.","180","2010","Approved","75","-","-","
Flat Rock,  
(42.089873, -83.286219)"
"Alt. Energy - Advanced Energy Storage","General Motors Subsystems Manufacturing LLC","521","2011","Did Not Qualify","-","72","-","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Ford Motor Company","538","2012","Approved","-","8,600","$202,674,655","
Wayne,  
(40.927178, -74.231046)"
"Automotive - Manufacturing","Witzenmann Usa, LLC","653","2012","Approved","75","-","$10,201,543","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Hi-Lex Controls, Inc.","28","1998","Approved","155","-","-","
Litchfield,  
(41.746861, -73.189234)"
"Automotive - Manufacturing","Behr-Hella Thermocontrol, Inc.","406","2010","Approved","22","-","-","
Wixom,  
(42.525703, -83.536093)"
"Automotive - Manufacturing","Behr America, Inc","95","2006","Approved","105","-","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Akebono Brake Corporation","589","2011","Approved","83","-","$3,401,931","
Farmington Hills,  
(42.485645, -83.357869)"
"Automotive - Manufacturing","General Motors LLC","227","2006","Approved","-","1,065","$290,297,000","
Warren,  
(42.52144, -83.020184)"
"Automotive - Manufacturing","Gentex Corporation","193","2009","Approved","284","-","-","
Zeeland,  
(42.807091, -86.018872)"
"Automotive - Manufacturing","Ford Motor Company","221","2007","Approved","-","789","-","
Wayne,  
(40.927178, -74.231046)"
"Automotive - Manufacturing","General Motors LLC","595","2014","Approved","-","32,890","$1,427,136,359","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Brose North America, Inc.","187","2008","Approved","191","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Alt. Energy - Other","Hemlock Semiconductor Corporation","259","2007","Approved","60","-","-","
Hemlock,  
(44.823601, -90.611702)"
"Automotive - Manufacturing","Detroit Diesel Corporation","657","2013","Approved","-","1,697","$45,982,886","
Detroit,  
(42.332916, -83.047853)"
"Alt. Energy - Advanced Energy Storage","General Motors Subsystems Manufacturing LLC","521","2014","Did Not Qualify","-","94","-","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Behr America, Inc","95","2005","Approved","105","-","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Federal-Mogul Products, Inc.","265","2006","Approved","-","1,866","-","
Southfield,  
(42.477952, -83.240756)"
"Electronics","SoundOff Signal","525","2012","Approved","39","-","$3,239,384","
Hudsonville,  
(42.869026, -85.861291)"
"Automotive - Manufacturing","General Motors LLC","227","2009.2","Approved","-","570","-","
Warren,  
(42.52144, -83.020184)"
"Automotive - Manufacturing","Hyundai America Technical Center, Inc.","213","2013","Approved","113","-","$37,275,668","
Superior Township,  
(42.303179, -83.603236)"
"Alt. Energy - Other","Hemlock Semiconductor Corporation","259","2006","Approved","56","-","-","
Hemlock,  
(44.823601, -90.611702)"
"Automotive - Manufacturing","Global Engine Manufacturing Alliance LLC","200","2011","Approved","208","-","-","
Dundee,  
(41.957261, -83.659798)"
"Automotive - Manufacturing","Grupo Antolin Michigan","203","2008","Approved","178","-","-","
Marlette,  
(43.327797, -83.079846)"
"Automotive - Manufacturing","General Motors LLC","595","2015","Approved","-","34,629","$1,700,398,062","
Detroit,  
(42.332916, -83.047853)"
"Alt. Energy - Other","Adaptive Materials, Inc.","381","2011","Approved","25","-","$904,146","
Ann Arbor,  
(42.281419, -83.748478)"
"Alt. Energy - Other","Hemlock Semiconductor Corporation","259","2012","Approved","59","-","-","
Hemlock,  
(44.823601, -90.611702)"
"Alt. Energy - Advanced Energy Storage","ALTe","622","2012","Approved","27","-","$127,177","
Auburn Hills,  
(42.672504, -83.225448)"
"Alt. Energy - Advanced Energy Storage","Magna Electronics","598","2011","Approved","115","-","-","
Holly,  
(42.791893, -83.627648)"
"Automotive - Manufacturing","General Motors LLC","186","2005","Approved","-","2,288","$257,100,000","
Lake Orion,  
(42.784602, -83.242443)"
"Automotive - Manufacturing","Federal-Mogul Products, Inc.","265","2007","Approved","-","1,627","-","
Southfield,  
(42.477952, -83.240756)"
"Automotive - Manufacturing","HP Enterprise Services, LLC","191","2008","Approved","-","850","-","
Ypsilanti,  
(42.239806, -83.614543)"
"Automotive - Manufacturing","Auto Alliance International, Inc.","180","2007","Approved","1,073","-","-","
Flat Rock,  
(42.089873, -83.286219)"
"Alt. Energy - Advanced Energy Storage","A123 Systems, LLC","566","2011","Approved","471","-","$38,190,021","
Romulus,  
(42.220519, -83.385307)"
"Automotive - Manufacturing","Detroit Manufacturing Systems, LLC","775","2013","Approved","564","-","$21,597,053","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","General Motors LLC","83","2008","Approved","-","2,041","-","
Lansing,  
(42.733625, -84.553927)"
"Alt. Energy - Other","Adaptive Materials, Inc.","381","2008","Approved","22","-","-","
Ann Arbor,  
(42.281419, -83.748478)"
"Automotive - Manufacturing","R.L. Polk Company","169","2004","Approved","130","-","-","
Southfield,  
(42.477952, -83.240756)"
"Alt. Energy - Advanced Energy Storage","Magna Electronics","598","2013","Approved","50","-","-","
Holly,  
(42.791893, -83.627648)"
"Automotive - Manufacturing","General Motors LLC","186","2008","Approved","-","2,288","-","
Lake Orion,  
(42.784602, -83.242443)"
"Automotive - Manufacturing","General Motors LLC","112","2006","Approved","-","2,273","-","
Lansing,  
(42.733625, -84.553927)"
"Automotive - Manufacturing","Bosal","40","2003","Approved","110","-","-","
Warren,  
(42.52144, -83.020184)"
"Alt. Energy - Wind","Cascade Engineering, Inc.","664","2012.2","Approved","71","-","$491,736","
Grand Rapids,  
(42.965446, -85.670209)"
"Automotive - Manufacturing","General Motors LLC","264","2007","Approved","-","2,834","-","
Flint,  
(43.00992, -83.685109)"
"Automotive - Manufacturing","General Motors LLC","112","2005","Approved","-","666","$543,787,148","
Lansing,  
(42.733625, -84.553927)"
"Automotive - Manufacturing","Hi-Lex Controls, Inc.","28","2003","Approved","197","-","-","
Litchfield,  
(41.746861, -73.189234)"
"Automotive - Manufacturing","Delphi Corporation","364","2012","Approved","-","1,085","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Gestamp Mason, LLC.","33","2009","Approved","162","-","$7,375,791","
Mason,  
(30.749797, -99.23192)"
"Alt. Energy - Advanced Energy Storage","Magna Electronics","598","2014","Approved","50","-","-","
Holly,  
(42.791893, -83.627648)"
"Automotive - Manufacturing","Hi-Lex Controls, Inc.","28","1997","Approved","98","-","-","
Litchfield,  
(41.746861, -73.189234)"
"Automotive - Manufacturing","Hi-Lex Controls, Inc.","28","2005","Approved","197","-","-","
Litchfield,  
(41.746861, -73.189234)"
"Automotive - Manufacturing","Hyundai America Technical Center, Inc.","213","2009","Approved","104","-","-","
Superior Township,  
(42.303179, -83.603236)"
"Automotive - Manufacturing","Federal-Mogul Products, Inc.","265","2009","Approved","-","1,296","-","
Southfield,  
(42.477952, -83.240756)"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2005","Approved","166","-","-","
Detroit,  
(42.332916, -83.047853)"
"Alt. Energy - Other","Hemlock Semiconductor Corporation","306","2014","Approved","150","-","-","
Hemlock,  
(44.823601, -90.611702)"
"Automotive - Manufacturing","Gibbs Technologies, Limited","434","2014","Approved","118","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Brose North America, Inc.","187","2005","Approved","138","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Brose North America, Inc.","187","2006","Approved","119","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2011","Approved","207","-","$5,107,259","
Chesterfield Township,  
(42.674198, -82.780296)"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2005","Approved","175","-","-","
Escanaba,  
(45.745727, -87.071273)"
"Automotive - Manufacturing","Inalfa Roof Systems","201","2006","Approved","133","-","-","
Holly,  
(42.791893, -83.627648)"
"Automotive - Manufacturing","Behr America, Inc","95","2010","Approved","105","-","$931,466","
Troy,  
(42.727684, -73.691059)"
"Alt. Energy - Wind","Energetx Composites, LLC","553","2012.1","Approved","32","-","-","
Holland,  
(42.751561, -86.096297)"
"Automotive - Manufacturing","Brose North America, Inc.","187","2011","Approved","232","-","$1,741,701","
Auburn Hills,  
(42.672504, -83.225448)"
"Alt. Energy - Other","Hemlock Semiconductor Corporation","306","2009","Approved","150","-","-","
Hemlock,  
(44.823601, -90.611702)"
"Automotive - Manufacturing","Brembo North America Homer, Incorporated","433","2015","Approved","367","-","$5,611,139","
Homer,  
(59.641779, -151.551418)"
"Automotive - Manufacturing","Grupo Antolin Michigan","258","2006","Approved","13","-","-","
Marlette,  
(43.327797, -83.079846)"
"Automotive - Manufacturing","Gibbs Technologies, Limited","434","2012.2","Approved","66","-","$410,533","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Hi-Lex Controls, Incorporated","142","2004","Approved","162","-","-","
Hudson,  
(42.251775, -73.787882)"
"Automotive - Manufacturing","Gemini Group, Inc.","735","2015","Approved","-","555","$22,077,486","
Bad Axe,  
(43.802035, -83.000495)"
"Automotive - Manufacturing","Acument Global Technologies","714","2013","Approved","112","-","-","
Sterling Heights,  
(42.58968, -83.011059)"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2002","Approved","157","-","-","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","General Motors LLC","362","2009.1","Approved","-","725","-","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2004","Approved","300","-","-","
Coldwater,  
(41.940611, -85.000721)"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2006.2","Approved","172","-","-","
Detroit,  
(42.332916, -83.047853)"
"Alt. Energy - Advanced Energy Storage","Magna Holdings of America, Inc.","642","2012","Approved","442","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Faurecia Automotive Seating, Inc","195","2005","Approved","159","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Toyota Motor Engineering & Manufacturing, N.A. Inc","282","2009","Approved","231","-","$136,956,476","
Ann Arbor,  
(42.281419, -83.748478)"
"Automotive - Manufacturing","Hyundai America Technical Center, Inc.","213","2012","Approved","121","-","$34,636,582","
Superior Township,  
(42.303179, -83.603236)"
"Automotive - Manufacturing","General Motors LLC","83","2007","Approved","-","1,462","-","
Lansing,  
(42.733625, -84.553927)"
"Automotive - Manufacturing","Axle Alliance","173","2004","Approved","126","-","-","
Redford Township,  
(42.403049, -83.294395)"
"Alt. Energy - Other","Hemlock Semiconductor Corporation","259","2013","Approved","60","-","-","
Hemlock,  
(44.823601, -90.611702)"
"Automotive - Manufacturing","HP Enterprise Services, LLC","191","2007","Approved","-","850","-","
Ypsilanti,  
(42.239806, -83.614543)"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2007.2","Approved","125","-","-","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Chrysler Group LLC","366","2010","Did Not Qualify","-","328","-","
Trenton,  
(40.220572, -74.759709)"
"Automotive - Manufacturing","General Motors LLC","83","2005","Approved","-","1,871","-","
Lansing,  
(42.733625, -84.553927)"
"Automotive - Manufacturing","Delphi Corporation","364","2013","Approved","-","1,090","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Brembo North America Homer, Incorporated","433","2009","Approved","-","101","$11,309,183","
Homer,  
(59.641779, -151.551418)"
"Automotive - Manufacturing","Ecomotors, Inc.","421","2014","Approved","32","-","-","
Allen Park,  
(42.256799, -83.213957)"
"Automotive - Manufacturing","ASIMCO Camshaft Specialties","34","1999","Approved","140","-","-","
Grand Haven,  
(43.058798, -86.227994)"
"Defense/Military","Testek Inc.","454","2010","Approved","6","-","$1,596","
Wixom,  
(42.525703, -83.536093)"
"Automotive - Manufacturing","Alphi Manufacturing, Inc.","246","2007","Approved","60","-","-","
Jonesville,  
(36.689005, -83.110991)"
"Alt. Energy - Other","XALT Energy, LLC","568",,,,,,"
Midland,  
(31.997433, -102.078043)"
"Automotive - Manufacturing","Brose North America, Inc.","187","2014","Approved","292","-","$2,290,132","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Gemini Group, Inc.","735","2016","Approved","251","-","-","
Bad Axe,  
(43.802035, -83.000495)"
"Automotive - Manufacturing","General Motors LLC","83","2001","Approved","-","688","$513,589,800","
Lansing,  
(42.733625, -84.553927)"
"Automotive - Manufacturing","Global Engine Manufacturing Alliance LLC","200","2007","Approved","195","-","-","
Dundee,  
(41.957261, -83.659798)"
"Automotive - Manufacturing","Tower Automotive Plymouth, Inc.","6","1998","Approved","75","-","-","
Plymouth,  
(41.95575, -70.664394)"
"Alt. Energy - Other","Sakti3, Inc.","416","2011","Approved","18","-","$337,587","
Ann Arbor,  
(42.281419, -83.748478)"
"Automotive - Manufacturing","Gentex Corporation","193","2012.2","Approved","618","-","-","
Zeeland,  
(42.807091, -86.018872)"
"Automotive - Manufacturing","Alphi Manufacturing, Inc.","246","2005","Approved","26","-","-","
Jonesville,  
(36.689005, -83.110991)"
"Automotive - Manufacturing","Gemini Group, Inc.","735","2013","Approved","-","559","$13,022,018","
Bad Axe,  
(43.802035, -83.000495)"
"Automotive - Manufacturing","Ford Motor Company","129","2010","Approved","-","3,262","-","
Dearborn,  
(42.322141, -83.17594)"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2004","Approved","175","-","-","
Escanaba,  
(45.745727, -87.071273)"
"Automotive - Manufacturing","General Motors LLC","355","2009.1","Approved","-","106","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Grupo Antolin Michigan","203","2012","Approved","275","-","-","
Marlette,  
(43.327797, -83.079846)"
"Alt. Energy - Wind","Energetx Composites, LLC","553","2011","Approved","24","-","-","
Holland,  
(42.751561, -86.096297)"
"Alt. Energy - Other","Cobasys LLC","241","2008","Approved","62","-","-","
Orion Township,  
(42.76982, -83.283404)"
"Automotive - Manufacturing","Auto Alliance International, Inc.","180","2006","Approved","-","1,961","-","
Flat Rock,  
(42.089873, -83.286219)"
"Alt. Energy - Wind","Danotek Motion Technologies, LLC","456","2010","Approved","14","-","$2,371,909","
Canton,  
(40.797388, -81.377036)"
"Automotive - R&D Testing","Continental Automotive Systems","564","2013","Approved","290","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Chrysler LLC","273","2007","Approved","-","5,123","$487,253,000","
Sterling Heights,  
(42.58968, -83.011059)"
"Automotive - Manufacturing","General Motors LLC","355","2008","Approved","-","120","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Gemini Group, Inc.","735","2011","Approved","-","564","$21,634,480","
Bad Axe,  
(43.802035, -83.000495)"
"Automotive - Manufacturing","Benteler Automotive Corporation","737","2015","Approved","378","-","$5,140,780","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2006","Approved","175","-","-","
Escanaba,  
(45.745727, -87.071273)"
"Automotive - Manufacturing","Chrysler LLC","273","2011","Approved","-","3,870","$101,587,233","
Sterling Heights,  
(42.58968, -83.011059)"
"Automotive - Manufacturing","Gentex Corporation","193","2011","Approved","625","-","-","
Zeeland,  
(42.807091, -86.018872)"
"Aerospace","Skilled Aerospace Division","604","2011","Approved","26","-","$1,092,180","
Traverse City,  
(44.759092, -85.605469)"
"Automotive - Manufacturing","Axle Alliance","173","2013","Approved","177","-","-","
Redford Township,  
(42.403049, -83.294395)"
"Automotive - Manufacturing","General Motors LLC","186","2007","Approved","-","2,288","-","
Lake Orion,  
(42.784602, -83.242443)"
"Automotive - Manufacturing","Bosal","40","1999","Approved","110","-","-","
Warren,  
(42.52144, -83.020184)"
"Automotive - Manufacturing","Hi-Lex Controls, Inc.","28","2006","Approved","196","-","-","
Litchfield,  
(41.746861, -73.189234)"
"Automotive - Manufacturing","Federal-Mogul Products, Inc.","265","2015","Approved","-","1,461","-","
Southfield,  
(42.477952, -83.240756)"
"Automotive - Manufacturing","Gestamp Mason, LLC.","33","2014","Approved","307","-","-","
Mason,  
(30.749797, -99.23192)"
"Automotive - Manufacturing","Brose North America, Inc.","187","2015","Approved","331","-","$2,834,862","
Auburn Hills,  
(42.672504, -83.225448)"
"Alt. Energy - Other","Lg Chem Power Inc.","290","2012","Approved","79","-","$2,877,144","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2006","Approved","300","-","-","
Coldwater,  
(41.940611, -85.000721)"
"Alt. Energy - Other","Lg Chem Power Inc.","290","2011","Approved","78","-","$4,484,275","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Ford Motor Company","538","2011","Approved","-","8,224","$617,561,884","
Wayne,  
(40.927178, -74.231046)"
"Automotive - Advanced Mfg Mats","Engineered Plastic Components","483","2011","Approved","79","-","-","
St. Clair,  
(40.720476, -76.192119)"
"Automotive - Manufacturing","Global Engine Manufacturing Alliance LLC","200","2008","Approved","198","-","-","
Dundee,  
(41.957261, -83.659798)"
"Automotive - Manufacturing","Delphi Corporation","106","2009","Approved","239","-","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Ford Motor Company","538","2013","Approved","-","8,595","$73,399,669","
Wayne,  
(40.927178, -74.231046)"
