"fy","company_name","municipality","county","project_type","incentive_type","msfapprovaldate","award_amount","actual_am0untdi5bur5ed","proposedt0tal_pr0jectinve5tment","proposed_private_investment_amount","actual_privateinve5tmentattracted","commercial_5q_footage_revitalized_added","residential_5q_footage_revitalized_added","retail_5q_f00tage_revitalized_added","number_0f_re5idential_unit5_revitalized_added","pr0jectedreturn_0ninve5tment","actualreturn_0ninve5tment","msf_board_action_taken"
"2013","521 LLC","Spring Lake","Ottawa","New","Grant","2013-02-21T00:00:00.000","70535","70535","440162","369627","$580,616","3,289","1,894","0","1","14%","1%","Agreement Executed"
"2013","Blue Star 2 LLC","Benton Harbor","Berrien","New","Grant","2013-03-05T00:00:00.000","823250","823250","3763000","2939750","$4,751,800","5,000","9,845","4,845","8","3%","2%","Agreement Executed"
"2013","Gulf Shore Investments LLC*","Bay City","Bay","New","Grant","2013-03-27T00:00:00.000","1000000","0","7727593","6727593","$7,522,226","14,114","34,928","0","24",,,"Agreement Executed"
"2013","Corlin Builders Inc.","Fenton","Genesee","New","Grant","2013-04-30T00:00:00.000","880000","0","5179250","4299250","$1,759,859","0","35,000","12,000","23",,,"Agreement Executed"
"2013","The Historic Vogue Theatre of Manistee","Manistee","Manistee","New","Grant","2013-04-30T00:00:00.000","503592","0","2354824","1851232","$1,122,371","0","0","6,931","0",,,"Agreement Executed"
"2013","Eastern Market Corporation","Detroit","Wayne","Expansion","Grant","2013-05-16T00:00:00.000","1000000","625000","8224030","7224030","$4,610,000","20,000","0","22,000","0","0%","0%","Agreement Executed"
"2013","1212 Griswold Street LLC*","Detroit","Wayne","New","Loan participation","2013-05-22T00:00:00.000","6000000","6000000","37619260","31619260","$29,020,315","0","0","0","0","120%","25%","Agreement Executed"
"2013","HWD Investors LLC (URC FJ LLC and Uptown Reinvestment Corporation Inc.) 7","Flint","Genesee","New","Equity investment","2013-06-26T00:00:00.000","5649071","5649071","30654023","25004952","$27,366,132","50,000","16,000","45,000","16","27%","N/A","Agreement Executed"
"2013","Kirco CH Distribution LLC and Henry Ford Health System*","Detroit","Wayne","New","Grant","2013-06-26T00:00:00.000","1000000","0","29866172","28866172","$26,103,012","0","0","0","0",,,"Agreement Executed"
"2013","618 South Main LLC*","Ann Arbor","Washtenaw","New","Loan","2013-07-24T00:00:00.000","3000000","0","37047208","34047208","$38,226,685","0","0","0","0",,,"Agreement Executed"
"2013","NewGAR LLC","Detroit","Wayne","New","Collateral support","2013-07-24T00:00:00.000","660000","660000","4439000","3779000","$3,750,567","0","0","0","0","12%","0%","Agreement Executed"
"2013","Harbor Village at Harbor Shores*","St. Joseph","Berrien","New","Grant","2013-07-24T00:00:00.000","900000","0","19702465","18802465","$25,795,000","66,848","29,249","9,426","67",,,"Agreement Executed"
"2013","Bens 314 LLC","Port Huron","St. Clair","New","Grant","2013-07-25T00:00:00.000","217500","0","1130000","912500","$1,177,635","0","13,000","0","11",,,"Agreement Executed"
"2013","609 E Kirby Lofts LLC*8","Detroit","Wayne","New","Loan participation","2013-07-26T00:00:00.000","1000000","1000000","6562627","5562627","$5,950,340","0","0","0","0","0%","N/A","Agreement Executed"
"2013","Dwelling Place of Grand Rapids","Grand Rapids","Kent","New","Grant","2013-08-27T00:00:00.000","293659","293659","1487510","1193851","$1,577,908","14,500","0","0","0","4%","0%","Agreement Executed"
"2013","Herkimer Apartments LDHA LP","Grand Rapids","Kent","Expansion","Grant","2013-08-27T00:00:00.000","305157","0","17065769","16760612","$17,193,102","10,346","67,675","0","55",,,"Agreement Executed"
"2013","Mid Towne Hospitality LLC*","Grand Rapids","Kent","New","Loan participation","2013-08-28T00:00:00.000","3000000","3000000","27018173","24018173","$26,137,461","0","0","0","0","11%","16%","Agreement Executed"
"2013","Woodward Brown Associates LLC","Birmingham","Oakland","New","Loan participation","2013-09-25T00:00:00.000","3278890","3278890","27790284","24511394","$22,028,194","0","0","0","0","24%","34%","Agreement Executed"
"2013","Parkland Muskegon LLC*","Muskegon","Muskegon","New","Loan","2013-09-25T00:00:00.000","1950000","0","10700000","8750000","$8,750,000","0","0","0","0",,,"Agreement Executed"
"2013","Downtown Muskegon Development Corporation*","Muskegon","Muskegon","Relocation","Grant","2013-09-27T00:00:00.000","710000","0","3971900","3261900","$3,143,774","0","0","4,400","0",,,"Agreement Executed"
"2013","Grand Rapids Downtown Market Holdings LLC*","Grand Rapids","Kent","New","Loan participation","2013-02-27T00:00:00.000","3000000","3000000","30165835","27165835","$26,618,594","137,200","0","1,200","0","0%","1%","Agreement Executed"
"2013","Shiawassee Center
(Owosso Community Players)*","Owosso","Shiawassee","New","Grant","2012-10-23T00:00:00.000","446000","0","7385496","6939496","$6,739,000","16,830","0","0","0",,,"Agreement Executed"
"2013","Detroit Mutt LLC 6","Detroit","Wayne","New","Grant","2012-10-23T00:00:00.000","38000","0","486414","448414","$0","0","0","0","0",,,"Agreement Executed"
"2013","614 First Street Partners LLC*","Grand Rapids","Kent","Relocation","Grant","2012-11-14T00:00:00.000","1000000","1000000","7935000","6935000","$7,422,959","68,283","0","0","0","4%","5%","Agreement Executed"
"2013","Veridea Group*","Marquette","Marquette","New","Loan participation","2012-11-28T00:00:00.000","1857151","1857151","9739432","7882281","$6,480,768","28,406","0","0","0","8%","92%","Agreement Executed"
"2013","Lofts on Monroe LLC","Grand Rapids","Kent","New","Grant","2012-12-14T00:00:00.000","475000","475000","3460723","2985723","$3,025,000","3,100","7,100","3,120","12","10%","8%","Agreement Executed"
"2013","833 Michigan Street, LLC*","Grand Rapids","Kent","New","Grant","2012-12-27T00:00:00.000","922552","922552","5879420","4956868","$5,847,000","11,000","7,500","7,500","8","8%","5%","Agreement Executed"
"2013","Whitney Partners, LLC*","Detroit","Wayne","New","Loan; Grant","2013-01-23T00:00:00.000","8500000","1000000","82537141","74037141","$84,955,412","0","0","7,000","0","4%","60%","Agreement Executed"
"2013","1145 Griswold Street LLC* 6","Detroit","Wayne","New","Loan participation","2013-09-25T00:00:00.000","4114456","0","22523488","18409032","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2013","Hotel Sterling II LLC* 6","Wyandotte","Wayne","New","Grant","2013-09-25T00:00:00.000","445000","0","2515938","2070938","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","CWD so Louis LLC","Grand Rapids","Kent","New","Grant","2013-11-06T00:00:00.000","1000000","500000","9356604","8356604","$9,509,381","72,000","0","2,000","0","9%","2%","Agreement Executed"
"2014","3411 E. Michigan LLC","Lansing","Ingham","New","Grant","2013-11-14T00:00:00.000","450000","0","7473541","7023541","$8,056,928","0","47,800","1,785","66",,,"Agreement Executed"
"2014","Ashley Owner LLC and Ashley Developer Inc.*","Detroit","Wayne","New","Grant","2014-02-25T00:00:00.000","1000000","0","8248415","7248415","$4,000,000","0","33,000","5,000","0",,,"Agreement Executed"
"2014","Midland DTH LLC*","Midland","Midland","New","Loan","2014-02-25T00:00:00.000","4780000","0","22770249","17990249","$18,186,749","0","0","0","0",,,"Agreement Executed"
"2014","Landmark Port Huron LLC*","Port Huron","St. Clair","New","Grant","2014-03-06T00:00:00.000","100000","0","1043763","943763","$104,000","0","6,300","9,060","0",,,"Agreement Executed"
"2014","Bancroft Project Saginaw LLC","Saginaw","Saginaw","New","Grant","2014-03-12T00:00:00.000","1000000","0","5496673","4496673","$4,310,757","0","97,256","34,015","126",,,"Agreement Executed"
"2014","Alex and Beck LLC","Detroit","Wayne","New","Grant","2014-03-19T00:00:00.000","178000","0","839084","661084","$328,220","0","2,206","992","3",,,"Agreement Executed"
"2014","Diamonds and Rifles LLC and Gold Cash Gold LLC","Detroit","Wayne","New","Grant","2014-03-19T00:00:00.000","200000","0","1890314","1690314","$1,165,991","3,000","6,000","3,000","6",,,"Agreement Executed"
"2014","Arena Place Development LLC","Grand Rapids","Kent","New","Loan participation","2014-03-25T00:00:00.000","4500000","4500000","44000000","39500000","$40,500,000","0","0","0","0","14%","0%","Agreement Executed"
"2014","Woodward Willis LLC","Detroit","Wayne","New","Grant","2014-04-01T00:00:00.000","745000","0","6429399","5684399","$951,713","23,402","0","2,182","0",,,"Agreement Executed"
"2014","Marquette Food Co-Op","Marquette","Marquette","New","Grant","2014-04-28T00:00:00.000","615000","0","3375416","2760416","$4,623,509","11,230","0","9,000","0",,,"Agreement Executed"
"2014","Ransom Real Estate LLC*","Kalamazoo","Kalamazoo","New","Grant","2014-04-30T00:00:00.000","411000","0","2356461","1945461","$1,635,000","8,485","4,500","0","5",,,"Agreement Executed"
"2014","Wesener LLC*","Owosso","Shiawassee","New","Grant","2014-05-18T00:00:00.000","560000","0","2697783","2137783","$0","0","0","0","0",,,"Agreement Executed"
"2014","NY Jefferson LLC","Detroit","Wayne","New","Grant","2014-06-20T00:00:00.000","834800","0","5189853","4355053","$3,300,000","0","0","58,700","0",,,"Agreement Executed"
"2014","Lofts on Michigan LLC**","Grand Rapids","Kent","New","Loan participation","2014-08-26T00:00:00.000","2450000","2450000","15150000","12700000","$0","0","0","0","0","10%","0%","Agreement Executed"
"2014","Stocking Street Properties LLC","Grand Rapids","Kent","New","Grant","2014-09-29T00:00:00.000","89574","0","1165193","1075619","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","TFG Building LLC","Grand Rapids","Kent","New","Grant","2014-09-30T00:00:00.000","136527","0","1289182","1152655","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Strathmore Apartments LDHA LLC","Detroit","Wayne","New","Equity investment","2014-02-25T00:00:00.000","3500000","0","28446000","24946000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Detroit Economic Growth Corporation","Detroit","Wayne","New","Other","2014-03-25T00:00:00.000","6000000","0","24000000","18000000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Wright Opera Block LLC*.°","Alma","Gratiot","New","Grant","2014-06-24T00:00:00.000","1000000","0","6703829","5703829","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Rivertown Phase I LLC*","Detroit","Wayne","New","Equity investment","2014-08-26T00:00:00.000","7610000","0","61035220","53425220","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Du Charme Place LLC*","Detroit","Wayne","New","Equity investment","2014-08-26T00:00:00.000","5700000","0","38463308","32763308","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","1400 Wealthy LLC*","Grand Rapids","Kent","New","Grant","2014-09-12T00:00:00.000","800000","0","5500000","4700000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Lofts on 82o LLC","Grand Rapids","Kent","New","Loan participation","2014-09-17T00:00:00.000","3100000","0","21800000","18700000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Hallmark Ventures LLC*","Dearborn","Wayne","New","Grant","2014-09-17T00:00:00.000","1000000","0","8641020","7641020","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Griswold Capitol Park LLC","Detroit","Wayne","Expansion","Equity investment","2014-09-17T00:00:00.000","4798000","0","22806250","18008250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","751 Griswold Detroit LLC","Detroit","Wayne","New","Grant","2014-09-19T00:00:00.000","682279","0","4455795","3773516","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Artspace Projects Inc.","Dearborn","Wayne","New","Grant","2014-09-22T00:00:00.000","1000000","0","15807762","14807762","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","West Fort Street Properties LLC and American Lightweight Materials Manufacturing Innovation Institute*","Detroit","Wayne","New","Grant","2014-09-26T00:00:00.000","1000000","0","4398897","3398897","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","5734 Woodward LLC","Detroit","Wayne","New","Grant","2014-09-26T00:00:00.000","240625","0","1565200","1324575","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No Aggreement Executed"
"2014","Harbortown Riverside LLC and Harbortown Riverside Financing Inc.*","Detroit","Wayne","New","Grant","2013-09-27T00:00:00.000","1000000","0","19936653","18936653","$18,936,653","0","196,425","0","134",,,"Agreement Executed"
"2014","Hall Street Partners Inc.","Grand Rapids","Kent","New","Grant","2013-10-09T00:00:00.000","310000","310000","1380234","1070234","$1,537,498","6,000","2,400","6,000","2","12%","0%","Agreement Executed"
