"fiscal_year_approved","company_name","msf_approval_date","municipality","county","project_type","incentive_type","approved_amount","cumulative_amount_disbursed","total_projected_investment_1","actual_private_investment_2","new_jobs_committed_3","actual_new_jobs_created_4","new_jobs_created_that_are_not_temporary_5","average_annual_salary_of_new_jobs","other_economic_assistance","status_of_loans_stage","duration_of_economic_assistance_years"
"2012","Sakthi Auto Group USA","2012-05-23T00:00:00.000","Detroit","Wayne","New","Grant","1500000","1500000","18600000","25000000","170","172","190","40290","0","Monitoring","4.86"
"2012","Credit Acceptance Corporation","2012-05-23T00:00:00.000","Southfield","Oakland","Expansion","Grant","1750000","708957","10218177","1600000","274","111","149","47447","0","Monitoring","5.75"
"2012","AG Simpson Automotive Systems","2012-05-30T00:00:00.000","Sterling Heights","Macomb","Expansion","Grant","900000","900000","21200000","19499812","90","90","187","35129","0","Monitoring","5.00"
"2012","FIAMM Technologies, Incorporated","2012-06-13T00:00:00.000","Cadillac","Wexford","Expansion","Grant","500000","500000","4427875","5010408","31","35","36","30994","0","Monitoring","3.97"
"2012","Brose New Boston, Inc.","2012-06-27T00:00:00.000","New Boston","Wayne","Expansion","Grant","3500000","3500000","61773500","35552943","350","350","350","25750","0","Monitoring","4.69"
"2012","ArcticAX US LLC ","2012-06-28T00:00:00.000","Grand Rapids","Kent","New","Grant","220000","120000","1859500","1836342","28","9","2","0","0","Monitoring","5.25"
"2012","Cooper Standard Automotive","2012-07-23T00:00:00.000","Leonard","Oakland","Expansion","Grant","235730","128580","3546940","0","55","30","85","33187","0","Monitoring","4.69"
"2012","Cherry Growers Incorporated ","2012-07-25T00:00:00.000","Grawn","Grand Traverse","Expansion","Other","2500000","2500000","12499760","5929456","72","0","21","121000","2500000","Monitoring","4.70"
"2012","Materne North America","2012-07-25T00:00:00.000","Grawn","Grand Traverse","Expansion","Other","3000000","3000000","23472500","22521824","65","65","177","31767","3000000","Monitoring","15.71"
"2012","Thai Summit America Corporation","2012-08-09T00:00:00.000","Howell","Livingston","Expansion","Grant","300000","300000","34987000","137002909","78","78","332","32834","0","Monitoring","4.90"
"2012","Pinnacle Foods Corporation/Vlasic Brands","2012-08-15T00:00:00.000","Imlay City","Lapeer","Expansion","Grant","800000","800000","14331125","38760000","29","46","52","37900","0","Monitoring","3.38"
"2012","Jason Incorporated (dba Janesville Acoustics)","2012-08-22T00:00:00.000","Battle Creek","Calhoun","New","Grant","1500000","1500000","15050000","12700000","225","253","329","27716","0","Monitoring","5.41"
"2012","Mayser Polymer USA Inc.","2012-08-29T00:00:00.000","Canton","Wayne","Expansion","Grant","200000","200000","3921600","3800000","50","50","58","27160","0","Monitoring","5.34"
"2012","Magna Closures - Engineered Glass","2012-09-27T00:00:00.000","Holland","Ottawa","Expansion","Grant","1200000","1200000","10148304","2200000","177","207","240","40591","0","Monitoring","6.26"
"2012","Mophie","2012-09-28T00:00:00.000","Kalamazoo","Kalamazoo","Relocation","Grant","240000","150000","4010000","6474882","50","53","53","35125","0","Monitoring","5.26"
"2012","Dieomatic, Inc.","2012-09-28T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","690000","270000","25861000","24000000","230","90","127","22400","0","Monitoring","5.26"
"2012","The Martin-Brower Company LLC ","2012-09-28T00:00:00.000","St. Johns","Clinton","Expansion","Grant","500000","350000","16250000","18953782","150","126","117","0","0","Ended","3.51"
"2013","Continental Automotive Systems","2012-10-22T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","900000","0","1650000","0","250","0","417","85000","0","Monitoring","7.37"
"2013","RNFL Acquisition LLC-Biogenic Reagents ","2012-10-24T00:00:00.000","Gwinn","Marquette","New","Other","2000000","2000000","16985000","7100000","27","27","20","0","2000000","Monitoring","4.34"
"2013","The Armored Group LLC ","2012-10-31T00:00:00.000","Dearborn Heights","Wayne","Expansion","Grant","1000000","400000","1455000","2018470","240","0","28","50469","0","Monitoring","5.17"
"2013","Undercar Products Group","2012-11-01T00:00:00.000","Wyoming","Kent","Expansion","Grant","475000","475000","26047023","85000","150","151","157","50000","0","Monitoring","4.41"
"2013","Henrob Corporation","2012-11-02T00:00:00.000","New Hudson","Oakland","Expansion","Grant","300000","200000","68491000","0","152","129","181","42037","0","Monitoring","5.16"
"2013","Summit Polymers, Inc.","2012-11-08T00:00:00.000","Portage","Kalamazoo","Expansion","Grant","370000","370000","9300000","14805537","70","77","326","30463","0","Monitoring","4.90"
"2013","Dart Container Corporation","2012-11-28T00:00:00.000","Mason","Ingham","Expansion","Grant","3000000","2000000","47000000","128268847","325","250","470","46730","0","Monitoring","5.65"
"2013","OPS Solutions","2012-12-06T00:00:00.000","Novi","Oakland","Expansion","Grant","400000","300000","268000","1900000","25","12","12","39600","0","Monitoring","7.22"
"2013","Founders Brewing Company","2012-12-19T00:00:00.000","Grand Rapids SW","Kent","Expansion","Other","2000000","2000000","26000000","44700000","52","38","44","42500","2000000","Monitoring","5.23"
"2013","La-Z-Boy, Inc.","2012-12-19T00:00:00.000","Monroe","Monroe","Expansion","Grant","3000000","1800000","51500000","118144891","50","74","74","58280","0","Monitoring","6.04"
"2013","Two Men and A Truck International","2013-01-09T00:00:00.000","Lansing Township","Ingham","Expansion","Grant","350000","350000","3951900","5671176","70","76","74","34668","0","Monitoring","5.08"
"2013","Denso Manufacturing Michigan, Inc.","2013-01-23T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","1460000","1460000","105440764","191686424","266","266","309","35629","0","Monitoring","5.44"
"2013","Whirlpool Corporation","2013-01-23T00:00:00.000","Benton Harbor","Berrien","Relocation","Grant","2400000","2400000","18945000","28249848","180","180","189","84247","0","Monitoring","4.44"
"2013","Dieomatic, Inc.","2013-01-23T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","1600000","200000","162072542","0","500","55","241","40000","0","Monitoring","5.94"
"2013","Rigaku Innovative Technologies, Inc. ","2013-01-23T00:00:00.000","Auburn Hills","Oakland","Expansion","Other","2000000","2000000","55700000","0","25","0","0","0","2000000","Monitoring","6.94"
"2013","Norplas Industries, Inc. - Magna","2013-01-23T00:00:00.000","Brownstown","Wayne","Expansion","Grant","1250000","630000","81750485","81750485","400","214","406","43783","0","Monitoring","4.44"
"2013","Moran Iron Works Incorporated ","2013-01-23T00:00:00.000","Onaway","Cheboygan","Expansion","Grant","2000000","1000000","16224911","4929942","75","35","0","0","0","Monitoring","5.03"
"2013","KIRCHHOFF Van-Rob Tecumseh","2013-01-23T00:00:00.000","Tecumseh","Lenawee","Expansion","Grant","5300000","2300000","30682381","55739274","450","118","112","28385","0","Monitoring","5.94"
"2013","Denso International America, Inc.","2013-01-23T00:00:00.000","Southfield","Oakland","Expansion","Grant","1540000","1040000","45700000","80598000","176","123","141","78168","0","Monitoring","5.03"
"2013","Black & Veatch Corporation","2013-01-25T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","435000","265000","13488723","1488024","75","51","41","49256","0","Monitoring","4.93"
"2013","Baker Aerospace Tooling & Machining, Inc.","2013-01-29T00:00:00.000","Macomb","Macomb","Expansion","Grant","800000","500000","9856650","18900000","165","95","105","50421","0","Monitoring","4.96"
"2013","Herbruck Poultry Ranch Inc.","2013-02-14T00:00:00.000","Saranac","Ionia","Expansion","Grant","500000","300000","17150000","21931918","50","49","194","23838","0","Monitoring","5.35"
"2013","Lyons Consulting Group","2013-03-01T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","300000","180000","1142833","3072332","30","12","15","89082","0","Monitoring","5.08"
"2013","Hanwha Advanced Materials America LLC","2013-03-12T00:00:00.000","Monroe","Monroe","Expansion","Grant","231440","100000","12000000","25083000","54","18","31","39000","0","Monitoring","6.30"
"2013","Detroit Thermal Systems, LLC","2013-03-21T00:00:00.000","Romulus","Wayne","New","Grant","750000","750000","27073125","0","312","329","503","38000","0","Monitoring","4.78"
"2013","Southwest Michigan First Corp.","2013-03-27T00:00:00.000","Kalamazoo","Kalamazoo","New","Loan","4000000","4000000","4265000","3785160","0","0","0","0","0","Monitoring","5.60"
"2013","Newell Rubbermaid","2013-03-27T00:00:00.000","Kalamazoo","Kalamazoo","Relocation","Grant","2000000","1800000","2300000","50000","100","91","102","92894","0","Monitoring","4.77"
"2013","Rassini Brakes, LLC","2013-04-04T00:00:00.000","Flint","Genesee","New","Grant","500000","500000","17310800","21600000","55","61","72","27788","0","Monitoring","3.83"
"2013","Bleistahl North America, LP","2013-04-05T00:00:00.000","Battle Creek","Calhoun","New","Grant","475000","240000","11593900","10145000","55","26","41","43395","0","Monitoring","4.92"
"2013","Kay Manufacturing Co.","2013-04-08T00:00:00.000","St. Joseph","Berrien","Expansion","Grant","350000","240000","9290000","18939903","80","57","59","36295","0","Monitoring","5.15"
"2013","Belmont Engineered Plastics, LLC","2013-04-15T00:00:00.000","Belmont","Kent","New","Grant","900000","675000","5510000","5600000","62","58","52","42985","0","Monitoring","5.26"
"2013","Grand Rapids Chair Company","2013-04-15T00:00:00.000","Byron Center","Kent","Expansion","Grant","200000","100000","2540000","4930000","50","32","30","34718","0","Monitoring","5.15"
"2013","CDK Global, LLC","2013-04-24T00:00:00.000","Detroit","Wayne","Expansion","Grant","1500000","1500000","3300000","2000000","150","150","150","60000","0","Monitoring","4.75"
"2013","Rec Boat Holdings, L.L.C.","2013-04-25T00:00:00.000","Cadillac","Wexford","Expansion","Grant","1000000","800000","4785381","3067858","135","35","55","25144","0","Monitoring","4.95"
"2013","JR Automation Technologies, LLC","2013-04-29T00:00:00.000","Holland","Ottawa","Expansion","Grant","300000","300000","4166000","0","90","93","150","48807","0","Monitoring","5.17"
"2013","Kay Automotive Graphics","2013-05-06T00:00:00.000","Lake Orion","Oakland","Expansion","Grant","350000","105000","12915000","13950000","50","17","25","29643","0","Monitoring","7.99"
"2013","SMR","2013-05-22T00:00:00.000","Marysville","St. Clair","Expansion","Grant","4000000","3000000","40237154","70527174","350","253","312","28150","0","Monitoring","5.07"
"2013","Merhow Acquisition LLC, dba Merhow Industries","2013-06-03T00:00:00.000","White Pigeon","St. Joseph","Relocation","Grant","200000","200000","1075000","1016000","46","49","58","33155","0","Monitoring","5.08"
"2013","TRMI, Inc.","2013-06-03T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","700000","700000","11100000","16467414","150","153","201","35612","0","Monitoring","5.04"
"2013","Senderra RX Partners, LLC","2013-06-14T00:00:00.000","Flint Township","Genesee","Expansion","Grant","200000","0","675500","51285","70","72","77","30267","0","Monitoring","5.48"
"2013","Blissfield Manufacturing Company ","2013-06-14T00:00:00.000","Blissfield","Lenawee","Expansion","Grant","365000","125000","1530735","0","68","39","29","0","0","Monitoring","5.04"
"2013","ZYNP International Corporation","2013-06-21T00:00:00.000","Romulus","Wayne","Expansion","Grant","350000","175000","9561532","2249939","51","26","32","35000","0","Monitoring","5.53"
"2013","Integrated Manufacturing & Assembly, LLC","2013-06-26T00:00:00.000","Detroit","Wayne","Expansion","Grant","4600000","3400000","32454809","63939799","851","620","785","32938","0","Monitoring","4.94"
"2013","GKN Driveline North America Inc.","2013-07-11T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","1000000","1000000","5100000","2000000","50","50","64","97244","0","Monitoring","4.48"
"2013","Detroit Diesel Corporation","2013-07-18T00:00:00.000","Detroit","Wayne","Expansion","Grant","250000","0","77200000","0","50","0","572","50000","0","Monitoring","5.46"
"2013","Fairlife, LLC","2013-07-22T00:00:00.000","Coopersville","Ottawa","New","Grant","900000","900000","127563150","256295260","125","130","143","46917","0","Monitoring","5.20"
"2013","Jackson National Life","2013-07-24T00:00:00.000","Lansing","Ingham","Expansion","Grant","3000000","750000","100000004","122400290","400","100","881","41597","0","Monitoring","6.26"
"2013","Coyote Logistics","2013-08-05T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","1000000","600000","1200500","280000","120","75","75","52000","0","Monitoring","4.90"
"2013","VernDale Products, Incorporated","2013-08-28T00:00:00.000","Detroit","Wayne","Expansion","Other","436000","436000","15991458","38000000","13","0","14","46181","0","Monitoring","5.35"
"2013","Firstronic, LLC","2013-09-04T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","300000","300000","2245000","19437","110","110","125","21800","0","Monitoring","4.65"
"2013","ADAC Automotive","2013-09-09T00:00:00.000","Muskegon","Muskegon","Expansion","Grant","650000","425000","7903000","7625573","90","45","176","34418","0","Monitoring","4.64"
"2013","Dairy Farmers of America Inc.","2013-09-25T00:00:00.000","Cass City","Tuscola","Expansion","Grant","500000","500000","40000000","83496127","25","31","31","40274","0","Monitoring","4.27"
"2014","JCIM US, LLC","2013-10-02T00:00:00.000","Frenchtown","Monroe","Expansion","Grant","800000","500000","16927000","14689241","182","130","222","35432","0","Monitoring","3.92"
"2014","Triumph Gear Systems","2013-10-07T00:00:00.000","Macomb Township","Macomb","Expansion","Grant","250000","0","15180000","20819462","60","0","19","63577","0","Monitoring","6.73"
"2014","CHi - Charter House Innovations","2013-10-15T00:00:00.000","Zeeland","Ottawa","Expansion","Grant","200000","100000","3052000","6367298","50","30","30","34410","0","Monitoring","4.46"
"2014","Navitas Advanced Solutions Group ","2013-10-17T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","1000000","500000","9287000","1135015","125","57","15","60939","0","Monitoring","6.42"
"2014","Comprehensive Logistics","2013-10-17T00:00:00.000","Detroit","Wayne","Expansion","Grant","800000","480000","18140000","33800000","400","240","300","32300","0","Monitoring","5.21"
"2014","Aisin Technical Center of North America","2013-10-23T00:00:00.000","Northville","Wayne","Expansion","Grant","1200000","400000","32724600","0","151","84","74","63173","0","Monitoring","7.67"
"2014","Pillar Technology Group, LLC","2013-11-01T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","350000","75000","1425000","1056000","45","14","23","108428","0","Monitoring","4.25"
"2014","Ventra Grand Rapids 5, LLC","2013-11-05T00:00:00.000","Kentwood","Kent","Expansion","Grant","650000","650000","16296797","33503638","150","170","622","26365","0","Monitoring","3.32"
"2014","Cooper Standard Automotive (Fairview)","2013-11-06T00:00:00.000","Fairview","Oscoda","Expansion","Grant","1000000","700800","6359817","6401294","177","114","64","24355","0","Monitoring","4.90"
"2014","Lauren Plastics","2013-11-15T00:00:00.000","Spring Lake","Ottawa","Expansion","Grant","300000","225000","7063000","0","70","50","50","28262","0","Monitoring","5.32"
"2014","SRI International","2013-11-20T00:00:00.000","Plymouth","Wayne","Expansion","Grant","800000","192000","624535","0","25","6","6","72800","0","Monitoring","7.46"
"2014","HTC Global Services, Incorporated","2013-11-20T00:00:00.000","Troy","Oakland","Expansion","Grant","1750000","430000","3372500","606825","203","102","52","68692","0","Monitoring","5.32"
"2014","Spartan Stores","2013-11-20T00:00:00.000","Byron Center","Kent","Expansion","Grant","2750000","1000000","18271496","3146797","372","36","87","82665","0","Monitoring","7.20"
"2014","Niowave, Inc.","2013-11-20T00:00:00.000","Lansing","Ingham","Expansion","Other","3000000","1000000","79000000","0","90","10","11","46364","3000000","Monitoring","6.55"
"2014","Mahindra GenZe","2013-11-25T00:00:00.000","Ann Arbor","Washtenaw","New","Grant","300000","70000","2010000","3862196","34","13","11","71723","0","Monitoring","6.35"
"2014","Circuit Controls Corporation","2013-12-11T00:00:00.000","Petoskey","Emmet","Expansion","Grant","180000","90000","21722000","24816214","36","31","37","30094","0","Monitoring","4.81"
"2014","Vectorform LLC","2013-12-12T00:00:00.000","Royal Oak","Oakland","Expansion","Grant","375000","0","2240455","0","75","0","13","70000","0","Monitoring","6.14"
"2014","Medimpact Healthcare Systems, Inc.","2013-12-19T00:00:00.000","Van Buren Township","Wayne","New","Grant","150000","0","2074000","0","75","0","54","33535","0","Monitoring","5.32"
"2014","MANN+HUMMEL USA, Inc.","2014-01-31T00:00:00.000","Portage","Kalamazoo","Expansion","Grant","325000","140000","17425000","7153240","70","40","69","41886","0","Monitoring","5.33"
"2014","ThinkTech, Inc.","2014-02-06T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","500000","150000","2938551","568495","50","17","31","116348","0","Monitoring","5.16"
"2014","Advance Engineering Company","2014-02-06T00:00:00.000","Canton","Wayne","Expansion","Grant","400000","200000","6554000","8528653","150","78","94","32579","0","Monitoring","3.90"
"2014","Futuramic - Detroit location","2014-02-24T00:00:00.000","Detroit","Wayne","Relocation","Grant","600000","180000","20030000","4700000","100","30","40","46500","0","Monitoring","4.96"
"2014","Kalitta Air","2014-02-25T00:00:00.000","Oscoda","Iosco","Expansion","Grant","2000000","1000000","9730431","10434051","200","100","100","42658","0","Monitoring","6.24"
"2014","Eberspacher North America, Inc.","2014-02-25T00:00:00.000","Brighton","Livingston","Expansion","Grant","4500000","0","122000000","20208000","545","0","150","38244","0","Monitoring","8.25"
"2014","Xanedu","2014-02-26T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","325000","0","1030000","125000","50","0","12","38000","0","Monitoring","6.52"
"2014","Proos Manufacturing Inc. ","2014-03-05T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","200000","75000","5665370","360000","50","20","0",,"0","Monitoring","5.28"
"2014","Avon Protection Systems, Incorporated","2014-03-06T00:00:00.000","Cadillac","Wexford","Expansion","Grant","100000","100000","925500","934508","29","29","29","25000","0","Monitoring","2.99"
"2014","Nyloncraft, Inc.","2014-03-14T00:00:00.000","Jonesville","Hillsdale","Expansion","Grant","150000","150000","4693000","1200000","40","41","46","26000","0","Monitoring","4.08"
"2014","Hirata","2014-03-24T00:00:00.000","New Hudson","Oakland","Expansion","Grant","200000","0","2065380","57080","39","0","10","61008","0","Monitoring","5.02"
"2014","BorgWarner Inc. - Powertrain Technical Center","2014-03-25T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","3200000","3200000","11000000","6354000","180","180","187","71642","0","Monitoring","5.29"
"2014","M1 Rail","2014-03-25T00:00:00.000","Detroit","Wayne","New","Loan","10000000","5000000","131957023","17507106","0","0","0","0","0","Monitoring","14.78"
"2014","Oerlikon Balzers Coatings USA Inc.","2014-03-28T00:00:00.000","Lake Orion","Oakland","Expansion","Grant","250000","0","6038000","40000","50","0","8","35000","0","Monitoring","4.76"
"2014","Fuyao Automotive North America, Inc.","2014-04-08T00:00:00.000","Lake Orion","Oakland","Expansion","Grant","1000000","500000","15390000","0","100","51","85","20800","0","Monitoring","5.89"
"2014","Molina Healthcare of Michigan","2014-04-22T00:00:00.000","Troy","Oakland","Expansion","Grant","2296000","750000","20323311","0","462","164","150","55851","0","Monitoring","4.73"
"2014","NOVO 1 ","2014-04-24T00:00:00.000","Grand Rapids","Kent","Expansion","Grant","550000","272000","1500000","0","287","143","0","0","0","Monitoring","5.36"
"2014","INGlass USA","2014-04-24T00:00:00.000","Byron Center","Kent","New","Grant","300000","123000","17668890","10953027","73","30","33","42832","0","Monitoring","5.47"
"2014","Herbruck Poultry Ranch Inc.","2014-04-25T00:00:00.000","Lake Odessa","Ionia","Expansion","Grant","750000","187000","76500000","23820241","100","60","141","23399","0","Monitoring","5.49"
"2014","Mahindra Vehicle Manufacturers Limited","2014-04-28T00:00:00.000","Troy","Oakland","New","Grant","500000","280000","1912854","25469067","112","50","56","123296","0","Monitoring","4.68"
"2014","Toyoda Gosei North America Corporation","2014-05-14T00:00:00.000","Troy","Oakland","Expansion","Grant","250000","115000","7951500","2100000","51","26","59","70839","0","Monitoring","4.87"
"2014","AvaSure","2014-05-14T00:00:00.000","Belmont","Kent","Expansion","Grant","550000","0","1896400","200000","110","0","30","61000","0","Monitoring","5.20"
"2014","Challenge Manufacturing Company","2014-05-27T00:00:00.000","Pontiac","Oakland","Expansion","Grant","2238000","0","50000000","47667815","450","0","0","0","0","Monitoring","5.35"
"2014","SolarBos","2014-06-04T00:00:00.000","Walker","Kent","New","Grant","250000","160000","884000","1300000","50","35","36","41600","0","Monitoring","4.99"
"2014","JanSar Inc.","2014-06-04T00:00:00.000","Battle Creek","Calhoun","New","Grant","950000","0","22842000","10957778","186","0","97","31997","0","Monitoring","5.66"
"2014","Cascade Die Casting Group","2014-06-05T00:00:00.000","Sparta and Grand Rapids","Kent","Expansion","Grant","275000","115000","5336000","352000","50","23","35","32175","0","Monitoring","5.58"
"2014","Ventra Ionia Main, LLC","2014-06-09T00:00:00.000","Ionia","Ionia","Expansion","Grant","500000","180000","8504539","8541998","144","242","85","31361","0","Monitoring","3.98"
"2014","Hirotec America Inc.","2014-07-01T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","1000000","375000","26000000","427166","110","35","35","70000","0","Monitoring","4.50"
"2014","Medbio, Inc.","2014-07-08T00:00:00.000","Caledonia","Kent","Expansion","Grant","180000","60000","3393000","2500000","45","15","16","35000","0","Monitoring","5.08"
"2014","NEMO Capital Partners LLC","2014-07-11T00:00:00.000","Southfield","Oakland","New","Grant","750000","300000","2607300","1900000","175","55","55","47520","0","Monitoring","5.73"
"2014","S & P Data LLC ","2014-07-14T00:00:00.000","Troy","Oakland","New","Grant","1000000","600000","4380546","150000","400","100","40","31500","0","Monitoring","4.96"
"2014","Walbro Engine Management","2014-07-14T00:00:00.000","Cass City","Tuscola","Expansion","Grant","165000","33000","4150000","954000","25","8","4","24500","0","Monitoring","4.72"
"2014","Eissmann Automotive Port Huron LLC","2014-07-15T00:00:00.000","Port Huron","St. Clair","New","Grant","850000","105000","13550000","6900000","225","33","97","38351","0","Monitoring","4.79"
"2014","Roush Industries, Inc.","2014-07-18T00:00:00.000","Livonia","Wayne","Expansion","Grant","1000000","500000","8700775","0","210","100","199","33962","0","Monitoring","4.46"
"2014","Suniva, Inc.","2014-07-22T00:00:00.000","Saginaw","Saginaw","New","Grant","2500000","1050000","12225000","17500000","350","100","160","32000","0","Monitoring","4.78"
"2014","Brembo North America, Inc.","2014-07-22T00:00:00.000","Homer","Calhoun","Expansion","Grant","2000000","0","78428651","23990537","254","0","52","50000","0","Monitoring","5.70"
"2014","HA Automotive Systems, Inc.","2014-07-22T00:00:00.000","Troy","Oakland","New","Grant","2250000","0","28800000","11800000","368","0","8","104000","0","Monitoring","7.69"
"2014","Anchor Coupling, Inc.","2014-07-24T00:00:00.000","Menominee","Menominee","Expansion","Grant","1000000","253333","9056000","7107415","110","22","58","30000","0","Monitoring","4.44"
"2014","Celia Corporation","2014-07-28T00:00:00.000","Sparta","Kent","Expansion","Grant","233000","0","4175000","0","50","0","30","27223","0","Monitoring","5.08"
"2014","Flow-Rite Controls, Ltd.","2014-07-30T00:00:00.000","Byron Center","Kent","Expansion","Grant","224000","105000","6055552","0","64","30","48","32957","0","Monitoring","5.13"
"2014","Middleville Tool & Die Company, Inc.","2014-07-30T00:00:00.000","Middleville","Barry","Expansion","Grant","350000","100000","6300000","0","35","17","26","43680","0","Monitoring","5.01"
"2014","Duffey Petrosky","2014-08-04T00:00:00.000","Farmington Hills","Oakland","Expansion","Grant","1000000","0","912708","0","204","0","0","0","0","Monitoring","5.41"
"2014","Unified Business Technologies, Inc.","2014-08-08T00:00:00.000","Troy","Oakland","Expansion","Grant","650000","300000","17174800","3253743","150","25","25","49997","0","Monitoring","4.40"
"2014","Transform Automotive, LLC","2014-08-08T00:00:00.000","Shelby Charter Township","Macomb","Expansion","Grant","550000","175000","41946000","14000000","77","25","31","32780","0","Monitoring","4.56"
"2014","Toyota Motor Engineering & Manufacturing, N.A. Inc.","2014-08-26T00:00:00.000","Ann Arbor Charter Township","Washtenaw","Expansion","Grant","5000000","0","107650000","0","335","0","138","84604","0","Monitoring","8.35"
"2014","Neogen Corporation","2014-08-28T00:00:00.000","Lansing","Ingham","Expansion","Grant","100000","32000","1035000","940446","25","127","154","32385","0","Monitoring","4.93"
"2014","CDK Global, LLC","2014-09-01T00:00:00.000","Detroit","Wayne","Expansion","Grant","1000000","250000","3590000","1000000","100","25","51","60000","0","Monitoring","3.75"
"2014","American Axle & Manufacturing","2014-09-05T00:00:00.000","Detroit","Wayne","Expansion","Grant","1000000","0","15400000","5000000","75","0","34","107033","0","Monitoring","4.99"
"2014","Costco","2014-09-08T00:00:00.000","Belleville","Wayne","New","Grant","450000","0","47890000","42415500","126","0","4","92551","0","Monitoring","5.32"
"2014","Hannigan Insurance Agency","2014-09-12T00:00:00.000","Ann Arbor","Washtenaw","Expansion","Grant","400000","81000","516000","105000","75","16","15","30000","0","Monitoring","4.63"
"2014","Android Industries","2014-09-17T00:00:00.000","Detroit","Wayne","Expansion","Grant","500000","500000","16487341","11000000","100","0","52","46351","0","Monitoring","4.79"
"2014","Dicastal North America, Inc.","2014-09-17T00:00:00.000","Greenville","Montcalm","New","Grant","3500000","3000000","139616538","50000000","300","0","32","65390","0","Monitoring","5.54"
"2014","Plasan Carbon Composites, Inc.","2014-09-17T00:00:00.000","Walker","Kent","Expansion","Other","6000000","4800000","29022000","8550000","620","418","373","27500","6000000","Monitoring","5.79"
"2014","Nexthermal Corporation","2014-09-19T00:00:00.000","Battle Creek","Calhoun","Expansion","Grant","250000","50000","1964000","578565","50","10","12","45000","0","Monitoring","4.99"
"2014","Harman- Novi","2014-09-30T00:00:00.000","Novi","Oakland","Expansion","Grant","800000","0","44889000","0","150","0","78","99911","0","Monitoring","6.26"
"2015","SL America Corporation","2014-10-06T00:00:00.000","Auburn Hills","Oakland","Expansion","Grant","615000","250000","8011214","6112","72","10","15","66782","0","Monitoring","5.33"
"2015","Summit Polymers, Inc.","2014-10-09T00:00:00.000","Vicksburg","Kalamazoo","Expansion","Grant","800000","250000","7290552","5524528","198","74","134","27573","0","Monitoring","5.07"
"2015","NBJX","2014-10-16T00:00:00.000","Canton","Wayne","Expansion","Grant","300000","0","8053000","363222","75","0","2","22880","0","Monitoring","5.54"
