"fiscal_year_approved","company_name","municipality","county","project_type","incentive_type","msf_approval_date","award_amount","actual_amount_disbursed","proposed_private_investment_amount","minimum_eligible_investment","verified_eligible_investment","actual_private_investment_attracted_as_reported_to_the_msf","commercial_square_footage_revitalized_added","residential_square_footage_revitalized_added","retail_square_footage_revitalized_added","number_of_residential_units_revitalized_added","status","duration_of_economic_assistance_years"
"FY 2013","Grand Rapids Downtown Market Holdings LLC ","Grand Rapids","Kent","New","Other","2013-02-27T00:00:00.000","3000000.00","3000000.00","27165835.00","$12,000,000","$22,348,686","$26,818,049","137,200","0","1,200","0","Monitoring","8"
"FY 2013","Blue Star 2, LLC","Benton Harbor","Berrien","New","Grant","2013-03-05T00:00:00.000","823250.00","823250.00","2939750.00","$2,634,400","$3,309,204","$4,959,850","5,000","9,845","4,845","8","Monitoring","5"
"FY 2013","Gulf Shore Investments, L.L.C. ","Bay City","Bay","New","Grant","2013-03-27T00:00:00.000","1000000.00","1000000.00","6727593.00","$5,339,584","$6,027,092","$7,522,226","14,114","34,928","0","24","Monitoring","5"
"FY 2013","Corlin Builders, Inc.","Fenton","Genesee","New","Grant","2013-04-30T00:00:00.000","880000.00","880000.00","4299250.00","$3,484,600","$4,191,599","$4,693,244","0","35,000","12,000","23","Monitoring","6"
"FY 2013","The Historic Vogue Theatre of Manistee","Manistee","Manistee","New","Grant","2013-04-30T00:00:00.000","503592.00","503592.00","1851232.00","$1,611,493","$2,121,418","$2,121,418","0","0","6,931","0","Monitoring","7"
"FY 2013","Eastern Market Corporation","Detroit","Wayne","Expansion","Grant","2013-05-16T00:00:00.000","1000000.00","625000.00","7224030.00","$4,000,000","$4,045,734","$5,583,000","20,000","0","22,000","0","Monitoring","7"
"FY 2013","1212 Griswold Street LLC ","Detroit","Wayne","New","Other","2013-05-22T00:00:00.000","6000000.00","6000000.00","31619260.00","$24,000,000",,"$35,000,000","44,849","45,609","0","56","Ended","5"
"FY 2013","HWD Investors, LLC (URC FJ, LLC & Uptown Reinvestment Corporation Inc.) ","Flint","Genesee","New","Other","2013-06-26T00:00:00.000","5649071.00","5649071.00","25004952.00","$22,596,284","$23,004,774","$30,766,147","60,000","16,000","45,000","16","Monitoring","N/A**"
"FY 2013","Kirco CH Distribution, LLC and Henry Ford Health System ","Detroit","Wayne","New","Grant","2013-06-26T00:00:00.000","1000000.00","1000000.00","28866172.00","$18,237,430","$20,376,283","$26,948,324","0","0","0","0","Monitoring","7"
"FY 2013","618 South Main, LLC ","Ann Arbor","Washtenaw","New","Loan","2013-07-24T00:00:00.000","3000000.00","0.00","34047208.00","$12,000,000","$26,108,227","$39,200,000","48,000","130,000","0","164","Monitoring","40"
"FY 2013","NewGAR, LLC","Detroit","Wayne","New","Other","2013-07-24T00:00:00.000","660000.00","660000.00","3779000.00","$2,677,132","$4,054,517","$5,074,481","20,000","0","5,000","0","Monitoring","6"
"FY 2013","Harbor Village at Harbor Shores ","St. Joseph","Berrien","New","Grant","2013-07-24T00:00:00.000","900000.00","0.00","18802465.00","$14,336,180","$16,333,477","$25,795,500","66,848","29,249","9,426","67","Monitoring","4"
"FY 2013","Ben's 314, LLC","Port Huron","St. Clair","New","Grant","2013-07-25T00:00:00.000","217500.00","217500.00","912500.00","$664,000","$894,177","$1,177,635","0","12,000","8,000","11","Monitoring","6"
"FY 2013","609 E Kirby Lofts LLC ","Detroit","Wayne","New","Other","2013-07-26T00:00:00.000","1000000.00","1000000.00","5562627.00","$4,000,000",,"$4,440,252","0","0","0","0","Monitoring","22"
"FY 2013","Dwelling Place of Grand Rapids","Grand Rapids","Kent","New","Grant","2013-08-27T00:00:00.000","293659.00","293659.00","1193851.00","$1,190,000","$1,577,908","$1,577,908","14,500","0","0","0","Monitoring","5"
"FY 2013","Herkimer Apartments LDHA LP","Grand Rapids","Kent","Expansion","Grant","2013-08-27T00:00:00.000","305157.00","305157.00","16760612.00","$8,815,412","$11,144,888","$17,354,577","10,346","67,675","0","55","Monitoring","5"
"FY 2013","Mid Towne Hospitality, LLC ","Grand Rapids","Kent","New","Other","2013-08-28T00:00:00.000","3000000.00","3000000.00","24018173.00","$12,000,000","$20,834,389","$25,959,177","118,050","0","0","0","Monitoring","9"
"FY 2015","TC 555 Michigan LLC ","Grand Rapids","Kent","New","Grant","2014-12-16T00:00:00.000","1000000.00","0.00","6399671.00","$4,308,797","$5,153,747","$7,120,883","0","22,500","5,600","26","Monitoring","5"
"FY 2013","Woodward Brown Associates, LLC","Birmingham","Oakland","New","Other","2013-09-25T00:00:00.000","3278890.00","3278890.00","24511394.00","$14,153,000","$14,214,011","$22,028,194","64,233","4,947","16,540","0","Monitoring","7"
"FY 2013","Parkland Muskegon, LLC ","Muskegon","Muskegon","New","Loan","2013-09-25T00:00:00.000","1950000.00","0.00","8750000.00","$6,500,000",,"$1,306,000","0","0","0","0","Monitoring","25"
"FY 2013","1212 Griswold Street LLC ","Muskegon","Muskegon","Relocation","Grant","2013-09-27T00:00:00.000","710000.00","710000.00","3261900.00","$2,285,520","$3,857,999","$3,143,999","0","0","4,400","0","Monitoring","5"
"FY 2013","Harbortown Riverside LLC & Harbortown Riverside Financing, Inc. ","Detroit","Wayne","New","Grant","2013-09-27T00:00:00.000","1000000.00","0.00","18936653.00","$12,773,322","$17,223,967","$18,936,653","0","196,425","0","134","Monitoring","6"
"FY 2013","Hotel Sterling II, LLC ","Wyandotte","Wayne","New","Grant","2013-09-25T00:00:00.000","445000.00","0.00","2070938.00","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","No Executed Agreement",
"FY 2014","Hall Street Partners, Inc.","Grand Rapids","Kent","New","Grant","2013-10-09T00:00:00.000","310000.00","310000.00","1070234.00","$996,987","$1,240,000","$1,635,085","6,000","2,400","6,000","2","Monitoring","4"
"FY 2014","CWD 50 Louis LLC","Grand Rapids","Kent","New","Grant","2013-11-06T00:00:00.000","1000000.00","500000.00","8356604.00","$4,226,374","$6,003,410","$10,221,051","72,000","0","2,000","0","Monitoring","5"
"FY 2014","3411 E. Michigan, LLC","Lansing","Ingham","New","Grant","2013-11-14T00:00:00.000","450000.00","448570.00","7023541.00","$5,263,270","$6,408,151","$8,200,663","0","61,008","1,785","66","Monitoring","5"
"FY 2014","Ashley Owner, LLC & Ashley Developer, Inc. ","Detroit","Wayne","New","Grant","2014-02-25T00:00:00.000","1000000.00","1000000.00","7248415.00","$4,838,968","$5,792,009","$8,000,000","0","66,000","1,000","67","Monitoring","4"
"FY 2014","Midland DTH, LLC ","Midland","Midland","New","Loan","2014-02-25T00:00:00.000","4780000.00","0.00","17990249.00","$16,658,199",,"$17,435,838","0","0","0","0","Monitoring","15"
"FY 2014","Strathmore Apartments LDHA LLC","Detroit","Wayne","New","Other","2014-02-25T00:00:00.000","3500000.00","3500000.00","24946000.00","$14,000,000",,"$19,524,000","0","0","0","0","Monitoring","N/A**"
"FY 2014","Landmark Port Huron LLC ","Port Huron","St. Clair","New","Grant","2014-03-06T00:00:00.000","100000.00","0.00","943763.00","$699,010","$767,383","$1,043,000","0","6,300","3,900","8","Monitoring","5"
"FY 2014","Bancroft Project Saginaw, LLC","Saginaw","Saginaw","New","Grant","2014-03-12T00:00:00.000","1000000.00","1000000.00","4496673.00","$3,200,000","$4,310,756","$4,500,000","0","97,256","34,015","126","Monitoring","6"
"FY 2014","Alex and Beck, LLC","Detroit","Wayne","New","Grant","2014-03-19T00:00:00.000","178000.00","178000.00","661084.00","$570,521","$746,632","$255,664","0","2,206","992","3","Monitoring","6"
"FY 2014","Diamonds and Rifles LLC and Gold Cash Gold, LLC","Detroit","Wayne","New","Grant","2014-03-19T00:00:00.000","200000.00","200000.00","1690314.00","$1,142,834","$1,570,914","$2,347,000","0","6,000","3,000","0","Monitoring","5"
"FY 2014","Arena Place Development LLC","Grand Rapids","Kent","New","Other","2014-03-25T00:00:00.000","4500000.00","4500000.00","39500000.00","$18,000,000",,"$46,500,000","0","0","0","0","Monitoring","9"
"FY 2014","Woodward Willis LLC","Detroit","Wayne","New","Grant","2014-04-01T00:00:00.000","745000.00","0.00","5684399.00","$4,019,205","$4,086,289","$4,086,289","24,098","0","2,222","0","Monitoring","6"
"FY 2014","Marquette Food Co-Op","Marquette","Marquette","New","Grant","2014-04-28T00:00:00.000","615000.00","615000.00","2760416.00","$2,460,000","$3,778,896","$4,623,509","11,230",,"9,000","0","Monitoring","5"
"FY 2014","Ransom Real Estate, LLC","Kalamazoo","Kalamazoo","New","Grant","2014-04-30T00:00:00.000","411000.00","384314.00","1945461.00","$1,634,561","$1,921,571","$1,637,257","8,485","4,500","0","5","Monitoring","6"
"FY 2014","Wesener LLC ","Owosso","Shiawassee","New","Grant","2014-05-18T00:00:00.000","560000.00","0.00","2137783.00","$1,790,400","$2,336,879","$1,748,477","0","11,500","5,750","7","Monitoring","6"
"FY 2014","NY Jefferson LLC","Detroit","Wayne","New","Grant","2014-06-20T00:00:00.000","834800.00","601807.00","4355053.00","$2,407,229","$2,407,229","$3,300,000","0","0","69,500","0","Monitoring","5"
"FY 2014","Du Charme Place, LLC ","Detroit","Wayne","New","Other","2014-08-26T00:00:00.000","5700000.00","5700000.00","32763308.00","$22,800,000",,"$8,884,727","0","0","0","0","Monitoring","N/A**"
"FY 2014","Lofts on Michigan, LLC ","Grand Rapids","Kent","New","Other","2014-08-26T00:00:00.000","2450000.00","2450000.00","12700000.00","$8,206,800",,"$11,755,203","0","0","0","0","Monitoring","10"
"FY 2014","Rivertown Phase I, LLC ","Detroit","Wayne","New","Other","2014-08-26T00:00:00.000","8110000.00","8110000.00","52925220.00","$32,440,000",,"$30,329,270","0","0","0","0","Monitoring","N/A**"
"FY 2014","1400 Wealthy LLC ","Grand Rapids","Kent","New","Grant","2014-09-12T00:00:00.000","800000.00","800000.00","4700000.00","$3,510,400","$4,259,939","$5,179,939","0","37,510","2,500","35","Monitoring","6"
"FY 2014","Hallmark Ventures LLC ","Dearborn","Wayne","New","Grant","2014-09-17T00:00:00.000","1000000.00","0.00","7641020.00","$5,255,776",,"$5,695,000","0","0","0","0","Monitoring","6"
"FY 2014","Griswold Project, LLC","Detroit","Wayne","New","Other","2014-09-17T00:00:00.000","4798000.00","4798000.00","19192000.00","$19,192,000",,"$14,555,666","0","0","0","0",,"N/A**"
"FY 2014","Lofts on 820, LLC","Grand Rapids","Kent","New","Other","2014-09-17T00:00:00.000","3100000.00","3100000.00","18700000.00","$12,808,000",,"$21,067,322","0","0","0","0","Monitoring","10"
"FY 2014","751 Griswold Detroit, LLC","Detroit","Wayne","New","Grant","2014-09-19T00:00:00.000","682279.00","0.00","3773516.00","$2,366,104",,"$474,539","0","0","0","0","Monitoring","6"
"FY 2014","Artspace Projects, Inc.","Dearborn","Wayne","New","Grant","2014-09-22T00:00:00.000","1000000.00","0.00","14807762.00","$4,021,815",,"$14,552,162","0","0","0","0","Monitoring","7"
"FY 2014","5734 Woodward LLC","Detroit","Wayne","New","Grant","2014-09-26T00:00:00.000","240625.00","0.00","1324575.00","$770,000","$1,615,641","$1,297,000","0","2,022","2,922","2","Monitoring","5"
"FY 2014","West Fort Street Properties LLC","Detroit","Wayne","New","Grant","2014-09-26T00:00:00.000","1000000.00","0.00","3398897.00","$3,313,988","$4,147,569","$4,492,906","100,740","0","0","1","Monitoring","5"
"FY 2014","Stocking Street Properties LLC","Grand Rapids","Kent","New","Grant","2014-09-29T00:00:00.000","89574.00","0.00","1075619.00","$358,300","$466,868","$1,765,800","11,915","0","0","0","Monitoring","5"
"FY 2014","TFG Building, LLC","Grand Rapids","Kent","New","Grant","2014-09-30T00:00:00.000","136527.00","136527.00","1152655.00","$728,145","$956,569","$184,402","3,600","7,200","0","8","Monitoring","5"
"FY 2014","Detroit Economic Growth Corporation ","Detroit","Wayne","New","Other","2014-03-25T00:00:00.000","10000000.00","0.00","18000000.00","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","No Executed Agreement",
"FY 2015","250 West Larned LLC","Detroit","Wayne","New","Other","2014-10-28T00:00:00.000","5840000.00","5840000.00","28947940.00","$23,360,000",,"$763,375","0","0","0","0","Monitoring","N/A**"
"FY 2015","Outfield Partners, LLC ","Lansing","Ingham","New","Other","2014-12-16T00:00:00.000","2455000.00","1455000.00","11201213.00","$9,820,000",,"$9,487,501","0","0","0","0","Monitoring","N/A**"
"FY 2015","1145 Griswold Street LLC ","Detroit","Wayne","New","Other","2015-01-30T00:00:00.000","1000000.00","0.00","21682898.00","$4,000,000",,"$17,337,799","0","0","0","0","Monitoring","8"
"FY 2015","Roebuck Residential, LLC","Wyandotte","Wayne","New","Grant","2015-02-05T00:00:00.000","798000.00","0.00","4252000.00","$3,192,000",,"$5,600,000","Monitoring","0","0","0","Monitoring","5"
"FY 2015","Cedar Springs Brewing Company, LLC ","Cedar Springs","Kent","New","Grant","2015-02-18T00:00:00.000","285614.00","0.00","1278956.00","$1,146,456","$1,942,263","$1,942,263","6,300","0","1,500","0","Monitoring","5"
"FY 2015","KWA I Residential LLC ","Detroit","Wayne","New","Grant","2015-02-18T00:00:00.000","1000000.00","0.00","11765896.00","$7,643,774",,"$11,409,517","0","0","0","0","Monitoring","6"
"FY 2015","Veridea Group","Marquette","Marquette","New","Other","2015-02-24T00:00:00.000","4100000.00","4100000.00","16258038.00","$14,800,000",,"$14,456,328","0","0","0","0","Monitoring","5"
"FY 2015","Wright Opera Block, LLC","Alma","Gratiot","New","Grant","2015-02-24T00:00:00.000","1000000.00","0.00","5703829.00","$4,113,260",,"$4,300,000","0","0","0","0","Ended","4"
"FY 2015","George F. Eyde Family, LLC","Lansing","Ingham","New","Grant","2015-03-25T00:00:00.000","289250.00","0.00","1376950.00","$925,600",,"$1,626,400","0","0","0","0","Monitoring","5"
"FY 2015","Wabash & Main, LLC","Milan","Washtenaw","New","Grant","2015-03-25T00:00:00.000","873601.00","0.00","4391517.00","$2,795,523","$4,000,610","$5,175,000","10,500","16,500","0","15","Monitoring","7"
"FY 2015","207 East Baltimore LLC","Detroit","Wayne","New","Grant","2015-04-01T00:00:00.000","225000.00","0.00","1562300.00","$1,058,960",,"$1,500,000","0","0","0","0","Monitoring","6"
"FY 2015","Paradise Valley Real Estate Holdings LLC","Detroit","Wayne","New","Grant","2015-04-22T00:00:00.000","413000.00","0.00","2742006.00","$1,321,627",,"$1,097,880","0","0","0","0","Monitoring","6"
"FY 2015","Moso Village, LLC ","Sturgis","St. Joseph","New","Grant","2015-04-28T00:00:00.000","1000000.00","0.00","5693668.00","$4,010,726",,"$5,054,402","0","0","0","0","Monitoring","7"
"FY 2015","Woodward and Erskine LLC","Detroit","Wayne","New","Loan","2015-06-08T00:00:00.000","1500000.00","0.00","62995000.00","$43,030,000",,"$54,995,000","0","0","0","0","Monitoring","5"
"FY 2015","Lofts on Alabama, LLC ","Grand Rapids","Kent","New","Other","2015-06-08T00:00:00.000","3000000.00","3000000.00","17000000.00","$10,870,000",,"$17,758,912","0","0","0","0","Monitoring","7"
"FY 2015","678 Selden LLC ","Detroit","Wayne","New","Grant","2015-06-16T00:00:00.000","670210.00","0.00","3018791.00","$2,153,484",,"$3,268,578","0","0","0","0","Monitoring","6"
"FY 2015","Fulton and Seward ","Grand Rapids","Kent","New","Other","2015-06-23T00:00:00.000","3000000.00","3000000.00","30775000.00","$20,021,000",,"$33,775,000","0","0","0","0","Monitoring","10"
"FY 2015","Casamira Detroit, LLC ","Detroit","Wayne","New","Grant","2015-08-25T00:00:00.000","1000000.00","0.00","9176032.00","$5,494,324",,"$985,623","0","0","0","0","Monitoring","6"
"FY 2015","Port Huron Citadel, LLC","Port Huron","St. Clair","New","Grant","2015-09-17T00:00:00.000","200000.00","0.00","1210970.00","$888,775",,"$1,023,922","0","0","0","0","Monitoring","4"
"FY 2015","HM Ventures Group 6 LLC","Detroit","Wayne","New","Loan","2015-09-22T00:00:00.000","3500000.00","3500000.00","19180551.00","$14,000,000",,"$7,360,000","0","0","0","0","Monitoring","7"
"FY 2015","OMH, LLC","Grand Rapids","Kent","New","Other","2015-09-22T00:00:00.000","5400000.00","5400000.00","26889744.00","$17,855,000",,"$5,600,000","0","0","0","0","Monitoring","9"
"FY 2015","1215 Griswold LLC","Detroit","Wayne","New","Loan","2015-07-07T00:00:00.000","1000000.00","0.00","8638247.00","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","No Executed Agreement",
"FY 2016","Strand Theater Manager, LLC","Pontiac","Oakland","New","Loan","2015-10-27T00:00:00.000","4500000.00","4500000.00","7648915.00","$9,000,000",,"$5,184,386","0","0","0","0","Monitoring","20"
"FY 2016","The Plaza Midtown, LLC","Detroit","Wayne","New","Other","2015-10-27T00:00:00.000","3500000.00","3500000.00","17031860.00","$14,000,000",,"$12,000,000","0","0","0","0","Monitoring","N/A**"
"FY 2016","Bridge and Turner, L.L.C.","Grand Rapids","Kent","New","Other","2015-10-27T00:00:00.000","2500000.00","2500000.00","25160000.00","$16,066,000",,"$25,905,000","0","0","0","0","Monitoring","3"
"FY 2016","GL Rentals, LLC","Zeeland","Ottawa","New","Grant","2015-10-30T00:00:00.000","325000.00","0.00","1544462.00","$1,145,530",,"$1,106,187","0","0","0","0","Monitoring","7"
"FY 2016","NOMI Developers LLC","Kalamazoo","Kalamazoo","New","Grant","2015-11-24T00:00:00.000","665000.00","0.00","451501.00","$2,835,615","$4,273,318","$3,356,500","7,001","24,499","2,000","47","Monitoring","6"
"FY 2016","1030 Plym Park LLC","Niles","Berrien","New","Grant","2015-12-22T00:00:00.000","210501.00","0.00","1000000.00","$844,930",,"$650,000","0","0","0","0","Monitoring","5"
"FY 2016","Uptown Reinvestment Corporation, Inc.","Flint","Genesee","New","Other","2016-02-23T00:00:00.000","5500000.00","5500000.00","24949022.00","$20,120,000",,"$16,845,207","0","0","0","0","Monitoring","N/A**"
"FY 2016","GTW Depot, LLC","Kalamazoo","Kalamazoo","New","Grant","2016-03-29T00:00:00.000","484435.00","0.00","2422175.00","$1,937,740",,"$3,120,024","0","0","0","0","Monitoring","6"
"FY 2016","Uptown Housing LLC","Grand Rapids","Kent","New","Grant","2016-04-12T00:00:00.000","132000.00","0.00","1194194.00","$700,000",,"$700,000","0","0","0","0","Monitoring","4"
"FY 2016","GS Entertainment, LLC","Utica","Macomb","New","Grant","2016-05-12T00:00:00.000","287000.00","0.00","1018239.00","$1,680,000",,"$1,018,239","0","0","0","0","Monitoring","3"
"FY 2016","Peregrine PNC, LLC","Kalamazoo","Kalamazoo","New","Grant","2016-05-24T00:00:00.000","750000.00","0.00","5000000.00","$3,151,381",,"$1,000,000","0","0","0","0","Monitoring","4"
"FY 2016","River's Edge Partners, LLC","Kalamazoo","Kalamazoo","New","Grant","2016-06-28T00:00:00.000","750000.00","0.00","6500000.00","$6,457,340",,"$1,700,000","0","0","0","0","Monitoring","6"
"FY 2016","River Parc Place II, LLC","Manistee","Manistee","New","Grant","2016-06-28T00:00:00.000","636680.00","0.00","3809874.00","$2,456,720",,"$3,186,194","0","0","0","0","Monitoring","4"
"FY 2016","Cellar Brewing Co ","Sparta","Kent","New","Grant","2016-07-25T00:00:00.000","250940.00","0.00","1555988.00","$1,244,790",,"$0","0","0","0","0","Monitoring","5"
"FY 2016","601 West LLC","Grand Rapids","Kent","New","Other","2016-07-26T00:00:00.000","2900000.00","0.00","19040500.00","$13,152,900",,"$0","0","0","0","0","Monitoring","28"
"FY 2016","Inn on Water Street, LLC","Marine City","St. Clair","New","Grant","2016-09-23T00:00:00.000","642000.00","0.00","1033007.00","$2,568,000",,"$0","0","0","0","0","Monitoring","6"
"FY 2016","Third & Grand LLC","Detroit","Wayne","New","Other","2016-09-27T00:00:00.000","2000000.00","0.00","37060649.00","$29,651,000",,"$0","0","0","0","0","Monitoring","4"
"FY 2016","Diamond Place LLC","Grand Rapids","Kent","New","Other","2016-09-27T00:00:00.000","2826000.00","2826000.00","14112717.00","$11,304,909",,"$0","0","0","0","0","Monitoring","8"
"FY 2016","Shoppes at Woodward LLC ","Detroit","Wayne","New","Grant","2016-09-28T00:00:00.000","750000.00","0.00","4195648.00","$3,356,518",,"$0","0","0","0","0","Monitoring","5"
"FY 2016","Downtown Albion Hotel, LLC","Albion","Calhoun","New","Grant","2016-09-27T00:00:00.000","1000000.00","0.00","9671737.00","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","No Executed Agreement",
"FY 2016","Chamber Support Corporation","Owosso","Shiawassee","New","Grant","2016-09-27T00:00:00.000","1402000.00","0.00","3732737.00","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","No Executed Agreement",
"FY 2016","Trident-Corktown, LLC","Detroit","Wayne","New","Other","2016-09-27T00:00:00.000","6900000.00","0.00","35235063.00","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","No Executed Agreement",
"FY 2016","SVRC Industries, Incorporated","Saginaw","Saginaw","New","Other","2016-09-27T00:00:00.000","3475000.00","0.00","17069077.00","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","No Executed Agreement",
