"ubicacion","departamentopais","municipio","direccion","codigo_postal","telefono","email","horario","latitud","longitud"
"PV. RESTREPO","BOGOTA","BOGOTA","CL 15 SUR 18 59","111511","(1 )2725603",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.586595367171688","-74.09960065571653"
"PV. ROSALES","BOGOTA","BOGOTA","AV 7 70 34","110231","(1)2353669",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.653079572110334","-74.05632717067431"
"PV. SALITRE","BOGOTA","BOGOTA","KR 69 24A 15 LC 16","110931","(1) 5707523",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.655613273273451","-74.11027326413691"
"PV. SAN ANDRESITO","BOGOTA","BOGOTA","CL 13 38 25 ESTACION BIOMAX","111611","(1)5611205",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.620196282365555","-74.09869877891535"
"PV. SAN VICTORINO","BOGOTA","BOGOTA","KR 12A 10 12","110321","(1)3415875",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.600637362417236","-74.08067633262328"
"PV. SANTA BARBARA","BOGOTA","BOGOTA","KR 7 115 60CC SANTA BARBARA LC A 101 102","110111","(1)6200190",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.69300182964262","-74.03327663604215"
"PV. SUBA","BOGOTA","BOGOTA","KR 92 146B 58","111156","(1)6814385",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.7405873445415185","-74.08500721200446"
"PV. TOBERÍN","BOGOTA","BOGOTA","KR 21 169 62 LC 1 24","110131","(1)6710122",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.750219913653492","-74.04379021219485"
"PV. UNICENTRO BOGOTA","BOGOTA","BOGOTA","AK 15 123 30CC UNICENTRO PI 2 LC 2 222","110111","(1)7430755",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.70190850453707","-74.04285984116387"
"PV. UNILAGO","BOGOTA","BOGOTA","CL 77 16 34","110221","(1)2575649",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.664216017202267","-74.05920201626473"
"PV. VENECIA","BOGOTA","BOGOTA","AU SUR 52C 43","110611","(1)2704251",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.5945235811465","-74.1370003730649"
"PV. FONTIBON","BOGOTA","BOGOTA","CL 17 96C 31","110921","(1)6940666",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.668341143355564","-74.14250674225383"
"PV. AVENIDA  SEXTA","BOGOTA","BOGOTA","AV 6 42 09","111611","(1)7557139",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.618615306837701","-74.10615181859902"
"PV. CALLE 118","BOGOTA","BOGOTA","CL 118 15 15","110111","(1)5241284",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.697370512573029","-74.04321016095898"
"PV. SALAZAR GOMEZ","BOGOTA","BOGOTA","AV 68 12 76","111611","(1)2907748",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.635788205362048","-74.1192905466719"
"PV. CHAPINERO","BOGOTA","BOGOTA","CL 70 13 70","110231","(1)2559009",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.656496507785592","-74.06209833900854"
"PV. TUNJA","BOYACA","TUNJA","KR 9 19 86 PLAZA BOLIVAR","150001","608 7450639",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.5324983932538","-73.36060250568747"
"PV. ASIS TUNJA","BOYACA","TUNJA","KR 6 64 03","150003","608 7438771  608 7432389",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.568962233526503","-73.34388262597568"
"PV. YOPAL","CASaNARE","YOPAL","CL 10 20 09","850001","608 633 48 09",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.3463193714774855","-72.4006815447148"
"PV. VILLAVICENCIO","META","VILLAVICENCIO","KR 31 40 38 CENTRO","500001","608 6626435",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.153476743101956","-73.63814397848266"
"PV. CHIQUINQUIRA","BOYACA","CHIQUINQUIRA","KR 9 16 13","154640","608 7262227",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.616529534637934","-73.81683124338969"
"PV. DUITAMA","BOYACA","DUITAMA","CL 16 14 52","150461","608 7603485",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.828640922226662","-73.03406566072864"
"PV. PAIPA","BOYACA","PAIPA","KR 22 25 30","150440","608 7850617",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.781468647543533","-73.11742281539165"
"PV. SOGAMOSO","BOYACA","SOGAMOSO","CL 14 10 43 LC 106","152210","608 7750273",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.716831782736591","-72.92651081912418"
"PV. CHIA","CUNDINAMARCA","CHIA","CL 12 10 58","250001","601 8633779",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.86178488063061","-74.0601963067119"
"PV. FACATATIVA","CUNDINAMARCA","FACATATIVA","KR 2 7 57","253051","601 8900752",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.810851853837479","-74.35621975558796"
"PV. FUSAGASUGA","CUNDINAMARCA","FUSAGASUGA","CL 9 7 40 CENTRO","252211","601 8719613",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.341783079730703","-74.3625506997708"
"PV. MOSQUERA","CUNDINAMARCA","MOSQUERA","KR 2 ESTE 4 50","250040","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.706832030189395","-74.2267313975831"
"PV. SOACHA","CUNDINAMARCA","SOACHA","KR 6 13A 18","250051","601 7810679",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.580788335686449","-74.21818789297386"
"PV. UBATE","CUNDINAMARCA","UBATÉ","KR 7 CL 8 12 ESQUINA ED TELECOM","250430","601 8892065",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.308075200234029","-73.81435255413375"
"PV. ZIPAQUIRA","CUNDINAMARCA","ZIPAQUIRÁ","KR 10 2 42","250252","601 8522783",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.020824368720207","-74.00318569008641"
"PV. SIBERIA","CUNDINAMARCA","COTA","AU MEDELLIN KILOMETRO 3 5 VIA SIBERIA/TERMINAL TERRESTRE DE CARGA LC A11 ETAPA 1","250010","601 8415264",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.74834600658569","-74.1450689323634"
"PV MADRID","CUNDINAMARCA","MADRID","CL 7 5 41","250030","601 8252430",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.7321341","-74.2617133"
"PV. GRANADA","META","GRANADA","CL 15 14 63","504001","608 6580007",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.5404088460698366","-73.7059512409031"
"PV.LETICIA","AMAZONAS","LETICIA","KR 6 8 20 AV INTRENACIONAL","910001","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","-4.215695059789151","-69.94060967000912"
"PV. SAN ANDRES","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","SAN ANDRES","AV FRANCISCO NEW BALL 1 PC COMERCIO CENTRO LC 105","880001","608 5125440",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","12.5786103229048","-81.6986358303927"
"PV. PUERTO INIRIDA","GUAINIA","PUERTO INIRIDA","CL 18 9 51","940001","608 5656344",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.865279239076688","-67.92432670300514"
"PV. PUERTO LEGUIZAMO","PUTUMAYO","PUERTO LEGUIZAMO","KR 3 CL 6 ESQUINA PARROQUIA CENTRO","864001","688 5634258",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","-0.184973","-74.78367"
"PV. PUERTO CARREÑO","VICHADA","PUERTO CARREÑO","KR 5 18 69 LC 1","990001","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.18430915242332","-67.4805162125832"
"PV. CENTRO MANIZALES","CALDAS","MANIZALES","CL 23 19 44","170001","(606)8961534",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.069410346482697","-75.51719651394116"
"PV. CENTRO PRINCIPAL MANIZALES","CALDAS","MANIZALES","CL 21 21 49 LC 2","170001","(606)8817571",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.06802904701831","-75.51830714330312"
"PV ALTA SUIZA","CALDAS","ALTA SUIZA","KR 1 NORTE 35 13 VILLAMARIA CALDAS",,"(606)8928132",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","0","0"
"PV. EL CABLE","CALDAS","MANIZALES","KR 23 60 36","170004","(606)8969737",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.060476731597507","-75.48841326492234"
"PV. ARMENIA","QUINDIO","ARMENIA","KR 15 22 38","630004","(606)7364117",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.532266204824407","-75.67554665341972"
"PV. PEREIRA PRINCIPAL","RISARALDA","PEREIRA","KR 9 18B 15","660002","(606)3486855",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.81289969789477","-75.69438500391134"
"PV. AGUADAS","CALDAS","AGUADAS","CL 6 7 22","172020","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.61433822987032","-75.45628658848305"
"PV CHINCHINA","CALDAS","CHINCHINA","CL 9 8 12","176020","(606)8404816",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.982765315089483","-75.60418189944308"
"PV. LA DORADA","CALDAS","LA DORADA","KR 2 14 08 PI 1 LC BANCO BOGOTA","175031","(606)8374618",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.456448088528215","-74.66379070374705"
"PV. RIOSUCIO","CALDAS","RIOSUCIO","KR 6 5 46","178040","(606)8590656",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.41936599166639","-75.70418280103654"
"PV. SALAMINA","CALDAS","SALAMINA","CERRADO","172001","CERRADO",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.402601","-75.487171"
"PV. MONTENEGRO","QUINDIO","MONTENEGRO","CL 19 5 11 LC 2A","633001","606-3657343",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.567453315511417","-75.75189751104796"
"PV. QUIMBAYA","QUINDIO","QUIMBAYA","CL 18 4 52 ED TO QUIMBAYA LC 1","634020","(606)7521381",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.621984329137692","-75.76475270872088"
"PV. CARTAGO","VALLE DEL CAUCA","CARTAGO","KR 4 12 48","762021","(606) 2179407",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.750328122117088","-75.9139229392424"
"PV. LA AMERICA","ANTIOQUIA","MEDELLIN","CL 44 68A 20","50031","(604) 5018642",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.249029284716176","-75.58704447182478"
"PV. BELEN","ANTIOQUIA","MEDELLIN","KR 77 28 30","50025","(604) 3454718",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.229172265590706","-75.59695235163707"
"PV. CAFETERO","ANTIOQUIA","MEDELLIN","CL 49 50 21 EDIF DEL CAFÉ LC 9939","50015","(604) 2515106",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.248620324969184","-75.56862499688077"
"PV. EL POBLADO","ANTIOQUIA","MEDELLIN","CL 10A 41 11","50021","(604) 2666385",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.210570216757055","-75.56858031907116"
"PV. PRINCIPAL MEDELLIN","ANTIOQUIA","MEDELLIN","KR 64C 72 20","50034","(604) 6042074 EXT 4068",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.270226818299127","-75.57386642815788"
"PV. SAN IGNACIO","ANTIOQUIA","MEDELLIN","KR 44 48 79","50016","(604) 3580951",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.246595638751556","-75.56463371760663"
"PV. ANDES","ANTIOQUIA","ANDES","KR 50 50 70 LC 120","56060","(604) 8414388",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.65625892639985","-75.87730504838841"
"PV. BELLO","ANTIOQUIA","BELLO","KR 50 52 26","51053","(604) 4572863",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.336242371920011","-75.55902660801769"
"PV. ENVIGADO","ANTIOQUIA","ENVIGADO","CL 38 SUR 43 60","55422","(604) 2769462",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.170233451271223","-75.58823499981409"
"PV. ITAGUI","ANTIOQUIA","ITAGUI","KR 50 51 27 LC 9908 9909","55412","(604) 2775007",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.172201885315293","-75.60853557028248"
"PV. MARINILLA","ANTIOQUIA","MARINILLA","CERRADO","54020","CERRADO",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.173548","-75.338078"
"PV.RIONEGRO","ANTIOQUIA","RIONEGRO","KR 51 51 57 LC 101","54040","(604)5611103",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.154945531631802","-75.3737560269124"
"PV. SABANETA","ANTIOQUIA","SABANETA","CL 70 SUR 46 46","55450","(604) 2889350",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.152585960578284","-75.61665488389532"
"PV. YARUMAL","ANTIOQUIA","YARUMAL","KR 21 20 52 LC 204","52030","(604) 8871748",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","6.962428572313295","-75.41820388435546"
"PV.APARTADO","ANTIOQUIA","APARTADO","CERRADO",,"CERRADO",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.882717","-76.626186"
"PV. QUIBDO","CHOCO","QUIBDO","KR 4 28 51 BARRIO CRISTO REY","270002","3330333408 ext 100",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","5.6925806479706145","-76.65952091992224"
"PV.ZONA UNO-BQA","ATLANTICO","BARRANQUILLA","CL 40 44 109 LOC 1","80003","(5)3406359",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.984113504316136","-74.78137853074338"
"PV.LA UNION-BQA","ATLANTICO","BARRANQUILLA","CL 30 13C 07","80006","(5)3461042",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.951528300590015","-74.78619068933625"
"PV.ESTADIO","ATLANTICO","BARRANQUILLA","CL 72 50 53 LC 105","80002","(5)3450636",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.997613579199715","-74.80331184926627"
"PV.CAMPIÑA","ATLANTICO","BARRANQUILLA","CL 84 45 31 LC 3","80020","(5)3735411",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","11.001559740873875","-74.8189208712699"
"PV EL PRADO","ATLANTICO","BARRANQUILLA","CL 76 N 49C 31 LOC 1","80020","(5) 3606595",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","11.000426764462167","-74.80813016345616"
"PV.20 DE JULIO BQA","ATLANTICO","BARRANQUILLA","CL 72 41 68 ED YOVAL","80002","(5)3562235",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.989394372730557","-74.80840546083147"
"PV.CARTA-MATUNA","BOLIVAR","CARTAGENA","KR 10B 32C 20 PI 1 LC 15","130001","(5)6608777",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.4243346651942","-75.5453073728756"
"PV. EL BOSQUE","BOLIVAR","CARTAGENA","DG 21 48 58 EL BOSQUE","130001","(5) 6592009",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.396144177675827","-75.52178878529477"
"Pv.MONTERIA","CORDOBA","MONTERIA","KR 6 30 3 LC 105 CENTRO","230002","(4)7894721",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","8.755666769205273","-75.88389452819102"
"PV.RIOHACHA","GUAJIRA","RIOHACHA","CL 2 6 46","440001","(5) 7292570",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","11.552072389586854","-72.90877824292"
"Pv.SANTA MARTA","MAGDALENA","SANTA MARTA","CL 22 2 37 LC 7","470004","(5)4306762",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","11.241164140660027","-74.21433174646097"
"PV.RODADERO","MAGDALENA","SANTA MARTA","KR 7A 29 06 TAMINACA 1","470004","0",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","11.231815309871193","-74.20650194494823"
"PV.SINCELEJO","SUCRE","SINCELEJO","CL 38 N 7 214 TRONCAL DE OCCIDENTE  BODEGA 9 DE AGROSABANA","700002","(5)2825342",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","9.282259","-75.39916"
"PV.MAICAO","GUAJIRA","MAICAO","KR 10 15 59 LC 5","442001","(5)7251609",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","11.3774","-72.243036"
"PV.ARACATACA","MAGDALENA","ARACATACA","CL 9 5 30 CA DEL TELEGRAFISTA","472001","3016987814",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","10.594639215411805","-74.19181786419773"
"PV. CHIPICHAPE","VALLE DEL CAUCA","CALI","AV 6 35 47CC CHIPICHAPE BD 4 LC 426","760046","(602) 3797164",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.4729357470325457","-76.5261491553498"
"PV. CAÑASGORDAS","VALLE DEL CAUCA","CALI","CL 18 105 153 LC 14CC RIVERA PLAZA","760031","(602) 3797213",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.362824737258462","-76.53171626546948"
"PV. LA FLORA","VALLE DEL CAUCA","CALI","AV 3N 52 N 33 B/ LA FLORA","760050","(602) 4850477 EXT 2113",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.4842075386740468","-76.51359676350428"
"PV. SAN  FERNANDO","VALLE DEL CAUCA","CALI","CL 5 30 21","760042","(602) 5565609",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.4332622154016437","-76.54212175365629"
"PV. UNICENTRO","VALLE DEL CAUCA","CALI","KR 100 5 169CC UNICENTRO LC 602 PASILLO PASOANCHO","760032","(602) 3450724",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.3740549246890725","-76.54177373322477"
"PV.PASEO DE LA QUINTA","VALLE DEL CAUCA","CALI","CL 5 46 83 LC 102 CENTRO COMERCIAL PASEO DE LA 5","760043","(602)5131686",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.418106928532888","-76.5484285410369"
"PV. CRA 8","VALLE DEL CAUCA","CALI","KR 8 34 46 CENTRO COMERCIAL LA 34 PH LC 4","760010","(602) 3480778",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.4540928602948355","-76.51108786273693"
"PV. COLON PLAZA","VALLE DEL CAUCA","CALI","KR 1A 61A 30 LC 7CC COLON PLAZA","760002","(602) 3480272",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.4794092548477193","-76.4976183873268"
"PV. VERSALLES","VALLE DEL CAUCA","CALI","AV 4 NORTE 21 N 39 LC 1 ED ARROYOHONDO","760046","(602) 3480322",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.461646665951235","-76.52787239634871"
"PV. CALI PRINCIPAL.","VALLE DEL CAUCA","CALI","KR 3 10 49","760044","(602) 8813327   8801442",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.4529483177325377","-76.5327625916791"
"PV. POPAYÁN","CAUCA","POPAYAN","CL 4 5 74","190003","(602)8244564",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","2.4420180491907018","-76.60525989065621"
"PV. PASTO","NARIÑO","PASTO","CL 16 25 08","520002","(602)7233550",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","1.2141546486008563","-77.28049918013292"
"PV. IPIALES","NARIÑO","IPIALES","KR 11 15 77","524061","(602)7753175 - 7732444",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","0.8242465803037093","-77.64254502153831"
"PV. TUMACO","NARIÑO","TUMACO","CL OBANDO 1C 48 CENTRO",,"(602)7272519",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","1.7503","-78.789401"
"PV.TUQUERRES","NARIÑO","TUQUERRES","KR 15 16 ESQUINA","525520","(602)7280844",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","1.0880327627373783","-77.61775084153763"
"PV. BUENAVENTURA","VALLE DEL CAUCA","BUENAVENTURA","KR 5A 1 13","764501","(602)2403660",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.8867744178941512","-77.0767252889339"
"PV. BUGA","VALLE DEL CAUCA","BUGA","CL 5 14 50","763042","(602)2276528",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.898787448441772","-76.30252587638404"
"PV. FLORIDA","VALLE DEL CAUCA","FLORIDA","CL 10 21 65","763560","(602)2643203",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.3267105898634326","-76.23646615514268"
"PV. JAMUNDI","VALLE DEL CAUCA","JAMUNDI","KR 10 7 75","764001","(602)2681407",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.259914177142515","-76.5423897831549"
"PV. PALMIRA","VALLE DEL CAUCA","PALMIRA","CL 31 28 45","763533","(602)2728196",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.5278641040061354","-76.29915323566462"
"PV. TULUÁ","VALLE DEL CAUCA","TULUA","KR 26 26 21","763022","(602)2242244",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","4.085051307484978","-76.19705786924337"
"PV. YUMBO","VALLE DEL CAUCA","YUMBO","CL 5 5 72","760501","(602)6955619",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","3.582089347943706","-76.49491485357863"
"PV.MOCOA","PUTUMAYO","MOCOA","CL 7 4 27 DG TELECOM","860001","(608) 4295578",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","1.1457905065072522","-76.64731100997801"
"PV. CABECERA","SANTANDER","BUCARAMANGA","KR 33 48 30 LOC 102","680003","(7)6470601",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.116261774033514","-73.11114919654183"
"PV. PROVENZA","SANTANDER","BUCARAMANGA","KR 26A 104 07","680004","(7)6970847  EXT.7120",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.087416681612379","-73.11006245146135"
"PV. SAN FRANCISCO","SANTANDER","BUCARAMANGA","KR 22 21 78 LC 6","680011","(7) 6912505",,"** Horarios de atención sujetos a cambios Y novedades por orden publico y emergencia sanitaria COVID-19","7.127381260479788","-73.12346835384402"
