"no","nombre_o_razon_social","direccion","sector_economico","vigencia_registro_actividad","codigo_de_la_actividad","descripcion_actividad"
"102","AMAYA DUQUE JORGE ARMANDO","CR 5 5 27","SECTOR INDUSTRIAL","2019","1512","Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados en cuero, y fabricación de artículos de talabartería y guarnicionería"
"103","PARDO SIERRA PABLO ENRIQUE","CR 5 C 20 38","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"104","LOPEZ PEÑA JUAN","PLAZOLETA EMILIO SIERRA","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"105","MUÑOZ DE GOMEZ MARIA DOLORES","CL 22 37 03","SECTOR SERVICIOS","2020","5511","Alojamiento en hoteles."
"106","MUÑOZ MUÑOZ MARIA MARGARITA","200 METROS ANTES DEL PEAJE CHINAUTA","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"107","LA INDEPENDENCIA","CR 3 A 8 N 21","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"108","TRANSPORTE","CHINAUTA FINC AVILLA  ANITA","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"109","ANGEL LUGO DORA ISABEL","CALLE 5 No. 11 01","SECTOR INDUSTRIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"110","PALACIOS CIFUENTES FLOR ESNEDA","CARRERA 4 No. 21 85","SECTOR COMERCIAL","2020","4520","Mantenimiento y reparación de vehículos automotores."
"111","FRUTONIKA","CR 9 9 68","SECTOR SERVICIOS","2017","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"112","MARTINEZ AYA DOLORES","CR 7 9 26","SECTOR COMERCIAL","2016","4669","Comercio al por mayor de otros productos n.c.p."
"113","PAPELERIA-MISCELANEA Y SUMINISTROS STARS","CL 16 B 11 A 15","SECTOR COMERCIAL","2017","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"114","RIVERA DE PABON HERMELINDA","CR 11 7 23","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"115","TARQUINO PERILLA AURA MERCEDES","CR 5 6 11","SECTOR SERVICIOS","2020","5613","Expendio de comidas preparadas en cafeterías."
"116","TIENDA","CALLE 10 # 10 01","SECTOR COMERCIAL","2012","201","COMERCIAL"
"117","EL PALACIO DE LAS TORTAS N. 2 FUSAGASUGA","CL 7 9 70","SECTOR INDUSTRIAL","2020","1081","Elaboración de productos de panadería."
"118","SERVIPRESTAMOS MISCELANEA","CR 6 8 49 LC 105","SECTOR SERVICIOS","2016","7729","Alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p."
"119","TALLER DE COSTURA MAMPIE","CR 6 2 49 LC 2","SECTOR INDUSTRIAL","2015","1410","Confección de prendas de vestir, excepto prendas de piel."
"120","VASQUEZ GUTIERREZ JUAN FERNANDO PIO","CR 7 5 32 CC SANTA CRUZ LC 108","SECTOR SERVICIOS","2015","8610","Actividades de hospitales y clínicas, con internación."
"121","CAFÉ DE MI TIERRA FUSAGASUGA","CL 9 7 75","SECTOR COMERCIAL","2015","1081","Elaboración de productos de panadería."
"122","BRISAS DEL CARIBE","CL 16B 12 30","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"123","SEDE SOCIAL SAN NICOLAS","KM2 VIA FUSAGASUGA- BOGOTA","SECTOR SERVICIOS","2015","5513","Alojamiento en centros vacacionales."
"124","FUSAVET AGRO II","AV LAS PALMAS 11 03","SECTOR COMERCIAL","2016","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"125","RESTAURANTE Y PIQUETEADERO DONDE EDWIN","CR 12 3 19","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"126","AMOBLADORA POTOSI CASTRO","CR 9 9 55","SECTOR COMERCIAL","2016","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
"127","AMOBLADORA POTOSI","CR 109 12","SECTOR COMERCIAL","2017","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
"128","MAYORGA DE PACHON LUZ MARINA","CL 5 22 36","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"129","AREPAZO DE LA SEXTA","CR 6 8 87","SECTOR SERVICIOS","2019","5613","Expendio de comidas preparadas en cafeterías."
"130","VARIEDADES NANO","CALLE 8 NO. 9 50 LOCAL 36","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"131","RESTAURANTE PIQUETEADERO DOÑA LEO","PLAZA DE MERCADO L. 01","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"132","SABOR A LIMON","CARRERA 7 N0. 8 45/49","SECTOR SERVICIOS","2015","5613","Expendio de comidas preparadas en cafeterías."
"133","SANTOS PARDO MARIA GEORGINA","CR 2 5 13","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"134","SILVIA BAQUERO ANA","CALLE 22 No. 73 48","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"135","TIENDA LA CHUCUA","CALLE 2 No. 1 66E","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"136","JIMENEZ DE GUZMAN EUDORA","CR 5 B  21 44 B. FUSACATAN","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"137","RICURAS RUKIS","MODULO DE FRUTAS LOCAL 01 P. MDO","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"138","COLEGIO MI PEQUEÑO MUNDO / GIMNASIO AMERICANO","CR 4 6 28 /CR 5 6-40","SECTOR SERVICIOS","2017","8512","Educación preescolar."
"139","CADENA DE VILLALBA ELSA MARIA","CL 17 5 04","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"140","TPTE 2 AEROVANS COOTRANSFUSA CPA. 17 PASJ.","CR. 1  1 A 05","SECTOR SERVICIOS","2017","4923","Transporte de carga por carretera."
"141","CARRILLO DAZA OSWALDO ALFONSO","CALLE 12 No. 5 18","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"142","MALOCA  AMIGOS  DEL YAGE","CHINAUTA FINCA  EL PLACER","SECTOR SERVICIOS","2013","93","OTRAS ACTIVIDADES DE SERVICIOS"
"143","MARTINEZ NIAMPIRA DANILO HUMBERTO","CL 17 9 14","SECTOR SERVICIOS","2017","7911","Actividades de las agencias de viaje."
"144","DUARTE DUARTE RIGOBERTO","CARRERA 12 No. 7-03","SECTOR SERVICIOS","2020","3830","Recuperación de materiales."
"145","PROPLAST PRODUCTOS PLASTICOS","KM 67 VIA MELGAR","SECTOR COMERCIAL","2017","2229","Fabricación de artículos de plástico n.c.p."
"146","LOPEZ HERRERA LUIS FELIPE","CARRERA 6 No. 8 72","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"147","BOLIVAR GARZON CARLOS LISANDRO","CARRERA 6 NO. 7 36 LOCAL 105","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"148","SERVICIO ELECTRICO AUTOMOTRIZ Y MECANICAR","CL 21 5 B 50","SECTOR COMERCIAL","2020","4520","Mantenimiento y reparación de vehículos automotores."
"149","VARGAS JORGE ENRIQUE","LA AGUADITA","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"150","SERGIO ALOMIA NAVARRETE","CARRERA 2 No. 10A-35","SECTOR SERVICIOS","2020","7110","Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica"
"151","HERNANDEZ PEREZ JOSE JAVIER","CR 6 5 50","SECTOR INDUSTRIAL","2017","1811","Actividades de impresión."
"152","SERVICIO PUBLICO CHINAUTA - FUSA (NO MAT. EN CAM DE CIO)","CR 1 E 9 B 62","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"153","ALMACEN SAN SEBASTIAN","CALLE 8 No. 9-17","SECTOR COMERCIAL","2017","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"154","BERS Y YO","CENTRO COMERCIAL DIAMANTE REAL","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"155","GARCIA HERNANDEZ DEISY YURANY","CR 6 12 17","SECTOR SERVICIOS","2020","9609","Otras actividades de servicios personales n.c.p."
"156","TIENDA EL CEREZO (NO MAT. EN CAM. CIO)","CL 20 1 A BIS 21 ESTE LAS AMERICAS","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"157","ALDANA PARRA GILMA","CL 8 9 50 LC 9","SECTOR COMERCIAL","2020","1410","Confección de prendas de vestir, excepto prendas de piel."
"158","TIENDA LA MEJOR ESQUINA DE LA DECIMA","CARRERA 5 No  9-65","SECTOR COMERCIAL","2012","201","COMERCIAL"
"159","COLEGIO VIDA SANA REDENSION","VD LA PALMA FCA CHICALA","SECTOR SERVICIOS","2020","8512","Educación preescolar."
"160","MUEBLES Y COLCHONES TAPIEXPORTS FUSA/ MUEBLES Y COLCHONES TAPIEXPORTS FUSA 2","CR 8 6 05 / CL 7 5 42","SECTOR COMERCIAL","2020","3120","Fabricación de colchones y somieres."
"161","AZUKAA","CL 9 7 61","SECTOR COMERCIAL","2015","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"162","BERBEO RODRIGUEZ ANGELITA","KM  74 VIA FUSAGASUGA SILVANIA","SECTOR COMERCIAL","2017","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"163","RINCON PAEZ ANDREA DEL PILAR","TV 12 18A -17","SECTOR SERVICIOS","2019","6190","Otras actividades de telecomunicaciones."
"164","ZAMBRANO TORRES ANA MARIA","CL 10 A 8 14","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"165","INSTITUTO JOHANN KEPLER","CL 7 A 3 22","SECTOR ECONÓMICO NO DECLARADO","2016","8521","Educación básica secundaria."
"166","SOLUCIONES EN RED SAS","CL20C 75 A 20","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"167","CALZA SPORT CH","CL 8  9 71","SECTOR COMERCIAL","2020","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"168","LOS RECUERDOS DE ELLA","CR 10 4  74","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
