"nombreestablecimiento","direccion","nit","telefono","telefax","municipio","departamento","fechaconcepto","conceptocapacidadproduccion"
"ANNYOL DE LA AMAZONIA SAS","DG 2A N°22-30 BARRIO BELLA VISTA","900813918-1","3213517074","NO REGISTRA","FLORENCIA","CAQUETA","2014-10-30T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES AMBIENTADORES BLANQUEADORES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"ARIAS GRANADILLO DARIO ANDRES","CL 29A NO 5-53","85464406-7","4230324","NO REGISTRA","SANTA MARTA","MAGDALENA","2008-10-28T00:00:00.000","ASEO HIGIENE Y LIMPIEZA PARA USO DOMESTICO EN FORMA LIQUIDA DESINFECTANTES"
"ARIOS COLOMBIA SAS","CL 8 NO 42-76","900183528-6","3739920","3108368472","CALI","VALLE DEL CAUCA","2018-05-08T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS DETERGENTES LAVAVAJILLAS SUAVISANTES AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DESICION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"ARJONA LTDA","CL 63 BIS NO 71 A -31","8600469041","2510753 FAX","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2004-10-04T00:00:00.000","REUNE LAS CONDICIONES HIGIENICO TECNICO LOCATIVAS Y DE CONTROL DE CALIDAD PARA FABRICAR Y ENVASAR PRODUCTOS ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA SOLIDA JABONES EN BARRA"
"ARLA SAS","CL 163 NO17-85","800073068-5","6710873   6713469","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2010-08-18T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA JABONES Y DETERGENTES NO COSMETICOS LAVAVAJILLAS PILIDORES DE COCINA SUAVIZANTES PRODUCTOS PARA PRELAVADO Y PRE-PLANCHADODE ROPA AMBIENTADORESBLANQUEADORES Y QUITA MANCHAS LIMPIADORES SUPERFICIES DESINFECTANTES DE USO DOMESTICO SEGUN LA NORMATIVIDAD"
"AROMARKET ESTABLECIMIENTO DE COMERCIO PROPIEDAD DE FABIAN MAURICIO COGUA CABRERA","CR 91 # 161 - 20 INTERIOR 1","80420088-0","3112800735","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2022-06-07T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE SOLIDA (PASTILLAS EFERVESCENTES): PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"ARTICO ASEO Y SUMINISTROS SAS","DG 52 # 12-341 BODEGA 201","901030129-8","2748238","3007698416","BELLO","ANTIOQUIA","2015-09-22T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASADO Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES AMBIENTADORES BLANQUEADORES Y LIMPIADORES DE SUPERFICIE"
"ASEAR DISTRIBUCIONES","KM 15 VI AL MAGDALENA ZONA INDUSTRIAL MALTERIA","44188360","8742030","8742128","MANIZALES","CALDAS","2010-06-29T00:00:00.000","FABRICACION Y ENVASE DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO BLANQUEADORES LIMPIADORES AMBIENTADORES CERAS Y CREMAS LAVAPLATOS CERA PARA PISOS"
"ASEO LIMPIEZA Y CALIDAD SAS","CL 95 NO. 92 76","901469651-7","3107508487","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2021-07-12T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES."
"ASEOBRIYA SAS","CALLE 181 NO. 8D - 09","900733330 - 6","7923298   6776542   3102420322","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2020-10-27T00:00:00.000","CUMPLE CON LAS CONDICIONES TÉCNICAS, LOCATIVAS, HIGIÉNICAS, SANITARIAS, DE DOTACIÓN Y RECURSOS HUMANOS PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"ASEPSIS PRODUCTS DE COLOMBIA LTDA PROASEPSIS LTDA","CL 63 NO 74 B - 42 BODEGA 7-8-9 PARQUE EMP DE NORMANDIA","860534045-3","4166607","4166595","BOGOTA DC","CUNDINAMARCA","2018-05-03T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS DE DOTACIÓN Y RECURSOS HUMANOS PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS LIMPIADORES DE SUPERFICIE PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 Y 721 DE 2009 DE LA COMUNIDAD ANDINA ”"
"ASESORIAS E INGENIERIA SERVICIOS Y SUMINISTROS S.A.S","KM 2 VIA PALERMO - PARQUE INDUSTRIAL PALERMO BODEGA G6","900341495-1","8716591","NO REGISTRA","PALERMO","HUILA","2017-08-09T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"ASOCIACION NACIONAL DE LIMITADOS DISCAPACITADOS DESPLAZADOS Y GRUPOS VULNERABLES EMPRENDIENDO CAMINO ONG","KR 9A NO 13A-03 BARRIO CENTRO","809010879-3","3214072667-3112330005","NO REGISTRA","FLANDES","TOLIMA","2011-03-09T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA AMBIENTADORES LIMPIADORES DE SUPERFICIE PRODUCTOS DE HIGIENEN DOMESTICA CON PROPIEDAD DESINFECTANTE BLANQUEADORES Y QUITAMANCHAS PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA"
"ASOCIACION DE MUJERES ARVI","CORREGIMIENTO DE SANTA ELENA KILOMETRO 7 VEREDA MEDIALUNA","811045626-6","2693902","5669476","MEDELLIN","ANTIOQUIA","2010-09-02T00:00:00.000","CUMPLE CON LAS CONDICIONES HIGIENICASTECNICASLOCATIVAS Y DE CONTROL DE CALIDAD PARA LA ELABORACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES DETERGENTES Y PRODUCTOS LAVAVAJILLAS BLANQUEADORES Y QUITA MANCHAS AMBIENTADORES Y LIMPIADORES DE SUPERFICIES"
"AZUL K S A S","AUT SUR NO. 60-51","860000135-6","7119005","7119086","BOGOTA DC","CUNDINAMARCA","2020-11-18T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS, TECNICAS Y LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA SOLIDA: JABONES EN BARRA Y DETERGENTES EN POLVO; EN FORMA LIQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, BLANQUEADORES Y QUITAMANCHAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE Y EN FORMA SEMISOLIDA: CREMA LAVAVAJILLA. AMPLIA SU CAPACIDAD INSTALADA EN UNA LINEA PARA LA DISPENSACION,FABRICACION, ENVASADO Y ACONDICIONAMIENTO SECUNDARIO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA (JABONES Y DETERGENTES,PRODUCTOS LAVAVAJILLAS , BLANQUEADORES Y QUITAMANCHAS ,SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA ,AMBIENTADORES ,PRODUCTOS DE HIGIENE DOMESTICA CON PROPIDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE) DENOMINADA LIQUIDOS III."
"BALQUIMIA S A S","CL 35 # 4 - 31 BARRIO PORVENIR","900755214-4","4881616","4881616 EXT 141","CALI","VALLE DEL CAUCA","2017-10-05T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TÉCNICAS LOCATIVAS HIGIÉNICAS SANITARIAS DE DOTACIÓN Y RECURSOS HUMANOS PARA LA FABRICACIÓN ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
