"item","establecimiento","municipio","direccion","telefono","correo_electronico","actividad_de_establecimiento","con_servicio_de_inyectologia","manejo_medicamentos_de_control","concepto","fecha_de_concepto_visita","ultima_visita_de_seguimirnto","no_resolucion_inscripcion","fecha_resolucion_de","no_resolucion_renovacion","fecha_renovacion_de","vigente"
"12","Drogueria Cofarma","Yopal","Carrera 21 No 10-68","3143603131","cofarma@outlook.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-06T00:00:00.000","43612","687","28/10/2004","1154","2020-11-12T00:00:00.000","SI"
"13","Drogueria Alemana 47","Yopal","Carrera 20 No 10 - 102","6333042","amorenogelvez@unidrogas.net.co","Droguería","Si","No","Favorable","2018-03-15T00:00:00.000","44166","1453","2014-10-17T00:00:00.000","963","2021-08-18T00:00:00.000","SI"
"14","Drogueria Alemana 48","Yopal","Carrera 20 No 8 - 71","3102543193","amorenogelvez@unidrogas.net.co","Droguería","No","No","Favorable","2018-01-24T00:00:00.000","44166","670","2014-05-28T00:00:00.000","936","2021-08-12T00:00:00.000","SI"
"15","Drogueria Alemana 53","Yopal","Calle 40 No 9b - 24","6347539","jesusalberto-28@hotmail.com","Droguería","No","No","Favorable","2018-01-26T00:00:00.000","44244","901","1996-04-25T00:00:00.000","966","2021-08-18T00:00:00.000","SI"
"16","Drogueria Mariana Salome","Yopal","Carrera 21 No 12 - 72","3103499639","drogueriafahrenheit2003@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","N/A","43612","1786","2018-12-26T00:00:00.000","1232","2020-11-30T00:00:00.000","SI"
"17","Drogueria  Drogas La Economia Yopal","Yopal","Calle 10 No 10-52 ESQUINA","6357362","gene.ke@hotmail.com","Droguería","No","No","Favorable","2018-02-07T00:00:00.000","44259","836","2006-09-14T00:00:00.000","1084","2021-09-08T00:00:00.000","SI"
"18","Drogueria La Economia Yopal 2","Yopal","Calle 8 No 20 - 14","3175181913","gene.ke@hotmail.com","Droguería","No","No","Favorable","2018-05-15T00:00:00.000","N/A","1762","09/12/2015","260","2021-03-16T00:00:00.000","SI"
"19","Drogueria La Economia Yopal 3","Yopal","Calle 10 No 19-14","6359629","ecoyopal3@gmail.com","Droguería","No","No","Favorable","2018-02-08T00:00:00.000","44301","504","2016-04-25T00:00:00.000","729","2021-07-01T00:00:00.000","SI"
"20","Drogueria Servidrogas La Gran Economia","Yopal","Calle 10 No 17- 23","6348322","servidrogaslagraneconomia@gmail.com","Droguería","No","No","Favorable","2018-02-13T00:00:00.000","44347","788","2012-08-24T00:00:00.000","945","2021-08-13T00:00:00.000","SI"
"21","Drogueria La Rebaja Plus Minimarket Drogueria N-3 Yopal","Yopal","Calle 9 No 18a - 44","3108600968","N/A","Droguería","No","No","Favorable","2018-02-07T00:00:00.000","N/A","581","2007-09-13T00:00:00.000","291","2020-03-09T00:00:00.000","SI"
"22","Drogueria La Rebaja Plus Minimarket Drogueria N-4 Yopal","Yopal","Calle 10 No 19-02","6354311","adrianaestupiñas@copservir.com","Droguería","No","No","Favorable","2018-01-25T00:00:00.000","N/A","1884","1994-06-10T00:00:00.000","986","2020-11-04T00:00:00.000","SI"
"23","Drogueria La Rebaja Plus Minimarket Drogueria N-5 Yopal","Yopal","Carrera24 No  8 - 91","6356602","rebaja_3_yopalcoopservir.com","Droguería","No","Si","Favorable","2018-03-14T00:00:00.000","44306","853","2006-09-14T00:00:00.000","1008","2021-08-27T00:00:00.000","SI"
"24","Drogueria La Rebaja Plus Minimarket Drogueria N-6 Yopal","Yopal","Carrera 19 No 8 - 04 Local 2","3623636","rebaja_plus_6yopal@copservir.com","Droguería","No","No","Favorable","2018-01-30T00:00:00.000","44298","1608","2016-12-21T00:00:00.000","673","2021-06-18T00:00:00.000","SI"
"25","Drogueria La Rebaja Minimarket Drogueria N-7","Yopal","Calle 10 No 24 - 04","6359801","rebaja_plus_7_yopal@copservir.com","Droguería","No","No","Favorable","N/A","44310","1070","2015-08-14T00:00:00.000","1010","2021-08-27T00:00:00.000","SI"
"26","Drogueria La Rebaja Plus Minimarket Drogueria N-9","Yopal","Carrera19 No 14-05","3108599941","milton_bh_@hotmail.com","Droguería","No","No","Favorable","2018-03-14T00:00:00.000","44172","1604","2016-12-21T00:00:00.000","137","2021-02-24T00:00:00.000","SI"
"27","Drogueria La Rebaja Plus Minimarket Drogueria N-2 Yopal","Yopal","Carrera20 No 8 - 20","3207887963","rebaja_plus_2_yopal@copservir.com","Droguería","No","No","Favorable","N/A","44167","868","1986-07-30T00:00:00.000","151","2021-02-24T00:00:00.000","SI"
"28","Drogueria Nexus Vital Sas Sf Yopal","Yopal","Carrera22 No13 - 41","3103007473","sf.yopal@nexusvital.com","Droguería","No","Si","Favorable","2018-02-07T00:00:00.000","44300","1541","2016-12-02T00:00:00.000","1104","2021-09-14T00:00:00.000","SI"
"29","Drogueria Surtidrogas Yopal","Yopal","Calle 13 No 22 - 96","3123265592","lidaja28@hotmail.com","Droguería","No","No","No Favorable","2018-01-30T00:00:00.000","43607","1407","2011-12-20T00:00:00.000","N/A","2020-12-04T00:00:00.000","SI"
"30","Drogueria Super Drogueria La 25","Yopal","Carrera 22 No 11 - 69","6359195","superdrogueriala25@outlook.com","Droguería","No","Si","Favorable","2018-02-12T00:00:00.000","43580","1134","2001-05-10T00:00:00.000","1436","2020-12-28T00:00:00.000","SI"
"31","Deogueria Beauty Center Health & Care Droguerias","Yopal","Calle 8 No 18 - 63","3132070415","N/A","Droguería","No","No","Favorable","2018-08-13T00:00:00.000","N/A","894","2015-07-14T00:00:00.000","675","2018-05-28T00:00:00.000","SI"
"32","Drogueria Farma La 25","Yopal","Carrera 25 No 10 - 72","3124076632","drogueriafarmala25@gmail.com","Droguería Con Servicio 24 H","No","Si","Favorable","2018-03-06T00:00:00.000","43565","1065","2016-09-05T00:00:00.000","1438","2020-12-28T00:00:00.000","SI"
"33","Drogueria Vital De Colombia","Yopal","Calle 10 No 22 - 19","3214337195","drovitalyopal@hotmail.com","Droguería","No","No","Favorable","N/A","44169","0640 0","2011-07-06T00:00:00.000","671","2021-06-18T00:00:00.000","SI"
"34","Drogueria Surtidrogas Fernando Ivan N° 35","Yopal","Carrera 25 No 12 - 82","6333911 - 3115044194","surti35@medisfarma.com.co","Droguería","No","No","Favorable","N/A","44347","746","2017-06-08T00:00:00.000","1018","2021-08-27T00:00:00.000","SI"
"35","Drogueria Elisalud","Yopal","Calle 15 No 21 - 129","3118672164","elifarma1529@gmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-09T00:00:00.000","44174","1933","2017-12-14T00:00:00.000","565","2021-05-25T00:00:00.000","SI"
"36","Drogueria Chelsea","Yopal","Carrera 19 No 2 5- 65","6348789","espedyopal@gmail.com","Droguería","No","No","Favorable","2018-01-30T00:00:00.000","44177","961","2007-12-14T00:00:00.000","147","2021-02-24T00:00:00.000","SI"
"37","Drogueria  Fahrenheit","Yopal","Carrera 25 No 15 - 38","6358945","mercedescardenas55@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","N/A","44235","1316","2003-03-01T00:00:00.000","949","2021-08-13T00:00:00.000","SI"
"38","Drogueria Alemana 49","Yopal","Carrera 29 No 14 - 06","6347522","alemana49@unidrogas.net.co","Droguería","No","Si","Favorable","2018-03-13T00:00:00.000","44244","54","2003-01-29T00:00:00.000","965","2021-08-18T00:00:00.000","SI"
"39","Drogueria  Dalafarma","Yopal","Carrera 29 - 34 - 57","6331833
3112925027","stevenleon1976@hotmail.com","Droguería","No","No","Favorable","2018-07-09T00:00:00.000","N/A","410","2014-02-19T00:00:00.000","286","2021-03-25T00:00:00.000","SI"
"40","Drogueria Cruz Verde Jumbo Yopal","Yopal","Carrera 29 No 14 - 47 Unicentro","031 4924860/3192283409","cvco,312@cruzverde,com,co","Droguería","No","Si","Favorable","2018-02-13T00:00:00.000","43791","1330","2014-10-02T00:00:00.000","232","2021-03-11T00:00:00.000","SI"
"41","Drogueria  Colsubsidio  Unicentro","Yopal","Carrera 29 No 14 - 47  local 234 - 235","3115958439","drogueria.yopal@colsubsidio.com","Droguería","No","No","Favorable","2018-03-13T00:00:00.000","44347","543","2014-04-28T00:00:00.000","1448","2021-12-14T00:00:00.000","SI"
"42","Drogueria  City","Yopal","Calle 20 No 25 - 75","6331734","joseroberto_mesa@yahoo.es","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-07-12T00:00:00.000","44426","1689","2002-11-08T00:00:00.000","1009","2021-08-27T00:00:00.000","SI"
"43","Drogueria  Formedica","Yopal","Carrera 24 No 19 - 75","3142967335","melbayfp@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-13T00:00:00.000","44167","955","2012-10-24T00:00:00.000","139","2021-02-24T00:00:00.000","SI"
"44","Drogueria Sao 393 ( Olimpica)","Yopal","Carrera 24 No 23 - 15","3494364","acamacho@olimpica.com.co","Droguería","No","No","Favorable","N/A","44167","1765","2015-12-09T00:00:00.000","658","2021-06-18T00:00:00.000","SI"
"45","Drogueria  Drofarmax","Yopal","Calle 24 No 25 - 75","3144452502","elquijote2180@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-03-16T00:00:00.000","44167","1607","2016-12-21T00:00:00.000","676","2021-06-18T00:00:00.000","SI"
"46","Drogueria Salud De Lllano","Yopal","Calle 24 No 29 - 74","6335676","josepivijay1985@gmail.com","Droguería","No","No","Favorable","N/A","N/A","1370","2016-11-09T00:00:00.000","736","2018-06-12T00:00:00.000","SI"
"47","Drogueria San Marcos","Yopal","Calle 24 No 29 - 03","6321158
3102137381","drogueriasanmarcos@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","N/A","44279","449","2002-05-09T00:00:00.000","502","2021-05-12T00:00:00.000","SI"
"48","Drogueria Carare","Yopal","Carrera 27 No 23A - 18","6342482","drogueriacarare@gmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-03-05T00:00:00.000","44273","855","2000-04-03T00:00:00.000","512","2021-05-12T00:00:00.000","SI"
"49","Drogueria Alemana 105","Yopal","Carrera 29 No 20 -76","3125148647","dagosi103@yahoo.es","Droguería","No","No","Favorable","2018-01-30T00:00:00.000","44280","1178","2016-09-21T00:00:00.000","962","2021-08-18T00:00:00.000","SI"
"50","Drogueria  Rebaja Plus #1Yopál Almacen De Cadena Y Drogueria","Yopal","Carrera 29 No 29 -19","3148870604","rebaja_plus_1_yopal@copservir.com","Droguería","No","No","Favorable","2018-04-19T00:00:00.000","N/A","113","2013-01-28T00:00:00.000","258","2021-03-16T00:00:00.000","SI"
"51","Drogueria  Farma Red Plus # 4","Yopal","Carrera 29 No 29 - 75","6333463","superpharma1@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","N/A","N/A","693","2015-06-11T00:00:00.000","694","2019-06-19T00:00:00.000","SI"
"52","Drogueria  Medic Personal","Yopal","Calle 30 No 31 - 04","3142392201","rafapocho@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-03-09T00:00:00.000","44161","131","2004-03-01T00:00:00.000","148","2021-02-24T00:00:00.000","SI"
"53","Drogueria  Pharma Yopal 1","Yopal","Carrera 21 No 21B - 03","3204753848","drogueriapharmayopal1@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-03-15T00:00:00.000","44166","1336","2018-10-02T00:00:00.000","569","2021-05-26T00:00:00.000","SI"
"54","Drogueria  Dermar","Yopal","Carrera 31A No 28 - 04","6343138","efreddyarmando@yahoo.com","Droguería","No","No","Favorable","2018-07-04T00:00:00.000","44301","835","2006-09-01T00:00:00.000","956","2021-08-13T00:00:00.000","SI"
"55","Drogueria Llano Descuentos","Yopal","Carrera 28 No 12 A -39","6353821","janine.gutierrez@copidrogas.org","Droguería","No","No","Favorable","2018-02-12T00:00:00.000","N/A","542","2006-07-01T00:00:00.000","1780","2018-12-26T00:00:00.000","SI"
"56","Drogueria Coopsalud","Yopal","Carrera 19 No 15 - 32","6357499","drogueriacoopsalud@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-01-30T00:00:00.000","43677","750","N/A","152","2021-02-24T00:00:00.000","SI"
"57","Drogueria  Internacional De Drogas   La  Llanerita","Yopal","Carrera 19 No 17-76","098- 6349634","silvestredv40@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","N/A","N/A","321","2004-04-28T00:00:00.000","726","2018-06-12T00:00:00.000","SI"
"58","Drogueria Servidrogas El Gavan","Yopal","Carrera 20 No 16 -77","6343174","carlos-emsa@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-06-14T00:00:00.000","44169","953","1998-07-22T00:00:00.000","1014","2021-08-27T00:00:00.000","SI"
"59","Drogueria Alemana 97","Yopal","Calle 24 No 20 - 03","6348525","dagosi108@yahoo.es","Droguería","No","Si","Favorable","2018-03-05T00:00:00.000","44173","838","2006-09-14T00:00:00.000","968","2021-08-18T00:00:00.000","SI"
"60","Drogueria J W C","Yopal","Calle 24 No 18 - 02","6322907","cecilia523@hotmail.com","Droguería","No","No","Favorable","2018-03-05T00:00:00.000","44173","732","2002-07-02T00:00:00.000","727","2021-07-01T00:00:00.000","SI"
"61","Drogueria Cafam Éxito","Yopal","Calle 30 B No 26 - 29 CC ALCARAVAN","31645227055","dryopalcll30@cafam.com.co","Droguería","No","No","Favorable","2018-02-09T00:00:00.000","43525","537","2011-05-27T00:00:00.000","1368","2020-12-16T00:00:00.000","SI"
"62","Drogueria Farmacia Pasteur Alcaravan","Yopal","Calle 30 No 26 -29 Local 1 - 012 cc Alcaravan","6321348","alcaravan@pasteur.com.co","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-08T00:00:00.000","43525","490","2011-05-06T00:00:00.000","1107","2021-09-14T00:00:00.000","SI"
"63","Drogueria Alemana 95","Yopal","Calle 30 No 28 - 73","6334805-3165233602","unidrogas.net.co","Droguería","No","No","Favorable","2018-03-16T00:00:00.000","N/A","432","2017-04-24T00:00:00.000","964","2021-08-18T00:00:00.000","SI"
"64","Drogueria Daval Salud","Yopal","Calle 35 No 25A - 91","3125925050","matezalo@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-01-31T00:00:00.000","44329","466","2013-05-03T00:00:00.000","1125","2021-09-20T00:00:00.000","SI"
"65","Drogueria Maxi Drogas","Yopal","Trasversal 23 No 36B - 21","6356734","N/A","Droguería","No","No","Favorable","2018-03-16T00:00:00.000","N/A","1268","2016-10-11T00:00:00.000","1659","2018-12-10T00:00:00.000","SI"
"66","Drogueria Buen Precio","Yopal","Carrera 22 No 18 - 77","6359143","g.do@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","04/008/2015","44167","1529","2015-10-27T00:00:00.000","146","2021-02-24T00:00:00.000","SI"
"67","Drogueria 20 De Julio","Yopal","Carrera 18 No 31 - 66","311 848 4227","anasilviaagudelobarrera@gmail.com","Droguería","No","No","Favorable","N/A","44175","307","2002-04-04T00:00:00.000","865","2021-07-23T00:00:00.000","SI"
"68","Drogueria Quimar Salud","Yopal","Calle 35 Tranv 15 - 05","3208496889","jades553@gmail.com","Droguería","No","No","Favorable","2018-02-22T00:00:00.000","N/A","1093","2015-08-14T00:00:00.000","1108","2021-09-14T00:00:00.000","SI"
"69","Drogueria  Terminal De Yopal","Yopal","Carrera 23 No 25 - 15","6330488","drogueriaelterminaldeyopal@hotmail.com","Droguería","No","No","Favorable","2018-05-22T00:00:00.000","44267","470","2013-05-06T00:00:00.000","505","2021-05-12T00:00:00.000","SI"
"70","Drogueria Drogas  San Mateo","Yopal","Carrera 20 No 25 - 75","3175744591","N/A","Droguería","No","No","Favorable","2018-03-21T00:00:00.000","N/A","2541","2001-11-30T00:00:00.000","306","2020-03-09T00:00:00.000","SI"
"71","Drogueria  Salud Yopal","Yopal","Calle 24 No 22B - 04","6340363","hildagosi2007@hotmail.es","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-05-29T00:00:00.000","44328","877","2010-10-14T00:00:00.000","1049","2021-09-03T00:00:00.000","SI"
"72","Drogueria Terminal 2","Yopal","Carrera 23 No 27 - 33","6330488","drogueriaelterminaldeyopal@hotmail.com","Droguería","No","No","Favorable","N/A","44266","1793","2014-12-04T00:00:00.000","421","2021-05-06T00:00:00.000","SI"
"73","Drogueria  La Esquina De La Salud","Yopal","Trans 23 No 35 - 14","6320022","mao1902@yahoo.com","Droguería","No","No","Favorable","2018-05-29T00:00:00.000","44329","179","2004-03-12T00:00:00.000","947","2021-08-13T00:00:00.000","SI"
"74","Drogueria Biofarma","Yopal","Carrera 23 No 26 - 55","3112841716","edilmalaverde2008@hotmail.com","Droguería","No","No","Favorable","N/A","N/A","568","2017-05-19T00:00:00.000","231","2021-03-11T00:00:00.000","SI"
"75","Drogueria Unifarma La 30","Yopal","Carrera 18 No 30 - 15","3102807334","multifarmala30@gmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","N/A","43753","1284","2017-08-23T00:00:00.000","1334","2020-12-04T00:00:00.000","SI"
"76","Drogueria Alemana 96","Yopal","Calle 16 No 16 - 04","6347437","unidrogascorp/alemana96","Droguería","No","No","Favorable","2018-05-29T00:00:00.000","N/A","252","2012-03-29T00:00:00.000","969","2021-08-18T00:00:00.000","SI"
"77","Drogueria Alemana 98","Yopal","Calle 30 No 14- 03","6344739","unidrogascorp/alemana98","Droguería","No","No","Favorable","2018-05-22T00:00:00.000","43594","311","2011-03-15T00:00:00.000","967","2021-08-18T00:00:00.000","SI"
"78","Drogueria Cruz Roja","Yopal","Carrera 18 No 15 - 10","6324172","casanare@cruzrojacolombiana.org","Droguería","No","No","Favorable","2018-02-07T00:00:00.000","44377","958","2007-12-14T00:00:00.000","866","2021-07-23T00:00:00.000","SI"
"79","Drogueria 24 Horas 2","Yopal","Diagonal 9 No 12 - 230","6330489","ruizcordoba@hotmail.com","Droguería Con Servicio De Inyectología Y  Servicio 24 Horas","Si","No","Favorable","2018-02-10T00:00:00.000","43552","703","2000-03-24T00:00:00.000","532","2021-05-20T00:00:00.000","SI"
"80","Drogueria La Candelaria No. 2","Yopal","Calle 21 No 17 - 11","6343138","maikso18@hotmail.com","Droguería","No","No","Favorable","2018-03-15T00:00:00.000","N/A","3018","2000-10-18T00:00:00.000","593","2019-05-27T00:00:00.000","SI"
"81","Drogueria Jhorman","Yopal","Calle 24 No 14 - 07","6349826","farmaleo@hotmail.com","Droguería","No","No","Favorable","2018-01-31T00:00:00.000","N/A","1047","2017-08-29T00:00:00.000","130","2020-02-03T00:00:00.000","SI"
"82","Drogueria Farmasanti","Yopal","Carrera 14 No 26 - 10","3125170424","dmdrog@gmailcom","Droguería","No","No","Favorable","N/A","43602","782","2013-07-10T00:00:00.000","1186","2020-11-24T00:00:00.000","SI"
"83","Drogueria Nuevo Amanecer","Yopal","Calle 20 No 13 - 85","6344467","h.abella.vega@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-05-29T00:00:00.000","43676","82","2007-02-01T00:00:00.000","1254","2020-11-30T00:00:00.000","SI"
"84","Drogueria Farmalife Del Casanare","Yopal","Calle 26 No 09 - 05","3124307180","lucywar2011@hotmail.com","Droguería","No","No","Favorable","2018-02-16T00:00:00.000","43495","603","2012-07-10T00:00:00.000","378","2021-04-22T00:00:00.000","SI"
"85","Drogueria La Campiña Yopal","Yopal","Carrera 9 No 25 - 23","3106251946","franklinausecha@hotmail.com","Droguería","No","No","Favorable","2018-05-29T00:00:00.000","43615","1178","2015-09-04T00:00:00.000","1006","2020-11-04T00:00:00.000","SI"
"86","Drogueria Multiservicios Capital'S","Yopal","Calle 27 No 7 - 10","3202362541","yersonlopezb@hotmail.com","Droguería","No","No","Favorable","2018-02-07T00:00:00.000","N/A","1263","2015-09-08T00:00:00.000","202","2018-02-20T00:00:00.000","SI"
"87","Drogueria L & S Medicar","Yopal","Calle 24 No 7 - 03","6357123","drogueriamedicar@gmail.com","Droguería","No","No","Favorable","2018-02-07T00:00:00.000","N/A","817","2013-07-12T00:00:00.000","54","2020-01-24T00:00:00.000","SI"
"88","Drogueria La Rebaja Plus Minimarket Drogueria N-8","Yopal","Calle 24 No 8 - 87","6323636","rebja_plus_8yopal@copservis.com","Droguería","No","No","Favorable","2018-01-23T00:00:00.000","43609","62","2017-01-24T00:00:00.000","672","2021-06-18T00:00:00.000","SI"
"89","Drogueria M  Salome","Yopal","Calle 22 No 14 - 10","3203062830","mgonzalez5002@yahoo.es","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-08T00:00:00.000","44173","1391","2016-11-09T00:00:00.000","149","2021-02-24T00:00:00.000","SI"
"90","Deposito Medinsumos Del Llano Ltda","Yopal","Carrera 5 No 15 - 62","6321352  3112446068","medinsumosdelllano@hotmail.com","Deposito","No","Si","Favorable","2018-02-08T00:00:00.000","43579","495","2011-05-06T00:00:00.000","1330","2020-12-04T00:00:00.000","SI"
"91","Drogueria Farma Salud Yopal","Yopal","Carrera 29 No 22 - 03","3132610714","elifarma1529@gmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-07-17T00:00:00.000","43797","1569","2017-10-17T00:00:00.000","567","2021-05-26T00:00:00.000","SI"
"92","Drogueria Cmq Pharma S.A.S","Yopal","Calle 20 No 27A - 03","N/A","N/A","Droguería","No","No","Favorable","N/A","N/A","1824","2017-11-30T00:00:00.000","127","2020-02-03T00:00:00.000","SI"
"93","Drogueria Brisas Del Llano","Yopal","Diag. 30 Transv. 7A - 02","6340382","billion@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-12T00:00:00.000","43770","N/A","N/A","1255","2020-11-30T00:00:00.000","SI"
"94","Drogueria Medic Servicio Jym Sas","Yopal","Carrera 7 N 46 - 05","6322164","olmer9876@hotmail.com","Droguería","No","No","Favorable","N/A","43766","110","2004-04-01T00:00:00.000","728","2021-07-01T00:00:00.000","SI"
"95","Drogueria Casanareña","Yopal","Calle 40 No 12 - 04","6355592","drogueriacasanareñahotmail.com","Droguería","No","No","Favorable","2018-01-26T00:00:00.000","43761","83","2006-08-23T00:00:00.000","142","2021-02-24T00:00:00.000","SI"
"96","Drogueria Drogas Mariño","Yopal","Transv. 7 No 34 - 16","6358935","yapeca12@hotmail.com","Droguería","No","No","Favorable","12/03/018","N/A","4","2007-01-04T00:00:00.000","1228","2018-10-02T00:00:00.000","SI"
"97","Drogueria M J Gutierrez","Yopal","Carrera 15 A No 39a - 51","3213135206","macrirodri@hotmail.com","Droguería","No","No","Favorable","2018-03-12T00:00:00.000","43551","964","2007-12-14T00:00:00.000","506","2021-05-12T00:00:00.000","SI"
"98","Drogueria Biosalud Farma","Yopal","Calle 40 Trasversal 6 - 95","313 249 8074","claumolina46@gmail.com","Droguería","No","No","Favorable","2018-06-12T00:00:00.000","44306","371","2003-03-21T00:00:00.000","1462","2021-07-14T00:00:00.000","SI"
"99","Drogueria Renacer Nuevo Habitat","Yopal","Transv. 7 No 36C - 04","3112315972","blanca180277@gmail.com","Droguería","No","No","Favorable","2018-06-12T00:00:00.000","N/A","605","2004-09-21T00:00:00.000","1784","2017-11-21T00:00:00.000","SI"
"100","Drogueria Judama","Yopal","Carrera 11 No 42- 04","3132233456","N/A","Droguería","No","No","Favorable","2018-03-06T00:00:00.000","N/A","639","2011-07-06T00:00:00.000","696","2019-06-19T00:00:00.000","SI"
"101","Drogueria La 40","Yopal","Calle 40 No 7 - 81","6332529-3193540095","esperanza979@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-03-06T00:00:00.000","43759","855","2006-09-14T00:00:00.000","311","2021-04-05T00:00:00.000","SI"
"102","Drogueria San Juan  Casanare","Yopal","Carrera 16 No 36B - 26","3144148278","gloriagonzalez_72@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-01-29T00:00:00.000","43165","608","2011-06-30T00:00:00.000","1124","2020-11-06T00:00:00.000","SI"
"103","Drogueria Cosmodrogas De La 37","Yopal","Calle 37 No 12 - 03","6355016","anayibebustosl26@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-06T00:00:00.000","43759","239","2010-03-02T00:00:00.000","1320","2020-12-04T00:00:00.000","SI"
"104","Drogueria Sym","Yopal","Calle 46 No 8 - 46","3144430997-3103354418","dianis1407@hotmail.com","Droguería","No","No","Favorable","2018-03-06T00:00:00.000","43767","1352","2015-09-22T00:00:00.000","810","2020-09-06T00:00:00.000","SI"
