"entidad","municipio","nit","nombre","cargo","direcci_n","tel_fono","correo_electr_nico"
"LA ARGENTINA","LA ARGENTINA","891.180.205-7","JAVIER HERNAN RINCON SILVA","Alcalde Municipal","Calle 6 No. 3-50","8311608-8311609","alcaldia@laargentina-huila.gov.co, contactenos@laargentina-huila.gov.co, secretariadeplaneacion@laargentina-huila.gov.co, almacen@laargentina-huila.gov.co"
"LA PLATA","LA PLATA","891.180.155-7","LUIS CARLOS ANAYA TORO","Alcalde Municipal","Carrera 4 No.5-09","8370287-8370109-8370948","alcaldia@laplata-huila.gov.co, controlinterno@laplata- huila.gov.co"
"NATAGA","NATAGA","891.102.844-0","HECTOR ANGEL AMEZQUITA PERDOMO","Alcalde Municipal","Carrera 8 No. 2-43","8310120-8310118","tesorerianataga@yahoo.es, alcaldia@nataga- huila.gov.co"
"OPORAPA","OPORAPA","891.180.179-3","JUAN CARLOS RUALES ORDOÑEZ","Alcalde Municipal","Calle 5 N. 6-79","8790640-8790661","contactenos@oporapa-huila.gov.co"
"PAICOL","PAICOL","891.180.194-4","JONH JAIRO PERDOMO GONZALEZ","Alcalde Municipal","Calle 4 No. 6-68","8378031-","alcaldia@paicol-huila.gov.co, alcalde@paicol- huila.gov.co, contactenos@paicol-huila.gov.co, planeacion@paicol-huila.gov.co"
"PALERMO","PALERMO","891.180.021-9","NATALIA CAVIEDES CHINCHILLA","Alcalde Municipal","Carrera 8 No. 8-54","8784011-8784116","alcaldia@palermo-huila.gov.co, planeacion@palermo- huila.gov.co, haciendatesoreria@palermo-huila.gov.co, controlinterno@palermo-huila.gov.co"
"PALESTINA","PALESTINA","891.102.764-1","WILSON JESUS CASTILLO ORTIZ","Alcalde Municipal","Calle 3 No. 3-42","8315614-8315616-8315647","alcaldia@palestina-huila.gov.co, contactenos@palestina- huila.gov.co, planeacion@palestina-huila.gov.co, hacienda@palestina-huila.gov.co, contratacion@palestina-huila.gov.co"
"PITALITO","PITALITO","891.180-077-0","EDGAR MUÑOZ TORRES","Alcalde Municipal","Calle 6 No. 3-48","8368707-8360010","contactenos@pitalito-huila.gov.co, tesoreria@alcaldiapitalito.gov.co, dtac_alcaldia@pitalito- huila.gov.co"
"RIVERA","RIVERA","891.180.040-9","JOHN JAIRO YEPES PERDOMO","Alcalde Municipal","Carrera 7 No. 4-64","8387140--8386866-8386614","alcaldia@rivera-huila.gov.co, secretariahaciendarivera@yahoo.es"
"SALADOBLANCO","SALADOBLANCO","891.180.180-1","LUIS ANTONIO BAMBAGUE ORDOÑEZ","Alcalde Municipal","Calle 2 No. 5-10","8323013-8323014","contactenos@saladoblanco-huila.gov.co, secretariagobierno@saladoblanco-huila.gov.co"
"SAN AGUSTIN","SAN AGUSTIN","891.180.056-6","LUIS FERNANDO LLANOS PABON","Alcalde Municipal","Carrera 12 con Calle 3 Esquina","8379333-8373177","alcaldia@sanagustin-huila.gov.co, contactenos@sanagustin-huila.gov.co, alcalde@sanagustin-huila.gov.co, contratacion@sanagustin-huila.gov.co"
"SANTA MARIA","SANTA MARIA","891.180.076-3","JULIO CESAR PERALTA ARDILA","Alcalde Municipal","Carrera 4 No. 10-12","8787043-787040","alcaldia@santamaria-huila.gov.co, oiber77@hotmail.com"
"SUAZA","SUAZA","891.180.191.2","MOISES ORTIZ ALARCON","Alcalde Municipal","Calle 7 No. 3-07","8324036-8324392","alcaldia@suaza-huila.gov.co, secrehacienda@suaza- huila.gov.co"
"TARQUI","TARQUI","891.180.211-1","DORA LILIANA TRUJILLO PAVA","Alcalde Municipal","Carrera 9 No. 4-38","8329177-8329178","alcaldiatarqui@hotmail.com, contactenos@tarqui- huila.gov.co"
"TELLO","TELLO","891.180.127-0","JOSE MANUEL CORDOBA TRUJILLO","Alcalde Municipal","Calle 5 No. 4-05","8488006-8488065","despacho@tello-huila.gov.co"
"TERUEL","TERUEL","891.180.181-9","YELITSA FIERRO LAGUNA","Alcalde Municipal","Calle 5 No. 3-59","8780004","contactenos@teruel-huila.gov.co"
"TESALIA","TESALIA","800.097.176-6","CARLOS HUMBERTO PERDOMO ZUÑIGA","Alcalde Municipal","Carrera 9 No. 6-11","8377022-8377480","alcaldia@tesalia-huila.gov.co, contactenos@tesalia- huila.gov.co"
"TIMANA","TIMANA","891.180.182-6","MARCO ADRIAN ARTUNDUAGA GOMEZ","Alcalde Municipal","Carrera 4 No. 9-76","8374130-8374131-8374932","alcaldia@timana-huila.gov.co, contactenos@timana- huila.gov.co, tesoreria@timana-huila.gov.co"
"VILLAVIEJA","VILLAVIEJA","891.180.187-2","ALVARO ANDRES CHARRY PERDOMO","Alcalde Municipal","Calle 4A No. 3-53","8797744","alcaldia@villavieja-huila.gov.co, contactenos@villavieja- huila.gov.co, raularturoramirez@hotmail.com"
"YAGUARA","YAGUARA","800.097.180-6","JUAN CARLOS CASALLAS RIVAS","Alcalde Municipal","Carrera 4 No. 3-91","FAX:8383066- EXR 20-8383102","alcaldia@yaguara-huila.gov.co, obraspublicas@yaguara- huila.gov.co"
"E.S.E. HOSPITAL SAN VICENTE DE PAUL","GARZON","891.180.026-5","NESTOR JHALY MONROY ATIA","Gerente","Calle 7 No.14-74","8332533-8333225","administracion@hospitalsvpgarzon.gov.co, coordinadorsistemas@hospitalsvpgarzon.gov.co, controlinterno@hospitalsvpgarzon.gov.co"
"E.S.E HOSPITAL SAN ANTONIO DE PADUA","LA PLATA","891.180.117-7","JAVIER MAURICIO BAHAMÓN SALAS","Gerente","Avenida Los Libertadores Salida a
Neiva","8371206-8370149-8370170-8371206","hospitallaplata@esesanantoniodepadua.gov.co, gerencia@esesanantoniodepadua.gov.co"
"E.S.E HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO","NEIVA","891.180.268-0","JESUS ANTONIO CASTRO VARGAS","Gerente","Calle 9 No.15-25","8715907-8714415-8714440-8719191","hospital.universitario@huhmp.gov.co notificacion.judicial@huhmp.gov.co"
"E.S.E. HOSPITAL DPTAL SAN ANTONIO","PITALITO","891.180.134-2","DIANA VICTORIA MUÑOZ MUÑOZ","Gerente","Calle 3 Sur No.1B-45","362500-362504-8362711","hospitalpitalito@yahoo.com, gerencia@hospitalpitalito.gov.co, secgerencia@hospitalpitalito.gov.co, presupuesto@hospitalpitalito.gov.co"
"E.S.E HOSPITAL SAN FRANCISCO JAVIER","ACEVEDO","813.002.497-5","MARCO AURELIO PUENTES QUESADA","Gerente","Carrera 3 con Calle 9 Esquina","8317001-8317415","hsanfranciscoj@yahoo.com"
"E.S. E HOSPITAL MUNICIPAL SAN ANTONIO","AGRADO","891.180.147-8","LUZ ADRIANA LOSADA PEAÑA","Gerente","Calle 5 No.1-31","8322005-8322225","eseagrado@gmail.com"
"E.S.E. HOSPITAL SAN CARLOS","AIPE","891.180.238-1","JORGE ALONSO CHARRY COVALEDA","Gerente","Av. Nuevo Milenio No. 12A - 13","8389008-8389162-8389027","esehospitalsancarlos@yahoo.es, gerenciahospitalsancarlos@gmail.com"
"E.S.E HOSPITAL MUNICIPAL","ALGECIRAS","813.001.653-3","JOSE ALEXANDER MORENO CORDOBA","Gerente","Calle 4 No.1-40","8382017 - 8382008","hospalgeciras@yahoo.com.ar, magule1905@gmail.com, jorgevga@hotmail.com"
"E.S.E. HOSPITAL TULIA DURAN DE BORRERO","BARAYA","891.180.159-6","DIANA MARCELA OROZCO MEÑACA","Gerente","Transversal 2 No. 8-10","8788649-8788940","esebaraya@yahoo.es"
"E.S.E HOSPITAL DEL ROSARIO","CAMPOALEGRE","891.180.039-3","ANDERSSON ZABALA TOLEDO","Gerente","Carrera 9 No. 32-50","8381481-8380030","administracion@hospitaldelrosario.gov.co, sarayaguar@hotmail.com"
"E.S.E. ANA SILVIA MALDONADO JIMENEZ","COLOMBIA","813.011.706-8","DEYANIRA VARGAS HERRERA","Gerente","Carrera 3 No. 7-12","8319569","gerencia@esecolombia.gov.co, secretaria@esecolombia.gov.co"
"E.S.E. HOSPITAL MUNICIPAL SAN FRANCISCO DE ASIS","ELIAS","813.011.502-2","YULY PAOLA GONZÁLEZ DUQUE","Gerente","Calle 1 No. 6-71","8305669","esesanfranciscoelias@hotmail.com"
"E.S.E. HOSPITAL MARIA AUXILIADORA","GARZON","813.002.940-7","KARINA DEL PILAR TOLOSA ESCOBAR","Gerente","Carrera 3 No. 3-39","8334982-8333599","secretaria@esegarzon-huila.gov.co, gerencia@esegarzon-huila.gov.co"
"E.S.E. HOSPITAL SAN ANTONIO","GIGANTE","891.180.065-2","JORGE HUMBERTO GONZÁLEZ BAHAMON","Gerente","Calle 5 No. 1-40","8325120","gerencia@hospitalgigante.gov.co, contabilidad@hospitalgigante.gov.co"
"E.S.E. HOSPITAL MUNICIPAL NUESTRA SEÑORA","GUADALUPE","813.007.875-9","SAUL MONTERO GARCÍA","Gerente","Calle 4 No. 9-61 Av. Cervantes","8321052","eseguadalupe@gmail.com, sistemasdeinformacionguadalupe@gmail.com"
"E.S.E. HOSPITAL MUNICIPAL HOBO","HOBO","813.011.515-8","GINA PAOLA FRANCO PARRA","Gerente","Calle 6 No. 9-47","8384053-8384391","esehospitalhobo@yahoo.es"
"E.S.E. HOSPITAL MARIA AUXILIADORA","IQUIRA","891.103.968-1","MAYRA ALEJANDRA DÍAZ PERDOMO","Gerente","Calle 2A No. 6-16","8394548-8394765-8394547","hmaiquira@yahoo.es"
"E.S.E. MUNICIPAL SAN JOSÉ","ISNOS","813.010.996-2","RUTH MILDRED PUENTS MONTENEGRO","Gerente","Calle 3 No. 4-28","3152599961","gerencia@eseisnos.gov.co, secretaria@eseisnos.gov.co, tesoreria@eseisnos.gov.co"
"E.S.E. HOSPITAL JUAN RAMÓN NUÑEZ PALACIOS","LA ARGENTINA","813.010.966-1","LEIDY ANDREA ORTIGOZA JAVELA","Gerente","Calle 7 No. 4-90","8311607-8311863","hospitalargentina@yahoo.es"
"E.S.E. HOSPITAL SAN SEBASTIAN","LA PLATA","813.002.872-4","LUIS ALBERTO GRANADOS ARENAS","Gerente","Carrera 4 No. 9-103","8470197-8470198","hospitallaplata@esesanantoniodepadua.gov.co, gerencia@esesanantoniodepadua.gov.co"
"E.S.E. HOSPITAL LUIS ANTONIO MOJICA","NATAGA","813.011.465-8","AURA STELLA MEDINA TRUJILLO","Gerente","Calle 3 No. 8-19","8310001","ese_luis_antonio_mojica@yahoo.com.co"
"E.S.E HOSPITAL DAVID MOLINA MUÑOZ","OPORAPA","813.012.946-3","ORIANA SOFÍA PEÑA MAZABEL","Gerente","Calle 5 No. 7-88","8790532","esedavidmolinaoporapa@hotmail.com, esecontratacionoporapa@gmail.com"
"E.S.E. HOSPITAL SANTA ROSA DE LIMA","PAICOL","813.011.027-5","YENID TRUJILLO TRUJILLO","Gerente","Calle 3 con Carrera 7 Esquina","8378037","ese@esesantarosadelimapaicol.gov.co yenidtrujillo@yahoo.es"
"E.S.E. HOSPITAL SAN FRANCISCO DE ASIS","PALERMO","891.180.091-4","SARA ALEXANDRA YAGUAR JIMENEZ","Gerente","Calle 12 No. 6-40","8783610","esesanfrancisco891@yahoo.es"
"E.S.E. MUNICIPAL CAMILO TRUJILLO SILVA","PALESTINA","813.011.505-4","MARTHA ROCÍO TORRES CUBILLOS","Gerente","Carrera 8 No. 3-13","8315621-8315622 3138300097","esepalestina2@gmail.com, esepresupuestopalestinah@gmail.com"
"E.S.E. CENTRO SALUD SAN JUAN DE DIOS","EL PITAL","813.006.877-9","ROLDAN MONTEALEGRE CARDENAS","Gerente","Carrera 10 con Calle 12 Esquina","8327012-8327480","esesjd@yahoo.com"
"E.S.E. MUNICIPAL MANUEL CASTRO TOVAR","PITALITO","813.005.295-8","SERGIO MAURICIO ZÚÑIGA RAMIREZ","Gerente","Carrera 14A No. 9A-65","8363362-","esemanuelcastrotovar@hotmail.com, contabilidad@esemanuelcastrotovar.com"
"E.S.E. HOSPITAL DIVINO ÑIÑO","RIVERA","813.002.933-5","TANIA PATRICIA TRUJILLO MOSQUERA","Gerente","Calle 5 No.11-05","8386061-8387410","hospitaldivinoninorivera@hotmail.com, contabilidaddivinonino@hotmail.com"
"E.S.E. HOSPITAL NUESTRA SEÑORA DE LAS MERCEDES","SALADOBLANCO","813.012.833-1","MARTHA YINET VARGAS ROJAS","Gerente","Calle 2 No. 3-22","8323013-8323066 EXT.103","hospitalsaladoblanco@gmail.com, contratacionesensm@gmail.com"
"E.S.E. HOSPITAL ARSENIO REPIZO VANEGAS","SAN AGUSTIN","891.180.113-8","INGRID JOHANNA ORTIZ LEDEZMA","Gerente","Calle 3A No. 2-51","8373088-8373314-3107992342","eseharv@gmail.com, eseharv@hotmail.com"
"E.S.E. HOSPITAL NUESTRA SEÑORA DE FATIMA","SUAZA","891.180.190-5","ENEYDA ORTIZ RAMIREZ","Gerente","Carrera 5 No. 7-25","324017-8324032","hnsf@hotmail.com, eneora@hotmail.com"
"E.S.E. NUESTRA SEÑORA DEL CARMEN","SANTA MARIA","813.010.024-9","DIEGO FERNANDO ANDRADE SANTOFIMIO","Gerente","Carrera 8 No.15-16","8787186-8787248","ipssantamariahuila@gmail.com"
"E.S.E. HOSPITAL SAN ANTONIO","TARQUI","891.180.232-6","MARIA NELFFY RINCÓN MENDEZ","Gerente","Calle 3 No. 6-40","8329188-8329189-","esesanantoniotarqui@yahoo.es, gerenciahtarqui@yahoo.es"
"E.S.E. HOSPITAL MIGUEL BARRETO LOPEZ","TELLO","813.004.018","MÓNICA SÁNCHEZ FALLA","Gerente","Carrera 6 No. 4-56","8488002","hospital@tello-huila.gov.co, gerencia.esetello@gmail.com"
"E.S.E. HOSPITAL SAN ROQUE","TERUEL","813.010.472-5","CRISTIAN ALEXIS JIMENEZ RAMÍREZ","Gerente","Carrera 3 No. 3-38","8780303-8780278","esesanroqueteruel@gmail.com"
"E.S.E. HOSPITAL SANTA TERESA","TESALIA","891.103.889-6","VICENTE LÓPEZ PINZON","Gerente","Calle 4 No. 4-38","8377004","esehospitaltesalia@yahoo.es"
"E.S.E. HOSPITAL MUNICIPAL SAN ANTONIO","TIMANA","891.180.198-3","DUAYEN MARLEIVY CORTES CUELLAR","Gerente","Carrera 4 No.12-02","8374134-8374133","ipstimana@yahoo.es, duayen33@yahoo.es"
"E.S.E. HOSPITAL DEL PERPETUO SOCORRO","VILLAVIEJA","813.011.566-3","DAIANA PATRICIA MORENO PRECIADO","Gerente","Calle 3 No. 3-17","3142785572
3118992064","esevillavieja@yahoo.es, secretaria.esevillavieja@hotmail.com"
"E.S.E. HOSPITAL LAURA PERDOMO DE GARCIA","YAGUARA","813.003.431-4","MARIA DE LOS ANGELES VILLEGAS MEJIA","Gerente","Carrera 8 No. 7-29 Barrio Los
Samanes","8383222-8383567-
8383070-8383106","eselauraperdomo@hotmail.com, administrativayfinanciera@eselauraperdomodegarcia.go v.co"
"SOCIEDAD DE ACUEDUCTOS, ALCANTARILLADOS Y ASEO - AGUAS DEL HUILA .-E.S.P.","NEIVA","800.100.553-2","GERMAN DARIO RODRIGUEZ P.","Gerente","Calle 21 No. 1C-17","8753181-8758879","gerencia@aguasdelhuila.gov.co, tesoreria@aguasdelhuila.gov.co"
"EMPRESAS PUBLICAS DE ACEVEDO S.A.S ""EMPACEVEDO S.A.S E.S.P.","ACEVEDO","900.250.887","JAVIER FERNANDO LOPEZ GUTIERREZ","Gerente","Carrera 4 No. 9 -27","8317019 - 8317261
3107516359","empacevedo@yahoo.es"
"EMPRESA PUBLICAS DE AIPE S.A. E.S.P.","AIPE","900.252.348","DIEGO FERNANDO CHARRY DIAZ","Gerente","Kilómetro 1 Via Aipe - Bogotá","8389704 - 83169665","epasaesp@hotmail.com"
"EMPRESA DE SERVICIOS PUBLICOS DE ALTAMIRA S.A. E.S.P.","ALTAMIRA","900.305.071","LEONOR LORENA GASCA DIAZ","Gerente","Calle 6 No. 6-02","3133219633","emseraltamirasaesp@hotmail.com, emseraltamirasaespsigma@gmail.com"
"EMPRESAS PUBLICAS DE ALGECIRAS S.A. E.S.P. EMSERAL ESP","ALGECIRAS","900.263.189","BLADIMIR ORLANDO GONZALEZ SUAZA","Gerente","Carrera 5 con Calle 6 Esquina","8382453
3123796826","emseralsaesp@hotmail.com"
"EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS, ACUEDUCTO, ALCANTARILLADO Y ASEO ""EMPUBARAYA""","BARAYA","813.013.343-7","LEONOR ELIZABETH VANEGAS GUZMAN","Gerente","Carrera 6 No. 2B-58","8788716-8788506
3209505424","empubaraya_esp@yahoo.es"
"EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO ""EMAC E.S.P.","CAMPOALEGRE","900.168.928-6","OSCAR IVAN LEIVA BOCANEGRA","Gerente","Calle 19 No. 8-42","8380518-8380131
3152637899","emacsaesp@hotmail.com"
"EMPRESA DE SERVICIOS PUBLICOS DE COLOMBIA S.A. E.S.P.","COLOMBIA","901.254.794-8","ALVIS LORENA FALLA MENDEZ","Gerente","Calle 6 No. 3-74","3166991531 - 3124530658.","empcolombiahuila@gmail.com"
"EMPRESA, AGUAS Y ASEO DEL PITAL Y AGRADO S.A. E.S.P.","EL PITAL","813.007.990-8","LIBARDO CEBALLOS FORERO","Gerente","Carrera 10 No.5-49","8327250
3184010155","aguaspitalyagrado@gmail.com"
"EMPRESAS PÚBLICAS DE GARZÓN, EMPUGAR E.S.P.","GARZON","891.180.074-9","ANGELA MATILDE ZAMBRANO CAVIEDES","Gerente","Centro Comercial Paseo del Rosario
Oficina 3-013","8332011-8332430","empugar@hotmail.com"
"EMPRESAS DEL PUEBLO Y PARA EL PUEBLO DE GIGANTE ""EMPUGIGANTE""","GIGANTE","900.256.320","JOSE HERNANDO PERDOMO CUENCA","Gerente","Calle 3 No. 4-27","8325447
3208373484","empugigante@hotmail.com"
"EMPRESA DE ACUEDUCTO ALCANTARILLADO Y ASEO DE GUADALUPE SOCIEDAD A.","GUADALUPE","900.331.282","GERARDO AUGUSTO FLORIANO ORTIZ","Gerente","Carrera 2 No. 3 - 50","3123061024 - 8321427","emserpugua@yahoo.com"
"EMUSERHOBO S.A E.S.P","HOBO","900.189.880","CONSTANZA CERON ANACONA","Gerente","Carrera 9 No. 5-41","8384044
3118556113","emuserhobo@hotmail.com"
"EMPRESA DE SERVICIOS PUBLICOS S.A. E.S.P. MUNICIPIO DE IQUIRA -HUILA","IQUIRA","900.250.076-6","WILSON CORTES MONTAÑO","Gerente","Calle 4 No. 06-29","8394622- 8394552-fax
3209036145","iquirasaesp@hotmail.com"
"AGUAS Y ASEO DEL MACIZO S.A.S.E.S.P. AMA MPIO ISNOS","ISNOS","900.395.462-9","LUIS CARLOS INBACHI RENZA","Gerente","Carrera 3 No. 1-76","3115005080
3115005080","aguayaseodelmacizo@hotmail.com"
"EMPRESAS PUBLICAS DE LA ARGENTINA HUILA EMPUARG E.S.P.","LA ARGENTINA","900.239.471-8","JOHN EDISON GOMEZ ROBLEDO","Gerente","Calle 6 No. 3-66","8311609-8311608
3208572013","empuargsaesp@hotmail.com"
"EMPRESA DE SERVICIOS PÚBLICOS DEL MUNICIPIO DE LA PLATA EMSERPLA E.S.P.","LA PLATA","813.002.781-2","MARIO MONTILLA CABRERA","Gerente","Carrera 3 No.2 - 04","8370029-8470160
3134241580","emserpla@hotmail.com"
"EMPRESAS PÚBLICAS DE PALERMO ESP","PALERMO","813.002.609-3","REINALDO ROJAS SALAZAR","Gerente","Calle 9 No. 7-52 Piso 2","8783788-8783920","eppesp@hotmail.com, gerencia@eppesp.gov.co"
"EMPRESAS DE SERVICIOS PUBLICOS DE PITALITO ""EMPITALITO"" E.S.P.","PITALITO","800.089.312-8","LIZ ADRIANA CARVAJAL FRANCO","Gerente","Calle 6 No. 7-23","8360012-3142989502","contactoempitalito@gmail.com, empitalitoesp@hotmail.com, gerenteempitalito@gmail.com, suiempitalito@gmail.com, info@empitalito.gov.co"
"EMPRESAS PÚBLICAS DE RIVERA S.A. E.S.P.","RIVERA","900.126.216","JOSE MANUEL ORTIZ CUELLAR","Gerente","Carrera 8 No. 4-76","8386192-8386621
3184094444","empresaspublicas@rivera-huila.gov.co"
"EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE SALADOBLANCO S.A. E.S.P. EMSEPUSA","SALADOBLANCO","900.245.329","MARIA YINETH GUAÑARITA ORTIZ","Gerente","Calle 2 No. 5-10","8373210-3219652058","emsepusasasesp@hotmail.com, ederneyva58@gmail.com"
"EMPRESAS DE SERVICIOS PUBLICOS SAN AGUSTIN","SAN AGUSTIN","800.094.664-5","FERNANDO BURBANO SAMBONI","Gerente","Carrera 12 No. 2-17","8373210-8323014
3114785592","gerencia@sanagustinesp.gov.co, contactenos@sanagustinesp.gov.co, financiera@sanagustin.gov.co, controlinterno@sanagustinesp.gov.co"
"EMPRESAS PÚBLICAS DE SUAZA ""EMPUSUAZA S.A. E.S.P.""","SUAZA","900.499.642-5","EDGAR ORLANDO ALMARIO HITSCHERICH","Gerente","Calle 6 con Carrera 13 Esquina","3124398020-3163013759","empusuaza@hotmail.com"
"EMPRESAS PÚBLICAS DE TELLO S.A.S.","TELLO","900.335.153-4","WALTER ADRIAN PALMITO POLO","Gerente","Calle 5 No. 7-25","8488125-3142882783","eptsasesp@hotmail.com"
"EMPRESAS PÚBLICAS DE TERUEL ""S.A. E.S.P.","TERUEL","900.171.067-0","JAIRO JIMENEZ MONTEALEGRE","Gerente","Calle 5 No. 3-59","8780076- 8780004
3203010637","empteruelesp@hotmail.com"
"EMPRESAS PUBLICAS DE TESALIA S.A. E.S.P.    EMPTESALIA S.A. E.S.P.","TESALIA","900.332.875","BIRNUBY GUZMAN CUENCA","Gerente","Carrera 9 No. 6-11","8377022-8377480","emptesaliasaesp@hotmail.com"
"EMPREAS PÚBLICAS DE TIMANÁ EMP TIMANA S.A. ESP","TIMANA","900.330.919-3","DANIEL GERARDO ALDANA ARCE","Gerente","Carrera 4 No. 7-58","8374130-8374131-8374932
3134997628","emptimanasaesp@hotmail.com, emptimanasigma@gmail.com"
"EMPRESA MUNICIPAL DE SERVICIOS PÚBLICOS DE VILLAVIEJA AGUAS DEL DESIERTO","VILLAVIEJA","900.377.266-5","JHON JADER TOVAR MARQUEZ","Gerente","Carrera 4 No. 4-70","8797769-3143575171","empresapublicadevillavieja@yahoo.es"
"EMPRESAS PUBLICAS AAA DE YAGUARA S.A. E.S.P","YAGUARA","900.250.077-3","GINA KATHERINE GARCIA RAMIREZ","Gerente","Carrera 4 No. 3-93","8383102-3208339546","emsepuya@yahoo.com"
"BIORGANICOS DEL SUR DEL HUILA S.A. E.S.P.","PITALITO","813.001.950-6","EDNA YOLIMA CALDERON OME","Gerente","Carrera 2 No. 4-02","8365606-3204954816","biorganicosdelsur@yahoo.es, felipegratz55@hotmial.com"
"BIORGANICOS DEL PAEZ S.A. E.S.P. EN LIQUIDACIÓN","LA PLATA","900.057.795","CARLOS FELIPE TRUJILLO MEDINA","Liquidador","Carrera 5 N. 6-28 Centro Comercial
Metropolitano Torre B, Oficina 1001","8723897","biorgánicos@gmail.com"
"BIORGANICOS DEL CENTRO DEL HUILA S.A. E.S.P.","GARZON","900.138.063","PAULA ANDREA LUGO GOMEZ","Gerente","Centro Comercial Paseo del Rosario
Oficina 2-08","8333943-3030
3004916397","biorganicosdelcentrohuila@hotmail.com"
"SURCOLOMBIANA DE GAS S.A. E.S.P - SURGAS","NEIVA","830.510.717-1","RAMIRO SILVA QUINTERO","Gerente","Carrera 16 No. 46-24","866 2076","surgas@surgas.co"
"INDERHUILA","NEIVA","813.005.578-7","CARLOS RODRIGUEZ MORA","Director","Carrera 18 Calle 17 Unidad Deportiva","8750439-8755196
314246270","direccion@inderhuila.gov.co, contratacion@inderhuila.gov.co"
