"nombre_establecimiento","tipo_de_establecimiento","tipo_de_productos_que","direccion","barrio","telefono","correo_electronico","municipo","fecha_ltima_visita_ivc","concepto"
"DROGUERIA MEDIDESCUENTOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 39 # 15-84","MARIA EUGENIA","NT","sanidadbiter5@gmail.com","AGUACHICA","13/07/2017","DESFAVORABLE"
"DROGUERIA PAGUE MENOS LA QUINTA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 5 # 17-90","CENTRO","3152112057 / 650412","jamaangaritar@hotmail.com, eduarchuchuco@hotmail.com","AGUACHICA","09/07/2019","FAVORABLE"
"DROGUERIA ROQUE GALAN","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 9 # 12-47","SAN PEDRO","3104706728","carlidgalan@hotmail.com","AGUACHICA","14/12/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA RUTBEL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 10 # 4-04 Local 2","CENTRO","NT","drogueriarutbel@hotmail.com","AGUACHICA","11/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAN JOSE No.2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 NORTE 31-94","SAN EDUARDO","NT","alfonsoholguinsuarez@hotmil.com","AGUACHICA","11/07/2017","FAVORABLE"
"DROGUERIA SANTA ANA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 NORTE 39C-35","20 DE ENERO","NT","NO TIENE","AGUACHICA","13/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SUCRE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 31-37","MARIA EUGENIA","NT","hersongro@hotmail.com","AGUACHICA","19/04/2018","FAVORABLE"
"DROGUERIA UNISALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 6A-59","LAS AMERICAS","5654593","usleyamaya@hotmail.com","AGUACHICA","14/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y AUTOSERVICIO FARMASALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 5 #16-90 LOCAL 1","AGUACHICA","NT","farmasalud.aguachica@gmail.com","AGUACHICA","01/12/2017","NO CUENTA CON CIELO RASO RESISITENTE UNIFORME Y DE FACIL LIMPIEZA, ES DE ICOPOR. NO CUENTA CON ESTIBAS PLASTICAS, NO TIENEN RESTRINGIDO EL PASO AL AREA DE ALMACENAMIENTO."
"DROGUERIA Y PERFUMERIA DROETICAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 2 # 28-100","LA VICTORIA","NT","NT","AGUACHICA","30/10/2013","N/A"
"DROGUERIA Y PERFUMERIA GRAN AHORRO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 19-69 LC 107","CENTRO","5656769 / 3184013864","javier_waldir@hotmail.com, kata610@hotmail.com","AGUACHICA","08/07/2019","FAVORABLE"
"DROGUERIA Y PERFUMERIA HUMANITARIA No.2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 14-31","CENTRO","3116747251","drogueriahumanitaria1@hotmail.com","AGUACHICA","20/04/2018","FAVORABLE"
"DROGUERIA Y PERFUMERIA MEDILAT","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 23-32","CENTRO","5652325 / 3173011835","kata610@hotmail.com","AGUACHICA","08/07/2019","FAVORABLE"
"DROGUERIA Y PERFUMERIA MEDILAT 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 11 # 5-09","CENTRO","5652932/ 3175459071","kata610@hotmail.com","AGUACHICA","08/07/2019","FAVORABLE"
"DROGUERIA Y PERFUMERIA NACIONAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 19-38","CENTRO","5654247","jqossa@gmail.com","AGUACHICA","12/07/2019","FAVORABLE"
"DROGUERIA Y PERFUMERIA NACIONAL No 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 27-16","CENTRO","NT","astridnelly@yahoo.es","AGUACHICA","12/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA REGIONAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 31-41","MARIA EUGENIA","5662356","elverrncn@gmail.com","AGUACHICA","11/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA SAIRA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 6-35","OLAYA HERRERA","3166234839","san.milesan.083@hotmail.com","AGUACHICA","19/04/2018","FAVORABLE"
"DROGUERIA Y PERFUMERIA SAN JORGE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 15-90","CENTRO","5650456","ssvasquez@hotmail.com, jorgealiriovasquez@hotmail.com","AGUACHICA","10/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA SELECTA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 31-77","MARIA EUGENIA","NT","drogueriaselecta@hotmail.comgalvanenfoga@yahoo.com","AGUACHICA","17/04/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA SOCIAL No.2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 31-39","MARIA EUGENIA","NT","NT","AGUACHICA","13/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA Y PERFUMERIA VIDA No. 1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 6A-35","OLAYA HERRERA","NT","NT","AGUACHICA","14/07/2017","DESFAVORABLE"
"DROGUERIA Y PERFUMERIA VIDA No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 16-40","OLAYA HERRERA","NT","drogueriavida@hotmail.com","AGUACHICA","14/07/2017","FAVORABLE CON REQUERIMIENTOS"
"LA CURITA DROGUERIA No 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 15 # 5-02","CENTRO","5655426","mareme1005@yahoo.es","AGUACHICA","12/12/2018","FAVORABLE CON REQUERIMIENTOS"
"LA CURITA DROGUERIAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 14 # 5-120 LC 2","OLAYA HERRERA","3155129644 / 5658162 / 5655076","elsamariapor69@hotmail.com","AGUACHICA","14/07/2017","FAVORABLE"
"LA ECONOMIA DROGUERIA MINIMARKET No. 410","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 31-73","MARIA EUGENIA","NT","recepcionvp@eticos.com","AGUACHICA","18/04/2018","FAVORABLE"
"LA ECONOMIA DROGUERIA MINIMARKET No.405","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 13-03","CENTRO","5661413","recepcionvp@eticos.com, dispensario521@drogaslaeconomia.com","AGUACHICA","27/05/2019","FAVORABLE"
"LA ECONOMIA DROGUERIA No. 7086","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 11 # 3-131","SAN PEDRO","5653919","recepcionvp@eticos.com","AGUACHICA","02/07/2019","FAVORABLE"
"LA REBAJA DROGUERIA No 1 AGUACHICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 20 # 4-75 LCL 101","CENTRO","5651079","copservir@copservir.com, rebaja_1_aguachica@copservir.com","AGUACHICA","02/07/2019","FAVORABLE"
"LA REBAJA PLUS No. 1 ALMACEN CADENA Y DROGUERIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 12-04","CENTRO","5651998","delker2013@hotmail.com, copservir@copservir.com","AGUACHICA","07/05/2018","FAVORABLE"
"SAO 256 AGUACHICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 23-53","LAS AMERICAS","NT","drogueria256@olimpica.com.co","AGUACHICA","11/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA DEL PUEBLO AGUAS BLANCAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 8 # 3-80","AGUAS BLANCAS","NT","hernaperez0727@hotmaol.com","AGUAS BLANCAS","15/09/2017","FAVORABLE"
"DROGUERIA EMMANUEL E.S.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 4-22","ARJONA","NT","beto05@outlook.es","ARJONA","NUEVO","N/A"
"DROGUERIA Y MISCELANEA J.E.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 4 # 4-68","ARJONA","NT","NT","ARJONA","20/10/2017","N/A"
"DROGUERIA MELIMAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 5-94","CENTRO","NT","lukimila33@hotmail.com","ASTREA","19/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SAN CAYETANO DE ASTREA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 3-17","CENTRO","NT","opiri1021@hotmail.com","ASTREA","19/10/2017","FAVORABLE"
"DROGUERIA SAN JORGE ASTREA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 7 # 4-111","CENTRO","3114116509","drogueriasanjorgen1@gmail.com","ASTREA","19/10/2017","DESFAVORABLE"
"DROGUERIA Y PERFUMERIA NUMERO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 # 4-18","CENTRO","NT","yamitharias2015@hotmail.com, yac1065@hotmail.com","ASTREA","19/10/2017","FAVORABLE"
"DROGUERIA Y VARIEDADES LUMER'S","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 8 # 4-07","SANTANDER","NT","m.marielis@hotmail.com","ASTREA","NUEVO","N/A"
"DROGUERIA Y VARIEDADES LUMER'S No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8 # 4-123","SANTANDER","NT","jluis1511@hotmail.com","ASTREA","19/10/2017","FAVORABLE"
"LA ECONOMIA DROGUERIA MINIMARKET No. 797","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 3 # 7-01","CENTRO","NT","recepcionvp@eticos.com","ASTREA","27/04/2015","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA AYACUCHO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 3 # 2-04","AYACUCHO","NT","NT","AYACUCHO","N/A","N/A"
"DROGAS CENTRAL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 5 # 8-57","CENTRO","NT","NT","BECERRIL","15/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA 100% SALUD-BECERRIL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 5 # 10-04","CENTRO","NT","farmaofertas1@hotmail.com","BECERRIL","15/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COMFACESAR MINI MARKET No. 806","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9 # 3-66","SAN JOSE","NT","recepcionvp@eticos.com","BECERRIL","15/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FARMACUR PLUS N 3","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA  5 # 12-49 LOCAL  1","CENTRO","NT","miurca@hotmail.es","BECERRIL","NUEVO","N/A"
"DROGUERIA MEDICA CENTER","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 5 # 9-30","NO SE PUDO VER","NT","reinaldor0205@gmail.om","BECERRIL","NUEVO","N/A"
"DROGUERIA REAL BECERRIL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 5 # 10-04 LC  1","CENTRO","NT","ute63@hotmail.com","BECERRIL","NUEVO","N/A"
"DROGUERIA Y PERFUMERIA LA NUMERO UNO DE BECERRIL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 5 # 10-4 Local 1","CENTRO","NT","dianaluceroguerra@hotmail.com","BECERRIL","26/06/2013","N/A"
"LA ECONOMIA DROGUERIA MINIMARKET No. 7080 (antes drog sanjose)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9 # 3-88","SAN JOSE","NT","economia780@drogaslaeconomia.com","BECERRIL","18/06/2015","FAVORABLE CON REQUERIMIENTOS"
"SHADDAY  DROGUERIA  2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 17 # 21-85","ALTO PRADO","NT","yesitamara2010@hotmail.com","BOSCONIA","26/07/2017","FAVORABLE"
"DROGAS LA BOTICA DE BOSCONIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 17-53","EL RECREO","NT","alfaresgerencia@gmail.com","BOSCONIA","24/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA PIRAGUA SERVICIOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 13 # 20-21","SAN JUAN BOSCO","NT","drogaslapiraguaservicios@hotmail.com","BOSCONIA","26/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA A TODA HORA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 13 # 18-40","16 DE JULIO","5779318 / 3114392091","arqmcabrera@hotmail.com","BOSCONIA","25/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA A TODA HORA No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 21 # 15A-52","ALTO DE BOSCONIA","NT","arqmcabrera@hotmail.com, essiba03@gmail.com","BOSCONIA","25/07/2017","FAVORABLE"
"DROGUERIA EL PUNTO DEL DESCUENTO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 19 # 17-30","EL RECREO","3116708478","lebb1974@hotmail.com","BOSCONIA","27/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA GRAN CENTER","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 16B-05","TERESA URBINA","NT","alyraca16@hotmail.com","BOSCONIA","27/07/2017","DESFAVORABLE"
"DROGUERIA INGLESA No. 111","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 18-84 Local 1","EL CRUCE","NT","asiscontabmanga@unidrogas.net.co","BOSCONIA","24/07/2017","DESFAVORABLE"
"DROGUERIA LA MAGDALENA T.J.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 17-29","EL CRUCE","NT","amsanchez9@hotmail.com","BOSCONIA","24/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LIDER AL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 21 # 19-39","EL CARMEN","NT","jhnnyariasr@hotmail.com","BOSCONIA","26/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MEGA BOSCONIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 21 # 15-72","16 DE JULIO","NT","droga04@hotmail.com","BOSCONIA","27/07/2017","FAVORABLE"
"DROGUERIA MEGABOSCONIA N° 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 18 N° 16-02","NO SE PUDO VER","NT","droga04@hotmail.com","BOSCONIA","27/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA MI BOSCONIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 17A-80","EL CRUCE","NT","yerocali@hotmail.com","BOSCONIA","24/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SALEM M.R.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 21 # 22-54","EL CARMEN","NT","pertuzjuan76@yahoo.es","BOSCONIA","26/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA SANTA RITA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 18 # 17A-72","EL CRUCE","NT","nestortejera@hotmail.com","BOSCONIA","25/07/2017","FAVORABLE CON REQUERIMIENTOS"
"LA BENDICION DROGUERIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 16-07 Local 1","EL RECREO","3014143867","labendiciondrogueria@hotmail.com","BOSCONIA","25/07/2017","FAVORABLE CON REQUERIMIENTOS"
"LA DROGUERIA LA MAGDALENA TM","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 27 # 21-15","ENRIQUE ARON","5781221","amsanchez.9@hotmail.com, acazan-28@hotmail.com","BOSCONIA","29/05/2018","FAVORABLE CON REQUERIMIENTOS"
"LA ECONOMIA DROGUERIA MINI MARKET Nº 414","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 18 # 18A-32","EL CARMEN","NT","lejed2004@gmail.com, dispensario567@drogaslaeconomia.com","BOSCONIA","24/07/2017","FAVORABLE"
"LA REBAJA DROGUERIA Nº 1 BOSCONIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 18 # 17-65","EL CRUCE","NT","rebaja_1_bosconia@copservir.com","BOSCONIA","24/07/2017","FAVORABLE CON REQUERIMIENTOS"
"SHADDAY DROGUERIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 19 # 16-49","EL RECREO","NT","yesitamara2010@hotmail.com","BOSCONIA","26/07/2017","FAVORABLE CON REQUERIMIENTOS"
"SUPERTIENDAS Y DROGUERIA OLIMPICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 18 N 20-25","EL RECREO","NT","nsierra@olimpica.com,co","BOSCONIA","26/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA PRINCIPAL DE CASACARA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 2 # 8-76","CASACARA","NT","NT","CASACARA","NUEVO","NUEVO"
"FARMACIA Y MISCELANEA GUADALUPE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 2 # 9-65","CASACARA","NT","NT","CASACARA","04/06/2014","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA DIAZ","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 8 CLL 8 ESQ","CUBA","NT","NT","CHIMICHAGUA","04/08/2017","FAVORABLE CON REQUERIMIENTOS"
