"_","t_tulo","autor","a_o","isbn","serie","ciudad","editor"
"14","El hombre de palabras. Contribución lingüística a las ciencias humanas","Claude Hagège","2010","978-958-611-258-1","Minor","Bogotá","Instituto Caro y Cuervo"
"15","Centenario de la muerte de Miguel Antonio Caro","Autores varios","2010","978-958-611-255-0","Filólogos colombianos","Bogotá","Instituto Caro y Cuervo"
"16","Léxico documentado para la historia del negro en América (siglos xv-xix) Tomo X","Humberto Triana y Antorveza","2010","978-958-611-257-4","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"17","Obra completa",,"2010","978-958-611-172-0","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"18","Acercamiento a la novela colombiana de los setenta","Paula Andrea Marín Colorado","2010","978-958-611-256-7","Cuadernos del Seminario Andrés Bello","Bogotá","Instituto Caro y Cuervo"
"19","Manual de divulgación de las lenguas de Colombia","María Stella González de Pérez","2011","978-958-611-261-1","Serie Minor","Bogotá","Instituto Caro y Cuervo"
"20","Discusiones actuales sobre literatura iberoamericana","Diana Paola Guzmán Méndez; Rubén Muñoz Fernández y Carlos van der Linde Valencia","2011","978-958-631-574-6","Coediciones","Bogotá","Instituto Caro y Cuervo"
"21","El campo de la novela en Colombia","Hèléne Pouliquen","2011","978-958-611-260-4","Breves","Bogotá","Instituto Caro y Cuervo"
"22","Vida y obra de Fernando Charry Lara , 4 tomos Obra completa","Autores varios","2012","978-958-611-264-2","Biblioteca Colombiana","Bogotá","Instituto Caro y Cuervo"
"23","Tomo I",,"2012","978-958-611-265-9","Biblioteca Colombiana","Bogotá","Instituto Caro y Cuervo"
"24","Tomo II",,"2012","978-958-611-266-6","Biblioteca Colombiana","Bogotá","Instituto Caro y Cuervo"
"25","Tomo III",,"2012","978-958-611-267-3","Biblioteca Colombiana","Bogotá","Instituto Caro y Cuervo"
"26","Tomo IV",,"2012","978-958-611-268-0","Biblioteca Colombiana","Bogotá","Instituto Caro y Cuervo"
"27","Eduardo Caballero Calderon (1910-1993): miradas sobre su obra","Autores varios","2012","978-958-611-270-3","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"28","El lenguaje en Colombia, Tomo I: Realidad lingüística de Colombia. Obra completa","Autores varios","2012","978-958-611-262-8","Coediciones","Bogotá","Instituto Caro y Cuervo"
"29","Epistolario de Rufino José Cuervo con Rafael Pombo","Rufino José Cuervo y Ángel Cuervo","reimpresión 2012 de la edición de 1974","978-958-611-278-9","Año Cuervo","Bogotá","Instituto Caro y Cuervo"
"30","Disquisiciones sobre filología castellana","Rufino José Cuervo","reimpresión 2012 de la edición de 1950","978-958-611-279-6","Año Cuervo","Bogotá","Instituto Caro y Cuervo"
"31","Apuntaciones críticas sobre el lenguaje bogotano","Rufino José Cuervo","2012","978-958-611-272-7","Año Cuervo","Bogotá","Instituto Caro y Cuervo"
"32","Vida de Rufino José Cuervo y noticias de su época","Rufino José Cuervo y Ángel Cuervo","reimpresión 2012 de la edición de 1987","978-958-611-273-4","Año Cuervo","Bogotá","Instituto Caro y Cuervo"
"33","Texto e ideología","Phillipe Hamon","2012","978-958-611-269-7","Traducciones","Bogotá","Instituto Caro y Cuervo"
"34","Bajtín y la teoría de la cultura","Ken Hirsckop y David Shepherd","2012","978-958-611-271-0","Traducciones","Bogotá","Instituto Caro y Cuervo"
"35","Homenajes 1992-2012","Rafael del Castillo y Luz Eugenia Sierra","2012","978-958-99595-5-8","Poesía","Bogotá","Instituto Caro y Cuervo"
"36","Borges… ¿Filósofo?","Andrés Lema-Hincapié","2013","978-958-611-274-1","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"37","Prosas. José Manuel Arango","Luis Hernando Vargas Torres","2013","978-958-611-289-5","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"38","Para una teoría de la literatura hispanoamericana","Roberto Fernández Retamar","reimpresión 2013 de la edición de 1995","978-958-611-281-9","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"39","Yurupary: Mito, leyenda y epopeya del Vaupés","Héctor H. Orjuela","reimpresión 2013 de la edición de 1983","978-958-611-286-4","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"40","Esquema generacional de las letras hispanoamericanas","José Juan Arrom","reimpresión 2013 de la edición de 1977","978-958-611-287-1","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"41","Yurpary. Sociedades patriarcales: camino expedito hacia la misoginia","Iliana Restrepo Hernández","2013","978-958-611-294-9","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"42","Tres momentos estelares en lingüística","Jaime Bernal Leongómez","reimpresión 2013 de la edición de 1984","978-958-611-285-7","Minor","Bogotá","Instituto Caro y Cuervo"
"43","Uricoechea y sus socios","Günther Schütz","reimpresión 2013 de la edición de 1998","978-958-611-292-5","Minor","Bogotá","Instituto Caro y Cuervo"
"44","Lingüística hispánica. La gran riqueza del español: la variedad dentro de la unidad","José María Santos Rovira","2013","978-958-611-295-6","Minor","Bogotá","Instituto Caro y Cuervo"
"45","Expresiones de nociones espaciales en lenguas amazónicas","Ana María Ospina Bozzi|","2013","978-958-611-275-8","Coediciones","Bogotá","Instituto Caro y Cuervo"
"46","Independencias hispanoamericanas. Entre historia y ficción: reflexiones desde el bicentenario","Irina Bajini y Emilia Perassi","2013","978-958-611-277-2","Coediciones","Bogotá","Instituto Caro y Cuervo"
"47","Laura, constancia, una venganza: tres novelas de Soledad Acosta de Samper.","Carolina Alzate","2013","978-958-695-864-6","Coediciones","Bogotá","Instituto Caro y Cuervo"
"48","X Congreso Mundial de Semiótica","Autores varios","2013","978-958-611-301-4","Breves","Bogotá","Instituto Caro y Cuervo"
"49","El habla en el servicio al ciudadano","Daniel Rudas Burgos","2013","978-958-611-300-7","Breves","Bogotá","Instituto Caro y Cuervo"
"50","Coloquio Internacional Rufino José Cuervo 2012","Autores varios","2013","978-958-611-284-0","Año Cuervo","Bogotá","Instituto Caro y Cuervo"
"51","Correspondencia y formación de redes intelectuales: los epistolarios de Rufino José Cuervo, 1865 y 1882","Andrés Jiménez Ángelq","2013","978-958-611-288-8","Año Cuervo","Bogotá","Instituto Caro y Cuervo"
"52","Las formas de lo falso","Walnice Nogueira Galvão","2013","978-958-611-283-3","Traducciones","Bogotá","Instituto Caro y Cuervo"
"53","Mijaíl Bajtín: el principio dialógico","Tzvetan Todorov","2013","978-958-611-282-6","Traducciones","Bogotá","Instituto Caro y Cuervo"
"54","Historia de la lengua portuguesa","Ivo Castro","2013","978-958-611-291-8","Traducciones","Bogotá","Instituto Caro y Cuervo"
"55","Manual de sociocrítica","Pierre Zima","2013","978-958-611-290-1","Traducciones","Bogotá","Instituto Caro y Cuervo"
"56","Manual de sociolingüística","Florian Coulmas","2013","978-958-611-293-2","Traducciones","Bogotá","Instituto Caro y Cuervo"
"57","Hugo Chávez y Álvaro Uribe: la fuerza de las palabras, dos discursos para gobernar","María Fernanda González Binetti","2013","978-958-611-297-0","Traducciones","Bogotá","Instituto Caro y Cuervo"
"58","Héctor Rojas Herazo. Obra poética 1938-1995",,"2013","978-958-611-296-3","Poesía","Bogotá","Instituto Caro y Cuervo"
"59","Comercialización y metamárketing del libro","Manuel Gil, Javier Jiménez y Joaquín Rodríguez","2013","978-958-611-276-5","Estudios editoriales","Bogotá","Instituto Caro y Cuervo"
"60","Medicina y magia en el sur del Tolima","Hortensia Estrada Ramírez","2014","978-958-611-302-1","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"61","Léxico de la muerte en el español hablado en Colombia","Néstor Fabián Ruíz Vásquez|","2014","978-958-611-303-8","Biblioteca de publicaciones del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"62","Manual de análisis acústico del habla con Praat","José Alejandro Correa Duque","2014","978-958-611-317-5","Minor","Bogotá","Instituto Caro y Cuervo"
"63","Portal de lenguas de Colombia: diversidad lingüística y cultural","Yaty Andrea Urquijo y Marcela Patricia Hernández Chacón","2014","978-958-611-304-5","Minor","Bogotá","Instituto Caro y Cuervo"
"64","Hacia la comprensión de un nuevo espacio sociolingüístico","Magnolia González Sáenz y Andrea Córdoba Henao","2014","978-958-611-314-4","Minor","Bogotá","Instituto Caro y Cuervo"
"65","Repertorio crítico sobre Gabriel García Márquez, tomos I","Luis Fernando García Núñez, editor","reimpresión 2014 de la edición de 1995","978-958-611-298-7","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"66","Repertorio crítico sobre Gabriel García Márquez Tomo II",,"2014","978-958-611-299-4","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"67","Del amor y otros lutos","Leopoldo Pinzón","2014","978-958-611-306-9","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"68","las monedas de la traición","Alexander Castillo Morales","2014","978-958-611-307-6","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"69","La mujer 1878-1881. La prensa en el proyecto de una nación: periodismo, historia, literatura","Carmen Elisa Acosta Peñaloza, Carolina Alzate Cadavid y Azuvia Licón Villalpando","2014","978-958-611-315-1","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"70","La Imprenta Patriótica del Instituto Caro y Cuervo: 50 años de historia (1960-2010)","José Eduardo Jiménez Gómez","2014","978-958-611-312-0","Publicaciones Fuera de Serie","Bogotá","Instituto Caro y Cuervo"
"71","Enseñanza-aprendizaje del español como lengua extranjera","María del Rosario Uribe Mallarino","2014","978-958-611-280-2","Coediciones","Bogotá","Instituto Caro y Cuervo"
"72","Episodios novelescos de la historia patria: un chistoso de aldea (cuadro de costumbres populares).","Soledad Acosta de Samper","2014","978-958-611-311-3","Coediciones","Bogotá","Instituto Caro y Cuervo"
"73","Incremento de valencia en las lenguas amazónicas","Ana María Ospina Bozzi|","2014","978-958-611-308-3","Coediciones","Bogotá","Instituto Caro y Cuervo"
"74","Tipología lingüística y descripción sintáctica","Timothy Schopen","2014","978-958-611-322-9","Traducciones","Bogotá","Instituto Caro y Cuervo"
"75","Homenajes 1992-2012","Rafael del Castillo y Luz Eugenia Sierra","reimpresión 2014 de la edición de 2012","978-958-99595-5-8","Poesía","Bogotá","Instituto Caro y Cuervo"
"76","María Mercedes Carranza. Su poesía Obra completa","María Mercedes Carranza, ed. Melibea Garavito y Luz E. Sierra","2014","978-958-99595-8-9","Poesía","Bogotá","Instituto Caro y Cuervo"
"77","Volumen",,"2014","978-958-99595-9-6","Poesía","Bogotá","Instituto Caro y Cuervo"
"78","María Mercedes Carranza. 7 ensayos sobre su obra","María Mercedes Carranza, ed. Melibea Garavito y Luz E. Sierra","2014","978-958-99595-8-9","Poesía","Bogotá","Instituto Caro y Cuervo"
"79","Volumen",,"2014","978-958-58338-0-7","Poesía","Bogotá","Instituto Caro y Cuervo"
"80","El Temblor del tiempo. Memoria y olvido","Alberto Parra Higuera","2014","978-958-611-305-2","Poesía","Bogotá","Instituto Caro y Cuervo"
"81","Rafael Pombo. Poesía inédita y olvidada","Héctor H. Orjuela","reimpresión 2014 de la edición de 1970","978-958-611-318-2","Poesía","Bogotá","Instituto Caro y Cuervo"
"82","Tomo I",,"2014","978-958-611-319-9","Poesía","Bogotá","Instituto Caro y Cuervo"
"83","Tomo II",,"2014","978-958-611-320-5","Poesía","Bogotá","Instituto Caro y Cuervo"
"84","Papeles americanos 1ª. Ed","Juan Gustavo Cobo Borda","2015","978-958-611-326-7","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"85","Alfredo Rodríguez Orgaz, arquitecto","Luisa Bulnes Álvarez","2015","978-958-611-329-8","Publicaciones Fuera de Serie","Bogotá","Instituto Caro y Cuervo"
"86","El lenguaje en su laberinto","Autores varios","2015","978-958-611-331-1","Publicaciones Fuera de Serie","Bogotá","Instituto Caro y Cuervo"
"87","Diccionario de construcción y régimen de la lengua castellana, tomo V","Rufino José Cuervo","primera reimpresión, 2015","978-958-611-073-7","Diccionario de construcción y régimen","Bogotá","Instituto Caro y Cuervo"
"88","Los caminos del afecto","Daniel Balderston","2015","978-958-611-321-2","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"89","Transculturación en suspenso: los orígenes de los cánones narrativos","Idelber Avelar","2015","978-958-611-325-0","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"90","Diario íntimo, Soledad Acosta y diario, José María Samper","Carolina Alzate","2015","978-958-774-138-4","Traducciones","Bogotá","Instituto Caro y Cuervo"
"91","Kondalo pa bibí mejó: oratura, oralitura de San Bacilio de Palenque (Colombia)","Graciela Maglia e Yves Moñino","2015","978-958-716-849-5","Coediciones","Bogotá","Instituto Caro y Cuervo"
"92","Ignacio Chaves: la lengua","Eliska Krausova, compiladora","2015","978-958-611-330-4","Coediciones","Bogotá","Instituto Caro y Cuervo"
"93","La sociedad, la comunicación y sus discursos. Miradas interdisciplinarias","Neyla Pardo Abril","2015","978-958-611-323-6","Coediciones","Bogotá","Instituto Caro y Cuervo"
"94","Poesía. José Manuel Arango","Luis Hernando Vargas Torres","2015","978-658-611-327-4","Poesía","Bogotá","Instituto Caro y Cuervo"
"95","Regreso y vuelta a casa. Cartas para Mirjam y Raphael","Thomas Chaimowicz","2016","978-958-611-334-2","Archivo epistolar colombiano","Bogotá","Instituto Caro y Cuervo"
"96","Papeles americanos 2ª. ed","Juan Gustavo Cobo Borda","2016","978-958-611-348-9","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"97","Memorias infantiles","Eduardo Caballero Calderón","2016","978-958-611-333-5","La Granada Entreabierta","Bogotá","Instituto Caro y Cuervo"
"98","Memoria histórica sobre la vida, carácter, trabajos científicos i literarios, i servicios patrióticos de Francisco José de Caldas","Lino de Pombo","2016","978-958-611-355-7","Publicaciones Dirección de Patrimonio","Bogotá","Instituto Caro y Cuervo"
"99","El estuche. Conocimientos aplicados á la vida práctica, o sean 8,000 recetas y hechos diversos","Jerónimo Argáez","2016","978-958-611-343-4","Publicaciones Dirección de Patrimonio","Bogotá","Instituto Caro y Cuervo"
"100","Recetario de San Sebastián de Tenerife, a finales del siglo XIX","Isabel del Toro de Núñez, comp. Manuel Martínez Infante","2016","978-958-611-354-0","Publicaciones Dirección de Patrimonio","Bogotá","Instituto Caro y Cuervo"
"101","De sobremesa. Antología. Segundo Concurso de cuentos Instituto Caro y Cuervo","Autores varios","2016","978-958-611-350-2","Publicaciones Fuera de Serie","Bogotá","Instituto Caro y Cuervo"
"102","Una vida vivida. Memorias de Thomas van der Hammen","Thomas van der Hammen","2016","978-958-611-337-3","Serie Montes","Bogotá","Instituto Caro y Cuervo"
"103","Romances del Atrato. Cantos de la vida y de la muerte","Alejandro Tobón Restrepo","2016","978-958-611-342-7","Serie Montes","Bogotá","Instituto Caro y Cuervo"
"104","Escritura contemporánea de viajes de América Latina","Claire Lindsay","2016","978-958-611-328-1","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"105","Crítica literaria I. 1936-1945. Hernando Téllez","Carlos Rincón, editor y compilador","2016","978-958-611-336-6","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"106","Voces diversas. Nuevas lecturas de Soledad Acosta de Samper","Carolina Alzate e Isabel Corpas de Posada","2016","978-958-774-265-7","Coediciones","Bogotá","Instituto Caro y Cuervo"
"107","Una holandesa en América","Soledad Acosta de Samper","2016","978-958-774-363-0","Coediciones","Bogotá","Instituto Caro y Cuervo"
"108","Tipos heroicos. Letras, orlas y rayas de la Imprenta Patriótica","Ignacio Martínez-Villalba Trillos","2016","978-958-611-351-9","Estudios editoriales","Bogotá","Instituto Caro y Cuervo"
"109","Diccionario de construcción y régimen de la lengua castellana, tomo VI","Rufino José Cuervo","primera reimpresión, 2016",,"Diccionario de construcción y régimen","Bogotá","Instituto Caro y Cuervo"
"110","Antología. III Concurso de Cuento del Caro y Cuervo","Autores varios","2017","978-958-56190-1-2","Publicaciones Fuera de Serie","Bogotá","Instituto Caro y Cuervo"
"111","Crítica literaria II. 1948-1956. Hernando Téllez","Carlos Rincón, editor y compilador","2017","978-958-611-339-7","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"112","Crítica literaria III. 1957-1967. Hernando Téllez","Carlos Rincón, editor y compilador","2017","978-958-611-357-1","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"113","Historia de la edición en Colombia 1738-1851","Alfonso Rubio y Juan David Murillo Sandoval","2017","978-958-611-356-4","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"114","Evolución de la novela en Colombia (e-Book)","Antonio Cursio Altamar","2017","978-958-611-332-8","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"115","Estudios sobre el romancero español en Colombia, en su tradición escrita y oral, desde la época de la Conquista hasta la actualidad (e-Book)","Gisella Beutler","2017","978-958-611-349-6","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"116","Diccionario y gramática chibcha Manuscrito anónimo de la Biblioteca Nacional de Colombia","María Stella González de Pérez","2017","978-958-611-335-9","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"117","Patrimonio y modernidad en Latinoamérica. Revistas de arte y arquitectura (1940-1960)","Rodrigo Gutiérrez Viñuales, editor","2017","958-978-753-271-5","Publicaciones Dirección de Patrimonio","Bogotá","Instituto Caro y Cuervo"
"118","La Pola. Policarpa Salavarrieta.","Sarah de Mojica y","2017","978-958-753-275-3","Publicaciones Dirección de Patrimonio","Bogotá","Instituto Caro y Cuervo"
"119","Miradas, lenguajes y perspectivas semióticas. Aportes desde América Latina",,"2017","978-958-611362-5","Coediciones","Bogotá","Instituto Caro y Cuervo"
"120","Tu y yo, una novelita rusa (reimpr.)",,"2017","978-958-46-9775-1","Fuera de serie","Bogotá","Instituto Caro y Cuervo"
"121","Semióticas: materialidades, discursividades y culturas (FELS)","Neyla Pardo Abril","2017","978-958-611-360-1","Coediciones","Bogotá","Instituto Caro y Cuervo"
"122","Mijaíl Bajtín: el principio dialógico","Tzvetan Todorov","Reimpresión 2017, de la edición de 2013","978-958-611-282-6","Traducciones","Bogotá","Instituto Caro y Cuervo"
"123","Diccionario de construcción y régimen de la lengua castellana, tomo VII","Rufino José Cuervo","Primera reimpresión, 2017","978-958-611-075-3","Diccionario de construcción y régimen","Bogotá","Instituto Caro y Cuervo"
"124","Diccionario de construcción y régimen de la lengua castellana, tomo VIII","Rufino José Cuervo","Primera reimpresión, 2015","978-958-611-076-1","Diccionario de construcción y régimen","Bogotá","Instituto Caro y Cuervo"
"125","Crítica literaria, tomo I: 1955-1976. Hernando Valencia Goelkel","Carlos Rincón, editor y compilador","2018","978-958-611-366-3 (obra completa); 978-958-611-367-0 (tomo I)","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"126","Crítica literaria, tomo II: 1977-1997. Hernando Valencia Goelkel","Carlos Rincón, editor y compilador","2018","978-958-611-366-3 (obra completa); 978-958-611-368-7 (tomo II)","Serie Páramo","Bogotá","Instituto Caro y Cuervo"
"127","Tentativa de canto en el camino (Antología poétic) XXVI Festival Internacional de poesía de Bogotá",,"2018","Sin ISBN","Fuera de serie","Bogotá",
"128","Me he decidido a escribir todos los días. Una biografía de Soledad Acosta de Samper (1833-1913)","Isabel Corpas de Posada","2018","978-958-611-365-6","Coediciones","Bogotá","Instituto Caro y Cuervo"
"129","Antología. IV Concurso de Cuento del Caro y Cuervo",,"2018","978-958-56190-2-9","Fuera de serie",,
"130","El malestar del posconflicto. Aporte de la crítica literaria y cultural","Instituto Caro y Cuervo, Universidad de Arkansas y Universidad de Antioquia","2018","978-958-611-375-5","Coediciones","Bogotá","Instituto Caro y Cuervo"
"131","Ficción e historia en Roberto Bolaño: buscar puentes sobre los abismos","Alberto Bejarano","2018","978-958-611-358-8","Coediciones","Bogotá","Instituto Caro y Cuervo"
"132","Tratado completo de ortografía castellana",,"2018","978-958-611-364-9",,"Bogotá","Instituto Caro y Cuervo"
"133","Jorge Isaacs, Cuaderno de poesías (1864-1867)",,"2018","978-958-611-363-2",,"Bogotá","Instituto Caro y Cuervo"
"134","Diccionario y gramática chibcha. Manuscrito anónimo de la Biblioteca Nacional de Colombia","María Stella González de Pérez","2018","978-958-611-335-9","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"135","Llave del griego. Edición facsimilar e-BooK",,"2018","978-958-611-390-8","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"136","Gramática de la lengua latina para el uso de los que hablan castellanoe-BooK",,"2018","978-958-611-361-8","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"137","Dichos, refranes y locuciones en las novelas de Gabriel García Márquez","Francisco Zuluaga y otros","2018","978-958-611-371-7","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"138","Introducción a la lingüística de corpus e-BooK","Julio Alexánder Bernal y Diana Hincapié","2018","978-958-611-372-4","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"139","Catálogo de publicaciones","Instituto Caro y Cuervo","2018","Sin ISBN","Publicaciones ICC","Bogotá","Instituto Caro y Cuervo"
"140","De Hermano a Hermano: Amistad y correspondencia literaria entre Manuel Zapata Olivella y Langston Hughes",,"2018","978-958-611-373-1",,"Bogotá","Instituto Caro y Cuervo"
"141","Cartagena de Indias","Enrique Marco Dorta","2018","Sin solicitar ISBN","Publicaciones Dirección de Patrimonio","Bogotá","Instituto Caro y Cuervo"
"142","El derecho de patrimonio cultural colombiano puesto a prueba con la restitución internacional de bienes arqueológicos","Paulina Restrepo","2018","978-958-753-296-8","Publicaciones Dirección de Patrimonio","Bogotá","Instituto Caro y Cuervo"
"143","Diccionario de colombianismos","Instituto Caro y Cuervo","2018","Tapa dura (978-958-611-370-0); Rústico (978-958-611-369-4)","Coediciones","Bogotá","Instituto Caro y Cuervo"
"144","Cuentos, mitos y leyendas de la tradición oral de los indígenas Pijaos del Sur del Tolima",,"2019","Propuestas","Sin definir serie","Bogotá","Instituto Caro y Cuervo"
"145","I Jornadas Internacionales de investigación lingüística José Joaquín Montes Giraldo «Nuevos métodos y problemas en dialectología y sociolingüística»",,"2019","Propuestas","Sin definir serie","Bogotá","Instituto Caro y Cuervo"
"146","Análisis del género discursivo aplicado a la clasificación automática de la polaridad en comentarios sobre productos",,"2019","Propuestas","Sin definir serie","Bogotá","Instituto Caro y Cuervo"
"147","Lenguas vivas (primera entrega)",,"2019","Sin solicitar ISBN","Coediciones","Bogotá","Instituto Caro y Cuervo"
"148","Lenguas vivas Autodiagnóstico (II entrega)",,"2019","Sin solicitar ISBN","Coediciones","Bogotá","Instituto Caro y Cuervo"
"149","Thesaurus. Revista del ICC",,"2019","Sin solicitar ISSN","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"150","Entre ekobios. Manuel Zapata Olivella (1920-2004). Espacios investigativos: invitaciones al archivo (Reimpresión)",,"2019","978-958-611-378-6","Serie Montes","Bogotá","Instituto Caro y Cuervo"
"151","¡De racamandaca!: Colombianismos para aprender jugando",,"2019","978-958-611-386-1","Fuera de serie","Bogotá","Instituto Caro y Cuervo"
"152","Empeliculados: cine en la clase de español como lengua extranjera y segunda  (Epub)",,"2019","978-958-611-385-4","ELE","Bogotá","Instituto Caro y Cuervo"
"153","Nuevos métodos y problemas en dialectología y sociolingüistica (Epub)",,"2019","978-958-611-384-7","Fuera de serie","Bogotá","Instituto Caro y Cuervo"
"154","Bitácora mágica B1+. Perdidamente enamorado  (Epub)",,"2019","978-958-611-380-9 (obra completa)  978-958-611-383-0 (Vol.1)","ELE","Bogotá","Instituto Caro y Cuervo"
"155","Bitácora mágica A2+. Desaparecido  (Epub)",,"2019","978-958-611-380-9 (obra completa)  978-958-611-382-3 (Vol. 2)","ELE","Bogotá","Instituto Caro y Cuervo"
"156","El hombre sin miedo. La historia de Sixto Muñoz, el último tinigua",,"2019","978-958-611-379-3","Montes","Bogotá","Instituto Caro y Cuervo"
"157","Viaje literario por Barranquilla. Lecturas guiadas para la clase de ELE (Epub)",,"2019","978-958-611-377-9","Ele","Bogotá","Instituto Caro y Cuervo"
"158","Colombia diversa: Lenguas - Enseñanza del español como lengua extranjera (Epub)",,"2019","978-958-611-376-2","ERSA: LENGUAS - ENSEÑANZA DEL ESPAÑOL COMO LENGUA EXTRANJERA (EPUB)erimbia Lcolxt","Bogotá","Instituto Caro y Cuervo"
"159","Lexicografía electrónica especializada: el curso del diccionario académico de medicina DIACME e-BooK",,"2019","978-958-611-394-6","Colección Digital Clásicos del Instituto Caro y Cuervo","Bogotá","Instituto Caro y Cuervo"
"160","Historia de la edición en Colombia 1738-18851. Propuesta de coedición con Porrúa",,"2019","Propuestas","Sin definir serie","Bogotá","Instituto Caro y Cuervo"
"161","Cuentos cortos para viajes largos, 5° Concurso de cuento corto de Pereira (Felipe)",,"2019","Propuestas","Sin definir serie","Bogotá","Instituto Caro y Cuervo"
"162","Dichos, refranes y locuciones en las novelas de Gabriel García Márquez (reimpresión)",,"2019","Propuestas","Sin definir serie","Bogotá","Instituto Caro y Cuervo"
